"name-pr","release","concurrencyBugs","configBugs","perfBugs","optimBugs","errorBugs","hangBugs"
"AElf","v0.6-alpha","1","0","0","0","0","7"
"AElf","v0.6.1","19","1","0","2","4","41"
"AElf","v0.6.2","0","0","0","0","0","0"
"AElf","v0.6.2-alpha","43","14","6","7","34","201"
"AElf","v0.6.3","2","0","0","0","0","8"
"AElf","v0.7.0-alpha.1","3","0","13","0","0","39"
"AElf","v0.7.0-alpha.2","0","0","2","0","1","16"
"AElf","v0.7.0-beta","0","1","0","0","2","18"
"AElf","v0.7.1-alpha.1","3","12","12","1","9","76"
"AElf","v0.7.2-alpha.1","1","2","3","5","1","31"
"AElf","v0.7.2-beta.1","0","2","2","2","0","3"
"AElf","v0.8.0-alpha","5","6","7","6","9","25"
"duplicati","v2.0.3.10-2.0.3.10_canary_2018-08-30","4","0","1","1","0","1"
"duplicati","v2.0.3.11-2.0.3.11_canary_2018-09-05","2","0","1","0","9","4"
"duplicati","v2.0.3.12-2.0.3.12_canary_2018-10-23","0","0","0","0","0","0"
"duplicati","v2.0.3.13-2.0.3.13_canary_2018-10-31","0","0","0","0","0","0"
"duplicati","v2.0.3.14-2.0.3.14_canary_2018-11-08","0","0","0","0","0","0"
"duplicati","v2.0.4.1-2.0.4.1_experimental_2018-11-08","1","0","6","0","8","6"
"duplicati","v2.0.4.10-2.0.4.10_canary_2018-12-29","1","4","0","0","5","3"
"duplicati","v2.0.4.11-2.0.4.11_canary_2019-01-16","0","0","0","0","0","0"
"duplicati","v2.0.4.12-2.0.4.12_canary_2019-01-16","0","6","0","0","0","1"
"duplicati","v2.0.4.13-2.0.4.13_canary_2019-01-29","0","0","0","0","0","0"
"duplicati","v2.0.4.14-2.0.4.14_canary_2019-01-30","0","0","0","0","0","0"
"duplicati","v2.0.4.15-2.0.4.15_canary_2019-02-06","8","0","0","0","8","9"
"duplicati","v2.0.4.16-2.0.4.16_canary_2019-03-28","0","0","0","0","4","4"
"duplicati","v2.0.4.17-2.0.4.17_canary_2019-04-11","0","5","1","2","2","0"
"duplicati","v2.0.4.18-2.0.4.18_canary_2019-05-12","2","0","0","0","2","0"
"duplicati","v2.0.4.19-2.0.4.19_canary_2019-06-17","0","0","0","0","0","0"
"duplicati","v2.0.4.2-2.0.4.2_experimental_2018-11-12","12","15","7","2","29","23"
"duplicati","v2.0.4.20-2.0.4.20_canary_2019-06-25","0","0","0","0","0","0"
"duplicati","v2.0.4.21-2.0.4.21_experimental_2019-06-28","0","0","0","0","0","0"
"duplicati","v2.0.4.22-2.0.4.22_canary_2019-06-30","0","0","0","0","0","0"
"duplicati","v2.0.4.23-2.0.4.23_beta_2019-07-14","15","15","9","2","30","34"
"duplicati","v2.0.4.3-2.0.4.3_beta_2018-11-28","1","0","0","0","3","0"
"duplicati","v2.0.4.3-2.0.4.3_canary_2018-11-13","19","16","9","2","28","46"
"duplicati","v2.0.4.4-2.0.4.4_canary_2018-11-14","0","0","0","0","0","0"
"duplicati","v2.0.4.5-2.0.4.5_beta_2018-11-28","1","0","0","0","7","4"
"duplicati","v2.0.4.6-2.0.4.6_canary_2018-12-11","0","0","0","0","0","1"
"duplicati","v2.0.4.7-2.0.4.7_canary_2018-12-13","0","0","0","0","0","2"
"duplicati","v2.0.4.8-2.0.4.8_canary_2018-11-14","0","0","0","0","3","6"
"duplicati","v2.0.4.8-2.0.4.8_canary_2018-12-13","0","0","2","0","0","0"
"duplicati","v2.0.4.9-2.0.4.9_canary_2018-12-22","0","0","0","0","0","0"
"google-cloud-dotnet","Google.Cloud.Asset.V1-1.0.0","0","0","0","0","0","0"
"google-cloud-dotnet","Google.Cloud.Asset.V1-1.0.0-beta01","19","13","1","2","8","161"
"google-cloud-dotnet","Google.Cloud.Asset.V1Beta1-1.0.0-beta01","24","10","7","4","21","169"
"google-cloud-dotnet","Google.Cloud.BigQuery.DataTransfer.V1-1.0.0","0","0","0","0","0","0"
"google-cloud-dotnet","Google.Cloud.BigQuery.DataTransfer.V1-1.0.0-beta04","21","8","6","4","21","144"
"google-cloud-dotnet","Google.Cloud.BigQuery.DataTransfer.V1-1.0.0-beta05","17","20","1","0","6","137"
"google-cloud-dotnet","Google.Cloud.BigQuery.V2-1.3.0","0","0","0","0","0","0"
"google-cloud-dotnet","Google.Cloud.BigQuery.V2-1.3.0-beta03","0","0","0","0","0","5"
"google-cloud-dotnet","Google.Cloud.BigQuery.V2-1.3.0-beta04","0","0","0","0","1","9"
"google-cloud-dotnet","Google.Cloud.BigQuery.V2-1.3.0-beta05","8","7","6","1","5","45"
"google-cloud-dotnet","Google.Cloud.BigQuery.V2-1.3.0-beta06","1","0","0","0","8","11"
"google-cloud-dotnet","Google.Cloud.BigQuery.V2-1.3.0-beta07","2","0","0","1","0","2"
"google-cloud-dotnet","Google.Cloud.BigQuery.V2-1.3.0-beta08","27","22","2","2","13","217"
"google-cloud-dotnet","Google.Cloud.BigQuery.V2-1.4.0-beta01","2","0","0","0","2","22"
"google-cloud-dotnet","Google.Cloud.BigQuery.V2-1.4.0-beta02","2","0","1","0","1","16"
"google-cloud-dotnet","Google.Cloud.BigQuery.V2-1.4.0-beta03","1","2","0","0","0","19"
"google-cloud-dotnet","Google.Cloud.Bigtable.Admin.V2-1.0.0","0","0","0","0","0","0"
"google-cloud-dotnet","Google.Cloud.Bigtable.Admin.V2-1.0.0-beta02","0","0","0","0","1","12"
"google-cloud-dotnet","Google.Cloud.Bigtable.Admin.V2-1.0.0-beta03","0","0","0","0","0","1"
"google-cloud-dotnet","Google.Cloud.Bigtable.Admin.V2-1.0.0-beta04","5","2","2","0","4","27"
"google-cloud-dotnet","Google.Cloud.Bigtable.Admin.V2-1.0.0-beta05","33","26","5","4","22","239"
"google-cloud-dotnet","Google.Cloud.Bigtable.Admin.V2-1.1.0-beta01","0","0","0","0","0","0"
"google-cloud-dotnet","Google.Cloud.Bigtable.Common.V2-1.0.0","0","0","0","0","0","0"
"google-cloud-dotnet","Google.Cloud.Bigtable.Common.V2-1.0.0-beta02","0","0","0","0","1","12"
"google-cloud-dotnet","Google.Cloud.Bigtable.Common.V2-1.0.0-beta03","0","0","0","0","0","1"
"google-cloud-dotnet","Google.Cloud.Bigtable.Common.V2-1.0.0-beta04","5","2","2","0","4","27"
"google-cloud-dotnet","Google.Cloud.Bigtable.Common.V2-1.0.0-beta05","33","26","5","4","22","238"
"google-cloud-dotnet","Google.Cloud.Bigtable.Common.V2-1.1.0-beta01","0","0","0","0","0","0"
"google-cloud-dotnet","Google.Cloud.Bigtable.V2-1.0.0","0","0","0","0","0","0"
"google-cloud-dotnet","Google.Cloud.Bigtable.V2-1.0.0-beta02","0","0","0","0","1","12"
"google-cloud-dotnet","Google.Cloud.Bigtable.V2-1.0.0-beta03","0","0","0","0","0","1"
"google-cloud-dotnet","Google.Cloud.Bigtable.V2-1.0.0-beta04","5","2","2","0","4","27"
"google-cloud-dotnet","Google.Cloud.Bigtable.V2-1.0.0-beta05","33","26","5","4","22","239"
"google-cloud-dotnet","Google.Cloud.Bigtable.V2-1.1.0-beta01","1","0","1","0","1","14"
"google-cloud-dotnet","Google.Cloud.Container.V1-1.0.0","0","0","0","0","0","0"
"google-cloud-dotnet","Google.Cloud.Container.V1-1.0.0-beta02","36","21","7","4","26","263"
"google-cloud-dotnet","Google.Cloud.Dataproc.V1-1.0.0","0","0","0","0","0","0"
"google-cloud-dotnet","Google.Cloud.Dataproc.V1-1.0.0-beta02","11","7","6","2","14","68"
"google-cloud-dotnet","Google.Cloud.Dataproc.V1-1.0.0-beta03","10","1","0","2","5","72"
"google-cloud-dotnet","Google.Cloud.Dataproc.V1-1.0.0-beta04","15","14","1","0","7","124"
"google-cloud-dotnet","Google.Cloud.Datastore.V1-2.2.0-beta01","19","8","6","4","19","121"
"google-cloud-dotnet","Google.Cloud.Datastore.V1-2.2.0-beta02","3","0","1","0","3","37"
"google-cloud-dotnet","Google.Cloud.Debugger.V2-1.0.0","0","0","0","0","0","0"
"google-cloud-dotnet","Google.Cloud.Debugger.V2-1.0.0-beta03","38","24","7","4","26","269"
"google-cloud-dotnet","Google.Cloud.DevTools.ContainerAnalysis.V1-1.0.0-beta01","1","0","0","0","0","2"
"google-cloud-dotnet","Google.Cloud.DevTools.ContainerAnalysis.V1-1.0.0-beta02","0","0","0","0","1","2"
"google-cloud-dotnet","Google.Cloud.DevTools.ContainerAnalysis.V1-1.0.0-beta03","0","0","0","0","1","1"
"google-cloud-dotnet","Google.Cloud.DevTools.ContainerAnalysis.V1-1.0.0-beta04","0","0","1","0","1","11"
"google-cloud-dotnet","Google.Cloud.DevTools.ContainerAnalysis.V1-1.0.0-beta05","0","0","0","0","0","0"
"google-cloud-dotnet","Google.Cloud.Diagnostics.AspNet-3.0.0-beta07","7","4","1","2","8","27"
"google-cloud-dotnet","Google.Cloud.Diagnostics.AspNet-3.0.0-beta08","1","1","0","0","2","10"
"google-cloud-dotnet","Google.Cloud.Diagnostics.AspNet-3.0.0-beta09","1","0","0","0","1","22"
"google-cloud-dotnet","Google.Cloud.Diagnostics.AspNet-3.0.0-beta10","2","0","0","0","1","3"
"google-cloud-dotnet","Google.Cloud.Diagnostics.AspNet-3.0.0-beta11","0","0","0","2","1","12"
"google-cloud-dotnet","Google.Cloud.Diagnostics.AspNet-3.0.0-beta12","1","0","0","0","0","3"
"google-cloud-dotnet","Google.Cloud.Diagnostics.AspNet-3.0.0-beta13","3","1","1","0","3","42"
"google-cloud-dotnet","Google.Cloud.Diagnostics.AspNet-3.0.0-beta14","3","7","0","0","3","73"
"google-cloud-dotnet","Google.Cloud.Diagnostics.AspNetCore-3.0.0-beta07","7","4","1","2","8","27"
"google-cloud-dotnet","Google.Cloud.Diagnostics.AspNetCore-3.0.0-beta08","1","1","0","0","2","10"
"google-cloud-dotnet","Google.Cloud.Diagnostics.AspNetCore-3.0.0-beta09","1","0","0","0","1","22"
"google-cloud-dotnet","Google.Cloud.Diagnostics.AspNetCore-3.0.0-beta10","2","0","0","0","1","3"
"google-cloud-dotnet","Google.Cloud.Diagnostics.AspNetCore-3.0.0-beta11","0","0","0","2","1","12"
"google-cloud-dotnet","Google.Cloud.Diagnostics.AspNetCore-3.0.0-beta12","1","0","0","0","0","3"
"google-cloud-dotnet","Google.Cloud.Diagnostics.AspNetCore-3.0.0-beta13","3","1","1","0","3","42"
"google-cloud-dotnet","Google.Cloud.Diagnostics.AspNetCore-3.0.0-beta14","3","7","0","0","3","73"
"google-cloud-dotnet","Google.Cloud.Diagnostics.Common-3.0.0-beta07","7","4","1","2","8","27"
"google-cloud-dotnet","Google.Cloud.Diagnostics.Common-3.0.0-beta08","1","1","0","0","2","10"
"google-cloud-dotnet","Google.Cloud.Diagnostics.Common-3.0.0-beta09","1","0","0","0","1","22"
"google-cloud-dotnet","Google.Cloud.Diagnostics.Common-3.0.0-beta10","2","0","0","0","1","3"
"google-cloud-dotnet","Google.Cloud.Diagnostics.Common-3.0.0-beta11","0","0","0","2","1","12"
"google-cloud-dotnet","Google.Cloud.Diagnostics.Common-3.0.0-beta12","1","0","0","0","0","3"
"google-cloud-dotnet","Google.Cloud.Diagnostics.Common-3.0.0-beta13","3","1","1","0","3","42"
"google-cloud-dotnet","Google.Cloud.Diagnostics.Common-3.0.0-beta14","3","7","0","0","3","73"
"google-cloud-dotnet","Google.Cloud.Dialogflow.V2-1.0.0","0","0","0","0","0","0"
"google-cloud-dotnet","Google.Cloud.Dialogflow.V2-1.0.0-beta02","21","8","6","4","21","144"
"google-cloud-dotnet","Google.Cloud.Dialogflow.V2-1.0.0-beta03","3","4","1","0","2","57"
"google-cloud-dotnet","Google.Cloud.Dlp.V2-1.0.0","0","0","0","0","0","0"
"google-cloud-dotnet","Google.Cloud.Dlp.V2-1.0.0-beta06","0","0","0","0","0","0"
"google-cloud-dotnet","Google.Cloud.Dlp.V2-1.0.0-beta07","0","0","0","0","2","14"
"google-cloud-dotnet","Google.Cloud.Dlp.V2-1.0.0-beta08","2","1","1","0","2","17"
"google-cloud-dotnet","Google.Cloud.Dlp.V2-1.0.0-beta09","17","7","5","2","14","87"
"google-cloud-dotnet","Google.Cloud.Dlp.V2-1.0.0-beta10","2","0","1","2","4","35"
"google-cloud-dotnet","Google.Cloud.Dlp.V2-1.0.0-beta11","0","0","0","0","0","2"
"google-cloud-dotnet","Google.Cloud.Dlp.V2-1.0.0-beta12","15","13","0","0","3","106"
"google-cloud-dotnet","Google.Cloud.EntityFrameworkCore.Spanner-1.0.0-alpha05","8","5","6","1","6","53"
