"name-pr","release","concurrencyBugs","configBugs","perfBugs","optimBugs","errorBugs","hangBugs"
"buildkit","0.9.0","0","0","0","0","0","0"
"buildkit","0.9.0-experimental","0","0","0","0","0","0"
"buildkit","1.0.0","0","0","0","0","0","0"
"buildkit","1.0.0-experimental","0","0","0","0","0","0"
"buildkit","1.0.1","0","0","0","0","0","0"
"buildkit","1.0.1-experimental","3","0","0","0","0","2"
"buildkit","1.0.2-experimental","5","0","0","1","0","8"
"buildkit","1.1.0","0","0","0","0","0","0"
"buildkit","1.1.0-experimental","0","0","0","0","0","0"
"buildkit","1.1.1","0","0","0","0","0","0"
"buildkit","1.1.1-experimental","9","3","0","0","0","2"
"buildkit","1.1.2","0","0","0","0","0","0"
"buildkit","1.1.2-experimental","0","0","0","0","0","0"
"buildkit","1.1.3","0","0","0","0","0","0"
"buildkit","1.1.3-experimental","4","0","0","0","0","1"
"buildkit","v0.3.0","0","0","0","0","0","0"
"buildkit","v0.3.1","0","0","0","0","0","0"
"buildkit","v0.3.2","0","0","0","0","0","0"
"buildkit","v0.3.3","3","0","0","1","0","3"
"buildkit","v0.4.0","5","0","0","0","0","7"
"buildkit","v0.5.0","0","0","0","0","0","2"
"buildkit","v0.5.1","9","3","0","0","0","0"
"buildkit","v0.6.0","2","0","0","0","0","0"
"buildkit","v0.6.1","0","0","0","0","0","1"
"go-cloud","0.3.0","1","0","0","0","0","4"
"go-cloud","0.5.0","32","9","3","2","0","91"
"go-cloud","v0.16.0","0","0","0","0","0","0"
"go-cloud","v0.15.0","4","2","0","0","0","25"
"go-cloud","v0.16.0","0","0","0","0","0","0"
"go-cloud","v0.15.0","4","2","0","0","0","25"
"go-cloud","v0.16.0","0","0","0","0","0","0"
"go-cloud","v0.15.0","4","2","0","0","0","25"
"go-cloud","v0.16.0","0","0","0","0","0","0"
"go-cloud","v0.15.0","4","2","0","0","0","25"
"go-cloud","v0.16.0","0","0","0","0","0","0"
"go-cloud","v0.16.0","0","0","0","0","0","0"
"go-cloud","v0.15.0","0","0","0","0","0","0"
"go-cloud","v0.1.1","18","8","2","0","0","36"
"go-cloud","v0.10.0","1","0","0","0","0","2"
"go-cloud","v0.11.0","4","0","1","0","0","8"
"go-cloud","v0.12.0","6","0","0","2","0","19"
"go-cloud","v0.13.0","3","0","1","0","0","10"
"go-cloud","v0.14.0","0","0","0","0","0","1"
"go-cloud","v0.15.0","4","2","0","0","0","25"
"go-cloud","v0.16.0","0","0","0","0","0","0"
"go-cloud","v0.2.0","0","0","0","0","0","3"
"go-cloud","v0.3.0","0","0","0","0","0","4"
"go-cloud","v0.4.0","3","3","0","0","0","4"
"go-cloud","v0.5.0","0","0","0","0","0","0"
"go-cloud","v0.6.0","2","2","0","0","0","6"
"go-cloud","v0.7.0","0","0","0","0","0","1"
"go-cloud","v0.8.0","0","2","0","0","0","9"
"go-cloud","v0.9.0","0","0","0","0","0","0"
"google-cloud-go","v1.0.0","0","0","0","0","0","1"
"google-cloud-go","v1.0.1","6","1","3","0","0","136"
"google-cloud-go","v1.0.0","8","2","4","0","0","194"
"google-cloud-go","v1.0.0","13","2","6","1","0","292"
"google-cloud-go","v1.0.0","4","1","0","0","0","103"
"google-cloud-go","v1.0.1-beta.ordered.keys","6","1","2","1","0","117"
"google-cloud-go","v1.1.0-beta.ordered.keys","0","0","0","0","0","0"
"google-cloud-go","v0.26.0","5","1","0","0","1","50"
"google-cloud-go","v0.27.0","2","0","0","0","0","33"
"google-cloud-go","v0.28.0","6","0","0","0","1","47"
"google-cloud-go","v0.29.0","0","0","0","0","0","0"
"google-cloud-go","v0.30.0","4","0","0","0","0","22"
"google-cloud-go","v0.31.0","0","0","0","0","0","26"
"google-cloud-go","v0.32.0","5","0","0","0","0","37"
"google-cloud-go","v0.33.0","0","0","0","0","0","6"
"google-cloud-go","v0.33.1","0","0","0","0","0","11"
"google-cloud-go","v0.34.0","4","0","0","0","1","59"
"google-cloud-go","v0.35.0","0","0","0","0","0","4"
"google-cloud-go","v0.35.1","0","0","0","0","0","17"
"google-cloud-go","v0.36.0","0","0","0","0","0","30"
"google-cloud-go","v0.37.0","0","0","0","0","0","9"
"google-cloud-go","v0.37.1","0","0","0","0","0","6"
"google-cloud-go","v0.37.2","3","0","0","0","0","25"
"google-cloud-go","v0.37.3","0","0","0","0","0","0"
"google-cloud-go","v0.37.3+alpha","0","0","0","0","0","1"
"google-cloud-go","v0.37.3-alpha","0","0","0","0","0","2"
"google-cloud-go","v0.37.4","1","0","0","0","0","24"
"google-cloud-go","v0.38.0","2","1","1","0","0","31"
"google-cloud-go","v0.39.0","0","0","0","0","0","0"
"google-cloud-go","v0.40.0","1","0","0","0","0","29"
"google-cloud-go","v0.41.0","3","0","0","0","0","32"
"google-cloud-go","v0.42.0","0","0","0","0","0","2"
"google-cloud-go","v0.43.0","2","0","0","0","0","48"
"google-cloud-go","v0.44.0","0","0","0","0","0","5"
"google-cloud-go","v0.44.1","0","0","0","0","0","4"
"google-cloud-go","v0.44.2","0","0","0","0","0","2"
"google-cloud-go","v0.44.3","2","1","0","0","0","43"
"mirrorbits","v0.5","0","0","0","0","0","1"
"mirrorbits","v0.5.1","0","0","0","0","0","0"
"traefik","v1.6.6","2","2","2","0","0","5"
"traefik","v1.7.0","0","0","0","0","0","0"
"traefik","v1.7.0-rc3","0","1","0","0","0","3"
"traefik","v1.7.0-rc4","0","0","0","0","0","0"
"traefik","v1.7.0-rc5","0","0","0","0","0","0"
"traefik","v1.7.1","2","7","0","0","0","2"
"traefik","v1.7.10","0","0","0","0","0","0"
"traefik","v1.7.11","0","0","0","0","0","0"
"traefik","v1.7.12","0","0","0","0","0","0"
"traefik","v1.7.13","1","0","0","0","0","0"
"traefik","v1.7.14","0","0","0","0","0","0"
"traefik","v1.7.2","3","5","0","0","0","2"
"traefik","v1.7.3","0","2","0","0","0","0"
"traefik","v1.7.4","0","2","0","0","0","0"
"traefik","v1.7.5","0","0","0","0","0","0"
"traefik","v1.7.6","0","0","0","0","0","0"
"traefik","v1.7.7","1","1","0","0","0","0"
"traefik","v1.7.8","0","0","0","0","0","1"
"traefik","v1.7.9","5","23","0","0","0","7"
"traefik","v2.0.0-alpha1","0","0","0","0","0","2"
"traefik","v2.0.0-alpha2","0","1","0","0","0","0"
"traefik","v2.0.0-alpha3","1","4","0","0","0","0"
"traefik","v2.0.0-alpha4","0","2","0","0","0","1"
"traefik","v2.0.0-alpha5","0","0","0","0","0","0"
"traefik","v2.0.0-alpha6","0","2","0","0","0","1"
"traefik","v2.0.0-alpha7","0","1","0","0","0","1"
"traefik","v2.0.0-alpha8","0","6","0","0","0","0"
"traefik","v2.0.0-beta1","0","1","0","0","0","1"
"traefik","v2.0.0-rc1","0","0","0","0","0","0"
