BugId,Link,Title,Type,concurrencyBugs,configBugs,optimBugs,perfBugs,errorBugs,hangBugs
HADOOP-16535,https://issues.apache.org/jira/browse/HADOOP-16535?jql=id%3DHADOOP-16535,wasb Azure storage exceptions get wrapped as NoSuchElementExceptions,['error handling'],0,0,0,0,1,0
HADOOP-16534,https://issues.apache.org/jira/browse/HADOOP-16534?jql=id%3DHADOOP-16534,Exclude submarine from hadoop source build,[],0,0,0,0,0,0
HADOOP-16533,https://issues.apache.org/jira/browse/HADOOP-16533?jql=id%3DHADOOP-16533,Update jackson-databind to 2.9.9.3,[],0,0,0,0,0,0
HADOOP-16532,https://issues.apache.org/jira/browse/HADOOP-16532?jql=id%3DHADOOP-16532,TestViewFsTrash uses home directory of real fs; brittle,[],0,0,0,0,0,0
HADOOP-16528,https://issues.apache.org/jira/browse/HADOOP-16528?jql=id%3DHADOOP-16528,Update document for web authentication kerberos principal configuration,['configuration'],0,1,0,0,0,0
HADOOP-16521,https://issues.apache.org/jira/browse/HADOOP-16521?jql=id%3DHADOOP-16521,Subject has a contradiction between proxy user and real user,[],0,0,0,0,0,0
HADOOP-16519,https://issues.apache.org/jira/browse/HADOOP-16519?jql=id%3DHADOOP-16519,Updating incompatible issue,[],0,0,0,0,0,0
HADOOP-16518,https://issues.apache.org/jira/browse/HADOOP-16518?jql=id%3DHADOOP-16518,Updating incompatible issue,[],0,0,0,0,0,0
HADOOP-16496,https://issues.apache.org/jira/browse/HADOOP-16496?jql=id%3DHADOOP-16496,Apply HDDS-1870 (ConcurrentModification at PrometheusMetricsSink) to Hadoop common,[],0,0,0,0,0,0
HADOOP-16495,https://issues.apache.org/jira/browse/HADOOP-16495?jql=id%3DHADOOP-16495,Fix invalid metric types in PrometheusMetricsSink,[],0,0,0,0,0,0
HADOOP-16494,https://issues.apache.org/jira/browse/HADOOP-16494?jql=id%3DHADOOP-16494,Add SHA-256 or SHA-512 checksum to release artifacts to comply with the release distribution policy,[],0,0,0,0,0,0
HADOOP-16487,https://issues.apache.org/jira/browse/HADOOP-16487?jql=id%3DHADOOP-16487,Update jackson-databind to 2.9.9.2,[],0,0,0,0,0,0
HADOOP-16475,https://issues.apache.org/jira/browse/HADOOP-16475?jql=id%3DHADOOP-16475,high number of calls to UserGroupInformation loginUserFromSubject creates huge number of ticket renewal thread which leads to Out of Memory,[],0,0,0,0,0,0
HADOOP-16463,https://issues.apache.org/jira/browse/HADOOP-16463?jql=id%3DHADOOP-16463,Migrate away from jsr305 jar,[],0,0,0,0,0,0
HADOOP-16462,https://issues.apache.org/jira/browse/HADOOP-16462?jql=id%3DHADOOP-16462,"distcp error log not print out while use java client to call distcp.run method, only get -999 error code",[],0,0,0,0,0,0
HADOOP-16461,https://issues.apache.org/jira/browse/HADOOP-16461?jql=id%3DHADOOP-16461,Regression: FileSystem cache lock parses XML within the lock,[],0,0,0,0,0,0
HADOOP-16460,https://issues.apache.org/jira/browse/HADOOP-16460?jql=id%3DHADOOP-16460,ABFS: fix for Sever Name Indication (SNI),[],0,0,0,0,0,0
HADOOP-16457,https://issues.apache.org/jira/browse/HADOOP-16457?jql=id%3DHADOOP-16457,Hadoop does not work with Kerberos config in hdfs-site.xml for simple security,[],0,0,0,0,0,0
HADOOP-16451,https://issues.apache.org/jira/browse/HADOOP-16451?jql=id%3DHADOOP-16451,Update jackson-databind to 2.9.9.1,[],0,0,0,0,0,0
HADOOP-16448,https://issues.apache.org/jira/browse/HADOOP-16448?jql=id%3DHADOOP-16448,Connection to Hadoop homepage is not secure,[],0,0,0,0,0,0
HADOOP-16446,https://issues.apache.org/jira/browse/HADOOP-16446?jql=id%3DHADOOP-16446,Rolling upgrade to Hadoop 3.2.0 breaks due to backward in-compatible change,[],0,0,0,0,0,0
HADOOP-16444,https://issues.apache.org/jira/browse/HADOOP-16444?jql=id%3DHADOOP-16444,Updating incompatible issue,[],0,0,0,0,0,0
HADOOP-16443,https://issues.apache.org/jira/browse/HADOOP-16443?jql=id%3DHADOOP-16443,Improve help text for setfacl --set option,[],0,0,0,0,0,0
HADOOP-16441,https://issues.apache.org/jira/browse/HADOOP-16441?jql=id%3DHADOOP-16441," if use -Dbundle.openssl=true, bundled with unnecessary libk5crypto.*",[],0,0,0,0,0,0
HADOOP-16437,https://issues.apache.org/jira/browse/HADOOP-16437?jql=id%3DHADOOP-16437,Documentation typos: fs.s3a.experimental.fadvise -> fs.s3a.experimental.input.fadvise,[],0,0,0,0,0,0
