ShortMessage,LongMessage,Class/SourceLine/0/Message,Class/SourceLine/0/_classname,Class/SourceLine/0/_sourcefile,Class/SourceLine/0/_sourcepath,Class/SourceLine/0/_relSourcepath,Class/Message,Class/_classname,Class/_primary,Method/SourceLine/0/_classname,Method/SourceLine/0/_start,Method/SourceLine/0/_end,Method/SourceLine/0/_startBytecode,Method/SourceLine/0/_endBytecode,Method/SourceLine/0/_sourcefile,Method/SourceLine/0/_sourcepath,Method/SourceLine/0/_relSourcepath,Method/Message,Method/_classname,Method/_name,Method/_signature,Method/_isStatic,Method/_primary,SourceLine/0/Message,SourceLine/0/_classname,SourceLine/0/_primary,SourceLine/0/_start,SourceLine/0/_end,SourceLine/0/_startBytecode,SourceLine/0/_endBytecode,SourceLine/0/_sourcefile,SourceLine/0/_sourcepath,SourceLine/0/_relSourcepath,SourceLine/1/Message,SourceLine/1/_classname,SourceLine/1/_start,SourceLine/1/_end,SourceLine/1/_startBytecode,SourceLine/1/_endBytecode,SourceLine/1/_sourcefile,SourceLine/1/_sourcepath,SourceLine/1/_relSourcepath,SourceLine/2/Message,SourceLine/2/_classname,SourceLine/2/_start,SourceLine/2/_end,SourceLine/2/_startBytecode,SourceLine/2/_endBytecode,SourceLine/2/_sourcefile,SourceLine/2/_sourcepath,SourceLine/2/_relSourcepath,String/0/Message,String/0/_value,String/0/_role,_type,_priority,_rank,_abbrev,_category,_instanceHash,_instanceOccurrenceNum,_instanceOccurrenceMax,_cweid,String/1/Message,String/1/_value,String/1/_role
Potential Command Injection,This usage of ProcessBuilder(...) can be vulnerable to Command Injection,In AlluxioFrameworkIntegrationTest.java,alluxio.cli.AlluxioFrameworkIntegrationTest,AlluxioFrameworkIntegrationTest.java,alluxio/cli/AlluxioFrameworkIntegrationTest.java,alluxio\cli\AlluxioFrameworkIntegrationTest.java,In class alluxio.cli.AlluxioFrameworkIntegrationTest,alluxio.cli.AlluxioFrameworkIntegrationTest,true,alluxio.cli.AlluxioFrameworkIntegrationTest,129,141,0,305,AlluxioFrameworkIntegrationTest.java,alluxio/cli/AlluxioFrameworkIntegrationTest.java,alluxio\cli\AlluxioFrameworkIntegrationTest.java,In method alluxio.cli.AlluxioFrameworkIntegrationTest.startAlluxioFramework(Map),alluxio.cli.AlluxioFrameworkIntegrationTest,startAlluxioFramework,(Ljava/util/Map;)V,false,true,At AlluxioFrameworkIntegrationTest.java:[line 131],alluxio.cli.AlluxioFrameworkIntegrationTest,true,131,131,56,56,AlluxioFrameworkIntegrationTest.java,alluxio/cli/AlluxioFrameworkIntegrationTest.java,alluxio\cli\AlluxioFrameworkIntegrationTest.java,At AlluxioFrameworkIntegrationTest.java:[line 129],alluxio.cli.AlluxioFrameworkIntegrationTest,129,129,33,33,AlluxioFrameworkIntegrationTest.java,alluxio/cli/AlluxioFrameworkIntegrationTest.java,alluxio\cli\AlluxioFrameworkIntegrationTest.java,At AlluxioFrameworkIntegrationTest.java:[line 131],alluxio.cli.AlluxioFrameworkIntegrationTest,131,131,52,52,AlluxioFrameworkIntegrationTest.java,alluxio/cli/AlluxioFrameworkIntegrationTest.java,alluxio\cli\AlluxioFrameworkIntegrationTest.java,Sink method ProcessBuilder(...),ProcessBuilder(...),Sink method,COMMAND_INJECTION,2,7,SECCI,SECURITY,6b7c69ce6529b82537b29e978e4a2a74,0,0,78,,,
Potential Command Injection,This usage of ProcessBuilder(...) can be vulnerable to Command Injection,In AlluxioFrameworkIntegrationTest.java,alluxio.cli.AlluxioFrameworkIntegrationTest,AlluxioFrameworkIntegrationTest.java,alluxio/cli/AlluxioFrameworkIntegrationTest.java,alluxio\cli\AlluxioFrameworkIntegrationTest.java,In class alluxio.cli.AlluxioFrameworkIntegrationTest,alluxio.cli.AlluxioFrameworkIntegrationTest,true,alluxio.cli.AlluxioFrameworkIntegrationTest,200,204,0,120,AlluxioFrameworkIntegrationTest.java,alluxio/cli/AlluxioFrameworkIntegrationTest.java,alluxio\cli\AlluxioFrameworkIntegrationTest.java,In method alluxio.cli.AlluxioFrameworkIntegrationTest.stopAlluxio(),alluxio.cli.AlluxioFrameworkIntegrationTest,stopAlluxio,()V,true,true,At AlluxioFrameworkIntegrationTest.java:[line 202],alluxio.cli.AlluxioFrameworkIntegrationTest,true,202,202,44,44,AlluxioFrameworkIntegrationTest.java,alluxio/cli/AlluxioFrameworkIntegrationTest.java,alluxio\cli\AlluxioFrameworkIntegrationTest.java,At AlluxioFrameworkIntegrationTest.java:[line 200],alluxio.cli.AlluxioFrameworkIntegrationTest,200,200,23,23,AlluxioFrameworkIntegrationTest.java,alluxio/cli/AlluxioFrameworkIntegrationTest.java,alluxio\cli\AlluxioFrameworkIntegrationTest.java,,,,,,,,,,Sink method ProcessBuilder(...),ProcessBuilder(...),Sink method,COMMAND_INJECTION,2,7,SECCI,SECURITY,4b62e293b0a8d278874229b41f5b00b1,0,0,78,,,
Potential Command Injection,This usage of ProcessBuilder(...) can be vulnerable to Command Injection,In AlluxioFrameworkIntegrationTest.java,alluxio.cli.AlluxioFrameworkIntegrationTest,AlluxioFrameworkIntegrationTest.java,alluxio/cli/AlluxioFrameworkIntegrationTest.java,alluxio\cli\AlluxioFrameworkIntegrationTest.java,In class alluxio.cli.AlluxioFrameworkIntegrationTest,alluxio.cli.AlluxioFrameworkIntegrationTest,true,alluxio.cli.AlluxioFrameworkIntegrationTest,191,197,0,135,AlluxioFrameworkIntegrationTest.java,alluxio/cli/AlluxioFrameworkIntegrationTest.java,alluxio\cli\AlluxioFrameworkIntegrationTest.java,In method alluxio.cli.AlluxioFrameworkIntegrationTest.stopAlluxioFramework(),alluxio.cli.AlluxioFrameworkIntegrationTest,stopAlluxioFramework,()V,true,true,At AlluxioFrameworkIntegrationTest.java:[line 193],alluxio.cli.AlluxioFrameworkIntegrationTest,true,193,193,49,49,AlluxioFrameworkIntegrationTest.java,alluxio/cli/AlluxioFrameworkIntegrationTest.java,alluxio\cli\AlluxioFrameworkIntegrationTest.java,At AlluxioFrameworkIntegrationTest.java:[line 191],alluxio.cli.AlluxioFrameworkIntegrationTest,191,191,33,33,AlluxioFrameworkIntegrationTest.java,alluxio/cli/AlluxioFrameworkIntegrationTest.java,alluxio\cli\AlluxioFrameworkIntegrationTest.java,,,,,,,,,,Sink method ProcessBuilder(...),ProcessBuilder(...),Sink method,COMMAND_INJECTION,2,7,SECCI,SECURITY,a2b6533d518180f2a79ca7360bd984be,0,0,78,,,
Potential Command Injection,This usage of Runtime.exec(...) can be vulnerable to Command Injection,In AlluxioFrameworkIntegrationTest.java,alluxio.cli.AlluxioFrameworkIntegrationTest,AlluxioFrameworkIntegrationTest.java,alluxio/cli/AlluxioFrameworkIntegrationTest.java,alluxio\cli\AlluxioFrameworkIntegrationTest.java,In class alluxio.cli.AlluxioFrameworkIntegrationTest,alluxio.cli.AlluxioFrameworkIntegrationTest,true,alluxio.cli.AlluxioFrameworkIntegrationTest,172,187,0,336,AlluxioFrameworkIntegrationTest.java,alluxio/cli/AlluxioFrameworkIntegrationTest.java,alluxio\cli\AlluxioFrameworkIntegrationTest.java,In method alluxio.cli.AlluxioFrameworkIntegrationTest.processExists(String),alluxio.cli.AlluxioFrameworkIntegrationTest,processExists,(Ljava/lang/String;)Z,true,true,At AlluxioFrameworkIntegrationTest.java:[line 175],alluxio.cli.AlluxioFrameworkIntegrationTest,true,175,175,42,42,AlluxioFrameworkIntegrationTest.java,alluxio/cli/AlluxioFrameworkIntegrationTest.java,alluxio\cli\AlluxioFrameworkIntegrationTest.java,,,,,,,,,,,,,,,,,,,Sink method Runtime.exec(...),Runtime.exec(...),Sink method,COMMAND_INJECTION,3,10,SECCI,SECURITY,1c0869beb6bda52454aad02e63303fbb,0,0,78,Method usage detected only with safe arguments,detected only with safe arguments,Method usage
Potential CRLF Injection for logs,This use of Logger.error(...) might be used to include CRLF characters into log messages,In AlluxioFrameworkIntegrationTest.java,alluxio.cli.AlluxioFrameworkIntegrationTest,AlluxioFrameworkIntegrationTest.java,alluxio/cli/AlluxioFrameworkIntegrationTest.java,alluxio\cli\AlluxioFrameworkIntegrationTest.java,In class alluxio.cli.AlluxioFrameworkIntegrationTest,alluxio.cli.AlluxioFrameworkIntegrationTest,true,alluxio.cli.AlluxioFrameworkIntegrationTest,210,225,0,231,AlluxioFrameworkIntegrationTest.java,alluxio/cli/AlluxioFrameworkIntegrationTest.java,alluxio\cli\AlluxioFrameworkIntegrationTest.java,In method alluxio.cli.AlluxioFrameworkIntegrationTest.main(String[]),alluxio.cli.AlluxioFrameworkIntegrationTest,main,([Ljava/lang/String;)V,true,true,At AlluxioFrameworkIntegrationTest.java:[line 216],alluxio.cli.AlluxioFrameworkIntegrationTest,true,216,216,42,42,AlluxioFrameworkIntegrationTest.java,alluxio/cli/AlluxioFrameworkIntegrationTest.java,alluxio\cli\AlluxioFrameworkIntegrationTest.java,At AlluxioFrameworkIntegrationTest.java:[line 216],alluxio.cli.AlluxioFrameworkIntegrationTest,216,216,39,39,AlluxioFrameworkIntegrationTest.java,alluxio/cli/AlluxioFrameworkIntegrationTest.java,alluxio\cli\AlluxioFrameworkIntegrationTest.java,,,,,,,,,,Sink method Logger.error(...),Logger.error(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,b3a19243b57718f25c23c4e95db1448b,0,0,117,,,
Potential CRLF Injection for logs,This use of Logger.error(...) might be used to include CRLF characters into log messages,In CliUtils.java,alluxio.cli.CliUtils,CliUtils.java,alluxio/cli/CliUtils.java,alluxio\cli\CliUtils.java,In class alluxio.cli.CliUtils,alluxio.cli.CliUtils,true,alluxio.cli.CliUtils,51,57,0,190,CliUtils.java,alluxio/cli/CliUtils.java,alluxio\cli\CliUtils.java,In method alluxio.cli.CliUtils.runExample(Callable),alluxio.cli.CliUtils,runExample,(Ljava/util/concurrent/Callable;)Z,true,true,At CliUtils.java:[line 53],alluxio.cli.CliUtils,true,53,53,40,40,CliUtils.java,alluxio/cli/CliUtils.java,alluxio\cli\CliUtils.java,At CliUtils.java:[line 53],alluxio.cli.CliUtils,53,53,36,36,CliUtils.java,alluxio/cli/CliUtils.java,alluxio\cli\CliUtils.java,,,,,,,,,,Sink method Logger.error(...),Logger.error(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,e51a57833d62b2f82f7a9ec76b2e166d,0,0,117,,,
Potential Command Injection,This usage of Runtime.exec(...) can be vulnerable to Command Injection,In JournalCrashTest.java,alluxio.cli.JournalCrashTest,JournalCrashTest.java,alluxio/cli/JournalCrashTest.java,alluxio\cli\JournalCrashTest.java,In class alluxio.cli.JournalCrashTest,alluxio.cli.JournalCrashTest,true,alluxio.cli.JournalCrashTest,384,393,0,199,JournalCrashTest.java,alluxio/cli/JournalCrashTest.java,alluxio\cli\JournalCrashTest.java,In method alluxio.cli.JournalCrashTest.startMaster(),alluxio.cli.JournalCrashTest,startMaster,()V,true,true,At JournalCrashTest.java:[line 388],alluxio.cli.JournalCrashTest,true,388,388,45,45,JournalCrashTest.java,alluxio/cli/JournalCrashTest.java,alluxio\cli\JournalCrashTest.java,At JournalCrashTest.java:[line 384],alluxio.cli.JournalCrashTest,384,384,23,23,JournalCrashTest.java,alluxio/cli/JournalCrashTest.java,alluxio\cli\JournalCrashTest.java,At JournalCrashTest.java:[line 386],alluxio.cli.JournalCrashTest,386,386,37,37,JournalCrashTest.java,alluxio/cli/JournalCrashTest.java,alluxio\cli\JournalCrashTest.java,Sink method Runtime.exec(...),Runtime.exec(...),Sink method,COMMAND_INJECTION,2,7,SECCI,SECURITY,e905cd8cc9cf3849af84f3b6ecccf855,0,0,78,,,
Potential Command Injection,This usage of Runtime.exec(...) can be vulnerable to Command Injection,In JournalCrashTest.java,alluxio.cli.JournalCrashTest,JournalCrashTest.java,alluxio/cli/JournalCrashTest.java,alluxio\cli\JournalCrashTest.java,In class alluxio.cli.JournalCrashTest,alluxio.cli.JournalCrashTest,true,alluxio.cli.JournalCrashTest,400,409,0,203,JournalCrashTest.java,alluxio/cli/JournalCrashTest.java,alluxio\cli\JournalCrashTest.java,In method alluxio.cli.JournalCrashTest.stopCluster(),alluxio.cli.JournalCrashTest,stopCluster,()V,true,true,At JournalCrashTest.java:[line 404],alluxio.cli.JournalCrashTest,true,404,404,45,45,JournalCrashTest.java,alluxio/cli/JournalCrashTest.java,alluxio\cli\JournalCrashTest.java,At JournalCrashTest.java:[line 401],alluxio.cli.JournalCrashTest,401,401,23,23,JournalCrashTest.java,alluxio/cli/JournalCrashTest.java,alluxio\cli\JournalCrashTest.java,At JournalCrashTest.java:[line 402],alluxio.cli.JournalCrashTest,402,402,37,37,JournalCrashTest.java,alluxio/cli/JournalCrashTest.java,alluxio\cli\JournalCrashTest.java,Sink method Runtime.exec(...),Runtime.exec(...),Sink method,COMMAND_INJECTION,2,7,SECCI,SECURITY,f6e93ce94e91eb3692554402a127ead0,0,0,78,,,
Potential CRLF Injection for logs,This use of Logger.info(...) might be used to include CRLF characters into log messages,In JournalCrashTest.java,alluxio.cli.JournalCrashTest,JournalCrashTest.java,alluxio/cli/JournalCrashTest.java,alluxio\cli\JournalCrashTest.java,In class alluxio.cli.JournalCrashTest,alluxio.cli.JournalCrashTest,true,alluxio.cli.JournalCrashTest,189,218,0,491,JournalCrashTest.java,alluxio/cli/JournalCrashTest.java,alluxio\cli\JournalCrashTest.java,In method alluxio.cli.JournalCrashTest.checkStatus(),alluxio.cli.JournalCrashTest,checkStatus,()Z,true,true,At JournalCrashTest.java:[line 193],alluxio.cli.JournalCrashTest,true,193,193,69,69,JournalCrashTest.java,alluxio/cli/JournalCrashTest.java,alluxio\cli\JournalCrashTest.java,At JournalCrashTest.java:[line 190],alluxio.cli.JournalCrashTest,190,190,29,29,JournalCrashTest.java,alluxio/cli/JournalCrashTest.java,alluxio\cli\JournalCrashTest.java,At JournalCrashTest.java:[line 191],alluxio.cli.JournalCrashTest,191,191,34,34,JournalCrashTest.java,alluxio/cli/JournalCrashTest.java,alluxio\cli\JournalCrashTest.java,Sink method Logger.info(...),Logger.info(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,12fca25e3048d72101eea7f693e77871,0,0,117,,,
Potential CRLF Injection for logs,This use of Logger.error(...) might be used to include CRLF characters into log messages,In JournalCrashTest.java,alluxio.cli.JournalCrashTest,JournalCrashTest.java,alluxio/cli/JournalCrashTest.java,alluxio\cli\JournalCrashTest.java,In class alluxio.cli.JournalCrashTest,alluxio.cli.JournalCrashTest,true,alluxio.cli.JournalCrashTest,189,218,0,491,JournalCrashTest.java,alluxio/cli/JournalCrashTest.java,alluxio\cli\JournalCrashTest.java,In method alluxio.cli.JournalCrashTest.checkStatus(),alluxio.cli.JournalCrashTest,checkStatus,()Z,true,true,At JournalCrashTest.java:[line 200],alluxio.cli.JournalCrashTest,true,200,200,139,139,JournalCrashTest.java,alluxio/cli/JournalCrashTest.java,alluxio\cli\JournalCrashTest.java,At JournalCrashTest.java:[line 196],alluxio.cli.JournalCrashTest,196,196,107,107,JournalCrashTest.java,alluxio/cli/JournalCrashTest.java,alluxio\cli\JournalCrashTest.java,At JournalCrashTest.java:[line 198],alluxio.cli.JournalCrashTest,198,198,124,124,JournalCrashTest.java,alluxio/cli/JournalCrashTest.java,alluxio\cli\JournalCrashTest.java,Sink method Logger.error(...),Logger.error(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,fb225dbf55fcadf6ca814f1fc82cdbed,0,2,117,,,
