ShortMessage,LongMessage,Class/SourceLine/0/Message,Class/SourceLine/0/_classname,Class/SourceLine/0/_sourcefile,Class/SourceLine/0/_sourcepath,Class/SourceLine/0/_relSourcepath,Class/Message,Class/_classname,Class/_primary,Method/SourceLine/0/_classname,Method/SourceLine/0/_start,Method/SourceLine/0/_end,Method/SourceLine/0/_startBytecode,Method/SourceLine/0/_endBytecode,Method/SourceLine/0/_sourcefile,Method/SourceLine/0/_sourcepath,Method/SourceLine/0/_relSourcepath,Method/Message,Method/_classname,Method/_name,Method/_signature,Method/_isStatic,Method/_primary,SourceLine/0/Message,SourceLine/0/_classname,SourceLine/0/_primary,SourceLine/0/_start,SourceLine/0/_end,SourceLine/0/_startBytecode,SourceLine/0/_endBytecode,SourceLine/0/_sourcefile,SourceLine/0/_sourcepath,SourceLine/0/_relSourcepath,SourceLine/1/Message,SourceLine/1/_classname,SourceLine/1/_start,SourceLine/1/_end,SourceLine/1/_startBytecode,SourceLine/1/_endBytecode,SourceLine/1/_sourcefile,SourceLine/1/_sourcepath,SourceLine/1/_relSourcepath,String/0/Message,String/0/_value,String/0/_role,_type,_priority,_rank,_abbrev,_category,_instanceHash,_instanceOccurrenceNum,_instanceOccurrenceMax,_cweid,SourceLine/2/Message,SourceLine/2/_classname,SourceLine/2/_start,SourceLine/2/_end,SourceLine/2/_startBytecode,SourceLine/2/_endBytecode,SourceLine/2/_sourcefile,SourceLine/2/_sourcepath,SourceLine/2/_relSourcepath,String/1/Message,String/1/_value,String/1/_role,SourceLine/0/_synthetic,SourceLine/3/Message,SourceLine/3/_classname,SourceLine/3/_start,SourceLine/3/_end,SourceLine/3/_startBytecode,SourceLine/3/_endBytecode,SourceLine/3/_sourcefile,SourceLine/3/_sourcepath,SourceLine/3/_relSourcepath,SourceLine/4/Message,SourceLine/4/_classname,SourceLine/4/_start,SourceLine/4/_end,SourceLine/4/_startBytecode,SourceLine/4/_endBytecode,SourceLine/4/_sourcefile,SourceLine/4/_sourcepath,SourceLine/4/_relSourcepath
Potential CRLF Injection for logs,This use of Logger.info(...) might be used to include CRLF characters into log messages,In PlanDefinitionRegistry.java,alluxio.job.plan.PlanDefinitionRegistry,PlanDefinitionRegistry.java,alluxio/job/plan/PlanDefinitionRegistry.java,main\java\alluxio\job\plan\PlanDefinitionRegistry.java,In class alluxio.job.plan.PlanDefinitionRegistry,alluxio.job.plan.PlanDefinitionRegistry,true,alluxio.job.plan.PlanDefinitionRegistry,47,55,0,231,PlanDefinitionRegistry.java,alluxio/job/plan/PlanDefinitionRegistry.java,main\java\alluxio\job\plan\PlanDefinitionRegistry.java,In method alluxio.job.plan.PlanDefinitionRegistry.discoverJobDefinitions(),alluxio.job.plan.PlanDefinitionRegistry,discoverJobDefinitions,()V,false,true,At PlanDefinitionRegistry.java:[line 52],alluxio.job.plan.PlanDefinitionRegistry,true,52,52,91,91,PlanDefinitionRegistry.java,alluxio/job/plan/PlanDefinitionRegistry.java,main\java\alluxio\job\plan\PlanDefinitionRegistry.java,At PlanDefinitionRegistry.java:[line 53],alluxio.job.plan.PlanDefinitionRegistry,53,53,88,88,PlanDefinitionRegistry.java,alluxio/job/plan/PlanDefinitionRegistry.java,main\java\alluxio\job\plan\PlanDefinitionRegistry.java,Sink method Logger.info(...),Logger.info(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,be273228a54e024ca5138b5e97dd91a,0,0,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.info(...) might be used to include CRLF characters into log messages,In LoadDefinition.java,alluxio.job.plan.load.LoadDefinition,LoadDefinition.java,alluxio/job/plan/load/LoadDefinition.java,main\java\alluxio\job\plan\load\LoadDefinition.java,In class alluxio.job.plan.load.LoadDefinition,alluxio.job.plan.load.LoadDefinition,true,alluxio.job.plan.load.LoadDefinition,133,138,0,224,LoadDefinition.java,alluxio/job/plan/load/LoadDefinition.java,main\java\alluxio\job\plan\load\LoadDefinition.java,"In method alluxio.job.plan.load.LoadDefinition.runTask(LoadConfig, ArrayList, RunTaskContext)",alluxio.job.plan.load.LoadDefinition,runTask,(Lalluxio/job/plan/load/LoadConfig;Ljava/util/ArrayList;Lalluxio/job/RunTaskContext;)Lalluxio/job/util/SerializableVoid;,false,true,At LoadDefinition.java:[line 136],alluxio.job.plan.load.LoadDefinition,true,136,136,74,74,LoadDefinition.java,alluxio/job/plan/load/LoadDefinition.java,main\java\alluxio\job\plan\load\LoadDefinition.java,At LoadDefinition.java:[line 136],alluxio.job.plan.load.LoadDefinition,136,136,71,71,LoadDefinition.java,alluxio/job/plan/load/LoadDefinition.java,main\java\alluxio\job\plan\load\LoadDefinition.java,Sink method Logger.info(...),Logger.info(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,1e04e131446a678d68feaf1d75c8d2ff,0,0,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.warn(...) might be used to include CRLF characters into log messages,In LoadDefinition.java,alluxio.job.plan.load.LoadDefinition,LoadDefinition.java,alluxio/job/plan/load/LoadDefinition.java,main\java\alluxio\job\plan\load\LoadDefinition.java,In class alluxio.job.plan.load.LoadDefinition,alluxio.job.plan.load.LoadDefinition,true,alluxio.job.plan.load.LoadDefinition,67,111,0,1128,LoadDefinition.java,alluxio/job/plan/load/LoadDefinition.java,main\java\alluxio\job\plan\load\LoadDefinition.java,"In method alluxio.job.plan.load.LoadDefinition.selectExecutors(LoadConfig, List, SelectExecutorsContext)",alluxio.job.plan.load.LoadDefinition,selectExecutors,(Lalluxio/job/plan/load/LoadConfig;Ljava/util/List;Lalluxio/job/SelectExecutorsContext;)Ljava/util/Set;,false,true,At LoadDefinition.java:[line 77],alluxio.job.plan.load.LoadDefinition,true,77,77,130,130,LoadDefinition.java,alluxio/job/plan/load/LoadDefinition.java,main\java\alluxio\job\plan\load\LoadDefinition.java,At LoadDefinition.java:[line 77],alluxio.job.plan.load.LoadDefinition,77,77,127,127,LoadDefinition.java,alluxio/job/plan/load/LoadDefinition.java,main\java\alluxio\job\plan\load\LoadDefinition.java,Sink method Logger.warn(...),Logger.warn(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,dbdd048d21275e85a11364bfdad38985,0,0,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.debug(...) might be used to include CRLF characters into log messages,In MigrateDefinition.java,alluxio.job.plan.migrate.MigrateDefinition,MigrateDefinition.java,alluxio/job/plan/migrate/MigrateDefinition.java,main\java\alluxio\job\plan\migrate\MigrateDefinition.java,In class alluxio.job.plan.migrate.MigrateDefinition,alluxio.job.plan.migrate.MigrateDefinition,true,alluxio.job.plan.migrate.MigrateDefinition,338,362,0,960,MigrateDefinition.java,alluxio/job/plan/migrate/MigrateDefinition.java,main\java\alluxio\job\plan\migrate\MigrateDefinition.java,"In method alluxio.job.plan.migrate.MigrateDefinition.migrate(MigrateCommand, WritePType, boolean, FileSystem)",alluxio.job.plan.migrate.MigrateDefinition,migrate,(Lalluxio/job/plan/migrate/MigrateCommand;Lalluxio/grpc/WritePType;ZLalluxio/client/file/FileSystem;)V,true,true,At MigrateDefinition.java:[line 340],alluxio.job.plan.migrate.MigrateDefinition,true,340,340,21,21,MigrateDefinition.java,alluxio/job/plan/migrate/MigrateDefinition.java,main\java\alluxio\job\plan\migrate\MigrateDefinition.java,At MigrateDefinition.java:[line 339],alluxio.job.plan.migrate.MigrateDefinition,339,339,7,7,MigrateDefinition.java,alluxio/job/plan/migrate/MigrateDefinition.java,main\java\alluxio\job\plan\migrate\MigrateDefinition.java,Sink method Logger.debug(...),Logger.debug(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,cebbc23cd4ad17f2a362fc4de3a19c5d,0,0,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.debug(...) might be used to include CRLF characters into log messages,In MigrateDefinition.java,alluxio.job.plan.migrate.MigrateDefinition,MigrateDefinition.java,alluxio/job/plan/migrate/MigrateDefinition.java,main\java\alluxio\job\plan\migrate\MigrateDefinition.java,In class alluxio.job.plan.migrate.MigrateDefinition,alluxio.job.plan.migrate.MigrateDefinition,true,alluxio.job.plan.migrate.MigrateDefinition,309,327,0,375,MigrateDefinition.java,alluxio/job/plan/migrate/MigrateDefinition.java,main\java\alluxio\job\plan\migrate\MigrateDefinition.java,"In method alluxio.job.plan.migrate.MigrateDefinition.runTask(MigrateConfig, ArrayList, RunTaskContext)",alluxio.job.plan.migrate.MigrateDefinition,runTask,(Lalluxio/job/plan/migrate/MigrateConfig;Ljava/util/ArrayList;Lalluxio/job/RunTaskContext;)Lalluxio/job/util/SerializableVoid;,false,true,At MigrateDefinition.java:[line 320],alluxio.job.plan.migrate.MigrateDefinition,true,320,320,116,116,MigrateDefinition.java,alluxio/job/plan/migrate/MigrateDefinition.java,main\java\alluxio\job\plan\migrate\MigrateDefinition.java,At MigrateDefinition.java:[line 320],alluxio.job.plan.migrate.MigrateDefinition,320,320,113,113,MigrateDefinition.java,alluxio/job/plan/migrate/MigrateDefinition.java,main\java\alluxio\job\plan\migrate\MigrateDefinition.java,Sink method Logger.debug(...),Logger.debug(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,12b22ba34b2fe0e0cd4d3b4d5b656d2a,0,0,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Predictable pseudorandom number generator,The use of java.util.Random is predictable,In MigrateDefinition.java,alluxio.job.plan.migrate.MigrateDefinition,MigrateDefinition.java,alluxio/job/plan/migrate/MigrateDefinition.java,main\java\alluxio\job\plan\migrate\MigrateDefinition.java,In class alluxio.job.plan.migrate.MigrateDefinition,alluxio.job.plan.migrate.MigrateDefinition,true,alluxio.job.plan.migrate.MigrateDefinition,118,119,0,65,MigrateDefinition.java,alluxio/job/plan/migrate/MigrateDefinition.java,main\java\alluxio\job\plan\migrate\MigrateDefinition.java,In method new alluxio.job.plan.migrate.MigrateDefinition(),alluxio.job.plan.migrate.MigrateDefinition,<init>,()V,false,true,At MigrateDefinition.java:[line 113],alluxio.job.plan.migrate.MigrateDefinition,true,113,113,9,9,MigrateDefinition.java,alluxio/job/plan/migrate/MigrateDefinition.java,main\java\alluxio\job\plan\migrate\MigrateDefinition.java,,,,,,,,,,Value java.util.Random,java.util.Random,,PREDICTABLE_RANDOM,2,7,SECPR,SECURITY,821e9215f2b2dab1fc371797ec8f1935,0,0,330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Predictable pseudorandom number generator,The use of java.util.Random is predictable,In MigrateDefinition.java,alluxio.job.plan.migrate.MigrateDefinition,MigrateDefinition.java,alluxio/job/plan/migrate/MigrateDefinition.java,main\java\alluxio\job\plan\migrate\MigrateDefinition.java,In class alluxio.job.plan.migrate.MigrateDefinition,alluxio.job.plan.migrate.MigrateDefinition,true,alluxio.job.plan.migrate.MigrateDefinition,228,239,0,280,MigrateDefinition.java,alluxio/job/plan/migrate/MigrateDefinition.java,main\java\alluxio\job\plan\migrate\MigrateDefinition.java,"In method alluxio.job.plan.migrate.MigrateDefinition.getBestJobWorker(URIStatus, List, List, Map)",alluxio.job.plan.migrate.MigrateDefinition,getBestJobWorker,(Lalluxio/client/file/URIStatus;Ljava/util/List;Ljava/util/List;Ljava/util/Map;)Lalluxio/wire/WorkerInfo;,false,true,At MigrateDefinition.java:[line 237],alluxio.job.plan.migrate.MigrateDefinition,true,237,237,69,69,MigrateDefinition.java,alluxio/job/plan/migrate/MigrateDefinition.java,main\java\alluxio\job\plan\migrate\MigrateDefinition.java,,,,,,,,,,Value java.util.Random,java.util.Random,,PREDICTABLE_RANDOM,2,7,SECPR,SECURITY,1320ec7bc530f6ef43be92d5a23c25e7,0,0,330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.info(...) might be used to include CRLF characters into log messages,In PersistDefinition.java,alluxio.job.plan.persist.PersistDefinition,PersistDefinition.java,alluxio/job/plan/persist/PersistDefinition.java,main\java\alluxio\job\plan\persist\PersistDefinition.java,In class alluxio.job.plan.persist.PersistDefinition,alluxio.job.plan.persist.PersistDefinition,true,alluxio.job.plan.persist.PersistDefinition,107,189,0,2305,PersistDefinition.java,alluxio/job/plan/persist/PersistDefinition.java,main\java\alluxio\job\plan\persist\PersistDefinition.java,"In method alluxio.job.plan.persist.PersistDefinition.runTask(PersistConfig, SerializableVoid, RunTaskContext)",alluxio.job.plan.persist.PersistDefinition,runTask,(Lalluxio/job/plan/persist/PersistConfig;Lalluxio/job/util/SerializableVoid;Lalluxio/job/RunTaskContext;)Lalluxio/job/util/SerializableVoid;,false,true,At PersistDefinition.java:[line 119],alluxio.job.plan.persist.PersistDefinition,true,119,119,115,115,PersistDefinition.java,alluxio/job/plan/persist/PersistDefinition.java,main\java\alluxio\job\plan\persist\PersistDefinition.java,At PersistDefinition.java:[line 119],alluxio.job.plan.persist.PersistDefinition,119,119,112,112,PersistDefinition.java,alluxio/job/plan/persist/PersistDefinition.java,main\java\alluxio\job\plan\persist\PersistDefinition.java,Sink method Logger.info(...),Logger.info(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,feafb7e1c320dcde3f76b2396d32d52c,0,1,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.info(...) might be used to include CRLF characters into log messages,In PersistDefinition.java,alluxio.job.plan.persist.PersistDefinition,PersistDefinition.java,alluxio/job/plan/persist/PersistDefinition.java,main\java\alluxio\job\plan\persist\PersistDefinition.java,In class alluxio.job.plan.persist.PersistDefinition,alluxio.job.plan.persist.PersistDefinition,true,alluxio.job.plan.persist.PersistDefinition,107,189,0,2305,PersistDefinition.java,alluxio/job/plan/persist/PersistDefinition.java,main\java\alluxio\job\plan\persist\PersistDefinition.java,"In method alluxio.job.plan.persist.PersistDefinition.runTask(PersistConfig, SerializableVoid, RunTaskContext)",alluxio.job.plan.persist.PersistDefinition,runTask,(Lalluxio/job/plan/persist/PersistConfig;Lalluxio/job/util/SerializableVoid;Lalluxio/job/RunTaskContext;)Lalluxio/job/util/SerializableVoid;,false,true,At PersistDefinition.java:[line 187],alluxio.job.plan.persist.PersistDefinition,true,187,187,855,855,PersistDefinition.java,alluxio/job/plan/persist/PersistDefinition.java,main\java\alluxio\job\plan\persist\PersistDefinition.java,At PersistDefinition.java:[line 108],alluxio.job.plan.persist.PersistDefinition,108,108,14,14,PersistDefinition.java,alluxio/job/plan/persist/PersistDefinition.java,main\java\alluxio\job\plan\persist\PersistDefinition.java,Sink method Logger.info(...),Logger.info(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,feafb7e1c320dcde3f76b2396d32d52c,1,1,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Predictable pseudorandom number generator,The use of java.util.Random is predictable,In PersistDefinition.java,alluxio.job.plan.persist.PersistDefinition,PersistDefinition.java,alluxio/job/plan/persist/PersistDefinition.java,main\java\alluxio\job\plan\persist\PersistDefinition.java,In class alluxio.job.plan.persist.PersistDefinition,alluxio.job.plan.persist.PersistDefinition,true,alluxio.job.plan.persist.PersistDefinition,74,101,0,511,PersistDefinition.java,alluxio/job/plan/persist/PersistDefinition.java,main\java\alluxio\job\plan\persist\PersistDefinition.java,"In method alluxio.job.plan.persist.PersistDefinition.selectExecutors(PersistConfig, List, SelectExecutorsContext)",alluxio.job.plan.persist.PersistDefinition,selectExecutors,(Lalluxio/job/plan/persist/PersistConfig;Ljava/util/List;Lalluxio/job/SelectExecutorsContext;)Ljava/util/Set;,false,true,At PersistDefinition.java:[line 98],alluxio.job.plan.persist.PersistDefinition,true,98,98,173,173,PersistDefinition.java,alluxio/job/plan/persist/PersistDefinition.java,main\java\alluxio\job\plan\persist\PersistDefinition.java,,,,,,,,,,Value java.util.Random,java.util.Random,,PREDICTABLE_RANDOM,2,7,SECPR,SECURITY,c1bef41ae4e840239958f33c3f57985,0,0,330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
