ShortMessage,LongMessage,Class/SourceLine/0/Message,Class/SourceLine/0/_classname,Class/SourceLine/0/_sourcefile,Class/SourceLine/0/_sourcepath,Class/SourceLine/0/_relSourcepath,Class/Message,Class/_classname,Class/_primary,Method/SourceLine/0/_classname,Method/SourceLine/0/_start,Method/SourceLine/0/_end,Method/SourceLine/0/_startBytecode,Method/SourceLine/0/_endBytecode,Method/SourceLine/0/_sourcefile,Method/SourceLine/0/_sourcepath,Method/SourceLine/0/_relSourcepath,Method/Message,Method/_classname,Method/_name,Method/_signature,Method/_isStatic,Method/_primary,SourceLine/0/Message,SourceLine/0/_classname,SourceLine/0/_primary,SourceLine/0/_start,SourceLine/0/_end,SourceLine/0/_startBytecode,SourceLine/0/_endBytecode,SourceLine/0/_sourcefile,SourceLine/0/_sourcepath,SourceLine/0/_relSourcepath,SourceLine/1/Message,SourceLine/1/_classname,SourceLine/1/_start,SourceLine/1/_end,SourceLine/1/_startBytecode,SourceLine/1/_endBytecode,SourceLine/1/_sourcefile,SourceLine/1/_sourcepath,SourceLine/1/_relSourcepath,String/Message,String/_value,String/_role,_type,_priority,_rank,_abbrev,_category,_instanceHash,_instanceOccurrenceNum,_instanceOccurrenceMax,_cweid,SourceLine/2/Message,SourceLine/2/_classname,SourceLine/2/_start,SourceLine/2/_end,SourceLine/2/_startBytecode,SourceLine/2/_endBytecode,SourceLine/2/_sourcefile,SourceLine/2/_sourcepath,SourceLine/2/_relSourcepath
Potential CRLF Injection for logs,This use of Logger.info(...) might be used to include CRLF characters into log messages,In AbstractLocalAlluxioCluster.java,alluxio.master.AbstractLocalAlluxioCluster,AbstractLocalAlluxioCluster.java,alluxio/master/AbstractLocalAlluxioCluster.java,main\java\alluxio\master\AbstractLocalAlluxioCluster.java,In class alluxio.master.AbstractLocalAlluxioCluster,alluxio.master.AbstractLocalAlluxioCluster,true,alluxio.master.AbstractLocalAlluxioCluster,229,238,0,149,AbstractLocalAlluxioCluster.java,alluxio/master/AbstractLocalAlluxioCluster.java,main\java\alluxio\master\AbstractLocalAlluxioCluster.java,In method alluxio.master.AbstractLocalAlluxioCluster.stopProxy(),alluxio.master.AbstractLocalAlluxioCluster,stopProxy,()V,false,true,At AbstractLocalAlluxioCluster.java:[line 232],alluxio.master.AbstractLocalAlluxioCluster,true,232,232,38,38,AbstractLocalAlluxioCluster.java,alluxio/master/AbstractLocalAlluxioCluster.java,main\java\alluxio\master\AbstractLocalAlluxioCluster.java,At AbstractLocalAlluxioCluster.java:[line 232],alluxio.master.AbstractLocalAlluxioCluster,232,232,35,35,AbstractLocalAlluxioCluster.java,alluxio/master/AbstractLocalAlluxioCluster.java,main\java\alluxio\master\AbstractLocalAlluxioCluster.java,Sink method Logger.info(...),Logger.info(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,7084c51771152c9d9ef4ec0898ae1764,0,0,117,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.info(...) might be used to include CRLF characters into log messages,In AbstractLocalAlluxioCluster.java,alluxio.master.AbstractLocalAlluxioCluster,AbstractLocalAlluxioCluster.java,alluxio/master/AbstractLocalAlluxioCluster.java,main\java\alluxio\master\AbstractLocalAlluxioCluster.java,In class alluxio.master.AbstractLocalAlluxioCluster,alluxio.master.AbstractLocalAlluxioCluster,true,alluxio.master.AbstractLocalAlluxioCluster,244,258,0,268,AbstractLocalAlluxioCluster.java,alluxio/master/AbstractLocalAlluxioCluster.java,main\java\alluxio\master\AbstractLocalAlluxioCluster.java,In method alluxio.master.AbstractLocalAlluxioCluster.stopWorkers(),alluxio.master.AbstractLocalAlluxioCluster,stopWorkers,()V,false,true,At AbstractLocalAlluxioCluster.java:[line 252],alluxio.master.AbstractLocalAlluxioCluster,true,252,252,91,91,AbstractLocalAlluxioCluster.java,alluxio/master/AbstractLocalAlluxioCluster.java,main\java\alluxio\master\AbstractLocalAlluxioCluster.java,At AbstractLocalAlluxioCluster.java:[line 252],alluxio.master.AbstractLocalAlluxioCluster,252,252,88,88,AbstractLocalAlluxioCluster.java,alluxio/master/AbstractLocalAlluxioCluster.java,main\java\alluxio\master\AbstractLocalAlluxioCluster.java,Sink method Logger.info(...),Logger.info(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,706ff48a1c180192d405c5f9c537a3c4,0,0,117,,,,,,,,,
Predictable pseudorandom number generator,The use of java.util.Random is predictable,In AbstractLocalAlluxioCluster.java,alluxio.master.AbstractLocalAlluxioCluster,AbstractLocalAlluxioCluster.java,alluxio/master/AbstractLocalAlluxioCluster.java,main\java\alluxio\master\AbstractLocalAlluxioCluster.java,In class alluxio.master.AbstractLocalAlluxioCluster,alluxio.master.AbstractLocalAlluxioCluster,true,alluxio.master.AbstractLocalAlluxioCluster,52,54,0,46,AbstractLocalAlluxioCluster.java,alluxio/master/AbstractLocalAlluxioCluster.java,main\java\alluxio\master\AbstractLocalAlluxioCluster.java,In method alluxio.master.AbstractLocalAlluxioCluster.<static initializer for AbstractLocalAlluxioCluster>(),alluxio.master.AbstractLocalAlluxioCluster,<clinit>,()V,true,true,At AbstractLocalAlluxioCluster.java:[line 54],alluxio.master.AbstractLocalAlluxioCluster,true,54,54,12,12,AbstractLocalAlluxioCluster.java,alluxio/master/AbstractLocalAlluxioCluster.java,main\java\alluxio\master\AbstractLocalAlluxioCluster.java,,,,,,,,,,Value java.util.Random,java.util.Random,,PREDICTABLE_RANDOM,2,7,SECPR,SECURITY,44e041bd015940a8ed116588330ff120,0,0,330,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.info(...) might be used to include CRLF characters into log messages,In LocalAlluxioMaster.java,alluxio.master.LocalAlluxioMaster,LocalAlluxioMaster.java,alluxio/master/LocalAlluxioMaster.java,main\java\alluxio\master\LocalAlluxioMaster.java,In class alluxio.master.LocalAlluxioMaster,alluxio.master.LocalAlluxioMaster,true,alluxio.master.LocalAlluxioMaster,163,183,0,261,LocalAlluxioMaster.java,alluxio/master/LocalAlluxioMaster.java,main\java\alluxio\master\LocalAlluxioMaster.java,In method alluxio.master.LocalAlluxioMaster.stop(),alluxio.master.LocalAlluxioMaster,stop,()V,false,true,At LocalAlluxioMaster.java:[line 166],alluxio.master.LocalAlluxioMaster,true,166,166,36,36,LocalAlluxioMaster.java,alluxio/master/LocalAlluxioMaster.java,main\java\alluxio\master\LocalAlluxioMaster.java,At LocalAlluxioMaster.java:[line 166],alluxio.master.LocalAlluxioMaster,166,166,33,33,LocalAlluxioMaster.java,alluxio/master/LocalAlluxioMaster.java,main\java\alluxio\master\LocalAlluxioMaster.java,Sink method Logger.info(...),Logger.info(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,a28eff0712185fa266c71973c5a25686,0,1,117,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.info(...) might be used to include CRLF characters into log messages,In LocalAlluxioMaster.java,alluxio.master.LocalAlluxioMaster,LocalAlluxioMaster.java,alluxio/master/LocalAlluxioMaster.java,main\java\alluxio\master\LocalAlluxioMaster.java,In class alluxio.master.LocalAlluxioMaster,alluxio.master.LocalAlluxioMaster,true,alluxio.master.LocalAlluxioMaster,163,183,0,261,LocalAlluxioMaster.java,alluxio/master/LocalAlluxioMaster.java,main\java\alluxio\master\LocalAlluxioMaster.java,In method alluxio.master.LocalAlluxioMaster.stop(),alluxio.master.LocalAlluxioMaster,stop,()V,false,true,At LocalAlluxioMaster.java:[line 174],alluxio.master.LocalAlluxioMaster,true,174,174,95,95,LocalAlluxioMaster.java,alluxio/master/LocalAlluxioMaster.java,main\java\alluxio\master\LocalAlluxioMaster.java,At LocalAlluxioMaster.java:[line 174],alluxio.master.LocalAlluxioMaster,174,174,92,92,LocalAlluxioMaster.java,alluxio/master/LocalAlluxioMaster.java,main\java\alluxio\master\LocalAlluxioMaster.java,Sink method Logger.info(...),Logger.info(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,a28eff0712185fa266c71973c5a25686,1,1,117,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.info(...) might be used to include CRLF characters into log messages,In LocalAlluxioMaster.java,alluxio.master.LocalAlluxioMaster$1,LocalAlluxioMaster.java,alluxio/master/LocalAlluxioMaster.java,main\java\alluxio\master\LocalAlluxioMaster.java,In class alluxio.master.LocalAlluxioMaster$1,alluxio.master.LocalAlluxioMaster$1,true,alluxio.master.LocalAlluxioMaster$1,106,115,0,198,LocalAlluxioMaster.java,alluxio/master/LocalAlluxioMaster.java,main\java\alluxio\master\LocalAlluxioMaster.java,In method alluxio.master.LocalAlluxioMaster$1.run(),alluxio.master.LocalAlluxioMaster$1,run,()V,false,true,At LocalAlluxioMaster.java:[line 106],alluxio.master.LocalAlluxioMaster$1,true,106,106,12,12,LocalAlluxioMaster.java,alluxio/master/LocalAlluxioMaster.java,main\java\alluxio\master\LocalAlluxioMaster.java,At LocalAlluxioMaster.java:[line 106],alluxio.master.LocalAlluxioMaster$1,106,106,9,9,LocalAlluxioMaster.java,alluxio/master/LocalAlluxioMaster.java,main\java\alluxio\master\LocalAlluxioMaster.java,Sink method Logger.info(...),Logger.info(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,9cc066db9e111cb163444006d30b090f,0,0,117,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.info(...) might be used to include CRLF characters into log messages,In LocalAlluxioMaster.java,alluxio.master.LocalAlluxioMaster$2,LocalAlluxioMaster.java,alluxio/master/LocalAlluxioMaster.java,main\java\alluxio\master\LocalAlluxioMaster.java,In class alluxio.master.LocalAlluxioMaster$2,alluxio.master.LocalAlluxioMaster$2,true,alluxio.master.LocalAlluxioMaster$2,134,143,0,198,LocalAlluxioMaster.java,alluxio/master/LocalAlluxioMaster.java,main\java\alluxio\master\LocalAlluxioMaster.java,In method alluxio.master.LocalAlluxioMaster$2.run(),alluxio.master.LocalAlluxioMaster$2,run,()V,false,true,At LocalAlluxioMaster.java:[line 134],alluxio.master.LocalAlluxioMaster$2,true,134,134,12,12,LocalAlluxioMaster.java,alluxio/master/LocalAlluxioMaster.java,main\java\alluxio\master\LocalAlluxioMaster.java,At LocalAlluxioMaster.java:[line 134],alluxio.master.LocalAlluxioMaster$2,134,134,9,9,LocalAlluxioMaster.java,alluxio/master/LocalAlluxioMaster.java,main\java\alluxio\master\LocalAlluxioMaster.java,Sink method Logger.info(...),Logger.info(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,ab6651397dd5a72ab8332fd0fb066754,0,0,117,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.info(...) might be used to include CRLF characters into log messages,In MultiMasterLocalAlluxioCluster.java,alluxio.master.MultiMasterLocalAlluxioCluster,MultiMasterLocalAlluxioCluster.java,alluxio/master/MultiMasterLocalAlluxioCluster.java,main\java\alluxio\master\MultiMasterLocalAlluxioCluster.java,In class alluxio.master.MultiMasterLocalAlluxioCluster,alluxio.master.MultiMasterLocalAlluxioCluster,true,alluxio.master.MultiMasterLocalAlluxioCluster,72,82,0,222,MultiMasterLocalAlluxioCluster.java,alluxio/master/MultiMasterLocalAlluxioCluster.java,main\java\alluxio\master\MultiMasterLocalAlluxioCluster.java,"In method new alluxio.master.MultiMasterLocalAlluxioCluster(int, int)",alluxio.master.MultiMasterLocalAlluxioCluster,<init>,(II)V,false,true,At MultiMasterLocalAlluxioCluster.java:[line 78],alluxio.master.MultiMasterLocalAlluxioCluster,true,78,78,60,60,MultiMasterLocalAlluxioCluster.java,alluxio/master/MultiMasterLocalAlluxioCluster.java,main\java\alluxio\master\MultiMasterLocalAlluxioCluster.java,At MultiMasterLocalAlluxioCluster.java:[line 78],alluxio.master.MultiMasterLocalAlluxioCluster,78,78,57,57,MultiMasterLocalAlluxioCluster.java,alluxio/master/MultiMasterLocalAlluxioCluster.java,main\java\alluxio\master\MultiMasterLocalAlluxioCluster.java,Sink method Logger.info(...),Logger.info(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,5bc1414dc5b33944a78980b5ac2107d7,0,0,117,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.info(...) might be used to include CRLF characters into log messages,In MultiMasterLocalAlluxioCluster.java,alluxio.master.MultiMasterLocalAlluxioCluster,MultiMasterLocalAlluxioCluster.java,alluxio/master/MultiMasterLocalAlluxioCluster.java,main\java\alluxio\master\MultiMasterLocalAlluxioCluster.java,In class alluxio.master.MultiMasterLocalAlluxioCluster,alluxio.master.MultiMasterLocalAlluxioCluster,true,alluxio.master.MultiMasterLocalAlluxioCluster,238,277,0,557,MultiMasterLocalAlluxioCluster.java,alluxio/master/MultiMasterLocalAlluxioCluster.java,main\java\alluxio\master\MultiMasterLocalAlluxioCluster.java,In method alluxio.master.MultiMasterLocalAlluxioCluster.startMasters(),alluxio.master.MultiMasterLocalAlluxioCluster,startMasters,()V,false,true,At MultiMasterLocalAlluxioCluster.java:[line 248],alluxio.master.MultiMasterLocalAlluxioCluster,true,248,248,125,125,MultiMasterLocalAlluxioCluster.java,alluxio/master/MultiMasterLocalAlluxioCluster.java,main\java\alluxio\master\MultiMasterLocalAlluxioCluster.java,At MultiMasterLocalAlluxioCluster.java:[line 249],alluxio.master.MultiMasterLocalAlluxioCluster,249,249,121,121,MultiMasterLocalAlluxioCluster.java,alluxio/master/MultiMasterLocalAlluxioCluster.java,main\java\alluxio\master\MultiMasterLocalAlluxioCluster.java,Sink method Logger.info(...),Logger.info(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,7dba06fcf5e43c11b976112e89d9c29c,0,0,117,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.info(...) might be used to include CRLF characters into log messages,In MultiMasterLocalAlluxioCluster.java,alluxio.master.MultiMasterLocalAlluxioCluster,MultiMasterLocalAlluxioCluster.java,alluxio/master/MultiMasterLocalAlluxioCluster.java,main\java\alluxio\master\MultiMasterLocalAlluxioCluster.java,In class alluxio.master.MultiMasterLocalAlluxioCluster,alluxio.master.MultiMasterLocalAlluxioCluster,true,alluxio.master.MultiMasterLocalAlluxioCluster,286,289,0,82,MultiMasterLocalAlluxioCluster.java,alluxio/master/MultiMasterLocalAlluxioCluster.java,main\java\alluxio\master\MultiMasterLocalAlluxioCluster.java,In method alluxio.master.MultiMasterLocalAlluxioCluster.stopFS(),alluxio.master.MultiMasterLocalAlluxioCluster,stopFS,()V,false,true,At MultiMasterLocalAlluxioCluster.java:[line 287],alluxio.master.MultiMasterLocalAlluxioCluster,true,287,287,16,16,MultiMasterLocalAlluxioCluster.java,alluxio/master/MultiMasterLocalAlluxioCluster.java,main\java\alluxio\master\MultiMasterLocalAlluxioCluster.java,At MultiMasterLocalAlluxioCluster.java:[line 287],alluxio.master.MultiMasterLocalAlluxioCluster,287,287,13,13,MultiMasterLocalAlluxioCluster.java,alluxio/master/MultiMasterLocalAlluxioCluster.java,main\java\alluxio\master\MultiMasterLocalAlluxioCluster.java,Sink method Logger.info(...),Logger.info(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,e9991dcda84d84058f44fccb0f6156de,0,0,117,,,,,,,,,
