ShortMessage,LongMessage,Class/SourceLine/0/Message,Class/SourceLine/0/_classname,Class/SourceLine/0/_sourcefile,Class/SourceLine/0/_sourcepath,Class/SourceLine/0/_relSourcepath,Class/Message,Class/_classname,Class/_primary,Method/SourceLine/0/_classname,Method/SourceLine/0/_start,Method/SourceLine/0/_end,Method/SourceLine/0/_startBytecode,Method/SourceLine/0/_endBytecode,Method/SourceLine/0/_sourcefile,Method/SourceLine/0/_sourcepath,Method/SourceLine/0/_relSourcepath,Method/Message,Method/_classname,Method/_name,Method/_signature,Method/_isStatic,Method/_primary,SourceLine/0/Message,SourceLine/0/_classname,SourceLine/0/_primary,SourceLine/0/_start,SourceLine/0/_end,SourceLine/0/_startBytecode,SourceLine/0/_endBytecode,SourceLine/0/_sourcefile,SourceLine/0/_sourcepath,SourceLine/0/_relSourcepath,SourceLine/1/Message,SourceLine/1/_classname,SourceLine/1/_start,SourceLine/1/_end,SourceLine/1/_startBytecode,SourceLine/1/_endBytecode,SourceLine/1/_sourcefile,SourceLine/1/_sourcepath,SourceLine/1/_relSourcepath,String/Message,String/_value,String/_role,_type,_priority,_rank,_abbrev,_category,_instanceHash,_instanceOccurrenceNum,_instanceOccurrenceMax,_cweid,SourceLine/2/Message,SourceLine/2/_classname,SourceLine/2/_start,SourceLine/2/_end,SourceLine/2/_startBytecode,SourceLine/2/_endBytecode,SourceLine/2/_sourcefile,SourceLine/2/_sourcepath,SourceLine/2/_relSourcepath,SourceLine/3/Message,SourceLine/3/_classname,SourceLine/3/_start,SourceLine/3/_end,SourceLine/3/_startBytecode,SourceLine/3/_endBytecode,SourceLine/3/_sourcefile,SourceLine/3/_sourcepath,SourceLine/3/_relSourcepath,SourceLine/4/Message,SourceLine/4/_classname,SourceLine/4/_start,SourceLine/4/_end,SourceLine/4/_startBytecode,SourceLine/4/_endBytecode,SourceLine/4/_sourcefile,SourceLine/4/_sourcepath,SourceLine/4/_relSourcepath
Potential Path Traversal (file write),FileWriter(...) writes to a file whose location might be specified by user input,In ConfigurationDocGenerator.java,alluxio.cli.ConfigurationDocGenerator,ConfigurationDocGenerator.java,alluxio/cli/ConfigurationDocGenerator.java,main\java\alluxio\cli\ConfigurationDocGenerator.java,In class alluxio.cli.ConfigurationDocGenerator,alluxio.cli.ConfigurationDocGenerator,true,alluxio.cli.ConfigurationDocGenerator,59,126,0,1258,ConfigurationDocGenerator.java,alluxio/cli/ConfigurationDocGenerator.java,main\java\alluxio\cli\ConfigurationDocGenerator.java,"In method alluxio.cli.ConfigurationDocGenerator.writeCSVFile(Collection, String)",alluxio.cli.ConfigurationDocGenerator,writeCSVFile,(Ljava/util/Collection;Ljava/lang/String;)V,true,true,At ConfigurationDocGenerator.java:[line 73],alluxio.cli.ConfigurationDocGenerator,true,73,73,96,96,ConfigurationDocGenerator.java,alluxio/cli/ConfigurationDocGenerator.java,main\java\alluxio\cli\ConfigurationDocGenerator.java,At ConfigurationDocGenerator.java:[line 73],alluxio.cli.ConfigurationDocGenerator,73,73,93,93,ConfigurationDocGenerator.java,alluxio/cli/ConfigurationDocGenerator.java,main\java\alluxio\cli\ConfigurationDocGenerator.java,Sink method FileWriter(...),FileWriter(...),Sink method,PATH_TRAVERSAL_OUT,2,7,SECPTO,SECURITY,e58bf96f2456f2dc1c20e1c4b7c275a6,0,0,22,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potential Path Traversal (file write),FileWriter(...) writes to a file whose location might be specified by user input,In ConfigurationDocGenerator.java,alluxio.cli.ConfigurationDocGenerator,ConfigurationDocGenerator.java,alluxio/cli/ConfigurationDocGenerator.java,main\java\alluxio\cli\ConfigurationDocGenerator.java,In class alluxio.cli.ConfigurationDocGenerator,alluxio.cli.ConfigurationDocGenerator,true,alluxio.cli.ConfigurationDocGenerator,137,205,0,1243,ConfigurationDocGenerator.java,alluxio/cli/ConfigurationDocGenerator.java,main\java\alluxio\cli\ConfigurationDocGenerator.java,"In method alluxio.cli.ConfigurationDocGenerator.writeYMLFile(Collection, String)",alluxio.cli.ConfigurationDocGenerator,writeYMLFile,(Ljava/util/Collection;Ljava/lang/String;)V,true,true,At ConfigurationDocGenerator.java:[line 152],alluxio.cli.ConfigurationDocGenerator,true,152,152,96,96,ConfigurationDocGenerator.java,alluxio/cli/ConfigurationDocGenerator.java,main\java\alluxio\cli\ConfigurationDocGenerator.java,At ConfigurationDocGenerator.java:[line 152],alluxio.cli.ConfigurationDocGenerator,152,152,93,93,ConfigurationDocGenerator.java,alluxio/cli/ConfigurationDocGenerator.java,main\java\alluxio\cli\ConfigurationDocGenerator.java,Sink method FileWriter(...),FileWriter(...),Sink method,PATH_TRAVERSAL_OUT,2,7,SECPTO,SECURITY,cefab4ca899ab3a761abc468d6dccbdf,0,0,22,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.error(...) might be used to include CRLF characters into log messages,In ValidateConf.java,alluxio.cli.ValidateConf,ValidateConf.java,alluxio/cli/ValidateConf.java,main\java\alluxio\cli\ValidateConf.java,In class alluxio.cli.ValidateConf,alluxio.cli.ValidateConf,true,alluxio.cli.ValidateConf,37,46,0,164,ValidateConf.java,alluxio/cli/ValidateConf.java,main\java\alluxio\cli\ValidateConf.java,In method alluxio.cli.ValidateConf.main(String[]),alluxio.cli.ValidateConf,main,([Ljava/lang/String;)V,true,true,At ValidateConf.java:[line 42],alluxio.cli.ValidateConf,true,42,42,46,46,ValidateConf.java,alluxio/cli/ValidateConf.java,main\java\alluxio\cli\ValidateConf.java,At ValidateConf.java:[line 42],alluxio.cli.ValidateConf,42,42,43,43,ValidateConf.java,alluxio/cli/ValidateConf.java,main\java\alluxio\cli\ValidateConf.java,Sink method Logger.error(...),Logger.error(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,7aa32c6d8adae9a5827c571496d9fb39,0,0,117,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potential Path Traversal (file read),File(...) reads a file whose location might be specified by user input,In FileSystemShellUtils.java,alluxio.cli.fs.FileSystemShellUtils,FileSystemShellUtils.java,alluxio/cli/fs/FileSystemShellUtils.java,main\java\alluxio\cli\fs\FileSystemShellUtils.java,In class alluxio.cli.fs.FileSystemShellUtils,alluxio.cli.fs.FileSystemShellUtils,true,alluxio.cli.fs.FileSystemShellUtils,167,177,0,226,FileSystemShellUtils.java,alluxio/cli/fs/FileSystemShellUtils.java,main\java\alluxio\cli\fs\FileSystemShellUtils.java,In method alluxio.cli.fs.FileSystemShellUtils.getFiles(String),alluxio.cli.fs.FileSystemShellUtils,getFiles,(Ljava/lang/String;)Ljava/util/List;,true,true,At FileSystemShellUtils.java:[line 167],alluxio.cli.fs.FileSystemShellUtils,true,167,167,5,5,FileSystemShellUtils.java,alluxio/cli/fs/FileSystemShellUtils.java,main\java\alluxio\cli\fs\FileSystemShellUtils.java,At CpCommand.java:[line 355],alluxio.cli.fs.command.CpCommand,355,355,77,77,CpCommand.java,alluxio/cli/fs/command/CpCommand.java,main\java\alluxio\cli\fs\command\CpCommand.java,Sink method File(...),File(...),Sink method,PATH_TRAVERSAL_IN,2,7,SECPTI,SECURITY,8316b3ecb36c2f230d8e797843472b12,0,1,22,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potential Path Traversal (file read),File(...) reads a file whose location might be specified by user input,In FileSystemShellUtils.java,alluxio.cli.fs.FileSystemShellUtils,FileSystemShellUtils.java,alluxio/cli/fs/FileSystemShellUtils.java,main\java\alluxio\cli\fs\FileSystemShellUtils.java,In class alluxio.cli.fs.FileSystemShellUtils,alluxio.cli.fs.FileSystemShellUtils,true,alluxio.cli.fs.FileSystemShellUtils,167,177,0,226,FileSystemShellUtils.java,alluxio/cli/fs/FileSystemShellUtils.java,main\java\alluxio\cli\fs\FileSystemShellUtils.java,In method alluxio.cli.fs.FileSystemShellUtils.getFiles(String),alluxio.cli.fs.FileSystemShellUtils,getFiles,(Ljava/lang/String;)Ljava/util/List;,true,true,At FileSystemShellUtils.java:[line 176],alluxio.cli.fs.FileSystemShellUtils,true,176,176,62,62,FileSystemShellUtils.java,alluxio/cli/fs/FileSystemShellUtils.java,main\java\alluxio\cli\fs\FileSystemShellUtils.java,At FileSystemShellUtils.java:[line 175],alluxio.cli.fs.FileSystemShellUtils,175,175,53,53,FileSystemShellUtils.java,alluxio/cli/fs/FileSystemShellUtils.java,main\java\alluxio\cli\fs\FileSystemShellUtils.java,Sink method File(...),File(...),Sink method,PATH_TRAVERSAL_IN,2,7,SECPTI,SECURITY,8316b3ecb36c2f230d8e797843472b12,1,1,22,At CpCommand.java:[line 355],alluxio.cli.fs.command.CpCommand,355,355,77,77,CpCommand.java,alluxio/cli/fs/command/CpCommand.java,main\java\alluxio\cli\fs\command\CpCommand.java,,,,,,,,,,,,,,,,,,
Potential Path Traversal (file read),File(...) reads a file whose location might be specified by user input,In FileSystemShellUtils.java,alluxio.cli.fs.FileSystemShellUtils,FileSystemShellUtils.java,alluxio/cli/fs/FileSystemShellUtils.java,main\java\alluxio\cli\fs\FileSystemShellUtils.java,In class alluxio.cli.fs.FileSystemShellUtils,alluxio.cli.fs.FileSystemShellUtils,true,alluxio.cli.fs.FileSystemShellUtils,191,215,0,453,FileSystemShellUtils.java,alluxio/cli/fs/FileSystemShellUtils.java,main\java\alluxio\cli\fs\FileSystemShellUtils.java,"In method alluxio.cli.fs.FileSystemShellUtils.getFiles(String, String)",alluxio.cli.fs.FileSystemShellUtils,getFiles,(Ljava/lang/String;Ljava/lang/String;)Ljava/util/List;,true,true,At FileSystemShellUtils.java:[line 192],alluxio.cli.fs.FileSystemShellUtils,true,192,192,13,13,FileSystemShellUtils.java,alluxio/cli/fs/FileSystemShellUtils.java,main\java\alluxio\cli\fs\FileSystemShellUtils.java,At FileSystemShellUtils.java:[line 176],alluxio.cli.fs.FileSystemShellUtils,176,176,65,65,FileSystemShellUtils.java,alluxio/cli/fs/FileSystemShellUtils.java,main\java\alluxio\cli\fs\FileSystemShellUtils.java,Sink method File(...),File(...),Sink method,PATH_TRAVERSAL_IN,2,7,SECPTI,SECURITY,4ea483928016de8df0fbbc19975eea56,0,0,22,At FileSystemShellUtils.java:[line 177],alluxio.cli.fs.FileSystemShellUtils,177,177,71,71,FileSystemShellUtils.java,alluxio/cli/fs/FileSystemShellUtils.java,main\java\alluxio\cli\fs\FileSystemShellUtils.java,At FileSystemShellUtils.java:[line 209],alluxio.cli.fs.FileSystemShellUtils,209,209,179,179,FileSystemShellUtils.java,alluxio/cli/fs/FileSystemShellUtils.java,main\java\alluxio\cli\fs\FileSystemShellUtils.java,,,,,,,,,
"MD2, MD4 and MD5 are weak hash functions",MD5 is not a recommended cryptographic hash function,In ChecksumCommand.java,alluxio.cli.fs.command.ChecksumCommand,ChecksumCommand.java,alluxio/cli/fs/command/ChecksumCommand.java,main\java\alluxio\cli\fs\command\ChecksumCommand.java,In class alluxio.cli.fs.command.ChecksumCommand,alluxio.cli.fs.command.ChecksumCommand,true,alluxio.cli.fs.command.ChecksumCommand,86,89,0,349,ChecksumCommand.java,alluxio/cli/fs/command/ChecksumCommand.java,main\java\alluxio\cli\fs\command\ChecksumCommand.java,In method alluxio.cli.fs.command.ChecksumCommand.calculateChecksum(AlluxioURI),alluxio.cli.fs.command.ChecksumCommand,calculateChecksum,(Lalluxio/AlluxioURI;)Ljava/lang/String;,false,true,At ChecksumCommand.java:[line 88],alluxio.cli.fs.command.ChecksumCommand,true,88,88,29,29,ChecksumCommand.java,alluxio/cli/fs/command/ChecksumCommand.java,main\java\alluxio\cli\fs\command\ChecksumCommand.java,,,,,,,,,,Value MD5,MD5,,WEAK_MESSAGE_DIGEST_MD5,1,5,SECMD5,SECURITY,f3bdf7a1e51003a3eb7ac382c6038c23,0,0,328,,,,,,,,,,,,,,,,,,,,,,,,,,,
Regex DOS (ReDOS),"The regular expression ""(?<user>[\\w][\\w-]*\\$?)(:(?<group>[\\w][\\w-]*\\$?))?"" is vulnerable to a denial of service attack (ReDOS)",In ChownCommand.java,alluxio.cli.fs.command.ChownCommand,ChownCommand.java,alluxio/cli/fs/command/ChownCommand.java,main\java\alluxio\cli\fs\command\ChownCommand.java,In class alluxio.cli.fs.command.ChownCommand,alluxio.cli.fs.command.ChownCommand,true,alluxio.cli.fs.command.ChownCommand,39,88,0,88,ChownCommand.java,alluxio/cli/fs/command/ChownCommand.java,main\java\alluxio\cli\fs\command\ChownCommand.java,In method alluxio.cli.fs.command.ChownCommand.<static initializer for ChownCommand>(),alluxio.cli.fs.command.ChownCommand,<clinit>,()V,true,true,At ChownCommand.java:[line 89],alluxio.cli.fs.command.ChownCommand,true,89,89,26,26,ChownCommand.java,alluxio/cli/fs/command/ChownCommand.java,main\java\alluxio\cli\fs\command\ChownCommand.java,,,,,,,,,,Value (?<user>[\\w][\\w-]*\\$?)(:(?<group>[\\w][\\w-]*\\$?))?,(?<user>[\\w][\\w-]*\\$?)(:(?<group>[\\w][\\w-]*\\$?))?,,REDOS,2,7,SECRD,SECURITY,2ed117225771129c532104bc0b0cd2dd,0,0,400,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.debug(...) might be used to include CRLF characters into log messages,In CopyFromLocalCommand.java,alluxio.cli.fs.command.CopyFromLocalCommand,CopyFromLocalCommand.java,alluxio/cli/fs/command/CopyFromLocalCommand.java,main\java\alluxio\cli\fs\command\CopyFromLocalCommand.java,In class alluxio.cli.fs.command.CopyFromLocalCommand,alluxio.cli.fs.command.CopyFromLocalCommand,true,alluxio.cli.fs.command.CopyFromLocalCommand,47,62,0,230,CopyFromLocalCommand.java,alluxio/cli/fs/command/CopyFromLocalCommand.java,main\java\alluxio\cli\fs\command\CopyFromLocalCommand.java,In method new alluxio.cli.fs.command.CopyFromLocalCommand(FileSystemContext),alluxio.cli.fs.command.CopyFromLocalCommand,<init>,(Lalluxio/client/file/FileSystemContext;)V,false,true,At CopyFromLocalCommand.java:[line 55],alluxio.cli.fs.command.CopyFromLocalCommand,true,55,55,67,67,CopyFromLocalCommand.java,alluxio/cli/fs/command/CopyFromLocalCommand.java,main\java\alluxio\cli\fs\command\CopyFromLocalCommand.java,At CopyFromLocalCommand.java:[line 55],alluxio.cli.fs.command.CopyFromLocalCommand,55,55,64,64,CopyFromLocalCommand.java,alluxio/cli/fs/command/CopyFromLocalCommand.java,main\java\alluxio\cli\fs\command\CopyFromLocalCommand.java,Sink method Logger.debug(...),Logger.debug(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,b268ce37befab14ab4ee7d98c2489326,0,0,117,At CopyFromLocalCommand.java:[line 56],alluxio.cli.fs.command.CopyFromLocalCommand,56,56,51,51,CopyFromLocalCommand.java,alluxio/cli/fs/command/CopyFromLocalCommand.java,main\java\alluxio\cli\fs\command\CopyFromLocalCommand.java,At CopyFromLocalCommand.java:[line 57],alluxio.cli.fs.command.CopyFromLocalCommand,57,57,60,60,CopyFromLocalCommand.java,alluxio/cli/fs/command/CopyFromLocalCommand.java,main\java\alluxio\cli\fs\command\CopyFromLocalCommand.java,,,,,,,,,
Potential Path Traversal (file read),File(...) reads a file whose location might be specified by user input,In CopyFromLocalCommand.java,alluxio.cli.fs.command.CopyFromLocalCommand,CopyFromLocalCommand.java,alluxio/cli/fs/command/CopyFromLocalCommand.java,main\java\alluxio\cli\fs\command\CopyFromLocalCommand.java,In class alluxio.cli.fs.command.CopyFromLocalCommand,alluxio.cli.fs.command.CopyFromLocalCommand,true,alluxio.cli.fs.command.CopyFromLocalCommand,82,86,0,147,CopyFromLocalCommand.java,alluxio/cli/fs/command/CopyFromLocalCommand.java,main\java\alluxio\cli\fs\command\CopyFromLocalCommand.java,In method alluxio.cli.fs.command.CopyFromLocalCommand.run(CommandLine),alluxio.cli.fs.command.CopyFromLocalCommand,run,(Lorg/apache/commons/cli/CommandLine;)I,false,true,At CopyFromLocalCommand.java:[line 84],alluxio.cli.fs.command.CopyFromLocalCommand,true,84,84,31,31,CopyFromLocalCommand.java,alluxio/cli/fs/command/CopyFromLocalCommand.java,main\java\alluxio\cli\fs\command\CopyFromLocalCommand.java,At CopyFromLocalCommand.java:[line 82],alluxio.cli.fs.command.CopyFromLocalCommand,82,82,1,1,CopyFromLocalCommand.java,alluxio/cli/fs/command/CopyFromLocalCommand.java,main\java\alluxio\cli\fs\command\CopyFromLocalCommand.java,Sink method File(...),File(...),Sink method,PATH_TRAVERSAL_IN,2,7,SECPTI,SECURITY,95d6a38ac1f3adc7f655cbe97aba138e,0,0,22,,,,,,,,,,,,,,,,,,,,,,,,,,,
