ShortMessage,LongMessage,Class/SourceLine/0/Message,Class/SourceLine/0/_classname,Class/SourceLine/0/_sourcefile,Class/SourceLine/0/_sourcepath,Class/SourceLine/0/_relSourcepath,Class/Message,Class/_classname,Class/_primary,Method/SourceLine/0/_classname,Method/SourceLine/0/_start,Method/SourceLine/0/_end,Method/SourceLine/0/_startBytecode,Method/SourceLine/0/_endBytecode,Method/SourceLine/0/_sourcefile,Method/SourceLine/0/_sourcepath,Method/SourceLine/0/_relSourcepath,Method/Message,Method/_classname,Method/_name,Method/_signature,Method/_isStatic,Method/_primary,SourceLine/0/Message,SourceLine/0/_classname,SourceLine/0/_primary,SourceLine/0/_start,SourceLine/0/_end,SourceLine/0/_startBytecode,SourceLine/0/_endBytecode,SourceLine/0/_sourcefile,SourceLine/0/_sourcepath,SourceLine/0/_relSourcepath,SourceLine/1/Message,SourceLine/1/_classname,SourceLine/1/_start,SourceLine/1/_end,SourceLine/1/_startBytecode,SourceLine/1/_endBytecode,SourceLine/1/_sourcefile,SourceLine/1/_sourcepath,SourceLine/1/_relSourcepath,String/Message,String/_value,String/_role,_type,_priority,_rank,_abbrev,_category,_instanceHash,_instanceOccurrenceNum,_instanceOccurrenceMax,_cweid
Potential CRLF Injection for logs,This use of Logger.warn(...) might be used to include CRLF characters into log messages,In LayoutRegistry.java,alluxio.table.common.LayoutRegistry,LayoutRegistry.java,alluxio/table/common/LayoutRegistry.java,main\java\alluxio\table\common\LayoutRegistry.java,In class alluxio.table.common.LayoutRegistry,alluxio.table.common.LayoutRegistry,true,alluxio.table.common.LayoutRegistry,40,53,0,334,LayoutRegistry.java,alluxio/table/common/LayoutRegistry.java,main\java\alluxio\table\common\LayoutRegistry.java,In method alluxio.table.common.LayoutRegistry.refresh(),alluxio.table.common.LayoutRegistry,refresh,()V,false,true,At LayoutRegistry.java:[line 45],alluxio.table.common.LayoutRegistry,true,45,45,96,96,LayoutRegistry.java,alluxio/table/common/LayoutRegistry.java,main\java\alluxio\table\common\LayoutRegistry.java,At LayoutRegistry.java:[line 47],alluxio.table.common.LayoutRegistry,47,47,75,75,LayoutRegistry.java,alluxio/table/common/LayoutRegistry.java,main\java\alluxio\table\common\LayoutRegistry.java,Sink method Logger.warn(...),Logger.warn(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,19fb8223ccec842dd43447c04ee10f41,0,0,117
Potential CRLF Injection for logs,This use of Logger.info(...) might be used to include CRLF characters into log messages,In LayoutRegistry.java,alluxio.table.common.LayoutRegistry,LayoutRegistry.java,alluxio/table/common/LayoutRegistry.java,main\java\alluxio\table\common\LayoutRegistry.java,In class alluxio.table.common.LayoutRegistry,alluxio.table.common.LayoutRegistry,true,alluxio.table.common.LayoutRegistry,40,53,0,334,LayoutRegistry.java,alluxio/table/common/LayoutRegistry.java,main\java\alluxio\table\common\LayoutRegistry.java,In method alluxio.table.common.LayoutRegistry.refresh(),alluxio.table.common.LayoutRegistry,refresh,()V,false,true,At LayoutRegistry.java:[line 52],alluxio.table.common.LayoutRegistry,true,52,52,158,158,LayoutRegistry.java,alluxio/table/common/LayoutRegistry.java,main\java\alluxio\table\common\LayoutRegistry.java,At LayoutRegistry.java:[line 52],alluxio.table.common.LayoutRegistry,52,52,155,155,LayoutRegistry.java,alluxio/table/common/LayoutRegistry.java,main\java\alluxio\table\common\LayoutRegistry.java,Sink method Logger.info(...),Logger.info(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,c459481026b581b57af78c3902aa0e8,0,0,117
Potential CRLF Injection for logs,This use of Logger.warn(...) might be used to include CRLF characters into log messages,In TransformActionRegistry.java,alluxio.table.common.transform.action.TransformActionRegistry,TransformActionRegistry.java,alluxio/table/common/transform/action/TransformActionRegistry.java,main\java\alluxio\table\common\transform\action\TransformActionRegistry.java,In class alluxio.table.common.transform.action.TransformActionRegistry,alluxio.table.common.transform.action.TransformActionRegistry,true,alluxio.table.common.transform.action.TransformActionRegistry,59,71,0,284,TransformActionRegistry.java,alluxio/table/common/transform/action/TransformActionRegistry.java,main\java\alluxio\table\common\transform\action\TransformActionRegistry.java,In method alluxio.table.common.transform.action.TransformActionRegistry.refresh(),alluxio.table.common.transform.action.TransformActionRegistry,refresh,()V,true,true,At TransformActionRegistry.java:[line 64],alluxio.table.common.transform.action.TransformActionRegistry,true,64,64,95,95,TransformActionRegistry.java,alluxio/table/common/transform/action/TransformActionRegistry.java,main\java\alluxio\table\common\transform\action\TransformActionRegistry.java,At TransformActionRegistry.java:[line 66],alluxio.table.common.transform.action.TransformActionRegistry,66,66,91,91,TransformActionRegistry.java,alluxio/table/common/transform/action/TransformActionRegistry.java,main\java\alluxio\table\common\transform\action\TransformActionRegistry.java,Sink method Logger.warn(...),Logger.warn(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,28b122ad05034a7b1fbd6fd07bddcd37,0,0,117
Potential CRLF Injection for logs,This use of Logger.info(...) might be used to include CRLF characters into log messages,In TransformActionRegistry.java,alluxio.table.common.transform.action.TransformActionRegistry,TransformActionRegistry.java,alluxio/table/common/transform/action/TransformActionRegistry.java,main\java\alluxio\table\common\transform\action\TransformActionRegistry.java,In class alluxio.table.common.transform.action.TransformActionRegistry,alluxio.table.common.transform.action.TransformActionRegistry,true,alluxio.table.common.transform.action.TransformActionRegistry,59,71,0,284,TransformActionRegistry.java,alluxio/table/common/transform/action/TransformActionRegistry.java,main\java\alluxio\table\common\transform\action\TransformActionRegistry.java,In method alluxio.table.common.transform.action.TransformActionRegistry.refresh(),alluxio.table.common.transform.action.TransformActionRegistry,refresh,()V,true,true,At TransformActionRegistry.java:[line 70],alluxio.table.common.transform.action.TransformActionRegistry,true,70,70,153,153,TransformActionRegistry.java,alluxio/table/common/transform/action/TransformActionRegistry.java,main\java\alluxio\table\common\transform\action\TransformActionRegistry.java,At TransformActionRegistry.java:[line 70],alluxio.table.common.transform.action.TransformActionRegistry,70,70,150,150,TransformActionRegistry.java,alluxio/table/common/transform/action/TransformActionRegistry.java,main\java\alluxio\table\common\transform\action\TransformActionRegistry.java,Sink method Logger.info(...),Logger.info(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,eb6898b2334e5a5295ea30346f695546,0,0,117
Potential CRLF Injection for logs,This use of Logger.info(...) might be used to include CRLF characters into log messages,In UnderDatabaseRegistry.java,alluxio.table.common.udb.UnderDatabaseRegistry,UnderDatabaseRegistry.java,alluxio/table/common/udb/UnderDatabaseRegistry.java,main\java\alluxio\table\common\udb\UnderDatabaseRegistry.java,In class alluxio.table.common.udb.UnderDatabaseRegistry,alluxio.table.common.udb.UnderDatabaseRegistry,true,alluxio.table.common.udb.UnderDatabaseRegistry,55,107,0,1278,UnderDatabaseRegistry.java,alluxio/table/common/udb/UnderDatabaseRegistry.java,main\java\alluxio\table\common\udb\UnderDatabaseRegistry.java,In method alluxio.table.common.udb.UnderDatabaseRegistry.refresh(),alluxio.table.common.udb.UnderDatabaseRegistry,refresh,()V,false,true,At UnderDatabaseRegistry.java:[line 59],alluxio.table.common.udb.UnderDatabaseRegistry,true,59,59,29,29,UnderDatabaseRegistry.java,alluxio/table/common/udb/UnderDatabaseRegistry.java,main\java\alluxio\table\common\udb\UnderDatabaseRegistry.java,At UnderDatabaseRegistry.java:[line 58],alluxio.table.common.udb.UnderDatabaseRegistry,58,58,19,19,UnderDatabaseRegistry.java,alluxio/table/common/udb/UnderDatabaseRegistry.java,main\java\alluxio\table\common\udb\UnderDatabaseRegistry.java,Sink method Logger.info(...),Logger.info(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,b088eaaae6ef519f8b7115b2906aa70d,0,1,117
Potential CRLF Injection for logs,This use of Logger.warn(...) might be used to include CRLF characters into log messages,In UnderDatabaseRegistry.java,alluxio.table.common.udb.UnderDatabaseRegistry,UnderDatabaseRegistry.java,alluxio/table/common/udb/UnderDatabaseRegistry.java,main\java\alluxio\table\common\udb\UnderDatabaseRegistry.java,In class alluxio.table.common.udb.UnderDatabaseRegistry,alluxio.table.common.udb.UnderDatabaseRegistry,true,alluxio.table.common.udb.UnderDatabaseRegistry,55,107,0,1278,UnderDatabaseRegistry.java,alluxio/table/common/udb/UnderDatabaseRegistry.java,main\java\alluxio\table\common\udb\UnderDatabaseRegistry.java,In method alluxio.table.common.udb.UnderDatabaseRegistry.refresh(),alluxio.table.common.udb.UnderDatabaseRegistry,refresh,()V,false,true,At UnderDatabaseRegistry.java:[line 69],alluxio.table.common.udb.UnderDatabaseRegistry,true,69,69,232,232,UnderDatabaseRegistry.java,alluxio/table/common/udb/UnderDatabaseRegistry.java,main\java\alluxio\table\common\udb\UnderDatabaseRegistry.java,At UnderDatabaseRegistry.java:[line 69],alluxio.table.common.udb.UnderDatabaseRegistry,69,69,229,229,UnderDatabaseRegistry.java,alluxio/table/common/udb/UnderDatabaseRegistry.java,main\java\alluxio\table\common\udb\UnderDatabaseRegistry.java,Sink method Logger.warn(...),Logger.warn(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,a64eeb624cc033a9924c219458f2704c,0,3,117
Potential CRLF Injection for logs,This use of Logger.warn(...) might be used to include CRLF characters into log messages,In UnderDatabaseRegistry.java,alluxio.table.common.udb.UnderDatabaseRegistry,UnderDatabaseRegistry.java,alluxio/table/common/udb/UnderDatabaseRegistry.java,main\java\alluxio\table\common\udb\UnderDatabaseRegistry.java,In class alluxio.table.common.udb.UnderDatabaseRegistry,alluxio.table.common.udb.UnderDatabaseRegistry,true,alluxio.table.common.udb.UnderDatabaseRegistry,55,107,0,1278,UnderDatabaseRegistry.java,alluxio/table/common/udb/UnderDatabaseRegistry.java,main\java\alluxio\table\common\udb\UnderDatabaseRegistry.java,In method alluxio.table.common.udb.UnderDatabaseRegistry.refresh(),alluxio.table.common.udb.UnderDatabaseRegistry,refresh,()V,false,true,At UnderDatabaseRegistry.java:[line 83],alluxio.table.common.udb.UnderDatabaseRegistry,true,83,83,390,390,UnderDatabaseRegistry.java,alluxio/table/common/udb/UnderDatabaseRegistry.java,main\java\alluxio\table\common\udb\UnderDatabaseRegistry.java,At UnderDatabaseRegistry.java:[line 85],alluxio.table.common.udb.UnderDatabaseRegistry,85,85,386,386,UnderDatabaseRegistry.java,alluxio/table/common/udb/UnderDatabaseRegistry.java,main\java\alluxio\table\common\udb\UnderDatabaseRegistry.java,Sink method Logger.warn(...),Logger.warn(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,a64eeb624cc033a9924c219458f2704c,1,3,117
Potential CRLF Injection for logs,This use of Logger.warn(...) might be used to include CRLF characters into log messages,In UnderDatabaseRegistry.java,alluxio.table.common.udb.UnderDatabaseRegistry,UnderDatabaseRegistry.java,alluxio/table/common/udb/UnderDatabaseRegistry.java,main\java\alluxio\table\common\udb\UnderDatabaseRegistry.java,In class alluxio.table.common.udb.UnderDatabaseRegistry,alluxio.table.common.udb.UnderDatabaseRegistry,true,alluxio.table.common.udb.UnderDatabaseRegistry,55,107,0,1278,UnderDatabaseRegistry.java,alluxio/table/common/udb/UnderDatabaseRegistry.java,main\java\alluxio\table\common\udb\UnderDatabaseRegistry.java,In method alluxio.table.common.udb.UnderDatabaseRegistry.refresh(),alluxio.table.common.udb.UnderDatabaseRegistry,refresh,()V,false,true,At UnderDatabaseRegistry.java:[line 90],alluxio.table.common.udb.UnderDatabaseRegistry,true,90,90,428,428,UnderDatabaseRegistry.java,alluxio/table/common/udb/UnderDatabaseRegistry.java,main\java\alluxio\table\common\udb\UnderDatabaseRegistry.java,,,,,,,,,,Sink method Logger.warn(...),Logger.warn(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,a64eeb624cc033a9924c219458f2704c,2,3,117
Potential CRLF Injection for logs,This use of Logger.warn(...) might be used to include CRLF characters into log messages,In UnderDatabaseRegistry.java,alluxio.table.common.udb.UnderDatabaseRegistry,UnderDatabaseRegistry.java,alluxio/table/common/udb/UnderDatabaseRegistry.java,main\java\alluxio\table\common\udb\UnderDatabaseRegistry.java,In class alluxio.table.common.udb.UnderDatabaseRegistry,alluxio.table.common.udb.UnderDatabaseRegistry,true,alluxio.table.common.udb.UnderDatabaseRegistry,55,107,0,1278,UnderDatabaseRegistry.java,alluxio/table/common/udb/UnderDatabaseRegistry.java,main\java\alluxio\table\common\udb\UnderDatabaseRegistry.java,In method alluxio.table.common.udb.UnderDatabaseRegistry.refresh(),alluxio.table.common.udb.UnderDatabaseRegistry,refresh,()V,false,true,At UnderDatabaseRegistry.java:[line 99],alluxio.table.common.udb.UnderDatabaseRegistry,true,99,99,531,531,UnderDatabaseRegistry.java,alluxio/table/common/udb/UnderDatabaseRegistry.java,main\java\alluxio\table\common\udb\UnderDatabaseRegistry.java,At UnderDatabaseRegistry.java:[line 100],alluxio.table.common.udb.UnderDatabaseRegistry,100,100,527,527,UnderDatabaseRegistry.java,alluxio/table/common/udb/UnderDatabaseRegistry.java,main\java\alluxio\table\common\udb\UnderDatabaseRegistry.java,Sink method Logger.warn(...),Logger.warn(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,a64eeb624cc033a9924c219458f2704c,3,3,117
Potential CRLF Injection for logs,This use of Logger.info(...) might be used to include CRLF characters into log messages,In UnderDatabaseRegistry.java,alluxio.table.common.udb.UnderDatabaseRegistry,UnderDatabaseRegistry.java,alluxio/table/common/udb/UnderDatabaseRegistry.java,main\java\alluxio\table\common\udb\UnderDatabaseRegistry.java,In class alluxio.table.common.udb.UnderDatabaseRegistry,alluxio.table.common.udb.UnderDatabaseRegistry,true,alluxio.table.common.udb.UnderDatabaseRegistry,55,107,0,1278,UnderDatabaseRegistry.java,alluxio/table/common/udb/UnderDatabaseRegistry.java,main\java\alluxio\table\common\udb\UnderDatabaseRegistry.java,In method alluxio.table.common.udb.UnderDatabaseRegistry.refresh(),alluxio.table.common.udb.UnderDatabaseRegistry,refresh,()V,false,true,At UnderDatabaseRegistry.java:[line 106],alluxio.table.common.udb.UnderDatabaseRegistry,true,106,106,595,595,UnderDatabaseRegistry.java,alluxio/table/common/udb/UnderDatabaseRegistry.java,main\java\alluxio\table\common\udb\UnderDatabaseRegistry.java,At UnderDatabaseRegistry.java:[line 106],alluxio.table.common.udb.UnderDatabaseRegistry,106,106,592,592,UnderDatabaseRegistry.java,alluxio/table/common/udb/UnderDatabaseRegistry.java,main\java\alluxio\table\common\udb\UnderDatabaseRegistry.java,Sink method Logger.info(...),Logger.info(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,b088eaaae6ef519f8b7115b2906aa70d,1,1,117
