ShortMessage,LongMessage,Class/SourceLine/0/Message,Class/SourceLine/0/_classname,Class/SourceLine/0/_sourcefile,Class/SourceLine/0/_sourcepath,Class/SourceLine/0/_relSourcepath,Class/Message,Class/_classname,Class/_primary,Method/SourceLine/0/_classname,Method/SourceLine/0/_start,Method/SourceLine/0/_end,Method/SourceLine/0/_startBytecode,Method/SourceLine/0/_endBytecode,Method/SourceLine/0/_sourcefile,Method/SourceLine/0/_sourcepath,Method/SourceLine/0/_relSourcepath,Method/Message,Method/_classname,Method/_name,Method/_signature,Method/_isStatic,Method/_primary,SourceLine/0/Message,SourceLine/0/_classname,SourceLine/0/_primary,SourceLine/0/_start,SourceLine/0/_end,SourceLine/0/_startBytecode,SourceLine/0/_endBytecode,SourceLine/0/_sourcefile,SourceLine/0/_sourcepath,SourceLine/0/_relSourcepath,SourceLine/1/Message,SourceLine/1/_classname,SourceLine/1/_start,SourceLine/1/_end,SourceLine/1/_startBytecode,SourceLine/1/_endBytecode,SourceLine/1/_sourcefile,SourceLine/1/_sourcepath,SourceLine/1/_relSourcepath,SourceLine/2/Message,SourceLine/2/_classname,SourceLine/2/_start,SourceLine/2/_end,SourceLine/2/_startBytecode,SourceLine/2/_endBytecode,SourceLine/2/_sourcefile,SourceLine/2/_sourcepath,SourceLine/2/_relSourcepath,SourceLine/3/Message,SourceLine/3/_classname,SourceLine/3/_start,SourceLine/3/_end,SourceLine/3/_startBytecode,SourceLine/3/_endBytecode,SourceLine/3/_sourcefile,SourceLine/3/_sourcepath,SourceLine/3/_relSourcepath,SourceLine/4/Message,SourceLine/4/_classname,SourceLine/4/_start,SourceLine/4/_end,SourceLine/4/_startBytecode,SourceLine/4/_endBytecode,SourceLine/4/_sourcefile,SourceLine/4/_sourcepath,SourceLine/4/_relSourcepath,SourceLine/5/Message,SourceLine/5/_classname,SourceLine/5/_start,SourceLine/5/_end,SourceLine/5/_startBytecode,SourceLine/5/_endBytecode,SourceLine/5/_sourcefile,SourceLine/5/_sourcepath,SourceLine/5/_relSourcepath,String/0/Message,String/0/_value,String/0/_role,_type,_priority,_rank,_abbrev,_category,_instanceHash,_instanceOccurrenceNum,_instanceOccurrenceMax,_cweid,String/1/Message,String/1/_value,String/1/_role
Potential CRLF Injection for logs,This use of Logger.debug(...) might be used to include CRLF characters into log messages,In AlluxioCatalog.java,alluxio.master.table.AlluxioCatalog,AlluxioCatalog.java,alluxio/master/table/AlluxioCatalog.java,main\java\alluxio\master\table\AlluxioCatalog.java,In class alluxio.master.table.AlluxioCatalog,alluxio.master.table.AlluxioCatalog,true,alluxio.master.table.AlluxioCatalog,339,356,0,450,AlluxioCatalog.java,alluxio/master/table/AlluxioCatalog.java,main\java\alluxio\master\table\AlluxioCatalog.java,In method alluxio.master.table.AlluxioCatalog.apply(Table$CompleteTransformTableEntry),alluxio.master.table.AlluxioCatalog,apply,(Lalluxio/proto/journal/Table$CompleteTransformTableEntry;)V,false,true,At AlluxioCatalog.java:[line 353],alluxio.master.table.AlluxioCatalog,true,353,353,161,161,AlluxioCatalog.java,alluxio/master/table/AlluxioCatalog.java,main\java\alluxio\master\table\AlluxioCatalog.java,At AlluxioCatalog.java:[line 339],alluxio.master.table.AlluxioCatalog,339,339,1,1,AlluxioCatalog.java,alluxio/master/table/AlluxioCatalog.java,main\java\alluxio\master\table\AlluxioCatalog.java,At AlluxioCatalog.java:[line 340],alluxio.master.table.AlluxioCatalog,340,340,6,6,AlluxioCatalog.java,alluxio/master/table/AlluxioCatalog.java,main\java\alluxio\master\table\AlluxioCatalog.java,At AlluxioCatalog.java:[line 347],alluxio.master.table.AlluxioCatalog,347,347,42,42,AlluxioCatalog.java,alluxio/master/table/AlluxioCatalog.java,main\java\alluxio\master\table\AlluxioCatalog.java,At AlluxioCatalog.java:[line 349],alluxio.master.table.AlluxioCatalog,349,349,73,73,AlluxioCatalog.java,alluxio/master/table/AlluxioCatalog.java,main\java\alluxio\master\table\AlluxioCatalog.java,At AlluxioCatalog.java:[line 354],alluxio.master.table.AlluxioCatalog,354,354,157,157,AlluxioCatalog.java,alluxio/master/table/AlluxioCatalog.java,main\java\alluxio\master\table\AlluxioCatalog.java,Sink method Logger.debug(...),Logger.debug(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,c1672f88208b3954e61a6b0f106f80a0,0,0,117,,,
Potential CRLF Injection for logs,This use of Logger.info(...) might be used to include CRLF characters into log messages,In Table.java,alluxio.master.table.Table,Table.java,alluxio/master/table/Table.java,main\java\alluxio\master\table\Table.java,In class alluxio.master.table.Table,alluxio.master.table.Table,true,alluxio.master.table.Table,95,128,0,603,Table.java,alluxio/master/table/Table.java,main\java\alluxio\master\table\Table.java,In method alluxio.master.table.Table.sync(UdbTable),alluxio.master.table.Table,sync,(Lalluxio/table/common/udb/UdbTable;)Z,false,true,At Table.java:[line 126],alluxio.master.table.Table,true,126,126,275,275,Table.java,alluxio/master/table/Table.java,main\java\alluxio\master\table\Table.java,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sink method Logger.info(...),Logger.info(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,59146e6cb198e07458ee72aa2c6b9f2f,0,0,117,,,
Potential CRLF Injection for logs,This use of Logger.error(...) might be used to include CRLF characters into log messages,In TransformManager.java,alluxio.master.table.transform.TransformManager,TransformManager.java,alluxio/master/table/transform/TransformManager.java,main\java\alluxio\master\table\transform\TransformManager.java,In class alluxio.master.table.transform.TransformManager,alluxio.master.table.transform.TransformManager,true,alluxio.master.table.transform.TransformManager,163,218,0,1258,TransformManager.java,alluxio/master/table/transform/TransformManager.java,main\java\alluxio\master\table\transform\TransformManager.java,"In method alluxio.master.table.transform.TransformManager.execute(String, String, TransformDefinition)",alluxio.master.table.transform.TransformManager,execute,(Ljava/lang/String;Ljava/lang/String;Lalluxio/table/common/transform/TransformDefinition;)J,false,true,At TransformManager.java:[line 199],alluxio.master.table.transform.TransformManager,true,199,199,275,275,TransformManager.java,alluxio/master/table/transform/TransformManager.java,main\java\alluxio\master\table\transform\TransformManager.java,At DefaultTableMaster.java:[line 131],alluxio.master.table.DefaultTableMaster,131,131,31,31,DefaultTableMaster.java,alluxio/master/table/DefaultTableMaster.java,main\java\alluxio\master\table\DefaultTableMaster.java,At TransformManager.java:[line 168],alluxio.master.table.transform.TransformManager,168,168,61,61,TransformManager.java,alluxio/master/table/transform/TransformManager.java,main\java\alluxio\master\table\transform\TransformManager.java,At TransformManager.java:[line 197],alluxio.master.table.transform.TransformManager,197,197,263,263,TransformManager.java,alluxio/master/table/transform/TransformManager.java,main\java\alluxio\master\table\transform\TransformManager.java,,,,,,,,,,,,,,,,,,,Sink method Logger.error(...),Logger.error(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,bc7d9e629c4493d2f80336d57fdc8708,0,0,117,Method usage not detected,not detected,Method usage
Potential CRLF Injection for logs,This use of Logger.error(...) might be used to include CRLF characters into log messages,In TransformManager.java,alluxio.master.table.transform.TransformManager$JobMonitor,TransformManager.java,alluxio/master/table/transform/TransformManager.java,main\java\alluxio\master\table\transform\TransformManager.java,In class alluxio.master.table.transform.TransformManager$JobMonitor,alluxio.master.table.transform.TransformManager$JobMonitor,true,alluxio.master.table.transform.TransformManager$JobMonitor,289,300,0,247,TransformManager.java,alluxio/master/table/transform/TransformManager.java,main\java\alluxio\master\table\transform\TransformManager.java,In method alluxio.master.table.transform.TransformManager$JobMonitor.handleJobSuccess(TransformJobInfo),alluxio.master.table.transform.TransformManager$JobMonitor,handleJobSuccess,(Lalluxio/master/table/transform/TransformJobInfo;)V,false,true,At TransformManager.java:[line 295],alluxio.master.table.transform.TransformManager$JobMonitor,true,295,295,80,80,TransformManager.java,alluxio/master/table/transform/TransformManager.java,main\java\alluxio\master\table\transform\TransformManager.java,At TransformManager.java:[line 293],alluxio.master.table.transform.TransformManager$JobMonitor,293,293,72,72,TransformManager.java,alluxio/master/table/transform/TransformManager.java,main\java\alluxio\master\table\transform\TransformManager.java,At TransformManager.java:[line 294],alluxio.master.table.transform.TransformManager$JobMonitor,294,294,68,68,TransformManager.java,alluxio/master/table/transform/TransformManager.java,main\java\alluxio\master\table\transform\TransformManager.java,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sink method Logger.error(...),Logger.error(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,1d69ec1b6d8f021eed9395f338bdf2ba,0,0,117,,,
Potential CRLF Injection for logs,This use of Logger.warn(...) might be used to include CRLF characters into log messages,In TransformManager.java,alluxio.master.table.transform.TransformManager$JobMonitor,TransformManager.java,alluxio/master/table/transform/TransformManager.java,main\java\alluxio\master\table\transform\TransformManager.java,In class alluxio.master.table.transform.TransformManager$JobMonitor,alluxio.master.table.transform.TransformManager$JobMonitor,true,alluxio.master.table.transform.TransformManager$JobMonitor,304,342,0,771,TransformManager.java,alluxio/master/table/transform/TransformManager.java,main\java\alluxio\master\table\transform\TransformManager.java,In method alluxio.master.table.transform.TransformManager$JobMonitor.heartbeat(),alluxio.master.table.transform.TransformManager$JobMonitor,heartbeat,()V,false,true,At TransformManager.java:[line 316],alluxio.master.table.transform.TransformManager$JobMonitor,true,316,316,207,207,TransformManager.java,alluxio/master/table/transform/TransformManager.java,main\java\alluxio\master\table\transform\TransformManager.java,At TransformManager.java:[line 317],alluxio.master.table.transform.TransformManager$JobMonitor,317,317,170,170,TransformManager.java,alluxio/master/table/transform/TransformManager.java,main\java\alluxio\master\table\transform\TransformManager.java,At TransformManager.java:[line 319],alluxio.master.table.transform.TransformManager$JobMonitor,319,319,201,201,TransformManager.java,alluxio/master/table/transform/TransformManager.java,main\java\alluxio\master\table\transform\TransformManager.java,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sink method Logger.warn(...),Logger.warn(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,39ba7a91119a37cd36545ce141d28aee,0,1,117,,,
Potential CRLF Injection for logs,This use of Logger.info(...) might be used to include CRLF characters into log messages,In TransformManager.java,alluxio.master.table.transform.TransformManager$JobMonitor,TransformManager.java,alluxio/master/table/transform/TransformManager.java,main\java\alluxio\master\table\transform\TransformManager.java,In class alluxio.master.table.transform.TransformManager$JobMonitor,alluxio.master.table.transform.TransformManager$JobMonitor,true,alluxio.master.table.transform.TransformManager$JobMonitor,304,342,0,771,TransformManager.java,alluxio/master/table/transform/TransformManager.java,main\java\alluxio\master\table\transform\TransformManager.java,In method alluxio.master.table.transform.TransformManager$JobMonitor.heartbeat(),alluxio.master.table.transform.TransformManager$JobMonitor,heartbeat,()V,false,true,At TransformManager.java:[line 323],alluxio.master.table.transform.TransformManager$JobMonitor,true,323,323,264,264,TransformManager.java,alluxio/master/table/transform/TransformManager.java,main\java\alluxio\master\table\transform\TransformManager.java,At TransformManager.java:[line 324],alluxio.master.table.transform.TransformManager$JobMonitor,324,324,253,253,TransformManager.java,alluxio/master/table/transform/TransformManager.java,main\java\alluxio\master\table\transform\TransformManager.java,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sink method Logger.info(...),Logger.info(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,59397d6970b9b28dd83d85ef052c6aaf,0,0,117,,,
Potential CRLF Injection for logs,This use of Logger.warn(...) might be used to include CRLF characters into log messages,In TransformManager.java,alluxio.master.table.transform.TransformManager$JobMonitor,TransformManager.java,alluxio/master/table/transform/TransformManager.java,main\java\alluxio\master\table\transform\TransformManager.java,In class alluxio.master.table.transform.TransformManager$JobMonitor,alluxio.master.table.transform.TransformManager$JobMonitor,true,alluxio.master.table.transform.TransformManager$JobMonitor,304,342,0,771,TransformManager.java,alluxio/master/table/transform/TransformManager.java,main\java\alluxio\master\table\transform\TransformManager.java,In method alluxio.master.table.transform.TransformManager$JobMonitor.heartbeat(),alluxio.master.table.transform.TransformManager$JobMonitor,heartbeat,()V,false,true,At TransformManager.java:[line 336],alluxio.master.table.transform.TransformManager$JobMonitor,true,336,336,364,364,TransformManager.java,alluxio/master/table/transform/TransformManager.java,main\java\alluxio\master\table\transform\TransformManager.java,At TransformManager.java:[line 334],alluxio.master.table.transform.TransformManager$JobMonitor,334,334,354,354,TransformManager.java,alluxio/master/table/transform/TransformManager.java,main\java\alluxio\master\table\transform\TransformManager.java,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sink method Logger.warn(...),Logger.warn(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,39ba7a91119a37cd36545ce141d28aee,1,1,117,,,
Potential CRLF Injection for logs,This use of Logger.error(...) might be used to include CRLF characters into log messages,In TransformManager.java,alluxio.master.table.transform.TransformManager$JobMonitor,TransformManager.java,alluxio/master/table/transform/TransformManager.java,main\java\alluxio\master\table\transform\TransformManager.java,In class alluxio.master.table.transform.TransformManager$JobMonitor,alluxio.master.table.transform.TransformManager$JobMonitor,true,alluxio.master.table.transform.TransformManager$JobMonitor,304,342,0,771,TransformManager.java,alluxio/master/table/transform/TransformManager.java,main\java\alluxio\master\table\transform\TransformManager.java,In method alluxio.master.table.transform.TransformManager$JobMonitor.heartbeat(),alluxio.master.table.transform.TransformManager$JobMonitor,heartbeat,()V,false,true,At TransformManager.java:[line 339],alluxio.master.table.transform.TransformManager$JobMonitor,true,339,339,395,395,TransformManager.java,alluxio/master/table/transform/TransformManager.java,main\java\alluxio\master\table\transform\TransformManager.java,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sink method Logger.error(...),Logger.error(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,6dbd327c73206ed50e705fc7272579d4,0,0,117,,,
Potential CRLF Injection for logs,This use of Logger.error(...) might be used to include CRLF characters into log messages,In TransformManager.java,alluxio.master.table.transform.TransformManager$JobMonitor,TransformManager.java,alluxio/master/table/transform/TransformManager.java,main\java\alluxio\master\table\transform\TransformManager.java,In class alluxio.master.table.transform.TransformManager$JobMonitor,alluxio.master.table.transform.TransformManager$JobMonitor,true,alluxio.master.table.transform.TransformManager$JobMonitor,255,267,0,481,TransformManager.java,alluxio/master/table/transform/TransformManager.java,main\java\alluxio\master\table\transform\TransformManager.java,In method alluxio.master.table.transform.TransformManager$JobMonitor.onFinish(TransformJobInfo),alluxio.master.table.transform.TransformManager$JobMonitor,onFinish,(Lalluxio/master/table/transform/TransformJobInfo;)V,false,true,At TransformManager.java:[line 264],alluxio.master.table.transform.TransformManager$JobMonitor,true,264,264,184,184,TransformManager.java,alluxio/master/table/transform/TransformManager.java,main\java\alluxio\master\table\transform\TransformManager.java,At TransformManager.java:[line 265],alluxio.master.table.transform.TransformManager$JobMonitor,265,265,181,181,TransformManager.java,alluxio/master/table/transform/TransformManager.java,main\java\alluxio\master\table\transform\TransformManager.java,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sink method Logger.error(...),Logger.error(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,1da77eda1b8ee2a15a1ecf8f4336bdcc,0,0,117,,,
Predictable pseudorandom number generator,The use of java.util.Random is predictable,In TransformManagerTest.java,alluxio.master.table.transform.TransformManagerTest,TransformManagerTest.java,alluxio/master/table/transform/TransformManagerTest.java,test\java\alluxio\master\table\transform\TransformManagerTest.java,In class alluxio.master.table.transform.TransformManagerTest,alluxio.master.table.transform.TransformManagerTest,true,alluxio.master.table.transform.TransformManagerTest,262,263,0,68,TransformManagerTest.java,alluxio/master/table/transform/TransformManagerTest.java,test\java\alluxio\master\table\transform\TransformManagerTest.java,In method alluxio.master.table.transform.TransformManagerTest.getRandomJobId(),alluxio.master.table.transform.TransformManagerTest,getRandomJobId,()J,false,true,At TransformManagerTest.java:[line 262],alluxio.master.table.transform.TransformManagerTest,true,262,262,4,4,TransformManagerTest.java,alluxio/master/table/transform/TransformManagerTest.java,test\java\alluxio\master\table\transform\TransformManagerTest.java,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Value java.util.Random,java.util.Random,,PREDICTABLE_RANDOM,2,7,SECPR,SECURITY,d5c6fa76c12fe42b1f36d4de9057ca37,0,0,330,,,
