ShortMessage,LongMessage,Class/SourceLine/0/Message,Class/SourceLine/0/_classname,Class/SourceLine/0/_sourcefile,Class/SourceLine/0/_sourcepath,Class/SourceLine/0/_relSourcepath,Class/Message,Class/_classname,Class/_primary,Method/SourceLine/0/_classname,Method/SourceLine/0/_start,Method/SourceLine/0/_end,Method/SourceLine/0/_startBytecode,Method/SourceLine/0/_endBytecode,Method/SourceLine/0/_sourcefile,Method/SourceLine/0/_sourcepath,Method/SourceLine/0/_relSourcepath,Method/Message,Method/_classname,Method/_name,Method/_signature,Method/_isStatic,Method/_primary,SourceLine/0/Message,SourceLine/0/_classname,SourceLine/0/_primary,SourceLine/0/_start,SourceLine/0/_end,SourceLine/0/_startBytecode,SourceLine/0/_endBytecode,SourceLine/0/_sourcefile,SourceLine/0/_sourcepath,SourceLine/0/_relSourcepath,SourceLine/1/Message,SourceLine/1/_classname,SourceLine/1/_start,SourceLine/1/_end,SourceLine/1/_startBytecode,SourceLine/1/_endBytecode,SourceLine/1/_sourcefile,SourceLine/1/_sourcepath,SourceLine/1/_relSourcepath,String/0/Message,String/0/_value,String/0/_role,_type,_priority,_rank,_abbrev,_category,_instanceHash,_instanceOccurrenceNum,_instanceOccurrenceMax,_cweid,String/1/Message,String/1/_value,String/1/_role
Potential CRLF Injection for logs,This use of Logger.warn(...) might be used to include CRLF characters into log messages,In COSInputStream.java,alluxio.underfs.cos.COSInputStream,COSInputStream.java,alluxio/underfs/cos/COSInputStream.java,java\alluxio\underfs\cos\COSInputStream.java,In class alluxio.underfs.cos.COSInputStream,alluxio.underfs.cos.COSInputStream,true,alluxio.underfs.cos.COSInputStream,96,115,0,405,COSInputStream.java,alluxio/underfs/cos/COSInputStream.java,java\alluxio\underfs\cos\COSInputStream.java,"In method alluxio.underfs.cos.COSInputStream.createStream(long, long)",alluxio.underfs.cos.COSInputStream,createStream,(JJ)Ljava/io/InputStream;,false,true,At COSInputStream.java:[line 105],alluxio.underfs.cos.COSInputStream,true,105,105,131,131,COSInputStream.java,alluxio/underfs/cos/COSInputStream.java,java\alluxio\underfs\cos\COSInputStream.java,At COSInputStream.java:[line 106],alluxio.underfs.cos.COSInputStream,106,106,119,119,COSInputStream.java,alluxio/underfs/cos/COSInputStream.java,java\alluxio\underfs\cos\COSInputStream.java,Sink method Logger.warn(...),Logger.warn(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,9c4e57b4707499c3684d4a2da746f7fb,0,0,117,,,
Potential CRLF Injection for logs,This use of Logger.error(...) might be used to include CRLF characters into log messages,In COSOutputStream.java,alluxio.underfs.cos.COSOutputStream,COSOutputStream.java,alluxio/underfs/cos/COSOutputStream.java,java\alluxio\underfs\cos\COSOutputStream.java,In class alluxio.underfs.cos.COSOutputStream,alluxio.underfs.cos.COSOutputStream,true,alluxio.underfs.cos.COSOutputStream,149,166,0,514,COSOutputStream.java,alluxio/underfs/cos/COSOutputStream.java,java\alluxio\underfs\cos\COSOutputStream.java,In method alluxio.underfs.cos.COSOutputStream.close(),alluxio.underfs.cos.COSOutputStream,close,()V,false,true,At COSOutputStream.java:[line 163],alluxio.underfs.cos.COSOutputStream,true,163,163,208,208,COSOutputStream.java,alluxio/underfs/cos/COSOutputStream.java,java\alluxio\underfs\cos\COSOutputStream.java,At COSOutputStream.java:[line 163],alluxio.underfs.cos.COSOutputStream,163,163,205,205,COSOutputStream.java,alluxio/underfs/cos/COSOutputStream.java,java\alluxio\underfs\cos\COSOutputStream.java,Sink method Logger.error(...),Logger.error(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,d91aba3b7caa4a54cb9ac8b919e27a29,0,0,117,,,
Potential Path Traversal (file read),File(...) reads a file whose location might be specified by user input,In COSOutputStream.java,alluxio.underfs.cos.COSOutputStream,COSOutputStream.java,alluxio/underfs/cos/COSOutputStream.java,java\alluxio\underfs\cos\COSOutputStream.java,In class alluxio.underfs.cos.COSOutputStream,alluxio.underfs.cos.COSOutputStream,true,alluxio.underfs.cos.COSOutputStream,76,97,0,422,COSOutputStream.java,alluxio/underfs/cos/COSOutputStream.java,java\alluxio\underfs\cos\COSOutputStream.java,"In method new alluxio.underfs.cos.COSOutputStream(String, String, COSClient, List)",alluxio.underfs.cos.COSOutputStream,<init>,(Ljava/lang/String;Ljava/lang/String;Lcom/qcloud/cos/COSClient;Ljava/util/List;)V,false,true,At COSOutputStream.java:[line 86],alluxio.underfs.cos.COSOutputStream,true,86,86,103,103,COSOutputStream.java,alluxio/underfs/cos/COSOutputStream.java,java\alluxio\underfs\cos\COSOutputStream.java,At COSOutputStream.java:[line 86],alluxio.underfs.cos.COSOutputStream,86,86,100,100,COSOutputStream.java,alluxio/underfs/cos/COSOutputStream.java,java\alluxio\underfs\cos\COSOutputStream.java,Sink method File(...),File(...),Sink method,PATH_TRAVERSAL_IN,2,7,SECPTI,SECURITY,96a7b59623978ba2d2911c469c993866,0,0,22,,,
"MD2, MD4 and MD5 are weak hash functions",MD5 is not a recommended cryptographic hash function,In COSOutputStream.java,alluxio.underfs.cos.COSOutputStream,COSOutputStream.java,alluxio/underfs/cos/COSOutputStream.java,java\alluxio\underfs\cos\COSOutputStream.java,In class alluxio.underfs.cos.COSOutputStream,alluxio.underfs.cos.COSOutputStream,true,alluxio.underfs.cos.COSOutputStream,76,97,0,422,COSOutputStream.java,alluxio/underfs/cos/COSOutputStream.java,java\alluxio\underfs\cos\COSOutputStream.java,"In method new alluxio.underfs.cos.COSOutputStream(String, String, COSClient, List)",alluxio.underfs.cos.COSOutputStream,<init>,(Ljava/lang/String;Ljava/lang/String;Lcom/qcloud/cos/COSClient;Ljava/util/List;)V,false,true,At COSOutputStream.java:[line 89],alluxio.underfs.cos.COSOutputStream,true,89,89,112,112,COSOutputStream.java,alluxio/underfs/cos/COSOutputStream.java,java\alluxio\underfs\cos\COSOutputStream.java,,,,,,,,,,Value MD5,MD5,,WEAK_MESSAGE_DIGEST_MD5,1,5,SECMD5,SECURITY,21c99eb3b69d9d14707ecac0068e0c54,0,0,328,,,
Potential CRLF Injection for logs,This use of Logger.debug(...) might be used to include CRLF characters into log messages,In COSUnderFileSystem.java,alluxio.underfs.cos.COSUnderFileSystem,COSUnderFileSystem.java,alluxio/underfs/cos/COSUnderFileSystem.java,java\alluxio\underfs\cos\COSUnderFileSystem.java,In class alluxio.underfs.cos.COSUnderFileSystem,alluxio.underfs.cos.COSUnderFileSystem,true,alluxio.underfs.cos.COSUnderFileSystem,128,133,0,172,COSUnderFileSystem.java,alluxio/underfs/cos/COSUnderFileSystem.java,java\alluxio\underfs\cos\COSUnderFileSystem.java,"In method alluxio.underfs.cos.COSUnderFileSystem.copyObject(String, String)",alluxio.underfs.cos.COSUnderFileSystem,copyObject,(Ljava/lang/String;Ljava/lang/String;)Z,false,true,At COSUnderFileSystem.java:[line 128],alluxio.underfs.cos.COSUnderFileSystem,true,128,128,7,7,COSUnderFileSystem.java,alluxio/underfs/cos/COSUnderFileSystem.java,java\alluxio\underfs\cos\COSUnderFileSystem.java,,,,,,,,,,Sink method Logger.debug(...),Logger.debug(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,576efb0bff50adccf7524c838ba9c983,0,0,117,Method usage not detected,not detected,Method usage
Potential CRLF Injection for logs,This use of Logger.error(...) might be used to include CRLF characters into log messages,In COSUnderFileSystem.java,alluxio.underfs.cos.COSUnderFileSystem,COSUnderFileSystem.java,alluxio/underfs/cos/COSUnderFileSystem.java,java\alluxio\underfs\cos\COSUnderFileSystem.java,In class alluxio.underfs.cos.COSUnderFileSystem,alluxio.underfs.cos.COSUnderFileSystem,true,alluxio.underfs.cos.COSUnderFileSystem,128,133,0,172,COSUnderFileSystem.java,alluxio/underfs/cos/COSUnderFileSystem.java,java\alluxio\underfs\cos\COSUnderFileSystem.java,"In method alluxio.underfs.cos.COSUnderFileSystem.copyObject(String, String)",alluxio.underfs.cos.COSUnderFileSystem,copyObject,(Ljava/lang/String;Ljava/lang/String;)Z,false,true,At COSUnderFileSystem.java:[line 132],alluxio.underfs.cos.COSUnderFileSystem,true,132,132,54,54,COSUnderFileSystem.java,alluxio/underfs/cos/COSUnderFileSystem.java,java\alluxio\underfs\cos\COSUnderFileSystem.java,,,,,,,,,,Sink method Logger.error(...),Logger.error(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,a2d7f433914320b4d1a8d30566486b5f,0,0,117,Method usage not detected,not detected,Method usage
Potential CRLF Injection for logs,This use of Logger.error(...) might be used to include CRLF characters into log messages,In COSUnderFileSystem.java,alluxio.underfs.cos.COSUnderFileSystem,COSUnderFileSystem.java,alluxio/underfs/cos/COSUnderFileSystem.java,java\alluxio\underfs\cos\COSUnderFileSystem.java,In class alluxio.underfs.cos.COSUnderFileSystem,alluxio.underfs.cos.COSUnderFileSystem,true,alluxio.underfs.cos.COSUnderFileSystem,140,146,0,169,COSUnderFileSystem.java,alluxio/underfs/cos/COSUnderFileSystem.java,java\alluxio\underfs\cos\COSUnderFileSystem.java,In method alluxio.underfs.cos.COSUnderFileSystem.createEmptyObject(String),alluxio.underfs.cos.COSUnderFileSystem,createEmptyObject,(Ljava/lang/String;)Z,false,true,At COSUnderFileSystem.java:[line 145],alluxio.underfs.cos.COSUnderFileSystem,true,145,145,47,47,COSUnderFileSystem.java,alluxio/underfs/cos/COSUnderFileSystem.java,java\alluxio\underfs\cos\COSUnderFileSystem.java,,,,,,,,,,Sink method Logger.error(...),Logger.error(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,ab6fbf87a1f65c64901162b0657c1848,0,0,117,,,
Potential CRLF Injection for logs,This use of Logger.error(...) might be used to include CRLF characters into log messages,In COSUnderFileSystem.java,alluxio.underfs.cos.COSUnderFileSystem,COSUnderFileSystem.java,alluxio/underfs/cos/COSUnderFileSystem.java,java\alluxio\underfs\cos\COSUnderFileSystem.java,In class alluxio.underfs.cos.COSUnderFileSystem,alluxio.underfs.cos.COSUnderFileSystem,true,alluxio.underfs.cos.COSUnderFileSystem,159,164,0,134,COSUnderFileSystem.java,alluxio/underfs/cos/COSUnderFileSystem.java,java\alluxio\underfs\cos\COSUnderFileSystem.java,In method alluxio.underfs.cos.COSUnderFileSystem.deleteObject(String),alluxio.underfs.cos.COSUnderFileSystem,deleteObject,(Ljava/lang/String;)Z,false,true,At COSUnderFileSystem.java:[line 161],alluxio.underfs.cos.COSUnderFileSystem,true,161,161,23,23,COSUnderFileSystem.java,alluxio/underfs/cos/COSUnderFileSystem.java,java\alluxio\underfs\cos\COSUnderFileSystem.java,,,,,,,,,,Sink method Logger.error(...),Logger.error(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,9a898e7d01f59fb0afc1571a9f00d425,0,0,117,,,
Potential CRLF Injection for logs,This use of Logger.error(...) might be used to include CRLF characters into log messages,In COSUnderFileSystem.java,alluxio.underfs.cos.COSUnderFileSystem,COSUnderFileSystem.java,alluxio/underfs/cos/COSUnderFileSystem.java,java\alluxio\underfs\cos\COSUnderFileSystem.java,In class alluxio.underfs.cos.COSUnderFileSystem,alluxio.underfs.cos.COSUnderFileSystem,true,alluxio.underfs.cos.COSUnderFileSystem,196,201,0,159,COSUnderFileSystem.java,alluxio/underfs/cos/COSUnderFileSystem.java,java\alluxio\underfs\cos\COSUnderFileSystem.java,In method alluxio.underfs.cos.COSUnderFileSystem.getObjectListingChunk(ListObjectsRequest),alluxio.underfs.cos.COSUnderFileSystem,getObjectListingChunk,(Lcom/qcloud/cos/model/ListObjectsRequest;)Lcom/qcloud/cos/model/ObjectListing;,false,true,At COSUnderFileSystem.java:[line 198],alluxio.underfs.cos.COSUnderFileSystem,true,198,198,23,23,COSUnderFileSystem.java,alluxio/underfs/cos/COSUnderFileSystem.java,java\alluxio\underfs\cos\COSUnderFileSystem.java,,,,,,,,,,Sink method Logger.error(...),Logger.error(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,e2e3a7ee91c988c2f7e4f9b4c633169d,0,0,117,,,
Potential CRLF Injection for logs,This use of Logger.warn(...) might be used to include CRLF characters into log messages,In COSUnderFileSystem.java,alluxio.underfs.cos.COSUnderFileSystem,COSUnderFileSystem.java,alluxio/underfs/cos/COSUnderFileSystem.java,java\alluxio\underfs\cos\COSUnderFileSystem.java,In class alluxio.underfs.cos.COSUnderFileSystem,alluxio.underfs.cos.COSUnderFileSystem,true,alluxio.underfs.cos.COSUnderFileSystem,264,272,0,208,COSUnderFileSystem.java,alluxio/underfs/cos/COSUnderFileSystem.java,java\alluxio\underfs\cos\COSUnderFileSystem.java,In method alluxio.underfs.cos.COSUnderFileSystem.getObjectStatus(String),alluxio.underfs.cos.COSUnderFileSystem,getObjectStatus,(Ljava/lang/String;)Lalluxio/underfs/ObjectUnderFileSystem$ObjectStatus;,false,true,At COSUnderFileSystem.java:[line 271],alluxio.underfs.cos.COSUnderFileSystem,true,271,271,52,52,COSUnderFileSystem.java,alluxio/underfs/cos/COSUnderFileSystem.java,java\alluxio\underfs\cos\COSUnderFileSystem.java,,,,,,,,,,Sink method Logger.warn(...),Logger.warn(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,12e5c61217ad3864eeb04fba0c465291,0,0,117,,,
