ShortMessage,LongMessage,Class/SourceLine/0/Message,Class/SourceLine/0/_classname,Class/SourceLine/0/_sourcefile,Class/SourceLine/0/_sourcepath,Class/SourceLine/0/_relSourcepath,Class/Message,Class/_classname,Class/_primary,Method/SourceLine/0/_classname,Method/SourceLine/0/_start,Method/SourceLine/0/_end,Method/SourceLine/0/_startBytecode,Method/SourceLine/0/_endBytecode,Method/SourceLine/0/_sourcefile,Method/SourceLine/0/_sourcepath,Method/SourceLine/0/_relSourcepath,Method/Message,Method/_classname,Method/_name,Method/_signature,Method/_isStatic,Method/_primary,SourceLine/0/Message,SourceLine/0/_classname,SourceLine/0/_primary,SourceLine/0/_start,SourceLine/0/_end,SourceLine/0/_startBytecode,SourceLine/0/_endBytecode,SourceLine/0/_sourcefile,SourceLine/0/_sourcepath,SourceLine/0/_relSourcepath,SourceLine/1/Message,SourceLine/1/_classname,SourceLine/1/_start,SourceLine/1/_end,SourceLine/1/_startBytecode,SourceLine/1/_endBytecode,SourceLine/1/_sourcefile,SourceLine/1/_sourcepath,SourceLine/1/_relSourcepath,String/0/Message,String/0/_value,String/0/_role,_type,_priority,_rank,_abbrev,_category,_instanceHash,_instanceOccurrenceNum,_instanceOccurrenceMax,_cweid,String/1/Message,String/1/_value,String/1/_role,SourceLine/2/Message,SourceLine/2/_classname,SourceLine/2/_start,SourceLine/2/_end,SourceLine/2/_startBytecode,SourceLine/2/_endBytecode,SourceLine/2/_sourcefile,SourceLine/2/_sourcepath,SourceLine/2/_relSourcepath,SourceLine/3/Message,SourceLine/3/_classname,SourceLine/3/_start,SourceLine/3/_end,SourceLine/3/_startBytecode,SourceLine/3/_endBytecode,SourceLine/3/_sourcefile,SourceLine/3/_sourcepath,SourceLine/3/_relSourcepath,SourceLine/4/Message,SourceLine/4/_classname,SourceLine/4/_start,SourceLine/4/_end,SourceLine/4/_startBytecode,SourceLine/4/_endBytecode,SourceLine/4/_sourcefile,SourceLine/4/_sourcepath,SourceLine/4/_relSourcepath,SourceLine/5/Message,SourceLine/5/_classname,SourceLine/5/_start,SourceLine/5/_end,SourceLine/5/_startBytecode,SourceLine/5/_endBytecode,SourceLine/5/_sourcefile,SourceLine/5/_sourcepath,SourceLine/5/_relSourcepath
Potential CRLF Injection for logs,This use of Logger.warn(...) might be used to include CRLF characters into log messages,In HdfsUnderFileSystem.java,alluxio.underfs.hdfs.HdfsUnderFileSystem,HdfsUnderFileSystem.java,alluxio/underfs/hdfs/HdfsUnderFileSystem.java,main\java\alluxio\underfs\hdfs\HdfsUnderFileSystem.java,In class alluxio.underfs.hdfs.HdfsUnderFileSystem,alluxio.underfs.hdfs.HdfsUnderFileSystem,true,alluxio.underfs.hdfs.HdfsUnderFileSystem,265,283,0,351,HdfsUnderFileSystem.java,alluxio/underfs/hdfs/HdfsUnderFileSystem.java,main\java\alluxio\underfs\hdfs\HdfsUnderFileSystem.java,"In method alluxio.underfs.hdfs.HdfsUnderFileSystem.createDirect(String, CreateOptions)",alluxio.underfs.hdfs.HdfsUnderFileSystem,createDirect,(Ljava/lang/String;Lalluxio/underfs/options/CreateOptions;)Ljava/io/OutputStream;,false,true,At HdfsUnderFileSystem.java:[line 279],alluxio.underfs.hdfs.HdfsUnderFileSystem,true,279,279,108,108,HdfsUnderFileSystem.java,alluxio/underfs/hdfs/HdfsUnderFileSystem.java,main\java\alluxio\underfs\hdfs\HdfsUnderFileSystem.java,At HdfsUnderFileSystem.java:[line 279],alluxio.underfs.hdfs.HdfsUnderFileSystem,279,279,105,105,HdfsUnderFileSystem.java,alluxio/underfs/hdfs/HdfsUnderFileSystem.java,main\java\alluxio\underfs\hdfs\HdfsUnderFileSystem.java,Sink method Logger.warn(...),Logger.warn(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,c190d45712188b663eef362900a2ebc7,0,0,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.warn(...) might be used to include CRLF characters into log messages,In HdfsUnderFileSystem.java,alluxio.underfs.hdfs.HdfsUnderFileSystem,HdfsUnderFileSystem.java,alluxio/underfs/hdfs/HdfsUnderFileSystem.java,main\java\alluxio\underfs\hdfs\HdfsUnderFileSystem.java,In class alluxio.underfs.hdfs.HdfsUnderFileSystem,alluxio.underfs.hdfs.HdfsUnderFileSystem,true,alluxio.underfs.hdfs.HdfsUnderFileSystem,701,712,0,248,HdfsUnderFileSystem.java,alluxio/underfs/hdfs/HdfsUnderFileSystem.java,main\java\alluxio\underfs\hdfs\HdfsUnderFileSystem.java,"In method alluxio.underfs.hdfs.HdfsUnderFileSystem.delete(String, boolean)",alluxio.underfs.hdfs.HdfsUnderFileSystem,delete,(Ljava/lang/String;Z)Z,false,true,At HdfsUnderFileSystem.java:[line 708],alluxio.underfs.hdfs.HdfsUnderFileSystem,true,708,708,65,65,HdfsUnderFileSystem.java,alluxio/underfs/hdfs/HdfsUnderFileSystem.java,main\java\alluxio\underfs\hdfs\HdfsUnderFileSystem.java,At HdfsUnderFileSystem.java:[line 708],alluxio.underfs.hdfs.HdfsUnderFileSystem,708,708,62,62,HdfsUnderFileSystem.java,alluxio/underfs/hdfs/HdfsUnderFileSystem.java,main\java\alluxio\underfs\hdfs\HdfsUnderFileSystem.java,Sink method Logger.warn(...),Logger.warn(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,15496205b5cde650aba2e9ff5779f039,0,0,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.debug(...) might be used to include CRLF characters into log messages,In HdfsUnderFileSystem.java,alluxio.underfs.hdfs.HdfsUnderFileSystem,HdfsUnderFileSystem.java,alluxio/underfs/hdfs/HdfsUnderFileSystem.java,main\java\alluxio\underfs\hdfs\HdfsUnderFileSystem.java,In class alluxio.underfs.hdfs.HdfsUnderFileSystem,alluxio.underfs.hdfs.HdfsUnderFileSystem,true,alluxio.underfs.hdfs.HdfsUnderFileSystem,344,366,0,343,HdfsUnderFileSystem.java,alluxio/underfs/hdfs/HdfsUnderFileSystem.java,main\java\alluxio\underfs\hdfs\HdfsUnderFileSystem.java,"In method alluxio.underfs.hdfs.HdfsUnderFileSystem.getFileLocations(String, FileLocationOptions)",alluxio.underfs.hdfs.HdfsUnderFileSystem,getFileLocations,(Ljava/lang/String;Lalluxio/underfs/options/FileLocationOptions;)Ljava/util/List;,false,true,At HdfsUnderFileSystem.java:[line 364],alluxio.underfs.hdfs.HdfsUnderFileSystem,true,364,364,113,113,HdfsUnderFileSystem.java,alluxio/underfs/hdfs/HdfsUnderFileSystem.java,main\java\alluxio\underfs\hdfs\HdfsUnderFileSystem.java,At HdfsUnderFileSystem.java:[line 364],alluxio.underfs.hdfs.HdfsUnderFileSystem,364,364,110,110,HdfsUnderFileSystem.java,alluxio/underfs/hdfs/HdfsUnderFileSystem.java,main\java\alluxio\underfs\hdfs\HdfsUnderFileSystem.java,Sink method Logger.debug(...),Logger.debug(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,98ee5f553634d73f092ed4054a79b386,0,0,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.debug(...) might be used to include CRLF characters into log messages,In HdfsUnderFileSystem.java,alluxio.underfs.hdfs.HdfsUnderFileSystem,HdfsUnderFileSystem.java,alluxio/underfs/hdfs/HdfsUnderFileSystem.java,main\java\alluxio\underfs\hdfs\HdfsUnderFileSystem.java,In class alluxio.underfs.hdfs.HdfsUnderFileSystem,alluxio.underfs.hdfs.HdfsUnderFileSystem,true,alluxio.underfs.hdfs.HdfsUnderFileSystem,510,551,0,669,HdfsUnderFileSystem.java,alluxio/underfs/hdfs/HdfsUnderFileSystem.java,main\java\alluxio\underfs\hdfs\HdfsUnderFileSystem.java,"In method alluxio.underfs.hdfs.HdfsUnderFileSystem.mkdirs(String, MkdirsOptions)",alluxio.underfs.hdfs.HdfsUnderFileSystem,mkdirs,(Ljava/lang/String;Lalluxio/underfs/options/MkdirsOptions;)Z,false,true,At HdfsUnderFileSystem.java:[line 517],alluxio.underfs.hdfs.HdfsUnderFileSystem,true,517,517,54,54,HdfsUnderFileSystem.java,alluxio/underfs/hdfs/HdfsUnderFileSystem.java,main\java\alluxio\underfs\hdfs\HdfsUnderFileSystem.java,,,,,,,,,,Sink method Logger.debug(...),Logger.debug(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,3e58c223729e9a0f744eed3e90a6606d,0,0,117,Method usage not detected,not detected,Method usage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.warn(...) might be used to include CRLF characters into log messages,In HdfsUnderFileSystem.java,alluxio.underfs.hdfs.HdfsUnderFileSystem,HdfsUnderFileSystem.java,alluxio/underfs/hdfs/HdfsUnderFileSystem.java,main\java\alluxio\underfs\hdfs\HdfsUnderFileSystem.java,In class alluxio.underfs.hdfs.HdfsUnderFileSystem,alluxio.underfs.hdfs.HdfsUnderFileSystem,true,alluxio.underfs.hdfs.HdfsUnderFileSystem,510,551,0,669,HdfsUnderFileSystem.java,alluxio/underfs/hdfs/HdfsUnderFileSystem.java,main\java\alluxio\underfs\hdfs\HdfsUnderFileSystem.java,"In method alluxio.underfs.hdfs.HdfsUnderFileSystem.mkdirs(String, MkdirsOptions)",alluxio.underfs.hdfs.HdfsUnderFileSystem,mkdirs,(Ljava/lang/String;Lalluxio/underfs/options/MkdirsOptions;)Z,false,true,At HdfsUnderFileSystem.java:[line 541],alluxio.underfs.hdfs.HdfsUnderFileSystem,true,541,541,202,202,HdfsUnderFileSystem.java,alluxio/underfs/hdfs/HdfsUnderFileSystem.java,main\java\alluxio\underfs\hdfs\HdfsUnderFileSystem.java,At HdfsUnderFileSystem.java:[line 541],alluxio.underfs.hdfs.HdfsUnderFileSystem,541,541,199,199,HdfsUnderFileSystem.java,alluxio/underfs/hdfs/HdfsUnderFileSystem.java,main\java\alluxio\underfs\hdfs\HdfsUnderFileSystem.java,Sink method Logger.warn(...),Logger.warn(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,761c4e8349f96d09a73ca98d598adcd6,0,0,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.warn(...) might be used to include CRLF characters into log messages,In HdfsUnderFileSystem.java,alluxio.underfs.hdfs.HdfsUnderFileSystem,HdfsUnderFileSystem.java,alluxio/underfs/hdfs/HdfsUnderFileSystem.java,main\java\alluxio\underfs\hdfs\HdfsUnderFileSystem.java,In class alluxio.underfs.hdfs.HdfsUnderFileSystem,alluxio.underfs.hdfs.HdfsUnderFileSystem,true,alluxio.underfs.hdfs.HdfsUnderFileSystem,510,551,0,669,HdfsUnderFileSystem.java,alluxio/underfs/hdfs/HdfsUnderFileSystem.java,main\java\alluxio\underfs\hdfs\HdfsUnderFileSystem.java,"In method alluxio.underfs.hdfs.HdfsUnderFileSystem.mkdirs(String, MkdirsOptions)",alluxio.underfs.hdfs.HdfsUnderFileSystem,mkdirs,(Ljava/lang/String;Lalluxio/underfs/options/MkdirsOptions;)Z,false,true,At HdfsUnderFileSystem.java:[line 546],alluxio.underfs.hdfs.HdfsUnderFileSystem,true,546,546,248,248,HdfsUnderFileSystem.java,alluxio/underfs/hdfs/HdfsUnderFileSystem.java,main\java\alluxio\underfs\hdfs\HdfsUnderFileSystem.java,At HdfsUnderFileSystem.java:[line 547],alluxio.underfs.hdfs.HdfsUnderFileSystem,547,547,244,244,HdfsUnderFileSystem.java,alluxio/underfs/hdfs/HdfsUnderFileSystem.java,main\java\alluxio\underfs\hdfs\HdfsUnderFileSystem.java,Sink method Logger.warn(...),Logger.warn(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,c4435c9ba225d8a6134988d9361482c2,0,0,117,Method usage not detected,not detected,Method usage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.warn(...) might be used to include CRLF characters into log messages,In HdfsUnderFileSystem.java,alluxio.underfs.hdfs.HdfsUnderFileSystem,HdfsUnderFileSystem.java,alluxio/underfs/hdfs/HdfsUnderFileSystem.java,main\java\alluxio\underfs\hdfs\HdfsUnderFileSystem.java,In class alluxio.underfs.hdfs.HdfsUnderFileSystem,alluxio.underfs.hdfs.HdfsUnderFileSystem,true,alluxio.underfs.hdfs.HdfsUnderFileSystem,556,601,0,667,HdfsUnderFileSystem.java,alluxio/underfs/hdfs/HdfsUnderFileSystem.java,main\java\alluxio\underfs\hdfs\HdfsUnderFileSystem.java,"In method alluxio.underfs.hdfs.HdfsUnderFileSystem.open(String, OpenOptions)",alluxio.underfs.hdfs.HdfsUnderFileSystem,open,(Ljava/lang/String;Lalluxio/underfs/options/OpenOptions;)Ljava/io/InputStream;,false,true,At HdfsUnderFileSystem.java:[line 574],alluxio.underfs.hdfs.HdfsUnderFileSystem,true,574,574,129,129,HdfsUnderFileSystem.java,alluxio/underfs/hdfs/HdfsUnderFileSystem.java,main\java\alluxio\underfs\hdfs\HdfsUnderFileSystem.java,At HdfsUnderFileSystem.java:[line 574],alluxio.underfs.hdfs.HdfsUnderFileSystem,574,574,125,125,HdfsUnderFileSystem.java,alluxio/underfs/hdfs/HdfsUnderFileSystem.java,main\java\alluxio\underfs\hdfs\HdfsUnderFileSystem.java,Sink method Logger.warn(...),Logger.warn(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,265f6aa758d47ed4d91f0811be8aa8e,0,3,117,Method usage not detected,not detected,Method usage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.warn(...) might be used to include CRLF characters into log messages,In HdfsUnderFileSystem.java,alluxio.underfs.hdfs.HdfsUnderFileSystem,HdfsUnderFileSystem.java,alluxio/underfs/hdfs/HdfsUnderFileSystem.java,main\java\alluxio\underfs\hdfs\HdfsUnderFileSystem.java,In class alluxio.underfs.hdfs.HdfsUnderFileSystem,alluxio.underfs.hdfs.HdfsUnderFileSystem,true,alluxio.underfs.hdfs.HdfsUnderFileSystem,556,601,0,667,HdfsUnderFileSystem.java,alluxio/underfs/hdfs/HdfsUnderFileSystem.java,main\java\alluxio\underfs\hdfs\HdfsUnderFileSystem.java,"In method alluxio.underfs.hdfs.HdfsUnderFileSystem.open(String, OpenOptions)",alluxio.underfs.hdfs.HdfsUnderFileSystem,open,(Ljava/lang/String;Lalluxio/underfs/options/OpenOptions;)Ljava/io/InputStream;,false,true,At HdfsUnderFileSystem.java:[line 584],alluxio.underfs.hdfs.HdfsUnderFileSystem,true,584,584,187,187,HdfsUnderFileSystem.java,alluxio/underfs/hdfs/HdfsUnderFileSystem.java,main\java\alluxio\underfs\hdfs\HdfsUnderFileSystem.java,,,,,,,,,,Sink method Logger.warn(...),Logger.warn(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,265f6aa758d47ed4d91f0811be8aa8e,1,3,117,Method usage not detected,not detected,Method usage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.warn(...) might be used to include CRLF characters into log messages,In HdfsUnderFileSystem.java,alluxio.underfs.hdfs.HdfsUnderFileSystem,HdfsUnderFileSystem.java,alluxio/underfs/hdfs/HdfsUnderFileSystem.java,main\java\alluxio\underfs\hdfs\HdfsUnderFileSystem.java,In class alluxio.underfs.hdfs.HdfsUnderFileSystem,alluxio.underfs.hdfs.HdfsUnderFileSystem,true,alluxio.underfs.hdfs.HdfsUnderFileSystem,556,601,0,667,HdfsUnderFileSystem.java,alluxio/underfs/hdfs/HdfsUnderFileSystem.java,main\java\alluxio\underfs\hdfs\HdfsUnderFileSystem.java,"In method alluxio.underfs.hdfs.HdfsUnderFileSystem.open(String, OpenOptions)",alluxio.underfs.hdfs.HdfsUnderFileSystem,open,(Ljava/lang/String;Lalluxio/underfs/options/OpenOptions;)Ljava/io/InputStream;,false,true,At HdfsUnderFileSystem.java:[line 589],alluxio.underfs.hdfs.HdfsUnderFileSystem,true,589,589,223,223,HdfsUnderFileSystem.java,alluxio/underfs/hdfs/HdfsUnderFileSystem.java,main\java\alluxio\underfs\hdfs\HdfsUnderFileSystem.java,,,,,,,,,,Sink method Logger.warn(...),Logger.warn(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,265f6aa758d47ed4d91f0811be8aa8e,2,3,117,Method usage not detected,not detected,Method usage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.warn(...) might be used to include CRLF characters into log messages,In HdfsUnderFileSystem.java,alluxio.underfs.hdfs.HdfsUnderFileSystem,HdfsUnderFileSystem.java,alluxio/underfs/hdfs/HdfsUnderFileSystem.java,main\java\alluxio\underfs\hdfs\HdfsUnderFileSystem.java,In class alluxio.underfs.hdfs.HdfsUnderFileSystem,alluxio.underfs.hdfs.HdfsUnderFileSystem,true,alluxio.underfs.hdfs.HdfsUnderFileSystem,556,601,0,667,HdfsUnderFileSystem.java,alluxio/underfs/hdfs/HdfsUnderFileSystem.java,main\java\alluxio\underfs\hdfs\HdfsUnderFileSystem.java,"In method alluxio.underfs.hdfs.HdfsUnderFileSystem.open(String, OpenOptions)",alluxio.underfs.hdfs.HdfsUnderFileSystem,open,(Ljava/lang/String;Lalluxio/underfs/options/OpenOptions;)Ljava/io/InputStream;,false,true,At HdfsUnderFileSystem.java:[line 591],alluxio.underfs.hdfs.HdfsUnderFileSystem,true,591,591,237,237,HdfsUnderFileSystem.java,alluxio/underfs/hdfs/HdfsUnderFileSystem.java,main\java\alluxio\underfs\hdfs\HdfsUnderFileSystem.java,,,,,,,,,,Sink method Logger.warn(...),Logger.warn(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,265f6aa758d47ed4d91f0811be8aa8e,3,3,117,Method usage not detected,not detected,Method usage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
