ShortMessage,LongMessage,Class/SourceLine/0/Message,Class/SourceLine/0/_classname,Class/SourceLine/0/_sourcefile,Class/SourceLine/0/_sourcepath,Class/SourceLine/0/_relSourcepath,Class/Message,Class/_classname,Class/_primary,Method/SourceLine/0/_classname,Method/SourceLine/0/_start,Method/SourceLine/0/_end,Method/SourceLine/0/_startBytecode,Method/SourceLine/0/_endBytecode,Method/SourceLine/0/_sourcefile,Method/SourceLine/0/_sourcepath,Method/SourceLine/0/_relSourcepath,Method/Message,Method/_classname,Method/_name,Method/_signature,Method/_isStatic,Method/_primary,SourceLine/0/Message,SourceLine/0/_classname,SourceLine/0/_primary,SourceLine/0/_start,SourceLine/0/_end,SourceLine/0/_startBytecode,SourceLine/0/_endBytecode,SourceLine/0/_sourcefile,SourceLine/0/_sourcepath,SourceLine/0/_relSourcepath,SourceLine/1/Message,SourceLine/1/_classname,SourceLine/1/_start,SourceLine/1/_end,SourceLine/1/_startBytecode,SourceLine/1/_endBytecode,SourceLine/1/_sourcefile,SourceLine/1/_sourcepath,SourceLine/1/_relSourcepath,String/0/Message,String/0/_value,String/0/_role,_type,_priority,_rank,_abbrev,_category,_instanceHash,_instanceOccurrenceNum,_instanceOccurrenceMax,_cweid,String/1/Message,String/1/_value,String/1/_role,SourceLine/2/Message,SourceLine/2/_classname,SourceLine/2/_start,SourceLine/2/_end,SourceLine/2/_startBytecode,SourceLine/2/_endBytecode,SourceLine/2/_sourcefile,SourceLine/2/_sourcepath,SourceLine/2/_relSourcepath,SourceLine/3/Message,SourceLine/3/_classname,SourceLine/3/_start,SourceLine/3/_end,SourceLine/3/_startBytecode,SourceLine/3/_endBytecode,SourceLine/3/_sourcefile,SourceLine/3/_sourcepath,SourceLine/3/_relSourcepath
Potential CRLF Injection for logs,This use of Logger.warn(...) might be used to include CRLF characters into log messages,In LocalUnderFileSystem.java,alluxio.underfs.local.LocalUnderFileSystem,LocalUnderFileSystem.java,alluxio/underfs/local/LocalUnderFileSystem.java,main\java\alluxio\underfs\local\LocalUnderFileSystem.java,In class alluxio.underfs.local.LocalUnderFileSystem,alluxio.underfs.local.LocalUnderFileSystem,true,alluxio.underfs.local.LocalUnderFileSystem,316,359,0,605,LocalUnderFileSystem.java,alluxio/underfs/local/LocalUnderFileSystem.java,main\java\alluxio\underfs\local\LocalUnderFileSystem.java,"In method alluxio.underfs.local.LocalUnderFileSystem.mkdirs(String, MkdirsOptions)",alluxio.underfs.local.LocalUnderFileSystem,mkdirs,(Ljava/lang/String;Lalluxio/underfs/options/MkdirsOptions;)Z,false,true,At LocalUnderFileSystem.java:[line 325],alluxio.underfs.local.LocalUnderFileSystem,true,325,325,82,82,LocalUnderFileSystem.java,alluxio/underfs/local/LocalUnderFileSystem.java,main\java\alluxio\underfs\local\LocalUnderFileSystem.java,At LocalUnderFileSystem.java:[line 326],alluxio.underfs.local.LocalUnderFileSystem,326,326,79,79,LocalUnderFileSystem.java,alluxio/underfs/local/LocalUnderFileSystem.java,main\java\alluxio\underfs\local\LocalUnderFileSystem.java,Sink method Logger.warn(...),Logger.warn(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,3732e1f49b5888d601d7550e7195a217,0,1,117,,,,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.warn(...) might be used to include CRLF characters into log messages,In LocalUnderFileSystem.java,alluxio.underfs.local.LocalUnderFileSystem,LocalUnderFileSystem.java,alluxio/underfs/local/LocalUnderFileSystem.java,main\java\alluxio\underfs\local\LocalUnderFileSystem.java,In class alluxio.underfs.local.LocalUnderFileSystem,alluxio.underfs.local.LocalUnderFileSystem,true,alluxio.underfs.local.LocalUnderFileSystem,316,359,0,605,LocalUnderFileSystem.java,alluxio/underfs/local/LocalUnderFileSystem.java,main\java\alluxio\underfs\local\LocalUnderFileSystem.java,"In method alluxio.underfs.local.LocalUnderFileSystem.mkdirs(String, MkdirsOptions)",alluxio.underfs.local.LocalUnderFileSystem,mkdirs,(Ljava/lang/String;Lalluxio/underfs/options/MkdirsOptions;)Z,false,true,At LocalUnderFileSystem.java:[line 351],alluxio.underfs.local.LocalUnderFileSystem,true,351,351,220,220,LocalUnderFileSystem.java,alluxio/underfs/local/LocalUnderFileSystem.java,main\java\alluxio\underfs\local\LocalUnderFileSystem.java,At LocalUnderFileSystem.java:[line 352],alluxio.underfs.local.LocalUnderFileSystem,352,352,217,217,LocalUnderFileSystem.java,alluxio/underfs/local/LocalUnderFileSystem.java,main\java\alluxio\underfs\local\LocalUnderFileSystem.java,Sink method Logger.warn(...),Logger.warn(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,3732e1f49b5888d601d7550e7195a217,1,1,117,,,,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.warn(...) might be used to include CRLF characters into log messages,In LocalUnderFileSystem.java,alluxio.underfs.local.LocalUnderFileSystem,LocalUnderFileSystem.java,alluxio/underfs/local/LocalUnderFileSystem.java,main\java\alluxio\underfs\local\LocalUnderFileSystem.java,In class alluxio.underfs.local.LocalUnderFileSystem,alluxio.underfs.local.LocalUnderFileSystem,true,alluxio.underfs.local.LocalUnderFileSystem,377,381,0,111,LocalUnderFileSystem.java,alluxio/underfs/local/LocalUnderFileSystem.java,main\java\alluxio\underfs\local\LocalUnderFileSystem.java,"In method alluxio.underfs.local.LocalUnderFileSystem.renameDirectory(String, String)",alluxio.underfs.local.LocalUnderFileSystem,renameDirectory,(Ljava/lang/String;Ljava/lang/String;)Z,false,true,At LocalUnderFileSystem.java:[line 378],alluxio.underfs.local.LocalUnderFileSystem,true,378,378,15,15,LocalUnderFileSystem.java,alluxio/underfs/local/LocalUnderFileSystem.java,main\java\alluxio\underfs\local\LocalUnderFileSystem.java,,,,,,,,,,Sink method Logger.warn(...),Logger.warn(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,8ce124ab5da9b3668b87fa827b7f76b8,0,0,117,Method usage not detected,not detected,Method usage,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.warn(...) might be used to include CRLF characters into log messages,In LocalUnderFileSystem.java,alluxio.underfs.local.LocalUnderFileSystem,LocalUnderFileSystem.java,alluxio/underfs/local/LocalUnderFileSystem.java,main\java\alluxio\underfs\local\LocalUnderFileSystem.java,In class alluxio.underfs.local.LocalUnderFileSystem,alluxio.underfs.local.LocalUnderFileSystem,true,alluxio.underfs.local.LocalUnderFileSystem,386,391,0,111,LocalUnderFileSystem.java,alluxio/underfs/local/LocalUnderFileSystem.java,main\java\alluxio\underfs\local\LocalUnderFileSystem.java,"In method alluxio.underfs.local.LocalUnderFileSystem.renameFile(String, String)",alluxio.underfs.local.LocalUnderFileSystem,renameFile,(Ljava/lang/String;Ljava/lang/String;)Z,false,true,At LocalUnderFileSystem.java:[line 387],alluxio.underfs.local.LocalUnderFileSystem,true,387,387,15,15,LocalUnderFileSystem.java,alluxio/underfs/local/LocalUnderFileSystem.java,main\java\alluxio\underfs\local\LocalUnderFileSystem.java,,,,,,,,,,Sink method Logger.warn(...),Logger.warn(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,473ec71ef52988fcee1e13148f2cd35a,0,0,117,Method usage not detected,not detected,Method usage,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.warn(...) might be used to include CRLF characters into log messages,In LocalUnderFileSystem.java,alluxio.underfs.local.LocalUnderFileSystem,LocalUnderFileSystem.java,alluxio/underfs/local/LocalUnderFileSystem.java,main\java\alluxio\underfs\local\LocalUnderFileSystem.java,In class alluxio.underfs.local.LocalUnderFileSystem,alluxio.underfs.local.LocalUnderFileSystem,true,alluxio.underfs.local.LocalUnderFileSystem,396,416,0,274,LocalUnderFileSystem.java,alluxio/underfs/local/LocalUnderFileSystem.java,main\java\alluxio\underfs\local\LocalUnderFileSystem.java,"In method alluxio.underfs.local.LocalUnderFileSystem.setOwner(String, String, String)",alluxio.underfs.local.LocalUnderFileSystem,setOwner,(Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;)V,false,true,At LocalUnderFileSystem.java:[line 405],alluxio.underfs.local.LocalUnderFileSystem,true,405,405,56,56,LocalUnderFileSystem.java,alluxio/underfs/local/LocalUnderFileSystem.java,main\java\alluxio\underfs\local\LocalUnderFileSystem.java,At LocalUnderFileSystem.java:[line 323],alluxio.underfs.local.LocalUnderFileSystem,323,323,64,64,LocalUnderFileSystem.java,alluxio/underfs/local/LocalUnderFileSystem.java,main\java\alluxio\underfs\local\LocalUnderFileSystem.java,Sink method Logger.warn(...),Logger.warn(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,1b14535c2092ea20cbd7476d7f40fa3c,0,0,117,,,,At LocalUnderFileSystem.java:[line 349],alluxio.underfs.local.LocalUnderFileSystem,349,349,202,202,LocalUnderFileSystem.java,alluxio/underfs/local/LocalUnderFileSystem.java,main\java\alluxio\underfs\local\LocalUnderFileSystem.java,At LocalUnderFileSystem.java:[line 396],alluxio.underfs.local.LocalUnderFileSystem,396,396,2,2,LocalUnderFileSystem.java,alluxio/underfs/local/LocalUnderFileSystem.java,main\java\alluxio\underfs\local\LocalUnderFileSystem.java
Potential Path Traversal (file read),File(...) reads a file whose location might be specified by user input,In LocalUnderFileSystem.java,alluxio.underfs.local.LocalUnderFileSystem,LocalUnderFileSystem.java,alluxio/underfs/local/LocalUnderFileSystem.java,main\java\alluxio\underfs\local\LocalUnderFileSystem.java,In class alluxio.underfs.local.LocalUnderFileSystem,alluxio.underfs.local.LocalUnderFileSystem,true,alluxio.underfs.local.LocalUnderFileSystem,108,122,0,284,LocalUnderFileSystem.java,alluxio/underfs/local/LocalUnderFileSystem.java,main\java\alluxio\underfs\local\LocalUnderFileSystem.java,"In method alluxio.underfs.local.LocalUnderFileSystem.createDirect(String, CreateOptions)",alluxio.underfs.local.LocalUnderFileSystem,createDirect,(Ljava/lang/String;Lalluxio/underfs/options/CreateOptions;)Ljava/io/OutputStream;,false,true,At LocalUnderFileSystem.java:[line 110],alluxio.underfs.local.LocalUnderFileSystem,true,110,110,18,18,LocalUnderFileSystem.java,alluxio/underfs/local/LocalUnderFileSystem.java,main\java\alluxio\underfs\local\LocalUnderFileSystem.java,At LocalUnderFileSystem.java:[line 108],alluxio.underfs.local.LocalUnderFileSystem,108,108,2,2,LocalUnderFileSystem.java,alluxio/underfs/local/LocalUnderFileSystem.java,main\java\alluxio\underfs\local\LocalUnderFileSystem.java,Sink method File(...),File(...),Sink method,PATH_TRAVERSAL_IN,2,7,SECPTI,SECURITY,13d70b0c48a3083207d56fc2fecea5a8,0,0,22,,,,,,,,,,,,,,,,,,,,,
Potential Path Traversal (file read),File(...) reads a file whose location might be specified by user input,In LocalUnderFileSystem.java,alluxio.underfs.local.LocalUnderFileSystem,LocalUnderFileSystem.java,alluxio/underfs/local/LocalUnderFileSystem.java,main\java\alluxio\underfs\local\LocalUnderFileSystem.java,In class alluxio.underfs.local.LocalUnderFileSystem,alluxio.underfs.local.LocalUnderFileSystem,true,alluxio.underfs.local.LocalUnderFileSystem,127,150,0,426,LocalUnderFileSystem.java,alluxio/underfs/local/LocalUnderFileSystem.java,main\java\alluxio\underfs\local\LocalUnderFileSystem.java,"In method alluxio.underfs.local.LocalUnderFileSystem.deleteDirectory(String, DeleteOptions)",alluxio.underfs.local.LocalUnderFileSystem,deleteDirectory,(Ljava/lang/String;Lalluxio/underfs/options/DeleteOptions;)Z,false,true,At LocalUnderFileSystem.java:[line 128],alluxio.underfs.local.LocalUnderFileSystem,true,128,128,11,11,LocalUnderFileSystem.java,alluxio/underfs/local/LocalUnderFileSystem.java,main\java\alluxio\underfs\local\LocalUnderFileSystem.java,At LocalUnderFileSystem.java:[line 127],alluxio.underfs.local.LocalUnderFileSystem,127,127,2,2,LocalUnderFileSystem.java,alluxio/underfs/local/LocalUnderFileSystem.java,main\java\alluxio\underfs\local\LocalUnderFileSystem.java,Sink method File(...),File(...),Sink method,PATH_TRAVERSAL_IN,2,7,SECPTI,SECURITY,179638433c8820f25d6459c3d6ab7e7b,0,0,22,,,,,,,,,,,,,,,,,,,,,
Potential Path Traversal (file read),File(...) reads a file whose location might be specified by user input,In LocalUnderFileSystem.java,alluxio.underfs.local.LocalUnderFileSystem,LocalUnderFileSystem.java,alluxio/underfs/local/LocalUnderFileSystem.java,main\java\alluxio\underfs\local\LocalUnderFileSystem.java,In class alluxio.underfs.local.LocalUnderFileSystem,alluxio.underfs.local.LocalUnderFileSystem,true,alluxio.underfs.local.LocalUnderFileSystem,155,157,0,120,LocalUnderFileSystem.java,alluxio/underfs/local/LocalUnderFileSystem.java,main\java\alluxio\underfs\local\LocalUnderFileSystem.java,In method alluxio.underfs.local.LocalUnderFileSystem.deleteFile(String),alluxio.underfs.local.LocalUnderFileSystem,deleteFile,(Ljava/lang/String;)Z,false,true,At LocalUnderFileSystem.java:[line 156],alluxio.underfs.local.LocalUnderFileSystem,true,156,156,11,11,LocalUnderFileSystem.java,alluxio/underfs/local/LocalUnderFileSystem.java,main\java\alluxio\underfs\local\LocalUnderFileSystem.java,At LocalUnderFileSystem.java:[line 155],alluxio.underfs.local.LocalUnderFileSystem,155,155,2,2,LocalUnderFileSystem.java,alluxio/underfs/local/LocalUnderFileSystem.java,main\java\alluxio\underfs\local\LocalUnderFileSystem.java,Sink method File(...),File(...),Sink method,PATH_TRAVERSAL_IN,2,7,SECPTI,SECURITY,8469e599a0d91f6db6fef3f0b728ffbf,0,0,22,,,,,,,,,,,,,,,,,,,,,
Potential Path Traversal (file read),File(...) reads a file whose location might be specified by user input,In LocalUnderFileSystem.java,alluxio.underfs.local.LocalUnderFileSystem,LocalUnderFileSystem.java,alluxio/underfs/local/LocalUnderFileSystem.java,main\java\alluxio\underfs\local\LocalUnderFileSystem.java,In class alluxio.underfs.local.LocalUnderFileSystem,alluxio.underfs.local.LocalUnderFileSystem,true,alluxio.underfs.local.LocalUnderFileSystem,162,164,0,89,LocalUnderFileSystem.java,alluxio/underfs/local/LocalUnderFileSystem.java,main\java\alluxio\underfs\local\LocalUnderFileSystem.java,In method alluxio.underfs.local.LocalUnderFileSystem.exists(String),alluxio.underfs.local.LocalUnderFileSystem,exists,(Ljava/lang/String;)Z,false,true,At LocalUnderFileSystem.java:[line 163],alluxio.underfs.local.LocalUnderFileSystem,true,163,163,11,11,LocalUnderFileSystem.java,alluxio/underfs/local/LocalUnderFileSystem.java,main\java\alluxio\underfs\local\LocalUnderFileSystem.java,At LocalUnderFileSystem.java:[line 162],alluxio.underfs.local.LocalUnderFileSystem,162,162,2,2,LocalUnderFileSystem.java,alluxio/underfs/local/LocalUnderFileSystem.java,main\java\alluxio\underfs\local\LocalUnderFileSystem.java,Sink method File(...),File(...),Sink method,PATH_TRAVERSAL_IN,2,7,SECPTI,SECURITY,5e14486f010e17fd79981adbdcf148f2,0,0,22,,,,,,,,,,,,,,,,,,,,,
Potential Path Traversal (file read),File(...) reads a file whose location might be specified by user input,In LocalUnderFileSystem.java,alluxio.underfs.local.LocalUnderFileSystem,LocalUnderFileSystem.java,alluxio/underfs/local/LocalUnderFileSystem.java,main\java\alluxio\underfs\local\LocalUnderFileSystem.java,In class alluxio.underfs.local.LocalUnderFileSystem,alluxio.underfs.local.LocalUnderFileSystem,true,alluxio.underfs.local.LocalUnderFileSystem,169,174,0,133,LocalUnderFileSystem.java,alluxio/underfs/local/LocalUnderFileSystem.java,main\java\alluxio\underfs\local\LocalUnderFileSystem.java,In method alluxio.underfs.local.LocalUnderFileSystem.getBlockSizeByte(String),alluxio.underfs.local.LocalUnderFileSystem,getBlockSizeByte,(Ljava/lang/String;)J,false,true,At LocalUnderFileSystem.java:[line 170],alluxio.underfs.local.LocalUnderFileSystem,true,170,170,11,11,LocalUnderFileSystem.java,alluxio/underfs/local/LocalUnderFileSystem.java,main\java\alluxio\underfs\local\LocalUnderFileSystem.java,At LocalUnderFileSystem.java:[line 169],alluxio.underfs.local.LocalUnderFileSystem,169,169,2,2,LocalUnderFileSystem.java,alluxio/underfs/local/LocalUnderFileSystem.java,main\java\alluxio\underfs\local\LocalUnderFileSystem.java,Sink method File(...),File(...),Sink method,PATH_TRAVERSAL_IN,2,7,SECPTI,SECURITY,b293087eedafd631e6cb0efebecb0340,0,0,22,,,,,,,,,,,,,,,,,,,,,
Potential Path Traversal (file read),File(...) reads a file whose location might be specified by user input,In LocalUnderFileSystem.java,alluxio.underfs.local.LocalUnderFileSystem,LocalUnderFileSystem.java,alluxio/underfs/local/LocalUnderFileSystem.java,main\java\alluxio\underfs\local\LocalUnderFileSystem.java,In class alluxio.underfs.local.LocalUnderFileSystem,alluxio.underfs.local.LocalUnderFileSystem,true,alluxio.underfs.local.LocalUnderFileSystem,179,190,0,317,LocalUnderFileSystem.java,alluxio/underfs/local/LocalUnderFileSystem.java,main\java\alluxio\underfs\local\LocalUnderFileSystem.java,In method alluxio.underfs.local.LocalUnderFileSystem.getDirectoryStatus(String),alluxio.underfs.local.LocalUnderFileSystem,getDirectoryStatus,(Ljava/lang/String;)Lalluxio/underfs/UfsDirectoryStatus;,false,true,At LocalUnderFileSystem.java:[line 180],alluxio.underfs.local.LocalUnderFileSystem,true,180,180,11,11,LocalUnderFileSystem.java,alluxio/underfs/local/LocalUnderFileSystem.java,main\java\alluxio\underfs\local\LocalUnderFileSystem.java,At LocalUnderFileSystem.java:[line 179],alluxio.underfs.local.LocalUnderFileSystem,179,179,2,2,LocalUnderFileSystem.java,alluxio/underfs/local/LocalUnderFileSystem.java,main\java\alluxio\underfs\local\LocalUnderFileSystem.java,Sink method File(...),File(...),Sink method,PATH_TRAVERSAL_IN,2,7,SECPTI,SECURITY,52d6e982ed4cc804a7eb0c65d382aa85,0,0,22,,,,,,,,,,,,,,,,,,,,,
