ShortMessage,LongMessage,Class/SourceLine/0/Message,Class/SourceLine/0/_classname,Class/SourceLine/0/_sourcefile,Class/SourceLine/0/_sourcepath,Class/SourceLine/0/_relSourcepath,Class/Message,Class/_classname,Class/_primary,Method/SourceLine/0/_classname,Method/SourceLine/0/_start,Method/SourceLine/0/_end,Method/SourceLine/0/_startBytecode,Method/SourceLine/0/_endBytecode,Method/SourceLine/0/_sourcefile,Method/SourceLine/0/_sourcepath,Method/SourceLine/0/_relSourcepath,Method/Message,Method/_classname,Method/_name,Method/_signature,Method/_isStatic,Method/_primary,SourceLine/0/Message,SourceLine/0/_classname,SourceLine/0/_primary,SourceLine/0/_start,SourceLine/0/_end,SourceLine/0/_startBytecode,SourceLine/0/_endBytecode,SourceLine/0/_sourcefile,SourceLine/0/_sourcepath,SourceLine/0/_relSourcepath,SourceLine/1/Message,SourceLine/1/_classname,SourceLine/1/_start,SourceLine/1/_end,SourceLine/1/_startBytecode,SourceLine/1/_endBytecode,SourceLine/1/_sourcefile,SourceLine/1/_sourcepath,SourceLine/1/_relSourcepath,String/0/Message,String/0/_value,String/0/_role,_type,_priority,_rank,_abbrev,_category,_instanceHash,_instanceOccurrenceNum,_instanceOccurrenceMax,_cweid,SourceLine/2/Message,SourceLine/2/_classname,SourceLine/2/_start,SourceLine/2/_end,SourceLine/2/_startBytecode,SourceLine/2/_endBytecode,SourceLine/2/_sourcefile,SourceLine/2/_sourcepath,SourceLine/2/_relSourcepath,String/1/Message,String/1/_value,String/1/_role
Potential CRLF Injection for logs,This use of Logger.warn(...) might be used to include CRLF characters into log messages,In S3AInputStream.java,alluxio.underfs.s3a.S3AInputStream,S3AInputStream.java,alluxio/underfs/s3a/S3AInputStream.java,main\java\alluxio\underfs\s3a\S3AInputStream.java,In class alluxio.underfs.s3a.S3AInputStream,alluxio.underfs.s3a.S3AInputStream,true,alluxio.underfs.s3a.S3AInputStream,137,161,0,338,S3AInputStream.java,alluxio/underfs/s3a/S3AInputStream.java,main\java\alluxio\underfs\s3a\S3AInputStream.java,In method alluxio.underfs.s3a.S3AInputStream.openStream(),alluxio.underfs.s3a.S3AInputStream,openStream,()V,false,true,At S3AInputStream.java:[line 151],alluxio.underfs.s3a.S3AInputStream,true,151,151,119,119,S3AInputStream.java,alluxio/underfs/s3a/S3AInputStream.java,main\java\alluxio\underfs\s3a\S3AInputStream.java,At S3AInputStream.java:[line 152],alluxio.underfs.s3a.S3AInputStream,152,152,108,108,S3AInputStream.java,alluxio/underfs/s3a/S3AInputStream.java,main\java\alluxio\underfs\s3a\S3AInputStream.java,Sink method Logger.warn(...),Logger.warn(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,1e49b301259f5c991fb95c12bbace230,0,0,117,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.warn(...) might be used to include CRLF characters into log messages,In S3ALowLevelOutputStream.java,alluxio.underfs.s3a.S3ALowLevelOutputStream,S3ALowLevelOutputStream.java,alluxio/underfs/s3a/S3ALowLevelOutputStream.java,main\java\alluxio\underfs\s3a\S3ALowLevelOutputStream.java,In class alluxio.underfs.s3a.S3ALowLevelOutputStream,alluxio.underfs.s3a.S3ALowLevelOutputStream,true,alluxio.underfs.s3a.S3ALowLevelOutputStream,435,451,0,246,S3ALowLevelOutputStream.java,alluxio/underfs/s3a/S3ALowLevelOutputStream.java,main\java\alluxio\underfs\s3a\S3ALowLevelOutputStream.java,In method alluxio.underfs.s3a.S3ALowLevelOutputStream.abortMultiPartUpload(),alluxio.underfs.s3a.S3ALowLevelOutputStream,abortMultiPartUpload,()V,false,true,At S3ALowLevelOutputStream.java:[line 437],alluxio.underfs.s3a.S3ALowLevelOutputStream,true,437,437,58,58,S3ALowLevelOutputStream.java,alluxio/underfs/s3a/S3ALowLevelOutputStream.java,main\java\alluxio\underfs\s3a\S3ALowLevelOutputStream.java,At S3ALowLevelOutputStream.java:[line 437],alluxio.underfs.s3a.S3ALowLevelOutputStream,437,437,54,54,S3ALowLevelOutputStream.java,alluxio/underfs/s3a/S3ALowLevelOutputStream.java,main\java\alluxio\underfs\s3a\S3ALowLevelOutputStream.java,Sink method Logger.warn(...),Logger.warn(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,15ac93477d848a3d7f9a74a7533c423b,0,1,117,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.warn(...) might be used to include CRLF characters into log messages,In S3ALowLevelOutputStream.java,alluxio.underfs.s3a.S3ALowLevelOutputStream,S3ALowLevelOutputStream.java,alluxio/underfs/s3a/S3ALowLevelOutputStream.java,main\java\alluxio\underfs\s3a\S3ALowLevelOutputStream.java,In class alluxio.underfs.s3a.S3ALowLevelOutputStream,alluxio.underfs.s3a.S3ALowLevelOutputStream,true,alluxio.underfs.s3a.S3ALowLevelOutputStream,435,451,0,246,S3ALowLevelOutputStream.java,alluxio/underfs/s3a/S3ALowLevelOutputStream.java,main\java\alluxio\underfs\s3a\S3ALowLevelOutputStream.java,In method alluxio.underfs.s3a.S3ALowLevelOutputStream.abortMultiPartUpload(),alluxio.underfs.s3a.S3ALowLevelOutputStream,abortMultiPartUpload,()V,false,true,At S3ALowLevelOutputStream.java:[line 446],alluxio.underfs.s3a.S3ALowLevelOutputStream,true,446,446,122,122,S3ALowLevelOutputStream.java,alluxio/underfs/s3a/S3ALowLevelOutputStream.java,main\java\alluxio\underfs\s3a\S3ALowLevelOutputStream.java,At S3ALowLevelOutputStream.java:[line 446],alluxio.underfs.s3a.S3ALowLevelOutputStream,446,446,91,91,S3ALowLevelOutputStream.java,alluxio/underfs/s3a/S3ALowLevelOutputStream.java,main\java\alluxio\underfs\s3a\S3ALowLevelOutputStream.java,Sink method Logger.warn(...),Logger.warn(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,15ac93477d848a3d7f9a74a7533c423b,1,1,117,At S3ALowLevelOutputStream.java:[line 449],alluxio.underfs.s3a.S3ALowLevelOutputStream,449,449,114,114,S3ALowLevelOutputStream.java,alluxio/underfs/s3a/S3ALowLevelOutputStream.java,main\java\alluxio\underfs\s3a\S3ALowLevelOutputStream.java,,,
Potential CRLF Injection for logs,This use of Logger.error(...) might be used to include CRLF characters into log messages,In S3ALowLevelOutputStream.java,alluxio.underfs.s3a.S3ALowLevelOutputStream,S3ALowLevelOutputStream.java,alluxio/underfs/s3a/S3ALowLevelOutputStream.java,main\java\alluxio\underfs\s3a\S3ALowLevelOutputStream.java,In class alluxio.underfs.s3a.S3ALowLevelOutputStream,alluxio.underfs.s3a.S3ALowLevelOutputStream,true,alluxio.underfs.s3a.S3ALowLevelOutputStream,239,273,0,346,S3ALowLevelOutputStream.java,alluxio/underfs/s3a/S3ALowLevelOutputStream.java,main\java\alluxio\underfs\s3a\S3ALowLevelOutputStream.java,In method alluxio.underfs.s3a.S3ALowLevelOutputStream.close(),alluxio.underfs.s3a.S3ALowLevelOutputStream,close,()V,false,true,At S3ALowLevelOutputStream.java:[line 270],alluxio.underfs.s3a.S3ALowLevelOutputStream,true,270,270,138,138,S3ALowLevelOutputStream.java,alluxio/underfs/s3a/S3ALowLevelOutputStream.java,main\java\alluxio\underfs\s3a\S3ALowLevelOutputStream.java,At S3ALowLevelOutputStream.java:[line 270],alluxio.underfs.s3a.S3ALowLevelOutputStream,270,270,135,135,S3ALowLevelOutputStream.java,alluxio/underfs/s3a/S3ALowLevelOutputStream.java,main\java\alluxio\underfs\s3a\S3ALowLevelOutputStream.java,Sink method Logger.error(...),Logger.error(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,972a31ebe09a2bf5a9f73b1d707a8552,0,0,117,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.debug(...) might be used to include CRLF characters into log messages,In S3ALowLevelOutputStream.java,alluxio.underfs.s3a.S3ALowLevelOutputStream,S3ALowLevelOutputStream.java,alluxio/underfs/s3a/S3ALowLevelOutputStream.java,main\java\alluxio\underfs\s3a\S3ALowLevelOutputStream.java,In class alluxio.underfs.s3a.S3ALowLevelOutputStream,alluxio.underfs.s3a.S3ALowLevelOutputStream,true,alluxio.underfs.s3a.S3ALowLevelOutputStream,410,424,0,271,S3ALowLevelOutputStream.java,alluxio/underfs/s3a/S3ALowLevelOutputStream.java,main\java\alluxio\underfs\s3a\S3ALowLevelOutputStream.java,In method alluxio.underfs.s3a.S3ALowLevelOutputStream.completeMultiPartUpload(),alluxio.underfs.s3a.S3ALowLevelOutputStream,completeMultiPartUpload,()V,false,true,At S3ALowLevelOutputStream.java:[line 415],alluxio.underfs.s3a.S3ALowLevelOutputStream,true,415,415,73,73,S3ALowLevelOutputStream.java,alluxio/underfs/s3a/S3ALowLevelOutputStream.java,main\java\alluxio\underfs\s3a\S3ALowLevelOutputStream.java,At S3ALowLevelOutputStream.java:[line 415],alluxio.underfs.s3a.S3ALowLevelOutputStream,415,415,47,47,S3ALowLevelOutputStream.java,alluxio/underfs/s3a/S3ALowLevelOutputStream.java,main\java\alluxio\underfs\s3a\S3ALowLevelOutputStream.java,Sink method Logger.debug(...),Logger.debug(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,a8d7c80e971d009c6d32c6cff763c5d3,0,0,117,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.debug(...) might be used to include CRLF characters into log messages,In S3ALowLevelOutputStream.java,alluxio.underfs.s3a.S3ALowLevelOutputStream,S3ALowLevelOutputStream.java,alluxio/underfs/s3a/S3ALowLevelOutputStream.java,main\java\alluxio\underfs\s3a\S3ALowLevelOutputStream.java,In class alluxio.underfs.s3a.S3ALowLevelOutputStream,alluxio.underfs.s3a.S3ALowLevelOutputStream,true,alluxio.underfs.s3a.S3ALowLevelOutputStream,349,375,0,210,S3ALowLevelOutputStream.java,alluxio/underfs/s3a/S3ALowLevelOutputStream.java,main\java\alluxio\underfs\s3a\S3ALowLevelOutputStream.java,In method alluxio.underfs.s3a.S3ALowLevelOutputStream.execUpload(UploadPartRequest),alluxio.underfs.s3a.S3ALowLevelOutputStream,execUpload,(Lcom/amazonaws/services/s3/model/UploadPartRequest;)V,false,true,At S3ALowLevelOutputStream.java:[line 373],alluxio.underfs.s3a.S3ALowLevelOutputStream,true,373,373,87,87,S3ALowLevelOutputStream.java,alluxio/underfs/s3a/S3ALowLevelOutputStream.java,main\java\alluxio\underfs\s3a\S3ALowLevelOutputStream.java,At S3ALowLevelOutputStream.java:[line 373],alluxio.underfs.s3a.S3ALowLevelOutputStream,373,373,46,46,S3ALowLevelOutputStream.java,alluxio/underfs/s3a/S3ALowLevelOutputStream.java,main\java\alluxio\underfs\s3a\S3ALowLevelOutputStream.java,Sink method Logger.debug(...),Logger.debug(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,f55a6b2a678c9eeabd5fa02149e64ac5,0,0,117,At S3ALowLevelOutputStream.java:[line 374],alluxio.underfs.s3a.S3ALowLevelOutputStream,374,374,63,63,S3ALowLevelOutputStream.java,alluxio/underfs/s3a/S3ALowLevelOutputStream.java,main\java\alluxio\underfs\s3a\S3ALowLevelOutputStream.java,,,
Potential CRLF Injection for logs,This use of Logger.debug(...) might be used to include CRLF characters into log messages,In S3ALowLevelOutputStream.java,alluxio.underfs.s3a.S3ALowLevelOutputStream,S3ALowLevelOutputStream.java,alluxio/underfs/s3a/S3ALowLevelOutputStream.java,main\java\alluxio\underfs\s3a\S3ALowLevelOutputStream.java,In class alluxio.underfs.s3a.S3ALowLevelOutputStream,alluxio.underfs.s3a.S3ALowLevelOutputStream,true,alluxio.underfs.s3a.S3ALowLevelOutputStream,310,319,0,189,S3ALowLevelOutputStream.java,alluxio/underfs/s3a/S3ALowLevelOutputStream.java,main\java\alluxio\underfs\s3a\S3ALowLevelOutputStream.java,In method alluxio.underfs.s3a.S3ALowLevelOutputStream.initNewFile(),alluxio.underfs.s3a.S3ALowLevelOutputStream,initNewFile,()V,false,true,At S3ALowLevelOutputStream.java:[line 318],alluxio.underfs.s3a.S3ALowLevelOutputStream,true,318,318,106,106,S3ALowLevelOutputStream.java,alluxio/underfs/s3a/S3ALowLevelOutputStream.java,main\java\alluxio\underfs\s3a\S3ALowLevelOutputStream.java,At S3ALowLevelOutputStream.java:[line 318],alluxio.underfs.s3a.S3ALowLevelOutputStream,318,318,103,103,S3ALowLevelOutputStream.java,alluxio/underfs/s3a/S3ALowLevelOutputStream.java,main\java\alluxio\underfs\s3a\S3ALowLevelOutputStream.java,Sink method Logger.debug(...),Logger.debug(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,cbd52e950878b3a8cb340aea84a539d2,0,0,117,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.debug(...) might be used to include CRLF characters into log messages,In S3ALowLevelOutputStream.java,alluxio.underfs.s3a.S3ALowLevelOutputStream,S3ALowLevelOutputStream.java,alluxio/underfs/s3a/S3ALowLevelOutputStream.java,main\java\alluxio\underfs\s3a\S3ALowLevelOutputStream.java,In class alluxio.underfs.s3a.S3ALowLevelOutputStream,alluxio.underfs.s3a.S3ALowLevelOutputStream,true,alluxio.underfs.s3a.S3ALowLevelOutputStream,381,403,0,440,S3ALowLevelOutputStream.java,alluxio/underfs/s3a/S3ALowLevelOutputStream.java,main\java\alluxio\underfs\s3a\S3ALowLevelOutputStream.java,In method alluxio.underfs.s3a.S3ALowLevelOutputStream.waitForAllPartsUpload(),alluxio.underfs.s3a.S3ALowLevelOutputStream,waitForAllPartsUpload,()V,false,true,At S3ALowLevelOutputStream.java:[line 401],alluxio.underfs.s3a.S3ALowLevelOutputStream,true,401,401,221,221,S3ALowLevelOutputStream.java,alluxio/underfs/s3a/S3ALowLevelOutputStream.java,main\java\alluxio\underfs\s3a\S3ALowLevelOutputStream.java,At S3ALowLevelOutputStream.java:[line 401],alluxio.underfs.s3a.S3ALowLevelOutputStream,401,401,210,210,S3ALowLevelOutputStream.java,alluxio/underfs/s3a/S3ALowLevelOutputStream.java,main\java\alluxio\underfs\s3a\S3ALowLevelOutputStream.java,Sink method Logger.debug(...),Logger.debug(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,4d610ade29871078b7eee46d07a3659f,0,0,117,,,,,,,,,,,,
Potential Path Traversal (file read),File(...) reads a file whose location might be specified by user input,In S3ALowLevelOutputStream.java,alluxio.underfs.s3a.S3ALowLevelOutputStream,S3ALowLevelOutputStream.java,alluxio/underfs/s3a/S3ALowLevelOutputStream.java,main\java\alluxio\underfs\s3a\S3ALowLevelOutputStream.java,In class alluxio.underfs.s3a.S3ALowLevelOutputStream,alluxio.underfs.s3a.S3ALowLevelOutputStream,true,alluxio.underfs.s3a.S3ALowLevelOutputStream,310,319,0,189,S3ALowLevelOutputStream.java,alluxio/underfs/s3a/S3ALowLevelOutputStream.java,main\java\alluxio\underfs\s3a\S3ALowLevelOutputStream.java,In method alluxio.underfs.s3a.S3ALowLevelOutputStream.initNewFile(),alluxio.underfs.s3a.S3ALowLevelOutputStream,initNewFile,()V,false,true,At S3ALowLevelOutputStream.java:[line 310],alluxio.underfs.s3a.S3ALowLevelOutputStream,true,310,310,18,18,S3ALowLevelOutputStream.java,alluxio/underfs/s3a/S3ALowLevelOutputStream.java,main\java\alluxio\underfs\s3a\S3ALowLevelOutputStream.java,At S3ALowLevelOutputStream.java:[line 310],alluxio.underfs.s3a.S3ALowLevelOutputStream,310,310,15,15,S3ALowLevelOutputStream.java,alluxio/underfs/s3a/S3ALowLevelOutputStream.java,main\java\alluxio\underfs\s3a\S3ALowLevelOutputStream.java,Sink method File(...),File(...),Sink method,PATH_TRAVERSAL_IN,2,7,SECPTI,SECURITY,f0673c29cb41535acf4b544c9768433b,0,0,22,,,,,,,,,,,,
Potential Path Traversal (file read),File(...) reads a file whose location might be specified by user input,In S3ALowLevelOutputStream.java,alluxio.underfs.s3a.S3ALowLevelOutputStream,S3ALowLevelOutputStream.java,alluxio/underfs/s3a/S3ALowLevelOutputStream.java,main\java\alluxio\underfs\s3a\S3ALowLevelOutputStream.java,In class alluxio.underfs.s3a.S3ALowLevelOutputStream,alluxio.underfs.s3a.S3ALowLevelOutputStream,true,alluxio.underfs.s3a.S3ALowLevelOutputStream,325,341,0,238,S3ALowLevelOutputStream.java,alluxio/underfs/s3a/S3ALowLevelOutputStream.java,main\java\alluxio\underfs\s3a\S3ALowLevelOutputStream.java,In method alluxio.underfs.s3a.S3ALowLevelOutputStream.uploadPart(),alluxio.underfs.s3a.S3ALowLevelOutputStream,uploadPart,()V,false,true,At S3ALowLevelOutputStream.java:[line 330],alluxio.underfs.s3a.S3ALowLevelOutputStream,true,330,330,34,34,S3ALowLevelOutputStream.java,alluxio/underfs/s3a/S3ALowLevelOutputStream.java,main\java\alluxio\underfs\s3a\S3ALowLevelOutputStream.java,At S3ALowLevelOutputStream.java:[line 330],alluxio.underfs.s3a.S3ALowLevelOutputStream,330,330,31,31,S3ALowLevelOutputStream.java,alluxio/underfs/s3a/S3ALowLevelOutputStream.java,main\java\alluxio\underfs\s3a\S3ALowLevelOutputStream.java,Sink method File(...),File(...),Sink method,PATH_TRAVERSAL_IN,2,7,SECPTI,SECURITY,49fa0c496387b39347313a1c5a69d420,0,0,22,,,,,,,,,,,,
