ShortMessage,LongMessage,Class/SourceLine/0/Message,Class/SourceLine/0/_classname,Class/SourceLine/0/_sourcefile,Class/SourceLine/0/_sourcepath,Class/SourceLine/0/_relSourcepath,Class/Message,Class/_classname,Class/_primary,Method/SourceLine/0/_classname,Method/SourceLine/0/_start,Method/SourceLine/0/_end,Method/SourceLine/0/_startBytecode,Method/SourceLine/0/_endBytecode,Method/SourceLine/0/_sourcefile,Method/SourceLine/0/_sourcepath,Method/SourceLine/0/_relSourcepath,Method/Message,Method/_classname,Method/_name,Method/_signature,Method/_isStatic,Method/_primary,SourceLine/0/Message,SourceLine/0/_classname,SourceLine/0/_primary,SourceLine/0/_start,SourceLine/0/_end,SourceLine/0/_startBytecode,SourceLine/0/_endBytecode,SourceLine/0/_sourcefile,SourceLine/0/_sourcepath,SourceLine/0/_relSourcepath,SourceLine/1/Message,SourceLine/1/_classname,SourceLine/1/_start,SourceLine/1/_end,SourceLine/1/_startBytecode,SourceLine/1/_endBytecode,SourceLine/1/_sourcefile,SourceLine/1/_sourcepath,SourceLine/1/_relSourcepath,String/0/Message,String/0/_value,String/0/_role,_type,_priority,_rank,_abbrev,_category,_instanceHash,_instanceOccurrenceNum,_instanceOccurrenceMax,_cweid,String/1/Message,String/1/_value,String/1/_role,SourceLine/2/Message,SourceLine/2/_classname,SourceLine/2/_start,SourceLine/2/_end,SourceLine/2/_startBytecode,SourceLine/2/_endBytecode,SourceLine/2/_sourcefile,SourceLine/2/_sourcepath,SourceLine/2/_relSourcepath
Potential CRLF Injection for logs,This use of Logger.debug(...) might be used to include CRLF characters into log messages,In KeystoneV3Access.java,alluxio.underfs.swift.KeystoneV3Access,KeystoneV3Access.java,alluxio/underfs/swift/KeystoneV3Access.java,main\java\alluxio\underfs\swift\KeystoneV3Access.java,In class alluxio.underfs.swift.KeystoneV3Access,alluxio.underfs.swift.KeystoneV3Access,true,alluxio.underfs.swift.KeystoneV3Access,73,75,0,79,KeystoneV3Access.java,alluxio/underfs/swift/KeystoneV3Access.java,main\java\alluxio\underfs\swift\KeystoneV3Access.java,In method alluxio.underfs.swift.KeystoneV3Access.setPreferredRegion(String),alluxio.underfs.swift.KeystoneV3Access,setPreferredRegion,(Ljava/lang/String;)V,false,true,At KeystoneV3Access.java:[line 74],alluxio.underfs.swift.KeystoneV3Access,true,74,74,14,14,KeystoneV3Access.java,alluxio/underfs/swift/KeystoneV3Access.java,main\java\alluxio\underfs\swift\KeystoneV3Access.java,At KeystoneV3Access.java:[line 74],alluxio.underfs.swift.KeystoneV3Access,74,74,11,11,KeystoneV3Access.java,alluxio/underfs/swift/KeystoneV3Access.java,main\java\alluxio\underfs\swift\KeystoneV3Access.java,Sink method Logger.debug(...),Logger.debug(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,60dfde67aae465b3f389c6d069b26eea,0,0,117,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.error(...) might be used to include CRLF characters into log messages,In KeystoneV3AccessProvider.java,alluxio.underfs.swift.KeystoneV3AccessProvider,KeystoneV3AccessProvider.java,alluxio/underfs/swift/KeystoneV3AccessProvider.java,main\java\alluxio\underfs\swift\KeystoneV3AccessProvider.java,In class alluxio.underfs.swift.KeystoneV3AccessProvider,alluxio.underfs.swift.KeystoneV3AccessProvider,true,alluxio.underfs.swift.KeystoneV3AccessProvider,64,129,0,2361,KeystoneV3AccessProvider.java,alluxio/underfs/swift/KeystoneV3AccessProvider.java,main\java\alluxio\underfs\swift\KeystoneV3AccessProvider.java,In method alluxio.underfs.swift.KeystoneV3AccessProvider.authenticate(),alluxio.underfs.swift.KeystoneV3AccessProvider,authenticate,()Lorg/javaswift/joss/model/Access;,false,true,At KeystoneV3AccessProvider.java:[line 72],alluxio.underfs.swift.KeystoneV3AccessProvider,true,72,72,115,115,KeystoneV3AccessProvider.java,alluxio/underfs/swift/KeystoneV3AccessProvider.java,main\java\alluxio\underfs\swift\KeystoneV3AccessProvider.java,At KeystoneV3AccessProvider.java:[line 72],alluxio.underfs.swift.KeystoneV3AccessProvider,72,72,112,112,KeystoneV3AccessProvider.java,alluxio/underfs/swift/KeystoneV3AccessProvider.java,main\java\alluxio\underfs\swift\KeystoneV3AccessProvider.java,Sink method Logger.error(...),Logger.error(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,59a4bb9e85981a9984e71ec1eab71c9d,0,2,117,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.error(...) might be used to include CRLF characters into log messages,In KeystoneV3AccessProvider.java,alluxio.underfs.swift.KeystoneV3AccessProvider,KeystoneV3AccessProvider.java,alluxio/underfs/swift/KeystoneV3AccessProvider.java,main\java\alluxio\underfs\swift\KeystoneV3AccessProvider.java,In class alluxio.underfs.swift.KeystoneV3AccessProvider,alluxio.underfs.swift.KeystoneV3AccessProvider,true,alluxio.underfs.swift.KeystoneV3AccessProvider,64,129,0,2361,KeystoneV3AccessProvider.java,alluxio/underfs/swift/KeystoneV3AccessProvider.java,main\java\alluxio\underfs\swift\KeystoneV3AccessProvider.java,In method alluxio.underfs.swift.KeystoneV3AccessProvider.authenticate(),alluxio.underfs.swift.KeystoneV3AccessProvider,authenticate,()Lorg/javaswift/joss/model/Access;,false,true,At KeystoneV3AccessProvider.java:[line 120],alluxio.underfs.swift.KeystoneV3AccessProvider,true,120,120,695,695,KeystoneV3AccessProvider.java,alluxio/underfs/swift/KeystoneV3AccessProvider.java,main\java\alluxio\underfs\swift\KeystoneV3AccessProvider.java,At KeystoneV3AccessProvider.java:[line 120],alluxio.underfs.swift.KeystoneV3AccessProvider,120,120,692,692,KeystoneV3AccessProvider.java,alluxio/underfs/swift/KeystoneV3AccessProvider.java,main\java\alluxio\underfs\swift\KeystoneV3AccessProvider.java,Sink method Logger.error(...),Logger.error(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,59a4bb9e85981a9984e71ec1eab71c9d,1,2,117,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.error(...) might be used to include CRLF characters into log messages,In KeystoneV3AccessProvider.java,alluxio.underfs.swift.KeystoneV3AccessProvider,KeystoneV3AccessProvider.java,alluxio/underfs/swift/KeystoneV3AccessProvider.java,main\java\alluxio\underfs\swift\KeystoneV3AccessProvider.java,In class alluxio.underfs.swift.KeystoneV3AccessProvider,alluxio.underfs.swift.KeystoneV3AccessProvider,true,alluxio.underfs.swift.KeystoneV3AccessProvider,64,129,0,2361,KeystoneV3AccessProvider.java,alluxio/underfs/swift/KeystoneV3AccessProvider.java,main\java\alluxio\underfs\swift\KeystoneV3AccessProvider.java,In method alluxio.underfs.swift.KeystoneV3AccessProvider.authenticate(),alluxio.underfs.swift.KeystoneV3AccessProvider,authenticate,()Lorg/javaswift/joss/model/Access;,false,true,At KeystoneV3AccessProvider.java:[line 128],alluxio.underfs.swift.KeystoneV3AccessProvider,true,128,128,965,965,KeystoneV3AccessProvider.java,alluxio/underfs/swift/KeystoneV3AccessProvider.java,main\java\alluxio\underfs\swift\KeystoneV3AccessProvider.java,At KeystoneV3AccessProvider.java:[line 128],alluxio.underfs.swift.KeystoneV3AccessProvider,128,128,962,962,KeystoneV3AccessProvider.java,alluxio/underfs/swift/KeystoneV3AccessProvider.java,main\java\alluxio\underfs\swift\KeystoneV3AccessProvider.java,Sink method Logger.error(...),Logger.error(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,59a4bb9e85981a9984e71ec1eab71c9d,2,2,117,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.warn(...) might be used to include CRLF characters into log messages,In SwiftInputStream.java,alluxio.underfs.swift.SwiftInputStream,SwiftInputStream.java,alluxio/underfs/swift/SwiftInputStream.java,main\java\alluxio\underfs\swift\SwiftInputStream.java,In class alluxio.underfs.swift.SwiftInputStream,alluxio.underfs.swift.SwiftInputStream,true,alluxio.underfs.swift.SwiftInputStream,87,102,0,316,SwiftInputStream.java,alluxio/underfs/swift/SwiftInputStream.java,main\java\alluxio\underfs\swift\SwiftInputStream.java,"In method alluxio.underfs.swift.SwiftInputStream.createStream(long, long)",alluxio.underfs.swift.SwiftInputStream,createStream,(JJ)Ljava/io/InputStream;,false,true,At SwiftInputStream.java:[line 95],alluxio.underfs.swift.SwiftInputStream,true,95,95,123,123,SwiftInputStream.java,alluxio/underfs/swift/SwiftInputStream.java,main\java\alluxio\underfs\swift\SwiftInputStream.java,At SwiftInputStream.java:[line 96],alluxio.underfs.swift.SwiftInputStream,96,96,111,111,SwiftInputStream.java,alluxio/underfs/swift/SwiftInputStream.java,main\java\alluxio\underfs\swift\SwiftInputStream.java,Sink method Logger.warn(...),Logger.warn(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,684a938cc86e271a6730f1e320bbe9bb,0,0,117,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.error(...) might be used to include CRLF characters into log messages,In SwiftMockOutputStream.java,alluxio.underfs.swift.SwiftMockOutputStream,SwiftMockOutputStream.java,alluxio/underfs/swift/SwiftMockOutputStream.java,main\java\alluxio\underfs\swift\SwiftMockOutputStream.java,In class alluxio.underfs.swift.SwiftMockOutputStream,alluxio.underfs.swift.SwiftMockOutputStream,true,alluxio.underfs.swift.SwiftMockOutputStream,64,75,0,292,SwiftMockOutputStream.java,alluxio/underfs/swift/SwiftMockOutputStream.java,main\java\alluxio\underfs\swift\SwiftMockOutputStream.java,"In method new alluxio.underfs.swift.SwiftMockOutputStream(Account, String, String, List)",alluxio.underfs.swift.SwiftMockOutputStream,<init>,(Lorg/javaswift/joss/model/Account;Ljava/lang/String;Ljava/lang/String;Ljava/util/List;)V,false,true,At SwiftMockOutputStream.java:[line 72],alluxio.underfs.swift.SwiftMockOutputStream,true,72,72,81,81,SwiftMockOutputStream.java,alluxio/underfs/swift/SwiftMockOutputStream.java,main\java\alluxio\underfs\swift\SwiftMockOutputStream.java,At SwiftMockOutputStream.java:[line 72],alluxio.underfs.swift.SwiftMockOutputStream,72,72,78,78,SwiftMockOutputStream.java,alluxio/underfs/swift/SwiftMockOutputStream.java,main\java\alluxio\underfs\swift\SwiftMockOutputStream.java,Sink method Logger.error(...),Logger.error(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,9d1bc4c873caaeadaa1f1da27b9fb9a1,0,0,117,,,,,,,,,,,,
Potential Path Traversal (file read),File(...) reads a file whose location might be specified by user input,In SwiftMockOutputStream.java,alluxio.underfs.swift.SwiftMockOutputStream,SwiftMockOutputStream.java,alluxio/underfs/swift/SwiftMockOutputStream.java,main\java\alluxio\underfs\swift\SwiftMockOutputStream.java,In class alluxio.underfs.swift.SwiftMockOutputStream,alluxio.underfs.swift.SwiftMockOutputStream,true,alluxio.underfs.swift.SwiftMockOutputStream,64,75,0,292,SwiftMockOutputStream.java,alluxio/underfs/swift/SwiftMockOutputStream.java,main\java\alluxio\underfs\swift\SwiftMockOutputStream.java,"In method new alluxio.underfs.swift.SwiftMockOutputStream(Account, String, String, List)",alluxio.underfs.swift.SwiftMockOutputStream,<init>,(Lorg/javaswift/joss/model/Account;Ljava/lang/String;Ljava/lang/String;Ljava/util/List;)V,false,true,At SwiftMockOutputStream.java:[line 69],alluxio.underfs.swift.SwiftMockOutputStream,true,69,69,40,40,SwiftMockOutputStream.java,alluxio/underfs/swift/SwiftMockOutputStream.java,main\java\alluxio\underfs\swift\SwiftMockOutputStream.java,At SwiftMockOutputStream.java:[line 69],alluxio.underfs.swift.SwiftMockOutputStream,69,69,37,37,SwiftMockOutputStream.java,alluxio/underfs/swift/SwiftMockOutputStream.java,main\java\alluxio\underfs\swift\SwiftMockOutputStream.java,Sink method File(...),File(...),Sink method,PATH_TRAVERSAL_IN,2,7,SECPTI,SECURITY,fb45208c7976a66420f4861e08f6c706,0,0,22,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.error(...) might be used to include CRLF characters into log messages,In SwiftOutputStream.java,alluxio.underfs.swift.SwiftOutputStream,SwiftOutputStream.java,alluxio/underfs/swift/SwiftOutputStream.java,main\java\alluxio\underfs\swift\SwiftOutputStream.java,In class alluxio.underfs.swift.SwiftOutputStream,alluxio.underfs.swift.SwiftOutputStream,true,alluxio.underfs.swift.SwiftOutputStream,39,47,0,165,SwiftOutputStream.java,alluxio/underfs/swift/SwiftOutputStream.java,main\java\alluxio\underfs\swift\SwiftOutputStream.java,In method new alluxio.underfs.swift.SwiftOutputStream(HttpURLConnection),alluxio.underfs.swift.SwiftOutputStream,<init>,(Ljava/net/HttpURLConnection;)V,false,true,At SwiftOutputStream.java:[line 44],alluxio.underfs.swift.SwiftOutputStream,true,44,44,28,28,SwiftOutputStream.java,alluxio/underfs/swift/SwiftOutputStream.java,main\java\alluxio\underfs\swift\SwiftOutputStream.java,At SwiftOutputStream.java:[line 44],alluxio.underfs.swift.SwiftOutputStream,44,44,25,25,SwiftOutputStream.java,alluxio/underfs/swift/SwiftOutputStream.java,main\java\alluxio\underfs\swift\SwiftOutputStream.java,Sink method Logger.error(...),Logger.error(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,cdfdcefeb8c4e6688000a9d0f8c80eae,0,0,117,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.error(...) might be used to include CRLF characters into log messages,In SwiftOutputStream.java,alluxio.underfs.swift.SwiftOutputStream,SwiftOutputStream.java,alluxio/underfs/swift/SwiftOutputStream.java,main\java\alluxio\underfs\swift\SwiftOutputStream.java,In class alluxio.underfs.swift.SwiftOutputStream,alluxio.underfs.swift.SwiftOutputStream,true,alluxio.underfs.swift.SwiftOutputStream,66,85,0,251,SwiftOutputStream.java,alluxio/underfs/swift/SwiftOutputStream.java,main\java\alluxio\underfs\swift\SwiftOutputStream.java,In method alluxio.underfs.swift.SwiftOutputStream.close(),alluxio.underfs.swift.SwiftOutputStream,close,()V,false,true,At SwiftOutputStream.java:[line 72],alluxio.underfs.swift.SwiftOutputStream,true,72,72,50,50,SwiftOutputStream.java,alluxio/underfs/swift/SwiftOutputStream.java,main\java\alluxio\underfs\swift\SwiftOutputStream.java,At SwiftOutputStream.java:[line 72],alluxio.underfs.swift.SwiftOutputStream,72,72,47,47,SwiftOutputStream.java,alluxio/underfs/swift/SwiftOutputStream.java,main\java\alluxio\underfs\swift\SwiftOutputStream.java,Sink method Logger.error(...),Logger.error(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,f96d073f357a6af134c24531986c924b,0,1,117,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.error(...) might be used to include CRLF characters into log messages,In SwiftOutputStream.java,alluxio.underfs.swift.SwiftOutputStream,SwiftOutputStream.java,alluxio/underfs/swift/SwiftOutputStream.java,main\java\alluxio\underfs\swift\SwiftOutputStream.java,In class alluxio.underfs.swift.SwiftOutputStream,alluxio.underfs.swift.SwiftOutputStream,true,alluxio.underfs.swift.SwiftOutputStream,66,85,0,251,SwiftOutputStream.java,alluxio/underfs/swift/SwiftOutputStream.java,main\java\alluxio\underfs\swift\SwiftOutputStream.java,In method alluxio.underfs.swift.SwiftOutputStream.close(),alluxio.underfs.swift.SwiftOutputStream,close,()V,false,true,At SwiftOutputStream.java:[line 79],alluxio.underfs.swift.SwiftOutputStream,true,79,79,89,89,SwiftOutputStream.java,alluxio/underfs/swift/SwiftOutputStream.java,main\java\alluxio\underfs\swift\SwiftOutputStream.java,At SwiftOutputStream.java:[line 79],alluxio.underfs.swift.SwiftOutputStream,79,79,86,86,SwiftOutputStream.java,alluxio/underfs/swift/SwiftOutputStream.java,main\java\alluxio\underfs\swift\SwiftOutputStream.java,Sink method Logger.error(...),Logger.error(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,f96d073f357a6af134c24531986c924b,1,1,117,,,,,,,,,,,,
