ShortMessage,LongMessage,Class/SourceLine/0/Message,Class/SourceLine/0/_classname,Class/SourceLine/0/_sourcefile,Class/SourceLine/0/_sourcepath,Class/SourceLine/0/_relSourcepath,Class/Message,Class/_classname,Class/_primary,Method/SourceLine/0/_classname,Method/SourceLine/0/_start,Method/SourceLine/0/_end,Method/SourceLine/0/_startBytecode,Method/SourceLine/0/_endBytecode,Method/SourceLine/0/_sourcefile,Method/SourceLine/0/_sourcepath,Method/SourceLine/0/_relSourcepath,Method/Message,Method/_classname,Method/_name,Method/_signature,Method/_isStatic,Method/_primary,SourceLine/0/Message,SourceLine/0/_classname,SourceLine/0/_primary,SourceLine/0/_start,SourceLine/0/_end,SourceLine/0/_startBytecode,SourceLine/0/_endBytecode,SourceLine/0/_sourcefile,SourceLine/0/_sourcepath,SourceLine/0/_relSourcepath,SourceLine/1/Message,SourceLine/1/_classname,SourceLine/1/_start,SourceLine/1/_end,SourceLine/1/_startBytecode,SourceLine/1/_endBytecode,SourceLine/1/_sourcefile,SourceLine/1/_sourcepath,SourceLine/1/_relSourcepath,String/0/Message,String/0/_value,String/0/_role,String/1/Message,String/1/_value,String/1/_role,_type,_priority,_rank,_abbrev,_category,_instanceHash,_instanceOccurrenceNum,_instanceOccurrenceMax,_cweid,SourceLine/2/Message,SourceLine/2/_classname,SourceLine/2/_start,SourceLine/2/_end,SourceLine/2/_startBytecode,SourceLine/2/_endBytecode,SourceLine/2/_sourcefile,SourceLine/2/_sourcepath,SourceLine/2/_relSourcepath,SourceLine/3/Message,SourceLine/3/_classname,SourceLine/3/_start,SourceLine/3/_end,SourceLine/3/_startBytecode,SourceLine/3/_endBytecode,SourceLine/3/_sourcefile,SourceLine/3/_sourcepath,SourceLine/3/_relSourcepath,SourceLine/4/Message,SourceLine/4/_classname,SourceLine/4/_start,SourceLine/4/_end,SourceLine/4/_startBytecode,SourceLine/4/_endBytecode,SourceLine/4/_sourcefile,SourceLine/4/_sourcepath,SourceLine/4/_relSourcepath,SourceLine/5/Message,SourceLine/5/_classname,SourceLine/5/_start,SourceLine/5/_end,SourceLine/5/_startBytecode,SourceLine/5/_endBytecode,SourceLine/5/_sourcefile,SourceLine/5/_sourcepath,SourceLine/5/_relSourcepath,SourceLine/6/Message,SourceLine/6/_classname,SourceLine/6/_start,SourceLine/6/_end,SourceLine/6/_startBytecode,SourceLine/6/_endBytecode,SourceLine/6/_sourcefile,SourceLine/6/_sourcepath,SourceLine/6/_relSourcepath,SourceLine/7/Message,SourceLine/7/_classname,SourceLine/7/_start,SourceLine/7/_end,SourceLine/7/_startBytecode,SourceLine/7/_endBytecode,SourceLine/7/_sourcefile,SourceLine/7/_sourcepath,SourceLine/7/_relSourcepath
Potential CRLF Injection for logs,This use of Logger.debug(...) might be used to include CRLF characters into log messages,In AbstractFileSystem.java,alluxio.hadoop.AbstractFileSystem,AbstractFileSystem.java,alluxio/hadoop/AbstractFileSystem.java,main\java\alluxio\hadoop\AbstractFileSystem.java,In class alluxio.hadoop.AbstractFileSystem,alluxio.hadoop.AbstractFileSystem,true,alluxio.hadoop.AbstractFileSystem,111,124,0,291,AbstractFileSystem.java,alluxio/hadoop/AbstractFileSystem.java,main\java\alluxio\hadoop\AbstractFileSystem.java,"In method alluxio.hadoop.AbstractFileSystem.append(Path, int, Progressable)",alluxio.hadoop.AbstractFileSystem,append,(Lorg/apache/hadoop/fs/Path;ILorg/apache/hadoop/util/Progressable;)Lorg/apache/hadoop/fs/FSDataOutputStream;,false,true,At AbstractFileSystem.java:[line 111],alluxio.hadoop.AbstractFileSystem,true,111,111,24,24,AbstractFileSystem.java,alluxio/hadoop/AbstractFileSystem.java,main\java\alluxio\hadoop\AbstractFileSystem.java,At FileSystem.java:[line 41],alluxio.hadoop.FileSystem,41,41,4,4,FileSystem.java,alluxio/hadoop/FileSystem.java,main\java\alluxio\hadoop\FileSystem.java,Sink method Logger.debug(...),Logger.debug(...),Sink method,Method usage not detected,not detected,Method usage,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,f8adfcd43434a394f768920a7d2f54ea,0,0,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.debug(...) might be used to include CRLF characters into log messages,In AbstractFileSystem.java,alluxio.hadoop.AbstractFileSystem,AbstractFileSystem.java,alluxio/hadoop/AbstractFileSystem.java,main\java\alluxio\hadoop\AbstractFileSystem.java,In class alluxio.hadoop.AbstractFileSystem,alluxio.hadoop.AbstractFileSystem,true,alluxio.hadoop.AbstractFileSystem,153,184,0,645,AbstractFileSystem.java,alluxio/hadoop/AbstractFileSystem.java,main\java\alluxio\hadoop\AbstractFileSystem.java,"In method alluxio.hadoop.AbstractFileSystem.create(Path, FsPermission, boolean, int, short, long, Progressable)",alluxio.hadoop.AbstractFileSystem,create,(Lorg/apache/hadoop/fs/Path;Lorg/apache/hadoop/fs/permission/FsPermission;ZISJLorg/apache/hadoop/util/Progressable;)Lorg/apache/hadoop/fs/FSDataOutputStream;,false,true,At AbstractFileSystem.java:[line 153],alluxio.hadoop.AbstractFileSystem,true,153,153,55,55,AbstractFileSystem.java,alluxio/hadoop/AbstractFileSystem.java,main\java\alluxio\hadoop\AbstractFileSystem.java,At AbstractFileSystem.java:[line 211],alluxio.hadoop.AbstractFileSystem,211,211,28,28,AbstractFileSystem.java,alluxio/hadoop/AbstractFileSystem.java,main\java\alluxio\hadoop\AbstractFileSystem.java,Sink method Logger.debug(...),Logger.debug(...),Sink method,Method usage not detected,not detected,Method usage,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,2522ef97f1fb0b52eaeae8b4f7e64be0,0,0,117,At FileSystem.java:[line 41],alluxio.hadoop.FileSystem,41,41,12,12,FileSystem.java,alluxio/hadoop/FileSystem.java,main\java\alluxio\hadoop\FileSystem.java,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.debug(...) might be used to include CRLF characters into log messages,In AbstractFileSystem.java,alluxio.hadoop.AbstractFileSystem,AbstractFileSystem.java,alluxio/hadoop/AbstractFileSystem.java,main\java\alluxio\hadoop\AbstractFileSystem.java,In class alluxio.hadoop.AbstractFileSystem,alluxio.hadoop.AbstractFileSystem,true,alluxio.hadoop.AbstractFileSystem,236,249,0,298,AbstractFileSystem.java,alluxio/hadoop/AbstractFileSystem.java,main\java\alluxio\hadoop\AbstractFileSystem.java,"In method alluxio.hadoop.AbstractFileSystem.delete(Path, boolean)",alluxio.hadoop.AbstractFileSystem,delete,(Lorg/apache/hadoop/fs/Path;Z)Z,false,true,At AbstractFileSystem.java:[line 236],alluxio.hadoop.AbstractFileSystem,true,236,236,10,10,AbstractFileSystem.java,alluxio/hadoop/AbstractFileSystem.java,main\java\alluxio\hadoop\AbstractFileSystem.java,At AbstractFileSystem.java:[line 224],alluxio.hadoop.AbstractFileSystem,224,224,3,3,AbstractFileSystem.java,alluxio/hadoop/AbstractFileSystem.java,main\java\alluxio\hadoop\AbstractFileSystem.java,Sink method Logger.debug(...),Logger.debug(...),Sink method,Method usage not detected,not detected,Method usage,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,a20770eabb834c41558385c605ba1690,0,0,117,At FileSystem.java:[line 41],alluxio.hadoop.FileSystem,41,41,3,3,FileSystem.java,alluxio/hadoop/FileSystem.java,main\java\alluxio\hadoop\FileSystem.java,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.warn(...) might be used to include CRLF characters into log messages,In AbstractFileSystem.java,alluxio.hadoop.AbstractFileSystem,AbstractFileSystem.java,alluxio/hadoop/AbstractFileSystem.java,main\java\alluxio\hadoop\AbstractFileSystem.java,In class alluxio.hadoop.AbstractFileSystem,alluxio.hadoop.AbstractFileSystem,true,alluxio.hadoop.AbstractFileSystem,236,249,0,298,AbstractFileSystem.java,alluxio/hadoop/AbstractFileSystem.java,main\java\alluxio\hadoop\AbstractFileSystem.java,"In method alluxio.hadoop.AbstractFileSystem.delete(Path, boolean)",alluxio.hadoop.AbstractFileSystem,delete,(Lorg/apache/hadoop/fs/Path;Z)Z,false,true,At AbstractFileSystem.java:[line 246],alluxio.hadoop.AbstractFileSystem,true,246,246,74,74,AbstractFileSystem.java,alluxio/hadoop/AbstractFileSystem.java,main\java\alluxio\hadoop\AbstractFileSystem.java,At AbstractFileSystem.java:[line 246],alluxio.hadoop.AbstractFileSystem,246,246,71,71,AbstractFileSystem.java,alluxio/hadoop/AbstractFileSystem.java,main\java\alluxio\hadoop\AbstractFileSystem.java,Sink method Logger.warn(...),Logger.warn(...),Sink method,,,,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,465431a60113e468a8d7b84441f519b8,0,0,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.debug(...) might be used to include CRLF characters into log messages,In AbstractFileSystem.java,alluxio.hadoop.AbstractFileSystem,AbstractFileSystem.java,alluxio/hadoop/AbstractFileSystem.java,main\java\alluxio\hadoop\AbstractFileSystem.java,In class alluxio.hadoop.AbstractFileSystem,alluxio.hadoop.AbstractFileSystem,true,alluxio.hadoop.AbstractFileSystem,263,299,0,539,AbstractFileSystem.java,alluxio/hadoop/AbstractFileSystem.java,main\java\alluxio\hadoop\AbstractFileSystem.java,"In method alluxio.hadoop.AbstractFileSystem.getFileBlockLocations(FileStatus, long, long)",alluxio.hadoop.AbstractFileSystem,getFileBlockLocations,(Lorg/apache/hadoop/fs/FileStatus;JJ)[Lorg/apache/hadoop/fs/BlockLocation;,false,true,At AbstractFileSystem.java:[line 263],alluxio.hadoop.AbstractFileSystem,true,263,263,34,34,AbstractFileSystem.java,alluxio/hadoop/AbstractFileSystem.java,main\java\alluxio\hadoop\AbstractFileSystem.java,At AbstractFileSystem.java:[line 263],alluxio.hadoop.AbstractFileSystem,263,263,15,15,AbstractFileSystem.java,alluxio/hadoop/AbstractFileSystem.java,main\java\alluxio\hadoop\AbstractFileSystem.java,Sink method Logger.debug(...),Logger.debug(...),Sink method,,,,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,205faee713e4038d2ef808916e03d54a,0,2,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.debug(...) might be used to include CRLF characters into log messages,In AbstractFileSystem.java,alluxio.hadoop.AbstractFileSystem,AbstractFileSystem.java,alluxio/hadoop/AbstractFileSystem.java,main\java\alluxio\hadoop\AbstractFileSystem.java,In class alluxio.hadoop.AbstractFileSystem,alluxio.hadoop.AbstractFileSystem,true,alluxio.hadoop.AbstractFileSystem,263,299,0,539,AbstractFileSystem.java,alluxio/hadoop/AbstractFileSystem.java,main\java\alluxio\hadoop\AbstractFileSystem.java,"In method alluxio.hadoop.AbstractFileSystem.getFileBlockLocations(FileStatus, long, long)",alluxio.hadoop.AbstractFileSystem,getFileBlockLocations,(Lorg/apache/hadoop/fs/FileStatus;JJ)[Lorg/apache/hadoop/fs/BlockLocation;,false,true,At AbstractFileSystem.java:[line 265],alluxio.hadoop.AbstractFileSystem,true,265,265,77,77,AbstractFileSystem.java,alluxio/hadoop/AbstractFileSystem.java,main\java\alluxio\hadoop\AbstractFileSystem.java,At AbstractFileSystem.java:[line 266],alluxio.hadoop.AbstractFileSystem,266,266,58,58,AbstractFileSystem.java,alluxio/hadoop/AbstractFileSystem.java,main\java\alluxio\hadoop\AbstractFileSystem.java,Sink method Logger.debug(...),Logger.debug(...),Sink method,,,,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,205faee713e4038d2ef808916e03d54a,1,2,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.debug(...) might be used to include CRLF characters into log messages,In AbstractFileSystem.java,alluxio.hadoop.AbstractFileSystem,AbstractFileSystem.java,alluxio/hadoop/AbstractFileSystem.java,main\java\alluxio\hadoop\AbstractFileSystem.java,In class alluxio.hadoop.AbstractFileSystem,alluxio.hadoop.AbstractFileSystem,true,alluxio.hadoop.AbstractFileSystem,263,299,0,539,AbstractFileSystem.java,alluxio/hadoop/AbstractFileSystem.java,main\java\alluxio\hadoop\AbstractFileSystem.java,"In method alluxio.hadoop.AbstractFileSystem.getFileBlockLocations(FileStatus, long, long)",alluxio.hadoop.AbstractFileSystem,getFileBlockLocations,(Lorg/apache/hadoop/fs/FileStatus;JJ)[Lorg/apache/hadoop/fs/BlockLocation;,false,true,At AbstractFileSystem.java:[line 294],alluxio.hadoop.AbstractFileSystem,true,294,294,223,223,AbstractFileSystem.java,alluxio/hadoop/AbstractFileSystem.java,main\java\alluxio\hadoop\AbstractFileSystem.java,At AbstractFileSystem.java:[line 292],alluxio.hadoop.AbstractFileSystem,292,292,160,160,AbstractFileSystem.java,alluxio/hadoop/AbstractFileSystem.java,main\java\alluxio\hadoop\AbstractFileSystem.java,Sink method Logger.debug(...),Logger.debug(...),Sink method,,,,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,205faee713e4038d2ef808916e03d54a,2,2,117,At AbstractFileSystem.java:[line 295],alluxio.hadoop.AbstractFileSystem,295,295,196,196,AbstractFileSystem.java,alluxio/hadoop/AbstractFileSystem.java,main\java\alluxio\hadoop\AbstractFileSystem.java,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.debug(...) might be used to include CRLF characters into log messages,In AbstractFileSystem.java,alluxio.hadoop.AbstractFileSystem,AbstractFileSystem.java,alluxio/hadoop/AbstractFileSystem.java,main\java\alluxio\hadoop\AbstractFileSystem.java,In class alluxio.hadoop.AbstractFileSystem,alluxio.hadoop.AbstractFileSystem,true,alluxio.hadoop.AbstractFileSystem,332,347,0,346,AbstractFileSystem.java,alluxio/hadoop/AbstractFileSystem.java,main\java\alluxio\hadoop\AbstractFileSystem.java,In method alluxio.hadoop.AbstractFileSystem.getFileStatus(Path),alluxio.hadoop.AbstractFileSystem,getFileStatus,(Lorg/apache/hadoop/fs/Path;)Lorg/apache/hadoop/fs/FileStatus;,false,true,At AbstractFileSystem.java:[line 332],alluxio.hadoop.AbstractFileSystem,true,332,332,6,6,AbstractFileSystem.java,alluxio/hadoop/AbstractFileSystem.java,main\java\alluxio\hadoop\AbstractFileSystem.java,At AbstractFileSystemTest.java:[line 402],alluxio.hadoop.AbstractFileSystemTest,402,402,46,46,AbstractFileSystemTest.java,alluxio/hadoop/AbstractFileSystemTest.java,test\java\alluxio\hadoop\AbstractFileSystemTest.java,Sink method Logger.debug(...),Logger.debug(...),Sink method,,,,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,dd6b22c9e658c5130bba8b490cde5179,0,0,117,At AbstractFileSystemTest.java:[line 405],alluxio.hadoop.AbstractFileSystemTest,405,405,65,65,AbstractFileSystemTest.java,alluxio/hadoop/AbstractFileSystemTest.java,test\java\alluxio\hadoop\AbstractFileSystemTest.java,At AbstractFileSystemTest.java:[line 409],alluxio.hadoop.AbstractFileSystemTest,409,409,106,106,AbstractFileSystemTest.java,alluxio/hadoop/AbstractFileSystemTest.java,test\java\alluxio\hadoop\AbstractFileSystemTest.java,At FileSystem.java:[line 41],alluxio.hadoop.FileSystem,41,41,2,2,FileSystem.java,alluxio/hadoop/FileSystem.java,main\java\alluxio\hadoop\FileSystem.java,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.debug(...) might be used to include CRLF characters into log messages,In AbstractFileSystem.java,alluxio.hadoop.AbstractFileSystem,AbstractFileSystem.java,alluxio/hadoop/AbstractFileSystem.java,main\java\alluxio\hadoop\AbstractFileSystem.java,In class alluxio.hadoop.AbstractFileSystem,alluxio.hadoop.AbstractFileSystem,true,alluxio.hadoop.AbstractFileSystem,429,430,0,64,AbstractFileSystem.java,alluxio/hadoop/AbstractFileSystem.java,main\java\alluxio\hadoop\AbstractFileSystem.java,In method alluxio.hadoop.AbstractFileSystem.getWorkingDirectory(),alluxio.hadoop.AbstractFileSystem,getWorkingDirectory,()Lorg/apache/hadoop/fs/Path;,false,true,At AbstractFileSystem.java:[line 429],alluxio.hadoop.AbstractFileSystem,true,429,429,9,9,AbstractFileSystem.java,alluxio/hadoop/AbstractFileSystem.java,main\java\alluxio\hadoop\AbstractFileSystem.java,At AbstractFileSystem.java:[line 429],alluxio.hadoop.AbstractFileSystem,429,429,6,6,AbstractFileSystem.java,alluxio/hadoop/AbstractFileSystem.java,main\java\alluxio\hadoop\AbstractFileSystem.java,Sink method Logger.debug(...),Logger.debug(...),Sink method,,,,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,ce65f9a4a1e1b369af89081e5c47d318,0,0,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.debug(...) might be used to include CRLF characters into log messages,In AbstractFileSystem.java,alluxio.hadoop.AbstractFileSystem,AbstractFileSystem.java,alluxio/hadoop/AbstractFileSystem.java,main\java\alluxio\hadoop\AbstractFileSystem.java,In class alluxio.hadoop.AbstractFileSystem,alluxio.hadoop.AbstractFileSystem,true,alluxio.hadoop.AbstractFileSystem,460,496,0,516,AbstractFileSystem.java,alluxio/hadoop/AbstractFileSystem.java,main\java\alluxio\hadoop\AbstractFileSystem.java,"In method alluxio.hadoop.AbstractFileSystem.initialize(URI, Configuration, AlluxioConfiguration)",alluxio.hadoop.AbstractFileSystem,initialize,(Ljava/net/URI;Lorg/apache/hadoop/conf/Configuration;Lalluxio/conf/AlluxioConfiguration;)V,false,true,At AbstractFileSystem.java:[line 463],alluxio.hadoop.AbstractFileSystem,true,463,463,18,18,AbstractFileSystem.java,alluxio/hadoop/AbstractFileSystem.java,main\java\alluxio\hadoop\AbstractFileSystem.java,At AbstractFileSystem.java:[line 446],alluxio.hadoop.AbstractFileSystem,446,446,4,4,AbstractFileSystem.java,alluxio/hadoop/AbstractFileSystem.java,main\java\alluxio\hadoop\AbstractFileSystem.java,Sink method Logger.debug(...),Logger.debug(...),Sink method,,,,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,22570c552563dddee55a38336aa19749,0,1,117,At AbstractFileSystem.java:[line 462],alluxio.hadoop.AbstractFileSystem,462,462,8,8,AbstractFileSystem.java,alluxio/hadoop/AbstractFileSystem.java,main\java\alluxio\hadoop\AbstractFileSystem.java,At AbstractFileSystemTest.java:[line 154],alluxio.hadoop.AbstractFileSystemTest,154,154,20,20,AbstractFileSystemTest.java,alluxio/hadoop/AbstractFileSystemTest.java,test\java\alluxio\hadoop\AbstractFileSystemTest.java,At AbstractFileSystemTest.java:[line 162],alluxio.hadoop.AbstractFileSystemTest,162,162,85,85,AbstractFileSystemTest.java,alluxio/hadoop/AbstractFileSystemTest.java,test\java\alluxio\hadoop\AbstractFileSystemTest.java,At FileSystem.java:[line 41],alluxio.hadoop.FileSystem,41,41,3,3,FileSystem.java,alluxio/hadoop/FileSystem.java,main\java\alluxio\hadoop\FileSystem.java,,,,,,,,,,,,,,,,,,
