ShortMessage,LongMessage,Class/SourceLine/0/Message,Class/SourceLine/0/_classname,Class/SourceLine/0/_sourcefile,Class/SourceLine/0/_sourcepath,Class/SourceLine/0/_relSourcepath,Class/Message,Class/_classname,Class/_primary,Method/SourceLine/0/_classname,Method/SourceLine/0/_start,Method/SourceLine/0/_end,Method/SourceLine/0/_startBytecode,Method/SourceLine/0/_endBytecode,Method/SourceLine/0/_sourcefile,Method/SourceLine/0/_sourcepath,Method/SourceLine/0/_relSourcepath,Method/Message,Method/_classname,Method/_name,Method/_signature,Method/_isStatic,Method/_primary,SourceLine/0/Message,SourceLine/0/_classname,SourceLine/0/_start,SourceLine/0/_end,SourceLine/0/_startBytecode,SourceLine/0/_endBytecode,SourceLine/0/_sourcefile,SourceLine/0/_sourcepath,SourceLine/0/_relSourcepath,SourceLine/0/_synthetic,_type,_priority,_rank,_abbrev,_category,_instanceHash,_instanceOccurrenceNum,_instanceOccurrenceMax,SourceLine/0/_primary,String/Message,String/_value,_cweid,SourceLine/1/Message,SourceLine/1/_classname,SourceLine/1/_start,SourceLine/1/_end,SourceLine/1/_startBytecode,SourceLine/1/_endBytecode,SourceLine/1/_sourcefile,SourceLine/1/_sourcepath,SourceLine/1/_relSourcepath,String/_role
Found JAX-RS REST endpoint,alluxio.proxy.AlluxioProxyRestServiceHandler.alluxio.proxy.AlluxioProxyRestServiceHandler.getInfo(Boolean) is a REST Web Service endpoint,In AlluxioProxyRestServiceHandler.java,alluxio.proxy.AlluxioProxyRestServiceHandler,AlluxioProxyRestServiceHandler.java,alluxio/proxy/AlluxioProxyRestServiceHandler.java,main\java\alluxio\proxy\AlluxioProxyRestServiceHandler.java,In class alluxio.proxy.AlluxioProxyRestServiceHandler,alluxio.proxy.AlluxioProxyRestServiceHandler,true,alluxio.proxy.AlluxioProxyRestServiceHandler,79,79,0,73,AlluxioProxyRestServiceHandler.java,alluxio/proxy/AlluxioProxyRestServiceHandler.java,main\java\alluxio\proxy\AlluxioProxyRestServiceHandler.java,In method alluxio.proxy.AlluxioProxyRestServiceHandler.getInfo(Boolean),alluxio.proxy.AlluxioProxyRestServiceHandler,getInfo,(Ljava/lang/Boolean;)Ljavax/ws/rs/core/Response;,false,true,At AlluxioProxyRestServiceHandler.java:[line 79],alluxio.proxy.AlluxioProxyRestServiceHandler,79,79,0,73,AlluxioProxyRestServiceHandler.java,alluxio/proxy/AlluxioProxyRestServiceHandler.java,main\java\alluxio\proxy\AlluxioProxyRestServiceHandler.java,true,JAXRS_ENDPOINT,3,10,SECJRS,SECURITY,5e6f18ff8ba1f3e2cbf5f76944b82846,0,0,,,,,,,,,,,,,,
Found JAX-RS REST endpoint,"alluxio.proxy.PathsRestServiceHandler.alluxio.proxy.PathsRestServiceHandler.createDirectory(String, CreateDirectoryPOptions) is a REST Web Service endpoint",In PathsRestServiceHandler.java,alluxio.proxy.PathsRestServiceHandler,PathsRestServiceHandler.java,alluxio/proxy/PathsRestServiceHandler.java,main\java\alluxio\proxy\PathsRestServiceHandler.java,In class alluxio.proxy.PathsRestServiceHandler,alluxio.proxy.PathsRestServiceHandler,true,alluxio.proxy.PathsRestServiceHandler,112,112,0,84,PathsRestServiceHandler.java,alluxio/proxy/PathsRestServiceHandler.java,main\java\alluxio\proxy\PathsRestServiceHandler.java,"In method alluxio.proxy.PathsRestServiceHandler.createDirectory(String, CreateDirectoryPOptions)",alluxio.proxy.PathsRestServiceHandler,createDirectory,(Ljava/lang/String;Lalluxio/grpc/CreateDirectoryPOptions;)Ljavax/ws/rs/core/Response;,false,true,At PathsRestServiceHandler.java:[line 112],alluxio.proxy.PathsRestServiceHandler,112,112,0,84,PathsRestServiceHandler.java,alluxio/proxy/PathsRestServiceHandler.java,main\java\alluxio\proxy\PathsRestServiceHandler.java,true,JAXRS_ENDPOINT,3,10,SECJRS,SECURITY,a2f18d01fb2fcc1f86bca1ba3f22bddf,0,0,,,,,,,,,,,,,,
Found JAX-RS REST endpoint,"alluxio.proxy.PathsRestServiceHandler.alluxio.proxy.PathsRestServiceHandler.createFile(String, CreateFilePOptions) is a REST Web Service endpoint",In PathsRestServiceHandler.java,alluxio.proxy.PathsRestServiceHandler,PathsRestServiceHandler.java,alluxio/proxy/PathsRestServiceHandler.java,main\java\alluxio\proxy\PathsRestServiceHandler.java,In class alluxio.proxy.PathsRestServiceHandler,alluxio.proxy.PathsRestServiceHandler,true,alluxio.proxy.PathsRestServiceHandler,135,135,0,86,PathsRestServiceHandler.java,alluxio/proxy/PathsRestServiceHandler.java,main\java\alluxio\proxy\PathsRestServiceHandler.java,"In method alluxio.proxy.PathsRestServiceHandler.createFile(String, CreateFilePOptions)",alluxio.proxy.PathsRestServiceHandler,createFile,(Ljava/lang/String;Lalluxio/grpc/CreateFilePOptions;)Ljavax/ws/rs/core/Response;,false,true,At PathsRestServiceHandler.java:[line 135],alluxio.proxy.PathsRestServiceHandler,135,135,0,86,PathsRestServiceHandler.java,alluxio/proxy/PathsRestServiceHandler.java,main\java\alluxio\proxy\PathsRestServiceHandler.java,true,JAXRS_ENDPOINT,3,10,SECJRS,SECURITY,ee2be698985ddb9dec754229c1e85a00,0,0,,,,,,,,,,,,,,
Found JAX-RS REST endpoint,"alluxio.proxy.PathsRestServiceHandler.alluxio.proxy.PathsRestServiceHandler.delete(String, DeletePOptions) is a REST Web Service endpoint",In PathsRestServiceHandler.java,alluxio.proxy.PathsRestServiceHandler,PathsRestServiceHandler.java,alluxio/proxy/PathsRestServiceHandler.java,main\java\alluxio\proxy\PathsRestServiceHandler.java,In class alluxio.proxy.PathsRestServiceHandler,alluxio.proxy.PathsRestServiceHandler,true,alluxio.proxy.PathsRestServiceHandler,159,159,0,86,PathsRestServiceHandler.java,alluxio/proxy/PathsRestServiceHandler.java,main\java\alluxio\proxy\PathsRestServiceHandler.java,"In method alluxio.proxy.PathsRestServiceHandler.delete(String, DeletePOptions)",alluxio.proxy.PathsRestServiceHandler,delete,(Ljava/lang/String;Lalluxio/grpc/DeletePOptions;)Ljavax/ws/rs/core/Response;,false,true,At PathsRestServiceHandler.java:[line 159],alluxio.proxy.PathsRestServiceHandler,159,159,0,86,PathsRestServiceHandler.java,alluxio/proxy/PathsRestServiceHandler.java,main\java\alluxio\proxy\PathsRestServiceHandler.java,true,JAXRS_ENDPOINT,3,10,SECJRS,SECURITY,a62d22ab218aefcd2901c61dc4c65d77,0,0,,,,,,,,,,,,,,
Found JAX-RS REST endpoint,alluxio.proxy.PathsRestServiceHandler.alluxio.proxy.PathsRestServiceHandler.downloadFile(String) is a REST Web Service endpoint,In PathsRestServiceHandler.java,alluxio.proxy.PathsRestServiceHandler,PathsRestServiceHandler.java,alluxio/proxy/PathsRestServiceHandler.java,main\java\alluxio\proxy\PathsRestServiceHandler.java,In class alluxio.proxy.PathsRestServiceHandler,alluxio.proxy.PathsRestServiceHandler,true,alluxio.proxy.PathsRestServiceHandler,182,185,0,174,PathsRestServiceHandler.java,alluxio/proxy/PathsRestServiceHandler.java,main\java\alluxio\proxy\PathsRestServiceHandler.java,In method alluxio.proxy.PathsRestServiceHandler.downloadFile(String),alluxio.proxy.PathsRestServiceHandler,downloadFile,(Ljava/lang/String;)Ljavax/ws/rs/core/Response;,false,true,At PathsRestServiceHandler.java:[lines 182-185],alluxio.proxy.PathsRestServiceHandler,182,185,0,174,PathsRestServiceHandler.java,alluxio/proxy/PathsRestServiceHandler.java,main\java\alluxio\proxy\PathsRestServiceHandler.java,true,JAXRS_ENDPOINT,3,10,SECJRS,SECURITY,5af1fcc097168555e41d60483a2ad592,0,0,,,,,,,,,,,,,,
Found JAX-RS REST endpoint,"alluxio.proxy.PathsRestServiceHandler.alluxio.proxy.PathsRestServiceHandler.exists(String, ExistsPOptions) is a REST Web Service endpoint",In PathsRestServiceHandler.java,alluxio.proxy.PathsRestServiceHandler,PathsRestServiceHandler.java,alluxio/proxy/PathsRestServiceHandler.java,main\java\alluxio\proxy\PathsRestServiceHandler.java,In class alluxio.proxy.PathsRestServiceHandler,alluxio.proxy.PathsRestServiceHandler,true,alluxio.proxy.PathsRestServiceHandler,207,207,0,86,PathsRestServiceHandler.java,alluxio/proxy/PathsRestServiceHandler.java,main\java\alluxio\proxy\PathsRestServiceHandler.java,"In method alluxio.proxy.PathsRestServiceHandler.exists(String, ExistsPOptions)",alluxio.proxy.PathsRestServiceHandler,exists,(Ljava/lang/String;Lalluxio/grpc/ExistsPOptions;)Ljavax/ws/rs/core/Response;,false,true,At PathsRestServiceHandler.java:[line 207],alluxio.proxy.PathsRestServiceHandler,207,207,0,86,PathsRestServiceHandler.java,alluxio/proxy/PathsRestServiceHandler.java,main\java\alluxio\proxy\PathsRestServiceHandler.java,true,JAXRS_ENDPOINT,3,10,SECJRS,SECURITY,637f4992ea7ec8bd1b6c48673311bb81,0,0,,,,,,,,,,,,,,
Found JAX-RS REST endpoint,"alluxio.proxy.PathsRestServiceHandler.alluxio.proxy.PathsRestServiceHandler.free(String, FreePOptions) is a REST Web Service endpoint",In PathsRestServiceHandler.java,alluxio.proxy.PathsRestServiceHandler,PathsRestServiceHandler.java,alluxio/proxy/PathsRestServiceHandler.java,main\java\alluxio\proxy\PathsRestServiceHandler.java,In class alluxio.proxy.PathsRestServiceHandler,alluxio.proxy.PathsRestServiceHandler,true,alluxio.proxy.PathsRestServiceHandler,229,229,0,86,PathsRestServiceHandler.java,alluxio/proxy/PathsRestServiceHandler.java,main\java\alluxio\proxy\PathsRestServiceHandler.java,"In method alluxio.proxy.PathsRestServiceHandler.free(String, FreePOptions)",alluxio.proxy.PathsRestServiceHandler,free,(Ljava/lang/String;Lalluxio/grpc/FreePOptions;)Ljavax/ws/rs/core/Response;,false,true,At PathsRestServiceHandler.java:[line 229],alluxio.proxy.PathsRestServiceHandler,229,229,0,86,PathsRestServiceHandler.java,alluxio/proxy/PathsRestServiceHandler.java,main\java\alluxio\proxy\PathsRestServiceHandler.java,true,JAXRS_ENDPOINT,3,10,SECJRS,SECURITY,ecc2c424c49afad19de021d32c277dc9,0,0,,,,,,,,,,,,,,
Found JAX-RS REST endpoint,"alluxio.proxy.PathsRestServiceHandler.alluxio.proxy.PathsRestServiceHandler.getStatus(String, GetStatusPOptions) is a REST Web Service endpoint",In PathsRestServiceHandler.java,alluxio.proxy.PathsRestServiceHandler,PathsRestServiceHandler.java,alluxio/proxy/PathsRestServiceHandler.java,main\java\alluxio\proxy\PathsRestServiceHandler.java,In class alluxio.proxy.PathsRestServiceHandler,alluxio.proxy.PathsRestServiceHandler,true,alluxio.proxy.PathsRestServiceHandler,253,253,0,86,PathsRestServiceHandler.java,alluxio/proxy/PathsRestServiceHandler.java,main\java\alluxio\proxy\PathsRestServiceHandler.java,"In method alluxio.proxy.PathsRestServiceHandler.getStatus(String, GetStatusPOptions)",alluxio.proxy.PathsRestServiceHandler,getStatus,(Ljava/lang/String;Lalluxio/grpc/GetStatusPOptions;)Ljavax/ws/rs/core/Response;,false,true,At PathsRestServiceHandler.java:[line 253],alluxio.proxy.PathsRestServiceHandler,253,253,0,86,PathsRestServiceHandler.java,alluxio/proxy/PathsRestServiceHandler.java,main\java\alluxio\proxy\PathsRestServiceHandler.java,true,JAXRS_ENDPOINT,3,10,SECJRS,SECURITY,55d5d98dc176e951ab9c6cae4f05d199,0,0,,,,,,,,,,,,,,
Found JAX-RS REST endpoint,"alluxio.proxy.PathsRestServiceHandler.alluxio.proxy.PathsRestServiceHandler.listStatus(String, ListStatusPOptions) is a REST Web Service endpoint",In PathsRestServiceHandler.java,alluxio.proxy.PathsRestServiceHandler,PathsRestServiceHandler.java,alluxio/proxy/PathsRestServiceHandler.java,main\java\alluxio\proxy\PathsRestServiceHandler.java,In class alluxio.proxy.PathsRestServiceHandler,alluxio.proxy.PathsRestServiceHandler,true,alluxio.proxy.PathsRestServiceHandler,277,277,0,86,PathsRestServiceHandler.java,alluxio/proxy/PathsRestServiceHandler.java,main\java\alluxio\proxy\PathsRestServiceHandler.java,"In method alluxio.proxy.PathsRestServiceHandler.listStatus(String, ListStatusPOptions)",alluxio.proxy.PathsRestServiceHandler,listStatus,(Ljava/lang/String;Lalluxio/grpc/ListStatusPOptions;)Ljavax/ws/rs/core/Response;,false,true,At PathsRestServiceHandler.java:[line 277],alluxio.proxy.PathsRestServiceHandler,277,277,0,86,PathsRestServiceHandler.java,alluxio/proxy/PathsRestServiceHandler.java,main\java\alluxio\proxy\PathsRestServiceHandler.java,true,JAXRS_ENDPOINT,3,10,SECJRS,SECURITY,b650f6b081c0388abea605f4a23c5a72,0,0,,,,,,,,,,,,,,
Found JAX-RS REST endpoint,"alluxio.proxy.PathsRestServiceHandler.alluxio.proxy.PathsRestServiceHandler.mount(String, String, MountPOptions) is a REST Web Service endpoint",In PathsRestServiceHandler.java,alluxio.proxy.PathsRestServiceHandler,PathsRestServiceHandler.java,alluxio/proxy/PathsRestServiceHandler.java,main\java\alluxio\proxy\PathsRestServiceHandler.java,In class alluxio.proxy.PathsRestServiceHandler,alluxio.proxy.PathsRestServiceHandler,true,alluxio.proxy.PathsRestServiceHandler,302,302,0,97,PathsRestServiceHandler.java,alluxio/proxy/PathsRestServiceHandler.java,main\java\alluxio\proxy\PathsRestServiceHandler.java,"In method alluxio.proxy.PathsRestServiceHandler.mount(String, String, MountPOptions)",alluxio.proxy.PathsRestServiceHandler,mount,(Ljava/lang/String;Ljava/lang/String;Lalluxio/grpc/MountPOptions;)Ljavax/ws/rs/core/Response;,false,true,At PathsRestServiceHandler.java:[line 302],alluxio.proxy.PathsRestServiceHandler,302,302,0,97,PathsRestServiceHandler.java,alluxio/proxy/PathsRestServiceHandler.java,main\java\alluxio\proxy\PathsRestServiceHandler.java,true,JAXRS_ENDPOINT,3,10,SECJRS,SECURITY,5dfd54f2a265079e5618268293e69a25,0,0,,,,,,,,,,,,,,
