"name-pr","version","name","loc","wmc","dit","cbo","rfc","lcom","bug","fields","Methods","NOSI","Returns","Loops","ComparisonsQty","TryCatchQty","ParenthExpsQty","StrLitQty","NumQty","MathOperQty","VarQty","MaxNesting","Lambdas","WordsQty","Modifiers","Assignments","SubClassQty","AnonymousClassQty","FinalFields","DefaultFields","PrivateFields","ProtectedFields","PublicFields","StaticFields","SyncFields","AbstractMethods","DefaultMethods","FinalMethods","SyncMethods","PrivateMethods","ProtectedMethods","PublicMethods"
"alluxio","v1.8.1","alluxio.worker.block.AsyncCacheRequestManager","174","21","1","12","36","0","yes","13","4","1","11","1","2","9","0","17","4","2","26","5","1","152","1","29","0","0","13","0","13","0","0","7","0","0","0","0","0","2","0","2"
"alluxio","v1.8.1","alluxio.client.fs.ImpersonationIntegrationTest","130","23","2","17","27","0","no","11","19","0","1","0","0","4","0","35","8","4","26","1","0","75","17","26","1","0","10","0","10","0","1","10","0","0","0","0","0","2","0","17"
"alluxio","v1.8.1","alluxio.master.file.meta.InodeTree","791","125","1","58","165","259","no","15","42","12","36","8","27","13","7","14","16","6","98","4","2","460","1","105","0","0","15","0","11","0","4","8","0","0","0","0","0","6","0","36"
"alluxio","v1.8.1","alluxio.client.block.AlluxioBlockStoreTest","272","22","1","42","98","0","yes","17","18","29","2","3","0","1","3","19","71","4","105","2","12","169","17","96","1","2","7","0","16","0","1","8","0","0","0","0","0","1","0","17"
"alluxio","v1.8.1","alluxio.master.file.DefaultFileSystemMaster","3157","565","2","150","533","2868","yes","25","120","30","102","42","101","128","22","132","40","40","474","6","5","800","17","524","5","1","20","0","25","0","0","3","0","0","2","0","0","60","0","58"
"alluxio","v1.8.1","alluxio.client.cli.fs.command.CatCommandIntegrationTest","38","4","2","3","11","6","yes","0","4","3","0","0","0","0","0","12","12","3","11","0","0","31","17","12","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4"
"alluxio","v1.8.1","alluxio.master.block.DefaultBlockMaster","781","132","2","60","161","684","no","19","49","13","46","28","20","10","4","28","15","5","95","5","5","364","17","102","2","3","17","0","19","0","0","5","0","0","2","0","0","11","0","36"
"alluxio","v1.8.1","alluxio.AbstractClient","289","50","1","18","58","222","yes","10","24","2","17","2","9","5","0","16","0","3","16","3","3","188","1025","23","1","1","2","0","2","8","0","1","0","3","0","0","9","4","11","9"
"alluxio","v1.8.1","alluxio.master.file.FileSystemMasterTest","1610","171","1","46","203","0","no","35","118","109","9","26","1","27","5","336","161","48","268","1","0","396","17","317","0","1","16","0","29","0","6","18","0","0","0","0","0","17","0","101"
"alluxio","v1.8.1","alluxio.server.web.WebServerIntegrationTest","77","13","2","11","43","11","yes","2","6","3","1","3","2","1","0","12","1","1","14","3","0","80","1","17","0","1","1","0","1","0","1","1","0","0","0","0","0","3","0","3"
"alluxio","v1.8.1","alluxio.worker.block.meta.StorageTierTest","109","9","1","10","20","0","no","19","9","0","0","0","0","0","0","9","21","6","26","0","0","91","1","28","0","0","10","0","17","0","2","10","0","0","0","1","0","0","0","9"
"alluxio","v1.8.1","alluxio.underfs.oss.OSSUnderFileSystem","196","27","2","22","40","50","no","4","17","1","20","0","2","6","0","16","2","1","17","2","0","133","1","20","1","0","4","0","4","0","0","2","0","0","0","0","0","2","10","5"
"alluxio","v1.8.1","alluxio.master.block.meta.MasterWorkerInfo","360","54","1","9","45","190","yes","16","29","5","19","8","3","0","2","20","9","12","23","2","0","177","17","39","0","0","6","0","16","0","0","3","0","0","0","0","0","0","0","29"
"alluxio","v1.8.1","alluxio.client.cli.fs.GetConfTest","96","10","1","11","32","15","yes","2","10","1","2","0","0","1","0","68","13","2","12","1","2","69","17","17","0","0","0","0","1","0","1","0","0","0","0","0","0","2","0","8"
"alluxio","v1.8.1","alluxio.client.fs.FileSystemMasterIntegrationTest","945","74","2","34","102","0","yes","16","57","21","2","12","1","9","0","195","84","16","171","3","1","267","1","171","4","0","8","0","9","0","7","11","0","0","0","1","0","1","0","56"
"alluxio","v1.8.1","alluxio.cli.fs.command.HelpCommand","68","12","2","8","22","21","yes","1","7","3","5","1","1","2","0","6","9","2","9","3","0","69","17","10","0","0","1","0","1","0","0","1","0","0","0","0","0","0","0","7"
"alluxio","v1.8.1","alluxio.master.meta.DefaultMetaMaster","405","52","2","53","100","362","no","21","32","4","26","2","7","6","0","17","3","2","45","5","2","241","17","45","3","2","15","0","20","0","1","5","0","0","2","0","0","0","0","30"
"alluxio","v1.8.1","alluxio.server.ft.journal.JournalCheckpointIntegrationTest","43","5","2","13","31","0","yes","3","4","0","0","0","0","1","0","8","4","0","11","1","0","55","1","11","0","0","0","0","0","0","3","0","0","0","0","0","0","1","0","3"
"alluxio","v1.8.1","alluxio.client.cli.fsadmin.command.MetricsCommandIntegrationTest","21","2","2","3","11","1","yes","0","2","2","0","0","0","0","0","56","2","0","4","0","0","78","17","4","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1"
"alluxio","v1.8.1","alluxio.client.fs.ConcurrentRenameIntegrationTest","373","40","2","19","40","0","yes","11","13","9","1","21","4","0","0","52","58","38","109","2","0","234","1","131","0","5","4","0","8","0","3","7","0","0","0","0","0","2","0","11"
"alluxio","v1.8.1","alluxio.master.AlluxioMasterProcess","272","37","2","25","82","62","yes","11","17","2","6","1","4","7","0","12","0","2","19","4","0","201","1","24","1","1","9","1","9","1","0","1","0","0","1","0","0","1","8","7"
"alluxio","v1.8.1","alluxio.client.cli.fsadmin.command.ReportCommandIntegrationTest","37","4","2","2","16","6","yes","0","4","1","0","0","0","0","0","20","3","5","7","0","0","31","17","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4"
"alluxio","v1.8.1","alluxio.cli.fsadmin.doctor.ConfigurationCommand","54","9","1","6","17","0","yes","2","3","2","2","3","3","0","0","10","4","4","6","3","0","58","1","6","0","0","2","0","2","0","0","0","0","0","0","0","0","1","0","2"
"alluxio","v1.8.1","alluxio.master.meta.checkconf.ServerConfigurationStoreTest","61","6","1","8","20","0","yes","4","6","3","1","0","0","0","0","11","4","0","17","0","0","43","1","18","0","0","0","0","4","0","0","0","0","0","0","0","0","1","0","5"
"alluxio","v1.8.1","alluxio.master.metrics.MetricsMasterTest","67","7","1","13","22","7","yes","5","7","1","2","0","0","0","0","50","24","0","13","0","0","44","1","13","0","0","0","0","4","0","1","1","0","0","0","0","0","2","0","5"
"alluxio","v1.8.1","alluxio.util.network.NetworkAddressUtils","435","62","1","12","65","253","no","6","23","28","38","2","6","4","1","15","6","3","23","5","0","290","17","27","0","0","3","0","4","0","2","6","0","0","0","0","3","2","0","21"
"alluxio","v1.8.1","alluxio.server.tieredstore.TieredStoreIntegrationTest","120","7","2","15","31","0","yes","7","5","2","0","0","0","0","0","9","31","7","27","1","0","92","1","32","0","0","1","0","4","0","3","2","0","0","0","1","0","0","0","5"
"alluxio","v1.8.1","alluxio.underfs.wasb.WasbUnderFileSystem","62","9","2","8","11","19","yes","2","7","1","6","1","0","0","0","8","0","0","6","2","0","68","1","6","0","0","2","0","1","0","1","2","0","0","0","0","0","0","0","7"
"alluxio","v1.8.1","alluxio.client.fs.ConcurrentFileSystemMasterCreateTest","195","41","2","18","35","256","yes","8","24","1","0","6","2","0","2","33","32","26","36","2","0","162","1","47","0","0","3","0","5","0","3","4","0","0","0","0","0","1","0","23"
"alluxio","v1.8.1","alluxio.client.fs.LocalFirstPolicyIntegrationTest","69","6","2","13","24","4","no","2","5","2","1","0","0","3","0","13","6","0","11","2","1","45","1","11","0","0","0","0","1","0","1","0","0","0","0","0","0","2","0","3"
"alluxio","v1.8.1","alluxio.master.meta.checkconf.ServerConfigurationChecker","127","19","1","10","40","1","yes","8","6","4","2","3","1","0","0","13","4","1","24","3","4","115","1","26","0","0","6","0","8","0","0","4","0","0","0","0","3","2","0","4"
"alluxio","v1.8.1","alluxio.testutils.BaseIntegrationTest","44","1","1","6","5","0","no","2","1","0","1","0","0","0","0","0","0","0","2","0","0","52","1025","2","0","1","1","0","1","0","1","1","0","0","0","0","0","1","0","0"
"alluxio","v1.8.1","alluxio.ProcessUtils","73","10","1","2","15","8","yes","1","5","6","0","0","1","3","0","10","3","4","2","2","1","87","17","3","0","0","1","0","1","0","0","1","0","0","0","0","0","1","0","4"
"alluxio","v1.8.1","alluxio.cli.validation.ClusterConfConsistencyValidationTask","105","20","2","6","28","1","yes","0","2","5","5","3","4","1","0","16","1","0","24","3","0","82","17","34","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","1"
"alluxio","v1.8.1","alluxio.cli.FormatTest","72","8","1","5","20","0","no","1","2","12","0","6","0","4","0","11","2","2","13","4","0","40","17","15","0","2","0","0","0","0","1","0","0","0","0","0","0","0","0","2"
"alluxio","v1.8.1","alluxio.cli.fsadmin.FileSystemAdminShell","41","6","2","16","15","6","yes","1","4","2","2","0","0","1","0","3","2","0","8","1","0","58","17","8","0","0","1","0","1","0","0","1","0","0","0","0","0","0","2","2"
"alluxio","v1.8.1","alluxio.client.rest.AlluxioWorkerRestApiTest","52","11","2","12","34","55","yes","2","11","1","1","0","0","0","0","7","6","0","8","0","0","41","17","11","0","0","0","0","0","0","2","1","0","0","0","0","0","1","0","10"
"alluxio","v1.8.1","alluxio.multi.process.MultiProcessClusterTest","56","9","1","7","27","0","yes","2","4","4","0","1","0","4","0","5","8","2","7","5","0","41","17","8","0","0","0","0","1","0","1","0","0","0","0","0","0","2","0","2"
"alluxio","v1.8.1","alluxio.testutils.underfs.sleeping.SleepingUnderFileSystemOptionsTest","98","2","1","2","54","1","yes","0","2","0","0","0","0","0","0","0","26","0","29","0","0","51","1","29","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2"
"alluxio","v1.8.1","alluxio.conf.AlluxioPropertiesTest","125","13","1","5","32","0","no","3","13","1","0","0","0","0","0","39","0","0","23","0","3","47","1","18","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","13"
"alluxio","v1.8.1","alluxio.underfs.s3a.S3AUnderFileSystemTest","101","11","1","23","35","0","yes","12","11","0","0","0","0","2","0","18","3","5","24","1","0","81","1","24","0","0","7","0","11","0","1","7","0","0","0","0","0","0","0","11"
"alluxio","v1.8.1","alluxio.server.configuration.ConfigCheckerIntegrationTest","95","11","2","10","42","0","yes","4","8","4","2","1","0","0","4","8","13","6","29","1","3","84","1","30","0","0","3","0","3","0","1","3","0","0","0","0","0","2","0","6"
