"name-pr","version","name","loc","wmc","dit","cbo","rfc","lcom","bug","fields","Methods","NOSI","Returns","Loops","ComparisonsQty","TryCatchQty","ParenthExpsQty","StrLitQty","NumQty","MathOperQty","VarQty","MaxNesting","Lambdas","WordsQty","Modifiers","Assignments","SubClassQty","AnonymousClassQty","FinalFields","DefaultFields","PrivateFields","ProtectedFields","PublicFields","StaticFields","SyncFields","AbstractMethods","DefaultMethods","FinalMethods","SyncMethods","PrivateMethods","ProtectedMethods","PublicMethods"
"alluxio","v2.0.0-preview-RC2","alluxio.master.MasterProcess","148","27","1","12","33","112","no","9","16","6","7","1","8","2","0","6","3","2","12","2","1","134","1025","12","0","0","5","3","3","3","0","1","0","4","2","0","0","1","5","8"
"alluxio","v2.0.0-preview-RC2","alluxio.client.file.BaseFileSystemTest","434","51","2","31","68","0","yes","8","38","1","3","0","0","13","0","60","0","0","61","1","0","196","17","62","1","1","2","0","8","0","0","2","0","0","0","0","0","6","0","32"
"alluxio","v2.0.0-preview-RC2","alluxio.master.PollingMasterInquireClient","127","15","1","14","23","0","no","5","8","1","5","2","2","2","0","5","3","0","10","2","1","103","1","14","1","0","5","0","5","0","0","1","0","0","0","0","0","2","0","6"
"alluxio","v2.0.0-preview-RC2","alluxio.util.network.NetworkAddressUtils","435","62","1","12","65","253","yes","6","23","28","38","2","6","4","1","15","6","3","23","5","0","290","17","27","0","0","3","0","4","0","2","6","0","0","0","0","3","2","0","21"
"alluxio","v2.0.0-preview-RC2","alluxio.fuse.AlluxioFuseFileSystem","688","98","3","42","104","0","yes","19","22","8","70","2","17","17","1","77","39","11","80","3","1","363","17","90","1","2","17","0","15","0","4","12","0","0","1","0","0","2","0","19"
"alluxio","v2.0.0-preview-RC2","alluxio.underfs.hdfs.HdfsVersion","48","9","1","2","6","2","yes","2","4","5","6","1","2","0","0","26","0","0","2","2","0","0","1","2","-1","0","2","0","2","0","0","0","0","0","1","0","0","0","0","3"
"alluxio","v2.0.0-preview-RC2","alluxio.client.block.stream.DefaultBlockWorkerClient","95","15","1","31","46","22","no","8","12","0","11","0","0","2","3","2","0","0","11","1","2","104","1","11","0","1","2","0","8","0","0","1","0","0","0","0","0","1","0","11"
"alluxio","v2.0.0-preview-RC2","alluxio.master.AlluxioMasterProcess","272","37","2","25","82","62","yes","11","17","2","6","1","4","7","0","12","0","2","19","4","0","201","1","24","1","1","9","1","9","1","0","1","0","0","1","0","0","1","8","7"
"alluxio","v2.0.0-preview-RC2","alluxio.testutils.IntegrationTestUtils","126","16","1","12","33","45","yes","0","10","4","5","1","1","5","0","14","4","5","7","3","4","125","17","10","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","9"
"alluxio","v2.0.0-preview-RC2","alluxio.client.block.stream.GrpcDataReader","137","17","1","18","36","0","yes","10","4","0","4","0","5","3","1","10","0","1","18","3","0","126","17","27","1","0","9","0","10","0","0","1","0","0","0","0","0","1","0","3"
