ShortMessage,LongMessage,Class/SourceLine/0/Message,Class/SourceLine/0/_classname,Class/SourceLine/0/_sourcefile,Class/SourceLine/0/_sourcepath,Class/SourceLine/0/_relSourcepath,Class/Message,Class/_classname,Class/_primary,Method/SourceLine/0/_classname,Method/SourceLine/0/_start,Method/SourceLine/0/_end,Method/SourceLine/0/_startBytecode,Method/SourceLine/0/_endBytecode,Method/SourceLine/0/_sourcefile,Method/SourceLine/0/_sourcepath,Method/SourceLine/0/_relSourcepath,Method/Message,Method/_classname,Method/_name,Method/_signature,Method/_isStatic,Method/_primary,SourceLine/0/Message,SourceLine/0/_classname,SourceLine/0/_primary,SourceLine/0/_start,SourceLine/0/_end,SourceLine/0/_startBytecode,SourceLine/0/_endBytecode,SourceLine/0/_sourcefile,SourceLine/0/_sourcepath,SourceLine/0/_relSourcepath,SourceLine/1/Message,SourceLine/1/_classname,SourceLine/1/_start,SourceLine/1/_end,SourceLine/1/_startBytecode,SourceLine/1/_endBytecode,SourceLine/1/_sourcefile,SourceLine/1/_sourcepath,SourceLine/1/_relSourcepath,SourceLine/2/Message,SourceLine/2/_classname,SourceLine/2/_start,SourceLine/2/_end,SourceLine/2/_startBytecode,SourceLine/2/_endBytecode,SourceLine/2/_sourcefile,SourceLine/2/_sourcepath,SourceLine/2/_relSourcepath,SourceLine/3/Message,SourceLine/3/_classname,SourceLine/3/_start,SourceLine/3/_end,SourceLine/3/_startBytecode,SourceLine/3/_endBytecode,SourceLine/3/_sourcefile,SourceLine/3/_sourcepath,SourceLine/3/_relSourcepath,SourceLine/4/Message,SourceLine/4/_classname,SourceLine/4/_start,SourceLine/4/_end,SourceLine/4/_startBytecode,SourceLine/4/_endBytecode,SourceLine/4/_sourcefile,SourceLine/4/_sourcepath,SourceLine/4/_relSourcepath,SourceLine/5/Message,SourceLine/5/_classname,SourceLine/5/_start,SourceLine/5/_end,SourceLine/5/_startBytecode,SourceLine/5/_endBytecode,SourceLine/5/_sourcefile,SourceLine/5/_sourcepath,SourceLine/5/_relSourcepath,String/0/Message,String/0/_value,String/0/_role,_type,_priority,_rank,_abbrev,_category,_instanceHash,_instanceOccurrenceNum,_instanceOccurrenceMax,_cweid,SourceLine/0/_synthetic,String/1/Message,String/1/_value,String/1/_role,SourceLine/6/Message,SourceLine/6/_classname,SourceLine/6/_start,SourceLine/6/_end,SourceLine/6/_startBytecode,SourceLine/6/_endBytecode,SourceLine/6/_sourcefile,SourceLine/6/_sourcepath,SourceLine/6/_relSourcepath,SourceLine/7/Message,SourceLine/7/_classname,SourceLine/7/_start,SourceLine/7/_end,SourceLine/7/_startBytecode,SourceLine/7/_endBytecode,SourceLine/7/_sourcefile,SourceLine/7/_sourcepath,SourceLine/7/_relSourcepath
Potential CRLF Injection for logs,This use of Logger.warn(...) might be used to include CRLF characters into log messages,In EmbeddedOAuthAPI.java,org.eclipse.che.security.oauth.EmbeddedOAuthAPI,EmbeddedOAuthAPI.java,org/eclipse/che/security/oauth/EmbeddedOAuthAPI.java,org\eclipse\che\security\oauth\EmbeddedOAuthAPI.java,In class org.eclipse.che.security.oauth.EmbeddedOAuthAPI,org.eclipse.che.security.oauth.EmbeddedOAuthAPI,true,org.eclipse.che.security.oauth.EmbeddedOAuthAPI,157,162,0,148,EmbeddedOAuthAPI.java,org/eclipse/che/security/oauth/EmbeddedOAuthAPI.java,org\eclipse\che\security\oauth\EmbeddedOAuthAPI.java,In method org.eclipse.che.security.oauth.EmbeddedOAuthAPI.getAuthenticator(String),org.eclipse.che.security.oauth.EmbeddedOAuthAPI,getAuthenticator,(Ljava/lang/String;)Lorg/eclipse/che/security/oauth/OAuthAuthenticator;,false,true,At EmbeddedOAuthAPI.java:[line 159],org.eclipse.che.security.oauth.EmbeddedOAuthAPI,true,159,159,22,22,EmbeddedOAuthAPI.java,org/eclipse/che/security/oauth/EmbeddedOAuthAPI.java,org\eclipse\che\security\oauth\EmbeddedOAuthAPI.java,At EmbeddedOAuthAPI.java:[line 66],org.eclipse.che.security.oauth.EmbeddedOAuthAPI,66,66,2,2,EmbeddedOAuthAPI.java,org/eclipse/che/security/oauth/EmbeddedOAuthAPI.java,org\eclipse\che\security\oauth\EmbeddedOAuthAPI.java,At EmbeddedOAuthAPI.java:[line 82],org.eclipse.che.security.oauth.EmbeddedOAuthAPI,82,82,64,64,EmbeddedOAuthAPI.java,org/eclipse/che/security/oauth/EmbeddedOAuthAPI.java,org\eclipse\che\security\oauth\EmbeddedOAuthAPI.java,At EmbeddedOAuthAPI.java:[line 83],org.eclipse.che.security.oauth.EmbeddedOAuthAPI,83,83,72,72,EmbeddedOAuthAPI.java,org/eclipse/che/security/oauth/EmbeddedOAuthAPI.java,org\eclipse\che\security\oauth\EmbeddedOAuthAPI.java,At EmbeddedOAuthAPI.java:[line 124],org.eclipse.che.security.oauth.EmbeddedOAuthAPI,124,124,2,2,EmbeddedOAuthAPI.java,org/eclipse/che/security/oauth/EmbeddedOAuthAPI.java,org\eclipse\che\security\oauth\EmbeddedOAuthAPI.java,At EmbeddedOAuthAPI.java:[line 144],org.eclipse.che.security.oauth.EmbeddedOAuthAPI,144,144,2,2,EmbeddedOAuthAPI.java,org/eclipse/che/security/oauth/EmbeddedOAuthAPI.java,org\eclipse\che\security\oauth\EmbeddedOAuthAPI.java,Sink method Logger.warn(...),Logger.warn(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,63e2e9f1ff6b850a002dfa2b8392e227,0,0,117,,,,,,,,,,,,,,,,,,,,,,
Found JAX-RS REST endpoint,"org.eclipse.che.security.oauth.OAuthAuthenticationService.org.eclipse.che.security.oauth.OAuthAuthenticationService.authenticate(String, String, List, HttpServletRequest) is a REST Web Service endpoint",In OAuthAuthenticationService.java,org.eclipse.che.security.oauth.OAuthAuthenticationService,OAuthAuthenticationService.java,org/eclipse/che/security/oauth/OAuthAuthenticationService.java,org\eclipse\che\security\oauth\OAuthAuthenticationService.java,In class org.eclipse.che.security.oauth.OAuthAuthenticationService,org.eclipse.che.security.oauth.OAuthAuthenticationService,true,org.eclipse.che.security.oauth.OAuthAuthenticationService,61,61,0,118,OAuthAuthenticationService.java,org/eclipse/che/security/oauth/OAuthAuthenticationService.java,org\eclipse\che\security\oauth\OAuthAuthenticationService.java,"In method org.eclipse.che.security.oauth.OAuthAuthenticationService.authenticate(String, String, List, HttpServletRequest)",org.eclipse.che.security.oauth.OAuthAuthenticationService,authenticate,(Ljava/lang/String;Ljava/lang/String;Ljava/util/List;Ljavax/servlet/http/HttpServletRequest;)Ljavax/ws/rs/core/Response;,false,true,At OAuthAuthenticationService.java:[line 61],org.eclipse.che.security.oauth.OAuthAuthenticationService,,61,61,0,118,OAuthAuthenticationService.java,org/eclipse/che/security/oauth/OAuthAuthenticationService.java,org\eclipse\che\security\oauth\OAuthAuthenticationService.java,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JAXRS_ENDPOINT,3,10,SECJRS,SECURITY,3e0e4fcfeb1cb09d55326a31947f7aec,0,0,,true,,,,,,,,,,,,,,,,,,,,,
Found JAX-RS REST endpoint,org.eclipse.che.security.oauth.OAuthAuthenticationService.org.eclipse.che.security.oauth.OAuthAuthenticationService.callback(List) is a REST Web Service endpoint,In OAuthAuthenticationService.java,org.eclipse.che.security.oauth.OAuthAuthenticationService,OAuthAuthenticationService.java,org/eclipse/che/security/oauth/OAuthAuthenticationService.java,org\eclipse\che\security\oauth\OAuthAuthenticationService.java,In class org.eclipse.che.security.oauth.OAuthAuthenticationService,org.eclipse.che.security.oauth.OAuthAuthenticationService,true,org.eclipse.che.security.oauth.OAuthAuthenticationService,69,69,0,84,OAuthAuthenticationService.java,org/eclipse/che/security/oauth/OAuthAuthenticationService.java,org\eclipse\che\security\oauth\OAuthAuthenticationService.java,In method org.eclipse.che.security.oauth.OAuthAuthenticationService.callback(List),org.eclipse.che.security.oauth.OAuthAuthenticationService,callback,(Ljava/util/List;)Ljavax/ws/rs/core/Response;,false,true,At OAuthAuthenticationService.java:[line 69],org.eclipse.che.security.oauth.OAuthAuthenticationService,,69,69,0,84,OAuthAuthenticationService.java,org/eclipse/che/security/oauth/OAuthAuthenticationService.java,org\eclipse\che\security\oauth\OAuthAuthenticationService.java,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JAXRS_ENDPOINT,3,10,SECJRS,SECURITY,e608777d2375ed5a99162528d7dfbf77,0,0,,true,,,,,,,,,,,,,,,,,,,,,
Found JAX-RS REST endpoint,org.eclipse.che.security.oauth.OAuthAuthenticationService.org.eclipse.che.security.oauth.OAuthAuthenticationService.invalidate(String) is a REST Web Service endpoint,In OAuthAuthenticationService.java,org.eclipse.che.security.oauth.OAuthAuthenticationService,OAuthAuthenticationService.java,org/eclipse/che/security/oauth/OAuthAuthenticationService.java,org\eclipse\che\security\oauth\OAuthAuthenticationService.java,In class org.eclipse.che.security.oauth.OAuthAuthenticationService,org.eclipse.che.security.oauth.OAuthAuthenticationService,true,org.eclipse.che.security.oauth.OAuthAuthenticationService,108,109,0,66,OAuthAuthenticationService.java,org/eclipse/che/security/oauth/OAuthAuthenticationService.java,org\eclipse\che\security\oauth\OAuthAuthenticationService.java,In method org.eclipse.che.security.oauth.OAuthAuthenticationService.invalidate(String),org.eclipse.che.security.oauth.OAuthAuthenticationService,invalidate,(Ljava/lang/String;)V,false,true,At OAuthAuthenticationService.java:[lines 108-109],org.eclipse.che.security.oauth.OAuthAuthenticationService,,108,109,0,66,OAuthAuthenticationService.java,org/eclipse/che/security/oauth/OAuthAuthenticationService.java,org\eclipse\che\security\oauth\OAuthAuthenticationService.java,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JAXRS_ENDPOINT,3,10,SECJRS,SECURITY,fb88ab500e0af33f20cf31ec5eb37632,0,0,,true,,,,,,,,,,,,,,,,,,,,,
Found JAX-RS REST endpoint,org.eclipse.che.security.oauth.OAuthAuthenticationService.org.eclipse.che.security.oauth.OAuthAuthenticationService.token(String) is a REST Web Service endpoint,In OAuthAuthenticationService.java,org.eclipse.che.security.oauth.OAuthAuthenticationService,OAuthAuthenticationService.java,org/eclipse/che/security/oauth/OAuthAuthenticationService.java,org\eclipse\che\security\oauth\OAuthAuthenticationService.java,In class org.eclipse.che.security.oauth.OAuthAuthenticationService,org.eclipse.che.security.oauth.OAuthAuthenticationService,true,org.eclipse.che.security.oauth.OAuthAuthenticationService,96,96,0,62,OAuthAuthenticationService.java,org/eclipse/che/security/oauth/OAuthAuthenticationService.java,org\eclipse\che\security\oauth\OAuthAuthenticationService.java,In method org.eclipse.che.security.oauth.OAuthAuthenticationService.token(String),org.eclipse.che.security.oauth.OAuthAuthenticationService,token,(Ljava/lang/String;)Lorg/eclipse/che/api/auth/shared/dto/OAuthToken;,false,true,At OAuthAuthenticationService.java:[line 96],org.eclipse.che.security.oauth.OAuthAuthenticationService,,96,96,0,62,OAuthAuthenticationService.java,org/eclipse/che/security/oauth/OAuthAuthenticationService.java,org\eclipse\che\security\oauth\OAuthAuthenticationService.java,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JAXRS_ENDPOINT,3,10,SECJRS,SECURITY,37a1513672a1b31d638197e2360195d5,0,0,,true,,,,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.debug(...) might be used to include CRLF characters into log messages,In OAuthAuthenticator.java,org.eclipse.che.security.oauth.OAuthAuthenticator,OAuthAuthenticator.java,org/eclipse/che/security/oauth/OAuthAuthenticator.java,org\eclipse\che\security\oauth\OAuthAuthenticator.java,In class org.eclipse.che.security.oauth.OAuthAuthenticator,org.eclipse.che.security.oauth.OAuthAuthenticator,true,org.eclipse.che.security.oauth.OAuthAuthenticator,91,114,0,280,OAuthAuthenticator.java,org/eclipse/che/security/oauth/OAuthAuthenticator.java,org\eclipse\che\security\oauth\OAuthAuthenticator.java,"In method org.eclipse.che.security.oauth.OAuthAuthenticator.configure(String, String, String[], String, String, MemoryDataStoreFactory, List)",org.eclipse.che.security.oauth.OAuthAuthenticator,configure,(Ljava/lang/String;Ljava/lang/String;[Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;Lcom/google/api/client/util/store/MemoryDataStoreFactory;Ljava/util/List;)V,false,true,At OAuthAuthenticator.java:[line 104],org.eclipse.che.security.oauth.OAuthAuthenticator,true,104,104,97,97,OAuthAuthenticator.java,org/eclipse/che/security/oauth/OAuthAuthenticator.java,org\eclipse\che\security\oauth\OAuthAuthenticator.java,At OAuthAuthenticator.java:[line 68],org.eclipse.che.security.oauth.OAuthAuthenticator,68,68,13,13,OAuthAuthenticator.java,org/eclipse/che/security/oauth/OAuthAuthenticator.java,org\eclipse\che\security\oauth\OAuthAuthenticator.java,At OAuthAuthenticator.java:[line 100],org.eclipse.che.security.oauth.OAuthAuthenticator,100,100,47,47,OAuthAuthenticator.java,org/eclipse/che/security/oauth/OAuthAuthenticator.java,org\eclipse\che\security\oauth\OAuthAuthenticator.java,,,,,,,,,,,,,,,,,,,,,,,,,,,,Sink method Logger.debug(...),Logger.debug(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,aac181708513815c7cc42880e62b3826,0,0,117,,Method usage not detected,not detected,Method usage,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.warn(...) might be used to include CRLF characters into log messages,In OAuthAuthenticationService.java,org.eclipse.che.security.oauth1.OAuthAuthenticationService,OAuthAuthenticationService.java,org/eclipse/che/security/oauth1/OAuthAuthenticationService.java,org\eclipse\che\security\oauth1\OAuthAuthenticationService.java,In class org.eclipse.che.security.oauth1.OAuthAuthenticationService,org.eclipse.che.security.oauth1.OAuthAuthenticationService,true,org.eclipse.che.security.oauth1.OAuthAuthenticationService,99,104,0,148,OAuthAuthenticationService.java,org/eclipse/che/security/oauth1/OAuthAuthenticationService.java,org\eclipse\che\security\oauth1\OAuthAuthenticationService.java,In method org.eclipse.che.security.oauth1.OAuthAuthenticationService.getAuthenticator(String),org.eclipse.che.security.oauth1.OAuthAuthenticationService,getAuthenticator,(Ljava/lang/String;)Lorg/eclipse/che/security/oauth1/OAuthAuthenticator;,false,true,At OAuthAuthenticationService.java:[line 101],org.eclipse.che.security.oauth1.OAuthAuthenticationService,true,101,101,29,29,OAuthAuthenticationService.java,org/eclipse/che/security/oauth1/OAuthAuthenticationService.java,org\eclipse\che\security\oauth1\OAuthAuthenticationService.java,At OAuthAuthenticationService.java:[line 57],org.eclipse.che.security.oauth1.OAuthAuthenticationService,57,57,4,4,OAuthAuthenticationService.java,org/eclipse/che/security/oauth1/OAuthAuthenticationService.java,org\eclipse\che\security\oauth1\OAuthAuthenticationService.java,At OAuthAuthenticationService.java:[line 60],org.eclipse.che.security.oauth1.OAuthAuthenticationService,60,60,17,17,OAuthAuthenticationService.java,org/eclipse/che/security/oauth1/OAuthAuthenticationService.java,org\eclipse\che\security\oauth1\OAuthAuthenticationService.java,At OAuthAuthenticationService.java:[line 73],org.eclipse.che.security.oauth1.OAuthAuthenticationService,73,73,19,19,OAuthAuthenticationService.java,org/eclipse/che/security/oauth1/OAuthAuthenticationService.java,org\eclipse\che\security\oauth1\OAuthAuthenticationService.java,At OAuthAuthenticationService.java:[line 76],org.eclipse.che.security.oauth1.OAuthAuthenticationService,76,76,33,33,OAuthAuthenticationService.java,org/eclipse/che/security/oauth1/OAuthAuthenticationService.java,org\eclipse\che\security\oauth1\OAuthAuthenticationService.java,At OAuthAuthenticationService.java:[line 89],org.eclipse.che.security.oauth1.OAuthAuthenticationService,89,89,4,4,OAuthAuthenticationService.java,org/eclipse/che/security/oauth1/OAuthAuthenticationService.java,org\eclipse\che\security\oauth1\OAuthAuthenticationService.java,Sink method Logger.warn(...),Logger.warn(...),Sink method,CRLF_INJECTION_LOGS,2,7,SECCRLFLOG,SECURITY,a9bffc1243709ce9901925a328df13a2,0,0,117,,Method usage with tainted arguments detected,with tainted arguments detected,Method usage,At OAuthAuthenticationService.java:[line 94],org.eclipse.che.security.oauth1.OAuthAuthenticationService,94,94,31,31,OAuthAuthenticationService.java,org/eclipse/che/security/oauth1/OAuthAuthenticationService.java,org\eclipse\che\security\oauth1\OAuthAuthenticationService.java,At OAuthAuthenticationService.java:[line 101],org.eclipse.che.security.oauth1.OAuthAuthenticationService,101,101,26,26,OAuthAuthenticationService.java,org/eclipse/che/security/oauth1/OAuthAuthenticationService.java,org\eclipse\che\security\oauth1\OAuthAuthenticationService.java
Found JAX-RS REST endpoint,"org.eclipse.che.security.oauth1.OAuthAuthenticationService.org.eclipse.che.security.oauth1.OAuthAuthenticationService.authenticate(String, String, String, String) is a REST Web Service endpoint",In OAuthAuthenticationService.java,org.eclipse.che.security.oauth1.OAuthAuthenticationService,OAuthAuthenticationService.java,org/eclipse/che/security/oauth1/OAuthAuthenticationService.java,org\eclipse\che\security\oauth1\OAuthAuthenticationService.java,In class org.eclipse.che.security.oauth1.OAuthAuthenticationService,org.eclipse.che.security.oauth1.OAuthAuthenticationService,true,org.eclipse.che.security.oauth1.OAuthAuthenticationService,57,64,0,171,OAuthAuthenticationService.java,org/eclipse/che/security/oauth1/OAuthAuthenticationService.java,org\eclipse\che\security\oauth1\OAuthAuthenticationService.java,"In method org.eclipse.che.security.oauth1.OAuthAuthenticationService.authenticate(String, String, String, String)",org.eclipse.che.security.oauth1.OAuthAuthenticationService,authenticate,(Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;)Ljavax/ws/rs/core/Response;,false,true,At OAuthAuthenticationService.java:[lines 57-64],org.eclipse.che.security.oauth1.OAuthAuthenticationService,,57,64,0,171,OAuthAuthenticationService.java,org/eclipse/che/security/oauth1/OAuthAuthenticationService.java,org\eclipse\che\security\oauth1\OAuthAuthenticationService.java,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JAXRS_ENDPOINT,3,10,SECJRS,SECURITY,e75b550dd88e00f263263a5d34e4f26f,0,0,,true,,,,,,,,,,,,,,,,,,,,,
Found JAX-RS REST endpoint,org.eclipse.che.security.oauth1.OAuthAuthenticationService.org.eclipse.che.security.oauth1.OAuthAuthenticationService.callback() is a REST Web Service endpoint,In OAuthAuthenticationService.java,org.eclipse.che.security.oauth1.OAuthAuthenticationService,OAuthAuthenticationService.java,org/eclipse/che/security/oauth1/OAuthAuthenticationService.java,org\eclipse\che\security\oauth1\OAuthAuthenticationService.java,In class org.eclipse.che.security.oauth1.OAuthAuthenticationService,org.eclipse.che.security.oauth1.OAuthAuthenticationService,true,org.eclipse.che.security.oauth1.OAuthAuthenticationService,70,78,0,172,OAuthAuthenticationService.java,org/eclipse/che/security/oauth1/OAuthAuthenticationService.java,org\eclipse\che\security\oauth1\OAuthAuthenticationService.java,In method org.eclipse.che.security.oauth1.OAuthAuthenticationService.callback(),org.eclipse.che.security.oauth1.OAuthAuthenticationService,callback,()Ljavax/ws/rs/core/Response;,false,true,At OAuthAuthenticationService.java:[lines 70-78],org.eclipse.che.security.oauth1.OAuthAuthenticationService,,70,78,0,172,OAuthAuthenticationService.java,org/eclipse/che/security/oauth1/OAuthAuthenticationService.java,org\eclipse\che\security\oauth1\OAuthAuthenticationService.java,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JAXRS_ENDPOINT,3,10,SECJRS,SECURITY,ea54f986307bd9d718a8a79663e9f4b6,0,0,,true,,,,,,,,,,,,,,,,,,,,,
Found JAX-RS REST endpoint,"org.eclipse.che.security.oauth1.OAuthAuthenticationService.org.eclipse.che.security.oauth1.OAuthAuthenticationService.signature(String, String, String, String) is a REST Web Service endpoint",In OAuthAuthenticationService.java,org.eclipse.che.security.oauth1.OAuthAuthenticationService,OAuthAuthenticationService.java,org/eclipse/che/security/oauth1/OAuthAuthenticationService.java,org\eclipse\che\security\oauth1\OAuthAuthenticationService.java,In class org.eclipse.che.security.oauth1.OAuthAuthenticationService,org.eclipse.che.security.oauth1.OAuthAuthenticationService,true,org.eclipse.che.security.oauth1.OAuthAuthenticationService,89,94,0,147,OAuthAuthenticationService.java,org/eclipse/che/security/oauth1/OAuthAuthenticationService.java,org\eclipse\che\security\oauth1\OAuthAuthenticationService.java,"In method org.eclipse.che.security.oauth1.OAuthAuthenticationService.signature(String, String, String, String)",org.eclipse.che.security.oauth1.OAuthAuthenticationService,signature,(Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;)Ljava/lang/String;,false,true,At OAuthAuthenticationService.java:[lines 89-94],org.eclipse.che.security.oauth1.OAuthAuthenticationService,,89,94,0,147,OAuthAuthenticationService.java,org/eclipse/che/security/oauth1/OAuthAuthenticationService.java,org\eclipse\che\security\oauth1\OAuthAuthenticationService.java,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JAXRS_ENDPOINT,3,10,SECJRS,SECURITY,2deee0d86ccf3095dfc3f58a93048a5a,0,0,,true,,,,,,,,,,,,,,,,,,,,,
