ShortMessage,LongMessage,Class/SourceLine/0/Message,Class/SourceLine/0/_classname,Class/SourceLine/0/_sourcefile,Class/SourceLine/0/_sourcepath,Class/SourceLine/0/_relSourcepath,Class/Message,Class/_classname,Class/_primary,Method/SourceLine/0/_classname,Method/SourceLine/0/_start,Method/SourceLine/0/_end,Method/SourceLine/0/_startBytecode,Method/SourceLine/0/_endBytecode,Method/SourceLine/0/_sourcefile,Method/SourceLine/0/_sourcepath,Method/SourceLine/0/_relSourcepath,Method/Message,Method/_classname,Method/_name,Method/_signature,Method/_isStatic,Method/_primary,SourceLine/0/Message,SourceLine/0/_classname,SourceLine/0/_primary,SourceLine/0/_start,SourceLine/0/_end,SourceLine/0/_startBytecode,SourceLine/0/_endBytecode,SourceLine/0/_sourcefile,SourceLine/0/_sourcepath,SourceLine/0/_relSourcepath,SourceLine/1/Message,SourceLine/1/_classname,SourceLine/1/_start,SourceLine/1/_end,SourceLine/1/_startBytecode,SourceLine/1/_endBytecode,SourceLine/1/_sourcefile,SourceLine/1/_sourcepath,SourceLine/1/_relSourcepath,SourceLine/2/Message,SourceLine/2/_classname,SourceLine/2/_start,SourceLine/2/_end,SourceLine/2/_startBytecode,SourceLine/2/_endBytecode,SourceLine/2/_sourcefile,SourceLine/2/_sourcepath,SourceLine/2/_relSourcepath,SourceLine/3/Message,SourceLine/3/_classname,SourceLine/3/_start,SourceLine/3/_end,SourceLine/3/_startBytecode,SourceLine/3/_endBytecode,SourceLine/3/_sourcefile,SourceLine/3/_sourcepath,SourceLine/3/_relSourcepath,String/Message,String/_value,String/_role,_type,_priority,_rank,_abbrev,_category,_instanceHash,_instanceOccurrenceNum,_instanceOccurrenceMax,_cweid,SourceLine/0/_synthetic
Potential CRLF Injection for logs,This use of Logger.error(...) might be used to include CRLF characters into log messages,In AppStatesPreferenceCleaner.java,org.eclipse.che.api.user.server.AppStatesPreferenceCleaner,AppStatesPreferenceCleaner.java,org/eclipse/che/api/user/server/AppStatesPreferenceCleaner.java,org\eclipse\che\api\user\server\AppStatesPreferenceCleaner.java,In class org.eclipse.che.api.user.server.AppStatesPreferenceCleaner,org.eclipse.che.api.user.server.AppStatesPreferenceCleaner,true,org.eclipse.che.api.user.server.AppStatesPreferenceCleaner,64,91,0,512,AppStatesPreferenceCleaner.java,org/eclipse/che/api/user/server/AppStatesPreferenceCleaner.java,org\eclipse\che\api\user\server\AppStatesPreferenceCleaner.java,In method org.eclipse.che.api.user.server.AppStatesPreferenceCleaner.onEvent(WorkspaceRemovedEvent),org.eclipse.che.api.user.server.AppStatesPreferenceCleaner,onEvent,(Lorg/eclipse/che/api/workspace/shared/event/WorkspaceRemovedEvent;)V,false,true,At AppStatesPreferenceCleaner.java:[line 85],org.eclipse.che.api.user.server.AppStatesPreferenceCleaner,true,85,85,164,164,AppStatesPreferenceCleaner.java,org/eclipse/che/api/user/server/AppStatesPreferenceCleaner.java,org\eclipse\che\api\user\server\AppStatesPreferenceCleaner.java,At AppStatesPreferenceCleaner.java:[line 87],org.eclipse.che.api.user.server.AppStatesPreferenceCleaner,87,87,142,142,AppStatesPreferenceCleaner.java,org/eclipse/che/api/user/server/AppStatesPreferenceCleaner.java,org\eclipse\che\api\user\server\AppStatesPreferenceCleaner.java,At AppStatesPreferenceCleaner.java:[line 88],org.eclipse.che.api.user.server.AppStatesPreferenceCleaner,88,88,151,151,AppStatesPreferenceCleaner.java,org/eclipse/che/api/user/server/AppStatesPreferenceCleaner.java,org\eclipse\che\api\user\server\AppStatesPreferenceCleaner.java,At AppStatesPreferenceCleaner.java:[line 89],org.eclipse.che.api.user.server.AppStatesPreferenceCleaner,89,89,160,160,AppStatesPreferenceCleaner.java,org/eclipse/che/api/user/server/AppStatesPreferenceCleaner.java,org\eclipse\che\api\user\server\AppStatesPreferenceCleaner.java,Sink method Logger.error(...),Logger.error(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,c7ea03a2379ed27e3175adb3fb35107d,0,0,117,
Found JAX-RS REST endpoint,org.eclipse.che.api.user.server.ProfileService.org.eclipse.che.api.user.server.ProfileService.getById(String) is a REST Web Service endpoint,In ProfileService.java,org.eclipse.che.api.user.server.ProfileService,ProfileService.java,org/eclipse/che/api/user/server/ProfileService.java,org\eclipse\che\api\user\server\ProfileService.java,In class org.eclipse.che.api.user.server.ProfileService,org.eclipse.che.api.user.server.ProfileService,true,org.eclipse.che.api.user.server.ProfileService,90,90,0,90,ProfileService.java,org/eclipse/che/api/user/server/ProfileService.java,org\eclipse\che\api\user\server\ProfileService.java,In method org.eclipse.che.api.user.server.ProfileService.getById(String),org.eclipse.che.api.user.server.ProfileService,getById,(Ljava/lang/String;)Lorg/eclipse/che/api/user/shared/dto/ProfileDto;,false,true,At ProfileService.java:[line 90],org.eclipse.che.api.user.server.ProfileService,,90,90,0,90,ProfileService.java,org/eclipse/che/api/user/server/ProfileService.java,org\eclipse\che\api\user\server\ProfileService.java,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JAXRS_ENDPOINT,3,10,SECJRS,SECURITY,26a3bd7eeca35cc6e7cefa26b8b3606d,0,0,,true
Found JAX-RS REST endpoint,org.eclipse.che.api.user.server.ProfileService.org.eclipse.che.api.user.server.ProfileService.removeAttributes(List) is a REST Web Service endpoint,In ProfileService.java,org.eclipse.che.api.user.server.ProfileService,ProfileService.java,org/eclipse/che/api/user/server/ProfileService.java,org\eclipse\che\api\user\server\ProfileService.java,In class org.eclipse.che.api.user.server.ProfileService,org.eclipse.che.api.user.server.ProfileService,true,org.eclipse.che.api.user.server.ProfileService,164,172,0,198,ProfileService.java,org/eclipse/che/api/user/server/ProfileService.java,org\eclipse\che\api\user\server\ProfileService.java,In method org.eclipse.che.api.user.server.ProfileService.removeAttributes(List),org.eclipse.che.api.user.server.ProfileService,removeAttributes,(Ljava/util/List;)V,false,true,At ProfileService.java:[lines 164-172],org.eclipse.che.api.user.server.ProfileService,,164,172,0,198,ProfileService.java,org/eclipse/che/api/user/server/ProfileService.java,org\eclipse\che\api\user\server\ProfileService.java,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JAXRS_ENDPOINT,3,10,SECJRS,SECURITY,a21aa2119a6b557353afc18d38fe32a7,0,0,,true
Found JAX-RS REST endpoint,org.eclipse.che.api.user.server.ProfileService.org.eclipse.che.api.user.server.ProfileService.updateAttributes(Map) is a REST Web Service endpoint,In ProfileService.java,org.eclipse.che.api.user.server.ProfileService,ProfileService.java,org/eclipse/che/api/user/server/ProfileService.java,org\eclipse\che\api\user\server\ProfileService.java,In class org.eclipse.che.api.user.server.ProfileService,org.eclipse.che.api.user.server.ProfileService,true,org.eclipse.che.api.user.server.ProfileService,139,143,0,166,ProfileService.java,org/eclipse/che/api/user/server/ProfileService.java,org\eclipse\che\api\user\server\ProfileService.java,In method org.eclipse.che.api.user.server.ProfileService.updateAttributes(Map),org.eclipse.che.api.user.server.ProfileService,updateAttributes,(Ljava/util/Map;)Lorg/eclipse/che/api/user/shared/dto/ProfileDto;,false,true,At ProfileService.java:[lines 139-143],org.eclipse.che.api.user.server.ProfileService,,139,143,0,166,ProfileService.java,org/eclipse/che/api/user/server/ProfileService.java,org\eclipse\che\api\user\server\ProfileService.java,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JAXRS_ENDPOINT,3,10,SECJRS,SECURITY,bbc88b67b940125489a7a0a781a269ff,0,0,,true
Found JAX-RS REST endpoint,"org.eclipse.che.api.user.server.ProfileService.org.eclipse.che.api.user.server.ProfileService.updateAttributesById(String, Map) is a REST Web Service endpoint",In ProfileService.java,org.eclipse.che.api.user.server.ProfileService,ProfileService.java,org/eclipse/che/api/user/server/ProfileService.java,org\eclipse\che\api\user\server\ProfileService.java,In class org.eclipse.che.api.user.server.ProfileService,org.eclipse.che.api.user.server.ProfileService,true,org.eclipse.che.api.user.server.ProfileService,118,122,0,171,ProfileService.java,org/eclipse/che/api/user/server/ProfileService.java,org\eclipse\che\api\user\server\ProfileService.java,"In method org.eclipse.che.api.user.server.ProfileService.updateAttributesById(String, Map)",org.eclipse.che.api.user.server.ProfileService,updateAttributesById,(Ljava/lang/String;Ljava/util/Map;)Lorg/eclipse/che/api/user/shared/dto/ProfileDto;,false,true,At ProfileService.java:[lines 118-122],org.eclipse.che.api.user.server.ProfileService,,118,122,0,171,ProfileService.java,org/eclipse/che/api/user/server/ProfileService.java,org\eclipse\che\api\user\server\ProfileService.java,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JAXRS_ENDPOINT,3,10,SECJRS,SECURITY,7f90f8f7bd019d60743a1e1bd07104b5,0,0,,true
Found JAX-RS REST endpoint,"org.eclipse.che.api.user.server.UserService.org.eclipse.che.api.user.server.UserService.find(String, String) is a REST Web Service endpoint",In UserService.java,org.eclipse.che.api.user.server.UserService,UserService.java,org/eclipse/che/api/user/server/UserService.java,org\eclipse\che\api\user\server\UserService.java,In class org.eclipse.che.api.user.server.UserService,org.eclipse.che.api.user.server.UserService,true,org.eclipse.che.api.user.server.UserService,189,197,0,182,UserService.java,org/eclipse/che/api/user/server/UserService.java,org\eclipse\che\api\user\server\UserService.java,"In method org.eclipse.che.api.user.server.UserService.find(String, String)",org.eclipse.che.api.user.server.UserService,find,(Ljava/lang/String;Ljava/lang/String;)Lorg/eclipse/che/api/user/shared/dto/UserDto;,false,true,At UserService.java:[lines 189-197],org.eclipse.che.api.user.server.UserService,,189,197,0,182,UserService.java,org/eclipse/che/api/user/server/UserService.java,org\eclipse\che\api\user\server\UserService.java,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JAXRS_ENDPOINT,3,10,SECJRS,SECURITY,a120cd0e9e7b67e0b0273434e5e3beb0,0,0,,true
Found JAX-RS REST endpoint,org.eclipse.che.api.user.server.UserService.org.eclipse.che.api.user.server.UserService.getById(String) is a REST Web Service endpoint,In UserService.java,org.eclipse.che.api.user.server.UserService,UserService.java,org/eclipse/che/api/user/server/UserService.java,org\eclipse\che\api\user\server\UserService.java,In class org.eclipse.che.api.user.server.UserService,org.eclipse.che.api.user.server.UserService,true,org.eclipse.che.api.user.server.UserService,170,171,0,90,UserService.java,org/eclipse/che/api/user/server/UserService.java,org\eclipse\che\api\user\server\UserService.java,In method org.eclipse.che.api.user.server.UserService.getById(String),org.eclipse.che.api.user.server.UserService,getById,(Ljava/lang/String;)Lorg/eclipse/che/api/user/shared/dto/UserDto;,false,true,At UserService.java:[lines 170-171],org.eclipse.che.api.user.server.UserService,,170,171,0,90,UserService.java,org/eclipse/che/api/user/server/UserService.java,org\eclipse\che\api\user\server\UserService.java,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JAXRS_ENDPOINT,3,10,SECJRS,SECURITY,4892c65b663c38d9f8cd3307636513a6,0,0,,true
Found JAX-RS REST endpoint,org.eclipse.che.api.user.server.UserService.org.eclipse.che.api.user.server.UserService.getSettings() is a REST Web Service endpoint,In UserService.java,org.eclipse.che.api.user.server.UserService,UserService.java,org/eclipse/che/api/user/server/UserService.java,org\eclipse\che\api\user\server\UserService.java,In class org.eclipse.che.api.user.server.UserService,org.eclipse.che.api.user.server.UserService,true,org.eclipse.che.api.user.server.UserService,220,220,0,54,UserService.java,org/eclipse/che/api/user/server/UserService.java,org\eclipse\che\api\user\server\UserService.java,In method org.eclipse.che.api.user.server.UserService.getSettings(),org.eclipse.che.api.user.server.UserService,getSettings,()Ljava/util/Map;,false,true,At UserService.java:[line 220],org.eclipse.che.api.user.server.UserService,,220,220,0,54,UserService.java,org/eclipse/che/api/user/server/UserService.java,org\eclipse\che\api\user\server\UserService.java,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JAXRS_ENDPOINT,3,10,SECJRS,SECURITY,b81f0415a626dbc50b6eeb9a91a38b2b,0,0,,true
Found JAX-RS REST endpoint,org.eclipse.che.api.user.server.UserService.org.eclipse.che.api.user.server.UserService.remove(String) is a REST Web Service endpoint,In UserService.java,org.eclipse.che.api.user.server.UserService,UserService.java,org/eclipse/che/api/user/server/UserService.java,org\eclipse\che\api\user\server\UserService.java,In class org.eclipse.che.api.user.server.UserService,org.eclipse.che.api.user.server.UserService,true,org.eclipse.che.api.user.server.UserService,213,214,0,64,UserService.java,org/eclipse/che/api/user/server/UserService.java,org\eclipse\che\api\user\server\UserService.java,In method org.eclipse.che.api.user.server.UserService.remove(String),org.eclipse.che.api.user.server.UserService,remove,(Ljava/lang/String;)V,false,true,At UserService.java:[lines 213-214],org.eclipse.che.api.user.server.UserService,,213,214,0,64,UserService.java,org/eclipse/che/api/user/server/UserService.java,org\eclipse\che\api\user\server\UserService.java,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JAXRS_ENDPOINT,3,10,SECJRS,SECURITY,c3dcc55a3d1e0fae30dfcfe7ba02c15f,0,0,,true
Found JAX-RS REST endpoint,org.eclipse.che.api.user.server.UserService.org.eclipse.che.api.user.server.UserService.updatePassword(String) is a REST Web Service endpoint,In UserService.java,org.eclipse.che.api.user.server.UserService,UserService.java,org/eclipse/che/api/user/server/UserService.java,org\eclipse\che\api\user\server\UserService.java,In class org.eclipse.che.api.user.server.UserService,org.eclipse.che.api.user.server.UserService,true,org.eclipse.che.api.user.server.UserService,151,156,0,117,UserService.java,org/eclipse/che/api/user/server/UserService.java,org\eclipse\che\api\user\server\UserService.java,In method org.eclipse.che.api.user.server.UserService.updatePassword(String),org.eclipse.che.api.user.server.UserService,updatePassword,(Ljava/lang/String;)V,false,true,At UserService.java:[lines 151-156],org.eclipse.che.api.user.server.UserService,,151,156,0,117,UserService.java,org/eclipse/che/api/user/server/UserService.java,org\eclipse\che\api\user\server\UserService.java,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,JAXRS_ENDPOINT,3,10,SECJRS,SECURITY,40a910e36227d7196954ca73e7ba06ca,0,0,,true
