ShortMessage,LongMessage,Class/SourceLine/0/Message,Class/SourceLine/0/_classname,Class/SourceLine/0/_sourcefile,Class/SourceLine/0/_sourcepath,Class/SourceLine/0/_relSourcepath,Class/Message,Class/_classname,Class/_primary,Method/SourceLine/0/_classname,Method/SourceLine/0/_start,Method/SourceLine/0/_end,Method/SourceLine/0/_startBytecode,Method/SourceLine/0/_endBytecode,Method/SourceLine/0/_sourcefile,Method/SourceLine/0/_sourcepath,Method/SourceLine/0/_relSourcepath,Method/Message,Method/_classname,Method/_name,Method/_signature,Method/_isStatic,Method/_primary,SourceLine/0/Message,SourceLine/0/_classname,SourceLine/0/_primary,SourceLine/0/_start,SourceLine/0/_end,SourceLine/0/_startBytecode,SourceLine/0/_endBytecode,SourceLine/0/_sourcefile,SourceLine/0/_sourcepath,SourceLine/0/_relSourcepath,SourceLine/1/Message,SourceLine/1/_classname,SourceLine/1/_start,SourceLine/1/_end,SourceLine/1/_startBytecode,SourceLine/1/_endBytecode,SourceLine/1/_sourcefile,SourceLine/1/_sourcepath,SourceLine/1/_relSourcepath,String/0/Message,String/0/_value,String/0/_role,_type,_priority,_rank,_abbrev,_category,_instanceHash,_instanceOccurrenceNum,_instanceOccurrenceMax,_cweid,SourceLine/2/Message,SourceLine/2/_classname,SourceLine/2/_start,SourceLine/2/_end,SourceLine/2/_startBytecode,SourceLine/2/_endBytecode,SourceLine/2/_sourcefile,SourceLine/2/_sourcepath,SourceLine/2/_relSourcepath,SourceLine/3/Message,SourceLine/3/_classname,SourceLine/3/_start,SourceLine/3/_end,SourceLine/3/_startBytecode,SourceLine/3/_endBytecode,SourceLine/3/_sourcefile,SourceLine/3/_sourcepath,SourceLine/3/_relSourcepath,SourceLine/4/Message,SourceLine/4/_classname,SourceLine/4/_start,SourceLine/4/_end,SourceLine/4/_startBytecode,SourceLine/4/_endBytecode,SourceLine/4/_sourcefile,SourceLine/4/_sourcepath,SourceLine/4/_relSourcepath,String/1/Message,String/1/_value,String/1/_role,SourceLine/5/Message,SourceLine/5/_classname,SourceLine/5/_start,SourceLine/5/_end,SourceLine/5/_startBytecode,SourceLine/5/_endBytecode,SourceLine/5/_sourcefile,SourceLine/5/_sourcepath,SourceLine/5/_relSourcepath,SourceLine/6/Message,SourceLine/6/_classname,SourceLine/6/_start,SourceLine/6/_end,SourceLine/6/_startBytecode,SourceLine/6/_endBytecode,SourceLine/6/_sourcefile,SourceLine/6/_sourcepath,SourceLine/6/_relSourcepath,SourceLine/0/_synthetic
Potential CRLF Injection for logs,This use of Logger.warn(...) might be used to include CRLF characters into log messages,In TemporaryWorkspaceRemover.java,org.eclipse.che.api.workspace.server.TemporaryWorkspaceRemover,TemporaryWorkspaceRemover.java,org/eclipse/che/api/workspace/server/TemporaryWorkspaceRemover.java,java\org\eclipse\che\api\workspace\server\TemporaryWorkspaceRemover.java,In class org.eclipse.che.api.workspace.server.TemporaryWorkspaceRemover,org.eclipse.che.api.workspace.server.TemporaryWorkspaceRemover,true,org.eclipse.che.api.workspace.server.TemporaryWorkspaceRemover,53,57,0,128,TemporaryWorkspaceRemover.java,org/eclipse/che/api/workspace/server/TemporaryWorkspaceRemover.java,java\org\eclipse\che\api\workspace\server\TemporaryWorkspaceRemover.java,In method org.eclipse.che.api.workspace.server.TemporaryWorkspaceRemover.initialize(),org.eclipse.che.api.workspace.server.TemporaryWorkspaceRemover,initialize,()V,false,true,At TemporaryWorkspaceRemover.java:[line 55],org.eclipse.che.api.workspace.server.TemporaryWorkspaceRemover,true,55,55,34,34,TemporaryWorkspaceRemover.java,org/eclipse/che/api/workspace/server/TemporaryWorkspaceRemover.java,java\org\eclipse\che\api\workspace\server\TemporaryWorkspaceRemover.java,At TemporaryWorkspaceRemover.java:[line 55],org.eclipse.che.api.workspace.server.TemporaryWorkspaceRemover,55,55,30,30,TemporaryWorkspaceRemover.java,org/eclipse/che/api/workspace/server/TemporaryWorkspaceRemover.java,java\org\eclipse\che\api\workspace\server\TemporaryWorkspaceRemover.java,Sink method Logger.warn(...),Logger.warn(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,c05578f9756a302c047c9164d32c84a2,0,0,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.error(...) might be used to include CRLF characters into log messages,In TemporaryWorkspaceRemover.java,org.eclipse.che.api.workspace.server.TemporaryWorkspaceRemover,TemporaryWorkspaceRemover.java,org/eclipse/che/api/workspace/server/TemporaryWorkspaceRemover.java,java\org\eclipse\che\api\workspace\server\TemporaryWorkspaceRemover.java,In class org.eclipse.che.api.workspace.server.TemporaryWorkspaceRemover,org.eclipse.che.api.workspace.server.TemporaryWorkspaceRemover,true,org.eclipse.che.api.workspace.server.TemporaryWorkspaceRemover,70,84,0,260,TemporaryWorkspaceRemover.java,org/eclipse/che/api/workspace/server/TemporaryWorkspaceRemover.java,java\org\eclipse\che\api\workspace\server\TemporaryWorkspaceRemover.java,In method org.eclipse.che.api.workspace.server.TemporaryWorkspaceRemover.removeTemporaryWs(),org.eclipse.che.api.workspace.server.TemporaryWorkspaceRemover,removeTemporaryWs,()V,false,true,At TemporaryWorkspaceRemover.java:[line 77],org.eclipse.che.api.workspace.server.TemporaryWorkspaceRemover,true,77,77,86,86,TemporaryWorkspaceRemover.java,org/eclipse/che/api/workspace/server/TemporaryWorkspaceRemover.java,java\org\eclipse\che\api\workspace\server\TemporaryWorkspaceRemover.java,At TemporaryWorkspaceRemover.java:[line 80],org.eclipse.che.api.workspace.server.TemporaryWorkspaceRemover,80,80,83,83,TemporaryWorkspaceRemover.java,org/eclipse/che/api/workspace/server/TemporaryWorkspaceRemover.java,java\org\eclipse\che\api\workspace\server\TemporaryWorkspaceRemover.java,Sink method Logger.error(...),Logger.error(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,2939ac547f77471e9d6d6dc6fec5dc32,0,0,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.warn(...) might be used to include CRLF characters into log messages,In TemporaryWorkspaceRemover.java,org.eclipse.che.api.workspace.server.TemporaryWorkspaceRemover,TemporaryWorkspaceRemover.java,org/eclipse/che/api/workspace/server/TemporaryWorkspaceRemover.java,java\org\eclipse\che\api\workspace\server\TemporaryWorkspaceRemover.java,In class org.eclipse.che.api.workspace.server.TemporaryWorkspaceRemover,org.eclipse.che.api.workspace.server.TemporaryWorkspaceRemover,true,org.eclipse.che.api.workspace.server.TemporaryWorkspaceRemover,61,65,0,128,TemporaryWorkspaceRemover.java,org/eclipse/che/api/workspace/server/TemporaryWorkspaceRemover.java,java\org\eclipse\che\api\workspace\server\TemporaryWorkspaceRemover.java,In method org.eclipse.che.api.workspace.server.TemporaryWorkspaceRemover.shutdown(),org.eclipse.che.api.workspace.server.TemporaryWorkspaceRemover,shutdown,()V,false,true,At TemporaryWorkspaceRemover.java:[line 63],org.eclipse.che.api.workspace.server.TemporaryWorkspaceRemover,true,63,63,34,34,TemporaryWorkspaceRemover.java,org/eclipse/che/api/workspace/server/TemporaryWorkspaceRemover.java,java\org\eclipse\che\api\workspace\server\TemporaryWorkspaceRemover.java,At TemporaryWorkspaceRemover.java:[line 63],org.eclipse.che.api.workspace.server.TemporaryWorkspaceRemover,63,63,30,30,TemporaryWorkspaceRemover.java,org/eclipse/che/api/workspace/server/TemporaryWorkspaceRemover.java,java\org\eclipse\che\api\workspace\server\TemporaryWorkspaceRemover.java,Sink method Logger.warn(...),Logger.warn(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,c326bcbf5f088383a599a9d7d9640797,0,0,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.info(...) might be used to include CRLF characters into log messages,In WorkspaceManager.java,org.eclipse.che.api.workspace.server.WorkspaceManager,WorkspaceManager.java,org/eclipse/che/api/workspace/server/WorkspaceManager.java,java\org\eclipse\che\api\workspace\server\WorkspaceManager.java,In class org.eclipse.che.api.workspace.server.WorkspaceManager,org.eclipse.che.api.workspace.server.WorkspaceManager,true,org.eclipse.che.api.workspace.server.WorkspaceManager,585,614,0,495,WorkspaceManager.java,org/eclipse/che/api/workspace/server/WorkspaceManager.java,java\org\eclipse\che\api\workspace\server\WorkspaceManager.java,"In method org.eclipse.che.api.workspace.server.WorkspaceManager.doCreateWorkspace(WorkspaceConfig, Devfile, Account, Map, boolean)",org.eclipse.che.api.workspace.server.WorkspaceManager,doCreateWorkspace,(Lorg/eclipse/che/api/core/model/workspace/WorkspaceConfig;Lorg/eclipse/che/api/core/model/workspace/devfile/Devfile;Lorg/eclipse/che/account/shared/model/Account;Ljava/util/Map;Z)Lorg/eclipse/che/api/workspace/server/model/impl/WorkspaceImpl;,false,true,At WorkspaceManager.java:[line 607],org.eclipse.che.api.workspace.server.WorkspaceManager,true,607,607,181,181,WorkspaceManager.java,org/eclipse/che/api/workspace/server/WorkspaceManager.java,java\org\eclipse\che\api\workspace\server\WorkspaceManager.java,At WorkspaceManager.java:[line 609],org.eclipse.che.api.workspace.server.WorkspaceManager,609,609,152,152,WorkspaceManager.java,org/eclipse/che/api/workspace/server/WorkspaceManager.java,java\org\eclipse\che\api\workspace\server\WorkspaceManager.java,Sink method Logger.info(...),Logger.info(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,6c7837b4de7001d5584ada04efbb9aa,0,0,117,At WorkspaceManager.java:[line 610],org.eclipse.che.api.workspace.server.WorkspaceManager,610,610,162,162,WorkspaceManager.java,org/eclipse/che/api/workspace/server/WorkspaceManager.java,java\org\eclipse\che\api\workspace\server\WorkspaceManager.java,At WorkspaceManager.java:[line 611],org.eclipse.che.api.workspace.server.WorkspaceManager,611,611,170,170,WorkspaceManager.java,org/eclipse/che/api/workspace/server/WorkspaceManager.java,java\org\eclipse\che\api\workspace\server\WorkspaceManager.java,At WorkspaceManager.java:[line 612],org.eclipse.che.api.workspace.server.WorkspaceManager,612,612,177,177,WorkspaceManager.java,org/eclipse/che/api/workspace/server/WorkspaceManager.java,java\org\eclipse\che\api\workspace\server\WorkspaceManager.java,,,,,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.warn(...) might be used to include CRLF characters into log messages,In WorkspaceManager.java,org.eclipse.che.api.workspace.server.WorkspaceManager,WorkspaceManager.java,org/eclipse/che/api/workspace/server/WorkspaceManager.java,java\org\eclipse\che\api\workspace\server\WorkspaceManager.java,In class org.eclipse.che.api.workspace.server.WorkspaceManager,org.eclipse.che.api.workspace.server.WorkspaceManager,true,org.eclipse.che.api.workspace.server.WorkspaceManager,530,545,0,363,WorkspaceManager.java,org/eclipse/che/api/workspace/server/WorkspaceManager.java,java\org\eclipse\che\api\workspace\server\WorkspaceManager.java,"In method org.eclipse.che.api.workspace.server.WorkspaceManager.handleStartupError(String, Throwable)",org.eclipse.che.api.workspace.server.WorkspaceManager,handleStartupError,(Ljava/lang/String;Ljava/lang/Throwable;)V,false,true,At WorkspaceManager.java:[line 540],org.eclipse.che.api.workspace.server.WorkspaceManager,true,540,540,115,115,WorkspaceManager.java,org/eclipse/che/api/workspace/server/WorkspaceManager.java,java\org\eclipse\che\api\workspace\server\WorkspaceManager.java,At WorkspaceManager.java:[line 472],org.eclipse.che.api.workspace.server.WorkspaceManager,472,472,27,27,WorkspaceManager.java,org/eclipse/che/api/workspace/server/WorkspaceManager.java,java\org\eclipse\che\api\workspace\server\WorkspaceManager.java,Sink method Logger.warn(...),Logger.warn(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,b3cdc3e28651a5045fa60a4dadff8474,0,0,117,At WorkspaceManager.java:[line 541],org.eclipse.che.api.workspace.server.WorkspaceManager,541,541,112,112,WorkspaceManager.java,org/eclipse/che/api/workspace/server/WorkspaceManager.java,java\org\eclipse\che\api\workspace\server\WorkspaceManager.java,At WorkspaceManager.java:[line 543],org.eclipse.che.api.workspace.server.WorkspaceManager,543,543,108,108,WorkspaceManager.java,org/eclipse/che/api/workspace/server/WorkspaceManager.java,java\org\eclipse\che\api\workspace\server\WorkspaceManager.java,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.warn(...) might be used to include CRLF characters into log messages,In WorkspaceManager.java,org.eclipse.che.api.workspace.server.WorkspaceManager,WorkspaceManager.java,org/eclipse/che/api/workspace/server/WorkspaceManager.java,java\org\eclipse\che\api\workspace\server\WorkspaceManager.java,In class org.eclipse.che.api.workspace.server.WorkspaceManager,org.eclipse.che.api.workspace.server.WorkspaceManager,true,org.eclipse.che.api.workspace.server.WorkspaceManager,550,563,0,242,WorkspaceManager.java,org/eclipse/che/api/workspace/server/WorkspaceManager.java,java\org\eclipse\che\api\workspace\server\WorkspaceManager.java,In method org.eclipse.che.api.workspace.server.WorkspaceManager.handleStartupSuccess(String),org.eclipse.che.api.workspace.server.WorkspaceManager,handleStartupSuccess,(Ljava/lang/String;)V,false,true,At WorkspaceManager.java:[line 558],org.eclipse.che.api.workspace.server.WorkspaceManager,true,558,558,84,84,WorkspaceManager.java,org/eclipse/che/api/workspace/server/WorkspaceManager.java,java\org\eclipse\che\api\workspace\server\WorkspaceManager.java,At WorkspaceManager.java:[line 466],org.eclipse.che.api.workspace.server.WorkspaceManager,466,466,5,5,WorkspaceManager.java,org/eclipse/che/api/workspace/server/WorkspaceManager.java,java\org\eclipse\che\api\workspace\server\WorkspaceManager.java,Sink method Logger.warn(...),Logger.warn(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,2bb4617e55ad7c48ff111e84b4495438,0,0,117,At WorkspaceManager.java:[line 559],org.eclipse.che.api.workspace.server.WorkspaceManager,559,559,81,81,WorkspaceManager.java,org/eclipse/che/api/workspace/server/WorkspaceManager.java,java\org\eclipse\che\api\workspace\server\WorkspaceManager.java,At WorkspaceManager.java:[line 561],org.eclipse.che.api.workspace.server.WorkspaceManager,561,561,77,77,WorkspaceManager.java,org/eclipse/che/api/workspace/server/WorkspaceManager.java,java\org\eclipse\che\api\workspace\server\WorkspaceManager.java,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.info(...) might be used to include CRLF characters into log messages,In WorkspaceManager.java,org.eclipse.che.api.workspace.server.WorkspaceManager,WorkspaceManager.java,org/eclipse/che/api/workspace/server/WorkspaceManager.java,java\org\eclipse\che\api\workspace\server\WorkspaceManager.java,In class org.eclipse.che.api.workspace.server.WorkspaceManager,org.eclipse.che.api.workspace.server.WorkspaceManager,true,org.eclipse.che.api.workspace.server.WorkspaceManager,344,355,0,191,WorkspaceManager.java,org/eclipse/che/api/workspace/server/WorkspaceManager.java,java\org\eclipse\che\api\workspace\server\WorkspaceManager.java,In method org.eclipse.che.api.workspace.server.WorkspaceManager.removeWorkspace(String),org.eclipse.che.api.workspace.server.WorkspaceManager,removeWorkspace,(Ljava/lang/String;)V,false,true,At WorkspaceManager.java:[line 354],org.eclipse.che.api.workspace.server.WorkspaceManager,true,354,354,69,69,WorkspaceManager.java,org/eclipse/che/api/workspace/server/WorkspaceManager.java,java\org\eclipse\che\api\workspace\server\WorkspaceManager.java,At WorkspaceManager.java:[line 354],org.eclipse.che.api.workspace.server.WorkspaceManager,354,354,66,66,WorkspaceManager.java,org/eclipse/che/api/workspace/server/WorkspaceManager.java,java\org\eclipse\che\api\workspace\server\WorkspaceManager.java,Sink method Logger.info(...),Logger.info(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,1e6cf4f0cbcf620d7ff0fa89d0408bfc,0,0,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.error(...) might be used to include CRLF characters into log messages,In WorkspaceManager.java,org.eclipse.che.api.workspace.server.WorkspaceManager,WorkspaceManager.java,org/eclipse/che/api/workspace/server/WorkspaceManager.java,java\org\eclipse\che\api\workspace\server\WorkspaceManager.java,In class org.eclipse.che.api.workspace.server.WorkspaceManager,org.eclipse.che.api.workspace.server.WorkspaceManager,true,org.eclipse.che.api.workspace.server.WorkspaceManager,500,507,0,138,WorkspaceManager.java,org/eclipse/che/api/workspace/server/WorkspaceManager.java,java\org\eclipse\che\api\workspace\server\WorkspaceManager.java,In method org.eclipse.che.api.workspace.server.WorkspaceManager.removeWorkspaceQuietly(String),org.eclipse.che.api.workspace.server.WorkspaceManager,removeWorkspaceQuietly,(Ljava/lang/String;)V,false,true,At WorkspaceManager.java:[line 502],org.eclipse.che.api.workspace.server.WorkspaceManager,true,502,502,26,26,WorkspaceManager.java,org/eclipse/che/api/workspace/server/WorkspaceManager.java,java\org\eclipse\che\api\workspace\server\WorkspaceManager.java,At WorkspaceManager.java:[line 505],org.eclipse.che.api.workspace.server.WorkspaceManager,505,505,23,23,WorkspaceManager.java,org/eclipse/che/api/workspace/server/WorkspaceManager.java,java\org\eclipse\che\api\workspace\server\WorkspaceManager.java,Sink method Logger.error(...),Logger.error(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,8cfbca01f7052ab1a5fc574e59f5c160,0,0,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.info(...) might be used to include CRLF characters into log messages,In WorkspaceRuntimes.java,org.eclipse.che.api.workspace.server.WorkspaceRuntimes,WorkspaceRuntimes.java,org/eclipse/che/api/workspace/server/WorkspaceRuntimes.java,java\org\eclipse\che\api\workspace\server\WorkspaceRuntimes.java,In class org.eclipse.che.api.workspace.server.WorkspaceRuntimes,org.eclipse.che.api.workspace.server.WorkspaceRuntimes,true,org.eclipse.che.api.workspace.server.WorkspaceRuntimes,162,184,0,464,WorkspaceRuntimes.java,org/eclipse/che/api/workspace/server/WorkspaceRuntimes.java,java\org\eclipse\che\api\workspace\server\WorkspaceRuntimes.java,"In method new org.eclipse.che.api.workspace.server.WorkspaceRuntimes(EventService, Map, RuntimeInfrastructure, WorkspaceSharedPool, WorkspaceDao, DBInitializer, ProbeScheduler, WorkspaceStatusCache, WorkspaceLockService, DevfileConverter)",org.eclipse.che.api.workspace.server.WorkspaceRuntimes,<init>,(Lorg/eclipse/che/api/core/notification/EventService;Ljava/util/Map;Lorg/eclipse/che/api/workspace/server/spi/RuntimeInfrastructure;Lorg/eclipse/che/api/workspace/server/WorkspaceSharedPool;Lorg/eclipse/che/api/workspace/server/spi/WorkspaceDao;Lorg/eclipse/che/core/db/DBInitializer;Lorg/eclipse/che/api/workspace/server/hc/probe/ProbeScheduler;Lorg/eclipse/che/api/workspace/server/WorkspaceStatusCache;Lorg/eclipse/che/api/workspace/server/WorkspaceLockService;Lorg/eclipse/che/api/workspace/server/devfile/convert/DevfileConverter;)V,false,true,At WorkspaceRuntimes.java:[line 174],org.eclipse.che.api.workspace.server.WorkspaceRuntimes,true,174,174,92,92,WorkspaceRuntimes.java,org/eclipse/che/api/workspace/server/WorkspaceRuntimes.java,java\org\eclipse\che\api\workspace\server\WorkspaceRuntimes.java,At WorkspaceRuntimes.java:[line 137],org.eclipse.che.api.workspace.server.WorkspaceRuntimes,137,137,19,19,WorkspaceRuntimes.java,org/eclipse/che/api/workspace/server/WorkspaceRuntimes.java,java\org\eclipse\che\api\workspace\server\WorkspaceRuntimes.java,Sink method Logger.info(...),Logger.info(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,e5430d952fde525f1daab1ed206d2954,0,0,117,At WorkspaceRuntimes.java:[line 171],org.eclipse.che.api.workspace.server.WorkspaceRuntimes,171,171,63,63,WorkspaceRuntimes.java,org/eclipse/che/api/workspace/server/WorkspaceRuntimes.java,java\org\eclipse\che\api\workspace\server\WorkspaceRuntimes.java,At WorkspaceRuntimes.java:[line 174],org.eclipse.che.api.workspace.server.WorkspaceRuntimes,174,174,87,87,WorkspaceRuntimes.java,org/eclipse/che/api/workspace/server/WorkspaceRuntimes.java,java\org\eclipse\che\api\workspace\server\WorkspaceRuntimes.java,,,,,,,,,,Method usage not detected,not detected,Method usage,,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.info(...) might be used to include CRLF characters into log messages,In WorkspaceRuntimes.java,org.eclipse.che.api.workspace.server.WorkspaceRuntimes,WorkspaceRuntimes.java,org/eclipse/che/api/workspace/server/WorkspaceRuntimes.java,java\org\eclipse\che\api\workspace\server\WorkspaceRuntimes.java,In class org.eclipse.che.api.workspace.server.WorkspaceRuntimes,org.eclipse.che.api.workspace.server.WorkspaceRuntimes,true,org.eclipse.che.api.workspace.server.WorkspaceRuntimes,162,184,0,464,WorkspaceRuntimes.java,org/eclipse/che/api/workspace/server/WorkspaceRuntimes.java,java\org\eclipse\che\api\workspace\server\WorkspaceRuntimes.java,"In method new org.eclipse.che.api.workspace.server.WorkspaceRuntimes(EventService, Map, RuntimeInfrastructure, WorkspaceSharedPool, WorkspaceDao, DBInitializer, ProbeScheduler, WorkspaceStatusCache, WorkspaceLockService, DevfileConverter)",org.eclipse.che.api.workspace.server.WorkspaceRuntimes,<init>,(Lorg/eclipse/che/api/core/notification/EventService;Ljava/util/Map;Lorg/eclipse/che/api/workspace/server/spi/RuntimeInfrastructure;Lorg/eclipse/che/api/workspace/server/WorkspaceSharedPool;Lorg/eclipse/che/api/workspace/server/spi/WorkspaceDao;Lorg/eclipse/che/core/db/DBInitializer;Lorg/eclipse/che/api/workspace/server/hc/probe/ProbeScheduler;Lorg/eclipse/che/api/workspace/server/WorkspaceStatusCache;Lorg/eclipse/che/api/workspace/server/WorkspaceLockService;Lorg/eclipse/che/api/workspace/server/devfile/convert/DevfileConverter;)V,false,true,At WorkspaceRuntimes.java:[line 175],org.eclipse.che.api.workspace.server.WorkspaceRuntimes,true,175,175,106,106,WorkspaceRuntimes.java,org/eclipse/che/api/workspace/server/WorkspaceRuntimes.java,java\org\eclipse\che\api\workspace\server\WorkspaceRuntimes.java,At WorkspaceRuntimes.java:[line 175],org.eclipse.che.api.workspace.server.WorkspaceRuntimes,175,175,103,103,WorkspaceRuntimes.java,org/eclipse/che/api/workspace/server/WorkspaceRuntimes.java,java\org\eclipse\che\api\workspace\server\WorkspaceRuntimes.java,Sink method Logger.info(...),Logger.info(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,416bc3ad49f1ba99c68bd9ca7afea43e,0,0,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
