ShortMessage,LongMessage,Class/SourceLine/0/Message,Class/SourceLine/0/_classname,Class/SourceLine/0/_sourcefile,Class/SourceLine/0/_sourcepath,Class/SourceLine/0/_relSourcepath,Class/Message,Class/_classname,Class/_primary,Method/SourceLine/0/_classname,Method/SourceLine/0/_start,Method/SourceLine/0/_end,Method/SourceLine/0/_startBytecode,Method/SourceLine/0/_endBytecode,Method/SourceLine/0/_sourcefile,Method/SourceLine/0/_sourcepath,Method/SourceLine/0/_relSourcepath,Method/Message,Method/_classname,Method/_name,Method/_signature,Method/_isStatic,Method/_primary,SourceLine/0/Message,SourceLine/0/_classname,SourceLine/0/_primary,SourceLine/0/_start,SourceLine/0/_end,SourceLine/0/_startBytecode,SourceLine/0/_endBytecode,SourceLine/0/_sourcefile,SourceLine/0/_sourcepath,SourceLine/0/_relSourcepath,SourceLine/1/Message,SourceLine/1/_classname,SourceLine/1/_start,SourceLine/1/_end,SourceLine/1/_startBytecode,SourceLine/1/_endBytecode,SourceLine/1/_sourcefile,SourceLine/1/_sourcepath,SourceLine/1/_relSourcepath,SourceLine/2/Message,SourceLine/2/_classname,SourceLine/2/_start,SourceLine/2/_end,SourceLine/2/_startBytecode,SourceLine/2/_endBytecode,SourceLine/2/_sourcefile,SourceLine/2/_sourcepath,SourceLine/2/_relSourcepath,String/Message,String/_value,String/_role,_type,_priority,_rank,_abbrev,_category,_instanceHash,_instanceOccurrenceNum,_instanceOccurrenceMax,_cweid,SourceLine/3/Message,SourceLine/3/_classname,SourceLine/3/_start,SourceLine/3/_end,SourceLine/3/_startBytecode,SourceLine/3/_endBytecode,SourceLine/3/_sourcefile,SourceLine/3/_sourcepath,SourceLine/3/_relSourcepath,SourceLine/4/Message,SourceLine/4/_classname,SourceLine/4/_start,SourceLine/4/_end,SourceLine/4/_startBytecode,SourceLine/4/_endBytecode,SourceLine/4/_sourcefile,SourceLine/4/_sourcepath,SourceLine/4/_relSourcepath,SourceLine/5/Message,SourceLine/5/_classname,SourceLine/5/_start,SourceLine/5/_end,SourceLine/5/_startBytecode,SourceLine/5/_endBytecode,SourceLine/5/_sourcefile,SourceLine/5/_sourcepath,SourceLine/5/_relSourcepath,SourceLine/0/_synthetic
Potential CRLF Injection for logs,This use of Logger.error(...) might be used to include CRLF characters into log messages,In WorkspaceActivityChecker.java,org.eclipse.che.api.workspace.activity.WorkspaceActivityChecker,WorkspaceActivityChecker.java,org/eclipse/che/api/workspace/activity/WorkspaceActivityChecker.java,org\eclipse\che\api\workspace\activity\WorkspaceActivityChecker.java,In class org.eclipse.che.api.workspace.activity.WorkspaceActivityChecker,org.eclipse.che.api.workspace.activity.WorkspaceActivityChecker,true,org.eclipse.che.api.workspace.activity.WorkspaceActivityChecker,134,145,0,214,WorkspaceActivityChecker.java,org/eclipse/che/api/workspace/activity/WorkspaceActivityChecker.java,org\eclipse\che\api\workspace\activity\WorkspaceActivityChecker.java,In method org.eclipse.che.api.workspace.activity.WorkspaceActivityChecker.checkActivityRecordsValidity(),org.eclipse.che.api.workspace.activity.WorkspaceActivityChecker,checkActivityRecordsValidity,()V,false,true,At WorkspaceActivityChecker.java:[line 138],org.eclipse.che.api.workspace.activity.WorkspaceActivityChecker,true,138,138,65,65,WorkspaceActivityChecker.java,org/eclipse/che/api/workspace/activity/WorkspaceActivityChecker.java,org\eclipse\che\api\workspace\activity\WorkspaceActivityChecker.java,At WorkspaceActivityChecker.java:[line 134],org.eclipse.che.api.workspace.activity.WorkspaceActivityChecker,134,134,7,7,WorkspaceActivityChecker.java,org/eclipse/che/api/workspace/activity/WorkspaceActivityChecker.java,org\eclipse\che\api\workspace\activity\WorkspaceActivityChecker.java,At WorkspaceActivityChecker.java:[line 141],org.eclipse.che.api.workspace.activity.WorkspaceActivityChecker,141,141,57,57,WorkspaceActivityChecker.java,org/eclipse/che/api/workspace/activity/WorkspaceActivityChecker.java,org\eclipse\che\api\workspace\activity\WorkspaceActivityChecker.java,Sink method Logger.error(...),Logger.error(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,491a92490d30d3bdf562cf665e9e712,0,0,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.warn(...) might be used to include CRLF characters into log messages,In WorkspaceActivityChecker.java,org.eclipse.che.api.workspace.activity.WorkspaceActivityChecker,WorkspaceActivityChecker.java,org/eclipse/che/api/workspace/activity/WorkspaceActivityChecker.java,org\eclipse\che\api\workspace\activity\WorkspaceActivityChecker.java,In class org.eclipse.che.api.workspace.activity.WorkspaceActivityChecker,org.eclipse.che.api.workspace.activity.WorkspaceActivityChecker,true,org.eclipse.che.api.workspace.activity.WorkspaceActivityChecker,213,252,0,489,WorkspaceActivityChecker.java,org/eclipse/che/api/workspace/activity/WorkspaceActivityChecker.java,org\eclipse\che\api\workspace\activity\WorkspaceActivityChecker.java,"In method org.eclipse.che.api.workspace.activity.WorkspaceActivityChecker.createMissingActivityRecord(String, long)",org.eclipse.che.api.workspace.activity.WorkspaceActivityChecker,createMissingActivityRecord,(Ljava/lang/String;J)V,false,true,At WorkspaceActivityChecker.java:[line 213],org.eclipse.che.api.workspace.activity.WorkspaceActivityChecker,true,213,213,7,7,WorkspaceActivityChecker.java,org/eclipse/che/api/workspace/activity/WorkspaceActivityChecker.java,org\eclipse\che\api\workspace\activity\WorkspaceActivityChecker.java,At WorkspaceActivityChecker.java:[line 134],org.eclipse.che.api.workspace.activity.WorkspaceActivityChecker,134,134,7,7,WorkspaceActivityChecker.java,org/eclipse/che/api/workspace/activity/WorkspaceActivityChecker.java,org\eclipse\che\api\workspace\activity\WorkspaceActivityChecker.java,At WorkspaceActivityChecker.java:[line 136],org.eclipse.che.api.workspace.activity.WorkspaceActivityChecker,136,136,34,34,WorkspaceActivityChecker.java,org/eclipse/che/api/workspace/activity/WorkspaceActivityChecker.java,org\eclipse\che\api\workspace\activity\WorkspaceActivityChecker.java,Sink method Logger.warn(...),Logger.warn(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,7bf2043269d42194410821833fea2f75,0,0,117,At WorkspaceActivityChecker.java:[line 153],org.eclipse.che.api.workspace.activity.WorkspaceActivityChecker,153,153,27,27,WorkspaceActivityChecker.java,org/eclipse/che/api/workspace/activity/WorkspaceActivityChecker.java,org\eclipse\che\api\workspace\activity\WorkspaceActivityChecker.java,,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.error(...) might be used to include CRLF characters into log messages,In WorkspaceActivityChecker.java,org.eclipse.che.api.workspace.activity.WorkspaceActivityChecker,WorkspaceActivityChecker.java,org/eclipse/che/api/workspace/activity/WorkspaceActivityChecker.java,org\eclipse\che\api\workspace\activity\WorkspaceActivityChecker.java,In class org.eclipse.che.api.workspace.activity.WorkspaceActivityChecker,org.eclipse.che.api.workspace.activity.WorkspaceActivityChecker,true,org.eclipse.che.api.workspace.activity.WorkspaceActivityChecker,213,252,0,489,WorkspaceActivityChecker.java,org/eclipse/che/api/workspace/activity/WorkspaceActivityChecker.java,org\eclipse\che\api\workspace\activity\WorkspaceActivityChecker.java,"In method org.eclipse.che.api.workspace.activity.WorkspaceActivityChecker.createMissingActivityRecord(String, long)",org.eclipse.che.api.workspace.activity.WorkspaceActivityChecker,createMissingActivityRecord,(Ljava/lang/String;J)V,false,true,At WorkspaceActivityChecker.java:[line 224],org.eclipse.che.api.workspace.activity.WorkspaceActivityChecker,true,224,224,59,59,WorkspaceActivityChecker.java,org/eclipse/che/api/workspace/activity/WorkspaceActivityChecker.java,org\eclipse\che\api\workspace\activity\WorkspaceActivityChecker.java,,,,,,,,,,,,,,,,,,,Sink method Logger.error(...),Logger.error(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,807a07ab29f0d42a44a755d90d0a0f36,0,1,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.error(...) might be used to include CRLF characters into log messages,In WorkspaceActivityChecker.java,org.eclipse.che.api.workspace.activity.WorkspaceActivityChecker,WorkspaceActivityChecker.java,org/eclipse/che/api/workspace/activity/WorkspaceActivityChecker.java,org\eclipse\che\api\workspace\activity\WorkspaceActivityChecker.java,In class org.eclipse.che.api.workspace.activity.WorkspaceActivityChecker,org.eclipse.che.api.workspace.activity.WorkspaceActivityChecker,true,org.eclipse.che.api.workspace.activity.WorkspaceActivityChecker,213,252,0,489,WorkspaceActivityChecker.java,org/eclipse/che/api/workspace/activity/WorkspaceActivityChecker.java,org\eclipse\che\api\workspace\activity\WorkspaceActivityChecker.java,"In method org.eclipse.che.api.workspace.activity.WorkspaceActivityChecker.createMissingActivityRecord(String, long)",org.eclipse.che.api.workspace.activity.WorkspaceActivityChecker,createMissingActivityRecord,(Ljava/lang/String;J)V,false,true,At WorkspaceActivityChecker.java:[line 245],org.eclipse.che.api.workspace.activity.WorkspaceActivityChecker,true,245,245,163,163,WorkspaceActivityChecker.java,org/eclipse/che/api/workspace/activity/WorkspaceActivityChecker.java,org\eclipse\che\api\workspace\activity\WorkspaceActivityChecker.java,,,,,,,,,,,,,,,,,,,Sink method Logger.error(...),Logger.error(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,807a07ab29f0d42a44a755d90d0a0f36,1,1,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.debug(...) might be used to include CRLF characters into log messages,In WorkspaceActivityChecker.java,org.eclipse.che.api.workspace.activity.WorkspaceActivityChecker,WorkspaceActivityChecker.java,org/eclipse/che/api/workspace/activity/WorkspaceActivityChecker.java,org\eclipse\che\api\workspace\activity\WorkspaceActivityChecker.java,In class org.eclipse.che.api.workspace.activity.WorkspaceActivityChecker,org.eclipse.che.api.workspace.activity.WorkspaceActivityChecker,true,org.eclipse.che.api.workspace.activity.WorkspaceActivityChecker,213,252,0,489,WorkspaceActivityChecker.java,org/eclipse/che/api/workspace/activity/WorkspaceActivityChecker.java,org\eclipse\che\api\workspace\activity\WorkspaceActivityChecker.java,"In method org.eclipse.che.api.workspace.activity.WorkspaceActivityChecker.createMissingActivityRecord(String, long)",org.eclipse.che.api.workspace.activity.WorkspaceActivityChecker,createMissingActivityRecord,(Ljava/lang/String;J)V,false,true,At WorkspaceActivityChecker.java:[line 247],org.eclipse.che.api.workspace.activity.WorkspaceActivityChecker,true,247,247,180,180,WorkspaceActivityChecker.java,org/eclipse/che/api/workspace/activity/WorkspaceActivityChecker.java,org\eclipse\che\api\workspace\activity\WorkspaceActivityChecker.java,At WorkspaceActivityChecker.java:[line 134],org.eclipse.che.api.workspace.activity.WorkspaceActivityChecker,134,134,7,7,WorkspaceActivityChecker.java,org/eclipse/che/api/workspace/activity/WorkspaceActivityChecker.java,org\eclipse\che\api\workspace\activity\WorkspaceActivityChecker.java,At WorkspaceActivityChecker.java:[line 136],org.eclipse.che.api.workspace.activity.WorkspaceActivityChecker,136,136,34,34,WorkspaceActivityChecker.java,org/eclipse/che/api/workspace/activity/WorkspaceActivityChecker.java,org\eclipse\che\api\workspace\activity\WorkspaceActivityChecker.java,Sink method Logger.debug(...),Logger.debug(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,ce9496d99b71cfbecb450a90d3e80b34,0,0,117,At WorkspaceActivityChecker.java:[line 153],org.eclipse.che.api.workspace.activity.WorkspaceActivityChecker,153,153,27,27,WorkspaceActivityChecker.java,org/eclipse/che/api/workspace/activity/WorkspaceActivityChecker.java,org\eclipse\che\api\workspace\activity\WorkspaceActivityChecker.java,,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.error(...) might be used to include CRLF characters into log messages,In WorkspaceActivityChecker.java,org.eclipse.che.api.workspace.activity.WorkspaceActivityChecker,WorkspaceActivityChecker.java,org/eclipse/che/api/workspace/activity/WorkspaceActivityChecker.java,org\eclipse\che\api\workspace\activity\WorkspaceActivityChecker.java,In class org.eclipse.che.api.workspace.activity.WorkspaceActivityChecker,org.eclipse.che.api.workspace.activity.WorkspaceActivityChecker,true,org.eclipse.che.api.workspace.activity.WorkspaceActivityChecker,180,194,0,288,WorkspaceActivityChecker.java,org/eclipse/che/api/workspace/activity/WorkspaceActivityChecker.java,org\eclipse\che\api\workspace\activity\WorkspaceActivityChecker.java,In method org.eclipse.che.api.workspace.activity.WorkspaceActivityChecker.reconcileActivityStatuses(),org.eclipse.che.api.workspace.activity.WorkspaceActivityChecker,reconcileActivityStatuses,()V,false,true,At WorkspaceActivityChecker.java:[line 184],org.eclipse.che.api.workspace.activity.WorkspaceActivityChecker,true,184,184,81,81,WorkspaceActivityChecker.java,org/eclipse/che/api/workspace/activity/WorkspaceActivityChecker.java,org\eclipse\che\api\workspace\activity\WorkspaceActivityChecker.java,At WorkspaceActivityChecker.java:[line 186],org.eclipse.che.api.workspace.activity.WorkspaceActivityChecker,186,186,66,66,WorkspaceActivityChecker.java,org/eclipse/che/api/workspace/activity/WorkspaceActivityChecker.java,org\eclipse\che\api\workspace\activity\WorkspaceActivityChecker.java,At WorkspaceActivityChecker.java:[line 187],org.eclipse.che.api.workspace.activity.WorkspaceActivityChecker,187,187,73,73,WorkspaceActivityChecker.java,org/eclipse/che/api/workspace/activity/WorkspaceActivityChecker.java,org\eclipse\che\api\workspace\activity\WorkspaceActivityChecker.java,Sink method Logger.error(...),Logger.error(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,d39fc9b2bbfa2df0b07ad4b2d1f20161,0,1,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.error(...) might be used to include CRLF characters into log messages,In WorkspaceActivityChecker.java,org.eclipse.che.api.workspace.activity.WorkspaceActivityChecker,WorkspaceActivityChecker.java,org/eclipse/che/api/workspace/activity/WorkspaceActivityChecker.java,org\eclipse\che\api\workspace\activity\WorkspaceActivityChecker.java,In class org.eclipse.che.api.workspace.activity.WorkspaceActivityChecker,org.eclipse.che.api.workspace.activity.WorkspaceActivityChecker,true,org.eclipse.che.api.workspace.activity.WorkspaceActivityChecker,180,194,0,288,WorkspaceActivityChecker.java,org/eclipse/che/api/workspace/activity/WorkspaceActivityChecker.java,org\eclipse\che\api\workspace\activity\WorkspaceActivityChecker.java,In method org.eclipse.che.api.workspace.activity.WorkspaceActivityChecker.reconcileActivityStatuses(),org.eclipse.che.api.workspace.activity.WorkspaceActivityChecker,reconcileActivityStatuses,()V,false,true,At WorkspaceActivityChecker.java:[line 192],org.eclipse.che.api.workspace.activity.WorkspaceActivityChecker,true,192,192,103,103,WorkspaceActivityChecker.java,org/eclipse/che/api/workspace/activity/WorkspaceActivityChecker.java,org\eclipse\che\api\workspace\activity\WorkspaceActivityChecker.java,,,,,,,,,,,,,,,,,,,Sink method Logger.error(...),Logger.error(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,d39fc9b2bbfa2df0b07ad4b2d1f20161,1,1,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.warn(...) might be used to include CRLF characters into log messages,In WorkspaceActivityChecker.java,org.eclipse.che.api.workspace.activity.WorkspaceActivityChecker,WorkspaceActivityChecker.java,org/eclipse/che/api/workspace/activity/WorkspaceActivityChecker.java,org\eclipse\che\api\workspace\activity\WorkspaceActivityChecker.java,In class org.eclipse.che.api.workspace.activity.WorkspaceActivityChecker,org.eclipse.che.api.workspace.activity.WorkspaceActivityChecker,true,org.eclipse.che.api.workspace.activity.WorkspaceActivityChecker,197,209,0,194,WorkspaceActivityChecker.java,org/eclipse/che/api/workspace/activity/WorkspaceActivityChecker.java,org\eclipse\che\api\workspace\activity\WorkspaceActivityChecker.java,In method org.eclipse.che.api.workspace.activity.WorkspaceActivityChecker.reconcileOne(WorkspaceActivity),org.eclipse.che.api.workspace.activity.WorkspaceActivityChecker,reconcileOne,(Lorg/eclipse/che/api/workspace/activity/WorkspaceActivity;)V,false,true,At WorkspaceActivityChecker.java:[line 200],org.eclipse.che.api.workspace.activity.WorkspaceActivityChecker,true,200,200,59,59,WorkspaceActivityChecker.java,org/eclipse/che/api/workspace/activity/WorkspaceActivityChecker.java,org\eclipse\che\api\workspace\activity\WorkspaceActivityChecker.java,At WorkspaceActivityChecker.java:[line 197],org.eclipse.che.api.workspace.activity.WorkspaceActivityChecker,197,197,8,8,WorkspaceActivityChecker.java,org/eclipse/che/api/workspace/activity/WorkspaceActivityChecker.java,org\eclipse\che\api\workspace\activity\WorkspaceActivityChecker.java,At WorkspaceActivityChecker.java:[line 203],org.eclipse.che.api.workspace.activity.WorkspaceActivityChecker,203,203,44,44,WorkspaceActivityChecker.java,org/eclipse/che/api/workspace/activity/WorkspaceActivityChecker.java,org\eclipse\che\api\workspace\activity\WorkspaceActivityChecker.java,Sink method Logger.warn(...),Logger.warn(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,7e6bec2535c489879686212bc992b54a,0,0,117,At WorkspaceActivityChecker.java:[line 204],org.eclipse.che.api.workspace.activity.WorkspaceActivityChecker,204,204,51,51,WorkspaceActivityChecker.java,org/eclipse/che/api/workspace/activity/WorkspaceActivityChecker.java,org\eclipse\che\api\workspace\activity\WorkspaceActivityChecker.java,,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.warn(...) might be used to include CRLF characters into log messages,In WorkspaceActivityChecker.java,org.eclipse.che.api.workspace.activity.WorkspaceActivityChecker,WorkspaceActivityChecker.java,org/eclipse/che/api/workspace/activity/WorkspaceActivityChecker.java,org\eclipse\che\api\workspace\activity\WorkspaceActivityChecker.java,In class org.eclipse.che.api.workspace.activity.WorkspaceActivityChecker,org.eclipse.che.api.workspace.activity.WorkspaceActivityChecker,true,org.eclipse.che.api.workspace.activity.WorkspaceActivityChecker,265,313,0,561,WorkspaceActivityChecker.java,org/eclipse/che/api/workspace/activity/WorkspaceActivityChecker.java,org\eclipse\che\api\workspace\activity\WorkspaceActivityChecker.java,In method org.eclipse.che.api.workspace.activity.WorkspaceActivityChecker.rectifyCreatedTime(WorkspaceActivity),org.eclipse.che.api.workspace.activity.WorkspaceActivityChecker,rectifyCreatedTime,(Lorg/eclipse/che/api/workspace/activity/WorkspaceActivity;)V,false,true,At WorkspaceActivityChecker.java:[line 277],org.eclipse.che.api.workspace.activity.WorkspaceActivityChecker,true,277,277,55,55,WorkspaceActivityChecker.java,org/eclipse/che/api/workspace/activity/WorkspaceActivityChecker.java,org\eclipse\che\api\workspace\activity\WorkspaceActivityChecker.java,At WorkspaceActivityChecker.java:[line 280],org.eclipse.che.api.workspace.activity.WorkspaceActivityChecker,280,280,48,48,WorkspaceActivityChecker.java,org/eclipse/che/api/workspace/activity/WorkspaceActivityChecker.java,org\eclipse\che\api\workspace\activity\WorkspaceActivityChecker.java,,,,,,,,,,Sink method Logger.warn(...),Logger.warn(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,b8e564639915c9c9a44bcbb9c6ba41cd,0,0,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.error(...) might be used to include CRLF characters into log messages,In WorkspaceActivityChecker.java,org.eclipse.che.api.workspace.activity.WorkspaceActivityChecker,WorkspaceActivityChecker.java,org/eclipse/che/api/workspace/activity/WorkspaceActivityChecker.java,org\eclipse\che\api\workspace\activity\WorkspaceActivityChecker.java,In class org.eclipse.che.api.workspace.activity.WorkspaceActivityChecker,org.eclipse.che.api.workspace.activity.WorkspaceActivityChecker,true,org.eclipse.che.api.workspace.activity.WorkspaceActivityChecker,265,313,0,561,WorkspaceActivityChecker.java,org/eclipse/che/api/workspace/activity/WorkspaceActivityChecker.java,org\eclipse\che\api\workspace\activity\WorkspaceActivityChecker.java,In method org.eclipse.che.api.workspace.activity.WorkspaceActivityChecker.rectifyCreatedTime(WorkspaceActivity),org.eclipse.che.api.workspace.activity.WorkspaceActivityChecker,rectifyCreatedTime,(Lorg/eclipse/che/api/workspace/activity/WorkspaceActivity;)V,false,true,At WorkspaceActivityChecker.java:[line 286],org.eclipse.che.api.workspace.activity.WorkspaceActivityChecker,true,286,286,115,115,WorkspaceActivityChecker.java,org/eclipse/che/api/workspace/activity/WorkspaceActivityChecker.java,org\eclipse\che\api\workspace\activity\WorkspaceActivityChecker.java,At WorkspaceActivityChecker.java:[line 290],org.eclipse.che.api.workspace.activity.WorkspaceActivityChecker,290,290,98,98,WorkspaceActivityChecker.java,org/eclipse/che/api/workspace/activity/WorkspaceActivityChecker.java,org\eclipse\che\api\workspace\activity\WorkspaceActivityChecker.java,,,,,,,,,,Sink method Logger.error(...),Logger.error(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,5b83ed1e8814beab5f219911d079cdce,0,2,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,
