ShortMessage,LongMessage,Class/SourceLine/0/Message,Class/SourceLine/0/_classname,Class/SourceLine/0/_sourcefile,Class/SourceLine/0/_sourcepath,Class/SourceLine/0/_relSourcepath,Class/Message,Class/_classname,Class/_primary,Method/SourceLine/0/_classname,Method/SourceLine/0/_start,Method/SourceLine/0/_end,Method/SourceLine/0/_startBytecode,Method/SourceLine/0/_endBytecode,Method/SourceLine/0/_sourcefile,Method/SourceLine/0/_sourcepath,Method/SourceLine/0/_relSourcepath,Method/Message,Method/_classname,Method/_name,Method/_signature,Method/_isStatic,Method/_primary,SourceLine/0/Message,SourceLine/0/_classname,SourceLine/0/_primary,SourceLine/0/_start,SourceLine/0/_end,SourceLine/0/_startBytecode,SourceLine/0/_endBytecode,SourceLine/0/_sourcefile,SourceLine/0/_sourcepath,SourceLine/0/_relSourcepath,SourceLine/1/Message,SourceLine/1/_classname,SourceLine/1/_start,SourceLine/1/_end,SourceLine/1/_startBytecode,SourceLine/1/_endBytecode,SourceLine/1/_sourcefile,SourceLine/1/_sourcepath,SourceLine/1/_relSourcepath,String/0/Message,String/0/_value,String/0/_role,_type,_priority,_rank,_abbrev,_category,_instanceHash,_instanceOccurrenceNum,_instanceOccurrenceMax,_cweid,String/1/Message,String/1/_value,String/1/_role,SourceLine/2/Message,SourceLine/2/_classname,SourceLine/2/_start,SourceLine/2/_end,SourceLine/2/_startBytecode,SourceLine/2/_endBytecode,SourceLine/2/_sourcefile,SourceLine/2/_sourcepath,SourceLine/2/_relSourcepath
Potential CRLF Injection for logs,This use of Logger.error(...) might be used to include CRLF characters into log messages,In IoUtil.java,org.eclipse.che.commons.lang.IoUtil,IoUtil.java,org/eclipse/che/commons/lang/IoUtil.java,org\eclipse\che\commons\lang\IoUtil.java,In class org.eclipse.che.commons.lang.IoUtil,org.eclipse.che.commons.lang.IoUtil,true,org.eclipse.che.commons.lang.IoUtil,107,119,0,311,IoUtil.java,org/eclipse/che/commons/lang/IoUtil.java,org\eclipse\che\commons\lang\IoUtil.java,In method org.eclipse.che.commons.lang.IoUtil.readAndCloseQuietly(InputStream),org.eclipse.che.commons.lang.IoUtil,readAndCloseQuietly,(Ljava/io/InputStream;)Ljava/lang/String;,true,true,At IoUtil.java:[line 109],org.eclipse.che.commons.lang.IoUtil,true,109,109,41,41,IoUtil.java,org/eclipse/che/commons/lang/IoUtil.java,org\eclipse\che\commons\lang\IoUtil.java,At IoUtil.java:[line 109],org.eclipse.che.commons.lang.IoUtil,109,109,37,37,IoUtil.java,org/eclipse/che/commons/lang/IoUtil.java,org\eclipse\che\commons\lang\IoUtil.java,Sink method Logger.error(...),Logger.error(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,abafade6decc0c72ed94221ea405bfc6,0,1,117,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.error(...) might be used to include CRLF characters into log messages,In IoUtil.java,org.eclipse.che.commons.lang.IoUtil,IoUtil.java,org/eclipse/che/commons/lang/IoUtil.java,org\eclipse\che\commons\lang\IoUtil.java,In class org.eclipse.che.commons.lang.IoUtil,org.eclipse.che.commons.lang.IoUtil,true,org.eclipse.che.commons.lang.IoUtil,107,119,0,311,IoUtil.java,org/eclipse/che/commons/lang/IoUtil.java,org\eclipse\che\commons\lang\IoUtil.java,In method org.eclipse.che.commons.lang.IoUtil.readAndCloseQuietly(InputStream),org.eclipse.che.commons.lang.IoUtil,readAndCloseQuietly,(Ljava/io/InputStream;)Ljava/lang/String;,true,true,At IoUtil.java:[line 116],org.eclipse.che.commons.lang.IoUtil,true,116,116,72,72,IoUtil.java,org/eclipse/che/commons/lang/IoUtil.java,org\eclipse\che\commons\lang\IoUtil.java,At IoUtil.java:[line 116],org.eclipse.che.commons.lang.IoUtil,116,116,67,67,IoUtil.java,org/eclipse/che/commons/lang/IoUtil.java,org\eclipse\che\commons\lang\IoUtil.java,Sink method Logger.error(...),Logger.error(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,abafade6decc0c72ed94221ea405bfc6,1,1,117,,,,,,,,,,,,
Potential Path Traversal (file read),File(...) reads a file whose location might be specified by user input,In IoUtil.java,org.eclipse.che.commons.lang.IoUtil,IoUtil.java,org/eclipse/che/commons/lang/IoUtil.java,org\eclipse\che\commons\lang\IoUtil.java,In class org.eclipse.che.commons.lang.IoUtil,org.eclipse.che.commons.lang.IoUtil,true,org.eclipse.che.commons.lang.IoUtil,392,442,0,771,IoUtil.java,org/eclipse/che/commons/lang/IoUtil.java,org\eclipse\che\commons\lang\IoUtil.java,"In method org.eclipse.che.commons.lang.IoUtil.copy(File, File, FilenameFilter, boolean, boolean)",org.eclipse.che.commons.lang.IoUtil,copy,(Ljava/io/File;Ljava/io/File;Ljava/io/FilenameFilter;ZZ)V,true,true,At IoUtil.java:[line 411],org.eclipse.che.commons.lang.IoUtil,true,411,411,170,170,IoUtil.java,org/eclipse/che/commons/lang/IoUtil.java,org\eclipse\che\commons\lang\IoUtil.java,At IoUtil.java:[line 411],org.eclipse.che.commons.lang.IoUtil,411,411,167,167,IoUtil.java,org/eclipse/che/commons/lang/IoUtil.java,org\eclipse\che\commons\lang\IoUtil.java,Sink method File(...),File(...),Sink method,PATH_TRAVERSAL_IN,2,7,SECPTI,SECURITY,7964685954982f356540d099e8642af1,0,0,22,,,,,,,,,,,,
Potential Path Traversal (file read),File(...) reads a file whose location might be specified by user input,In IoUtil.java,org.eclipse.che.commons.lang.IoUtil,IoUtil.java,org/eclipse/che/commons/lang/IoUtil.java,org\eclipse\che\commons\lang\IoUtil.java,In class org.eclipse.che.commons.lang.IoUtil,org.eclipse.che.commons.lang.IoUtil,true,org.eclipse.che.commons.lang.IoUtil,131,142,0,221,IoUtil.java,org/eclipse/che/commons/lang/IoUtil.java,org\eclipse\che\commons\lang\IoUtil.java,In method org.eclipse.che.commons.lang.IoUtil.getResource(String),org.eclipse.che.commons.lang.IoUtil,getResource,(Ljava/lang/String;)Ljava/io/InputStream;,true,true,At IoUtil.java:[line 131],org.eclipse.che.commons.lang.IoUtil,true,131,131,5,5,IoUtil.java,org/eclipse/che/commons/lang/IoUtil.java,org\eclipse\che\commons\lang\IoUtil.java,,,,,,,,,,Sink method File(...),File(...),Sink method,PATH_TRAVERSAL_IN,2,7,SECPTI,SECURITY,73e2c830c60e497ef082731d30254012,0,0,22,Method usage not detected,not detected,Method usage,,,,,,,,,
Potential Path Traversal (file read),File(...) reads a file whose location might be specified by user input,In IoUtil.java,org.eclipse.che.commons.lang.IoUtil,IoUtil.java,org/eclipse/che/commons/lang/IoUtil.java,org\eclipse\che\commons\lang\IoUtil.java,In class org.eclipse.che.commons.lang.IoUtil,org.eclipse.che.commons.lang.IoUtil,true,org.eclipse.che.commons.lang.IoUtil,175,175,0,53,IoUtil.java,org/eclipse/che/commons/lang/IoUtil.java,org\eclipse\che\commons\lang\IoUtil.java,In method org.eclipse.che.commons.lang.IoUtil.removeDirectory(String),org.eclipse.che.commons.lang.IoUtil,removeDirectory,(Ljava/lang/String;)Z,true,true,At IoUtil.java:[line 175],org.eclipse.che.commons.lang.IoUtil,true,175,175,5,5,IoUtil.java,org/eclipse/che/commons/lang/IoUtil.java,org\eclipse\che\commons\lang\IoUtil.java,,,,,,,,,,Sink method File(...),File(...),Sink method,PATH_TRAVERSAL_IN,2,7,SECPTI,SECURITY,221a11402f9d4f932a7e4b537df4332e,0,0,22,Method usage not detected,not detected,Method usage,,,,,,,,,
Regex DOS (ReDOS),"The regular expression ""^([0-9]*(\\.[0-9]+)?)\\s*(\\S+)?$"" is vulnerable to a denial of service attack (ReDOS)",In Size.java,org.eclipse.che.commons.lang.Size,Size.java,org/eclipse/che/commons/lang/Size.java,org\eclipse\che\commons\lang\Size.java,In class org.eclipse.che.commons.lang.Size,org.eclipse.che.commons.lang.Size,true,org.eclipse.che.commons.lang.Size,82,87,0,125,Size.java,org/eclipse/che/commons/lang/Size.java,org\eclipse\che\commons\lang\Size.java,In method org.eclipse.che.commons.lang.Size.<static initializer for Size>(),org.eclipse.che.commons.lang.Size,<clinit>,()V,true,true,At Size.java:[line 88],org.eclipse.che.commons.lang.Size,true,88,88,79,79,Size.java,org/eclipse/che/commons/lang/Size.java,org\eclipse\che\commons\lang\Size.java,,,,,,,,,,Value ^([0-9]*(\\.[0-9]+)?)\\s*(\\S+)?$,^([0-9]*(\\.[0-9]+)?)\\s*(\\S+)?$,,REDOS,2,7,SECRD,SECURITY,82bd8130d744988cce2b3e1f0b412577,0,0,400,,,,,,,,,,,,
Potential Path Traversal (file read),File(...) reads a file whose location might be specified by user input,In TarUtils.java,org.eclipse.che.commons.lang.TarUtils,TarUtils.java,org/eclipse/che/commons/lang/TarUtils.java,org\eclipse\che\commons\lang\TarUtils.java,In class org.eclipse.che.commons.lang.TarUtils,org.eclipse.che.commons.lang.TarUtils,true,org.eclipse.che.commons.lang.TarUtils,165,189,0,519,TarUtils.java,org/eclipse/che/commons/lang/TarUtils.java,org\eclipse\che\commons\lang\TarUtils.java,"In method org.eclipse.che.commons.lang.TarUtils.untar(InputStream, File)",org.eclipse.che.commons.lang.TarUtils,untar,(Ljava/io/InputStream;Ljava/io/File;)V,true,true,At TarUtils.java:[line 169],org.eclipse.che.commons.lang.TarUtils,true,169,169,35,35,TarUtils.java,org/eclipse/che/commons/lang/TarUtils.java,org\eclipse\che\commons\lang\TarUtils.java,At TarUtils.java:[line 169],org.eclipse.che.commons.lang.TarUtils,169,169,32,32,TarUtils.java,org/eclipse/che/commons/lang/TarUtils.java,org\eclipse\che\commons\lang\TarUtils.java,Sink method File(...),File(...),Sink method,PATH_TRAVERSAL_IN,2,7,SECPTI,SECURITY,eb8fc32ea73032f4f6ff5c4191b55715,0,0,22,,,,,,,,,,,,
Potential Path Traversal (file read),File(...) reads a file whose location might be specified by user input,In ZipUtils.java,org.eclipse.che.commons.lang.ZipUtils,ZipUtils.java,org/eclipse/che/commons/lang/ZipUtils.java,org\eclipse\che\commons\lang\ZipUtils.java,In class org.eclipse.che.commons.lang.ZipUtils,org.eclipse.che.commons.lang.ZipUtils,true,org.eclipse.che.commons.lang.ZipUtils,171,198,0,528,ZipUtils.java,org/eclipse/che/commons/lang/ZipUtils.java,org\eclipse\che\commons\lang\ZipUtils.java,"In method org.eclipse.che.commons.lang.ZipUtils.unzip(InputStream, File)",org.eclipse.che.commons.lang.ZipUtils,unzip,(Ljava/io/InputStream;Ljava/io/File;)V,true,true,At ZipUtils.java:[line 175],org.eclipse.che.commons.lang.ZipUtils,true,175,175,35,35,ZipUtils.java,org/eclipse/che/commons/lang/ZipUtils.java,org\eclipse\che\commons\lang\ZipUtils.java,At ZipUtils.java:[line 175],org.eclipse.che.commons.lang.ZipUtils,175,175,32,32,ZipUtils.java,org/eclipse/che/commons/lang/ZipUtils.java,org\eclipse\che\commons\lang\ZipUtils.java,Sink method File(...),File(...),Sink method,PATH_TRAVERSAL_IN,2,7,SECPTI,SECURITY,f03d6ed06bab758e185b7bcd61772488,0,0,22,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.error(...) might be used to include CRLF characters into log messages,In LoggingUncaughtExceptionHandler.java,org.eclipse.che.commons.lang.concurrent.LoggingUncaughtExceptionHandler,LoggingUncaughtExceptionHandler.java,org/eclipse/che/commons/lang/concurrent/LoggingUncaughtExceptionHandler.java,org\eclipse\che\commons\lang\concurrent\LoggingUncaughtExceptionHandler.java,In class org.eclipse.che.commons.lang.concurrent.LoggingUncaughtExceptionHandler,org.eclipse.che.commons.lang.concurrent.LoggingUncaughtExceptionHandler,true,org.eclipse.che.commons.lang.concurrent.LoggingUncaughtExceptionHandler,32,37,0,110,LoggingUncaughtExceptionHandler.java,org/eclipse/che/commons/lang/concurrent/LoggingUncaughtExceptionHandler.java,org\eclipse\che\commons\lang\concurrent\LoggingUncaughtExceptionHandler.java,"In method org.eclipse.che.commons.lang.concurrent.LoggingUncaughtExceptionHandler.uncaughtException(Thread, Throwable)",org.eclipse.che.commons.lang.concurrent.LoggingUncaughtExceptionHandler,uncaughtException,(Ljava/lang/Thread;Ljava/lang/Throwable;)V,false,true,At LoggingUncaughtExceptionHandler.java:[line 32],org.eclipse.che.commons.lang.concurrent.LoggingUncaughtExceptionHandler,true,32,32,27,27,LoggingUncaughtExceptionHandler.java,org/eclipse/che/commons/lang/concurrent/LoggingUncaughtExceptionHandler.java,org\eclipse\che\commons\lang\concurrent\LoggingUncaughtExceptionHandler.java,At LoggingUncaughtExceptionHandler.java:[line 33],org.eclipse.che.commons.lang.concurrent.LoggingUncaughtExceptionHandler,33,33,23,23,LoggingUncaughtExceptionHandler.java,org/eclipse/che/commons/lang/concurrent/LoggingUncaughtExceptionHandler.java,org\eclipse\che\commons\lang\concurrent\LoggingUncaughtExceptionHandler.java,Sink method Logger.error(...),Logger.error(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,ae238ae60d2e340b5dbedee56e578766,0,0,117,,,,At LoggingUncaughtExceptionHandler.java:[line 35],org.eclipse.che.commons.lang.concurrent.LoggingUncaughtExceptionHandler,35,35,12,12,LoggingUncaughtExceptionHandler.java,org/eclipse/che/commons/lang/concurrent/LoggingUncaughtExceptionHandler.java,org\eclipse\che\commons\lang\concurrent\LoggingUncaughtExceptionHandler.java
Potential Command Injection,This usage of ProcessBuilder(...) can be vulnerable to Command Injection,In CommandLine.java,org.eclipse.che.commons.lang.execution.CommandLine,CommandLine.java,org/eclipse/che/commons/lang/execution/CommandLine.java,org\eclipse\che\commons\lang\execution\CommandLine.java,In class org.eclipse.che.commons.lang.execution.CommandLine,org.eclipse.che.commons.lang.execution.CommandLine,true,org.eclipse.che.commons.lang.execution.CommandLine,100,106,0,176,CommandLine.java,org/eclipse/che/commons/lang/execution/CommandLine.java,org\eclipse\che\commons\lang\execution\CommandLine.java,In method org.eclipse.che.commons.lang.execution.CommandLine.runProcess(List),org.eclipse.che.commons.lang.execution.CommandLine,runProcess,(Ljava/util/List;)Ljava/lang/Process;,false,true,At CommandLine.java:[line 100],org.eclipse.che.commons.lang.execution.CommandLine,true,100,100,5,5,CommandLine.java,org/eclipse/che/commons/lang/execution/CommandLine.java,org\eclipse\che\commons\lang\execution\CommandLine.java,,,,,,,,,,Sink method ProcessBuilder(...),ProcessBuilder(...),Sink method,COMMAND_INJECTION,3,10,SECCI,SECURITY,8dd2927fa5a459fbc1de7f55a0123eb0,0,0,78,Method usage detected only with safe arguments,detected only with safe arguments,Method usage,,,,,,,,,
