ShortMessage,LongMessage,Class/SourceLine/0/Message,Class/SourceLine/0/_classname,Class/SourceLine/0/_sourcefile,Class/SourceLine/0/_sourcepath,Class/SourceLine/0/_relSourcepath,Class/Message,Class/_classname,Class/_primary,Method/SourceLine/0/_classname,Method/SourceLine/0/_start,Method/SourceLine/0/_end,Method/SourceLine/0/_startBytecode,Method/SourceLine/0/_endBytecode,Method/SourceLine/0/_sourcefile,Method/SourceLine/0/_sourcepath,Method/SourceLine/0/_relSourcepath,Method/Message,Method/_classname,Method/_name,Method/_signature,Method/_isStatic,Method/_primary,SourceLine/0/Message,SourceLine/0/_classname,SourceLine/0/_primary,SourceLine/0/_start,SourceLine/0/_end,SourceLine/0/_startBytecode,SourceLine/0/_endBytecode,SourceLine/0/_sourcefile,SourceLine/0/_sourcepath,SourceLine/0/_relSourcepath,SourceLine/1/Message,SourceLine/1/_classname,SourceLine/1/_start,SourceLine/1/_end,SourceLine/1/_startBytecode,SourceLine/1/_endBytecode,SourceLine/1/_sourcefile,SourceLine/1/_sourcepath,SourceLine/1/_relSourcepath,String/0/Message,String/0/_value,String/0/_role,_type,_priority,_rank,_abbrev,_category,_instanceHash,_instanceOccurrenceNum,_instanceOccurrenceMax,_cweid,SourceLine/2/Message,SourceLine/2/_classname,SourceLine/2/_start,SourceLine/2/_end,SourceLine/2/_startBytecode,SourceLine/2/_endBytecode,SourceLine/2/_sourcefile,SourceLine/2/_sourcepath,SourceLine/2/_relSourcepath,String/1/Message,String/1/_value,String/1/_role
Potential CRLF Injection for logs,This use of Logger.error(...) might be used to include CRLF characters into log messages,In CronThreadPoolExecutor.java,org.eclipse.che.commons.schedule.executor.CronThreadPoolExecutor$1,CronThreadPoolExecutor.java,org/eclipse/che/commons/schedule/executor/CronThreadPoolExecutor.java,org\eclipse\che\commons\schedule\executor\CronThreadPoolExecutor.java,In class org.eclipse.che.commons.schedule.executor.CronThreadPoolExecutor$1,org.eclipse.che.commons.schedule.executor.CronThreadPoolExecutor$1,true,org.eclipse.che.commons.schedule.executor.CronThreadPoolExecutor$1,97,120,0,439,CronThreadPoolExecutor.java,org/eclipse/che/commons/schedule/executor/CronThreadPoolExecutor.java,org\eclipse\che\commons\schedule\executor\CronThreadPoolExecutor.java,In method org.eclipse.che.commons.schedule.executor.CronThreadPoolExecutor$1.run(),org.eclipse.che.commons.schedule.executor.CronThreadPoolExecutor$1,run,()V,false,true,At CronThreadPoolExecutor.java:[line 118],org.eclipse.che.commons.schedule.executor.CronThreadPoolExecutor$1,true,118,118,177,177,CronThreadPoolExecutor.java,org/eclipse/che/commons/schedule/executor/CronThreadPoolExecutor.java,org\eclipse\che\commons\schedule\executor\CronThreadPoolExecutor.java,At CronThreadPoolExecutor.java:[line 118],org.eclipse.che.commons.schedule.executor.CronThreadPoolExecutor$1,118,118,172,172,CronThreadPoolExecutor.java,org/eclipse/che/commons/schedule/executor/CronThreadPoolExecutor.java,org\eclipse\che\commons\schedule\executor\CronThreadPoolExecutor.java,Sink method Logger.error(...),Logger.error(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,b77a604d5ab5e279986608c1532b2249,0,0,117,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.debug(...) might be used to include CRLF characters into log messages,In LoggedRunnable.java,org.eclipse.che.commons.schedule.executor.LoggedRunnable,LoggedRunnable.java,org/eclipse/che/commons/schedule/executor/LoggedRunnable.java,org\eclipse\che\commons\schedule\executor\LoggedRunnable.java,In class org.eclipse.che.commons.schedule.executor.LoggedRunnable,org.eclipse.che.commons.schedule.executor.LoggedRunnable,true,org.eclipse.che.commons.schedule.executor.LoggedRunnable,38,90,0,625,LoggedRunnable.java,org/eclipse/che/commons/schedule/executor/LoggedRunnable.java,org\eclipse\che\commons\schedule\executor\LoggedRunnable.java,In method org.eclipse.che.commons.schedule.executor.LoggedRunnable.run(),org.eclipse.che.commons.schedule.executor.LoggedRunnable,run,()V,false,true,At LoggedRunnable.java:[line 43],org.eclipse.che.commons.schedule.executor.LoggedRunnable,true,43,43,59,59,LoggedRunnable.java,org/eclipse/che/commons/schedule/executor/LoggedRunnable.java,org\eclipse\che\commons\schedule\executor\LoggedRunnable.java,At LoggedRunnable.java:[line 45],org.eclipse.che.commons.schedule.executor.LoggedRunnable,45,45,56,56,LoggedRunnable.java,org/eclipse/che/commons/schedule/executor/LoggedRunnable.java,org\eclipse\che\commons\schedule\executor\LoggedRunnable.java,Sink method Logger.debug(...),Logger.debug(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,7e895bca40f76e94d8e729056f28644f,0,3,117,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.debug(...) might be used to include CRLF characters into log messages,In LoggedRunnable.java,org.eclipse.che.commons.schedule.executor.LoggedRunnable,LoggedRunnable.java,org/eclipse/che/commons/schedule/executor/LoggedRunnable.java,org\eclipse\che\commons\schedule\executor\LoggedRunnable.java,In class org.eclipse.che.commons.schedule.executor.LoggedRunnable,org.eclipse.che.commons.schedule.executor.LoggedRunnable,true,org.eclipse.che.commons.schedule.executor.LoggedRunnable,38,90,0,625,LoggedRunnable.java,org/eclipse/che/commons/schedule/executor/LoggedRunnable.java,org\eclipse\che\commons\schedule\executor\LoggedRunnable.java,In method org.eclipse.che.commons.schedule.executor.LoggedRunnable.run(),org.eclipse.che.commons.schedule.executor.LoggedRunnable,run,()V,false,true,At LoggedRunnable.java:[line 50],org.eclipse.che.commons.schedule.executor.LoggedRunnable,true,50,50,122,122,LoggedRunnable.java,org/eclipse/che/commons/schedule/executor/LoggedRunnable.java,org\eclipse\che\commons\schedule\executor\LoggedRunnable.java,At LoggedRunnable.java:[line 52],org.eclipse.che.commons.schedule.executor.LoggedRunnable,52,52,101,101,LoggedRunnable.java,org/eclipse/che/commons/schedule/executor/LoggedRunnable.java,org\eclipse\che\commons\schedule\executor\LoggedRunnable.java,Sink method Logger.debug(...),Logger.debug(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,7e895bca40f76e94d8e729056f28644f,1,3,117,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.debug(...) might be used to include CRLF characters into log messages,In LoggedRunnable.java,org.eclipse.che.commons.schedule.executor.LoggedRunnable,LoggedRunnable.java,org/eclipse/che/commons/schedule/executor/LoggedRunnable.java,org\eclipse\che\commons\schedule\executor\LoggedRunnable.java,In class org.eclipse.che.commons.schedule.executor.LoggedRunnable,org.eclipse.che.commons.schedule.executor.LoggedRunnable,true,org.eclipse.che.commons.schedule.executor.LoggedRunnable,38,90,0,625,LoggedRunnable.java,org/eclipse/che/commons/schedule/executor/LoggedRunnable.java,org\eclipse\che\commons\schedule\executor\LoggedRunnable.java,In method org.eclipse.che.commons.schedule.executor.LoggedRunnable.run(),org.eclipse.che.commons.schedule.executor.LoggedRunnable,run,()V,false,true,At LoggedRunnable.java:[line 57],org.eclipse.che.commons.schedule.executor.LoggedRunnable,true,57,57,169,169,LoggedRunnable.java,org/eclipse/che/commons/schedule/executor/LoggedRunnable.java,org\eclipse\che\commons\schedule\executor\LoggedRunnable.java,At LoggedRunnable.java:[line 59],org.eclipse.che.commons.schedule.executor.LoggedRunnable,59,59,145,145,LoggedRunnable.java,org/eclipse/che/commons/schedule/executor/LoggedRunnable.java,org\eclipse\che\commons\schedule\executor\LoggedRunnable.java,Sink method Logger.debug(...),Logger.debug(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,7e895bca40f76e94d8e729056f28644f,2,3,117,At LoggedRunnable.java:[line 60],org.eclipse.che.commons.schedule.executor.LoggedRunnable,60,60,165,165,LoggedRunnable.java,org/eclipse/che/commons/schedule/executor/LoggedRunnable.java,org\eclipse\che\commons\schedule\executor\LoggedRunnable.java,,,
Potential CRLF Injection for logs,This use of Logger.debug(...) might be used to include CRLF characters into log messages,In LoggedRunnable.java,org.eclipse.che.commons.schedule.executor.LoggedRunnable,LoggedRunnable.java,org/eclipse/che/commons/schedule/executor/LoggedRunnable.java,org\eclipse\che\commons\schedule\executor\LoggedRunnable.java,In class org.eclipse.che.commons.schedule.executor.LoggedRunnable,org.eclipse.che.commons.schedule.executor.LoggedRunnable,true,org.eclipse.che.commons.schedule.executor.LoggedRunnable,38,90,0,625,LoggedRunnable.java,org/eclipse/che/commons/schedule/executor/LoggedRunnable.java,org\eclipse\che\commons\schedule\executor\LoggedRunnable.java,In method org.eclipse.che.commons.schedule.executor.LoggedRunnable.run(),org.eclipse.che.commons.schedule.executor.LoggedRunnable,run,()V,false,true,At LoggedRunnable.java:[line 65],org.eclipse.che.commons.schedule.executor.LoggedRunnable,true,65,65,236,236,LoggedRunnable.java,org/eclipse/che/commons/schedule/executor/LoggedRunnable.java,org\eclipse\che\commons\schedule\executor\LoggedRunnable.java,At LoggedRunnable.java:[line 67],org.eclipse.che.commons.schedule.executor.LoggedRunnable,67,67,215,215,LoggedRunnable.java,org/eclipse/che/commons/schedule/executor/LoggedRunnable.java,org\eclipse\che\commons\schedule\executor\LoggedRunnable.java,Sink method Logger.debug(...),Logger.debug(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,7e895bca40f76e94d8e729056f28644f,3,3,117,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.error(...) might be used to include CRLF characters into log messages,In LoggedRunnable.java,org.eclipse.che.commons.schedule.executor.LoggedRunnable,LoggedRunnable.java,org/eclipse/che/commons/schedule/executor/LoggedRunnable.java,org\eclipse\che\commons\schedule\executor\LoggedRunnable.java,In class org.eclipse.che.commons.schedule.executor.LoggedRunnable,org.eclipse.che.commons.schedule.executor.LoggedRunnable,true,org.eclipse.che.commons.schedule.executor.LoggedRunnable,38,90,0,625,LoggedRunnable.java,org/eclipse/che/commons/schedule/executor/LoggedRunnable.java,org\eclipse\che\commons\schedule\executor\LoggedRunnable.java,In method org.eclipse.che.commons.schedule.executor.LoggedRunnable.run(),org.eclipse.che.commons.schedule.executor.LoggedRunnable,run,()V,false,true,At LoggedRunnable.java:[line 71],org.eclipse.che.commons.schedule.executor.LoggedRunnable,true,71,71,295,295,LoggedRunnable.java,org/eclipse/che/commons/schedule/executor/LoggedRunnable.java,org\eclipse\che\commons\schedule\executor\LoggedRunnable.java,At LoggedRunnable.java:[line 74],org.eclipse.che.commons.schedule.executor.LoggedRunnable,74,74,280,280,LoggedRunnable.java,org/eclipse/che/commons/schedule/executor/LoggedRunnable.java,org\eclipse\che\commons\schedule\executor\LoggedRunnable.java,Sink method Logger.error(...),Logger.error(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,4b0429d637d2db9fe28e115e6315e68a,0,1,117,At LoggedRunnable.java:[line 76],org.eclipse.che.commons.schedule.executor.LoggedRunnable,76,76,287,287,LoggedRunnable.java,org/eclipse/che/commons/schedule/executor/LoggedRunnable.java,org\eclipse\che\commons\schedule\executor\LoggedRunnable.java,,,
Potential CRLF Injection for logs,This use of Logger.error(...) might be used to include CRLF characters into log messages,In LoggedRunnable.java,org.eclipse.che.commons.schedule.executor.LoggedRunnable,LoggedRunnable.java,org/eclipse/che/commons/schedule/executor/LoggedRunnable.java,org\eclipse\che\commons\schedule\executor\LoggedRunnable.java,In class org.eclipse.che.commons.schedule.executor.LoggedRunnable,org.eclipse.che.commons.schedule.executor.LoggedRunnable,true,org.eclipse.che.commons.schedule.executor.LoggedRunnable,38,90,0,625,LoggedRunnable.java,org/eclipse/che/commons/schedule/executor/LoggedRunnable.java,org\eclipse\che\commons\schedule\executor\LoggedRunnable.java,In method org.eclipse.che.commons.schedule.executor.LoggedRunnable.run(),org.eclipse.che.commons.schedule.executor.LoggedRunnable,run,()V,false,true,At LoggedRunnable.java:[line 81],org.eclipse.che.commons.schedule.executor.LoggedRunnable,true,81,81,354,354,LoggedRunnable.java,org/eclipse/che/commons/schedule/executor/LoggedRunnable.java,org\eclipse\che\commons\schedule\executor\LoggedRunnable.java,At LoggedRunnable.java:[line 84],org.eclipse.che.commons.schedule.executor.LoggedRunnable,84,84,339,339,LoggedRunnable.java,org/eclipse/che/commons/schedule/executor/LoggedRunnable.java,org\eclipse\che\commons\schedule\executor\LoggedRunnable.java,Sink method Logger.error(...),Logger.error(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,4b0429d637d2db9fe28e115e6315e68a,1,1,117,At LoggedRunnable.java:[line 86],org.eclipse.che.commons.schedule.executor.LoggedRunnable,86,86,346,346,LoggedRunnable.java,org/eclipse/che/commons/schedule/executor/LoggedRunnable.java,org\eclipse\che\commons\schedule\executor\LoggedRunnable.java,,,
Potential CRLF Injection for logs,This use of Logger.debug(...) might be used to include CRLF characters into log messages,In ThreadPullLauncher.java,org.eclipse.che.commons.schedule.executor.ThreadPullLauncher,ThreadPullLauncher.java,org/eclipse/che/commons/schedule/executor/ThreadPullLauncher.java,org\eclipse\che\commons\schedule\executor\ThreadPullLauncher.java,In class org.eclipse.che.commons.schedule.executor.ThreadPullLauncher,org.eclipse.che.commons.schedule.executor.ThreadPullLauncher,true,org.eclipse.che.commons.schedule.executor.ThreadPullLauncher,117,134,0,235,ThreadPullLauncher.java,org/eclipse/che/commons/schedule/executor/ThreadPullLauncher.java,org\eclipse\che\commons\schedule\executor\ThreadPullLauncher.java,"In method org.eclipse.che.commons.schedule.executor.ThreadPullLauncher.scheduleAtFixedRate(Runnable, long, long, TimeUnit)",org.eclipse.che.commons.schedule.executor.ThreadPullLauncher,scheduleAtFixedRate,(Ljava/lang/Runnable;JJLjava/util/concurrent/TimeUnit;)V,false,true,At ThreadPullLauncher.java:[line 118],org.eclipse.che.commons.schedule.executor.ThreadPullLauncher,true,118,118,40,40,ThreadPullLauncher.java,org/eclipse/che/commons/schedule/executor/ThreadPullLauncher.java,org\eclipse\che\commons\schedule\executor\ThreadPullLauncher.java,,,,,,,,,,Sink method Logger.debug(...),Logger.debug(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,1810ea940d72a07876dab38176fab81,0,1,117,,,,,,,,,,Method usage not detected,not detected,Method usage
Potential CRLF Injection for logs,This use of Logger.debug(...) might be used to include CRLF characters into log messages,In ThreadPullLauncher.java,org.eclipse.che.commons.schedule.executor.ThreadPullLauncher,ThreadPullLauncher.java,org/eclipse/che/commons/schedule/executor/ThreadPullLauncher.java,org\eclipse\che\commons\schedule\executor\ThreadPullLauncher.java,In class org.eclipse.che.commons.schedule.executor.ThreadPullLauncher,org.eclipse.che.commons.schedule.executor.ThreadPullLauncher,true,org.eclipse.che.commons.schedule.executor.ThreadPullLauncher,117,134,0,235,ThreadPullLauncher.java,org/eclipse/che/commons/schedule/executor/ThreadPullLauncher.java,org\eclipse\che\commons\schedule\executor\ThreadPullLauncher.java,"In method org.eclipse.che.commons.schedule.executor.ThreadPullLauncher.scheduleAtFixedRate(Runnable, long, long, TimeUnit)",org.eclipse.che.commons.schedule.executor.ThreadPullLauncher,scheduleAtFixedRate,(Ljava/lang/Runnable;JJLjava/util/concurrent/TimeUnit;)V,false,true,At ThreadPullLauncher.java:[line 128],org.eclipse.che.commons.schedule.executor.ThreadPullLauncher,true,128,128,95,95,ThreadPullLauncher.java,org/eclipse/che/commons/schedule/executor/ThreadPullLauncher.java,org\eclipse\che\commons\schedule\executor\ThreadPullLauncher.java,At ThreadPullLauncher.java:[line 127],org.eclipse.che.commons.schedule.executor.ThreadPullLauncher,127,127,56,56,ThreadPullLauncher.java,org/eclipse/che/commons/schedule/executor/ThreadPullLauncher.java,org\eclipse\che\commons\schedule\executor\ThreadPullLauncher.java,Sink method Logger.debug(...),Logger.debug(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,1810ea940d72a07876dab38176fab81,1,1,117,,,,,,,,,,Method usage not detected,not detected,Method usage
Potential CRLF Injection for logs,This use of Logger.debug(...) might be used to include CRLF characters into log messages,In ThreadPullLauncher.java,org.eclipse.che.commons.schedule.executor.ThreadPullLauncher,ThreadPullLauncher.java,org/eclipse/che/commons/schedule/executor/ThreadPullLauncher.java,org\eclipse\che\commons\schedule\executor\ThreadPullLauncher.java,In class org.eclipse.che.commons.schedule.executor.ThreadPullLauncher,org.eclipse.che.commons.schedule.executor.ThreadPullLauncher,true,org.eclipse.che.commons.schedule.executor.ThreadPullLauncher,79,90,0,224,ThreadPullLauncher.java,org/eclipse/che/commons/schedule/executor/ThreadPullLauncher.java,org\eclipse\che\commons\schedule\executor\ThreadPullLauncher.java,"In method org.eclipse.che.commons.schedule.executor.ThreadPullLauncher.scheduleCron(Runnable, String)",org.eclipse.che.commons.schedule.executor.ThreadPullLauncher,scheduleCron,(Ljava/lang/Runnable;Ljava/lang/String;)V,false,true,At ThreadPullLauncher.java:[line 85],org.eclipse.che.commons.schedule.executor.ThreadPullLauncher,true,85,85,49,49,ThreadPullLauncher.java,org/eclipse/che/commons/schedule/executor/ThreadPullLauncher.java,org\eclipse\che\commons\schedule\executor\ThreadPullLauncher.java,,,,,,,,,,Sink method Logger.debug(...),Logger.debug(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,6ce29d98562c1c956dfbf37a06c9d26f,0,0,117,,,,,,,,,,Method usage not detected,not detected,Method usage
