ShortMessage,LongMessage,Class/SourceLine/0/Message,Class/SourceLine/0/_classname,Class/SourceLine/0/_sourcefile,Class/SourceLine/0/_sourcepath,Class/SourceLine/0/_relSourcepath,Class/Message,Class/_classname,Class/_primary,Method/SourceLine/0/_classname,Method/SourceLine/0/_start,Method/SourceLine/0/_end,Method/SourceLine/0/_startBytecode,Method/SourceLine/0/_endBytecode,Method/SourceLine/0/_sourcefile,Method/SourceLine/0/_sourcepath,Method/SourceLine/0/_relSourcepath,Method/Message,Method/_classname,Method/_name,Method/_signature,Method/_isStatic,Method/_primary,SourceLine/0/Message,SourceLine/0/_classname,SourceLine/0/_primary,SourceLine/0/_start,SourceLine/0/_end,SourceLine/0/_startBytecode,SourceLine/0/_endBytecode,SourceLine/0/_sourcefile,SourceLine/0/_sourcepath,SourceLine/0/_relSourcepath,String/0/Message,String/0/_value,String/0/_role,_type,_priority,_rank,_abbrev,_category,_instanceHash,_instanceOccurrenceNum,_instanceOccurrenceMax,_cweid,SourceLine/1/Message,SourceLine/1/_classname,SourceLine/1/_start,SourceLine/1/_end,SourceLine/1/_startBytecode,SourceLine/1/_endBytecode,SourceLine/1/_sourcefile,SourceLine/1/_sourcepath,SourceLine/1/_relSourcepath,SourceLine/2/Message,SourceLine/2/_classname,SourceLine/2/_start,SourceLine/2/_end,SourceLine/2/_startBytecode,SourceLine/2/_endBytecode,SourceLine/2/_sourcefile,SourceLine/2/_sourcepath,SourceLine/2/_relSourcepath,SourceLine/3/Message,SourceLine/3/_classname,SourceLine/3/_start,SourceLine/3/_end,SourceLine/3/_startBytecode,SourceLine/3/_endBytecode,SourceLine/3/_sourcefile,SourceLine/3/_sourcepath,SourceLine/3/_relSourcepath,SourceLine/4/Message,SourceLine/4/_classname,SourceLine/4/_start,SourceLine/4/_end,SourceLine/4/_startBytecode,SourceLine/4/_endBytecode,SourceLine/4/_sourcefile,SourceLine/4/_sourcepath,SourceLine/4/_relSourcepath,String/1/Message,String/1/_value,String/1/_role,SourceLine/5/Message,SourceLine/5/_classname,SourceLine/5/_start,SourceLine/5/_end,SourceLine/5/_startBytecode,SourceLine/5/_endBytecode,SourceLine/5/_sourcefile,SourceLine/5/_sourcepath,SourceLine/5/_relSourcepath,SourceLine/6/Message,SourceLine/6/_classname,SourceLine/6/_start,SourceLine/6/_end,SourceLine/6/_startBytecode,SourceLine/6/_endBytecode,SourceLine/6/_sourcefile,SourceLine/6/_sourcepath,SourceLine/6/_relSourcepath,SourceLine/7/Message,SourceLine/7/_classname,SourceLine/7/_start,SourceLine/7/_end,SourceLine/7/_startBytecode,SourceLine/7/_endBytecode,SourceLine/7/_sourcefile,SourceLine/7/_sourcepath,SourceLine/7/_relSourcepath,SourceLine/8/Message,SourceLine/8/_classname,SourceLine/8/_start,SourceLine/8/_end,SourceLine/8/_startBytecode,SourceLine/8/_endBytecode,SourceLine/8/_sourcefile,SourceLine/8/_sourcepath,SourceLine/8/_relSourcepath
Potential CRLF Injection for logs,This use of Logger.error(...) might be used to include CRLF characters into log messages,In InconsistentRuntimesDetector.java,org.eclipse.che.workspace.infrastructure.kubernetes.InconsistentRuntimesDetector,InconsistentRuntimesDetector.java,org/eclipse/che/workspace/infrastructure/kubernetes/InconsistentRuntimesDetector.java,org\eclipse\che\workspace\infrastructure\kubernetes\InconsistentRuntimesDetector.java,In class org.eclipse.che.workspace.infrastructure.kubernetes.InconsistentRuntimesDetector,org.eclipse.che.workspace.infrastructure.kubernetes.InconsistentRuntimesDetector,true,org.eclipse.che.workspace.infrastructure.kubernetes.InconsistentRuntimesDetector,58,71,0,274,InconsistentRuntimesDetector.java,org/eclipse/che/workspace/infrastructure/kubernetes/InconsistentRuntimesDetector.java,org\eclipse\che\workspace\infrastructure\kubernetes\InconsistentRuntimesDetector.java,In method org.eclipse.che.workspace.infrastructure.kubernetes.InconsistentRuntimesDetector.check(),org.eclipse.che.workspace.infrastructure.kubernetes.InconsistentRuntimesDetector,check,()V,false,true,At InconsistentRuntimesDetector.java:[line 65],org.eclipse.che.workspace.infrastructure.kubernetes.InconsistentRuntimesDetector,true,65,65,75,75,InconsistentRuntimesDetector.java,org/eclipse/che/workspace/infrastructure/kubernetes/InconsistentRuntimesDetector.java,org\eclipse\che\workspace\infrastructure\kubernetes\InconsistentRuntimesDetector.java,Sink method Logger.error(...),Logger.error(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,772292ef67177efdfaad5c43efc85d3c,0,0,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.debug(...) might be used to include CRLF characters into log messages,In InconsistentRuntimesDetector.java,org.eclipse.che.workspace.infrastructure.kubernetes.InconsistentRuntimesDetector,InconsistentRuntimesDetector.java,org/eclipse/che/workspace/infrastructure/kubernetes/InconsistentRuntimesDetector.java,org\eclipse\che\workspace\infrastructure\kubernetes\InconsistentRuntimesDetector.java,In class org.eclipse.che.workspace.infrastructure.kubernetes.InconsistentRuntimesDetector,org.eclipse.che.workspace.infrastructure.kubernetes.InconsistentRuntimesDetector,true,org.eclipse.che.workspace.infrastructure.kubernetes.InconsistentRuntimesDetector,75,104,0,315,InconsistentRuntimesDetector.java,org/eclipse/che/workspace/infrastructure/kubernetes/InconsistentRuntimesDetector.java,org\eclipse\che\workspace\infrastructure\kubernetes\InconsistentRuntimesDetector.java,In method org.eclipse.che.workspace.infrastructure.kubernetes.InconsistentRuntimesDetector.checkOne(String),org.eclipse.che.workspace.infrastructure.kubernetes.InconsistentRuntimesDetector,checkOne,(Ljava/lang/String;)V,false,true,At InconsistentRuntimesDetector.java:[line 75],org.eclipse.che.workspace.infrastructure.kubernetes.InconsistentRuntimesDetector,true,75,75,6,6,InconsistentRuntimesDetector.java,org/eclipse/che/workspace/infrastructure/kubernetes/InconsistentRuntimesDetector.java,org\eclipse\che\workspace\infrastructure\kubernetes\InconsistentRuntimesDetector.java,Sink method Logger.debug(...),Logger.debug(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,df6be33d2706091885ada83d927ea227,0,1,117,At InconsistentRuntimesDetector.java:[line 61],org.eclipse.che.workspace.infrastructure.kubernetes.InconsistentRuntimesDetector,61,61,28,28,InconsistentRuntimesDetector.java,org/eclipse/che/workspace/infrastructure/kubernetes/InconsistentRuntimesDetector.java,org\eclipse\che\workspace\infrastructure\kubernetes\InconsistentRuntimesDetector.java,At InconsistentRuntimesDetector.java:[line 63],org.eclipse.che.workspace.infrastructure.kubernetes.InconsistentRuntimesDetector,63,63,55,55,InconsistentRuntimesDetector.java,org/eclipse/che/workspace/infrastructure/kubernetes/InconsistentRuntimesDetector.java,org\eclipse\che\workspace\infrastructure\kubernetes\InconsistentRuntimesDetector.java,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.warn(...) might be used to include CRLF characters into log messages,In InconsistentRuntimesDetector.java,org.eclipse.che.workspace.infrastructure.kubernetes.InconsistentRuntimesDetector,InconsistentRuntimesDetector.java,org/eclipse/che/workspace/infrastructure/kubernetes/InconsistentRuntimesDetector.java,org\eclipse\che\workspace\infrastructure\kubernetes\InconsistentRuntimesDetector.java,In class org.eclipse.che.workspace.infrastructure.kubernetes.InconsistentRuntimesDetector,org.eclipse.che.workspace.infrastructure.kubernetes.InconsistentRuntimesDetector,true,org.eclipse.che.workspace.infrastructure.kubernetes.InconsistentRuntimesDetector,75,104,0,315,InconsistentRuntimesDetector.java,org/eclipse/che/workspace/infrastructure/kubernetes/InconsistentRuntimesDetector.java,org\eclipse\che\workspace\infrastructure\kubernetes\InconsistentRuntimesDetector.java,In method org.eclipse.che.workspace.infrastructure.kubernetes.InconsistentRuntimesDetector.checkOne(String),org.eclipse.che.workspace.infrastructure.kubernetes.InconsistentRuntimesDetector,checkOne,(Ljava/lang/String;)V,false,true,At InconsistentRuntimesDetector.java:[line 97],org.eclipse.che.workspace.infrastructure.kubernetes.InconsistentRuntimesDetector,true,97,97,109,109,InconsistentRuntimesDetector.java,org/eclipse/che/workspace/infrastructure/kubernetes/InconsistentRuntimesDetector.java,org\eclipse\che\workspace\infrastructure\kubernetes\InconsistentRuntimesDetector.java,Sink method Logger.warn(...),Logger.warn(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,f92161eb9c99da47c42d5b8d4377d24c,0,0,117,At InconsistentRuntimesDetector.java:[line 100],org.eclipse.che.workspace.infrastructure.kubernetes.InconsistentRuntimesDetector,100,100,104,104,InconsistentRuntimesDetector.java,org/eclipse/che/workspace/infrastructure/kubernetes/InconsistentRuntimesDetector.java,org\eclipse\che\workspace\infrastructure\kubernetes\InconsistentRuntimesDetector.java,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.debug(...) might be used to include CRLF characters into log messages,In InconsistentRuntimesDetector.java,org.eclipse.che.workspace.infrastructure.kubernetes.InconsistentRuntimesDetector,InconsistentRuntimesDetector.java,org/eclipse/che/workspace/infrastructure/kubernetes/InconsistentRuntimesDetector.java,org\eclipse\che\workspace\infrastructure\kubernetes\InconsistentRuntimesDetector.java,In class org.eclipse.che.workspace.infrastructure.kubernetes.InconsistentRuntimesDetector,org.eclipse.che.workspace.infrastructure.kubernetes.InconsistentRuntimesDetector,true,org.eclipse.che.workspace.infrastructure.kubernetes.InconsistentRuntimesDetector,75,104,0,315,InconsistentRuntimesDetector.java,org/eclipse/che/workspace/infrastructure/kubernetes/InconsistentRuntimesDetector.java,org\eclipse\che\workspace\infrastructure\kubernetes\InconsistentRuntimesDetector.java,In method org.eclipse.che.workspace.infrastructure.kubernetes.InconsistentRuntimesDetector.checkOne(String),org.eclipse.che.workspace.infrastructure.kubernetes.InconsistentRuntimesDetector,checkOne,(Ljava/lang/String;)V,false,true,At InconsistentRuntimesDetector.java:[line 103],org.eclipse.che.workspace.infrastructure.kubernetes.InconsistentRuntimesDetector,true,103,103,125,125,InconsistentRuntimesDetector.java,org/eclipse/che/workspace/infrastructure/kubernetes/InconsistentRuntimesDetector.java,org\eclipse\che\workspace\infrastructure\kubernetes\InconsistentRuntimesDetector.java,Sink method Logger.debug(...),Logger.debug(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,df6be33d2706091885ada83d927ea227,1,1,117,At InconsistentRuntimesDetector.java:[line 61],org.eclipse.che.workspace.infrastructure.kubernetes.InconsistentRuntimesDetector,61,61,28,28,InconsistentRuntimesDetector.java,org/eclipse/che/workspace/infrastructure/kubernetes/InconsistentRuntimesDetector.java,org\eclipse\che\workspace\infrastructure\kubernetes\InconsistentRuntimesDetector.java,At InconsistentRuntimesDetector.java:[line 63],org.eclipse.che.workspace.infrastructure.kubernetes.InconsistentRuntimesDetector,63,63,55,55,InconsistentRuntimesDetector.java,org/eclipse/che/workspace/infrastructure/kubernetes/InconsistentRuntimesDetector.java,org\eclipse\che\workspace\infrastructure\kubernetes\InconsistentRuntimesDetector.java,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Regex DOS (ReDOS),"The regular expression ""[a-z0-9]([-a-z0-9]*[a-z0-9])?"" is vulnerable to a denial of service attack (ReDOS)",In K8sInfraNamespaceWsAttributeValidator.java,org.eclipse.che.workspace.infrastructure.kubernetes.K8sInfraNamespaceWsAttributeValidator,K8sInfraNamespaceWsAttributeValidator.java,org/eclipse/che/workspace/infrastructure/kubernetes/K8sInfraNamespaceWsAttributeValidator.java,org\eclipse\che\workspace\infrastructure\kubernetes\K8sInfraNamespaceWsAttributeValidator.java,In class org.eclipse.che.workspace.infrastructure.kubernetes.K8sInfraNamespaceWsAttributeValidator,org.eclipse.che.workspace.infrastructure.kubernetes.K8sInfraNamespaceWsAttributeValidator,true,org.eclipse.che.workspace.infrastructure.kubernetes.K8sInfraNamespaceWsAttributeValidator,43,45,0,120,K8sInfraNamespaceWsAttributeValidator.java,org/eclipse/che/workspace/infrastructure/kubernetes/K8sInfraNamespaceWsAttributeValidator.java,org\eclipse\che\workspace\infrastructure\kubernetes\K8sInfraNamespaceWsAttributeValidator.java,In method new org.eclipse.che.workspace.infrastructure.kubernetes.K8sInfraNamespaceWsAttributeValidator(Provider),org.eclipse.che.workspace.infrastructure.kubernetes.K8sInfraNamespaceWsAttributeValidator,<init>,(Ljavax/inject/Provider;)V,false,true,At K8sInfraNamespaceWsAttributeValidator.java:[line 37],org.eclipse.che.workspace.infrastructure.kubernetes.K8sInfraNamespaceWsAttributeValidator,true,37,37,19,19,K8sInfraNamespaceWsAttributeValidator.java,org/eclipse/che/workspace/infrastructure/kubernetes/K8sInfraNamespaceWsAttributeValidator.java,org\eclipse\che\workspace\infrastructure\kubernetes\K8sInfraNamespaceWsAttributeValidator.java,Value [a-z0-9]([-a-z0-9]*[a-z0-9])?,[a-z0-9]([-a-z0-9]*[a-z0-9])?,,REDOS,2,7,SECRD,SECURITY,6e6ba0cb77357f88a988904576face07,0,0,400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.error(...) might be used to include CRLF characters into log messages,In KubernetesClientTermination.java,org.eclipse.che.workspace.infrastructure.kubernetes.KubernetesClientTermination,KubernetesClientTermination.java,org/eclipse/che/workspace/infrastructure/kubernetes/KubernetesClientTermination.java,org\eclipse\che\workspace\infrastructure\kubernetes\KubernetesClientTermination.java,In class org.eclipse.che.workspace.infrastructure.kubernetes.KubernetesClientTermination,org.eclipse.che.workspace.infrastructure.kubernetes.KubernetesClientTermination,true,org.eclipse.che.workspace.infrastructure.kubernetes.KubernetesClientTermination,46,50,0,112,KubernetesClientTermination.java,org/eclipse/che/workspace/infrastructure/kubernetes/KubernetesClientTermination.java,org\eclipse\che\workspace\infrastructure\kubernetes\KubernetesClientTermination.java,In method org.eclipse.che.workspace.infrastructure.kubernetes.KubernetesClientTermination.suspend(),org.eclipse.che.workspace.infrastructure.kubernetes.KubernetesClientTermination,suspend,()V,false,true,At KubernetesClientTermination.java:[line 48],org.eclipse.che.workspace.infrastructure.kubernetes.KubernetesClientTermination,true,48,48,18,18,KubernetesClientTermination.java,org/eclipse/che/workspace/infrastructure/kubernetes/KubernetesClientTermination.java,org\eclipse\che\workspace\infrastructure\kubernetes\KubernetesClientTermination.java,Sink method Logger.error(...),Logger.error(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,e8bf33bce9c0d8dcb414d31b45b902a4,0,0,117,At KubernetesClientTermination.java:[line 48],org.eclipse.che.workspace.infrastructure.kubernetes.KubernetesClientTermination,48,48,15,15,KubernetesClientTermination.java,org/eclipse/che/workspace/infrastructure/kubernetes/KubernetesClientTermination.java,org\eclipse\che\workspace\infrastructure\kubernetes\KubernetesClientTermination.java,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.debug(...) might be used to include CRLF characters into log messages,In KubernetesEnvironmentProvisioner.java,org.eclipse.che.workspace.infrastructure.kubernetes.KubernetesEnvironmentProvisioner$KubernetesEnvironmentProvisionerImpl,KubernetesEnvironmentProvisioner.java,org/eclipse/che/workspace/infrastructure/kubernetes/KubernetesEnvironmentProvisioner.java,org\eclipse\che\workspace\infrastructure\kubernetes\KubernetesEnvironmentProvisioner.java,In class org.eclipse.che.workspace.infrastructure.kubernetes.KubernetesEnvironmentProvisioner$KubernetesEnvironmentProvisionerImpl,org.eclipse.che.workspace.infrastructure.kubernetes.KubernetesEnvironmentProvisioner$KubernetesEnvironmentProvisionerImpl,true,org.eclipse.che.workspace.infrastructure.kubernetes.KubernetesEnvironmentProvisioner$KubernetesEnvironmentProvisionerImpl,126,161,0,441,KubernetesEnvironmentProvisioner.java,org/eclipse/che/workspace/infrastructure/kubernetes/KubernetesEnvironmentProvisioner.java,org\eclipse\che\workspace\infrastructure\kubernetes\KubernetesEnvironmentProvisioner.java,"In method org.eclipse.che.workspace.infrastructure.kubernetes.KubernetesEnvironmentProvisioner$KubernetesEnvironmentProvisionerImpl.provision(KubernetesEnvironment, RuntimeIdentity)",org.eclipse.che.workspace.infrastructure.kubernetes.KubernetesEnvironmentProvisioner$KubernetesEnvironmentProvisionerImpl,provision,(Lorg/eclipse/che/workspace/infrastructure/kubernetes/environment/KubernetesEnvironment;Lorg/eclipse/che/api/core/model/workspace/runtime/RuntimeIdentity;)V,false,true,At KubernetesEnvironmentProvisioner.java:[line 129],org.eclipse.che.workspace.infrastructure.kubernetes.KubernetesEnvironmentProvisioner$KubernetesEnvironmentProvisionerImpl,true,129,129,20,20,KubernetesEnvironmentProvisioner.java,org/eclipse/che/workspace/infrastructure/kubernetes/KubernetesEnvironmentProvisioner.java,org\eclipse\che\workspace\infrastructure\kubernetes\KubernetesEnvironmentProvisioner.java,Sink method Logger.debug(...),Logger.debug(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,9859af79462bcac70d489ffd4eb57aac,0,4,117,At KubernetesEnvironmentProvisioner.java:[line 126],org.eclipse.che.workspace.infrastructure.kubernetes.KubernetesEnvironmentProvisioner$KubernetesEnvironmentProvisionerImpl,126,126,1,1,KubernetesEnvironmentProvisioner.java,org/eclipse/che/workspace/infrastructure/kubernetes/KubernetesEnvironmentProvisioner.java,org\eclipse\che\workspace\infrastructure\kubernetes\KubernetesEnvironmentProvisioner.java,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.debug(...) might be used to include CRLF characters into log messages,In KubernetesEnvironmentProvisioner.java,org.eclipse.che.workspace.infrastructure.kubernetes.KubernetesEnvironmentProvisioner$KubernetesEnvironmentProvisionerImpl,KubernetesEnvironmentProvisioner.java,org/eclipse/che/workspace/infrastructure/kubernetes/KubernetesEnvironmentProvisioner.java,org\eclipse\che\workspace\infrastructure\kubernetes\KubernetesEnvironmentProvisioner.java,In class org.eclipse.che.workspace.infrastructure.kubernetes.KubernetesEnvironmentProvisioner$KubernetesEnvironmentProvisionerImpl,org.eclipse.che.workspace.infrastructure.kubernetes.KubernetesEnvironmentProvisioner$KubernetesEnvironmentProvisionerImpl,true,org.eclipse.che.workspace.infrastructure.kubernetes.KubernetesEnvironmentProvisioner$KubernetesEnvironmentProvisionerImpl,126,161,0,441,KubernetesEnvironmentProvisioner.java,org/eclipse/che/workspace/infrastructure/kubernetes/KubernetesEnvironmentProvisioner.java,org\eclipse\che\workspace\infrastructure\kubernetes\KubernetesEnvironmentProvisioner.java,"In method org.eclipse.che.workspace.infrastructure.kubernetes.KubernetesEnvironmentProvisioner$KubernetesEnvironmentProvisionerImpl.provision(KubernetesEnvironment, RuntimeIdentity)",org.eclipse.che.workspace.infrastructure.kubernetes.KubernetesEnvironmentProvisioner$KubernetesEnvironmentProvisionerImpl,provision,(Lorg/eclipse/che/workspace/infrastructure/kubernetes/environment/KubernetesEnvironment;Lorg/eclipse/che/api/core/model/workspace/runtime/RuntimeIdentity;)V,false,true,At KubernetesEnvironmentProvisioner.java:[line 132],org.eclipse.che.workspace.infrastructure.kubernetes.KubernetesEnvironmentProvisioner$KubernetesEnvironmentProvisionerImpl,true,132,132,38,38,KubernetesEnvironmentProvisioner.java,org/eclipse/che/workspace/infrastructure/kubernetes/KubernetesEnvironmentProvisioner.java,org\eclipse\che\workspace\infrastructure\kubernetes\KubernetesEnvironmentProvisioner.java,Sink method Logger.debug(...),Logger.debug(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,9859af79462bcac70d489ffd4eb57aac,1,4,117,At KubernetesEnvironmentProvisioner.java:[line 126],org.eclipse.che.workspace.infrastructure.kubernetes.KubernetesEnvironmentProvisioner$KubernetesEnvironmentProvisionerImpl,126,126,1,1,KubernetesEnvironmentProvisioner.java,org/eclipse/che/workspace/infrastructure/kubernetes/KubernetesEnvironmentProvisioner.java,org\eclipse\che\workspace\infrastructure\kubernetes\KubernetesEnvironmentProvisioner.java,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.debug(...) might be used to include CRLF characters into log messages,In KubernetesEnvironmentProvisioner.java,org.eclipse.che.workspace.infrastructure.kubernetes.KubernetesEnvironmentProvisioner$KubernetesEnvironmentProvisionerImpl,KubernetesEnvironmentProvisioner.java,org/eclipse/che/workspace/infrastructure/kubernetes/KubernetesEnvironmentProvisioner.java,org\eclipse\che\workspace\infrastructure\kubernetes\KubernetesEnvironmentProvisioner.java,In class org.eclipse.che.workspace.infrastructure.kubernetes.KubernetesEnvironmentProvisioner$KubernetesEnvironmentProvisionerImpl,org.eclipse.che.workspace.infrastructure.kubernetes.KubernetesEnvironmentProvisioner$KubernetesEnvironmentProvisionerImpl,true,org.eclipse.che.workspace.infrastructure.kubernetes.KubernetesEnvironmentProvisioner$KubernetesEnvironmentProvisionerImpl,126,161,0,441,KubernetesEnvironmentProvisioner.java,org/eclipse/che/workspace/infrastructure/kubernetes/KubernetesEnvironmentProvisioner.java,org\eclipse\che\workspace\infrastructure\kubernetes\KubernetesEnvironmentProvisioner.java,"In method org.eclipse.che.workspace.infrastructure.kubernetes.KubernetesEnvironmentProvisioner$KubernetesEnvironmentProvisionerImpl.provision(KubernetesEnvironment, RuntimeIdentity)",org.eclipse.che.workspace.infrastructure.kubernetes.KubernetesEnvironmentProvisioner$KubernetesEnvironmentProvisionerImpl,provision,(Lorg/eclipse/che/workspace/infrastructure/kubernetes/environment/KubernetesEnvironment;Lorg/eclipse/che/api/core/model/workspace/runtime/RuntimeIdentity;)V,false,true,At KubernetesEnvironmentProvisioner.java:[line 137],org.eclipse.che.workspace.infrastructure.kubernetes.KubernetesEnvironmentProvisioner$KubernetesEnvironmentProvisionerImpl,true,137,137,58,58,KubernetesEnvironmentProvisioner.java,org/eclipse/che/workspace/infrastructure/kubernetes/KubernetesEnvironmentProvisioner.java,org\eclipse\che\workspace\infrastructure\kubernetes\KubernetesEnvironmentProvisioner.java,Sink method Logger.debug(...),Logger.debug(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,9859af79462bcac70d489ffd4eb57aac,2,4,117,At KubernetesEnvironmentProvisioner.java:[line 126],org.eclipse.che.workspace.infrastructure.kubernetes.KubernetesEnvironmentProvisioner$KubernetesEnvironmentProvisionerImpl,126,126,1,1,KubernetesEnvironmentProvisioner.java,org/eclipse/che/workspace/infrastructure/kubernetes/KubernetesEnvironmentProvisioner.java,org\eclipse\che\workspace\infrastructure\kubernetes\KubernetesEnvironmentProvisioner.java,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.debug(...) might be used to include CRLF characters into log messages,In KubernetesEnvironmentProvisioner.java,org.eclipse.che.workspace.infrastructure.kubernetes.KubernetesEnvironmentProvisioner$KubernetesEnvironmentProvisionerImpl,KubernetesEnvironmentProvisioner.java,org/eclipse/che/workspace/infrastructure/kubernetes/KubernetesEnvironmentProvisioner.java,org\eclipse\che\workspace\infrastructure\kubernetes\KubernetesEnvironmentProvisioner.java,In class org.eclipse.che.workspace.infrastructure.kubernetes.KubernetesEnvironmentProvisioner$KubernetesEnvironmentProvisionerImpl,org.eclipse.che.workspace.infrastructure.kubernetes.KubernetesEnvironmentProvisioner$KubernetesEnvironmentProvisionerImpl,true,org.eclipse.che.workspace.infrastructure.kubernetes.KubernetesEnvironmentProvisioner$KubernetesEnvironmentProvisionerImpl,126,161,0,441,KubernetesEnvironmentProvisioner.java,org/eclipse/che/workspace/infrastructure/kubernetes/KubernetesEnvironmentProvisioner.java,org\eclipse\che\workspace\infrastructure\kubernetes\KubernetesEnvironmentProvisioner.java,"In method org.eclipse.che.workspace.infrastructure.kubernetes.KubernetesEnvironmentProvisioner$KubernetesEnvironmentProvisionerImpl.provision(KubernetesEnvironment, RuntimeIdentity)",org.eclipse.che.workspace.infrastructure.kubernetes.KubernetesEnvironmentProvisioner$KubernetesEnvironmentProvisionerImpl,provision,(Lorg/eclipse/che/workspace/infrastructure/kubernetes/environment/KubernetesEnvironment;Lorg/eclipse/che/api/core/model/workspace/runtime/RuntimeIdentity;)V,false,true,At KubernetesEnvironmentProvisioner.java:[line 146],org.eclipse.che.workspace.infrastructure.kubernetes.KubernetesEnvironmentProvisioner$KubernetesEnvironmentProvisionerImpl,true,146,146,113,113,KubernetesEnvironmentProvisioner.java,org/eclipse/che/workspace/infrastructure/kubernetes/KubernetesEnvironmentProvisioner.java,org\eclipse\che\workspace\infrastructure\kubernetes\KubernetesEnvironmentProvisioner.java,Sink method Logger.debug(...),Logger.debug(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,9859af79462bcac70d489ffd4eb57aac,3,4,117,At KubernetesEnvironmentProvisioner.java:[line 126],org.eclipse.che.workspace.infrastructure.kubernetes.KubernetesEnvironmentProvisioner$KubernetesEnvironmentProvisionerImpl,126,126,1,1,KubernetesEnvironmentProvisioner.java,org/eclipse/che/workspace/infrastructure/kubernetes/KubernetesEnvironmentProvisioner.java,org\eclipse\che\workspace\infrastructure\kubernetes\KubernetesEnvironmentProvisioner.java,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
