ShortMessage,LongMessage,Class/SourceLine/0/Message,Class/SourceLine/0/_classname,Class/SourceLine/0/_sourcefile,Class/SourceLine/0/_sourcepath,Class/SourceLine/0/_relSourcepath,Class/Message,Class/_classname,Class/_primary,Method/SourceLine/0/_classname,Method/SourceLine/0/_start,Method/SourceLine/0/_end,Method/SourceLine/0/_startBytecode,Method/SourceLine/0/_endBytecode,Method/SourceLine/0/_sourcefile,Method/SourceLine/0/_sourcepath,Method/SourceLine/0/_relSourcepath,Method/Message,Method/_classname,Method/_name,Method/_signature,Method/_isStatic,Method/_primary,SourceLine/0/Message,SourceLine/0/_classname,SourceLine/0/_start,SourceLine/0/_end,SourceLine/0/_startBytecode,SourceLine/0/_endBytecode,SourceLine/0/_sourcefile,SourceLine/0/_sourcepath,SourceLine/0/_relSourcepath,SourceLine/0/_synthetic,_type,_priority,_rank,_abbrev,_category,_instanceHash,_instanceOccurrenceNum,_instanceOccurrenceMax,SourceLine/0/_primary,SourceLine/1/Message,SourceLine/1/_classname,SourceLine/1/_start,SourceLine/1/_end,SourceLine/1/_startBytecode,SourceLine/1/_endBytecode,SourceLine/1/_sourcefile,SourceLine/1/_sourcepath,SourceLine/1/_relSourcepath,String/0/Message,String/0/_value,String/0/_role,_cweid,String/1/Message,String/1/_value,String/1/_role
Found JAX-RS REST endpoint,"org.eclipse.che.api.factory.server.FactoryService.org.eclipse.che.api.factory.server.FactoryService.getFactory(String, Boolean) is a REST Web Service endpoint",In FactoryService.java,org.eclipse.che.api.factory.server.FactoryService,FactoryService.java,org/eclipse/che/api/factory/server/FactoryService.java,org\eclipse\che\api\factory\server\FactoryService.java,In class org.eclipse.che.api.factory.server.FactoryService,org.eclipse.che.api.factory.server.FactoryService,true,org.eclipse.che.api.factory.server.FactoryService,165,169,0,133,FactoryService.java,org/eclipse/che/api/factory/server/FactoryService.java,org\eclipse\che\api\factory\server\FactoryService.java,"In method org.eclipse.che.api.factory.server.FactoryService.getFactory(String, Boolean)",org.eclipse.che.api.factory.server.FactoryService,getFactory,(Ljava/lang/String;Ljava/lang/Boolean;)Lorg/eclipse/che/api/factory/shared/dto/FactoryDto;,false,true,At FactoryService.java:[lines 165-169],org.eclipse.che.api.factory.server.FactoryService,165,169,0,133,FactoryService.java,org/eclipse/che/api/factory/server/FactoryService.java,org\eclipse\che\api\factory\server\FactoryService.java,true,JAXRS_ENDPOINT,3,10,SECJRS,SECURITY,80157fc7d9559a86ce118bad0b415b21,0,0,,,,,,,,,,,,,,,,,
Found JAX-RS REST endpoint,"org.eclipse.che.api.factory.server.FactoryService.org.eclipse.che.api.factory.server.FactoryService.getFactoryByAttribute(Integer, Integer, UriInfo) is a REST Web Service endpoint",In FactoryService.java,org.eclipse.che.api.factory.server.FactoryService,FactoryService.java,org/eclipse/che/api/factory/server/FactoryService.java,org\eclipse\che\api\factory\server\FactoryService.java,In class org.eclipse.che.api.factory.server.FactoryService,org.eclipse.che.api.factory.server.FactoryService,true,org.eclipse.che.api.factory.server.FactoryService,198,225,0,603,FactoryService.java,org/eclipse/che/api/factory/server/FactoryService.java,org\eclipse\che\api\factory\server\FactoryService.java,"In method org.eclipse.che.api.factory.server.FactoryService.getFactoryByAttribute(Integer, Integer, UriInfo)",org.eclipse.che.api.factory.server.FactoryService,getFactoryByAttribute,(Ljava/lang/Integer;Ljava/lang/Integer;Ljavax/ws/rs/core/UriInfo;)Ljavax/ws/rs/core/Response;,false,true,At FactoryService.java:[lines 198-225],org.eclipse.che.api.factory.server.FactoryService,198,225,0,603,FactoryService.java,org/eclipse/che/api/factory/server/FactoryService.java,org\eclipse\che\api\factory\server\FactoryService.java,true,JAXRS_ENDPOINT,3,10,SECJRS,SECURITY,5c5a402753b3108f484f586a6857e38c,0,0,,,,,,,,,,,,,,,,,
Found JAX-RS REST endpoint,"org.eclipse.che.api.factory.server.FactoryService.org.eclipse.che.api.factory.server.FactoryService.getFactoryJson(String, String) is a REST Web Service endpoint",In FactoryService.java,org.eclipse.che.api.factory.server.FactoryService,FactoryService.java,org/eclipse/che/api/factory/server/FactoryService.java,org\eclipse\che\api\factory\server\FactoryService.java,In class org.eclipse.che.api.factory.server.FactoryService,org.eclipse.che.api.factory.server.FactoryService,true,org.eclipse.che.api.factory.server.FactoryService,299,309,0,227,FactoryService.java,org/eclipse/che/api/factory/server/FactoryService.java,org\eclipse\che\api\factory\server\FactoryService.java,"In method org.eclipse.che.api.factory.server.FactoryService.getFactoryJson(String, String)",org.eclipse.che.api.factory.server.FactoryService,getFactoryJson,(Ljava/lang/String;Ljava/lang/String;)Ljavax/ws/rs/core/Response;,false,true,At FactoryService.java:[lines 299-309],org.eclipse.che.api.factory.server.FactoryService,299,309,0,227,FactoryService.java,org/eclipse/che/api/factory/server/FactoryService.java,org\eclipse\che\api\factory\server\FactoryService.java,true,JAXRS_ENDPOINT,3,10,SECJRS,SECURITY,aeb7bbce03d4b6646fc6ad32116c5a5d,0,0,,,,,,,,,,,,,,,,,
Found JAX-RS REST endpoint,org.eclipse.che.api.factory.server.FactoryService.org.eclipse.che.api.factory.server.FactoryService.removeFactory(String) is a REST Web Service endpoint,In FactoryService.java,org.eclipse.che.api.factory.server.FactoryService,FactoryService.java,org/eclipse/che/api/factory/server/FactoryService.java,org\eclipse\che\api\factory\server\FactoryService.java,In class org.eclipse.che.api.factory.server.FactoryService,org.eclipse.che.api.factory.server.FactoryService,true,org.eclipse.che.api.factory.server.FactoryService,279,280,0,64,FactoryService.java,org/eclipse/che/api/factory/server/FactoryService.java,org\eclipse\che\api\factory\server\FactoryService.java,In method org.eclipse.che.api.factory.server.FactoryService.removeFactory(String),org.eclipse.che.api.factory.server.FactoryService,removeFactory,(Ljava/lang/String;)V,false,true,At FactoryService.java:[lines 279-280],org.eclipse.che.api.factory.server.FactoryService,279,280,0,64,FactoryService.java,org/eclipse/che/api/factory/server/FactoryService.java,org\eclipse\che\api\factory\server\FactoryService.java,true,JAXRS_ENDPOINT,3,10,SECJRS,SECURITY,a78ecbbd4df8acebe89bf77373e76eaf,0,0,,,,,,,,,,,,,,,,,
Found JAX-RS REST endpoint,"org.eclipse.che.api.factory.server.FactoryService.org.eclipse.che.api.factory.server.FactoryService.resolveFactory(Map, Boolean) is a REST Web Service endpoint",In FactoryService.java,org.eclipse.che.api.factory.server.FactoryService,FactoryService.java,org/eclipse/che/api/factory/server/FactoryService.java,org\eclipse\che\api\factory\server\FactoryService.java,In class org.eclipse.che.api.factory.server.FactoryService,org.eclipse.che.api.factory.server.FactoryService,true,org.eclipse.che.api.factory.server.FactoryService,338,351,0,196,FactoryService.java,org/eclipse/che/api/factory/server/FactoryService.java,org\eclipse\che\api\factory\server\FactoryService.java,"In method org.eclipse.che.api.factory.server.FactoryService.resolveFactory(Map, Boolean)",org.eclipse.che.api.factory.server.FactoryService,resolveFactory,(Ljava/util/Map;Ljava/lang/Boolean;)Lorg/eclipse/che/api/factory/shared/dto/FactoryDto;,false,true,At FactoryService.java:[lines 338-351],org.eclipse.che.api.factory.server.FactoryService,338,351,0,196,FactoryService.java,org/eclipse/che/api/factory/server/FactoryService.java,org\eclipse\che\api\factory\server\FactoryService.java,true,JAXRS_ENDPOINT,3,10,SECJRS,SECURITY,b0047d1b595cad1e22b978c647dae640,0,0,,,,,,,,,,,,,,,,,
Found JAX-RS REST endpoint,"org.eclipse.che.api.factory.server.FactoryService.org.eclipse.che.api.factory.server.FactoryService.updateFactory(String, FactoryDto) is a REST Web Service endpoint",In FactoryService.java,org.eclipse.che.api.factory.server.FactoryService,FactoryService.java,org/eclipse/che/api/factory/server/FactoryService.java,org\eclipse\che\api\factory\server\FactoryService.java,In class org.eclipse.che.api.factory.server.FactoryService,org.eclipse.che.api.factory.server.FactoryService,true,org.eclipse.che.api.factory.server.FactoryService,253,261,0,163,FactoryService.java,org/eclipse/che/api/factory/server/FactoryService.java,org\eclipse\che\api\factory\server\FactoryService.java,"In method org.eclipse.che.api.factory.server.FactoryService.updateFactory(String, FactoryDto)",org.eclipse.che.api.factory.server.FactoryService,updateFactory,(Ljava/lang/String;Lorg/eclipse/che/api/factory/shared/dto/FactoryDto;)Lorg/eclipse/che/api/factory/shared/dto/FactoryDto;,false,true,At FactoryService.java:[lines 253-261],org.eclipse.che.api.factory.server.FactoryService,253,261,0,163,FactoryService.java,org/eclipse/che/api/factory/server/FactoryService.java,org\eclipse\che\api\factory\server\FactoryService.java,true,JAXRS_ENDPOINT,3,10,SECJRS,SECURITY,5e4a926e0113769267d15b59c5fe3633,0,0,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.error(...) might be used to include CRLF characters into log messages,In FactoryBuilder.java,org.eclipse.che.api.factory.server.builder.FactoryBuilder,FactoryBuilder.java,org/eclipse/che/api/factory/server/builder/FactoryBuilder.java,org\eclipse\che\api\factory\server\builder\FactoryBuilder.java,In class org.eclipse.che.api.factory.server.builder.FactoryBuilder,org.eclipse.che.api.factory.server.builder.FactoryBuilder,true,org.eclipse.che.api.factory.server.builder.FactoryBuilder,192,307,0,1756,FactoryBuilder.java,org/eclipse/che/api/factory/server/builder/FactoryBuilder.java,org\eclipse\che\api\factory\server\builder\FactoryBuilder.java,"In method org.eclipse.che.api.factory.server.builder.FactoryBuilder.validateCompatibility(Object, Object, Class, Class, FactoryParameter$Version, String, boolean)",org.eclipse.che.api.factory.server.builder.FactoryBuilder,validateCompatibility,(Ljava/lang/Object;Ljava/lang/Object;Ljava/lang/Class;Ljava/lang/Class;Lorg/eclipse/che/api/core/factory/FactoryParameter$Version;Ljava/lang/String;Z)V,false,true,At FactoryBuilder.java:[line 217],org.eclipse.che.api.factory.server.builder.FactoryBuilder,217,217,202,202,FactoryBuilder.java,org/eclipse/che/api/factory/server/builder/FactoryBuilder.java,org\eclipse\che\api\factory\server\builder\FactoryBuilder.java,,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,7e66c9480ef539939cb9c135a794c6f,0,0,true,At FactoryBuilder.java:[line 217],org.eclipse.che.api.factory.server.builder.FactoryBuilder,217,217,197,197,FactoryBuilder.java,org/eclipse/che/api/factory/server/builder/FactoryBuilder.java,org\eclipse\che\api\factory\server\builder\FactoryBuilder.java,Sink method Logger.error(...),Logger.error(...),Sink method,117,,,
Potential CRLF Injection for logs,This use of Logger.debug(...) might be used to include CRLF characters into log messages,In JpaFactoryDao.java,org.eclipse.che.api.factory.server.jpa.JpaFactoryDao,JpaFactoryDao.java,org/eclipse/che/api/factory/server/jpa/JpaFactoryDao.java,org\eclipse\che\api\factory\server\jpa\JpaFactoryDao.java,In class org.eclipse.che.api.factory.server.jpa.JpaFactoryDao,org.eclipse.che.api.factory.server.jpa.JpaFactoryDao,true,org.eclipse.che.api.factory.server.jpa.JpaFactoryDao,117,134,0,370,JpaFactoryDao.java,org/eclipse/che/api/factory/server/jpa/JpaFactoryDao.java,org\eclipse\che\api\factory\server\jpa\JpaFactoryDao.java,"In method org.eclipse.che.api.factory.server.jpa.JpaFactoryDao.getByAttributes(int, int, List)",org.eclipse.che.api.factory.server.jpa.JpaFactoryDao,getByAttributes,(IILjava/util/List;)Lorg/eclipse/che/api/core/Page;,false,true,At JpaFactoryDao.java:[line 122],org.eclipse.che.api.factory.server.jpa.JpaFactoryDao,122,122,61,61,JpaFactoryDao.java,org/eclipse/che/api/factory/server/jpa/JpaFactoryDao.java,org\eclipse\che\api\factory\server\jpa\JpaFactoryDao.java,,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,890e421858085f917eaa68f9fe005612,0,0,true,,,,,,,,,,Sink method Logger.debug(...),Logger.debug(...),Sink method,117,Method usage not detected,not detected,Method usage
Potential SQL/JPQL Injection (JPA),This use of EntityManager.createQuery(...) can be vulnerable to SQL/JPQL injection,In JpaFactoryDao.java,org.eclipse.che.api.factory.server.jpa.JpaFactoryDao,JpaFactoryDao.java,org/eclipse/che/api/factory/server/jpa/JpaFactoryDao.java,org\eclipse\che\api\factory\server\jpa\JpaFactoryDao.java,In class org.eclipse.che.api.factory.server.jpa.JpaFactoryDao,org.eclipse.che.api.factory.server.jpa.JpaFactoryDao,true,org.eclipse.che.api.factory.server.jpa.JpaFactoryDao,183,199,0,570,JpaFactoryDao.java,org/eclipse/che/api/factory/server/jpa/JpaFactoryDao.java,org\eclipse\che\api\factory\server\jpa\JpaFactoryDao.java,In method org.eclipse.che.api.factory.server.jpa.JpaFactoryDao.countFactoriesByAttributes(List),org.eclipse.che.api.factory.server.jpa.JpaFactoryDao,countFactoriesByAttributes,(Ljava/util/List;)Ljava/lang/Long;,false,true,At JpaFactoryDao.java:[line 195],org.eclipse.che.api.factory.server.jpa.JpaFactoryDao,195,195,188,188,JpaFactoryDao.java,org/eclipse/che/api/factory/server/jpa/JpaFactoryDao.java,org\eclipse\che\api\factory\server\jpa\JpaFactoryDao.java,,SQL_INJECTION_JPA,2,7,SECSQLIJPA,SECURITY,8616c1c35f80407c74383d618bdf85cd,0,0,true,At JpaFactoryDao.java:[line 195],org.eclipse.che.api.factory.server.jpa.JpaFactoryDao,195,195,183,183,JpaFactoryDao.java,org/eclipse/che/api/factory/server/jpa/JpaFactoryDao.java,org\eclipse\che\api\factory\server\jpa\JpaFactoryDao.java,Sink method EntityManager.createQuery(...),EntityManager.createQuery(...),Sink method,89,,,
Potential SQL/JPQL Injection (JPA),This use of EntityManager.createQuery(...) can be vulnerable to SQL/JPQL injection,In JpaFactoryDao.java,org.eclipse.che.api.factory.server.jpa.JpaFactoryDao,JpaFactoryDao.java,org/eclipse/che/api/factory/server/jpa/JpaFactoryDao.java,org\eclipse\che\api\factory\server\jpa\JpaFactoryDao.java,In class org.eclipse.che.api.factory.server.jpa.JpaFactoryDao,org.eclipse.che.api.factory.server.jpa.JpaFactoryDao,true,org.eclipse.che.api.factory.server.jpa.JpaFactoryDao,158,179,0,651,JpaFactoryDao.java,org/eclipse/che/api/factory/server/jpa/JpaFactoryDao.java,org\eclipse\che\api\factory\server\jpa\JpaFactoryDao.java,"In method org.eclipse.che.api.factory.server.jpa.JpaFactoryDao.getFactoriesByAttributes(int, long, List)",org.eclipse.che.api.factory.server.jpa.JpaFactoryDao,getFactoriesByAttributes,(IJLjava/util/List;)Ljava/util/List;,false,true,At JpaFactoryDao.java:[line 173],org.eclipse.che.api.factory.server.jpa.JpaFactoryDao,173,173,194,194,JpaFactoryDao.java,org/eclipse/che/api/factory/server/jpa/JpaFactoryDao.java,org\eclipse\che\api\factory\server\jpa\JpaFactoryDao.java,,SQL_INJECTION_JPA,2,7,SECSQLIJPA,SECURITY,23eb55ad6f7a5623b3568517fc481e00,0,0,true,At JpaFactoryDao.java:[line 173],org.eclipse.che.api.factory.server.jpa.JpaFactoryDao,173,173,189,189,JpaFactoryDao.java,org/eclipse/che/api/factory/server/jpa/JpaFactoryDao.java,org\eclipse\che\api\factory\server\jpa\JpaFactoryDao.java,Sink method EntityManager.createQuery(...),EntityManager.createQuery(...),Sink method,89,,,
