ShortMessage,LongMessage,Class/SourceLine/0/Message,Class/SourceLine/0/_classname,Class/SourceLine/0/_sourcefile,Class/SourceLine/0/_sourcepath,Class/SourceLine/0/_relSourcepath,Class/Message,Class/_classname,Class/_primary,Method/SourceLine/0/_classname,Method/SourceLine/0/_start,Method/SourceLine/0/_end,Method/SourceLine/0/_startBytecode,Method/SourceLine/0/_endBytecode,Method/SourceLine/0/_sourcefile,Method/SourceLine/0/_sourcepath,Method/SourceLine/0/_relSourcepath,Method/Message,Method/_classname,Method/_name,Method/_signature,Method/_isStatic,Method/_primary,SourceLine/0/Message,SourceLine/0/_classname,SourceLine/0/_primary,SourceLine/0/_start,SourceLine/0/_end,SourceLine/0/_startBytecode,SourceLine/0/_endBytecode,SourceLine/0/_sourcefile,SourceLine/0/_sourcepath,SourceLine/0/_relSourcepath,SourceLine/1/Message,SourceLine/1/_classname,SourceLine/1/_start,SourceLine/1/_end,SourceLine/1/_startBytecode,SourceLine/1/_endBytecode,SourceLine/1/_sourcefile,SourceLine/1/_sourcepath,SourceLine/1/_relSourcepath,String/Message,String/_value,String/_role,_type,_priority,_rank,_abbrev,_category,_instanceHash,_instanceOccurrenceNum,_instanceOccurrenceMax,_cweid,SourceLine/2/Message,SourceLine/2/_classname,SourceLine/2/_start,SourceLine/2/_end,SourceLine/2/_startBytecode,SourceLine/2/_endBytecode,SourceLine/2/_sourcefile,SourceLine/2/_sourcepath,SourceLine/2/_relSourcepath,SourceLine/3/Message,SourceLine/3/_classname,SourceLine/3/_start,SourceLine/3/_end,SourceLine/3/_startBytecode,SourceLine/3/_endBytecode,SourceLine/3/_sourcefile,SourceLine/3/_sourcepath,SourceLine/3/_relSourcepath
Potential CRLF Injection for logs,This use of Logger.debug(...) might be used to include CRLF characters into log messages,In OpenShiftEnvironmentProvisioner.java,org.eclipse.che.workspace.infrastructure.openshift.OpenShiftEnvironmentProvisioner,OpenShiftEnvironmentProvisioner.java,org/eclipse/che/workspace/infrastructure/openshift/OpenShiftEnvironmentProvisioner.java,org\eclipse\che\workspace\infrastructure\openshift\OpenShiftEnvironmentProvisioner.java,In class org.eclipse.che.workspace.infrastructure.openshift.OpenShiftEnvironmentProvisioner,org.eclipse.che.workspace.infrastructure.openshift.OpenShiftEnvironmentProvisioner,true,org.eclipse.che.workspace.infrastructure.openshift.OpenShiftEnvironmentProvisioner,121,153,0,393,OpenShiftEnvironmentProvisioner.java,org/eclipse/che/workspace/infrastructure/openshift/OpenShiftEnvironmentProvisioner.java,org\eclipse\che\workspace\infrastructure\openshift\OpenShiftEnvironmentProvisioner.java,"In method org.eclipse.che.workspace.infrastructure.openshift.OpenShiftEnvironmentProvisioner.provision(OpenShiftEnvironment, RuntimeIdentity)",org.eclipse.che.workspace.infrastructure.openshift.OpenShiftEnvironmentProvisioner,provision,(Lorg/eclipse/che/workspace/infrastructure/openshift/environment/OpenShiftEnvironment;Lorg/eclipse/che/api/core/model/workspace/runtime/RuntimeIdentity;)V,false,true,At OpenShiftEnvironmentProvisioner.java:[line 123],org.eclipse.che.workspace.infrastructure.openshift.OpenShiftEnvironmentProvisioner,true,123,123,28,28,OpenShiftEnvironmentProvisioner.java,org/eclipse/che/workspace/infrastructure/openshift/OpenShiftEnvironmentProvisioner.java,org\eclipse\che\workspace\infrastructure\openshift\OpenShiftEnvironmentProvisioner.java,At OpenShiftEnvironmentProvisioner.java:[line 124],org.eclipse.che.workspace.infrastructure.openshift.OpenShiftEnvironmentProvisioner,124,124,23,23,OpenShiftEnvironmentProvisioner.java,org/eclipse/che/workspace/infrastructure/openshift/OpenShiftEnvironmentProvisioner.java,org\eclipse\che\workspace\infrastructure\openshift\OpenShiftEnvironmentProvisioner.java,Sink method Logger.debug(...),Logger.debug(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,4bbeba07bb292e3fb14cdc352ff93d40,0,1,117,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.debug(...) might be used to include CRLF characters into log messages,In OpenShiftEnvironmentProvisioner.java,org.eclipse.che.workspace.infrastructure.openshift.OpenShiftEnvironmentProvisioner,OpenShiftEnvironmentProvisioner.java,org/eclipse/che/workspace/infrastructure/openshift/OpenShiftEnvironmentProvisioner.java,org\eclipse\che\workspace\infrastructure\openshift\OpenShiftEnvironmentProvisioner.java,In class org.eclipse.che.workspace.infrastructure.openshift.OpenShiftEnvironmentProvisioner,org.eclipse.che.workspace.infrastructure.openshift.OpenShiftEnvironmentProvisioner,true,org.eclipse.che.workspace.infrastructure.openshift.OpenShiftEnvironmentProvisioner,121,153,0,393,OpenShiftEnvironmentProvisioner.java,org/eclipse/che/workspace/infrastructure/openshift/OpenShiftEnvironmentProvisioner.java,org\eclipse\che\workspace\infrastructure\openshift\OpenShiftEnvironmentProvisioner.java,"In method org.eclipse.che.workspace.infrastructure.openshift.OpenShiftEnvironmentProvisioner.provision(OpenShiftEnvironment, RuntimeIdentity)",org.eclipse.che.workspace.infrastructure.openshift.OpenShiftEnvironmentProvisioner,provision,(Lorg/eclipse/che/workspace/infrastructure/openshift/environment/OpenShiftEnvironment;Lorg/eclipse/che/api/core/model/workspace/runtime/RuntimeIdentity;)V,false,true,At OpenShiftEnvironmentProvisioner.java:[line 151],org.eclipse.che.workspace.infrastructure.openshift.OpenShiftEnvironmentProvisioner,true,151,151,212,212,OpenShiftEnvironmentProvisioner.java,org/eclipse/che/workspace/infrastructure/openshift/OpenShiftEnvironmentProvisioner.java,org\eclipse\che\workspace\infrastructure\openshift\OpenShiftEnvironmentProvisioner.java,At OpenShiftEnvironmentProvisioner.java:[line 152],org.eclipse.che.workspace.infrastructure.openshift.OpenShiftEnvironmentProvisioner,152,152,207,207,OpenShiftEnvironmentProvisioner.java,org/eclipse/che/workspace/infrastructure/openshift/OpenShiftEnvironmentProvisioner.java,org\eclipse\che\workspace\infrastructure\openshift\OpenShiftEnvironmentProvisioner.java,Sink method Logger.debug(...),Logger.debug(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,4bbeba07bb292e3fb14cdc352ff93d40,1,1,117,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.debug(...) might be used to include CRLF characters into log messages,In OpenShiftRuntimeContext.java,org.eclipse.che.workspace.infrastructure.openshift.OpenShiftRuntimeContext,OpenShiftRuntimeContext.java,org/eclipse/che/workspace/infrastructure/openshift/OpenShiftRuntimeContext.java,org\eclipse\che\workspace\infrastructure\openshift\OpenShiftRuntimeContext.java,In class org.eclipse.che.workspace.infrastructure.openshift.OpenShiftRuntimeContext,org.eclipse.che.workspace.infrastructure.openshift.OpenShiftRuntimeContext,true,org.eclipse.che.workspace.infrastructure.openshift.OpenShiftRuntimeContext,64,86,0,329,OpenShiftRuntimeContext.java,org/eclipse/che/workspace/infrastructure/openshift/OpenShiftRuntimeContext.java,org\eclipse\che\workspace\infrastructure\openshift\OpenShiftRuntimeContext.java,In method org.eclipse.che.workspace.infrastructure.openshift.OpenShiftRuntimeContext.getRuntime(),org.eclipse.che.workspace.infrastructure.openshift.OpenShiftRuntimeContext,getRuntime,()Lorg/eclipse/che/workspace/infrastructure/openshift/OpenShiftInternalRuntime;,false,true,At OpenShiftRuntimeContext.java:[line 75],org.eclipse.che.workspace.infrastructure.openshift.OpenShiftRuntimeContext,true,75,75,106,106,OpenShiftRuntimeContext.java,org/eclipse/che/workspace/infrastructure/openshift/OpenShiftRuntimeContext.java,org\eclipse\che\workspace\infrastructure\openshift\OpenShiftRuntimeContext.java,At OpenShiftRuntimeContext.java:[line 77],org.eclipse.che.workspace.infrastructure.openshift.OpenShiftRuntimeContext,77,77,80,80,OpenShiftRuntimeContext.java,org/eclipse/che/workspace/infrastructure/openshift/OpenShiftRuntimeContext.java,org\eclipse\che\workspace\infrastructure\openshift\OpenShiftRuntimeContext.java,Sink method Logger.debug(...),Logger.debug(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,5ab6ace0ae73f1d935212d84e543871,0,0,117,At OpenShiftRuntimeContext.java:[line 78],org.eclipse.che.workspace.infrastructure.openshift.OpenShiftRuntimeContext,78,78,90,90,OpenShiftRuntimeContext.java,org/eclipse/che/workspace/infrastructure/openshift/OpenShiftRuntimeContext.java,org\eclipse\che\workspace\infrastructure\openshift\OpenShiftRuntimeContext.java,At OpenShiftRuntimeContext.java:[line 79],org.eclipse.che.workspace.infrastructure.openshift.OpenShiftRuntimeContext,79,79,100,100,OpenShiftRuntimeContext.java,org/eclipse/che/workspace/infrastructure/openshift/OpenShiftRuntimeContext.java,org\eclipse\che\workspace\infrastructure\openshift\OpenShiftRuntimeContext.java
Potential CRLF Injection for logs,This use of Logger.debug(...) might be used to include CRLF characters into log messages,In IdentityProviderConfigFactory.java,org.eclipse.che.workspace.infrastructure.openshift.multiuser.oauth.IdentityProviderConfigFactory,IdentityProviderConfigFactory.java,org/eclipse/che/workspace/infrastructure/openshift/multiuser/oauth/IdentityProviderConfigFactory.java,org\eclipse\che\workspace\infrastructure\openshift\multiuser\oauth\IdentityProviderConfigFactory.java,In class org.eclipse.che.workspace.infrastructure.openshift.multiuser.oauth.IdentityProviderConfigFactory,org.eclipse.che.workspace.infrastructure.openshift.multiuser.oauth.IdentityProviderConfigFactory,true,org.eclipse.che.workspace.infrastructure.openshift.multiuser.oauth.IdentityProviderConfigFactory,123,167,0,420,IdentityProviderConfigFactory.java,org/eclipse/che/workspace/infrastructure/openshift/multiuser/oauth/IdentityProviderConfigFactory.java,org\eclipse\che\workspace\infrastructure\openshift\multiuser\oauth\IdentityProviderConfigFactory.java,"In method org.eclipse.che.workspace.infrastructure.openshift.multiuser.oauth.IdentityProviderConfigFactory.buildConfig(Config, String)",org.eclipse.che.workspace.infrastructure.openshift.multiuser.oauth.IdentityProviderConfigFactory,buildConfig,(Lio/fabric8/kubernetes/client/Config;Ljava/lang/String;)Lio/fabric8/kubernetes/client/Config;,false,true,At IdentityProviderConfigFactory.java:[line 157],org.eclipse.che.workspace.infrastructure.openshift.multiuser.oauth.IdentityProviderConfigFactory,true,157,157,157,157,IdentityProviderConfigFactory.java,org/eclipse/che/workspace/infrastructure/openshift/multiuser/oauth/IdentityProviderConfigFactory.java,org\eclipse\che\workspace\infrastructure\openshift\multiuser\oauth\IdentityProviderConfigFactory.java,At IdentityProviderConfigFactory.java:[line 152],org.eclipse.che.workspace.infrastructure.openshift.multiuser.oauth.IdentityProviderConfigFactory,152,152,118,118,IdentityProviderConfigFactory.java,org/eclipse/che/workspace/infrastructure/openshift/multiuser/oauth/IdentityProviderConfigFactory.java,org\eclipse\che\workspace\infrastructure\openshift\multiuser\oauth\IdentityProviderConfigFactory.java,Sink method Logger.debug(...),Logger.debug(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,41fd7f9d41d014d04cae1b06a356d7f8,0,0,117,At IdentityProviderConfigFactory.java:[line 154],org.eclipse.che.workspace.infrastructure.openshift.multiuser.oauth.IdentityProviderConfigFactory,154,154,134,134,IdentityProviderConfigFactory.java,org/eclipse/che/workspace/infrastructure/openshift/multiuser/oauth/IdentityProviderConfigFactory.java,org\eclipse\che\workspace\infrastructure\openshift\multiuser\oauth\IdentityProviderConfigFactory.java,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.error(...) might be used to include CRLF characters into log messages,In IdentityProviderConfigFactory.java,org.eclipse.che.workspace.infrastructure.openshift.multiuser.oauth.IdentityProviderConfigFactory,IdentityProviderConfigFactory.java,org/eclipse/che/workspace/infrastructure/openshift/multiuser/oauth/IdentityProviderConfigFactory.java,org\eclipse\che\workspace\infrastructure\openshift\multiuser\oauth\IdentityProviderConfigFactory.java,In class org.eclipse.che.workspace.infrastructure.openshift.multiuser.oauth.IdentityProviderConfigFactory,org.eclipse.che.workspace.infrastructure.openshift.multiuser.oauth.IdentityProviderConfigFactory,true,org.eclipse.che.workspace.infrastructure.openshift.multiuser.oauth.IdentityProviderConfigFactory,172,209,0,511,IdentityProviderConfigFactory.java,org/eclipse/che/workspace/infrastructure/openshift/multiuser/oauth/IdentityProviderConfigFactory.java,org\eclipse\che\workspace\infrastructure\openshift\multiuser\oauth\IdentityProviderConfigFactory.java,In method org.eclipse.che.workspace.infrastructure.openshift.multiuser.oauth.IdentityProviderConfigFactory.personalizeConfig(Config),org.eclipse.che.workspace.infrastructure.openshift.multiuser.oauth.IdentityProviderConfigFactory,personalizeConfig,(Lio/fabric8/kubernetes/client/Config;)Lio/fabric8/kubernetes/client/Config;,false,true,At IdentityProviderConfigFactory.java:[line 190],org.eclipse.che.workspace.infrastructure.openshift.multiuser.oauth.IdentityProviderConfigFactory,true,190,190,151,151,IdentityProviderConfigFactory.java,org/eclipse/che/workspace/infrastructure/openshift/multiuser/oauth/IdentityProviderConfigFactory.java,org\eclipse\che\workspace\infrastructure\openshift\multiuser\oauth\IdentityProviderConfigFactory.java,At IdentityProviderConfigFactory.java:[line 190],org.eclipse.che.workspace.infrastructure.openshift.multiuser.oauth.IdentityProviderConfigFactory,190,190,147,147,IdentityProviderConfigFactory.java,org/eclipse/che/workspace/infrastructure/openshift/multiuser/oauth/IdentityProviderConfigFactory.java,org\eclipse\che\workspace\infrastructure\openshift\multiuser\oauth\IdentityProviderConfigFactory.java,Sink method Logger.error(...),Logger.error(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,10c2ad4769c947df38bd50a013a85c75,0,1,117,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.error(...) might be used to include CRLF characters into log messages,In IdentityProviderConfigFactory.java,org.eclipse.che.workspace.infrastructure.openshift.multiuser.oauth.IdentityProviderConfigFactory,IdentityProviderConfigFactory.java,org/eclipse/che/workspace/infrastructure/openshift/multiuser/oauth/IdentityProviderConfigFactory.java,org\eclipse\che\workspace\infrastructure\openshift\multiuser\oauth\IdentityProviderConfigFactory.java,In class org.eclipse.che.workspace.infrastructure.openshift.multiuser.oauth.IdentityProviderConfigFactory,org.eclipse.che.workspace.infrastructure.openshift.multiuser.oauth.IdentityProviderConfigFactory,true,org.eclipse.che.workspace.infrastructure.openshift.multiuser.oauth.IdentityProviderConfigFactory,172,209,0,511,IdentityProviderConfigFactory.java,org/eclipse/che/workspace/infrastructure/openshift/multiuser/oauth/IdentityProviderConfigFactory.java,org\eclipse\che\workspace\infrastructure\openshift\multiuser\oauth\IdentityProviderConfigFactory.java,In method org.eclipse.che.workspace.infrastructure.openshift.multiuser.oauth.IdentityProviderConfigFactory.personalizeConfig(Config),org.eclipse.che.workspace.infrastructure.openshift.multiuser.oauth.IdentityProviderConfigFactory,personalizeConfig,(Lio/fabric8/kubernetes/client/Config;)Lio/fabric8/kubernetes/client/Config;,false,true,At IdentityProviderConfigFactory.java:[line 204],org.eclipse.che.workspace.infrastructure.openshift.multiuser.oauth.IdentityProviderConfigFactory,true,204,204,226,226,IdentityProviderConfigFactory.java,org/eclipse/che/workspace/infrastructure/openshift/multiuser/oauth/IdentityProviderConfigFactory.java,org\eclipse\che\workspace\infrastructure\openshift\multiuser\oauth\IdentityProviderConfigFactory.java,At IdentityProviderConfigFactory.java:[line 204],org.eclipse.che.workspace.infrastructure.openshift.multiuser.oauth.IdentityProviderConfigFactory,204,204,222,222,IdentityProviderConfigFactory.java,org/eclipse/che/workspace/infrastructure/openshift/multiuser/oauth/IdentityProviderConfigFactory.java,org\eclipse\che\workspace\infrastructure\openshift\multiuser\oauth\IdentityProviderConfigFactory.java,Sink method Logger.error(...),Logger.error(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,10c2ad4769c947df38bd50a013a85c75,1,1,117,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.warn(...) might be used to include CRLF characters into log messages,In OpenShiftProject.java,org.eclipse.che.workspace.infrastructure.openshift.project.OpenShiftProject,OpenShiftProject.java,org/eclipse/che/workspace/infrastructure/openshift/project/OpenShiftProject.java,org\eclipse\che\workspace\infrastructure\openshift\project\OpenShiftProject.java,In class org.eclipse.che.workspace.infrastructure.openshift.project.OpenShiftProject,org.eclipse.che.workspace.infrastructure.openshift.project.OpenShiftProject,true,org.eclipse.che.workspace.infrastructure.openshift.project.OpenShiftProject,201,214,0,246,OpenShiftProject.java,org/eclipse/che/workspace/infrastructure/openshift/project/OpenShiftProject.java,org\eclipse\che\workspace\infrastructure\openshift\project\OpenShiftProject.java,"In method org.eclipse.che.workspace.infrastructure.openshift.project.OpenShiftProject.delete(String, OpenShiftClient)",org.eclipse.che.workspace.infrastructure.openshift.project.OpenShiftProject,delete,(Ljava/lang/String;Lio/fabric8/openshift/client/OpenShiftClient;)V,false,true,At OpenShiftProject.java:[line 204],org.eclipse.che.workspace.infrastructure.openshift.project.OpenShiftProject,true,204,204,52,52,OpenShiftProject.java,org/eclipse/che/workspace/infrastructure/openshift/project/OpenShiftProject.java,org\eclipse\che\workspace\infrastructure\openshift\project\OpenShiftProject.java,At OpenShiftProject.java:[line 132],org.eclipse.che.workspace.infrastructure.openshift.project.OpenShiftProject,132,132,6,6,OpenShiftProject.java,org/eclipse/che/workspace/infrastructure/openshift/project/OpenShiftProject.java,org\eclipse\che\workspace\infrastructure\openshift\project\OpenShiftProject.java,Sink method Logger.warn(...),Logger.warn(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,da4631afb317962e688789f21f1adaa3,0,0,117,At OpenShiftProject.java:[line 147],org.eclipse.che.workspace.infrastructure.openshift.project.OpenShiftProject,147,147,55,55,OpenShiftProject.java,org/eclipse/che/workspace/infrastructure/openshift/project/OpenShiftProject.java,org\eclipse\che\workspace\infrastructure\openshift\project\OpenShiftProject.java,At OpenShiftProject.java:[line 205],org.eclipse.che.workspace.infrastructure.openshift.project.OpenShiftProject,205,205,48,48,OpenShiftProject.java,org/eclipse/che/workspace/infrastructure/openshift/project/OpenShiftProject.java,org\eclipse\che\workspace\infrastructure\openshift\project\OpenShiftProject.java
Potential CRLF Injection for logs,This use of Logger.info(...) might be used to include CRLF characters into log messages,In OpenShiftProject.java,org.eclipse.che.workspace.infrastructure.openshift.project.OpenShiftProject,OpenShiftProject.java,org/eclipse/che/workspace/infrastructure/openshift/project/OpenShiftProject.java,org\eclipse\che\workspace\infrastructure\openshift\project\OpenShiftProject.java,In class org.eclipse.che.workspace.infrastructure.openshift.project.OpenShiftProject,org.eclipse.che.workspace.infrastructure.openshift.project.OpenShiftProject,true,org.eclipse.che.workspace.infrastructure.openshift.project.OpenShiftProject,201,214,0,246,OpenShiftProject.java,org/eclipse/che/workspace/infrastructure/openshift/project/OpenShiftProject.java,org\eclipse\che\workspace\infrastructure\openshift\project\OpenShiftProject.java,"In method org.eclipse.che.workspace.infrastructure.openshift.project.OpenShiftProject.delete(String, OpenShiftClient)",org.eclipse.che.workspace.infrastructure.openshift.project.OpenShiftProject,delete,(Ljava/lang/String;Lio/fabric8/openshift/client/OpenShiftClient;)V,false,true,At OpenShiftProject.java:[line 209],org.eclipse.che.workspace.infrastructure.openshift.project.OpenShiftProject,true,209,209,87,87,OpenShiftProject.java,org/eclipse/che/workspace/infrastructure/openshift/project/OpenShiftProject.java,org\eclipse\che\workspace\infrastructure\openshift\project\OpenShiftProject.java,At OpenShiftProject.java:[line 132],org.eclipse.che.workspace.infrastructure.openshift.project.OpenShiftProject,132,132,6,6,OpenShiftProject.java,org/eclipse/che/workspace/infrastructure/openshift/project/OpenShiftProject.java,org\eclipse\che\workspace\infrastructure\openshift\project\OpenShiftProject.java,Sink method Logger.info(...),Logger.info(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,bc1cab1b4b6147dfdd4114da390f6034,0,0,117,At OpenShiftProject.java:[line 147],org.eclipse.che.workspace.infrastructure.openshift.project.OpenShiftProject,147,147,55,55,OpenShiftProject.java,org/eclipse/che/workspace/infrastructure/openshift/project/OpenShiftProject.java,org\eclipse\che\workspace\infrastructure\openshift\project\OpenShiftProject.java,At OpenShiftProject.java:[line 209],org.eclipse.che.workspace.infrastructure.openshift.project.OpenShiftProject,209,209,83,83,OpenShiftProject.java,org/eclipse/che/workspace/infrastructure/openshift/project/OpenShiftProject.java,org\eclipse\che\workspace\infrastructure\openshift\project\OpenShiftProject.java
Potential CRLF Injection for logs,This use of Logger.warn(...) might be used to include CRLF characters into log messages,In OpenShiftWorkspaceServiceAccount.java,org.eclipse.che.workspace.infrastructure.openshift.project.OpenShiftWorkspaceServiceAccount,OpenShiftWorkspaceServiceAccount.java,org/eclipse/che/workspace/infrastructure/openshift/project/OpenShiftWorkspaceServiceAccount.java,org\eclipse\che\workspace\infrastructure\openshift\project\OpenShiftWorkspaceServiceAccount.java,In class org.eclipse.che.workspace.infrastructure.openshift.project.OpenShiftWorkspaceServiceAccount,org.eclipse.che.workspace.infrastructure.openshift.project.OpenShiftWorkspaceServiceAccount,true,org.eclipse.che.workspace.infrastructure.openshift.project.OpenShiftWorkspaceServiceAccount,70,106,0,493,OpenShiftWorkspaceServiceAccount.java,org/eclipse/che/workspace/infrastructure/openshift/project/OpenShiftWorkspaceServiceAccount.java,org\eclipse\che\workspace\infrastructure\openshift\project\OpenShiftWorkspaceServiceAccount.java,In method org.eclipse.che.workspace.infrastructure.openshift.project.OpenShiftWorkspaceServiceAccount.prepare(),org.eclipse.che.workspace.infrastructure.openshift.project.OpenShiftWorkspaceServiceAccount,prepare,()V,false,true,At OpenShiftWorkspaceServiceAccount.java:[line 101],org.eclipse.che.workspace.infrastructure.openshift.project.OpenShiftWorkspaceServiceAccount,true,101,101,309,309,OpenShiftWorkspaceServiceAccount.java,org/eclipse/che/workspace/infrastructure/openshift/project/OpenShiftWorkspaceServiceAccount.java,org\eclipse\che\workspace\infrastructure\openshift\project\OpenShiftWorkspaceServiceAccount.java,At OpenShiftWorkspaceServiceAccount.java:[line 101],org.eclipse.che.workspace.infrastructure.openshift.project.OpenShiftWorkspaceServiceAccount,101,101,306,306,OpenShiftWorkspaceServiceAccount.java,org/eclipse/che/workspace/infrastructure/openshift/project/OpenShiftWorkspaceServiceAccount.java,org\eclipse\che\workspace\infrastructure\openshift\project\OpenShiftWorkspaceServiceAccount.java,Sink method Logger.warn(...),Logger.warn(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,1dc1d27b33c1ffbf8b42704da880753c,0,0,117,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.warn(...) might be used to include CRLF characters into log messages,In RemoveProjectOnWorkspaceRemove.java,org.eclipse.che.workspace.infrastructure.openshift.project.RemoveProjectOnWorkspaceRemove,RemoveProjectOnWorkspaceRemove.java,org/eclipse/che/workspace/infrastructure/openshift/project/RemoveProjectOnWorkspaceRemove.java,org\eclipse\che\workspace\infrastructure\openshift\project\RemoveProjectOnWorkspaceRemove.java,In class org.eclipse.che.workspace.infrastructure.openshift.project.RemoveProjectOnWorkspaceRemove,org.eclipse.che.workspace.infrastructure.openshift.project.RemoveProjectOnWorkspaceRemove,true,org.eclipse.che.workspace.infrastructure.openshift.project.RemoveProjectOnWorkspaceRemove,48,55,0,149,RemoveProjectOnWorkspaceRemove.java,org/eclipse/che/workspace/infrastructure/openshift/project/RemoveProjectOnWorkspaceRemove.java,org\eclipse\che\workspace\infrastructure\openshift\project\RemoveProjectOnWorkspaceRemove.java,In method org.eclipse.che.workspace.infrastructure.openshift.project.RemoveProjectOnWorkspaceRemove.onEvent(WorkspaceRemovedEvent),org.eclipse.che.workspace.infrastructure.openshift.project.RemoveProjectOnWorkspaceRemove,onEvent,(Lorg/eclipse/che/api/workspace/shared/event/WorkspaceRemovedEvent;)V,false,true,At RemoveProjectOnWorkspaceRemove.java:[line 50],org.eclipse.che.workspace.infrastructure.openshift.project.RemoveProjectOnWorkspaceRemove,true,50,50,33,33,RemoveProjectOnWorkspaceRemove.java,org/eclipse/che/workspace/infrastructure/openshift/project/RemoveProjectOnWorkspaceRemove.java,org\eclipse\che\workspace\infrastructure\openshift\project\RemoveProjectOnWorkspaceRemove.java,At RemoveProjectOnWorkspaceRemove.java:[line 53],org.eclipse.che.workspace.infrastructure.openshift.project.RemoveProjectOnWorkspaceRemove,53,53,30,30,RemoveProjectOnWorkspaceRemove.java,org/eclipse/che/workspace/infrastructure/openshift/project/RemoveProjectOnWorkspaceRemove.java,org\eclipse\che\workspace\infrastructure\openshift\project\RemoveProjectOnWorkspaceRemove.java,Sink method Logger.warn(...),Logger.warn(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,2c7b87d20c4cb42fa73f5d623ddad2ae,0,0,117,,,,,,,,,,,,,,,,,,
