ShortMessage,LongMessage,Class/SourceLine/0/Message,Class/SourceLine/0/_classname,Class/SourceLine/0/_sourcefile,Class/SourceLine/0/_sourcepath,Class/SourceLine/0/_relSourcepath,Class/Message,Class/_classname,Class/_primary,Method/SourceLine/0/_classname,Method/SourceLine/0/_start,Method/SourceLine/0/_end,Method/SourceLine/0/_startBytecode,Method/SourceLine/0/_endBytecode,Method/SourceLine/0/_sourcefile,Method/SourceLine/0/_sourcepath,Method/SourceLine/0/_relSourcepath,Method/Message,Method/_classname,Method/_name,Method/_signature,Method/_isStatic,Method/_primary,SourceLine/0/Message,SourceLine/0/_classname,SourceLine/0/_primary,SourceLine/0/_start,SourceLine/0/_end,SourceLine/0/_startBytecode,SourceLine/0/_endBytecode,SourceLine/0/_sourcefile,SourceLine/0/_sourcepath,SourceLine/0/_relSourcepath,SourceLine/1/Message,SourceLine/1/_classname,SourceLine/1/_start,SourceLine/1/_end,SourceLine/1/_startBytecode,SourceLine/1/_endBytecode,SourceLine/1/_sourcefile,SourceLine/1/_sourcepath,SourceLine/1/_relSourcepath,String/Message,String/_value,String/_role,_type,_priority,_rank,_abbrev,_category,_instanceHash,_instanceOccurrenceNum,_instanceOccurrenceMax,_cweid,SourceLine/0/_synthetic
Potential CRLF Injection for logs,This use of Logger.error(...) might be used to include CRLF characters into log messages,In CronThreadPullTermination.java,org.eclipse.che.api.system.server.CronThreadPullTermination,CronThreadPullTermination.java,org/eclipse/che/api/system/server/CronThreadPullTermination.java,org\eclipse\che\api\system\server\CronThreadPullTermination.java,In class org.eclipse.che.api.system.server.CronThreadPullTermination,org.eclipse.che.api.system.server.CronThreadPullTermination,true,org.eclipse.che.api.system.server.CronThreadPullTermination,48,52,0,130,CronThreadPullTermination.java,org/eclipse/che/api/system/server/CronThreadPullTermination.java,org\eclipse\che\api\system\server\CronThreadPullTermination.java,In method org.eclipse.che.api.system.server.CronThreadPullTermination.suspend(),org.eclipse.che.api.system.server.CronThreadPullTermination,suspend,()V,false,true,At CronThreadPullTermination.java:[line 50],org.eclipse.che.api.system.server.CronThreadPullTermination,true,50,50,36,36,CronThreadPullTermination.java,org/eclipse/che/api/system/server/CronThreadPullTermination.java,org\eclipse\che\api\system\server\CronThreadPullTermination.java,At CronThreadPullTermination.java:[line 50],org.eclipse.che.api.system.server.CronThreadPullTermination,50,50,33,33,CronThreadPullTermination.java,org/eclipse/che/api/system/server/CronThreadPullTermination.java,org\eclipse\che\api\system\server\CronThreadPullTermination.java,Sink method Logger.error(...),Logger.error(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,fa521ce96e7509e4d84c8bd43678714f,0,0,117,
Found JAX-RS REST endpoint,org.eclipse.che.api.system.server.JvmService.org.eclipse.che.api.system.server.JvmService.heapDump() is a REST Web Service endpoint,In JvmService.java,org.eclipse.che.api.system.server.JvmService,JvmService.java,org/eclipse/che/api/system/server/JvmService.java,org\eclipse\che\api\system\server\JvmService.java,In class org.eclipse.che.api.system.server.JvmService,org.eclipse.che.api.system.server.JvmService,true,org.eclipse.che.api.system.server.JvmService,67,69,0,128,JvmService.java,org/eclipse/che/api/system/server/JvmService.java,org\eclipse\che\api\system\server\JvmService.java,In method org.eclipse.che.api.system.server.JvmService.heapDump(),org.eclipse.che.api.system.server.JvmService,heapDump,()Ljavax/ws/rs/core/Response;,false,true,At JvmService.java:[lines 67-69],org.eclipse.che.api.system.server.JvmService,,67,69,0,128,JvmService.java,org/eclipse/che/api/system/server/JvmService.java,org\eclipse\che\api\system\server\JvmService.java,,,,,,,,,,,,,JAXRS_ENDPOINT,3,10,SECJRS,SECURITY,78d03d63022e9296f885aee214cf3f36,0,0,,true
Found JAX-RS REST endpoint,org.eclipse.che.api.system.server.JvmService.org.eclipse.che.api.system.server.JvmService.threadDump() is a REST Web Service endpoint,In JvmService.java,org.eclipse.che.api.system.server.JvmService,JvmService.java,org/eclipse/che/api/system/server/JvmService.java,org\eclipse\che\api\system\server\JvmService.java,In class org.eclipse.che.api.system.server.JvmService,org.eclipse.che.api.system.server.JvmService,true,org.eclipse.che.api.system.server.JvmService,57,57,0,56,JvmService.java,org/eclipse/che/api/system/server/JvmService.java,org\eclipse\che\api\system\server\JvmService.java,In method org.eclipse.che.api.system.server.JvmService.threadDump(),org.eclipse.che.api.system.server.JvmService,threadDump,()Ljavax/ws/rs/core/StreamingOutput;,false,true,At JvmService.java:[line 57],org.eclipse.che.api.system.server.JvmService,,57,57,0,56,JvmService.java,org/eclipse/che/api/system/server/JvmService.java,org\eclipse\che\api\system\server\JvmService.java,,,,,,,,,,,,,JAXRS_ENDPOINT,3,10,SECJRS,SECURITY,30ea17d1e1ad4b02b0ed7a5523b59c44,0,0,,true
Potential CRLF Injection for logs,This use of Logger.warn(...) might be used to include CRLF characters into log messages,In JvmService.java,org.eclipse.che.api.system.server.JvmService$1,JvmService.java,org/eclipse/che/api/system/server/JvmService.java,org\eclipse\che\api\system\server\JvmService.java,In class org.eclipse.che.api.system.server.JvmService$1,org.eclipse.che.api.system.server.JvmService$1,true,org.eclipse.che.api.system.server.JvmService$1,73,77,0,91,JvmService.java,org/eclipse/che/api/system/server/JvmService.java,org\eclipse\che\api\system\server\JvmService.java,In method org.eclipse.che.api.system.server.JvmService$1.close(),org.eclipse.che.api.system.server.JvmService$1,close,()V,false,true,At JvmService.java:[line 75],org.eclipse.che.api.system.server.JvmService$1,true,75,75,23,23,JvmService.java,org/eclipse/che/api/system/server/JvmService.java,org\eclipse\che\api\system\server\JvmService.java,At JvmService.java:[line 75],org.eclipse.che.api.system.server.JvmService$1,75,75,20,20,JvmService.java,org/eclipse/che/api/system/server/JvmService.java,org\eclipse\che\api\system\server\JvmService.java,Sink method Logger.warn(...),Logger.warn(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,1eb1d56497e4e39f97d509840097ebf3,0,0,117,
Potential CRLF Injection for logs,This use of Logger.error(...) might be used to include CRLF characters into log messages,In ServiceTerminator.java,org.eclipse.che.api.system.server.ServiceTerminator,ServiceTerminator.java,org/eclipse/che/api/system/server/ServiceTerminator.java,org\eclipse\che\api\system\server\ServiceTerminator.java,In class org.eclipse.che.api.system.server.ServiceTerminator,org.eclipse.che.api.system.server.ServiceTerminator,true,org.eclipse.che.api.system.server.ServiceTerminator,91,101,0,209,ServiceTerminator.java,org/eclipse/che/api/system/server/ServiceTerminator.java,org\eclipse\che\api\system\server\ServiceTerminator.java,In method org.eclipse.che.api.system.server.ServiceTerminator.doTerminate(ServiceTermination),org.eclipse.che.api.system.server.ServiceTerminator,doTerminate,(Lorg/eclipse/che/api/system/server/ServiceTermination;)V,false,true,At ServiceTerminator.java:[line 95],org.eclipse.che.api.system.server.ServiceTerminator,true,95,95,42,42,ServiceTerminator.java,org/eclipse/che/api/system/server/ServiceTerminator.java,org\eclipse\che\api\system\server\ServiceTerminator.java,At ServiceTerminator.java:[line 96],org.eclipse.che.api.system.server.ServiceTerminator,96,96,37,37,ServiceTerminator.java,org/eclipse/che/api/system/server/ServiceTerminator.java,org\eclipse\che\api\system\server\ServiceTerminator.java,Sink method Logger.error(...),Logger.error(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,3223ffccc70eb29bccf83d2d27ff4e51,0,0,117,
Potential CRLF Injection for logs,This use of Logger.info(...) might be used to include CRLF characters into log messages,In ServiceTerminator.java,org.eclipse.che.api.system.server.ServiceTerminator,ServiceTerminator.java,org/eclipse/che/api/system/server/ServiceTerminator.java,org\eclipse\che\api\system\server\ServiceTerminator.java,In class org.eclipse.che.api.system.server.ServiceTerminator,org.eclipse.che.api.system.server.ServiceTerminator,true,org.eclipse.che.api.system.server.ServiceTerminator,91,101,0,209,ServiceTerminator.java,org/eclipse/che/api/system/server/ServiceTerminator.java,org\eclipse\che\api\system\server\ServiceTerminator.java,In method org.eclipse.che.api.system.server.ServiceTerminator.doTerminate(ServiceTermination),org.eclipse.che.api.system.server.ServiceTerminator,doTerminate,(Lorg/eclipse/che/api/system/server/ServiceTermination;)V,false,true,At ServiceTerminator.java:[line 99],org.eclipse.che.api.system.server.ServiceTerminator,true,99,99,60,60,ServiceTerminator.java,org/eclipse/che/api/system/server/ServiceTerminator.java,org\eclipse\che\api\system\server\ServiceTerminator.java,At ServiceTerminator.java:[line 99],org.eclipse.che.api.system.server.ServiceTerminator,99,99,55,55,ServiceTerminator.java,org/eclipse/che/api/system/server/ServiceTerminator.java,org\eclipse\che\api\system\server\ServiceTerminator.java,Sink method Logger.info(...),Logger.info(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,888a693c877cbd9ff24fe555a9a5e61a,0,0,117,
Potential CRLF Injection for logs,This use of Logger.info(...) might be used to include CRLF characters into log messages,In ServiceTerminator.java,org.eclipse.che.api.system.server.ServiceTerminator,ServiceTerminator.java,org/eclipse/che/api/system/server/ServiceTerminator.java,org\eclipse\che\api\system\server\ServiceTerminator.java,In class org.eclipse.che.api.system.server.ServiceTerminator,org.eclipse.che.api.system.server.ServiceTerminator,true,org.eclipse.che.api.system.server.ServiceTerminator,69,87,0,366,ServiceTerminator.java,org/eclipse/che/api/system/server/ServiceTerminator.java,org\eclipse\che\api\system\server\ServiceTerminator.java,In method org.eclipse.che.api.system.server.ServiceTerminator.suspendAll(),org.eclipse.che.api.system.server.ServiceTerminator,suspendAll,()V,false,true,At ServiceTerminator.java:[line 70],org.eclipse.che.api.system.server.ServiceTerminator,true,70,70,40,40,ServiceTerminator.java,org/eclipse/che/api/system/server/ServiceTerminator.java,org\eclipse\che\api\system\server\ServiceTerminator.java,At ServiceTerminator.java:[line 70],org.eclipse.che.api.system.server.ServiceTerminator,70,70,35,35,ServiceTerminator.java,org/eclipse/che/api/system/server/ServiceTerminator.java,org\eclipse\che\api\system\server\ServiceTerminator.java,Sink method Logger.info(...),Logger.info(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,c5494cef245731606dfd8570d65c0a1a,0,2,117,
Potential CRLF Injection for logs,This use of Logger.info(...) might be used to include CRLF characters into log messages,In ServiceTerminator.java,org.eclipse.che.api.system.server.ServiceTerminator,ServiceTerminator.java,org/eclipse/che/api/system/server/ServiceTerminator.java,org\eclipse\che\api\system\server\ServiceTerminator.java,In class org.eclipse.che.api.system.server.ServiceTerminator,org.eclipse.che.api.system.server.ServiceTerminator,true,org.eclipse.che.api.system.server.ServiceTerminator,69,87,0,366,ServiceTerminator.java,org/eclipse/che/api/system/server/ServiceTerminator.java,org\eclipse\che\api\system\server\ServiceTerminator.java,In method org.eclipse.che.api.system.server.ServiceTerminator.suspendAll(),org.eclipse.che.api.system.server.ServiceTerminator,suspendAll,()V,false,true,At ServiceTerminator.java:[line 75],org.eclipse.che.api.system.server.ServiceTerminator,true,75,75,104,104,ServiceTerminator.java,org/eclipse/che/api/system/server/ServiceTerminator.java,org\eclipse\che\api\system\server\ServiceTerminator.java,At ServiceTerminator.java:[line 75],org.eclipse.che.api.system.server.ServiceTerminator,75,75,99,99,ServiceTerminator.java,org/eclipse/che/api/system/server/ServiceTerminator.java,org\eclipse\che\api\system\server\ServiceTerminator.java,Sink method Logger.info(...),Logger.info(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,c5494cef245731606dfd8570d65c0a1a,1,2,117,
Potential CRLF Injection for logs,This use of Logger.info(...) might be used to include CRLF characters into log messages,In ServiceTerminator.java,org.eclipse.che.api.system.server.ServiceTerminator,ServiceTerminator.java,org/eclipse/che/api/system/server/ServiceTerminator.java,org\eclipse\che\api\system\server\ServiceTerminator.java,In class org.eclipse.che.api.system.server.ServiceTerminator,org.eclipse.che.api.system.server.ServiceTerminator,true,org.eclipse.che.api.system.server.ServiceTerminator,69,87,0,366,ServiceTerminator.java,org/eclipse/che/api/system/server/ServiceTerminator.java,org\eclipse\che\api\system\server\ServiceTerminator.java,In method org.eclipse.che.api.system.server.ServiceTerminator.suspendAll(),org.eclipse.che.api.system.server.ServiceTerminator,suspendAll,()V,false,true,At ServiceTerminator.java:[line 77],org.eclipse.che.api.system.server.ServiceTerminator,true,77,77,124,124,ServiceTerminator.java,org/eclipse/che/api/system/server/ServiceTerminator.java,org\eclipse\che\api\system\server\ServiceTerminator.java,At ServiceTerminator.java:[line 79],org.eclipse.che.api.system.server.ServiceTerminator,79,79,119,119,ServiceTerminator.java,org/eclipse/che/api/system/server/ServiceTerminator.java,org\eclipse\che\api\system\server\ServiceTerminator.java,Sink method Logger.info(...),Logger.info(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,c5494cef245731606dfd8570d65c0a1a,2,2,117,
Potential CRLF Injection for logs,This use of Logger.error(...) might be used to include CRLF characters into log messages,In ServiceTerminator.java,org.eclipse.che.api.system.server.ServiceTerminator,ServiceTerminator.java,org/eclipse/che/api/system/server/ServiceTerminator.java,org\eclipse\che\api\system\server\ServiceTerminator.java,In class org.eclipse.che.api.system.server.ServiceTerminator,org.eclipse.che.api.system.server.ServiceTerminator,true,org.eclipse.che.api.system.server.ServiceTerminator,69,87,0,366,ServiceTerminator.java,org/eclipse/che/api/system/server/ServiceTerminator.java,org\eclipse\che\api\system\server\ServiceTerminator.java,In method org.eclipse.che.api.system.server.ServiceTerminator.suspendAll(),org.eclipse.che.api.system.server.ServiceTerminator,suspendAll,()V,false,true,At ServiceTerminator.java:[line 82],org.eclipse.che.api.system.server.ServiceTerminator,true,82,82,149,149,ServiceTerminator.java,org/eclipse/che/api/system/server/ServiceTerminator.java,org\eclipse\che\api\system\server\ServiceTerminator.java,At ServiceTerminator.java:[line 83],org.eclipse.che.api.system.server.ServiceTerminator,83,83,144,144,ServiceTerminator.java,org/eclipse/che/api/system/server/ServiceTerminator.java,org\eclipse\che\api\system\server\ServiceTerminator.java,Sink method Logger.error(...),Logger.error(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,1ac206af8093728453d5e9c92b67a975,0,0,117,
