ShortMessage,LongMessage,Class/SourceLine/0/Message,Class/SourceLine/0/_classname,Class/SourceLine/0/_sourcefile,Class/SourceLine/0/_sourcepath,Class/SourceLine/0/_relSourcepath,Class/Message,Class/_classname,Class/_primary,Method/SourceLine/0/_classname,Method/SourceLine/0/_start,Method/SourceLine/0/_end,Method/SourceLine/0/_startBytecode,Method/SourceLine/0/_endBytecode,Method/SourceLine/0/_sourcefile,Method/SourceLine/0/_sourcepath,Method/SourceLine/0/_relSourcepath,Method/Message,Method/_classname,Method/_name,Method/_signature,Method/_isStatic,Method/_primary,SourceLine/0/Message,SourceLine/0/_classname,SourceLine/0/_primary,SourceLine/0/_start,SourceLine/0/_end,SourceLine/0/_startBytecode,SourceLine/0/_endBytecode,SourceLine/0/_sourcefile,SourceLine/0/_sourcepath,SourceLine/0/_relSourcepath,SourceLine/1/Message,SourceLine/1/_classname,SourceLine/1/_start,SourceLine/1/_end,SourceLine/1/_startBytecode,SourceLine/1/_endBytecode,SourceLine/1/_sourcefile,SourceLine/1/_sourcepath,SourceLine/1/_relSourcepath,String/0/Message,String/0/_value,String/0/_role,_type,_priority,_rank,_abbrev,_category,_instanceHash,_instanceOccurrenceNum,_instanceOccurrenceMax,_cweid,SourceLine/1/_primary,SourceLine/2/Message,SourceLine/2/_classname,SourceLine/2/_start,SourceLine/2/_end,SourceLine/2/_startBytecode,SourceLine/2/_endBytecode,SourceLine/2/_sourcefile,SourceLine/2/_sourcepath,SourceLine/2/_relSourcepath,SourceLine/3/Message,SourceLine/3/_classname,SourceLine/3/_start,SourceLine/3/_end,SourceLine/3/_startBytecode,SourceLine/3/_endBytecode,SourceLine/3/_sourcefile,SourceLine/3/_sourcepath,SourceLine/3/_relSourcepath,String/1/Message,String/1/_value,String/1/_role
Potential CRLF Injection for logs,This use of Logger.warn(...) might be used to include CRLF characters into log messages,In CapacityDaoImpl.java,com.cloud.capacity.dao.CapacityDaoImpl,CapacityDaoImpl.java,com/cloud/capacity/dao/CapacityDaoImpl.java,java/com/cloud/capacity/dao/CapacityDaoImpl.java,In class com.cloud.capacity.dao.CapacityDaoImpl,com.cloud.capacity.dao.CapacityDaoImpl,true,com.cloud.capacity.dao.CapacityDaoImpl,544,564,0,368,CapacityDaoImpl.java,com/cloud/capacity/dao/CapacityDaoImpl.java,java/com/cloud/capacity/dao/CapacityDaoImpl.java,"In method com.cloud.capacity.dao.CapacityDaoImpl.updateAllocated(Long, long, short, boolean)",com.cloud.capacity.dao.CapacityDaoImpl,updateAllocated,(Ljava/lang/Long;JSZ)V,false,true,At CapacityDaoImpl.java:[line 562],com.cloud.capacity.dao.CapacityDaoImpl,true,562,562,120,120,CapacityDaoImpl.java,com/cloud/capacity/dao/CapacityDaoImpl.java,java/com/cloud/capacity/dao/CapacityDaoImpl.java,At CapacityDaoImpl.java:[line 562],com.cloud.capacity.dao.CapacityDaoImpl,562,562,115,115,CapacityDaoImpl.java,com/cloud/capacity/dao/CapacityDaoImpl.java,java/com/cloud/capacity/dao/CapacityDaoImpl.java,Sink method Logger.warn(...),Logger.warn(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,8bf5f36add03fe4673ee09ced81ca536,0,0,117,,,,,,,,,,,,,,,,,,,,,,
A prepared statement is generated from a nonconstant String,"A prepared statement is generated from a nonconstant String in com.cloud.capacity.dao.CapacityDaoImpl.updateCapacityState(Long, Long, Long, Long, String, short[])",In CapacityDaoImpl.java,com.cloud.capacity.dao.CapacityDaoImpl,CapacityDaoImpl.java,com/cloud/capacity/dao/CapacityDaoImpl.java,java/com/cloud/capacity/dao/CapacityDaoImpl.java,In class com.cloud.capacity.dao.CapacityDaoImpl,com.cloud.capacity.dao.CapacityDaoImpl,true,com.cloud.capacity.dao.CapacityDaoImpl,1010,1066,0,177,CapacityDaoImpl.java,com/cloud/capacity/dao/CapacityDaoImpl.java,java/com/cloud/capacity/dao/CapacityDaoImpl.java,"In method com.cloud.capacity.dao.CapacityDaoImpl.updateCapacityState(Long, Long, Long, Long, String, short[])",com.cloud.capacity.dao.CapacityDaoImpl,updateCapacityState,(Ljava/lang/Long;Ljava/lang/Long;Ljava/lang/Long;Ljava/lang/Long;Ljava/lang/String;[S)V,false,true,At CapacityDaoImpl.java:[line 1051],com.cloud.capacity.dao.CapacityDaoImpl,true,1051,1051,275,275,CapacityDaoImpl.java,com/cloud/capacity/dao/CapacityDaoImpl.java,java/com/cloud/capacity/dao/CapacityDaoImpl.java,At CapacityDaoImpl.java:[line 1051],com.cloud.capacity.dao.CapacityDaoImpl,1051,1051,275,275,CapacityDaoImpl.java,com/cloud/capacity/dao/CapacityDaoImpl.java,java/com/cloud/capacity/dao/CapacityDaoImpl.java,,,,SQL_PREPARED_STATEMENT_GENERATED_FROM_NONCONSTANT_STRING,2,12,SQL,SECURITY,70d5f95769fa4522b4b443c4f061d0fd,0,0,89,true,,,,,,,,,,,,,,,,,,,,,
A prepared statement is generated from a nonconstant String,"A prepared statement is generated from a nonconstant String in com.cloud.capacity.dao.CapacityDaoImpl.findClusterConsumption(Long, short, long)",In CapacityDaoImpl.java,com.cloud.capacity.dao.CapacityDaoImpl,CapacityDaoImpl.java,com/cloud/capacity/dao/CapacityDaoImpl.java,java/com/cloud/capacity/dao/CapacityDaoImpl.java,In class com.cloud.capacity.dao.CapacityDaoImpl,com.cloud.capacity.dao.CapacityDaoImpl,true,com.cloud.capacity.dao.CapacityDaoImpl,1070,1086,0,44,CapacityDaoImpl.java,com/cloud/capacity/dao/CapacityDaoImpl.java,java/com/cloud/capacity/dao/CapacityDaoImpl.java,"In method com.cloud.capacity.dao.CapacityDaoImpl.findClusterConsumption(Long, short, long)",com.cloud.capacity.dao.CapacityDaoImpl,findClusterConsumption,(Ljava/lang/Long;SJ)F,false,true,At CapacityDaoImpl.java:[line 1074],com.cloud.capacity.dao.CapacityDaoImpl,true,1074,1074,26,26,CapacityDaoImpl.java,com/cloud/capacity/dao/CapacityDaoImpl.java,java/com/cloud/capacity/dao/CapacityDaoImpl.java,At CapacityDaoImpl.java:[line 1074],com.cloud.capacity.dao.CapacityDaoImpl,1074,1074,26,26,CapacityDaoImpl.java,com/cloud/capacity/dao/CapacityDaoImpl.java,java/com/cloud/capacity/dao/CapacityDaoImpl.java,,,,SQL_PREPARED_STATEMENT_GENERATED_FROM_NONCONSTANT_STRING,3,15,SQL,SECURITY,2fdda3c5dd133349126786a7e747decd,0,0,89,true,,,,,,,,,,,,,,,,,,,,,
A prepared statement is generated from a nonconstant String,"A prepared statement is generated from a nonconstant String in com.cloud.capacity.dao.CapacityDaoImpl.listClustersCrossingThreshold(short, Long, String, long)",In CapacityDaoImpl.java,com.cloud.capacity.dao.CapacityDaoImpl,CapacityDaoImpl.java,com/cloud/capacity/dao/CapacityDaoImpl.java,java/com/cloud/capacity/dao/CapacityDaoImpl.java,In class com.cloud.capacity.dao.CapacityDaoImpl,com.cloud.capacity.dao.CapacityDaoImpl,true,com.cloud.capacity.dao.CapacityDaoImpl,226,256,0,108,CapacityDaoImpl.java,com/cloud/capacity/dao/CapacityDaoImpl.java,java/com/cloud/capacity/dao/CapacityDaoImpl.java,"In method com.cloud.capacity.dao.CapacityDaoImpl.listClustersCrossingThreshold(short, Long, String, long)",com.cloud.capacity.dao.CapacityDaoImpl,listClustersCrossingThreshold,(SLjava/lang/Long;Ljava/lang/String;J)Ljava/util/List;,false,true,At CapacityDaoImpl.java:[line 233],com.cloud.capacity.dao.CapacityDaoImpl,true,233,233,35,35,CapacityDaoImpl.java,com/cloud/capacity/dao/CapacityDaoImpl.java,java/com/cloud/capacity/dao/CapacityDaoImpl.java,At CapacityDaoImpl.java:[line 233],com.cloud.capacity.dao.CapacityDaoImpl,233,233,35,35,CapacityDaoImpl.java,com/cloud/capacity/dao/CapacityDaoImpl.java,java/com/cloud/capacity/dao/CapacityDaoImpl.java,,,,SQL_PREPARED_STATEMENT_GENERATED_FROM_NONCONSTANT_STRING,3,15,SQL,SECURITY,748fe8848f01b51b63649ebe8c2ee238,0,0,89,true,,,,,,,,,,,,,,,,,,,,,
A prepared statement is generated from a nonconstant String,"A prepared statement is generated from a nonconstant String in com.cloud.capacity.dao.CapacityDaoImpl.listHostsWithEnoughCapacity(int, long, Long, String)",In CapacityDaoImpl.java,com.cloud.capacity.dao.CapacityDaoImpl,CapacityDaoImpl.java,com/cloud/capacity/dao/CapacityDaoImpl.java,java/com/cloud/capacity/dao/CapacityDaoImpl.java,In class com.cloud.capacity.dao.CapacityDaoImpl,com.cloud.capacity.dao.CapacityDaoImpl,true,com.cloud.capacity.dao.CapacityDaoImpl,620,640,0,79,CapacityDaoImpl.java,com/cloud/capacity/dao/CapacityDaoImpl.java,java/com/cloud/capacity/dao/CapacityDaoImpl.java,"In method com.cloud.capacity.dao.CapacityDaoImpl.listHostsWithEnoughCapacity(int, long, Long, String)",com.cloud.capacity.dao.CapacityDaoImpl,listHostsWithEnoughCapacity,(IJLjava/lang/Long;Ljava/lang/String;)Ljava/util/List;,false,true,At CapacityDaoImpl.java:[line 626],com.cloud.capacity.dao.CapacityDaoImpl,true,626,626,35,35,CapacityDaoImpl.java,com/cloud/capacity/dao/CapacityDaoImpl.java,java/com/cloud/capacity/dao/CapacityDaoImpl.java,At CapacityDaoImpl.java:[line 626],com.cloud.capacity.dao.CapacityDaoImpl,626,626,35,35,CapacityDaoImpl.java,com/cloud/capacity/dao/CapacityDaoImpl.java,java/com/cloud/capacity/dao/CapacityDaoImpl.java,,,,SQL_PREPARED_STATEMENT_GENERATED_FROM_NONCONSTANT_STRING,3,15,SQL,SECURITY,3ce0a88d28fdd3da3648c7fee2b23ce6,0,0,89,true,,,,,,,,,,,,,,,,,,,,,
A prepared statement is generated from a nonconstant String,"A prepared statement is generated from a nonconstant String in com.cloud.capacity.dao.CapacityDaoImpl.orderPodsByAggregateCapacity(long, short)",In CapacityDaoImpl.java,com.cloud.capacity.dao.CapacityDaoImpl,CapacityDaoImpl.java,com/cloud/capacity/dao/CapacityDaoImpl.java,java/com/cloud/capacity/dao/CapacityDaoImpl.java,In class com.cloud.capacity.dao.CapacityDaoImpl,com.cloud.capacity.dao.CapacityDaoImpl,true,com.cloud.capacity.dao.CapacityDaoImpl,970,1004,0,135,CapacityDaoImpl.java,com/cloud/capacity/dao/CapacityDaoImpl.java,java/com/cloud/capacity/dao/CapacityDaoImpl.java,"In method com.cloud.capacity.dao.CapacityDaoImpl.orderPodsByAggregateCapacity(long, short)",com.cloud.capacity.dao.CapacityDaoImpl,orderPodsByAggregateCapacity,(JS)Lcom/cloud/utils/Pair;,false,true,At CapacityDaoImpl.java:[line 989],com.cloud.capacity.dao.CapacityDaoImpl,true,989,989,146,146,CapacityDaoImpl.java,com/cloud/capacity/dao/CapacityDaoImpl.java,java/com/cloud/capacity/dao/CapacityDaoImpl.java,At CapacityDaoImpl.java:[line 989],com.cloud.capacity.dao.CapacityDaoImpl,989,989,146,146,CapacityDaoImpl.java,com/cloud/capacity/dao/CapacityDaoImpl.java,java/com/cloud/capacity/dao/CapacityDaoImpl.java,,,,SQL_PREPARED_STATEMENT_GENERATED_FROM_NONCONSTANT_STRING,3,15,SQL,SECURITY,420c78650d648f96c21a4d07d0cd6ba,0,0,89,true,,,,,,,,,,,,,,,,,,,,,
A prepared statement is generated from a nonconstant String,"A prepared statement is generated from a nonconstant String in com.cloud.capacity.dao.CapacityDaoImpl.updateAllocated(Long, long, short, boolean)",In CapacityDaoImpl.java,com.cloud.capacity.dao.CapacityDaoImpl,CapacityDaoImpl.java,com/cloud/capacity/dao/CapacityDaoImpl.java,java/com/cloud/capacity/dao/CapacityDaoImpl.java,In class com.cloud.capacity.dao.CapacityDaoImpl,com.cloud.capacity.dao.CapacityDaoImpl,true,com.cloud.capacity.dao.CapacityDaoImpl,544,564,0,53,CapacityDaoImpl.java,com/cloud/capacity/dao/CapacityDaoImpl.java,java/com/cloud/capacity/dao/CapacityDaoImpl.java,"In method com.cloud.capacity.dao.CapacityDaoImpl.updateAllocated(Long, long, short, boolean)",com.cloud.capacity.dao.CapacityDaoImpl,updateAllocated,(Ljava/lang/Long;JSZ)V,false,true,At CapacityDaoImpl.java:[line 554],com.cloud.capacity.dao.CapacityDaoImpl,true,554,554,36,36,CapacityDaoImpl.java,com/cloud/capacity/dao/CapacityDaoImpl.java,java/com/cloud/capacity/dao/CapacityDaoImpl.java,At CapacityDaoImpl.java:[line 554],com.cloud.capacity.dao.CapacityDaoImpl,554,554,36,36,CapacityDaoImpl.java,com/cloud/capacity/dao/CapacityDaoImpl.java,java/com/cloud/capacity/dao/CapacityDaoImpl.java,,,,SQL_PREPARED_STATEMENT_GENERATED_FROM_NONCONSTANT_STRING,3,15,SQL,SECURITY,b3b3e51ef28b462f2b1152b68d2aa542,0,0,89,true,,,,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.warn(...) might be used to include CRLF characters into log messages,In CertificateDaoImpl.java,com.cloud.certificate.dao.CertificateDaoImpl,CertificateDaoImpl.java,com/cloud/certificate/dao/CertificateDaoImpl.java,java/com/cloud/certificate/dao/CertificateDaoImpl.java,In class com.cloud.certificate.dao.CertificateDaoImpl,com.cloud.certificate.dao.CertificateDaoImpl,true,com.cloud.certificate.dao.CertificateDaoImpl,40,46,0,194,CertificateDaoImpl.java,com/cloud/certificate/dao/CertificateDaoImpl.java,java/com/cloud/certificate/dao/CertificateDaoImpl.java,"In method com.cloud.certificate.dao.CertificateDaoImpl.persistCustomCertToDb(String, CertificateVO, Long)",com.cloud.certificate.dao.CertificateDaoImpl,persistCustomCertToDb,(Ljava/lang/String;Lcom/cloud/certificate/CertificateVO;Ljava/lang/Long;)Ljava/lang/Long;,false,true,At CertificateDaoImpl.java:[line 45],com.cloud.certificate.dao.CertificateDaoImpl,true,45,45,57,57,CertificateDaoImpl.java,com/cloud/certificate/dao/CertificateDaoImpl.java,java/com/cloud/certificate/dao/CertificateDaoImpl.java,At CertificateDaoImpl.java:[line 45],com.cloud.certificate.dao.CertificateDaoImpl,45,45,54,54,CertificateDaoImpl.java,com/cloud/certificate/dao/CertificateDaoImpl.java,java/com/cloud/certificate/dao/CertificateDaoImpl.java,Sink method Logger.warn(...),Logger.warn(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,89ddfbb0e49c38e5357b19a5105f8cc2,0,0,117,,,,,,,,,,,,,,,,,,,,,,
A prepared statement is generated from a nonconstant String,"A prepared statement is generated from a nonconstant String in com.cloud.configuration.dao.ResourceCountDaoImpl.executeSqlCountComputingResourcesForAccount(long, String)",In ResourceCountDaoImpl.java,com.cloud.configuration.dao.ResourceCountDaoImpl,ResourceCountDaoImpl.java,com/cloud/configuration/dao/ResourceCountDaoImpl.java,java/com/cloud/configuration/dao/ResourceCountDaoImpl.java,In class com.cloud.configuration.dao.ResourceCountDaoImpl,com.cloud.configuration.dao.ResourceCountDaoImpl,true,com.cloud.configuration.dao.ResourceCountDaoImpl,269,280,0,27,ResourceCountDaoImpl.java,com/cloud/configuration/dao/ResourceCountDaoImpl.java,java/com/cloud/configuration/dao/ResourceCountDaoImpl.java,"In method com.cloud.configuration.dao.ResourceCountDaoImpl.executeSqlCountComputingResourcesForAccount(long, String)",com.cloud.configuration.dao.ResourceCountDaoImpl,executeSqlCountComputingResourcesForAccount,(JLjava/lang/String;)J,false,true,At ResourceCountDaoImpl.java:[line 271],com.cloud.configuration.dao.ResourceCountDaoImpl,true,271,271,8,8,ResourceCountDaoImpl.java,com/cloud/configuration/dao/ResourceCountDaoImpl.java,java/com/cloud/configuration/dao/ResourceCountDaoImpl.java,At ResourceCountDaoImpl.java:[line 271],com.cloud.configuration.dao.ResourceCountDaoImpl,271,271,8,8,ResourceCountDaoImpl.java,com/cloud/configuration/dao/ResourceCountDaoImpl.java,java/com/cloud/configuration/dao/ResourceCountDaoImpl.java,,,,SQL_PREPARED_STATEMENT_GENERATED_FROM_NONCONSTANT_STRING,3,15,SQL,SECURITY,c3c5c89567bc4df54096babf09604152,0,0,89,true,,,,,,,,,,,,,,,,,,,,,
A prepared statement is generated from a nonconstant String,A prepared statement is generated from a nonconstant String in com.cloud.dc.dao.ClusterDaoImpl.getPodClusterIdMap(List),In ClusterDaoImpl.java,com.cloud.dc.dao.ClusterDaoImpl,ClusterDaoImpl.java,com/cloud/dc/dao/ClusterDaoImpl.java,java/com/cloud/dc/dao/ClusterDaoImpl.java,In class com.cloud.dc.dao.ClusterDaoImpl,com.cloud.dc.dao.ClusterDaoImpl,true,com.cloud.dc.dao.ClusterDaoImpl,159,192,0,115,ClusterDaoImpl.java,com/cloud/dc/dao/ClusterDaoImpl.java,java/com/cloud/dc/dao/ClusterDaoImpl.java,In method com.cloud.dc.dao.ClusterDaoImpl.getPodClusterIdMap(List),com.cloud.dc.dao.ClusterDaoImpl,getPodClusterIdMap,(Ljava/util/List;)Ljava/util/Map;,false,true,At ClusterDaoImpl.java:[line 173],com.cloud.dc.dao.ClusterDaoImpl,true,173,173,113,113,ClusterDaoImpl.java,com/cloud/dc/dao/ClusterDaoImpl.java,java/com/cloud/dc/dao/ClusterDaoImpl.java,At ClusterDaoImpl.java:[line 173],com.cloud.dc.dao.ClusterDaoImpl,173,173,113,113,ClusterDaoImpl.java,com/cloud/dc/dao/ClusterDaoImpl.java,java/com/cloud/dc/dao/ClusterDaoImpl.java,,,,SQL_PREPARED_STATEMENT_GENERATED_FROM_NONCONSTANT_STRING,3,15,SQL,SECURITY,18e055776a0ba30d81ea168da2a66b76,0,0,89,true,,,,,,,,,,,,,,,,,,,,,
