ShortMessage,LongMessage,Class/SourceLine/0/Message,Class/SourceLine/0/_classname,Class/SourceLine/0/_sourcefile,Class/SourceLine/0/_sourcepath,Class/SourceLine/0/_relSourcepath,Class/Message,Class/_classname,Class/_primary,Method/SourceLine/0/_classname,Method/SourceLine/0/_start,Method/SourceLine/0/_end,Method/SourceLine/0/_startBytecode,Method/SourceLine/0/_endBytecode,Method/SourceLine/0/_sourcefile,Method/SourceLine/0/_sourcepath,Method/SourceLine/0/_relSourcepath,Method/Message,Method/_classname,Method/_name,Method/_signature,Method/_isStatic,Method/_primary,SourceLine/0/Message,SourceLine/0/_classname,SourceLine/0/_primary,SourceLine/0/_start,SourceLine/0/_end,SourceLine/0/_startBytecode,SourceLine/0/_endBytecode,SourceLine/0/_sourcefile,SourceLine/0/_sourcepath,SourceLine/0/_relSourcepath,SourceLine/1/Message,SourceLine/1/_classname,SourceLine/1/_start,SourceLine/1/_end,SourceLine/1/_startBytecode,SourceLine/1/_endBytecode,SourceLine/1/_sourcefile,SourceLine/1/_sourcepath,SourceLine/1/_relSourcepath,String/0/Message,String/0/_value,String/0/_role,_type,_priority,_rank,_abbrev,_category,_instanceHash,_instanceOccurrenceNum,_instanceOccurrenceMax,_cweid,SourceLine/2/Message,SourceLine/2/_classname,SourceLine/2/_start,SourceLine/2/_end,SourceLine/2/_startBytecode,SourceLine/2/_endBytecode,SourceLine/2/_sourcefile,SourceLine/2/_sourcepath,SourceLine/2/_relSourcepath,String/1/Message,String/1/_value,String/1/_role
Potential CRLF Injection for logs,This use of Logger.warn(...) might be used to include CRLF characters into log messages,In ConfigDriveBuilder.java,org.apache.cloudstack.storage.configdrive.ConfigDriveBuilder,ConfigDriveBuilder.java,org/apache/cloudstack/storage/configdrive/ConfigDriveBuilder.java,org/apache/cloudstack/storage/configdrive/ConfigDriveBuilder.java,In class org.apache.cloudstack.storage.configdrive.ConfigDriveBuilder,org.apache.cloudstack.storage.configdrive.ConfigDriveBuilder,true,org.apache.cloudstack.storage.configdrive.ConfigDriveBuilder,80,87,0,254,ConfigDriveBuilder.java,org/apache/cloudstack/storage/configdrive/ConfigDriveBuilder.java,org/apache/cloudstack/storage/configdrive/ConfigDriveBuilder.java,"In method org.apache.cloudstack.storage.configdrive.ConfigDriveBuilder.base64StringToFile(String, String, String)",org.apache.cloudstack.storage.configdrive.ConfigDriveBuilder,base64StringToFile,(Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;)Ljava/io/File;,true,true,At ConfigDriveBuilder.java:[line 85],org.apache.cloudstack.storage.configdrive.ConfigDriveBuilder,true,85,85,78,78,ConfigDriveBuilder.java,org/apache/cloudstack/storage/configdrive/ConfigDriveBuilder.java,org/apache/cloudstack/storage/configdrive/ConfigDriveBuilder.java,At ConfigDriveBuilder.java:[line 85],org.apache.cloudstack.storage.configdrive.ConfigDriveBuilder,85,85,75,75,ConfigDriveBuilder.java,org/apache/cloudstack/storage/configdrive/ConfigDriveBuilder.java,org/apache/cloudstack/storage/configdrive/ConfigDriveBuilder.java,Sink method Logger.warn(...),Logger.warn(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,4fd69bd13379710cfc6b5f98e90745d7,0,0,117,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.debug(...) might be used to include CRLF characters into log messages,In ConfigDriveBuilder.java,org.apache.cloudstack.storage.configdrive.ConfigDriveBuilder,ConfigDriveBuilder.java,org/apache/cloudstack/storage/configdrive/ConfigDriveBuilder.java,org/apache/cloudstack/storage/configdrive/ConfigDriveBuilder.java,In class org.apache.cloudstack.storage.configdrive.ConfigDriveBuilder,org.apache.cloudstack.storage.configdrive.ConfigDriveBuilder,true,org.apache.cloudstack.storage.configdrive.ConfigDriveBuilder,224,233,0,389,ConfigDriveBuilder.java,org/apache/cloudstack/storage/configdrive/ConfigDriveBuilder.java,org/apache/cloudstack/storage/configdrive/ConfigDriveBuilder.java,"In method org.apache.cloudstack.storage.configdrive.ConfigDriveBuilder.createJsonObjectWithVmData(List, String)",org.apache.cloudstack.storage.configdrive.ConfigDriveBuilder,createJsonObjectWithVmData,(Ljava/util/List;Ljava/lang/String;)Lcom/google/gson/JsonObject;,true,true,At ConfigDriveBuilder.java:[line 229],org.apache.cloudstack.storage.configdrive.ConfigDriveBuilder,true,229,229,95,95,ConfigDriveBuilder.java,org/apache/cloudstack/storage/configdrive/ConfigDriveBuilder.java,org/apache/cloudstack/storage/configdrive/ConfigDriveBuilder.java,At ConfigDriveBuilder.java:[line 225],org.apache.cloudstack.storage.configdrive.ConfigDriveBuilder,225,225,9,9,ConfigDriveBuilder.java,org/apache/cloudstack/storage/configdrive/ConfigDriveBuilder.java,org/apache/cloudstack/storage/configdrive/ConfigDriveBuilder.java,Sink method Logger.debug(...),Logger.debug(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,1ebb2288ba3a4b5673c337c0249f4bbe,0,0,117,At ConfigDriveBuilder.java:[line 229],org.apache.cloudstack.storage.configdrive.ConfigDriveBuilder,229,229,92,92,ConfigDriveBuilder.java,org/apache/cloudstack/storage/configdrive/ConfigDriveBuilder.java,org/apache/cloudstack/storage/configdrive/ConfigDriveBuilder.java,,,
Potential CRLF Injection for logs,This use of Logger.warn(...) might be used to include CRLF characters into log messages,In ConfigDriveBuilder.java,org.apache.cloudstack.storage.configdrive.ConfigDriveBuilder,ConfigDriveBuilder.java,org/apache/cloudstack/storage/configdrive/ConfigDriveBuilder.java,org/apache/cloudstack/storage/configdrive/ConfigDriveBuilder.java,In class org.apache.cloudstack.storage.configdrive.ConfigDriveBuilder,org.apache.cloudstack.storage.configdrive.ConfigDriveBuilder,true,org.apache.cloudstack.storage.configdrive.ConfigDriveBuilder,122,128,0,142,ConfigDriveBuilder.java,org/apache/cloudstack/storage/configdrive/ConfigDriveBuilder.java,org/apache/cloudstack/storage/configdrive/ConfigDriveBuilder.java,In method org.apache.cloudstack.storage.configdrive.ConfigDriveBuilder.deleteTempDir(Path),org.apache.cloudstack.storage.configdrive.ConfigDriveBuilder,deleteTempDir,(Ljava/nio/file/Path;)V,true,true,At ConfigDriveBuilder.java:[line 126],org.apache.cloudstack.storage.configdrive.ConfigDriveBuilder,true,126,126,45,45,ConfigDriveBuilder.java,org/apache/cloudstack/storage/configdrive/ConfigDriveBuilder.java,org/apache/cloudstack/storage/configdrive/ConfigDriveBuilder.java,At ConfigDriveBuilder.java:[line 126],org.apache.cloudstack.storage.configdrive.ConfigDriveBuilder,126,126,41,41,ConfigDriveBuilder.java,org/apache/cloudstack/storage/configdrive/ConfigDriveBuilder.java,org/apache/cloudstack/storage/configdrive/ConfigDriveBuilder.java,Sink method Logger.warn(...),Logger.warn(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,f618112ee918084569f6614deacfa6e,0,0,117,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.debug(...) might be used to include CRLF characters into log messages,In ConfigDriveBuilder.java,org.apache.cloudstack.storage.configdrive.ConfigDriveBuilder,ConfigDriveBuilder.java,org/apache/cloudstack/storage/configdrive/ConfigDriveBuilder.java,org/apache/cloudstack/storage/configdrive/ConfigDriveBuilder.java,In class org.apache.cloudstack.storage.configdrive.ConfigDriveBuilder,org.apache.cloudstack.storage.configdrive.ConfigDriveBuilder,true,org.apache.cloudstack.storage.configdrive.ConfigDriveBuilder,137,161,0,491,ConfigDriveBuilder.java,org/apache/cloudstack/storage/configdrive/ConfigDriveBuilder.java,org/apache/cloudstack/storage/configdrive/ConfigDriveBuilder.java,"In method org.apache.cloudstack.storage.configdrive.ConfigDriveBuilder.generateAndRetrieveIsoAsBase64Iso(String, String, String)",org.apache.cloudstack.storage.configdrive.ConfigDriveBuilder,generateAndRetrieveIsoAsBase64Iso,(Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;)Ljava/lang/String;,true,true,At ConfigDriveBuilder.java:[line 150],org.apache.cloudstack.storage.configdrive.ConfigDriveBuilder,true,150,150,158,158,ConfigDriveBuilder.java,org/apache/cloudstack/storage/configdrive/ConfigDriveBuilder.java,org/apache/cloudstack/storage/configdrive/ConfigDriveBuilder.java,At ConfigDriveBuilder.java:[line 150],org.apache.cloudstack.storage.configdrive.ConfigDriveBuilder,150,150,155,155,ConfigDriveBuilder.java,org/apache/cloudstack/storage/configdrive/ConfigDriveBuilder.java,org/apache/cloudstack/storage/configdrive/ConfigDriveBuilder.java,Sink method Logger.debug(...),Logger.debug(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,b51ab5dac1f06dc0663f6681a56f06e3,0,0,117,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.warn(...) might be used to include CRLF characters into log messages,In ConfigDriveBuilder.java,org.apache.cloudstack.storage.configdrive.ConfigDriveBuilder,ConfigDriveBuilder.java,org/apache/cloudstack/storage/configdrive/ConfigDriveBuilder.java,org/apache/cloudstack/storage/configdrive/ConfigDriveBuilder.java,In class org.apache.cloudstack.storage.configdrive.ConfigDriveBuilder,org.apache.cloudstack.storage.configdrive.ConfigDriveBuilder,true,org.apache.cloudstack.storage.configdrive.ConfigDriveBuilder,137,161,0,491,ConfigDriveBuilder.java,org/apache/cloudstack/storage/configdrive/ConfigDriveBuilder.java,org/apache/cloudstack/storage/configdrive/ConfigDriveBuilder.java,"In method org.apache.cloudstack.storage.configdrive.ConfigDriveBuilder.generateAndRetrieveIsoAsBase64Iso(String, String, String)",org.apache.cloudstack.storage.configdrive.ConfigDriveBuilder,generateAndRetrieveIsoAsBase64Iso,(Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;)Ljava/lang/String;,true,true,At ConfigDriveBuilder.java:[line 154],org.apache.cloudstack.storage.configdrive.ConfigDriveBuilder,true,154,154,212,212,ConfigDriveBuilder.java,org/apache/cloudstack/storage/configdrive/ConfigDriveBuilder.java,org/apache/cloudstack/storage/configdrive/ConfigDriveBuilder.java,At ConfigDriveBuilder.java:[line 153],org.apache.cloudstack.storage.configdrive.ConfigDriveBuilder,153,153,202,202,ConfigDriveBuilder.java,org/apache/cloudstack/storage/configdrive/ConfigDriveBuilder.java,org/apache/cloudstack/storage/configdrive/ConfigDriveBuilder.java,Sink method Logger.warn(...),Logger.warn(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,7b7e05cbeb7c6e59aa16e86af401d94a,0,0,117,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.debug(...) might be used to include CRLF characters into log messages,In ConfigDriveBuilder.java,org.apache.cloudstack.storage.configdrive.ConfigDriveBuilder,ConfigDriveBuilder.java,org/apache/cloudstack/storage/configdrive/ConfigDriveBuilder.java,org/apache/cloudstack/storage/configdrive/ConfigDriveBuilder.java,In class org.apache.cloudstack.storage.configdrive.ConfigDriveBuilder,org.apache.cloudstack.storage.configdrive.ConfigDriveBuilder,true,org.apache.cloudstack.storage.configdrive.ConfigDriveBuilder,267,280,0,302,ConfigDriveBuilder.java,org/apache/cloudstack/storage/configdrive/ConfigDriveBuilder.java,org/apache/cloudstack/storage/configdrive/ConfigDriveBuilder.java,In method org.apache.cloudstack.storage.configdrive.ConfigDriveBuilder.linkUserData(String),org.apache.cloudstack.storage.configdrive.ConfigDriveBuilder,linkUserData,(Ljava/lang/String;)V,true,true,At ConfigDriveBuilder.java:[line 273],org.apache.cloudstack.storage.configdrive.ConfigDriveBuilder,true,273,273,118,118,ConfigDriveBuilder.java,org/apache/cloudstack/storage/configdrive/ConfigDriveBuilder.java,org/apache/cloudstack/storage/configdrive/ConfigDriveBuilder.java,At ConfigDriveBuilder.java:[line 273],org.apache.cloudstack.storage.configdrive.ConfigDriveBuilder,273,273,115,115,ConfigDriveBuilder.java,org/apache/cloudstack/storage/configdrive/ConfigDriveBuilder.java,org/apache/cloudstack/storage/configdrive/ConfigDriveBuilder.java,Sink method Logger.debug(...),Logger.debug(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,d8985e1288264c6c5ba7a5974bea56f6,0,0,117,,,,,,,,,,,,
Potential Path Traversal (file read),File(...) reads a file whose location might be specified by user input,In ConfigDriveBuilder.java,org.apache.cloudstack.storage.configdrive.ConfigDriveBuilder,ConfigDriveBuilder.java,org/apache/cloudstack/storage/configdrive/ConfigDriveBuilder.java,org/apache/cloudstack/storage/configdrive/ConfigDriveBuilder.java,In class org.apache.cloudstack.storage.configdrive.ConfigDriveBuilder,org.apache.cloudstack.storage.configdrive.ConfigDriveBuilder,true,org.apache.cloudstack.storage.configdrive.ConfigDriveBuilder,95,117,0,368,ConfigDriveBuilder.java,org/apache/cloudstack/storage/configdrive/ConfigDriveBuilder.java,org/apache/cloudstack/storage/configdrive/ConfigDriveBuilder.java,"In method org.apache.cloudstack.storage.configdrive.ConfigDriveBuilder.buildConfigDrive(List, String, String)",org.apache.cloudstack.storage.configdrive.ConfigDriveBuilder,buildConfigDrive,(Ljava/util/List;Ljava/lang/String;Ljava/lang/String;)Ljava/lang/String;,true,true,At ConfigDriveBuilder.java:[line 105],org.apache.cloudstack.storage.configdrive.ConfigDriveBuilder,true,105,105,61,61,ConfigDriveBuilder.java,org/apache/cloudstack/storage/configdrive/ConfigDriveBuilder.java,org/apache/cloudstack/storage/configdrive/ConfigDriveBuilder.java,At ConfigDriveBuilder.java:[line 105],org.apache.cloudstack.storage.configdrive.ConfigDriveBuilder,105,105,58,58,ConfigDriveBuilder.java,org/apache/cloudstack/storage/configdrive/ConfigDriveBuilder.java,org/apache/cloudstack/storage/configdrive/ConfigDriveBuilder.java,Sink method File(...),File(...),Sink method,PATH_TRAVERSAL_IN,2,7,SECPTI,SECURITY,27a2c4454e438d24ee4fdba5898ed8b8,0,0,22,,,,,,,,,,,,
Potential Path Traversal (file read),File(...) reads a file whose location might be specified by user input,In ConfigDriveBuilder.java,org.apache.cloudstack.storage.configdrive.ConfigDriveBuilder,ConfigDriveBuilder.java,org/apache/cloudstack/storage/configdrive/ConfigDriveBuilder.java,org/apache/cloudstack/storage/configdrive/ConfigDriveBuilder.java,In class org.apache.cloudstack.storage.configdrive.ConfigDriveBuilder,org.apache.cloudstack.storage.configdrive.ConfigDriveBuilder,true,org.apache.cloudstack.storage.configdrive.ConfigDriveBuilder,237,261,0,384,ConfigDriveBuilder.java,org/apache/cloudstack/storage/configdrive/ConfigDriveBuilder.java,org/apache/cloudstack/storage/configdrive/ConfigDriveBuilder.java,"In method org.apache.cloudstack.storage.configdrive.ConfigDriveBuilder.createFileInTempDirAnAppendOpenStackMetadataToJsonObject(String, JsonObject, String, String, String)",org.apache.cloudstack.storage.configdrive.ConfigDriveBuilder,createFileInTempDirAnAppendOpenStackMetadataToJsonObject,(Ljava/lang/String;Lcom/google/gson/JsonObject;Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;)V,true,true,At ConfigDriveBuilder.java:[line 241],org.apache.cloudstack.storage.configdrive.ConfigDriveBuilder,true,241,241,35,35,ConfigDriveBuilder.java,org/apache/cloudstack/storage/configdrive/ConfigDriveBuilder.java,org/apache/cloudstack/storage/configdrive/ConfigDriveBuilder.java,At ConfigDriveBuilder.java:[line 241],org.apache.cloudstack.storage.configdrive.ConfigDriveBuilder,241,241,32,32,ConfigDriveBuilder.java,org/apache/cloudstack/storage/configdrive/ConfigDriveBuilder.java,org/apache/cloudstack/storage/configdrive/ConfigDriveBuilder.java,Sink method File(...),File(...),Sink method,PATH_TRAVERSAL_IN,2,7,SECPTI,SECURITY,9d48c15d2d5f7d8a615a652b1a45cb1b,0,1,22,,,,,,,,,,,,
Potential Path Traversal (file read),File(...) reads a file whose location might be specified by user input,In ConfigDriveBuilder.java,org.apache.cloudstack.storage.configdrive.ConfigDriveBuilder,ConfigDriveBuilder.java,org/apache/cloudstack/storage/configdrive/ConfigDriveBuilder.java,org/apache/cloudstack/storage/configdrive/ConfigDriveBuilder.java,In class org.apache.cloudstack.storage.configdrive.ConfigDriveBuilder,org.apache.cloudstack.storage.configdrive.ConfigDriveBuilder,true,org.apache.cloudstack.storage.configdrive.ConfigDriveBuilder,237,261,0,384,ConfigDriveBuilder.java,org/apache/cloudstack/storage/configdrive/ConfigDriveBuilder.java,org/apache/cloudstack/storage/configdrive/ConfigDriveBuilder.java,"In method org.apache.cloudstack.storage.configdrive.ConfigDriveBuilder.createFileInTempDirAnAppendOpenStackMetadataToJsonObject(String, JsonObject, String, String, String)",org.apache.cloudstack.storage.configdrive.ConfigDriveBuilder,createFileInTempDirAnAppendOpenStackMetadataToJsonObject,(Ljava/lang/String;Lcom/google/gson/JsonObject;Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;)V,true,true,At ConfigDriveBuilder.java:[line 246],org.apache.cloudstack.storage.configdrive.ConfigDriveBuilder,true,246,246,117,117,ConfigDriveBuilder.java,org/apache/cloudstack/storage/configdrive/ConfigDriveBuilder.java,org/apache/cloudstack/storage/configdrive/ConfigDriveBuilder.java,At ConfigDriveBuilder.java:[line 246],org.apache.cloudstack.storage.configdrive.ConfigDriveBuilder,246,246,114,114,ConfigDriveBuilder.java,org/apache/cloudstack/storage/configdrive/ConfigDriveBuilder.java,org/apache/cloudstack/storage/configdrive/ConfigDriveBuilder.java,Sink method File(...),File(...),Sink method,PATH_TRAVERSAL_IN,2,7,SECPTI,SECURITY,9d48c15d2d5f7d8a615a652b1a45cb1b,1,1,22,,,,,,,,,,,,
Potential Path Traversal (file read),File(...) reads a file whose location might be specified by user input,In ConfigDriveBuilder.java,org.apache.cloudstack.storage.configdrive.ConfigDriveBuilder,ConfigDriveBuilder.java,org/apache/cloudstack/storage/configdrive/ConfigDriveBuilder.java,org/apache/cloudstack/storage/configdrive/ConfigDriveBuilder.java,In class org.apache.cloudstack.storage.configdrive.ConfigDriveBuilder,org.apache.cloudstack.storage.configdrive.ConfigDriveBuilder,true,org.apache.cloudstack.storage.configdrive.ConfigDriveBuilder,137,161,0,491,ConfigDriveBuilder.java,org/apache/cloudstack/storage/configdrive/ConfigDriveBuilder.java,org/apache/cloudstack/storage/configdrive/ConfigDriveBuilder.java,"In method org.apache.cloudstack.storage.configdrive.ConfigDriveBuilder.generateAndRetrieveIsoAsBase64Iso(String, String, String)",org.apache.cloudstack.storage.configdrive.ConfigDriveBuilder,generateAndRetrieveIsoAsBase64Iso,(Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;)Ljava/lang/String;,true,true,At ConfigDriveBuilder.java:[line 137],org.apache.cloudstack.storage.configdrive.ConfigDriveBuilder,true,137,137,6,6,ConfigDriveBuilder.java,org/apache/cloudstack/storage/configdrive/ConfigDriveBuilder.java,org/apache/cloudstack/storage/configdrive/ConfigDriveBuilder.java,At ConfigDriveBuilder.java:[line 112],org.apache.cloudstack.storage.configdrive.ConfigDriveBuilder,112,112,88,88,ConfigDriveBuilder.java,org/apache/cloudstack/storage/configdrive/ConfigDriveBuilder.java,org/apache/cloudstack/storage/configdrive/ConfigDriveBuilder.java,Sink method File(...),File(...),Sink method,PATH_TRAVERSAL_IN,2,7,SECPTI,SECURITY,4e6269b90a483bd485661376c716589,0,0,22,,,,,,,,,,Method usage not detected,not detected,Method usage
