ShortMessage,LongMessage,Class/SourceLine/0/Message,Class/SourceLine/0/_classname,Class/SourceLine/0/_sourcefile,Class/SourceLine/0/_sourcepath,Class/SourceLine/0/_relSourcepath,Class/Message,Class/_classname,Class/_primary,Method/SourceLine/0/_classname,Method/SourceLine/0/_start,Method/SourceLine/0/_end,Method/SourceLine/0/_startBytecode,Method/SourceLine/0/_endBytecode,Method/SourceLine/0/_sourcefile,Method/SourceLine/0/_sourcepath,Method/SourceLine/0/_relSourcepath,Method/Message,Method/_classname,Method/_name,Method/_signature,Method/_isStatic,Method/_primary,SourceLine/0/Message,SourceLine/0/_classname,SourceLine/0/_primary,SourceLine/0/_start,SourceLine/0/_end,SourceLine/0/_startBytecode,SourceLine/0/_endBytecode,SourceLine/0/_sourcefile,SourceLine/0/_sourcepath,SourceLine/0/_relSourcepath,SourceLine/1/Message,SourceLine/1/_classname,SourceLine/1/_start,SourceLine/1/_end,SourceLine/1/_startBytecode,SourceLine/1/_endBytecode,SourceLine/1/_sourcefile,SourceLine/1/_sourcepath,SourceLine/1/_relSourcepath,SourceLine/2/Message,SourceLine/2/_classname,SourceLine/2/_start,SourceLine/2/_end,SourceLine/2/_startBytecode,SourceLine/2/_endBytecode,SourceLine/2/_sourcefile,SourceLine/2/_sourcepath,SourceLine/2/_relSourcepath,SourceLine/3/Message,SourceLine/3/_classname,SourceLine/3/_start,SourceLine/3/_end,SourceLine/3/_startBytecode,SourceLine/3/_endBytecode,SourceLine/3/_sourcefile,SourceLine/3/_sourcepath,SourceLine/3/_relSourcepath,String/Message,String/_value,String/_role,_type,_priority,_rank,_abbrev,_category,_instanceHash,_instanceOccurrenceNum,_instanceOccurrenceMax,_cweid
Potential CRLF Injection for logs,This use of Logger.error(...) might be used to include CRLF characters into log messages,In CephSnapshotStrategy.java,org.apache.cloudstack.storage.snapshot.CephSnapshotStrategy,CephSnapshotStrategy.java,org/apache/cloudstack/storage/snapshot/CephSnapshotStrategy.java,java/org/apache/cloudstack/storage/snapshot/CephSnapshotStrategy.java,In class org.apache.cloudstack.storage.snapshot.CephSnapshotStrategy,org.apache.cloudstack.storage.snapshot.CephSnapshotStrategy,true,org.apache.cloudstack.storage.snapshot.CephSnapshotStrategy,67,76,0,165,CephSnapshotStrategy.java,org/apache/cloudstack/storage/snapshot/CephSnapshotStrategy.java,java/org/apache/cloudstack/storage/snapshot/CephSnapshotStrategy.java,In method org.apache.cloudstack.storage.snapshot.CephSnapshotStrategy.revertSnapshot(SnapshotInfo),org.apache.cloudstack.storage.snapshot.CephSnapshotStrategy,revertSnapshot,(Lorg/apache/cloudstack/engine/subsystem/api/storage/SnapshotInfo;)Z,false,true,At CephSnapshotStrategy.java:[line 70],org.apache.cloudstack.storage.snapshot.CephSnapshotStrategy,true,70,70,40,40,CephSnapshotStrategy.java,org/apache/cloudstack/storage/snapshot/CephSnapshotStrategy.java,java/org/apache/cloudstack/storage/snapshot/CephSnapshotStrategy.java,At CephSnapshotStrategy.java:[line 68],org.apache.cloudstack.storage.snapshot.CephSnapshotStrategy,68,68,8,8,CephSnapshotStrategy.java,org/apache/cloudstack/storage/snapshot/CephSnapshotStrategy.java,java/org/apache/cloudstack/storage/snapshot/CephSnapshotStrategy.java,At CephSnapshotStrategy.java:[line 69],org.apache.cloudstack.storage.snapshot.CephSnapshotStrategy,69,69,18,18,CephSnapshotStrategy.java,org/apache/cloudstack/storage/snapshot/CephSnapshotStrategy.java,java/org/apache/cloudstack/storage/snapshot/CephSnapshotStrategy.java,At CephSnapshotStrategy.java:[line 70],org.apache.cloudstack.storage.snapshot.CephSnapshotStrategy,70,70,37,37,CephSnapshotStrategy.java,org/apache/cloudstack/storage/snapshot/CephSnapshotStrategy.java,java/org/apache/cloudstack/storage/snapshot/CephSnapshotStrategy.java,Sink method Logger.error(...),Logger.error(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,4a45ddc9828bcbe535ccf632a33f6905,0,0,117
Potential CRLF Injection for logs,This use of Logger.debug(...) might be used to include CRLF characters into log messages,In SnapshotObject.java,org.apache.cloudstack.storage.snapshot.SnapshotObject,SnapshotObject.java,org/apache/cloudstack/storage/snapshot/SnapshotObject.java,java/org/apache/cloudstack/storage/snapshot/SnapshotObject.java,In class org.apache.cloudstack.storage.snapshot.SnapshotObject,org.apache.cloudstack.storage.snapshot.SnapshotObject,true,org.apache.cloudstack.storage.snapshot.SnapshotObject,201,212,0,362,SnapshotObject.java,org/apache/cloudstack/storage/snapshot/SnapshotObject.java,java/org/apache/cloudstack/storage/snapshot/SnapshotObject.java,In method org.apache.cloudstack.storage.snapshot.SnapshotObject.processEvent(ObjectInDataStoreStateMachine$Event),org.apache.cloudstack.storage.snapshot.SnapshotObject,processEvent,(Lorg/apache/cloudstack/engine/subsystem/api/storage/ObjectInDataStoreStateMachine$Event;)V,false,true,At SnapshotObject.java:[line 203],org.apache.cloudstack.storage.snapshot.SnapshotObject,true,203,203,92,92,SnapshotObject.java,org/apache/cloudstack/storage/snapshot/SnapshotObject.java,java/org/apache/cloudstack/storage/snapshot/SnapshotObject.java,At SnapshotObject.java:[line 203],org.apache.cloudstack.storage.snapshot.SnapshotObject,203,203,89,89,SnapshotObject.java,org/apache/cloudstack/storage/snapshot/SnapshotObject.java,java/org/apache/cloudstack/storage/snapshot/SnapshotObject.java,,,,,,,,,,,,,,,,,,,Sink method Logger.debug(...),Logger.debug(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,66c075866413f1d584736fc028b86488,0,0,117
Potential CRLF Injection for logs,This use of Logger.info(...) might be used to include CRLF characters into log messages,In SnapshotObject.java,org.apache.cloudstack.storage.snapshot.SnapshotObject,SnapshotObject.java,org/apache/cloudstack/storage/snapshot/SnapshotObject.java,java/org/apache/cloudstack/storage/snapshot/SnapshotObject.java,In class org.apache.cloudstack.storage.snapshot.SnapshotObject,org.apache.cloudstack.storage.snapshot.SnapshotObject,true,org.apache.cloudstack.storage.snapshot.SnapshotObject,313,352,0,681,SnapshotObject.java,org/apache/cloudstack/storage/snapshot/SnapshotObject.java,java/org/apache/cloudstack/storage/snapshot/SnapshotObject.java,"In method org.apache.cloudstack.storage.snapshot.SnapshotObject.processEvent(ObjectInDataStoreStateMachine$Event, Answer)",org.apache.cloudstack.storage.snapshot.SnapshotObject,processEvent,(Lorg/apache/cloudstack/engine/subsystem/api/storage/ObjectInDataStoreStateMachine$Event;Lcom/cloud/agent/api/Answer;)V,false,true,At SnapshotObject.java:[line 334],org.apache.cloudstack.storage.snapshot.SnapshotObject,true,334,334,261,261,SnapshotObject.java,org/apache/cloudstack/storage/snapshot/SnapshotObject.java,java/org/apache/cloudstack/storage/snapshot/SnapshotObject.java,At SnapshotObject.java:[line 335],org.apache.cloudstack.storage.snapshot.SnapshotObject,335,335,258,258,SnapshotObject.java,org/apache/cloudstack/storage/snapshot/SnapshotObject.java,java/org/apache/cloudstack/storage/snapshot/SnapshotObject.java,,,,,,,,,,,,,,,,,,,Sink method Logger.info(...),Logger.info(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,35b5518084d6b5c093224e65d9ae42d0,0,0,117
Potential CRLF Injection for logs,This use of Logger.error(...) might be used to include CRLF characters into log messages,In SnapshotObject.java,org.apache.cloudstack.storage.snapshot.SnapshotObject,SnapshotObject.java,org/apache/cloudstack/storage/snapshot/SnapshotObject.java,java/org/apache/cloudstack/storage/snapshot/SnapshotObject.java,In class org.apache.cloudstack.storage.snapshot.SnapshotObject,org.apache.cloudstack.storage.snapshot.SnapshotObject,true,org.apache.cloudstack.storage.snapshot.SnapshotObject,313,352,0,681,SnapshotObject.java,org/apache/cloudstack/storage/snapshot/SnapshotObject.java,java/org/apache/cloudstack/storage/snapshot/SnapshotObject.java,"In method org.apache.cloudstack.storage.snapshot.SnapshotObject.processEvent(ObjectInDataStoreStateMachine$Event, Answer)",org.apache.cloudstack.storage.snapshot.SnapshotObject,processEvent,(Lorg/apache/cloudstack/engine/subsystem/api/storage/ObjectInDataStoreStateMachine$Event;Lcom/cloud/agent/api/Answer;)V,false,true,At SnapshotObject.java:[line 339],org.apache.cloudstack.storage.snapshot.SnapshotObject,true,339,339,329,329,SnapshotObject.java,org/apache/cloudstack/storage/snapshot/SnapshotObject.java,java/org/apache/cloudstack/storage/snapshot/SnapshotObject.java,At SnapshotObject.java:[line 339],org.apache.cloudstack.storage.snapshot.SnapshotObject,339,339,326,326,SnapshotObject.java,org/apache/cloudstack/storage/snapshot/SnapshotObject.java,java/org/apache/cloudstack/storage/snapshot/SnapshotObject.java,,,,,,,,,,,,,,,,,,,Sink method Logger.error(...),Logger.error(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,3101b5ef8b07dc3da334dbf6a833f8cf,0,0,117
Potential CRLF Injection for logs,This use of Logger.debug(...) might be used to include CRLF characters into log messages,In SnapshotServiceImpl.java,org.apache.cloudstack.storage.snapshot.SnapshotServiceImpl,SnapshotServiceImpl.java,org/apache/cloudstack/storage/snapshot/SnapshotServiceImpl.java,java/org/apache/cloudstack/storage/snapshot/SnapshotServiceImpl.java,In class org.apache.cloudstack.storage.snapshot.SnapshotServiceImpl,org.apache.cloudstack.storage.snapshot.SnapshotServiceImpl,true,org.apache.cloudstack.storage.snapshot.SnapshotServiceImpl,262,310,0,857,SnapshotServiceImpl.java,org/apache/cloudstack/storage/snapshot/SnapshotServiceImpl.java,java/org/apache/cloudstack/storage/snapshot/SnapshotServiceImpl.java,In method org.apache.cloudstack.storage.snapshot.SnapshotServiceImpl.backupSnapshot(SnapshotInfo),org.apache.cloudstack.storage.snapshot.SnapshotServiceImpl,backupSnapshot,(Lorg/apache/cloudstack/engine/subsystem/api/storage/SnapshotInfo;)Lorg/apache/cloudstack/engine/subsystem/api/storage/SnapshotInfo;,false,true,At SnapshotServiceImpl.java:[line 293],org.apache.cloudstack.storage.snapshot.SnapshotServiceImpl,true,293,293,242,242,SnapshotServiceImpl.java,org/apache/cloudstack/storage/snapshot/SnapshotServiceImpl.java,java/org/apache/cloudstack/storage/snapshot/SnapshotServiceImpl.java,At SnapshotServiceImpl.java:[line 293],org.apache.cloudstack.storage.snapshot.SnapshotServiceImpl,293,293,239,239,SnapshotServiceImpl.java,org/apache/cloudstack/storage/snapshot/SnapshotServiceImpl.java,java/org/apache/cloudstack/storage/snapshot/SnapshotServiceImpl.java,,,,,,,,,,,,,,,,,,,Sink method Logger.debug(...),Logger.debug(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,4ddb60c95b5f8d99a45434ebee73ed35,0,0,117
Potential CRLF Injection for logs,This use of Logger.debug(...) might be used to include CRLF characters into log messages,In SnapshotServiceImpl.java,org.apache.cloudstack.storage.snapshot.SnapshotServiceImpl,SnapshotServiceImpl.java,org/apache/cloudstack/storage/snapshot/SnapshotServiceImpl.java,java/org/apache/cloudstack/storage/snapshot/SnapshotServiceImpl.java,In class org.apache.cloudstack.storage.snapshot.SnapshotServiceImpl,org.apache.cloudstack.storage.snapshot.SnapshotServiceImpl,true,org.apache.cloudstack.storage.snapshot.SnapshotServiceImpl,476,494,0,383,SnapshotServiceImpl.java,org/apache/cloudstack/storage/snapshot/SnapshotServiceImpl.java,java/org/apache/cloudstack/storage/snapshot/SnapshotServiceImpl.java,"In method org.apache.cloudstack.storage.snapshot.SnapshotServiceImpl.cleanupVolumeDuringSnapshotFailure(Long, Long)",org.apache.cloudstack.storage.snapshot.SnapshotServiceImpl,cleanupVolumeDuringSnapshotFailure,(Ljava/lang/Long;Ljava/lang/Long;)V,false,true,At SnapshotServiceImpl.java:[line 482],org.apache.cloudstack.storage.snapshot.SnapshotServiceImpl,true,482,482,122,122,SnapshotServiceImpl.java,org/apache/cloudstack/storage/snapshot/SnapshotServiceImpl.java,java/org/apache/cloudstack/storage/snapshot/SnapshotServiceImpl.java,At SnapshotServiceImpl.java:[line 483],org.apache.cloudstack.storage.snapshot.SnapshotServiceImpl,483,483,119,119,SnapshotServiceImpl.java,org/apache/cloudstack/storage/snapshot/SnapshotServiceImpl.java,java/org/apache/cloudstack/storage/snapshot/SnapshotServiceImpl.java,,,,,,,,,,,,,,,,,,,Sink method Logger.debug(...),Logger.debug(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,2b10d7ba8c4df61cd45905c095683005,0,1,117
Potential CRLF Injection for logs,This use of Logger.debug(...) might be used to include CRLF characters into log messages,In SnapshotServiceImpl.java,org.apache.cloudstack.storage.snapshot.SnapshotServiceImpl,SnapshotServiceImpl.java,org/apache/cloudstack/storage/snapshot/SnapshotServiceImpl.java,java/org/apache/cloudstack/storage/snapshot/SnapshotServiceImpl.java,In class org.apache.cloudstack.storage.snapshot.SnapshotServiceImpl,org.apache.cloudstack.storage.snapshot.SnapshotServiceImpl,true,org.apache.cloudstack.storage.snapshot.SnapshotServiceImpl,476,494,0,383,SnapshotServiceImpl.java,org/apache/cloudstack/storage/snapshot/SnapshotServiceImpl.java,java/org/apache/cloudstack/storage/snapshot/SnapshotServiceImpl.java,"In method org.apache.cloudstack.storage.snapshot.SnapshotServiceImpl.cleanupVolumeDuringSnapshotFailure(Long, Long)",org.apache.cloudstack.storage.snapshot.SnapshotServiceImpl,cleanupVolumeDuringSnapshotFailure,(Ljava/lang/Long;Ljava/lang/Long;)V,false,true,At SnapshotServiceImpl.java:[line 488],org.apache.cloudstack.storage.snapshot.SnapshotServiceImpl,true,488,488,185,185,SnapshotServiceImpl.java,org/apache/cloudstack/storage/snapshot/SnapshotServiceImpl.java,java/org/apache/cloudstack/storage/snapshot/SnapshotServiceImpl.java,At SnapshotServiceImpl.java:[line 488],org.apache.cloudstack.storage.snapshot.SnapshotServiceImpl,488,488,182,182,SnapshotServiceImpl.java,org/apache/cloudstack/storage/snapshot/SnapshotServiceImpl.java,java/org/apache/cloudstack/storage/snapshot/SnapshotServiceImpl.java,,,,,,,,,,,,,,,,,,,Sink method Logger.debug(...),Logger.debug(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,2b10d7ba8c4df61cd45905c095683005,1,1,117
Potential CRLF Injection for logs,This use of Logger.debug(...) might be used to include CRLF characters into log messages,In SnapshotServiceImpl.java,org.apache.cloudstack.storage.snapshot.SnapshotServiceImpl,SnapshotServiceImpl.java,org/apache/cloudstack/storage/snapshot/SnapshotServiceImpl.java,java/org/apache/cloudstack/storage/snapshot/SnapshotServiceImpl.java,In class org.apache.cloudstack.storage.snapshot.SnapshotServiceImpl,org.apache.cloudstack.storage.snapshot.SnapshotServiceImpl,true,org.apache.cloudstack.storage.snapshot.SnapshotServiceImpl,316,352,0,677,SnapshotServiceImpl.java,org/apache/cloudstack/storage/snapshot/SnapshotServiceImpl.java,java/org/apache/cloudstack/storage/snapshot/SnapshotServiceImpl.java,"In method org.apache.cloudstack.storage.snapshot.SnapshotServiceImpl.copySnapshotAsyncCallback(AsyncCallbackDispatcher, SnapshotServiceImpl$CopySnapshotContext)",org.apache.cloudstack.storage.snapshot.SnapshotServiceImpl,copySnapshotAsyncCallback,(Lorg/apache/cloudstack/framework/async/AsyncCallbackDispatcher;Lorg/apache/cloudstack/storage/snapshot/SnapshotServiceImpl$CopySnapshotContext;)Ljava/lang/Void;,false,true,At SnapshotServiceImpl.java:[line 334],org.apache.cloudstack.storage.snapshot.SnapshotServiceImpl,true,334,334,163,163,SnapshotServiceImpl.java,org/apache/cloudstack/storage/snapshot/SnapshotServiceImpl.java,java/org/apache/cloudstack/storage/snapshot/SnapshotServiceImpl.java,At SnapshotServiceImpl.java:[line 334],org.apache.cloudstack.storage.snapshot.SnapshotServiceImpl,334,334,160,160,SnapshotServiceImpl.java,org/apache/cloudstack/storage/snapshot/SnapshotServiceImpl.java,java/org/apache/cloudstack/storage/snapshot/SnapshotServiceImpl.java,,,,,,,,,,,,,,,,,,,Sink method Logger.debug(...),Logger.debug(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,923ed35c69837ae3f35c5528cd1720ad,0,0,117
Potential CRLF Injection for logs,This use of Logger.debug(...) might be used to include CRLF characters into log messages,In SnapshotServiceImpl.java,org.apache.cloudstack.storage.snapshot.SnapshotServiceImpl,SnapshotServiceImpl.java,org/apache/cloudstack/storage/snapshot/SnapshotServiceImpl.java,java/org/apache/cloudstack/storage/snapshot/SnapshotServiceImpl.java,In class org.apache.cloudstack.storage.snapshot.SnapshotServiceImpl,org.apache.cloudstack.storage.snapshot.SnapshotServiceImpl,true,org.apache.cloudstack.storage.snapshot.SnapshotServiceImpl,133,165,0,629,SnapshotServiceImpl.java,org/apache/cloudstack/storage/snapshot/SnapshotServiceImpl.java,java/org/apache/cloudstack/storage/snapshot/SnapshotServiceImpl.java,"In method org.apache.cloudstack.storage.snapshot.SnapshotServiceImpl.createSnapshotAsyncCallback(AsyncCallbackDispatcher, SnapshotServiceImpl$CreateSnapshotContext)",org.apache.cloudstack.storage.snapshot.SnapshotServiceImpl,createSnapshotAsyncCallback,(Lorg/apache/cloudstack/framework/async/AsyncCallbackDispatcher;Lorg/apache/cloudstack/storage/snapshot/SnapshotServiceImpl$CreateSnapshotContext;)Ljava/lang/Void;,false,true,At SnapshotServiceImpl.java:[line 138],org.apache.cloudstack.storage.snapshot.SnapshotServiceImpl,true,138,138,87,87,SnapshotServiceImpl.java,org/apache/cloudstack/storage/snapshot/SnapshotServiceImpl.java,java/org/apache/cloudstack/storage/snapshot/SnapshotServiceImpl.java,At SnapshotServiceImpl.java:[line 138],org.apache.cloudstack.storage.snapshot.SnapshotServiceImpl,138,138,84,84,SnapshotServiceImpl.java,org/apache/cloudstack/storage/snapshot/SnapshotServiceImpl.java,java/org/apache/cloudstack/storage/snapshot/SnapshotServiceImpl.java,,,,,,,,,,,,,,,,,,,Sink method Logger.debug(...),Logger.debug(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,8dad477bd9171a3a6915a62261fadc58,0,2,117
Potential CRLF Injection for logs,This use of Logger.debug(...) might be used to include CRLF characters into log messages,In SnapshotServiceImpl.java,org.apache.cloudstack.storage.snapshot.SnapshotServiceImpl,SnapshotServiceImpl.java,org/apache/cloudstack/storage/snapshot/SnapshotServiceImpl.java,java/org/apache/cloudstack/storage/snapshot/SnapshotServiceImpl.java,In class org.apache.cloudstack.storage.snapshot.SnapshotServiceImpl,org.apache.cloudstack.storage.snapshot.SnapshotServiceImpl,true,org.apache.cloudstack.storage.snapshot.SnapshotServiceImpl,133,165,0,629,SnapshotServiceImpl.java,org/apache/cloudstack/storage/snapshot/SnapshotServiceImpl.java,java/org/apache/cloudstack/storage/snapshot/SnapshotServiceImpl.java,"In method org.apache.cloudstack.storage.snapshot.SnapshotServiceImpl.createSnapshotAsyncCallback(AsyncCallbackDispatcher, SnapshotServiceImpl$CreateSnapshotContext)",org.apache.cloudstack.storage.snapshot.SnapshotServiceImpl,createSnapshotAsyncCallback,(Lorg/apache/cloudstack/framework/async/AsyncCallbackDispatcher;Lorg/apache/cloudstack/storage/snapshot/SnapshotServiceImpl$CreateSnapshotContext;)Ljava/lang/Void;,false,true,At SnapshotServiceImpl.java:[line 143],org.apache.cloudstack.storage.snapshot.SnapshotServiceImpl,true,143,143,137,137,SnapshotServiceImpl.java,org/apache/cloudstack/storage/snapshot/SnapshotServiceImpl.java,java/org/apache/cloudstack/storage/snapshot/SnapshotServiceImpl.java,At SnapshotServiceImpl.java:[line 143],org.apache.cloudstack.storage.snapshot.SnapshotServiceImpl,143,143,134,134,SnapshotServiceImpl.java,org/apache/cloudstack/storage/snapshot/SnapshotServiceImpl.java,java/org/apache/cloudstack/storage/snapshot/SnapshotServiceImpl.java,,,,,,,,,,,,,,,,,,,Sink method Logger.debug(...),Logger.debug(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,8dad477bd9171a3a6915a62261fadc58,1,2,117
