ShortMessage,LongMessage,Class/SourceLine/0/Message,Class/SourceLine/0/_classname,Class/SourceLine/0/_sourcefile,Class/SourceLine/0/_sourcepath,Class/SourceLine/0/_relSourcepath,Class/Message,Class/_classname,Class/_primary,Method/SourceLine/0/_classname,Method/SourceLine/0/_start,Method/SourceLine/0/_end,Method/SourceLine/0/_startBytecode,Method/SourceLine/0/_endBytecode,Method/SourceLine/0/_sourcefile,Method/SourceLine/0/_sourcepath,Method/SourceLine/0/_relSourcepath,Method/Message,Method/_classname,Method/_name,Method/_signature,Method/_isStatic,Method/_primary,SourceLine/0/Message,SourceLine/0/_classname,SourceLine/0/_primary,SourceLine/0/_start,SourceLine/0/_end,SourceLine/0/_startBytecode,SourceLine/0/_endBytecode,SourceLine/0/_sourcefile,SourceLine/0/_sourcepath,SourceLine/0/_relSourcepath,SourceLine/1/Message,SourceLine/1/_classname,SourceLine/1/_start,SourceLine/1/_end,SourceLine/1/_startBytecode,SourceLine/1/_endBytecode,SourceLine/1/_sourcefile,SourceLine/1/_sourcepath,SourceLine/1/_relSourcepath,String/0/Message,String/0/_value,String/0/_role,_type,_priority,_rank,_abbrev,_category,_instanceHash,_instanceOccurrenceNum,_instanceOccurrenceMax,_cweid,String/1/Message,String/1/_value,String/1/_role
Potential CRLF Injection for logs,This use of Logger.info(...) might be used to include CRLF characters into log messages,In ClientTransportProvider.java,org.apache.cloudstack.framework.client.ClientTransportProvider$1,ClientTransportProvider.java,org/apache/cloudstack/framework/client/ClientTransportProvider.java,java/org/apache/cloudstack/framework/client/ClientTransportProvider.java,In class org.apache.cloudstack.framework.client.ClientTransportProvider$1,org.apache.cloudstack.framework.client.ClientTransportProvider$1,true,org.apache.cloudstack.framework.client.ClientTransportProvider$1,73,78,0,153,ClientTransportProvider.java,org/apache/cloudstack/framework/client/ClientTransportProvider.java,java/org/apache/cloudstack/framework/client/ClientTransportProvider.java,In method org.apache.cloudstack.framework.client.ClientTransportProvider$1.runInContext(),org.apache.cloudstack.framework.client.ClientTransportProvider$1,runInContext,()V,false,true,At ClientTransportProvider.java:[line 75],org.apache.cloudstack.framework.client.ClientTransportProvider$1,true,75,75,53,53,ClientTransportProvider.java,org/apache/cloudstack/framework/client/ClientTransportProvider.java,java/org/apache/cloudstack/framework/client/ClientTransportProvider.java,At ClientTransportProvider.java:[line 76],org.apache.cloudstack.framework.client.ClientTransportProvider$1,76,76,50,50,ClientTransportProvider.java,org/apache/cloudstack/framework/client/ClientTransportProvider.java,java/org/apache/cloudstack/framework/client/ClientTransportProvider.java,Sink method Logger.info(...),Logger.info(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,2c61f856d594fe6e3f1653a52e4894db,0,0,117,,,
Potential CRLF Injection for logs,This use of Logger.warn(...) might be used to include CRLF characters into log messages,In MessageDetector.java,org.apache.cloudstack.framework.messagebus.MessageDetector,MessageDetector.java,org/apache/cloudstack/framework/messagebus/MessageDetector.java,java/org/apache/cloudstack/framework/messagebus/MessageDetector.java,In class org.apache.cloudstack.framework.messagebus.MessageDetector,org.apache.cloudstack.framework.messagebus.MessageDetector,true,org.apache.cloudstack.framework.messagebus.MessageDetector,35,47,0,232,MessageDetector.java,org/apache/cloudstack/framework/messagebus/MessageDetector.java,java/org/apache/cloudstack/framework/messagebus/MessageDetector.java,In method org.apache.cloudstack.framework.messagebus.MessageDetector.waitAny(long),org.apache.cloudstack.framework.messagebus.MessageDetector,waitAny,(J)V,false,true,At MessageDetector.java:[line 36],org.apache.cloudstack.framework.messagebus.MessageDetector,true,36,36,35,35,MessageDetector.java,org/apache/cloudstack/framework/messagebus/MessageDetector.java,java/org/apache/cloudstack/framework/messagebus/MessageDetector.java,At MessageDetector.java:[line 36],org.apache.cloudstack.framework.messagebus.MessageDetector,36,36,32,32,MessageDetector.java,org/apache/cloudstack/framework/messagebus/MessageDetector.java,java/org/apache/cloudstack/framework/messagebus/MessageDetector.java,Sink method Logger.warn(...),Logger.warn(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,107b69d83eb7b8d5f34545ad9596c17c,0,0,117,,,
Potential CRLF Injection for logs,This use of Logger.info(...) might be used to include CRLF characters into log messages,In MessageDispatcher.java,org.apache.cloudstack.framework.messagebus.MessageDispatcher,MessageDispatcher.java,org/apache/cloudstack/framework/messagebus/MessageDispatcher.java,java/org/apache/cloudstack/framework/messagebus/MessageDispatcher.java,In class org.apache.cloudstack.framework.messagebus.MessageDispatcher,org.apache.cloudstack.framework.messagebus.MessageDispatcher,true,org.apache.cloudstack.framework.messagebus.MessageDispatcher,115,148,0,612,MessageDispatcher.java,org/apache/cloudstack/framework/messagebus/MessageDispatcher.java,java/org/apache/cloudstack/framework/messagebus/MessageDispatcher.java,In method org.apache.cloudstack.framework.messagebus.MessageDispatcher.buildHandlerMethodCache(Class),org.apache.cloudstack.framework.messagebus.MessageDispatcher,buildHandlerMethodCache,(Ljava/lang/Class;)V,false,true,At MessageDispatcher.java:[line 116],org.apache.cloudstack.framework.messagebus.MessageDispatcher,true,116,116,34,34,MessageDispatcher.java,org/apache/cloudstack/framework/messagebus/MessageDispatcher.java,java/org/apache/cloudstack/framework/messagebus/MessageDispatcher.java,At MessageDispatcher.java:[line 116],org.apache.cloudstack.framework.messagebus.MessageDispatcher,116,116,31,31,MessageDispatcher.java,org/apache/cloudstack/framework/messagebus/MessageDispatcher.java,java/org/apache/cloudstack/framework/messagebus/MessageDispatcher.java,Sink method Logger.info(...),Logger.info(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,2620a0129c3c3696c7274ed0b4230d2b,0,3,117,,,
Potential CRLF Injection for logs,This use of Logger.info(...) might be used to include CRLF characters into log messages,In MessageDispatcher.java,org.apache.cloudstack.framework.messagebus.MessageDispatcher,MessageDispatcher.java,org/apache/cloudstack/framework/messagebus/MessageDispatcher.java,java/org/apache/cloudstack/framework/messagebus/MessageDispatcher.java,In class org.apache.cloudstack.framework.messagebus.MessageDispatcher,org.apache.cloudstack.framework.messagebus.MessageDispatcher,true,org.apache.cloudstack.framework.messagebus.MessageDispatcher,115,148,0,612,MessageDispatcher.java,org/apache/cloudstack/framework/messagebus/MessageDispatcher.java,java/org/apache/cloudstack/framework/messagebus/MessageDispatcher.java,In method org.apache.cloudstack.framework.messagebus.MessageDispatcher.buildHandlerMethodCache(Class),org.apache.cloudstack.framework.messagebus.MessageDispatcher,buildHandlerMethodCache,(Ljava/lang/Class;)V,false,true,At MessageDispatcher.java:[line 134],org.apache.cloudstack.framework.messagebus.MessageDispatcher,true,134,134,207,207,MessageDispatcher.java,org/apache/cloudstack/framework/messagebus/MessageDispatcher.java,java/org/apache/cloudstack/framework/messagebus/MessageDispatcher.java,At MessageDispatcher.java:[line 134],org.apache.cloudstack.framework.messagebus.MessageDispatcher,134,134,204,204,MessageDispatcher.java,org/apache/cloudstack/framework/messagebus/MessageDispatcher.java,java/org/apache/cloudstack/framework/messagebus/MessageDispatcher.java,Sink method Logger.info(...),Logger.info(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,2620a0129c3c3696c7274ed0b4230d2b,1,3,117,,,
Potential CRLF Injection for logs,This use of Logger.info(...) might be used to include CRLF characters into log messages,In MessageDispatcher.java,org.apache.cloudstack.framework.messagebus.MessageDispatcher,MessageDispatcher.java,org/apache/cloudstack/framework/messagebus/MessageDispatcher.java,java/org/apache/cloudstack/framework/messagebus/MessageDispatcher.java,In class org.apache.cloudstack.framework.messagebus.MessageDispatcher,org.apache.cloudstack.framework.messagebus.MessageDispatcher,true,org.apache.cloudstack.framework.messagebus.MessageDispatcher,115,148,0,612,MessageDispatcher.java,org/apache/cloudstack/framework/messagebus/MessageDispatcher.java,java/org/apache/cloudstack/framework/messagebus/MessageDispatcher.java,In method org.apache.cloudstack.framework.messagebus.MessageDispatcher.buildHandlerMethodCache(Class),org.apache.cloudstack.framework.messagebus.MessageDispatcher,buildHandlerMethodCache,(Ljava/lang/Class;)V,false,true,At MessageDispatcher.java:[line 142],org.apache.cloudstack.framework.messagebus.MessageDispatcher,true,142,142,268,268,MessageDispatcher.java,org/apache/cloudstack/framework/messagebus/MessageDispatcher.java,java/org/apache/cloudstack/framework/messagebus/MessageDispatcher.java,At MessageDispatcher.java:[line 142],org.apache.cloudstack.framework.messagebus.MessageDispatcher,142,142,265,265,MessageDispatcher.java,org/apache/cloudstack/framework/messagebus/MessageDispatcher.java,java/org/apache/cloudstack/framework/messagebus/MessageDispatcher.java,Sink method Logger.info(...),Logger.info(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,2620a0129c3c3696c7274ed0b4230d2b,2,3,117,,,
Potential CRLF Injection for logs,This use of Logger.info(...) might be used to include CRLF characters into log messages,In MessageDispatcher.java,org.apache.cloudstack.framework.messagebus.MessageDispatcher,MessageDispatcher.java,org/apache/cloudstack/framework/messagebus/MessageDispatcher.java,java/org/apache/cloudstack/framework/messagebus/MessageDispatcher.java,In class org.apache.cloudstack.framework.messagebus.MessageDispatcher,org.apache.cloudstack.framework.messagebus.MessageDispatcher,true,org.apache.cloudstack.framework.messagebus.MessageDispatcher,115,148,0,612,MessageDispatcher.java,org/apache/cloudstack/framework/messagebus/MessageDispatcher.java,java/org/apache/cloudstack/framework/messagebus/MessageDispatcher.java,In method org.apache.cloudstack.framework.messagebus.MessageDispatcher.buildHandlerMethodCache(Class),org.apache.cloudstack.framework.messagebus.MessageDispatcher,buildHandlerMethodCache,(Ljava/lang/Class;)V,false,true,At MessageDispatcher.java:[line 147],org.apache.cloudstack.framework.messagebus.MessageDispatcher,true,147,147,317,317,MessageDispatcher.java,org/apache/cloudstack/framework/messagebus/MessageDispatcher.java,java/org/apache/cloudstack/framework/messagebus/MessageDispatcher.java,At MessageDispatcher.java:[line 147],org.apache.cloudstack.framework.messagebus.MessageDispatcher,147,147,314,314,MessageDispatcher.java,org/apache/cloudstack/framework/messagebus/MessageDispatcher.java,java/org/apache/cloudstack/framework/messagebus/MessageDispatcher.java,Sink method Logger.info(...),Logger.info(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,2620a0129c3c3696c7274ed0b4230d2b,3,3,117,,,
Potential CRLF Injection for logs,This use of Logger.error(...) might be used to include CRLF characters into log messages,In MessageDispatcher.java,org.apache.cloudstack.framework.messagebus.MessageDispatcher,MessageDispatcher.java,org/apache/cloudstack/framework/messagebus/MessageDispatcher.java,java/org/apache/cloudstack/framework/messagebus/MessageDispatcher.java,In class org.apache.cloudstack.framework.messagebus.MessageDispatcher,org.apache.cloudstack.framework.messagebus.MessageDispatcher,true,org.apache.cloudstack.framework.messagebus.MessageDispatcher,67,87,0,540,MessageDispatcher.java,org/apache/cloudstack/framework/messagebus/MessageDispatcher.java,java/org/apache/cloudstack/framework/messagebus/MessageDispatcher.java,"In method org.apache.cloudstack.framework.messagebus.MessageDispatcher.dispatch(Object, String, String, Object)",org.apache.cloudstack.framework.messagebus.MessageDispatcher,dispatch,(Ljava/lang/Object;Ljava/lang/String;Ljava/lang/String;Ljava/lang/Object;)Z,true,true,At MessageDispatcher.java:[line 77],org.apache.cloudstack.framework.messagebus.MessageDispatcher,true,77,77,124,124,MessageDispatcher.java,org/apache/cloudstack/framework/messagebus/MessageDispatcher.java,java/org/apache/cloudstack/framework/messagebus/MessageDispatcher.java,At MessageDispatcher.java:[line 77],org.apache.cloudstack.framework.messagebus.MessageDispatcher,77,77,119,119,MessageDispatcher.java,org/apache/cloudstack/framework/messagebus/MessageDispatcher.java,java/org/apache/cloudstack/framework/messagebus/MessageDispatcher.java,Sink method Logger.error(...),Logger.error(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,6efe7d51bd0c7a5b5c049f1846a3c923,0,2,117,,,
Potential CRLF Injection for logs,This use of Logger.error(...) might be used to include CRLF characters into log messages,In MessageDispatcher.java,org.apache.cloudstack.framework.messagebus.MessageDispatcher,MessageDispatcher.java,org/apache/cloudstack/framework/messagebus/MessageDispatcher.java,java/org/apache/cloudstack/framework/messagebus/MessageDispatcher.java,In class org.apache.cloudstack.framework.messagebus.MessageDispatcher,org.apache.cloudstack.framework.messagebus.MessageDispatcher,true,org.apache.cloudstack.framework.messagebus.MessageDispatcher,67,87,0,540,MessageDispatcher.java,org/apache/cloudstack/framework/messagebus/MessageDispatcher.java,java/org/apache/cloudstack/framework/messagebus/MessageDispatcher.java,"In method org.apache.cloudstack.framework.messagebus.MessageDispatcher.dispatch(Object, String, String, Object)",org.apache.cloudstack.framework.messagebus.MessageDispatcher,dispatch,(Ljava/lang/Object;Ljava/lang/String;Ljava/lang/String;Ljava/lang/Object;)Z,true,true,At MessageDispatcher.java:[line 80],org.apache.cloudstack.framework.messagebus.MessageDispatcher,true,80,80,199,199,MessageDispatcher.java,org/apache/cloudstack/framework/messagebus/MessageDispatcher.java,java/org/apache/cloudstack/framework/messagebus/MessageDispatcher.java,At MessageDispatcher.java:[line 80],org.apache.cloudstack.framework.messagebus.MessageDispatcher,80,80,194,194,MessageDispatcher.java,org/apache/cloudstack/framework/messagebus/MessageDispatcher.java,java/org/apache/cloudstack/framework/messagebus/MessageDispatcher.java,Sink method Logger.error(...),Logger.error(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,6efe7d51bd0c7a5b5c049f1846a3c923,1,2,117,,,
Potential CRLF Injection for logs,This use of Logger.error(...) might be used to include CRLF characters into log messages,In MessageDispatcher.java,org.apache.cloudstack.framework.messagebus.MessageDispatcher,MessageDispatcher.java,org/apache/cloudstack/framework/messagebus/MessageDispatcher.java,java/org/apache/cloudstack/framework/messagebus/MessageDispatcher.java,In class org.apache.cloudstack.framework.messagebus.MessageDispatcher,org.apache.cloudstack.framework.messagebus.MessageDispatcher,true,org.apache.cloudstack.framework.messagebus.MessageDispatcher,67,87,0,540,MessageDispatcher.java,org/apache/cloudstack/framework/messagebus/MessageDispatcher.java,java/org/apache/cloudstack/framework/messagebus/MessageDispatcher.java,"In method org.apache.cloudstack.framework.messagebus.MessageDispatcher.dispatch(Object, String, String, Object)",org.apache.cloudstack.framework.messagebus.MessageDispatcher,dispatch,(Ljava/lang/Object;Ljava/lang/String;Ljava/lang/String;Ljava/lang/Object;)Z,true,true,At MessageDispatcher.java:[line 83],org.apache.cloudstack.framework.messagebus.MessageDispatcher,true,83,83,274,274,MessageDispatcher.java,org/apache/cloudstack/framework/messagebus/MessageDispatcher.java,java/org/apache/cloudstack/framework/messagebus/MessageDispatcher.java,At MessageDispatcher.java:[line 83],org.apache.cloudstack.framework.messagebus.MessageDispatcher,83,83,269,269,MessageDispatcher.java,org/apache/cloudstack/framework/messagebus/MessageDispatcher.java,java/org/apache/cloudstack/framework/messagebus/MessageDispatcher.java,Sink method Logger.error(...),Logger.error(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,6efe7d51bd0c7a5b5c049f1846a3c923,2,2,117,,,
Potential CRLF Injection for logs,This use of Logger.error(...) might be used to include CRLF characters into log messages,In MessageDispatcher.java,org.apache.cloudstack.framework.messagebus.MessageDispatcher,MessageDispatcher.java,org/apache/cloudstack/framework/messagebus/MessageDispatcher.java,java/org/apache/cloudstack/framework/messagebus/MessageDispatcher.java,In class org.apache.cloudstack.framework.messagebus.MessageDispatcher,org.apache.cloudstack.framework.messagebus.MessageDispatcher,true,org.apache.cloudstack.framework.messagebus.MessageDispatcher,91,107,0,379,MessageDispatcher.java,org/apache/cloudstack/framework/messagebus/MessageDispatcher.java,java/org/apache/cloudstack/framework/messagebus/MessageDispatcher.java,"In method org.apache.cloudstack.framework.messagebus.MessageDispatcher.resolveHandler(Class, String)",org.apache.cloudstack.framework.messagebus.MessageDispatcher,resolveHandler,(Ljava/lang/Class;Ljava/lang/String;)Ljava/lang/reflect/Method;,true,true,At MessageDispatcher.java:[line 103],org.apache.cloudstack.framework.messagebus.MessageDispatcher,true,103,103,139,139,MessageDispatcher.java,org/apache/cloudstack/framework/messagebus/MessageDispatcher.java,java/org/apache/cloudstack/framework/messagebus/MessageDispatcher.java,At MessageDispatcher.java:[line 103],org.apache.cloudstack.framework.messagebus.MessageDispatcher,103,103,136,136,MessageDispatcher.java,org/apache/cloudstack/framework/messagebus/MessageDispatcher.java,java/org/apache/cloudstack/framework/messagebus/MessageDispatcher.java,Sink method Logger.error(...),Logger.error(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,e5075c0c040d322cb6e96ee8afe6ed94,0,0,117,,,
