ShortMessage,LongMessage,Class/SourceLine/0/Message,Class/SourceLine/0/_classname,Class/SourceLine/0/_sourcefile,Class/SourceLine/0/_sourcepath,Class/SourceLine/0/_relSourcepath,Class/Message,Class/_classname,Class/_primary,Method/SourceLine/0/_classname,Method/SourceLine/0/_start,Method/SourceLine/0/_end,Method/SourceLine/0/_startBytecode,Method/SourceLine/0/_endBytecode,Method/SourceLine/0/_sourcefile,Method/SourceLine/0/_sourcepath,Method/SourceLine/0/_relSourcepath,Method/Message,Method/_classname,Method/_name,Method/_signature,Method/_isStatic,Method/_primary,SourceLine/0/Message,SourceLine/0/_classname,SourceLine/0/_primary,SourceLine/0/_start,SourceLine/0/_end,SourceLine/0/_startBytecode,SourceLine/0/_endBytecode,SourceLine/0/_sourcefile,SourceLine/0/_sourcepath,SourceLine/0/_relSourcepath,SourceLine/1/Message,SourceLine/1/_classname,SourceLine/1/_start,SourceLine/1/_end,SourceLine/1/_startBytecode,SourceLine/1/_endBytecode,SourceLine/1/_sourcefile,SourceLine/1/_sourcepath,SourceLine/1/_relSourcepath,String/0/Message,String/0/_value,String/0/_role,_type,_priority,_rank,_abbrev,_category,_instanceHash,_instanceOccurrenceNum,_instanceOccurrenceMax,_cweid,SourceLine/2/Message,SourceLine/2/_classname,SourceLine/2/_start,SourceLine/2/_end,SourceLine/2/_startBytecode,SourceLine/2/_endBytecode,SourceLine/2/_sourcefile,SourceLine/2/_sourcepath,SourceLine/2/_relSourcepath,SourceLine/3/Message,SourceLine/3/_classname,SourceLine/3/_start,SourceLine/3/_end,SourceLine/3/_startBytecode,SourceLine/3/_endBytecode,SourceLine/3/_sourcefile,SourceLine/3/_sourcepath,SourceLine/3/_relSourcepath,SourceLine/4/Message,SourceLine/4/_classname,SourceLine/4/_start,SourceLine/4/_end,SourceLine/4/_startBytecode,SourceLine/4/_endBytecode,SourceLine/4/_sourcefile,SourceLine/4/_sourcepath,SourceLine/4/_relSourcepath,SourceLine/5/Message,SourceLine/5/_classname,SourceLine/5/_start,SourceLine/5/_end,SourceLine/5/_startBytecode,SourceLine/5/_endBytecode,SourceLine/5/_sourcefile,SourceLine/5/_sourcepath,SourceLine/5/_relSourcepath,String/1/Message,String/1/_value,String/1/_role
Potential CRLF Injection for logs,This use of Logger.debug(...) might be used to include CRLF characters into log messages,In QuotaAlertManagerImpl.java,org.apache.cloudstack.quota.QuotaAlertManagerImpl,QuotaAlertManagerImpl.java,org/apache/cloudstack/quota/QuotaAlertManagerImpl.java,java/org/apache/cloudstack/quota/QuotaAlertManagerImpl.java,In class org.apache.cloudstack.quota.QuotaAlertManagerImpl,org.apache.cloudstack.quota.QuotaAlertManagerImpl,true,org.apache.cloudstack.quota.QuotaAlertManagerImpl,141,186,0,984,QuotaAlertManagerImpl.java,org/apache/cloudstack/quota/QuotaAlertManagerImpl.java,java/org/apache/cloudstack/quota/QuotaAlertManagerImpl.java,In method org.apache.cloudstack.quota.QuotaAlertManagerImpl.checkAndSendQuotaAlertEmails(),org.apache.cloudstack.quota.QuotaAlertManagerImpl,checkAndSendQuotaAlertEmails,()V,false,true,At QuotaAlertManagerImpl.java:[line 145],org.apache.cloudstack.quota.QuotaAlertManagerImpl,true,145,145,87,87,QuotaAlertManagerImpl.java,org/apache/cloudstack/quota/QuotaAlertManagerImpl.java,java/org/apache/cloudstack/quota/QuotaAlertManagerImpl.java,At QuotaAlertManagerImpl.java:[line 145],org.apache.cloudstack.quota.QuotaAlertManagerImpl,145,145,84,84,QuotaAlertManagerImpl.java,org/apache/cloudstack/quota/QuotaAlertManagerImpl.java,java/org/apache/cloudstack/quota/QuotaAlertManagerImpl.java,Sink method Logger.debug(...),Logger.debug(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,d3750afbb51df7184b94aa3f222908fe,0,2,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.debug(...) might be used to include CRLF characters into log messages,In QuotaAlertManagerImpl.java,org.apache.cloudstack.quota.QuotaAlertManagerImpl,QuotaAlertManagerImpl.java,org/apache/cloudstack/quota/QuotaAlertManagerImpl.java,java/org/apache/cloudstack/quota/QuotaAlertManagerImpl.java,In class org.apache.cloudstack.quota.QuotaAlertManagerImpl,org.apache.cloudstack.quota.QuotaAlertManagerImpl,true,org.apache.cloudstack.quota.QuotaAlertManagerImpl,141,186,0,984,QuotaAlertManagerImpl.java,org/apache/cloudstack/quota/QuotaAlertManagerImpl.java,java/org/apache/cloudstack/quota/QuotaAlertManagerImpl.java,In method org.apache.cloudstack.quota.QuotaAlertManagerImpl.checkAndSendQuotaAlertEmails(),org.apache.cloudstack.quota.QuotaAlertManagerImpl,checkAndSendQuotaAlertEmails,()V,false,true,At QuotaAlertManagerImpl.java:[line 158],org.apache.cloudstack.quota.QuotaAlertManagerImpl,true,158,158,228,228,QuotaAlertManagerImpl.java,org/apache/cloudstack/quota/QuotaAlertManagerImpl.java,java/org/apache/cloudstack/quota/QuotaAlertManagerImpl.java,At QuotaAlertManagerImpl.java:[line 158],org.apache.cloudstack.quota.QuotaAlertManagerImpl,158,158,225,225,QuotaAlertManagerImpl.java,org/apache/cloudstack/quota/QuotaAlertManagerImpl.java,java/org/apache/cloudstack/quota/QuotaAlertManagerImpl.java,Sink method Logger.debug(...),Logger.debug(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,d3750afbb51df7184b94aa3f222908fe,1,2,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.info(...) might be used to include CRLF characters into log messages,In QuotaAlertManagerImpl.java,org.apache.cloudstack.quota.QuotaAlertManagerImpl,QuotaAlertManagerImpl.java,org/apache/cloudstack/quota/QuotaAlertManagerImpl.java,java/org/apache/cloudstack/quota/QuotaAlertManagerImpl.java,In class org.apache.cloudstack.quota.QuotaAlertManagerImpl,org.apache.cloudstack.quota.QuotaAlertManagerImpl,true,org.apache.cloudstack.quota.QuotaAlertManagerImpl,141,186,0,984,QuotaAlertManagerImpl.java,org/apache/cloudstack/quota/QuotaAlertManagerImpl.java,java/org/apache/cloudstack/quota/QuotaAlertManagerImpl.java,In method org.apache.cloudstack.quota.QuotaAlertManagerImpl.checkAndSendQuotaAlertEmails(),org.apache.cloudstack.quota.QuotaAlertManagerImpl,checkAndSendQuotaAlertEmails,()V,false,true,At QuotaAlertManagerImpl.java:[line 163],org.apache.cloudstack.quota.QuotaAlertManagerImpl,true,163,163,298,298,QuotaAlertManagerImpl.java,org/apache/cloudstack/quota/QuotaAlertManagerImpl.java,java/org/apache/cloudstack/quota/QuotaAlertManagerImpl.java,At QuotaAlertManagerImpl.java:[line 163],org.apache.cloudstack.quota.QuotaAlertManagerImpl,163,163,295,295,QuotaAlertManagerImpl.java,org/apache/cloudstack/quota/QuotaAlertManagerImpl.java,java/org/apache/cloudstack/quota/QuotaAlertManagerImpl.java,Sink method Logger.info(...),Logger.info(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,3033908b5d8a7529347dbf297331f288,0,2,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.info(...) might be used to include CRLF characters into log messages,In QuotaAlertManagerImpl.java,org.apache.cloudstack.quota.QuotaAlertManagerImpl,QuotaAlertManagerImpl.java,org/apache/cloudstack/quota/QuotaAlertManagerImpl.java,java/org/apache/cloudstack/quota/QuotaAlertManagerImpl.java,In class org.apache.cloudstack.quota.QuotaAlertManagerImpl,org.apache.cloudstack.quota.QuotaAlertManagerImpl,true,org.apache.cloudstack.quota.QuotaAlertManagerImpl,141,186,0,984,QuotaAlertManagerImpl.java,org/apache/cloudstack/quota/QuotaAlertManagerImpl.java,java/org/apache/cloudstack/quota/QuotaAlertManagerImpl.java,In method org.apache.cloudstack.quota.QuotaAlertManagerImpl.checkAndSendQuotaAlertEmails(),org.apache.cloudstack.quota.QuotaAlertManagerImpl,checkAndSendQuotaAlertEmails,()V,false,true,At QuotaAlertManagerImpl.java:[line 168],org.apache.cloudstack.quota.QuotaAlertManagerImpl,true,168,168,374,374,QuotaAlertManagerImpl.java,org/apache/cloudstack/quota/QuotaAlertManagerImpl.java,java/org/apache/cloudstack/quota/QuotaAlertManagerImpl.java,At QuotaAlertManagerImpl.java:[line 168],org.apache.cloudstack.quota.QuotaAlertManagerImpl,168,168,371,371,QuotaAlertManagerImpl.java,org/apache/cloudstack/quota/QuotaAlertManagerImpl.java,java/org/apache/cloudstack/quota/QuotaAlertManagerImpl.java,Sink method Logger.info(...),Logger.info(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,3033908b5d8a7529347dbf297331f288,1,2,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.info(...) might be used to include CRLF characters into log messages,In QuotaAlertManagerImpl.java,org.apache.cloudstack.quota.QuotaAlertManagerImpl,QuotaAlertManagerImpl.java,org/apache/cloudstack/quota/QuotaAlertManagerImpl.java,java/org/apache/cloudstack/quota/QuotaAlertManagerImpl.java,In class org.apache.cloudstack.quota.QuotaAlertManagerImpl,org.apache.cloudstack.quota.QuotaAlertManagerImpl,true,org.apache.cloudstack.quota.QuotaAlertManagerImpl,141,186,0,984,QuotaAlertManagerImpl.java,org/apache/cloudstack/quota/QuotaAlertManagerImpl.java,java/org/apache/cloudstack/quota/QuotaAlertManagerImpl.java,In method org.apache.cloudstack.quota.QuotaAlertManagerImpl.checkAndSendQuotaAlertEmails(),org.apache.cloudstack.quota.QuotaAlertManagerImpl,checkAndSendQuotaAlertEmails,()V,false,true,At QuotaAlertManagerImpl.java:[line 173],org.apache.cloudstack.quota.QuotaAlertManagerImpl,true,173,173,474,474,QuotaAlertManagerImpl.java,org/apache/cloudstack/quota/QuotaAlertManagerImpl.java,java/org/apache/cloudstack/quota/QuotaAlertManagerImpl.java,At QuotaAlertManagerImpl.java:[line 173],org.apache.cloudstack.quota.QuotaAlertManagerImpl,173,173,471,471,QuotaAlertManagerImpl.java,org/apache/cloudstack/quota/QuotaAlertManagerImpl.java,java/org/apache/cloudstack/quota/QuotaAlertManagerImpl.java,Sink method Logger.info(...),Logger.info(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,3033908b5d8a7529347dbf297331f288,2,2,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.debug(...) might be used to include CRLF characters into log messages,In QuotaAlertManagerImpl.java,org.apache.cloudstack.quota.QuotaAlertManagerImpl,QuotaAlertManagerImpl.java,org/apache/cloudstack/quota/QuotaAlertManagerImpl.java,java/org/apache/cloudstack/quota/QuotaAlertManagerImpl.java,In class org.apache.cloudstack.quota.QuotaAlertManagerImpl,org.apache.cloudstack.quota.QuotaAlertManagerImpl,true,org.apache.cloudstack.quota.QuotaAlertManagerImpl,141,186,0,984,QuotaAlertManagerImpl.java,org/apache/cloudstack/quota/QuotaAlertManagerImpl.java,java/org/apache/cloudstack/quota/QuotaAlertManagerImpl.java,In method org.apache.cloudstack.quota.QuotaAlertManagerImpl.checkAndSendQuotaAlertEmails(),org.apache.cloudstack.quota.QuotaAlertManagerImpl,checkAndSendQuotaAlertEmails,()V,false,true,At QuotaAlertManagerImpl.java:[line 182],org.apache.cloudstack.quota.QuotaAlertManagerImpl,true,182,182,566,566,QuotaAlertManagerImpl.java,org/apache/cloudstack/quota/QuotaAlertManagerImpl.java,java/org/apache/cloudstack/quota/QuotaAlertManagerImpl.java,At QuotaAlertManagerImpl.java:[line 182],org.apache.cloudstack.quota.QuotaAlertManagerImpl,182,182,563,563,QuotaAlertManagerImpl.java,org/apache/cloudstack/quota/QuotaAlertManagerImpl.java,java/org/apache/cloudstack/quota/QuotaAlertManagerImpl.java,Sink method Logger.debug(...),Logger.debug(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,d3750afbb51df7184b94aa3f222908fe,2,2,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.info(...) might be used to include CRLF characters into log messages,In QuotaAlertManagerImpl.java,org.apache.cloudstack.quota.QuotaAlertManagerImpl,QuotaAlertManagerImpl.java,org/apache/cloudstack/quota/QuotaAlertManagerImpl.java,java/org/apache/cloudstack/quota/QuotaAlertManagerImpl.java,In class org.apache.cloudstack.quota.QuotaAlertManagerImpl,org.apache.cloudstack.quota.QuotaAlertManagerImpl,true,org.apache.cloudstack.quota.QuotaAlertManagerImpl,252,277,0,811,QuotaAlertManagerImpl.java,org/apache/cloudstack/quota/QuotaAlertManagerImpl.java,java/org/apache/cloudstack/quota/QuotaAlertManagerImpl.java,In method org.apache.cloudstack.quota.QuotaAlertManagerImpl.lockAccount(long),org.apache.cloudstack.quota.QuotaAlertManagerImpl,lockAccount,(J)Z,false,true,At QuotaAlertManagerImpl.java:[line 265],org.apache.cloudstack.quota.QuotaAlertManagerImpl,true,265,265,212,212,QuotaAlertManagerImpl.java,org/apache/cloudstack/quota/QuotaAlertManagerImpl.java,java/org/apache/cloudstack/quota/QuotaAlertManagerImpl.java,At QuotaAlertManagerImpl.java:[line 265],org.apache.cloudstack.quota.QuotaAlertManagerImpl,265,265,209,209,QuotaAlertManagerImpl.java,org/apache/cloudstack/quota/QuotaAlertManagerImpl.java,java/org/apache/cloudstack/quota/QuotaAlertManagerImpl.java,Sink method Logger.info(...),Logger.info(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,4cf7308af60c25498987365792232f6e,0,0,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.warn(...) might be used to include CRLF characters into log messages,In QuotaAlertManagerImpl.java,org.apache.cloudstack.quota.QuotaAlertManagerImpl,QuotaAlertManagerImpl.java,org/apache/cloudstack/quota/QuotaAlertManagerImpl.java,java/org/apache/cloudstack/quota/QuotaAlertManagerImpl.java,In class org.apache.cloudstack.quota.QuotaAlertManagerImpl,org.apache.cloudstack.quota.QuotaAlertManagerImpl,true,org.apache.cloudstack.quota.QuotaAlertManagerImpl,252,277,0,811,QuotaAlertManagerImpl.java,org/apache/cloudstack/quota/QuotaAlertManagerImpl.java,java/org/apache/cloudstack/quota/QuotaAlertManagerImpl.java,In method org.apache.cloudstack.quota.QuotaAlertManagerImpl.lockAccount(long),org.apache.cloudstack.quota.QuotaAlertManagerImpl,lockAccount,(J)Z,false,true,At QuotaAlertManagerImpl.java:[line 269],org.apache.cloudstack.quota.QuotaAlertManagerImpl,true,269,269,245,245,QuotaAlertManagerImpl.java,org/apache/cloudstack/quota/QuotaAlertManagerImpl.java,java/org/apache/cloudstack/quota/QuotaAlertManagerImpl.java,At QuotaAlertManagerImpl.java:[line 269],org.apache.cloudstack.quota.QuotaAlertManagerImpl,269,269,242,242,QuotaAlertManagerImpl.java,org/apache/cloudstack/quota/QuotaAlertManagerImpl.java,java/org/apache/cloudstack/quota/QuotaAlertManagerImpl.java,Sink method Logger.warn(...),Logger.warn(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,3eb512c8c93fababca65019d055baa05,0,0,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.debug(...) might be used to include CRLF characters into log messages,In QuotaAlertManagerImpl.java,org.apache.cloudstack.quota.QuotaAlertManagerImpl,QuotaAlertManagerImpl.java,org/apache/cloudstack/quota/QuotaAlertManagerImpl.java,java/org/apache/cloudstack/quota/QuotaAlertManagerImpl.java,In class org.apache.cloudstack.quota.QuotaAlertManagerImpl,org.apache.cloudstack.quota.QuotaAlertManagerImpl,true,org.apache.cloudstack.quota.QuotaAlertManagerImpl,190,244,0,1260,QuotaAlertManagerImpl.java,org/apache/cloudstack/quota/QuotaAlertManagerImpl.java,java/org/apache/cloudstack/quota/QuotaAlertManagerImpl.java,In method org.apache.cloudstack.quota.QuotaAlertManagerImpl.sendQuotaAlert(QuotaAlertManagerImpl$DeferredQuotaEmail),org.apache.cloudstack.quota.QuotaAlertManagerImpl,sendQuotaAlert,(Lorg/apache/cloudstack/quota/QuotaAlertManagerImpl$DeferredQuotaEmail;)V,false,true,At QuotaAlertManagerImpl.java:[line 224],org.apache.cloudstack.quota.QuotaAlertManagerImpl,true,224,224,491,491,QuotaAlertManagerImpl.java,org/apache/cloudstack/quota/QuotaAlertManagerImpl.java,java/org/apache/cloudstack/quota/QuotaAlertManagerImpl.java,At QuotaAlertManagerImpl.java:[line 225],org.apache.cloudstack.quota.QuotaAlertManagerImpl,225,225,488,488,QuotaAlertManagerImpl.java,org/apache/cloudstack/quota/QuotaAlertManagerImpl.java,java/org/apache/cloudstack/quota/QuotaAlertManagerImpl.java,Sink method Logger.debug(...),Logger.debug(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,d2a946c8936ef2bd50cf9787de707f18,0,0,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.error(...) might be used to include CRLF characters into log messages,In QuotaAlertManagerImpl.java,org.apache.cloudstack.quota.QuotaAlertManagerImpl,QuotaAlertManagerImpl.java,org/apache/cloudstack/quota/QuotaAlertManagerImpl.java,java/org/apache/cloudstack/quota/QuotaAlertManagerImpl.java,In class org.apache.cloudstack.quota.QuotaAlertManagerImpl,org.apache.cloudstack.quota.QuotaAlertManagerImpl,true,org.apache.cloudstack.quota.QuotaAlertManagerImpl,190,244,0,1260,QuotaAlertManagerImpl.java,org/apache/cloudstack/quota/QuotaAlertManagerImpl.java,java/org/apache/cloudstack/quota/QuotaAlertManagerImpl.java,In method org.apache.cloudstack.quota.QuotaAlertManagerImpl.sendQuotaAlert(QuotaAlertManagerImpl$DeferredQuotaEmail),org.apache.cloudstack.quota.QuotaAlertManagerImpl,sendQuotaAlert,(Lorg/apache/cloudstack/quota/QuotaAlertManagerImpl$DeferredQuotaEmail;)V,false,true,At QuotaAlertManagerImpl.java:[line 235],org.apache.cloudstack.quota.QuotaAlertManagerImpl,true,235,235,602,602,QuotaAlertManagerImpl.java,org/apache/cloudstack/quota/QuotaAlertManagerImpl.java,java/org/apache/cloudstack/quota/QuotaAlertManagerImpl.java,At QuotaAlertManagerImpl.java:[line 229],org.apache.cloudstack.quota.QuotaAlertManagerImpl,229,229,512,512,QuotaAlertManagerImpl.java,org/apache/cloudstack/quota/QuotaAlertManagerImpl.java,java/org/apache/cloudstack/quota/QuotaAlertManagerImpl.java,Sink method Logger.error(...),Logger.error(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,bed3cefffa981f371eca2791c9d92008,0,1,117,At QuotaAlertManagerImpl.java:[line 230],org.apache.cloudstack.quota.QuotaAlertManagerImpl,230,230,524,524,QuotaAlertManagerImpl.java,org/apache/cloudstack/quota/QuotaAlertManagerImpl.java,java/org/apache/cloudstack/quota/QuotaAlertManagerImpl.java,At QuotaAlertManagerImpl.java:[line 232],org.apache.cloudstack.quota.QuotaAlertManagerImpl,232,232,539,539,QuotaAlertManagerImpl.java,org/apache/cloudstack/quota/QuotaAlertManagerImpl.java,java/org/apache/cloudstack/quota/QuotaAlertManagerImpl.java,At QuotaAlertManagerImpl.java:[line 235],org.apache.cloudstack.quota.QuotaAlertManagerImpl,235,235,599,599,QuotaAlertManagerImpl.java,org/apache/cloudstack/quota/QuotaAlertManagerImpl.java,java/org/apache/cloudstack/quota/QuotaAlertManagerImpl.java,At QuotaAlertManagerImpl.java:[line 236],org.apache.cloudstack.quota.QuotaAlertManagerImpl,236,236,585,585,QuotaAlertManagerImpl.java,org/apache/cloudstack/quota/QuotaAlertManagerImpl.java,java/org/apache/cloudstack/quota/QuotaAlertManagerImpl.java,,,
