ShortMessage,LongMessage,Class/SourceLine/0/Message,Class/SourceLine/0/_classname,Class/SourceLine/0/_sourcefile,Class/SourceLine/0/_sourcepath,Class/SourceLine/0/_relSourcepath,Class/Message,Class/_classname,Class/_primary,Method/SourceLine/0/_classname,Method/SourceLine/0/_start,Method/SourceLine/0/_end,Method/SourceLine/0/_startBytecode,Method/SourceLine/0/_endBytecode,Method/SourceLine/0/_sourcefile,Method/SourceLine/0/_sourcepath,Method/SourceLine/0/_relSourcepath,Method/Message,Method/_classname,Method/_name,Method/_signature,Method/_isStatic,Method/_primary,SourceLine/0/Message,SourceLine/0/_classname,SourceLine/0/_primary,SourceLine/0/_start,SourceLine/0/_end,SourceLine/0/_startBytecode,SourceLine/0/_endBytecode,SourceLine/0/_sourcefile,SourceLine/0/_sourcepath,SourceLine/0/_relSourcepath,SourceLine/1/Message,SourceLine/1/_classname,SourceLine/1/_start,SourceLine/1/_end,SourceLine/1/_startBytecode,SourceLine/1/_endBytecode,SourceLine/1/_sourcefile,SourceLine/1/_sourcepath,SourceLine/1/_relSourcepath,String/Message,String/_value,String/_role,_type,_priority,_rank,_abbrev,_category,_instanceHash,_instanceOccurrenceNum,_instanceOccurrenceMax,_cweid
Potential CRLF Injection for logs,This use of Logger.info(...) might be used to include CRLF characters into log messages,In DedicatedResourceManagerImpl.java,org.apache.cloudstack.dedicated.DedicatedResourceManagerImpl,DedicatedResourceManagerImpl.java,org/apache/cloudstack/dedicated/DedicatedResourceManagerImpl.java,java/org/apache/cloudstack/dedicated/DedicatedResourceManagerImpl.java,In class org.apache.cloudstack.dedicated.DedicatedResourceManagerImpl,org.apache.cloudstack.dedicated.DedicatedResourceManagerImpl,true,org.apache.cloudstack.dedicated.DedicatedResourceManagerImpl,663,682,0,478,DedicatedResourceManagerImpl.java,org/apache/cloudstack/dedicated/DedicatedResourceManagerImpl.java,java/org/apache/cloudstack/dedicated/DedicatedResourceManagerImpl.java,"In method org.apache.cloudstack.dedicated.DedicatedResourceManagerImpl.checkHostSuitabilityForExplicitDedication(Long, List, long)",org.apache.cloudstack.dedicated.DedicatedResourceManagerImpl,checkHostSuitabilityForExplicitDedication,(Ljava/lang/Long;Ljava/util/List;J)Z,false,true,At DedicatedResourceManagerImpl.java:[line 668],org.apache.cloudstack.dedicated.DedicatedResourceManagerImpl,true,668,668,89,89,DedicatedResourceManagerImpl.java,org/apache/cloudstack/dedicated/DedicatedResourceManagerImpl.java,java/org/apache/cloudstack/dedicated/DedicatedResourceManagerImpl.java,At DedicatedResourceManagerImpl.java:[line 668],org.apache.cloudstack.dedicated.DedicatedResourceManagerImpl,668,668,86,86,DedicatedResourceManagerImpl.java,org/apache/cloudstack/dedicated/DedicatedResourceManagerImpl.java,java/org/apache/cloudstack/dedicated/DedicatedResourceManagerImpl.java,Sink method Logger.info(...),Logger.info(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,4d1b633c1d97eea52716a25872727556,0,1,117
Potential CRLF Injection for logs,This use of Logger.info(...) might be used to include CRLF characters into log messages,In DedicatedResourceManagerImpl.java,org.apache.cloudstack.dedicated.DedicatedResourceManagerImpl,DedicatedResourceManagerImpl.java,org/apache/cloudstack/dedicated/DedicatedResourceManagerImpl.java,java/org/apache/cloudstack/dedicated/DedicatedResourceManagerImpl.java,In class org.apache.cloudstack.dedicated.DedicatedResourceManagerImpl,org.apache.cloudstack.dedicated.DedicatedResourceManagerImpl,true,org.apache.cloudstack.dedicated.DedicatedResourceManagerImpl,663,682,0,478,DedicatedResourceManagerImpl.java,org/apache/cloudstack/dedicated/DedicatedResourceManagerImpl.java,java/org/apache/cloudstack/dedicated/DedicatedResourceManagerImpl.java,"In method org.apache.cloudstack.dedicated.DedicatedResourceManagerImpl.checkHostSuitabilityForExplicitDedication(Long, List, long)",org.apache.cloudstack.dedicated.DedicatedResourceManagerImpl,checkHostSuitabilityForExplicitDedication,(Ljava/lang/Long;Ljava/util/List;J)Z,false,true,At DedicatedResourceManagerImpl.java:[line 676],org.apache.cloudstack.dedicated.DedicatedResourceManagerImpl,true,676,676,209,209,DedicatedResourceManagerImpl.java,org/apache/cloudstack/dedicated/DedicatedResourceManagerImpl.java,java/org/apache/cloudstack/dedicated/DedicatedResourceManagerImpl.java,At DedicatedResourceManagerImpl.java:[line 676],org.apache.cloudstack.dedicated.DedicatedResourceManagerImpl,676,676,206,206,DedicatedResourceManagerImpl.java,org/apache/cloudstack/dedicated/DedicatedResourceManagerImpl.java,java/org/apache/cloudstack/dedicated/DedicatedResourceManagerImpl.java,Sink method Logger.info(...),Logger.info(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,4d1b633c1d97eea52716a25872727556,1,1,117
Potential CRLF Injection for logs,This use of Logger.error(...) might be used to include CRLF characters into log messages,In DedicatedResourceManagerImpl.java,org.apache.cloudstack.dedicated.DedicatedResourceManagerImpl,DedicatedResourceManagerImpl.java,org/apache/cloudstack/dedicated/DedicatedResourceManagerImpl.java,java/org/apache/cloudstack/dedicated/DedicatedResourceManagerImpl.java,In class org.apache.cloudstack.dedicated.DedicatedResourceManagerImpl,org.apache.cloudstack.dedicated.DedicatedResourceManagerImpl,true,org.apache.cloudstack.dedicated.DedicatedResourceManagerImpl,402,483,0,1492,DedicatedResourceManagerImpl.java,org/apache/cloudstack/dedicated/DedicatedResourceManagerImpl.java,java/org/apache/cloudstack/dedicated/DedicatedResourceManagerImpl.java,"In method org.apache.cloudstack.dedicated.DedicatedResourceManagerImpl.dedicateCluster(Long, Long, String)",org.apache.cloudstack.dedicated.DedicatedResourceManagerImpl,dedicateCluster,(Ljava/lang/Long;Ljava/lang/Long;Ljava/lang/String;)Ljava/util/List;,false,true,At DedicatedResourceManagerImpl.java:[line 422],org.apache.cloudstack.dedicated.DedicatedResourceManagerImpl,true,422,422,205,205,DedicatedResourceManagerImpl.java,org/apache/cloudstack/dedicated/DedicatedResourceManagerImpl.java,java/org/apache/cloudstack/dedicated/DedicatedResourceManagerImpl.java,At DedicatedResourceManagerImpl.java:[line 422],org.apache.cloudstack.dedicated.DedicatedResourceManagerImpl,422,422,202,202,DedicatedResourceManagerImpl.java,org/apache/cloudstack/dedicated/DedicatedResourceManagerImpl.java,java/org/apache/cloudstack/dedicated/DedicatedResourceManagerImpl.java,Sink method Logger.error(...),Logger.error(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,6a9fb22439a47404dfcd7f2d68b58b99,0,1,117
Potential CRLF Injection for logs,This use of Logger.error(...) might be used to include CRLF characters into log messages,In DedicatedResourceManagerImpl.java,org.apache.cloudstack.dedicated.DedicatedResourceManagerImpl,DedicatedResourceManagerImpl.java,org/apache/cloudstack/dedicated/DedicatedResourceManagerImpl.java,java/org/apache/cloudstack/dedicated/DedicatedResourceManagerImpl.java,In class org.apache.cloudstack.dedicated.DedicatedResourceManagerImpl,org.apache.cloudstack.dedicated.DedicatedResourceManagerImpl,true,org.apache.cloudstack.dedicated.DedicatedResourceManagerImpl,402,483,0,1492,DedicatedResourceManagerImpl.java,org/apache/cloudstack/dedicated/DedicatedResourceManagerImpl.java,java/org/apache/cloudstack/dedicated/DedicatedResourceManagerImpl.java,"In method org.apache.cloudstack.dedicated.DedicatedResourceManagerImpl.dedicateCluster(Long, Long, String)",org.apache.cloudstack.dedicated.DedicatedResourceManagerImpl,dedicateCluster,(Ljava/lang/Long;Ljava/lang/Long;Ljava/lang/String;)Ljava/util/List;,false,true,At DedicatedResourceManagerImpl.java:[line 464],org.apache.cloudstack.dedicated.DedicatedResourceManagerImpl,true,464,464,719,719,DedicatedResourceManagerImpl.java,org/apache/cloudstack/dedicated/DedicatedResourceManagerImpl.java,java/org/apache/cloudstack/dedicated/DedicatedResourceManagerImpl.java,At DedicatedResourceManagerImpl.java:[line 464],org.apache.cloudstack.dedicated.DedicatedResourceManagerImpl,464,464,716,716,DedicatedResourceManagerImpl.java,org/apache/cloudstack/dedicated/DedicatedResourceManagerImpl.java,java/org/apache/cloudstack/dedicated/DedicatedResourceManagerImpl.java,Sink method Logger.error(...),Logger.error(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,6a9fb22439a47404dfcd7f2d68b58b99,1,1,117
Potential CRLF Injection for logs,This use of Logger.error(...) might be used to include CRLF characters into log messages,In DedicatedResourceManagerImpl.java,org.apache.cloudstack.dedicated.DedicatedResourceManagerImpl,DedicatedResourceManagerImpl.java,org/apache/cloudstack/dedicated/DedicatedResourceManagerImpl.java,java/org/apache/cloudstack/dedicated/DedicatedResourceManagerImpl.java,In class org.apache.cloudstack.dedicated.DedicatedResourceManagerImpl,org.apache.cloudstack.dedicated.DedicatedResourceManagerImpl,true,org.apache.cloudstack.dedicated.DedicatedResourceManagerImpl,515,580,0,1322,DedicatedResourceManagerImpl.java,org/apache/cloudstack/dedicated/DedicatedResourceManagerImpl.java,java/org/apache/cloudstack/dedicated/DedicatedResourceManagerImpl.java,"In method org.apache.cloudstack.dedicated.DedicatedResourceManagerImpl.dedicateHost(Long, Long, String)",org.apache.cloudstack.dedicated.DedicatedResourceManagerImpl,dedicateHost,(Ljava/lang/Long;Ljava/lang/Long;Ljava/lang/String;)Ljava/util/List;,false,true,At DedicatedResourceManagerImpl.java:[line 537],org.apache.cloudstack.dedicated.DedicatedResourceManagerImpl,true,537,537,238,238,DedicatedResourceManagerImpl.java,org/apache/cloudstack/dedicated/DedicatedResourceManagerImpl.java,java/org/apache/cloudstack/dedicated/DedicatedResourceManagerImpl.java,At DedicatedResourceManagerImpl.java:[line 537],org.apache.cloudstack.dedicated.DedicatedResourceManagerImpl,537,537,235,235,DedicatedResourceManagerImpl.java,org/apache/cloudstack/dedicated/DedicatedResourceManagerImpl.java,java/org/apache/cloudstack/dedicated/DedicatedResourceManagerImpl.java,Sink method Logger.error(...),Logger.error(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,b9c08ebca9a58811ff39a3ddcd46fa94,0,3,117
Potential CRLF Injection for logs,This use of Logger.error(...) might be used to include CRLF characters into log messages,In DedicatedResourceManagerImpl.java,org.apache.cloudstack.dedicated.DedicatedResourceManagerImpl,DedicatedResourceManagerImpl.java,org/apache/cloudstack/dedicated/DedicatedResourceManagerImpl.java,java/org/apache/cloudstack/dedicated/DedicatedResourceManagerImpl.java,In class org.apache.cloudstack.dedicated.DedicatedResourceManagerImpl,org.apache.cloudstack.dedicated.DedicatedResourceManagerImpl,true,org.apache.cloudstack.dedicated.DedicatedResourceManagerImpl,515,580,0,1322,DedicatedResourceManagerImpl.java,org/apache/cloudstack/dedicated/DedicatedResourceManagerImpl.java,java/org/apache/cloudstack/dedicated/DedicatedResourceManagerImpl.java,"In method org.apache.cloudstack.dedicated.DedicatedResourceManagerImpl.dedicateHost(Long, Long, String)",org.apache.cloudstack.dedicated.DedicatedResourceManagerImpl,dedicateHost,(Ljava/lang/Long;Ljava/lang/Long;Ljava/lang/String;)Ljava/util/List;,false,true,At DedicatedResourceManagerImpl.java:[line 547],org.apache.cloudstack.dedicated.DedicatedResourceManagerImpl,true,547,547,392,392,DedicatedResourceManagerImpl.java,org/apache/cloudstack/dedicated/DedicatedResourceManagerImpl.java,java/org/apache/cloudstack/dedicated/DedicatedResourceManagerImpl.java,At DedicatedResourceManagerImpl.java:[line 547],org.apache.cloudstack.dedicated.DedicatedResourceManagerImpl,547,547,389,389,DedicatedResourceManagerImpl.java,org/apache/cloudstack/dedicated/DedicatedResourceManagerImpl.java,java/org/apache/cloudstack/dedicated/DedicatedResourceManagerImpl.java,Sink method Logger.error(...),Logger.error(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,b9c08ebca9a58811ff39a3ddcd46fa94,1,3,117
Potential CRLF Injection for logs,This use of Logger.error(...) might be used to include CRLF characters into log messages,In DedicatedResourceManagerImpl.java,org.apache.cloudstack.dedicated.DedicatedResourceManagerImpl,DedicatedResourceManagerImpl.java,org/apache/cloudstack/dedicated/DedicatedResourceManagerImpl.java,java/org/apache/cloudstack/dedicated/DedicatedResourceManagerImpl.java,In class org.apache.cloudstack.dedicated.DedicatedResourceManagerImpl,org.apache.cloudstack.dedicated.DedicatedResourceManagerImpl,true,org.apache.cloudstack.dedicated.DedicatedResourceManagerImpl,515,580,0,1322,DedicatedResourceManagerImpl.java,org/apache/cloudstack/dedicated/DedicatedResourceManagerImpl.java,java/org/apache/cloudstack/dedicated/DedicatedResourceManagerImpl.java,"In method org.apache.cloudstack.dedicated.DedicatedResourceManagerImpl.dedicateHost(Long, Long, String)",org.apache.cloudstack.dedicated.DedicatedResourceManagerImpl,dedicateHost,(Ljava/lang/Long;Ljava/lang/Long;Ljava/lang/String;)Ljava/util/List;,false,true,At DedicatedResourceManagerImpl.java:[line 558],org.apache.cloudstack.dedicated.DedicatedResourceManagerImpl,true,558,558,546,546,DedicatedResourceManagerImpl.java,org/apache/cloudstack/dedicated/DedicatedResourceManagerImpl.java,java/org/apache/cloudstack/dedicated/DedicatedResourceManagerImpl.java,At DedicatedResourceManagerImpl.java:[line 558],org.apache.cloudstack.dedicated.DedicatedResourceManagerImpl,558,558,543,543,DedicatedResourceManagerImpl.java,org/apache/cloudstack/dedicated/DedicatedResourceManagerImpl.java,java/org/apache/cloudstack/dedicated/DedicatedResourceManagerImpl.java,Sink method Logger.error(...),Logger.error(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,b9c08ebca9a58811ff39a3ddcd46fa94,2,3,117
Potential CRLF Injection for logs,This use of Logger.error(...) might be used to include CRLF characters into log messages,In DedicatedResourceManagerImpl.java,org.apache.cloudstack.dedicated.DedicatedResourceManagerImpl,DedicatedResourceManagerImpl.java,org/apache/cloudstack/dedicated/DedicatedResourceManagerImpl.java,java/org/apache/cloudstack/dedicated/DedicatedResourceManagerImpl.java,In class org.apache.cloudstack.dedicated.DedicatedResourceManagerImpl,org.apache.cloudstack.dedicated.DedicatedResourceManagerImpl,true,org.apache.cloudstack.dedicated.DedicatedResourceManagerImpl,515,580,0,1322,DedicatedResourceManagerImpl.java,org/apache/cloudstack/dedicated/DedicatedResourceManagerImpl.java,java/org/apache/cloudstack/dedicated/DedicatedResourceManagerImpl.java,"In method org.apache.cloudstack.dedicated.DedicatedResourceManagerImpl.dedicateHost(Long, Long, String)",org.apache.cloudstack.dedicated.DedicatedResourceManagerImpl,dedicateHost,(Ljava/lang/Long;Ljava/lang/Long;Ljava/lang/String;)Ljava/util/List;,false,true,At DedicatedResourceManagerImpl.java:[line 569],org.apache.cloudstack.dedicated.DedicatedResourceManagerImpl,true,569,569,703,703,DedicatedResourceManagerImpl.java,org/apache/cloudstack/dedicated/DedicatedResourceManagerImpl.java,java/org/apache/cloudstack/dedicated/DedicatedResourceManagerImpl.java,At DedicatedResourceManagerImpl.java:[line 569],org.apache.cloudstack.dedicated.DedicatedResourceManagerImpl,569,569,700,700,DedicatedResourceManagerImpl.java,org/apache/cloudstack/dedicated/DedicatedResourceManagerImpl.java,java/org/apache/cloudstack/dedicated/DedicatedResourceManagerImpl.java,Sink method Logger.error(...),Logger.error(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,b9c08ebca9a58811ff39a3ddcd46fa94,3,3,117
Potential CRLF Injection for logs,This use of Logger.error(...) might be used to include CRLF characters into log messages,In DedicatedResourceManagerImpl.java,org.apache.cloudstack.dedicated.DedicatedResourceManagerImpl,DedicatedResourceManagerImpl.java,org/apache/cloudstack/dedicated/DedicatedResourceManagerImpl.java,java/org/apache/cloudstack/dedicated/DedicatedResourceManagerImpl.java,In class org.apache.cloudstack.dedicated.DedicatedResourceManagerImpl,org.apache.cloudstack.dedicated.DedicatedResourceManagerImpl,true,org.apache.cloudstack.dedicated.DedicatedResourceManagerImpl,275,370,0,1860,DedicatedResourceManagerImpl.java,org/apache/cloudstack/dedicated/DedicatedResourceManagerImpl.java,java/org/apache/cloudstack/dedicated/DedicatedResourceManagerImpl.java,"In method org.apache.cloudstack.dedicated.DedicatedResourceManagerImpl.dedicatePod(Long, Long, String)",org.apache.cloudstack.dedicated.DedicatedResourceManagerImpl,dedicatePod,(Ljava/lang/Long;Ljava/lang/Long;Ljava/lang/String;)Ljava/util/List;,false,true,At DedicatedResourceManagerImpl.java:[line 293],org.apache.cloudstack.dedicated.DedicatedResourceManagerImpl,true,293,293,186,186,DedicatedResourceManagerImpl.java,org/apache/cloudstack/dedicated/DedicatedResourceManagerImpl.java,java/org/apache/cloudstack/dedicated/DedicatedResourceManagerImpl.java,At DedicatedResourceManagerImpl.java:[line 293],org.apache.cloudstack.dedicated.DedicatedResourceManagerImpl,293,293,183,183,DedicatedResourceManagerImpl.java,org/apache/cloudstack/dedicated/DedicatedResourceManagerImpl.java,java/org/apache/cloudstack/dedicated/DedicatedResourceManagerImpl.java,Sink method Logger.error(...),Logger.error(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,d8756606785bc2dff83875e4dc86dc84,0,2,117
Potential CRLF Injection for logs,This use of Logger.error(...) might be used to include CRLF characters into log messages,In DedicatedResourceManagerImpl.java,org.apache.cloudstack.dedicated.DedicatedResourceManagerImpl,DedicatedResourceManagerImpl.java,org/apache/cloudstack/dedicated/DedicatedResourceManagerImpl.java,java/org/apache/cloudstack/dedicated/DedicatedResourceManagerImpl.java,In class org.apache.cloudstack.dedicated.DedicatedResourceManagerImpl,org.apache.cloudstack.dedicated.DedicatedResourceManagerImpl,true,org.apache.cloudstack.dedicated.DedicatedResourceManagerImpl,275,370,0,1860,DedicatedResourceManagerImpl.java,org/apache/cloudstack/dedicated/DedicatedResourceManagerImpl.java,java/org/apache/cloudstack/dedicated/DedicatedResourceManagerImpl.java,"In method org.apache.cloudstack.dedicated.DedicatedResourceManagerImpl.dedicatePod(Long, Long, String)",org.apache.cloudstack.dedicated.DedicatedResourceManagerImpl,dedicatePod,(Ljava/lang/Long;Ljava/lang/Long;Ljava/lang/String;)Ljava/util/List;,false,true,At DedicatedResourceManagerImpl.java:[line 324],org.apache.cloudstack.dedicated.DedicatedResourceManagerImpl,true,324,324,584,584,DedicatedResourceManagerImpl.java,org/apache/cloudstack/dedicated/DedicatedResourceManagerImpl.java,java/org/apache/cloudstack/dedicated/DedicatedResourceManagerImpl.java,At DedicatedResourceManagerImpl.java:[line 324],org.apache.cloudstack.dedicated.DedicatedResourceManagerImpl,324,324,581,581,DedicatedResourceManagerImpl.java,org/apache/cloudstack/dedicated/DedicatedResourceManagerImpl.java,java/org/apache/cloudstack/dedicated/DedicatedResourceManagerImpl.java,Sink method Logger.error(...),Logger.error(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,d8756606785bc2dff83875e4dc86dc84,1,2,117
