ShortMessage,LongMessage,Class/SourceLine/0/Message,Class/SourceLine/0/_classname,Class/SourceLine/0/_sourcefile,Class/SourceLine/0/_sourcepath,Class/SourceLine/0/_relSourcepath,Class/Message,Class/_classname,Class/_primary,Method/SourceLine/0/_classname,Method/SourceLine/0/_start,Method/SourceLine/0/_end,Method/SourceLine/0/_startBytecode,Method/SourceLine/0/_endBytecode,Method/SourceLine/0/_sourcefile,Method/SourceLine/0/_sourcepath,Method/SourceLine/0/_relSourcepath,Method/Message,Method/_classname,Method/_name,Method/_signature,Method/_isStatic,Method/_primary,SourceLine/0/Message,SourceLine/0/_classname,SourceLine/0/_primary,SourceLine/0/_start,SourceLine/0/_end,SourceLine/0/_startBytecode,SourceLine/0/_endBytecode,SourceLine/0/_sourcefile,SourceLine/0/_sourcepath,SourceLine/0/_relSourcepath,SourceLine/1/Message,SourceLine/1/_classname,SourceLine/1/_start,SourceLine/1/_end,SourceLine/1/_startBytecode,SourceLine/1/_endBytecode,SourceLine/1/_sourcefile,SourceLine/1/_sourcepath,SourceLine/1/_relSourcepath,String/0/Message,String/0/_value,String/0/_role,_type,_priority,_rank,_abbrev,_category,_instanceHash,_instanceOccurrenceNum,_instanceOccurrenceMax,_cweid,SourceLine/2/Message,SourceLine/2/_classname,SourceLine/2/_start,SourceLine/2/_end,SourceLine/2/_startBytecode,SourceLine/2/_endBytecode,SourceLine/2/_sourcefile,SourceLine/2/_sourcepath,SourceLine/2/_relSourcepath,SourceLine/3/Message,SourceLine/3/_classname,SourceLine/3/_start,SourceLine/3/_end,SourceLine/3/_startBytecode,SourceLine/3/_endBytecode,SourceLine/3/_sourcefile,SourceLine/3/_sourcepath,SourceLine/3/_relSourcepath,String/1/Message,String/1/_value,String/1/_role,SourceLine/4/Message,SourceLine/4/_classname,SourceLine/4/_start,SourceLine/4/_end,SourceLine/4/_startBytecode,SourceLine/4/_endBytecode,SourceLine/4/_sourcefile,SourceLine/4/_sourcepath,SourceLine/4/_relSourcepath,SourceLine/5/Message,SourceLine/5/_classname,SourceLine/5/_start,SourceLine/5/_end,SourceLine/5/_startBytecode,SourceLine/5/_endBytecode,SourceLine/5/_sourcefile,SourceLine/5/_sourcepath,SourceLine/5/_relSourcepath,SourceLine/6/Message,SourceLine/6/_classname,SourceLine/6/_start,SourceLine/6/_end,SourceLine/6/_startBytecode,SourceLine/6/_endBytecode,SourceLine/6/_sourcefile,SourceLine/6/_sourcepath,SourceLine/6/_relSourcepath,SourceLine/7/Message,SourceLine/7/_classname,SourceLine/7/_start,SourceLine/7/_end,SourceLine/7/_startBytecode,SourceLine/7/_endBytecode,SourceLine/7/_sourcefile,SourceLine/7/_sourcepath,SourceLine/7/_relSourcepath,SourceLine/8/Message,SourceLine/8/_classname,SourceLine/8/_start,SourceLine/8/_end,SourceLine/8/_startBytecode,SourceLine/8/_endBytecode,SourceLine/8/_sourcefile,SourceLine/8/_sourcepath,SourceLine/8/_relSourcepath,SourceLine/9/Message,SourceLine/9/_classname,SourceLine/9/_start,SourceLine/9/_end,SourceLine/9/_startBytecode,SourceLine/9/_endBytecode,SourceLine/9/_sourcefile,SourceLine/9/_sourcepath,SourceLine/9/_relSourcepath,SourceLine/10/Message,SourceLine/10/_classname,SourceLine/10/_start,SourceLine/10/_end,SourceLine/10/_startBytecode,SourceLine/10/_endBytecode,SourceLine/10/_sourcefile,SourceLine/10/_sourcepath,SourceLine/10/_relSourcepath,SourceLine/11/Message,SourceLine/11/_classname,SourceLine/11/_start,SourceLine/11/_end,SourceLine/11/_startBytecode,SourceLine/11/_endBytecode,SourceLine/11/_sourcefile,SourceLine/11/_sourcepath,SourceLine/11/_relSourcepath,SourceLine/12/Message,SourceLine/12/_classname,SourceLine/12/_start,SourceLine/12/_end,SourceLine/12/_startBytecode,SourceLine/12/_endBytecode,SourceLine/12/_sourcefile,SourceLine/12/_sourcepath,SourceLine/12/_relSourcepath
Potential CRLF Injection for logs,This use of Logger.debug(...) might be used to include CRLF characters into log messages,In BareMetalDiscoverer.java,com.cloud.baremetal.manager.BareMetalDiscoverer,BareMetalDiscoverer.java,com/cloud/baremetal/manager/BareMetalDiscoverer.java,java/com/cloud/baremetal/manager/BareMetalDiscoverer.java,In class com.cloud.baremetal.manager.BareMetalDiscoverer,com.cloud.baremetal.manager.BareMetalDiscoverer,true,com.cloud.baremetal.manager.BareMetalDiscoverer,90,215,0,2295,BareMetalDiscoverer.java,com/cloud/baremetal/manager/BareMetalDiscoverer.java,java/com/cloud/baremetal/manager/BareMetalDiscoverer.java,"In method com.cloud.baremetal.manager.BareMetalDiscoverer.find(long, Long, Long, URI, String, String, List)",com.cloud.baremetal.manager.BareMetalDiscoverer,find,(JLjava/lang/Long;Ljava/lang/Long;Ljava/net/URI;Ljava/lang/String;Ljava/lang/String;Ljava/util/List;)Ljava/util/Map;,false,true,At BareMetalDiscoverer.java:[line 95],com.cloud.baremetal.manager.BareMetalDiscoverer,true,95,95,58,58,BareMetalDiscoverer.java,com/cloud/baremetal/manager/BareMetalDiscoverer.java,java/com/cloud/baremetal/manager/BareMetalDiscoverer.java,At BareMetalDiscoverer.java:[line 94],com.cloud.baremetal.manager.BareMetalDiscoverer,94,94,48,48,BareMetalDiscoverer.java,com/cloud/baremetal/manager/BareMetalDiscoverer.java,java/com/cloud/baremetal/manager/BareMetalDiscoverer.java,Sink method Logger.debug(...),Logger.debug(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,169eb7725d22acae96ffe86a40240e10,0,0,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.warn(...) might be used to include CRLF characters into log messages,In BareMetalDiscoverer.java,com.cloud.baremetal.manager.BareMetalDiscoverer,BareMetalDiscoverer.java,com/cloud/baremetal/manager/BareMetalDiscoverer.java,java/com/cloud/baremetal/manager/BareMetalDiscoverer.java,In class com.cloud.baremetal.manager.BareMetalDiscoverer,com.cloud.baremetal.manager.BareMetalDiscoverer,true,com.cloud.baremetal.manager.BareMetalDiscoverer,90,215,0,2295,BareMetalDiscoverer.java,com/cloud/baremetal/manager/BareMetalDiscoverer.java,java/com/cloud/baremetal/manager/BareMetalDiscoverer.java,"In method com.cloud.baremetal.manager.BareMetalDiscoverer.find(long, Long, Long, URI, String, String, List)",com.cloud.baremetal.manager.BareMetalDiscoverer,find,(JLjava/lang/Long;Ljava/lang/Long;Ljava/net/URI;Ljava/lang/String;Ljava/lang/String;Ljava/util/List;)Ljava/util/Map;,false,true,At BareMetalDiscoverer.java:[line 142],com.cloud.baremetal.manager.BareMetalDiscoverer,true,142,142,440,440,BareMetalDiscoverer.java,com/cloud/baremetal/manager/BareMetalDiscoverer.java,java/com/cloud/baremetal/manager/BareMetalDiscoverer.java,At BareMetalDiscoverer.java:[line 125],com.cloud.baremetal.manager.BareMetalDiscoverer,125,125,233,233,BareMetalDiscoverer.java,com/cloud/baremetal/manager/BareMetalDiscoverer.java,java/com/cloud/baremetal/manager/BareMetalDiscoverer.java,Sink method Logger.warn(...),Logger.warn(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,bdee325108135ce8fd9a3f572dc38e06,0,0,117,At BareMetalDiscoverer.java:[line 140],com.cloud.baremetal.manager.BareMetalDiscoverer,140,140,398,398,BareMetalDiscoverer.java,com/cloud/baremetal/manager/BareMetalDiscoverer.java,java/com/cloud/baremetal/manager/BareMetalDiscoverer.java,At BareMetalDiscoverer.java:[line 142],com.cloud.baremetal.manager.BareMetalDiscoverer,142,142,437,437,BareMetalDiscoverer.java,com/cloud/baremetal/manager/BareMetalDiscoverer.java,java/com/cloud/baremetal/manager/BareMetalDiscoverer.java,Method usage not detected,not detected,Method usage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.debug(...) might be used to include CRLF characters into log messages,In BareMetalDiscoverer.java,com.cloud.baremetal.manager.BareMetalDiscoverer,BareMetalDiscoverer.java,com/cloud/baremetal/manager/BareMetalDiscoverer.java,java/com/cloud/baremetal/manager/BareMetalDiscoverer.java,In class com.cloud.baremetal.manager.BareMetalDiscoverer,com.cloud.baremetal.manager.BareMetalDiscoverer,true,com.cloud.baremetal.manager.BareMetalDiscoverer,90,215,0,2295,BareMetalDiscoverer.java,com/cloud/baremetal/manager/BareMetalDiscoverer.java,java/com/cloud/baremetal/manager/BareMetalDiscoverer.java,"In method com.cloud.baremetal.manager.BareMetalDiscoverer.find(long, Long, Long, URI, String, String, List)",com.cloud.baremetal.manager.BareMetalDiscoverer,find,(JLjava/lang/Long;Ljava/lang/Long;Ljava/net/URI;Ljava/lang/String;Ljava/lang/String;Ljava/util/List;)Ljava/util/Map;,false,true,At BareMetalDiscoverer.java:[line 208],com.cloud.baremetal.manager.BareMetalDiscoverer,true,208,208,1101,1101,BareMetalDiscoverer.java,com/cloud/baremetal/manager/BareMetalDiscoverer.java,java/com/cloud/baremetal/manager/BareMetalDiscoverer.java,At BareMetalDiscoverer.java:[line 125],com.cloud.baremetal.manager.BareMetalDiscoverer,125,125,233,233,BareMetalDiscoverer.java,com/cloud/baremetal/manager/BareMetalDiscoverer.java,java/com/cloud/baremetal/manager/BareMetalDiscoverer.java,Sink method Logger.debug(...),Logger.debug(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,b18a90439c5508ec7c581ad15d0e7b07,0,0,117,At BareMetalDiscoverer.java:[line 158],com.cloud.baremetal.manager.BareMetalDiscoverer,158,158,581,581,BareMetalDiscoverer.java,com/cloud/baremetal/manager/BareMetalDiscoverer.java,java/com/cloud/baremetal/manager/BareMetalDiscoverer.java,At BareMetalDiscoverer.java:[line 159],com.cloud.baremetal.manager.BareMetalDiscoverer,159,159,593,593,BareMetalDiscoverer.java,com/cloud/baremetal/manager/BareMetalDiscoverer.java,java/com/cloud/baremetal/manager/BareMetalDiscoverer.java,Method usage not detected,not detected,Method usage,At BareMetalDiscoverer.java:[line 179],com.cloud.baremetal.manager.BareMetalDiscoverer,179,179,758,758,BareMetalDiscoverer.java,com/cloud/baremetal/manager/BareMetalDiscoverer.java,java/com/cloud/baremetal/manager/BareMetalDiscoverer.java,At BareMetalDiscoverer.java:[line 180],com.cloud.baremetal.manager.BareMetalDiscoverer,180,180,772,772,BareMetalDiscoverer.java,com/cloud/baremetal/manager/BareMetalDiscoverer.java,java/com/cloud/baremetal/manager/BareMetalDiscoverer.java,At BareMetalDiscoverer.java:[line 181],com.cloud.baremetal.manager.BareMetalDiscoverer,181,181,786,786,BareMetalDiscoverer.java,com/cloud/baremetal/manager/BareMetalDiscoverer.java,java/com/cloud/baremetal/manager/BareMetalDiscoverer.java,At BareMetalDiscoverer.java:[line 186],com.cloud.baremetal.manager.BareMetalDiscoverer,186,186,849,849,BareMetalDiscoverer.java,com/cloud/baremetal/manager/BareMetalDiscoverer.java,java/com/cloud/baremetal/manager/BareMetalDiscoverer.java,At BareMetalDiscoverer.java:[line 187],com.cloud.baremetal.manager.BareMetalDiscoverer,187,187,861,861,BareMetalDiscoverer.java,com/cloud/baremetal/manager/BareMetalDiscoverer.java,java/com/cloud/baremetal/manager/BareMetalDiscoverer.java,At BareMetalDiscoverer.java:[line 188],com.cloud.baremetal.manager.BareMetalDiscoverer,188,188,873,873,BareMetalDiscoverer.java,com/cloud/baremetal/manager/BareMetalDiscoverer.java,java/com/cloud/baremetal/manager/BareMetalDiscoverer.java,At BareMetalDiscoverer.java:[line 190],com.cloud.baremetal.manager.BareMetalDiscoverer,190,190,897,897,BareMetalDiscoverer.java,com/cloud/baremetal/manager/BareMetalDiscoverer.java,java/com/cloud/baremetal/manager/BareMetalDiscoverer.java,At BareMetalDiscoverer.java:[line 192],com.cloud.baremetal.manager.BareMetalDiscoverer,192,192,921,921,BareMetalDiscoverer.java,com/cloud/baremetal/manager/BareMetalDiscoverer.java,java/com/cloud/baremetal/manager/BareMetalDiscoverer.java,At BareMetalDiscoverer.java:[line 208],com.cloud.baremetal.manager.BareMetalDiscoverer,208,208,1098,1098,BareMetalDiscoverer.java,com/cloud/baremetal/manager/BareMetalDiscoverer.java,java/com/cloud/baremetal/manager/BareMetalDiscoverer.java
Potential CRLF Injection for logs,This use of Logger.debug(...) might be used to include CRLF characters into log messages,In BareMetalPlanner.java,com.cloud.baremetal.manager.BareMetalPlanner,BareMetalPlanner.java,com/cloud/baremetal/manager/BareMetalPlanner.java,java/com/cloud/baremetal/manager/BareMetalPlanner.java,In class com.cloud.baremetal.manager.BareMetalPlanner,com.cloud.baremetal.manager.BareMetalPlanner,true,com.cloud.baremetal.manager.BareMetalPlanner,73,149,0,1828,BareMetalPlanner.java,com/cloud/baremetal/manager/BareMetalPlanner.java,java/com/cloud/baremetal/manager/BareMetalPlanner.java,"In method com.cloud.baremetal.manager.BareMetalPlanner.plan(VirtualMachineProfile, DeploymentPlan, DeploymentPlanner$ExcludeList)",com.cloud.baremetal.manager.BareMetalPlanner,plan,(Lcom/cloud/vm/VirtualMachineProfile;Lcom/cloud/deploy/DeploymentPlan;Lcom/cloud/deploy/DeploymentPlanner$ExcludeList;)Lcom/cloud/deploy/DeployDestination;,false,true,At BareMetalPlanner.java:[line 84],com.cloud.baremetal.manager.BareMetalPlanner,true,84,84,170,170,BareMetalPlanner.java,com/cloud/baremetal/manager/BareMetalPlanner.java,java/com/cloud/baremetal/manager/BareMetalPlanner.java,At BareMetalPlanner.java:[line 84],com.cloud.baremetal.manager.BareMetalPlanner,84,84,167,167,BareMetalPlanner.java,com/cloud/baremetal/manager/BareMetalPlanner.java,java/com/cloud/baremetal/manager/BareMetalPlanner.java,Sink method Logger.debug(...),Logger.debug(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,6470bf6befda2466d4e934343c1daf8d,0,1,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.warn(...) might be used to include CRLF characters into log messages,In BareMetalPlanner.java,com.cloud.baremetal.manager.BareMetalPlanner,BareMetalPlanner.java,com/cloud/baremetal/manager/BareMetalPlanner.java,java/com/cloud/baremetal/manager/BareMetalPlanner.java,In class com.cloud.baremetal.manager.BareMetalPlanner,com.cloud.baremetal.manager.BareMetalPlanner,true,com.cloud.baremetal.manager.BareMetalPlanner,73,149,0,1828,BareMetalPlanner.java,com/cloud/baremetal/manager/BareMetalPlanner.java,java/com/cloud/baremetal/manager/BareMetalPlanner.java,"In method com.cloud.baremetal.manager.BareMetalPlanner.plan(VirtualMachineProfile, DeploymentPlan, DeploymentPlanner$ExcludeList)",com.cloud.baremetal.manager.BareMetalPlanner,plan,(Lcom/cloud/vm/VirtualMachineProfile;Lcom/cloud/deploy/DeploymentPlan;Lcom/cloud/deploy/DeploymentPlanner$ExcludeList;)Lcom/cloud/deploy/DeployDestination;,false,true,At BareMetalPlanner.java:[line 116],com.cloud.baremetal.manager.BareMetalPlanner,true,116,116,448,448,BareMetalPlanner.java,com/cloud/baremetal/manager/BareMetalPlanner.java,java/com/cloud/baremetal/manager/BareMetalPlanner.java,At BareMetalPlanner.java:[line 116],com.cloud.baremetal.manager.BareMetalPlanner,116,116,445,445,BareMetalPlanner.java,com/cloud/baremetal/manager/BareMetalPlanner.java,java/com/cloud/baremetal/manager/BareMetalPlanner.java,Sink method Logger.warn(...),Logger.warn(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,d6de6509d0057f70598542a982d7cde1,0,1,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.warn(...) might be used to include CRLF characters into log messages,In BareMetalPlanner.java,com.cloud.baremetal.manager.BareMetalPlanner,BareMetalPlanner.java,com/cloud/baremetal/manager/BareMetalPlanner.java,java/com/cloud/baremetal/manager/BareMetalPlanner.java,In class com.cloud.baremetal.manager.BareMetalPlanner,com.cloud.baremetal.manager.BareMetalPlanner,true,com.cloud.baremetal.manager.BareMetalPlanner,73,149,0,1828,BareMetalPlanner.java,com/cloud/baremetal/manager/BareMetalPlanner.java,java/com/cloud/baremetal/manager/BareMetalPlanner.java,"In method com.cloud.baremetal.manager.BareMetalPlanner.plan(VirtualMachineProfile, DeploymentPlan, DeploymentPlanner$ExcludeList)",com.cloud.baremetal.manager.BareMetalPlanner,plan,(Lcom/cloud/vm/VirtualMachineProfile;Lcom/cloud/deploy/DeploymentPlan;Lcom/cloud/deploy/DeploymentPlanner$ExcludeList;)Lcom/cloud/deploy/DeployDestination;,false,true,At BareMetalPlanner.java:[line 128],com.cloud.baremetal.manager.BareMetalPlanner,true,128,128,663,663,BareMetalPlanner.java,com/cloud/baremetal/manager/BareMetalPlanner.java,java/com/cloud/baremetal/manager/BareMetalPlanner.java,At BareMetalPlanner.java:[line 129],com.cloud.baremetal.manager.BareMetalPlanner,129,129,660,660,BareMetalPlanner.java,com/cloud/baremetal/manager/BareMetalPlanner.java,java/com/cloud/baremetal/manager/BareMetalPlanner.java,Sink method Logger.warn(...),Logger.warn(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,d6de6509d0057f70598542a982d7cde1,1,1,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.debug(...) might be used to include CRLF characters into log messages,In BareMetalPlanner.java,com.cloud.baremetal.manager.BareMetalPlanner,BareMetalPlanner.java,com/cloud/baremetal/manager/BareMetalPlanner.java,java/com/cloud/baremetal/manager/BareMetalPlanner.java,In class com.cloud.baremetal.manager.BareMetalPlanner,com.cloud.baremetal.manager.BareMetalPlanner,true,com.cloud.baremetal.manager.BareMetalPlanner,73,149,0,1828,BareMetalPlanner.java,com/cloud/baremetal/manager/BareMetalPlanner.java,java/com/cloud/baremetal/manager/BareMetalPlanner.java,"In method com.cloud.baremetal.manager.BareMetalPlanner.plan(VirtualMachineProfile, DeploymentPlan, DeploymentPlanner$ExcludeList)",com.cloud.baremetal.manager.BareMetalPlanner,plan,(Lcom/cloud/vm/VirtualMachineProfile;Lcom/cloud/deploy/DeploymentPlan;Lcom/cloud/deploy/DeploymentPlanner$ExcludeList;)Lcom/cloud/deploy/DeployDestination;,false,true,At BareMetalPlanner.java:[line 140],com.cloud.baremetal.manager.BareMetalPlanner,true,140,140,832,832,BareMetalPlanner.java,com/cloud/baremetal/manager/BareMetalPlanner.java,java/com/cloud/baremetal/manager/BareMetalPlanner.java,At BareMetalPlanner.java:[line 140],com.cloud.baremetal.manager.BareMetalPlanner,140,140,829,829,BareMetalPlanner.java,com/cloud/baremetal/manager/BareMetalPlanner.java,java/com/cloud/baremetal/manager/BareMetalPlanner.java,Sink method Logger.debug(...),Logger.debug(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,6470bf6befda2466d4e934343c1daf8d,1,1,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.debug(...) might be used to include CRLF characters into log messages,In BareMetalTemplateAdapter.java,com.cloud.baremetal.manager.BareMetalTemplateAdapter,BareMetalTemplateAdapter.java,com/cloud/baremetal/manager/BareMetalTemplateAdapter.java,java/com/cloud/baremetal/manager/BareMetalTemplateAdapter.java,In class com.cloud.baremetal.manager.BareMetalTemplateAdapter,com.cloud.baremetal.manager.BareMetalTemplateAdapter,true,com.cloud.baremetal.manager.BareMetalTemplateAdapter,129,213,0,1481,BareMetalTemplateAdapter.java,com/cloud/baremetal/manager/BareMetalTemplateAdapter.java,java/com/cloud/baremetal/manager/BareMetalTemplateAdapter.java,In method com.cloud.baremetal.manager.BareMetalTemplateAdapter.delete(TemplateProfile),com.cloud.baremetal.manager.BareMetalTemplateAdapter,delete,(Lcom/cloud/storage/TemplateProfile;)Z,false,true,At BareMetalTemplateAdapter.java:[line 144],com.cloud.baremetal.manager.BareMetalTemplateAdapter,true,144,144,120,120,BareMetalTemplateAdapter.java,com/cloud/baremetal/manager/BareMetalTemplateAdapter.java,java/com/cloud/baremetal/manager/BareMetalTemplateAdapter.java,At BareMetalTemplateAdapter.java:[line 144],com.cloud.baremetal.manager.BareMetalTemplateAdapter,144,144,117,117,BareMetalTemplateAdapter.java,com/cloud/baremetal/manager/BareMetalTemplateAdapter.java,java/com/cloud/baremetal/manager/BareMetalTemplateAdapter.java,Sink method Logger.debug(...),Logger.debug(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,ef5c29c2f5d2f603560bd00a9ae37976,0,4,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.debug(...) might be used to include CRLF characters into log messages,In BareMetalTemplateAdapter.java,com.cloud.baremetal.manager.BareMetalTemplateAdapter,BareMetalTemplateAdapter.java,com/cloud/baremetal/manager/BareMetalTemplateAdapter.java,java/com/cloud/baremetal/manager/BareMetalTemplateAdapter.java,In class com.cloud.baremetal.manager.BareMetalTemplateAdapter,com.cloud.baremetal.manager.BareMetalTemplateAdapter,true,com.cloud.baremetal.manager.BareMetalTemplateAdapter,129,213,0,1481,BareMetalTemplateAdapter.java,com/cloud/baremetal/manager/BareMetalTemplateAdapter.java,java/com/cloud/baremetal/manager/BareMetalTemplateAdapter.java,In method com.cloud.baremetal.manager.BareMetalTemplateAdapter.delete(TemplateProfile),com.cloud.baremetal.manager.BareMetalTemplateAdapter,delete,(Lcom/cloud/storage/TemplateProfile;)Z,false,true,At BareMetalTemplateAdapter.java:[line 154],com.cloud.baremetal.manager.BareMetalTemplateAdapter,true,154,154,250,250,BareMetalTemplateAdapter.java,com/cloud/baremetal/manager/BareMetalTemplateAdapter.java,java/com/cloud/baremetal/manager/BareMetalTemplateAdapter.java,At BareMetalTemplateAdapter.java:[line 154],com.cloud.baremetal.manager.BareMetalTemplateAdapter,154,154,247,247,BareMetalTemplateAdapter.java,com/cloud/baremetal/manager/BareMetalTemplateAdapter.java,java/com/cloud/baremetal/manager/BareMetalTemplateAdapter.java,Sink method Logger.debug(...),Logger.debug(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,ef5c29c2f5d2f603560bd00a9ae37976,1,4,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.debug(...) might be used to include CRLF characters into log messages,In BareMetalTemplateAdapter.java,com.cloud.baremetal.manager.BareMetalTemplateAdapter,BareMetalTemplateAdapter.java,com/cloud/baremetal/manager/BareMetalTemplateAdapter.java,java/com/cloud/baremetal/manager/BareMetalTemplateAdapter.java,In class com.cloud.baremetal.manager.BareMetalTemplateAdapter,com.cloud.baremetal.manager.BareMetalTemplateAdapter,true,com.cloud.baremetal.manager.BareMetalTemplateAdapter,129,213,0,1481,BareMetalTemplateAdapter.java,com/cloud/baremetal/manager/BareMetalTemplateAdapter.java,java/com/cloud/baremetal/manager/BareMetalTemplateAdapter.java,In method com.cloud.baremetal.manager.BareMetalTemplateAdapter.delete(TemplateProfile),com.cloud.baremetal.manager.BareMetalTemplateAdapter,delete,(Lcom/cloud/storage/TemplateProfile;)Z,false,true,At BareMetalTemplateAdapter.java:[line 187],com.cloud.baremetal.manager.BareMetalTemplateAdapter,true,187,187,600,600,BareMetalTemplateAdapter.java,com/cloud/baremetal/manager/BareMetalTemplateAdapter.java,java/com/cloud/baremetal/manager/BareMetalTemplateAdapter.java,At BareMetalTemplateAdapter.java:[line 187],com.cloud.baremetal.manager.BareMetalTemplateAdapter,187,187,597,597,BareMetalTemplateAdapter.java,com/cloud/baremetal/manager/BareMetalTemplateAdapter.java,java/com/cloud/baremetal/manager/BareMetalTemplateAdapter.java,Sink method Logger.debug(...),Logger.debug(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,ef5c29c2f5d2f603560bd00a9ae37976,2,4,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
