ShortMessage,LongMessage,Class/SourceLine/0/Message,Class/SourceLine/0/_classname,Class/SourceLine/0/_sourcefile,Class/SourceLine/0/_sourcepath,Class/SourceLine/0/_relSourcepath,Class/Message,Class/_classname,Class/_primary,Method/SourceLine/0/_classname,Method/SourceLine/0/_start,Method/SourceLine/0/_end,Method/SourceLine/0/_startBytecode,Method/SourceLine/0/_endBytecode,Method/SourceLine/0/_sourcefile,Method/SourceLine/0/_sourcepath,Method/SourceLine/0/_relSourcepath,Method/Message,Method/_classname,Method/_name,Method/_signature,Method/_isStatic,Method/_primary,SourceLine/0/Message,SourceLine/0/_classname,SourceLine/0/_primary,SourceLine/0/_start,SourceLine/0/_end,SourceLine/0/_startBytecode,SourceLine/0/_endBytecode,SourceLine/0/_sourcefile,SourceLine/0/_sourcepath,SourceLine/0/_relSourcepath,SourceLine/1/Message,SourceLine/1/_classname,SourceLine/1/_start,SourceLine/1/_end,SourceLine/1/_startBytecode,SourceLine/1/_endBytecode,SourceLine/1/_sourcefile,SourceLine/1/_sourcepath,SourceLine/1/_relSourcepath,String/0/Message,String/0/_value,String/0/_role,_type,_priority,_rank,_abbrev,_category,_instanceHash,_instanceOccurrenceNum,_instanceOccurrenceMax,_cweid,String/1/Message,String/1/_value,String/1/_role,Method/SourceLine/0/_synthetic,SourceLine/0/_synthetic
Potential CRLF Injection for logs,This use of Logger.trace(...) might be used to include CRLF characters into log messages,In ConsoleProxyClientBase.java,com.cloud.consoleproxy.ConsoleProxyClientBase,ConsoleProxyClientBase.java,com/cloud/consoleproxy/ConsoleProxyClientBase.java,com/cloud/consoleproxy/ConsoleProxyClientBase.java,In class com.cloud.consoleproxy.ConsoleProxyClientBase,com.cloud.consoleproxy.ConsoleProxyClientBase,true,com.cloud.consoleproxy.ConsoleProxyClientBase,246,278,0,843,ConsoleProxyClientBase.java,com/cloud/consoleproxy/ConsoleProxyClientBase.java,com/cloud/consoleproxy/ConsoleProxyClientBase.java,"In method com.cloud.consoleproxy.ConsoleProxyClientBase.onAjaxClientStart(String, List, String)",com.cloud.consoleproxy.ConsoleProxyClientBase,onAjaxClientStart,(Ljava/lang/String;Ljava/util/List;Ljava/lang/String;)Ljava/lang/String;,false,true,At ConsoleProxyClientBase.java:[line 262],com.cloud.consoleproxy.ConsoleProxyClientBase,true,262,262,128,128,ConsoleProxyClientBase.java,com/cloud/consoleproxy/ConsoleProxyClientBase.java,com/cloud/consoleproxy/ConsoleProxyClientBase.java,At ConsoleProxyClientBase.java:[line 262],com.cloud.consoleproxy.ConsoleProxyClientBase,262,262,125,125,ConsoleProxyClientBase.java,com/cloud/consoleproxy/ConsoleProxyClientBase.java,com/cloud/consoleproxy/ConsoleProxyClientBase.java,Sink method Logger.trace(...),Logger.trace(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,dae30fff0e875137cfd33b83df9ffde9,0,0,117,,,,,
Potential CRLF Injection for logs,This use of Logger.trace(...) might be used to include CRLF characters into log messages,In ConsoleProxyClientBase.java,com.cloud.consoleproxy.ConsoleProxyClientBase,ConsoleProxyClientBase.java,com/cloud/consoleproxy/ConsoleProxyClientBase.java,com/cloud/consoleproxy/ConsoleProxyClientBase.java,In class com.cloud.consoleproxy.ConsoleProxyClientBase,com.cloud.consoleproxy.ConsoleProxyClientBase,true,com.cloud.consoleproxy.ConsoleProxyClientBase,159,164,0,199,ConsoleProxyClientBase.java,com/cloud/consoleproxy/ConsoleProxyClientBase.java,com/cloud/consoleproxy/ConsoleProxyClientBase.java,"In method com.cloud.consoleproxy.ConsoleProxyClientBase.onFramebufferUpdate(int, int, int, int)",com.cloud.consoleproxy.ConsoleProxyClientBase,onFramebufferUpdate,(IIII)V,false,true,At ConsoleProxyClientBase.java:[line 160],com.cloud.consoleproxy.ConsoleProxyClientBase,true,160,160,64,64,ConsoleProxyClientBase.java,com/cloud/consoleproxy/ConsoleProxyClientBase.java,com/cloud/consoleproxy/ConsoleProxyClientBase.java,At ConsoleProxyClientBase.java:[line 160],com.cloud.consoleproxy.ConsoleProxyClientBase,160,160,61,61,ConsoleProxyClientBase.java,com/cloud/consoleproxy/ConsoleProxyClientBase.java,com/cloud/consoleproxy/ConsoleProxyClientBase.java,Sink method Logger.trace(...),Logger.trace(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,21334da06af782588aed9ae3c111f329,0,0,117,,,,,
Potential CRLF Injection for logs,This use of Logger.trace(...) might be used to include CRLF characters into log messages,In ConsoleProxyClientBase.java,com.cloud.consoleproxy.ConsoleProxyClientBase,ConsoleProxyClientBase.java,com/cloud/consoleproxy/ConsoleProxyClientBase.java,com/cloud/consoleproxy/ConsoleProxyClientBase.java,In class com.cloud.consoleproxy.ConsoleProxyClientBase,com.cloud.consoleproxy.ConsoleProxyClientBase,true,com.cloud.consoleproxy.ConsoleProxyClientBase,186,204,0,333,ConsoleProxyClientBase.java,com/cloud/consoleproxy/ConsoleProxyClientBase.java,com/cloud/consoleproxy/ConsoleProxyClientBase.java,"In method com.cloud.consoleproxy.ConsoleProxyClientBase.prepareAjaxImage(List, boolean)",com.cloud.consoleproxy.ConsoleProxyClientBase,prepareAjaxImage,(Ljava/util/List;Z)Ljava/lang/String;,false,true,At ConsoleProxyClientBase.java:[line 195],com.cloud.consoleproxy.ConsoleProxyClientBase,true,195,195,79,79,ConsoleProxyClientBase.java,com/cloud/consoleproxy/ConsoleProxyClientBase.java,com/cloud/consoleproxy/ConsoleProxyClientBase.java,At ConsoleProxyClientBase.java:[line 195],com.cloud.consoleproxy.ConsoleProxyClientBase,195,195,76,76,ConsoleProxyClientBase.java,com/cloud/consoleproxy/ConsoleProxyClientBase.java,com/cloud/consoleproxy/ConsoleProxyClientBase.java,Sink method Logger.trace(...),Logger.trace(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,b75871126a2358e0857c6dbd0c893d3b,0,0,117,,,,,
Potential CRLF Injection for logs,This use of Logger.info(...) might be used to include CRLF characters into log messages,In ConsoleProxyGCThread.java,com.cloud.consoleproxy.ConsoleProxyGCThread,ConsoleProxyGCThread.java,com/cloud/consoleproxy/ConsoleProxyGCThread.java,com/cloud/consoleproxy/ConsoleProxyGCThread.java,In class com.cloud.consoleproxy.ConsoleProxyGCThread,com.cloud.consoleproxy.ConsoleProxyGCThread,true,com.cloud.consoleproxy.ConsoleProxyGCThread,44,63,0,348,ConsoleProxyGCThread.java,com/cloud/consoleproxy/ConsoleProxyGCThread.java,com/cloud/consoleproxy/ConsoleProxyGCThread.java,In method com.cloud.consoleproxy.ConsoleProxyGCThread.cleanupLogging(),com.cloud.consoleproxy.ConsoleProxyGCThread,cleanupLogging,()V,false,true,At ConsoleProxyGCThread.java:[line 57],com.cloud.consoleproxy.ConsoleProxyGCThread,true,57,57,126,126,ConsoleProxyGCThread.java,com/cloud/consoleproxy/ConsoleProxyGCThread.java,com/cloud/consoleproxy/ConsoleProxyGCThread.java,At ConsoleProxyGCThread.java:[line 58],com.cloud.consoleproxy.ConsoleProxyGCThread,58,58,123,123,ConsoleProxyGCThread.java,com/cloud/consoleproxy/ConsoleProxyGCThread.java,com/cloud/consoleproxy/ConsoleProxyGCThread.java,Sink method Logger.info(...),Logger.info(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,50706a407aebd2e4468cdf749a570df,0,0,117,,,,,
Potential CRLF Injection for logs,This use of Logger.debug(...) might be used to include CRLF characters into log messages,In ConsoleProxyGCThread.java,com.cloud.consoleproxy.ConsoleProxyGCThread,ConsoleProxyGCThread.java,com/cloud/consoleproxy/ConsoleProxyGCThread.java,com/cloud/consoleproxy/ConsoleProxyGCThread.java,In class com.cloud.consoleproxy.ConsoleProxyGCThread,com.cloud.consoleproxy.ConsoleProxyGCThread,true,com.cloud.consoleproxy.ConsoleProxyGCThread,68,116,0,766,ConsoleProxyGCThread.java,com/cloud/consoleproxy/ConsoleProxyGCThread.java,com/cloud/consoleproxy/ConsoleProxyGCThread.java,In method com.cloud.consoleproxy.ConsoleProxyGCThread.run(),com.cloud.consoleproxy.ConsoleProxyGCThread,run,()V,false,true,At ConsoleProxyGCThread.java:[line 75],com.cloud.consoleproxy.ConsoleProxyGCThread,true,75,75,46,46,ConsoleProxyGCThread.java,com/cloud/consoleproxy/ConsoleProxyGCThread.java,com/cloud/consoleproxy/ConsoleProxyGCThread.java,At ConsoleProxyGCThread.java:[line 75],com.cloud.consoleproxy.ConsoleProxyGCThread,75,75,43,43,ConsoleProxyGCThread.java,com/cloud/consoleproxy/ConsoleProxyGCThread.java,com/cloud/consoleproxy/ConsoleProxyGCThread.java,Sink method Logger.debug(...),Logger.debug(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,46bdc932d675c6152506d91892a5139f,0,1,117,,,,,
Potential CRLF Injection for logs,This use of Logger.info(...) might be used to include CRLF characters into log messages,In ConsoleProxyGCThread.java,com.cloud.consoleproxy.ConsoleProxyGCThread,ConsoleProxyGCThread.java,com/cloud/consoleproxy/ConsoleProxyGCThread.java,com/cloud/consoleproxy/ConsoleProxyGCThread.java,In class com.cloud.consoleproxy.ConsoleProxyGCThread,com.cloud.consoleproxy.ConsoleProxyGCThread,true,com.cloud.consoleproxy.ConsoleProxyGCThread,68,116,0,766,ConsoleProxyGCThread.java,com/cloud/consoleproxy/ConsoleProxyGCThread.java,com/cloud/consoleproxy/ConsoleProxyGCThread.java,In method com.cloud.consoleproxy.ConsoleProxyGCThread.run(),com.cloud.consoleproxy.ConsoleProxyGCThread,run,()V,false,true,At ConsoleProxyGCThread.java:[line 97],com.cloud.consoleproxy.ConsoleProxyGCThread,true,97,97,217,217,ConsoleProxyGCThread.java,com/cloud/consoleproxy/ConsoleProxyGCThread.java,com/cloud/consoleproxy/ConsoleProxyGCThread.java,At ConsoleProxyGCThread.java:[line 97],com.cloud.consoleproxy.ConsoleProxyGCThread,97,97,214,214,ConsoleProxyGCThread.java,com/cloud/consoleproxy/ConsoleProxyGCThread.java,com/cloud/consoleproxy/ConsoleProxyGCThread.java,Sink method Logger.info(...),Logger.info(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,e3edb7e5356890c331725d49175a6406,0,0,117,,,,,
Potential CRLF Injection for logs,This use of Logger.debug(...) might be used to include CRLF characters into log messages,In ConsoleProxyGCThread.java,com.cloud.consoleproxy.ConsoleProxyGCThread,ConsoleProxyGCThread.java,com/cloud/consoleproxy/ConsoleProxyGCThread.java,com/cloud/consoleproxy/ConsoleProxyGCThread.java,In class com.cloud.consoleproxy.ConsoleProxyGCThread,com.cloud.consoleproxy.ConsoleProxyGCThread,true,com.cloud.consoleproxy.ConsoleProxyGCThread,68,116,0,766,ConsoleProxyGCThread.java,com/cloud/consoleproxy/ConsoleProxyGCThread.java,com/cloud/consoleproxy/ConsoleProxyGCThread.java,In method com.cloud.consoleproxy.ConsoleProxyGCThread.run(),com.cloud.consoleproxy.ConsoleProxyGCThread,run,()V,false,true,At ConsoleProxyGCThread.java:[line 108],com.cloud.consoleproxy.ConsoleProxyGCThread,true,108,108,303,303,ConsoleProxyGCThread.java,com/cloud/consoleproxy/ConsoleProxyGCThread.java,com/cloud/consoleproxy/ConsoleProxyGCThread.java,At ConsoleProxyGCThread.java:[line 108],com.cloud.consoleproxy.ConsoleProxyGCThread,108,108,300,300,ConsoleProxyGCThread.java,com/cloud/consoleproxy/ConsoleProxyGCThread.java,com/cloud/consoleproxy/ConsoleProxyGCThread.java,Sink method Logger.debug(...),Logger.debug(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,46bdc932d675c6152506d91892a5139f,1,1,117,,,,,
Potential CRLF Injection for logs,This use of Logger.debug(...) might be used to include CRLF characters into log messages,In ConsoleProxyLoggerFactory.java,com.cloud.consoleproxy.ConsoleProxyLoggerFactory$Log4jLogger,ConsoleProxyLoggerFactory.java,com/cloud/consoleproxy/ConsoleProxyLoggerFactory.java,com/cloud/consoleproxy/ConsoleProxyLoggerFactory.java,In class com.cloud.consoleproxy.ConsoleProxyLoggerFactory$Log4jLogger,com.cloud.consoleproxy.ConsoleProxyLoggerFactory$Log4jLogger,true,com.cloud.consoleproxy.ConsoleProxyLoggerFactory$Log4jLogger,75,76,0,64,ConsoleProxyLoggerFactory.java,com/cloud/consoleproxy/ConsoleProxyLoggerFactory.java,com/cloud/consoleproxy/ConsoleProxyLoggerFactory.java,In method com.cloud.consoleproxy.ConsoleProxyLoggerFactory$Log4jLogger.debug(Object),com.cloud.consoleproxy.ConsoleProxyLoggerFactory$Log4jLogger,debug,(Ljava/lang/Object;)V,false,true,At ConsoleProxyLoggerFactory.java:[line 75],com.cloud.consoleproxy.ConsoleProxyLoggerFactory$Log4jLogger,true,75,75,5,5,ConsoleProxyLoggerFactory.java,com/cloud/consoleproxy/ConsoleProxyLoggerFactory.java,com/cloud/consoleproxy/ConsoleProxyLoggerFactory.java,,,,,,,,,,Sink method Logger.debug(...),Logger.debug(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,7d89f75b9abb8f1e09136215bc2efd69,0,0,117,Method usage not detected,not detected,Method usage,,
Potential CRLF Injection for logs,This use of Logger.debug(...) might be used to include CRLF characters into log messages,In ConsoleProxyLoggerFactory.java,com.cloud.consoleproxy.ConsoleProxyLoggerFactory$Log4jLogger,ConsoleProxyLoggerFactory.java,com/cloud/consoleproxy/ConsoleProxyLoggerFactory.java,com/cloud/consoleproxy/ConsoleProxyLoggerFactory.java,In class com.cloud.consoleproxy.ConsoleProxyLoggerFactory$Log4jLogger,com.cloud.consoleproxy.ConsoleProxyLoggerFactory$Log4jLogger,true,com.cloud.consoleproxy.ConsoleProxyLoggerFactory$Log4jLogger,80,81,0,75,ConsoleProxyLoggerFactory.java,com/cloud/consoleproxy/ConsoleProxyLoggerFactory.java,com/cloud/consoleproxy/ConsoleProxyLoggerFactory.java,"In method com.cloud.consoleproxy.ConsoleProxyLoggerFactory$Log4jLogger.debug(Object, Throwable)",com.cloud.consoleproxy.ConsoleProxyLoggerFactory$Log4jLogger,debug,(Ljava/lang/Object;Ljava/lang/Throwable;)V,false,true,At ConsoleProxyLoggerFactory.java:[line 80],com.cloud.consoleproxy.ConsoleProxyLoggerFactory$Log4jLogger,true,80,80,6,6,ConsoleProxyLoggerFactory.java,com/cloud/consoleproxy/ConsoleProxyLoggerFactory.java,com/cloud/consoleproxy/ConsoleProxyLoggerFactory.java,,,,,,,,,,Sink method Logger.debug(...),Logger.debug(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,cdc05c6f014e4ddad5fb55a7768733d7,0,0,117,Method usage not detected,not detected,Method usage,,
Potential CRLF Injection for logs,This use of Logger.error(...) might be used to include CRLF characters into log messages,In ConsoleProxyLoggerFactory.java,com.cloud.consoleproxy.ConsoleProxyLoggerFactory$Log4jLogger,ConsoleProxyLoggerFactory.java,com/cloud/consoleproxy/ConsoleProxyLoggerFactory.java,com/cloud/consoleproxy/ConsoleProxyLoggerFactory.java,In class com.cloud.consoleproxy.ConsoleProxyLoggerFactory$Log4jLogger,com.cloud.consoleproxy.ConsoleProxyLoggerFactory$Log4jLogger,true,com.cloud.consoleproxy.ConsoleProxyLoggerFactory$Log4jLogger,95,96,0,64,ConsoleProxyLoggerFactory.java,com/cloud/consoleproxy/ConsoleProxyLoggerFactory.java,com/cloud/consoleproxy/ConsoleProxyLoggerFactory.java,In method com.cloud.consoleproxy.ConsoleProxyLoggerFactory$Log4jLogger.error(Object),com.cloud.consoleproxy.ConsoleProxyLoggerFactory$Log4jLogger,error,(Ljava/lang/Object;)V,false,true,At ConsoleProxyLoggerFactory.java:[line 95],com.cloud.consoleproxy.ConsoleProxyLoggerFactory$Log4jLogger,true,95,95,5,5,ConsoleProxyLoggerFactory.java,com/cloud/consoleproxy/ConsoleProxyLoggerFactory.java,com/cloud/consoleproxy/ConsoleProxyLoggerFactory.java,,,,,,,,,,Sink method Logger.error(...),Logger.error(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,c13d2beb2aac7a92cf77b075373ed351,0,0,117,Method usage not detected,not detected,Method usage,,
