ShortMessage,LongMessage,Class/SourceLine/0/Message,Class/SourceLine/0/_classname,Class/SourceLine/0/_sourcefile,Class/SourceLine/0/_sourcepath,Class/SourceLine/0/_relSourcepath,Class/Message,Class/_classname,Class/_primary,Method/SourceLine/0/_classname,Method/SourceLine/0/_start,Method/SourceLine/0/_end,Method/SourceLine/0/_startBytecode,Method/SourceLine/0/_endBytecode,Method/SourceLine/0/_sourcefile,Method/SourceLine/0/_sourcepath,Method/SourceLine/0/_relSourcepath,Method/Message,Method/_classname,Method/_name,Method/_signature,Method/_isStatic,Method/_primary,SourceLine/0/Message,SourceLine/0/_classname,SourceLine/0/_primary,SourceLine/0/_start,SourceLine/0/_end,SourceLine/0/_startBytecode,SourceLine/0/_endBytecode,SourceLine/0/_sourcefile,SourceLine/0/_sourcepath,SourceLine/0/_relSourcepath,SourceLine/1/Message,SourceLine/1/_classname,SourceLine/1/_start,SourceLine/1/_end,SourceLine/1/_startBytecode,SourceLine/1/_endBytecode,SourceLine/1/_sourcefile,SourceLine/1/_sourcepath,SourceLine/1/_relSourcepath,String/0/Message,String/0/_value,String/0/_role,_type,_priority,_rank,_abbrev,_category,_instanceHash,_instanceOccurrenceNum,_instanceOccurrenceMax,_cweid,SourceLine/2/Message,SourceLine/2/_classname,SourceLine/2/_start,SourceLine/2/_end,SourceLine/2/_startBytecode,SourceLine/2/_endBytecode,SourceLine/2/_sourcefile,SourceLine/2/_sourcepath,SourceLine/2/_relSourcepath,SourceLine/3/Message,SourceLine/3/_classname,SourceLine/3/_start,SourceLine/3/_end,SourceLine/3/_startBytecode,SourceLine/3/_endBytecode,SourceLine/3/_sourcefile,SourceLine/3/_sourcepath,SourceLine/3/_relSourcepath,SourceLine/4/Message,SourceLine/4/_classname,SourceLine/4/_start,SourceLine/4/_end,SourceLine/4/_startBytecode,SourceLine/4/_endBytecode,SourceLine/4/_sourcefile,SourceLine/4/_sourcepath,SourceLine/4/_relSourcepath,SourceLine/5/Message,SourceLine/5/_classname,SourceLine/5/_start,SourceLine/5/_end,SourceLine/5/_startBytecode,SourceLine/5/_endBytecode,SourceLine/5/_sourcefile,SourceLine/5/_sourcepath,SourceLine/5/_relSourcepath,SourceLine/6/Message,SourceLine/6/_classname,SourceLine/6/_start,SourceLine/6/_end,SourceLine/6/_startBytecode,SourceLine/6/_endBytecode,SourceLine/6/_sourcefile,SourceLine/6/_sourcepath,SourceLine/6/_relSourcepath,SourceLine/7/Message,SourceLine/7/_classname,SourceLine/7/_start,SourceLine/7/_end,SourceLine/7/_startBytecode,SourceLine/7/_endBytecode,SourceLine/7/_sourcefile,SourceLine/7/_sourcepath,SourceLine/7/_relSourcepath,String/1/Message,String/1/_value,String/1/_role
Potential CRLF Injection for logs,This use of Logger.warn(...) might be used to include CRLF characters into log messages,In KVMInvestigator.java,com.cloud.ha.KVMInvestigator,KVMInvestigator.java,com/cloud/ha/KVMInvestigator.java,java/com/cloud/ha/KVMInvestigator.java,In class com.cloud.ha.KVMInvestigator,com.cloud.ha.KVMInvestigator,true,com.cloud.ha.KVMInvestigator,72,137,0,1157,KVMInvestigator.java,com/cloud/ha/KVMInvestigator.java,java/com/cloud/ha/KVMInvestigator.java,In method com.cloud.ha.KVMInvestigator.isAgentAlive(Host),com.cloud.ha.KVMInvestigator,isAgentAlive,(Lcom/cloud/host/Host;)Lcom/cloud/host/Status;,false,true,At KVMInvestigator.java:[line 89],com.cloud.ha.KVMInvestigator,true,89,89,151,151,KVMInvestigator.java,com/cloud/ha/KVMInvestigator.java,java/com/cloud/ha/KVMInvestigator.java,At KVMInvestigator.java:[line 89],com.cloud.ha.KVMInvestigator,89,89,148,148,KVMInvestigator.java,com/cloud/ha/KVMInvestigator.java,java/com/cloud/ha/KVMInvestigator.java,Sink method Logger.warn(...),Logger.warn(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,bbf2c2b91334f1a87f26daba267251c4,0,0,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.debug(...) might be used to include CRLF characters into log messages,In KVMInvestigator.java,com.cloud.ha.KVMInvestigator,KVMInvestigator.java,com/cloud/ha/KVMInvestigator.java,java/com/cloud/ha/KVMInvestigator.java,In class com.cloud.ha.KVMInvestigator,com.cloud.ha.KVMInvestigator,true,com.cloud.ha.KVMInvestigator,72,137,0,1157,KVMInvestigator.java,com/cloud/ha/KVMInvestigator.java,java/com/cloud/ha/KVMInvestigator.java,In method com.cloud.ha.KVMInvestigator.isAgentAlive(Host),com.cloud.ha.KVMInvestigator,isAgentAlive,(Lcom/cloud/host/Host;)Lcom/cloud/host/Status;,false,true,At KVMInvestigator.java:[line 104],com.cloud.ha.KVMInvestigator,true,104,104,252,252,KVMInvestigator.java,com/cloud/ha/KVMInvestigator.java,java/com/cloud/ha/KVMInvestigator.java,At KVMInvestigator.java:[line 104],com.cloud.ha.KVMInvestigator,104,104,249,249,KVMInvestigator.java,com/cloud/ha/KVMInvestigator.java,java/com/cloud/ha/KVMInvestigator.java,Sink method Logger.debug(...),Logger.debug(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,28711e3bbeaf1af81970339eef2671cf,0,4,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.debug(...) might be used to include CRLF characters into log messages,In KVMInvestigator.java,com.cloud.ha.KVMInvestigator,KVMInvestigator.java,com/cloud/ha/KVMInvestigator.java,java/com/cloud/ha/KVMInvestigator.java,In class com.cloud.ha.KVMInvestigator,com.cloud.ha.KVMInvestigator,true,com.cloud.ha.KVMInvestigator,72,137,0,1157,KVMInvestigator.java,com/cloud/ha/KVMInvestigator.java,java/com/cloud/ha/KVMInvestigator.java,In method com.cloud.ha.KVMInvestigator.isAgentAlive(Host),com.cloud.ha.KVMInvestigator,isAgentAlive,(Lcom/cloud/host/Host;)Lcom/cloud/host/Status;,false,true,At KVMInvestigator.java:[line 116],com.cloud.ha.KVMInvestigator,true,116,116,399,399,KVMInvestigator.java,com/cloud/ha/KVMInvestigator.java,java/com/cloud/ha/KVMInvestigator.java,At KVMInvestigator.java:[line 116],com.cloud.ha.KVMInvestigator,116,116,396,396,KVMInvestigator.java,com/cloud/ha/KVMInvestigator.java,java/com/cloud/ha/KVMInvestigator.java,Sink method Logger.debug(...),Logger.debug(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,28711e3bbeaf1af81970339eef2671cf,1,4,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.debug(...) might be used to include CRLF characters into log messages,In KVMInvestigator.java,com.cloud.ha.KVMInvestigator,KVMInvestigator.java,com/cloud/ha/KVMInvestigator.java,java/com/cloud/ha/KVMInvestigator.java,In class com.cloud.ha.KVMInvestigator,com.cloud.ha.KVMInvestigator,true,com.cloud.ha.KVMInvestigator,72,137,0,1157,KVMInvestigator.java,com/cloud/ha/KVMInvestigator.java,java/com/cloud/ha/KVMInvestigator.java,In method com.cloud.ha.KVMInvestigator.isAgentAlive(Host),com.cloud.ha.KVMInvestigator,isAgentAlive,(Lcom/cloud/host/Host;)Lcom/cloud/host/Status;,false,true,At KVMInvestigator.java:[line 121],com.cloud.ha.KVMInvestigator,true,121,121,497,497,KVMInvestigator.java,com/cloud/ha/KVMInvestigator.java,java/com/cloud/ha/KVMInvestigator.java,At KVMInvestigator.java:[line 121],com.cloud.ha.KVMInvestigator,121,121,494,494,KVMInvestigator.java,com/cloud/ha/KVMInvestigator.java,java/com/cloud/ha/KVMInvestigator.java,Sink method Logger.debug(...),Logger.debug(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,28711e3bbeaf1af81970339eef2671cf,2,4,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.debug(...) might be used to include CRLF characters into log messages,In KVMInvestigator.java,com.cloud.ha.KVMInvestigator,KVMInvestigator.java,com/cloud/ha/KVMInvestigator.java,java/com/cloud/ha/KVMInvestigator.java,In class com.cloud.ha.KVMInvestigator,com.cloud.ha.KVMInvestigator,true,com.cloud.ha.KVMInvestigator,72,137,0,1157,KVMInvestigator.java,com/cloud/ha/KVMInvestigator.java,java/com/cloud/ha/KVMInvestigator.java,In method com.cloud.ha.KVMInvestigator.isAgentAlive(Host),com.cloud.ha.KVMInvestigator,isAgentAlive,(Lcom/cloud/host/Host;)Lcom/cloud/host/Status;,false,true,At KVMInvestigator.java:[line 127],com.cloud.ha.KVMInvestigator,true,127,127,542,542,KVMInvestigator.java,com/cloud/ha/KVMInvestigator.java,java/com/cloud/ha/KVMInvestigator.java,At KVMInvestigator.java:[line 127],com.cloud.ha.KVMInvestigator,127,127,539,539,KVMInvestigator.java,com/cloud/ha/KVMInvestigator.java,java/com/cloud/ha/KVMInvestigator.java,Sink method Logger.debug(...),Logger.debug(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,28711e3bbeaf1af81970339eef2671cf,3,4,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.debug(...) might be used to include CRLF characters into log messages,In KVMInvestigator.java,com.cloud.ha.KVMInvestigator,KVMInvestigator.java,com/cloud/ha/KVMInvestigator.java,java/com/cloud/ha/KVMInvestigator.java,In class com.cloud.ha.KVMInvestigator,com.cloud.ha.KVMInvestigator,true,com.cloud.ha.KVMInvestigator,72,137,0,1157,KVMInvestigator.java,com/cloud/ha/KVMInvestigator.java,java/com/cloud/ha/KVMInvestigator.java,In method com.cloud.ha.KVMInvestigator.isAgentAlive(Host),com.cloud.ha.KVMInvestigator,isAgentAlive,(Lcom/cloud/host/Host;)Lcom/cloud/host/Status;,false,true,At KVMInvestigator.java:[line 136],com.cloud.ha.KVMInvestigator,true,136,136,643,643,KVMInvestigator.java,com/cloud/ha/KVMInvestigator.java,java/com/cloud/ha/KVMInvestigator.java,At KVMInvestigator.java:[line 136],com.cloud.ha.KVMInvestigator,136,136,640,640,KVMInvestigator.java,com/cloud/ha/KVMInvestigator.java,java/com/cloud/ha/KVMInvestigator.java,Sink method Logger.debug(...),Logger.debug(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,28711e3bbeaf1af81970339eef2671cf,4,4,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.debug(...) might be used to include CRLF characters into log messages,In KVMInvestigator.java,com.cloud.ha.KVMInvestigator,KVMInvestigator.java,com/cloud/ha/KVMInvestigator.java,java/com/cloud/ha/KVMInvestigator.java,In class com.cloud.ha.KVMInvestigator,com.cloud.ha.KVMInvestigator,true,com.cloud.ha.KVMInvestigator,55,66,0,220,KVMInvestigator.java,com/cloud/ha/KVMInvestigator.java,java/com/cloud/ha/KVMInvestigator.java,"In method com.cloud.ha.KVMInvestigator.isVmAlive(VirtualMachine, Host)",com.cloud.ha.KVMInvestigator,isVmAlive,(Lcom/cloud/vm/VirtualMachine;Lcom/cloud/host/Host;)Z,false,true,At KVMInvestigator.java:[line 59],com.cloud.ha.KVMInvestigator,true,59,59,69,69,KVMInvestigator.java,com/cloud/ha/KVMInvestigator.java,java/com/cloud/ha/KVMInvestigator.java,At KVMInvestigator.java:[line 59],com.cloud.ha.KVMInvestigator,59,59,66,66,KVMInvestigator.java,com/cloud/ha/KVMInvestigator.java,java/com/cloud/ha/KVMInvestigator.java,Sink method Logger.debug(...),Logger.debug(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,cbf956eef0fe3f440637680763aea26,0,0,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.debug(...) might be used to include CRLF characters into log messages,In DpdkDriverImpl.java,com.cloud.hypervisor.kvm.dpdk.DpdkDriverImpl,DpdkDriverImpl.java,com/cloud/hypervisor/kvm/dpdk/DpdkDriverImpl.java,java/com/cloud/hypervisor/kvm/dpdk/DpdkDriverImpl.java,In class com.cloud.hypervisor.kvm.dpdk.DpdkDriverImpl,com.cloud.hypervisor.kvm.dpdk.DpdkDriverImpl,true,com.cloud.hypervisor.kvm.dpdk.DpdkDriverImpl,68,85,0,309,DpdkDriverImpl.java,com/cloud/hypervisor/kvm/dpdk/DpdkDriverImpl.java,java/com/cloud/hypervisor/kvm/dpdk/DpdkDriverImpl.java,"In method com.cloud.hypervisor.kvm.dpdk.DpdkDriverImpl.addDpdkPort(String, String, String, DpdkHelper$VHostUserMode, String)",com.cloud.hypervisor.kvm.dpdk.DpdkDriverImpl,addDpdkPort,(Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;Lcom/cloud/hypervisor/kvm/dpdk/DpdkHelper$VHostUserMode;Ljava/lang/String;)V,false,true,At DpdkDriverImpl.java:[line 83],com.cloud.hypervisor.kvm.dpdk.DpdkDriverImpl,true,83,83,124,124,DpdkDriverImpl.java,com/cloud/hypervisor/kvm/dpdk/DpdkDriverImpl.java,java/com/cloud/hypervisor/kvm/dpdk/DpdkDriverImpl.java,At DpdkDriverImpl.java:[line 83],com.cloud.hypervisor.kvm.dpdk.DpdkDriverImpl,83,83,121,121,DpdkDriverImpl.java,com/cloud/hypervisor/kvm/dpdk/DpdkDriverImpl.java,java/com/cloud/hypervisor/kvm/dpdk/DpdkDriverImpl.java,Sink method Logger.debug(...),Logger.debug(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,4810e7b33bf6e8cec5906b4ec833c7fd,0,0,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.debug(...) might be used to include CRLF characters into log messages,In BridgeVifDriver.java,com.cloud.hypervisor.kvm.resource.BridgeVifDriver,BridgeVifDriver.java,com/cloud/hypervisor/kvm/resource/BridgeVifDriver.java,java/com/cloud/hypervisor/kvm/resource/BridgeVifDriver.java,In class com.cloud.hypervisor.kvm.resource.BridgeVifDriver,com.cloud.hypervisor.kvm.resource.BridgeVifDriver,true,com.cloud.hypervisor.kvm.resource.BridgeVifDriver,331,385,0,848,BridgeVifDriver.java,com/cloud/hypervisor/kvm/resource/BridgeVifDriver.java,java/com/cloud/hypervisor/kvm/resource/BridgeVifDriver.java,In method com.cloud.hypervisor.kvm.resource.BridgeVifDriver.deleteVnetBr(String),com.cloud.hypervisor.kvm.resource.BridgeVifDriver,deleteVnetBr,(Ljava/lang/String;)V,false,true,At BridgeVifDriver.java:[line 363],com.cloud.hypervisor.kvm.resource.BridgeVifDriver,true,363,363,227,227,BridgeVifDriver.java,com/cloud/hypervisor/kvm/resource/BridgeVifDriver.java,java/com/cloud/hypervisor/kvm/resource/BridgeVifDriver.java,At BridgeVifDriver.java:[line 363],com.cloud.hypervisor.kvm.resource.BridgeVifDriver,363,363,224,224,BridgeVifDriver.java,com/cloud/hypervisor/kvm/resource/BridgeVifDriver.java,java/com/cloud/hypervisor/kvm/resource/BridgeVifDriver.java,Sink method Logger.debug(...),Logger.debug(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,3e55ddc55b15db818d3a4b9f3a9b45d6,0,1,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.debug(...) might be used to include CRLF characters into log messages,In BridgeVifDriver.java,com.cloud.hypervisor.kvm.resource.BridgeVifDriver,BridgeVifDriver.java,com/cloud/hypervisor/kvm/resource/BridgeVifDriver.java,java/com/cloud/hypervisor/kvm/resource/BridgeVifDriver.java,In class com.cloud.hypervisor.kvm.resource.BridgeVifDriver,com.cloud.hypervisor.kvm.resource.BridgeVifDriver,true,com.cloud.hypervisor.kvm.resource.BridgeVifDriver,331,385,0,848,BridgeVifDriver.java,com/cloud/hypervisor/kvm/resource/BridgeVifDriver.java,java/com/cloud/hypervisor/kvm/resource/BridgeVifDriver.java,In method com.cloud.hypervisor.kvm.resource.BridgeVifDriver.deleteVnetBr(String),com.cloud.hypervisor.kvm.resource.BridgeVifDriver,deleteVnetBr,(Ljava/lang/String;)V,false,true,At BridgeVifDriver.java:[line 382],com.cloud.hypervisor.kvm.resource.BridgeVifDriver,true,382,382,402,402,BridgeVifDriver.java,com/cloud/hypervisor/kvm/resource/BridgeVifDriver.java,java/com/cloud/hypervisor/kvm/resource/BridgeVifDriver.java,At BridgeVifDriver.java:[line 382],com.cloud.hypervisor.kvm.resource.BridgeVifDriver,382,382,399,399,BridgeVifDriver.java,com/cloud/hypervisor/kvm/resource/BridgeVifDriver.java,java/com/cloud/hypervisor/kvm/resource/BridgeVifDriver.java,Sink method Logger.debug(...),Logger.debug(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,3e55ddc55b15db818d3a4b9f3a9b45d6,1,1,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
