ShortMessage,LongMessage,Class/SourceLine/0/Message,Class/SourceLine/0/_classname,Class/SourceLine/0/_sourcefile,Class/SourceLine/0/_sourcepath,Class/SourceLine/0/_relSourcepath,Class/Message,Class/_classname,Class/_primary,Method/SourceLine/0/_classname,Method/SourceLine/0/_start,Method/SourceLine/0/_end,Method/SourceLine/0/_startBytecode,Method/SourceLine/0/_endBytecode,Method/SourceLine/0/_sourcefile,Method/SourceLine/0/_sourcepath,Method/SourceLine/0/_relSourcepath,Method/Message,Method/_classname,Method/_name,Method/_signature,Method/_isStatic,Method/_primary,SourceLine/0/Message,SourceLine/0/_classname,SourceLine/0/_primary,SourceLine/0/_start,SourceLine/0/_end,SourceLine/0/_startBytecode,SourceLine/0/_endBytecode,SourceLine/0/_sourcefile,SourceLine/0/_sourcepath,SourceLine/0/_relSourcepath,SourceLine/1/Message,SourceLine/1/_classname,SourceLine/1/_start,SourceLine/1/_end,SourceLine/1/_startBytecode,SourceLine/1/_endBytecode,SourceLine/1/_sourcefile,SourceLine/1/_sourcepath,SourceLine/1/_relSourcepath,String/Message,String/_value,String/_role,_type,_priority,_rank,_abbrev,_category,_instanceHash,_instanceOccurrenceNum,_instanceOccurrenceMax,_cweid,SourceLine/2/Message,SourceLine/2/_classname,SourceLine/2/_start,SourceLine/2/_end,SourceLine/2/_startBytecode,SourceLine/2/_endBytecode,SourceLine/2/_sourcefile,SourceLine/2/_sourcepath,SourceLine/2/_relSourcepath,SourceLine/3/Message,SourceLine/3/_classname,SourceLine/3/_start,SourceLine/3/_end,SourceLine/3/_startBytecode,SourceLine/3/_endBytecode,SourceLine/3/_sourcefile,SourceLine/3/_sourcepath,SourceLine/3/_relSourcepath
Potential CRLF Injection for logs,This use of Logger.debug(...) might be used to include CRLF characters into log messages,In OvmDiscoverer.java,com.cloud.ovm.hypervisor.OvmDiscoverer,OvmDiscoverer.java,com/cloud/ovm/hypervisor/OvmDiscoverer.java,java/com/cloud/ovm/hypervisor/OvmDiscoverer.java,In class com.cloud.ovm.hypervisor.OvmDiscoverer,com.cloud.ovm.hypervisor.OvmDiscoverer,true,com.cloud.ovm.hypervisor.OvmDiscoverer,96,209,0,1838,OvmDiscoverer.java,com/cloud/ovm/hypervisor/OvmDiscoverer.java,java/com/cloud/ovm/hypervisor/OvmDiscoverer.java,"In method com.cloud.ovm.hypervisor.OvmDiscoverer.find(long, Long, Long, URI, String, String, List)",com.cloud.ovm.hypervisor.OvmDiscoverer,find,(JLjava/lang/Long;Ljava/lang/Long;Ljava/net/URI;Ljava/lang/String;Ljava/lang/String;Ljava/util/List;)Ljava/util/Map;,false,true,At OvmDiscoverer.java:[line 100],com.cloud.ovm.hypervisor.OvmDiscoverer,true,100,100,43,43,OvmDiscoverer.java,com/cloud/ovm/hypervisor/OvmDiscoverer.java,java/com/cloud/ovm/hypervisor/OvmDiscoverer.java,At OvmDiscoverer.java:[line 99],com.cloud.ovm.hypervisor.OvmDiscoverer,99,99,33,33,OvmDiscoverer.java,com/cloud/ovm/hypervisor/OvmDiscoverer.java,java/com/cloud/ovm/hypervisor/OvmDiscoverer.java,Sink method Logger.debug(...),Logger.debug(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,97eec5d94cd3f8963a0491f6e451d41d,0,5,117,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.debug(...) might be used to include CRLF characters into log messages,In OvmDiscoverer.java,com.cloud.ovm.hypervisor.OvmDiscoverer,OvmDiscoverer.java,com/cloud/ovm/hypervisor/OvmDiscoverer.java,java/com/cloud/ovm/hypervisor/OvmDiscoverer.java,In class com.cloud.ovm.hypervisor.OvmDiscoverer,com.cloud.ovm.hypervisor.OvmDiscoverer,true,com.cloud.ovm.hypervisor.OvmDiscoverer,96,209,0,1838,OvmDiscoverer.java,com/cloud/ovm/hypervisor/OvmDiscoverer.java,java/com/cloud/ovm/hypervisor/OvmDiscoverer.java,"In method com.cloud.ovm.hypervisor.OvmDiscoverer.find(long, Long, Long, URI, String, String, List)",com.cloud.ovm.hypervisor.OvmDiscoverer,find,(JLjava/lang/Long;Ljava/lang/Long;Ljava/net/URI;Ljava/lang/String;Ljava/lang/String;Ljava/util/List;)Ljava/util/Map;,false,true,At OvmDiscoverer.java:[line 142],com.cloud.ovm.hypervisor.OvmDiscoverer,true,142,142,313,313,OvmDiscoverer.java,com/cloud/ovm/hypervisor/OvmDiscoverer.java,java/com/cloud/ovm/hypervisor/OvmDiscoverer.java,At OvmDiscoverer.java:[line 142],com.cloud.ovm.hypervisor.OvmDiscoverer,142,142,310,310,OvmDiscoverer.java,com/cloud/ovm/hypervisor/OvmDiscoverer.java,java/com/cloud/ovm/hypervisor/OvmDiscoverer.java,Sink method Logger.debug(...),Logger.debug(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,97eec5d94cd3f8963a0491f6e451d41d,1,5,117,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.debug(...) might be used to include CRLF characters into log messages,In OvmDiscoverer.java,com.cloud.ovm.hypervisor.OvmDiscoverer,OvmDiscoverer.java,com/cloud/ovm/hypervisor/OvmDiscoverer.java,java/com/cloud/ovm/hypervisor/OvmDiscoverer.java,In class com.cloud.ovm.hypervisor.OvmDiscoverer,com.cloud.ovm.hypervisor.OvmDiscoverer,true,com.cloud.ovm.hypervisor.OvmDiscoverer,96,209,0,1838,OvmDiscoverer.java,com/cloud/ovm/hypervisor/OvmDiscoverer.java,java/com/cloud/ovm/hypervisor/OvmDiscoverer.java,"In method com.cloud.ovm.hypervisor.OvmDiscoverer.find(long, Long, Long, URI, String, String, List)",com.cloud.ovm.hypervisor.OvmDiscoverer,find,(JLjava/lang/Long;Ljava/lang/Long;Ljava/net/URI;Ljava/lang/String;Ljava/lang/String;Ljava/util/List;)Ljava/util/Map;,false,true,At OvmDiscoverer.java:[line 199],com.cloud.ovm.hypervisor.OvmDiscoverer,true,199,199,829,829,OvmDiscoverer.java,com/cloud/ovm/hypervisor/OvmDiscoverer.java,java/com/cloud/ovm/hypervisor/OvmDiscoverer.java,At OvmDiscoverer.java:[line 199],com.cloud.ovm.hypervisor.OvmDiscoverer,199,199,824,824,OvmDiscoverer.java,com/cloud/ovm/hypervisor/OvmDiscoverer.java,java/com/cloud/ovm/hypervisor/OvmDiscoverer.java,Sink method Logger.debug(...),Logger.debug(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,97eec5d94cd3f8963a0491f6e451d41d,2,5,117,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.debug(...) might be used to include CRLF characters into log messages,In OvmDiscoverer.java,com.cloud.ovm.hypervisor.OvmDiscoverer,OvmDiscoverer.java,com/cloud/ovm/hypervisor/OvmDiscoverer.java,java/com/cloud/ovm/hypervisor/OvmDiscoverer.java,In class com.cloud.ovm.hypervisor.OvmDiscoverer,com.cloud.ovm.hypervisor.OvmDiscoverer,true,com.cloud.ovm.hypervisor.OvmDiscoverer,96,209,0,1838,OvmDiscoverer.java,com/cloud/ovm/hypervisor/OvmDiscoverer.java,java/com/cloud/ovm/hypervisor/OvmDiscoverer.java,"In method com.cloud.ovm.hypervisor.OvmDiscoverer.find(long, Long, Long, URI, String, String, List)",com.cloud.ovm.hypervisor.OvmDiscoverer,find,(JLjava/lang/Long;Ljava/lang/Long;Ljava/net/URI;Ljava/lang/String;Ljava/lang/String;Ljava/util/List;)Ljava/util/Map;,false,true,At OvmDiscoverer.java:[line 202],com.cloud.ovm.hypervisor.OvmDiscoverer,true,202,202,861,861,OvmDiscoverer.java,com/cloud/ovm/hypervisor/OvmDiscoverer.java,java/com/cloud/ovm/hypervisor/OvmDiscoverer.java,At OvmDiscoverer.java:[line 202],com.cloud.ovm.hypervisor.OvmDiscoverer,202,202,856,856,OvmDiscoverer.java,com/cloud/ovm/hypervisor/OvmDiscoverer.java,java/com/cloud/ovm/hypervisor/OvmDiscoverer.java,Sink method Logger.debug(...),Logger.debug(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,97eec5d94cd3f8963a0491f6e451d41d,3,5,117,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.debug(...) might be used to include CRLF characters into log messages,In OvmDiscoverer.java,com.cloud.ovm.hypervisor.OvmDiscoverer,OvmDiscoverer.java,com/cloud/ovm/hypervisor/OvmDiscoverer.java,java/com/cloud/ovm/hypervisor/OvmDiscoverer.java,In class com.cloud.ovm.hypervisor.OvmDiscoverer,com.cloud.ovm.hypervisor.OvmDiscoverer,true,com.cloud.ovm.hypervisor.OvmDiscoverer,96,209,0,1838,OvmDiscoverer.java,com/cloud/ovm/hypervisor/OvmDiscoverer.java,java/com/cloud/ovm/hypervisor/OvmDiscoverer.java,"In method com.cloud.ovm.hypervisor.OvmDiscoverer.find(long, Long, Long, URI, String, String, List)",com.cloud.ovm.hypervisor.OvmDiscoverer,find,(JLjava/lang/Long;Ljava/lang/Long;Ljava/net/URI;Ljava/lang/String;Ljava/lang/String;Ljava/util/List;)Ljava/util/Map;,false,true,At OvmDiscoverer.java:[line 205],com.cloud.ovm.hypervisor.OvmDiscoverer,true,205,205,893,893,OvmDiscoverer.java,com/cloud/ovm/hypervisor/OvmDiscoverer.java,java/com/cloud/ovm/hypervisor/OvmDiscoverer.java,At OvmDiscoverer.java:[line 205],com.cloud.ovm.hypervisor.OvmDiscoverer,205,205,888,888,OvmDiscoverer.java,com/cloud/ovm/hypervisor/OvmDiscoverer.java,java/com/cloud/ovm/hypervisor/OvmDiscoverer.java,Sink method Logger.debug(...),Logger.debug(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,97eec5d94cd3f8963a0491f6e451d41d,4,5,117,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.debug(...) might be used to include CRLF characters into log messages,In OvmDiscoverer.java,com.cloud.ovm.hypervisor.OvmDiscoverer,OvmDiscoverer.java,com/cloud/ovm/hypervisor/OvmDiscoverer.java,java/com/cloud/ovm/hypervisor/OvmDiscoverer.java,In class com.cloud.ovm.hypervisor.OvmDiscoverer,com.cloud.ovm.hypervisor.OvmDiscoverer,true,com.cloud.ovm.hypervisor.OvmDiscoverer,96,209,0,1838,OvmDiscoverer.java,com/cloud/ovm/hypervisor/OvmDiscoverer.java,java/com/cloud/ovm/hypervisor/OvmDiscoverer.java,"In method com.cloud.ovm.hypervisor.OvmDiscoverer.find(long, Long, Long, URI, String, String, List)",com.cloud.ovm.hypervisor.OvmDiscoverer,find,(JLjava/lang/Long;Ljava/lang/Long;Ljava/net/URI;Ljava/lang/String;Ljava/lang/String;Ljava/util/List;)Ljava/util/Map;,false,true,At OvmDiscoverer.java:[line 208],com.cloud.ovm.hypervisor.OvmDiscoverer,true,208,208,925,925,OvmDiscoverer.java,com/cloud/ovm/hypervisor/OvmDiscoverer.java,java/com/cloud/ovm/hypervisor/OvmDiscoverer.java,At OvmDiscoverer.java:[line 208],com.cloud.ovm.hypervisor.OvmDiscoverer,208,208,920,920,OvmDiscoverer.java,com/cloud/ovm/hypervisor/OvmDiscoverer.java,java/com/cloud/ovm/hypervisor/OvmDiscoverer.java,Sink method Logger.debug(...),Logger.debug(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,97eec5d94cd3f8963a0491f6e451d41d,5,5,117,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.debug(...) might be used to include CRLF characters into log messages,In OvmFencer.java,com.cloud.ovm.hypervisor.OvmFencer,OvmFencer.java,com/cloud/ovm/hypervisor/OvmFencer.java,java/com/cloud/ovm/hypervisor/OvmFencer.java,In class com.cloud.ovm.hypervisor.OvmFencer,com.cloud.ovm.hypervisor.OvmFencer,true,com.cloud.ovm.hypervisor.OvmFencer,71,116,0,741,OvmFencer.java,com/cloud/ovm/hypervisor/OvmFencer.java,java/com/cloud/ovm/hypervisor/OvmFencer.java,"In method com.cloud.ovm.hypervisor.OvmFencer.fenceOff(VirtualMachine, Host)",com.cloud.ovm.hypervisor.OvmFencer,fenceOff,(Lcom/cloud/vm/VirtualMachine;Lcom/cloud/host/Host;)Ljava/lang/Boolean;,false,true,At OvmFencer.java:[line 72],com.cloud.ovm.hypervisor.OvmFencer,true,72,72,39,39,OvmFencer.java,com/cloud/ovm/hypervisor/OvmFencer.java,java/com/cloud/ovm/hypervisor/OvmFencer.java,At OvmFencer.java:[line 72],com.cloud.ovm.hypervisor.OvmFencer,72,72,36,36,OvmFencer.java,com/cloud/ovm/hypervisor/OvmFencer.java,java/com/cloud/ovm/hypervisor/OvmFencer.java,Sink method Logger.debug(...),Logger.debug(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,f37089adc33f723f83432eace09146bf,0,3,117,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.debug(...) might be used to include CRLF characters into log messages,In OvmFencer.java,com.cloud.ovm.hypervisor.OvmFencer,OvmFencer.java,com/cloud/ovm/hypervisor/OvmFencer.java,java/com/cloud/ovm/hypervisor/OvmFencer.java,In class com.cloud.ovm.hypervisor.OvmFencer,com.cloud.ovm.hypervisor.OvmFencer,true,com.cloud.ovm.hypervisor.OvmFencer,71,116,0,741,OvmFencer.java,com/cloud/ovm/hypervisor/OvmFencer.java,java/com/cloud/ovm/hypervisor/OvmFencer.java,"In method com.cloud.ovm.hypervisor.OvmFencer.fenceOff(VirtualMachine, Host)",com.cloud.ovm.hypervisor.OvmFencer,fenceOff,(Lcom/cloud/vm/VirtualMachine;Lcom/cloud/host/Host;)Ljava/lang/Boolean;,false,true,At OvmFencer.java:[line 97],com.cloud.ovm.hypervisor.OvmFencer,true,97,97,221,221,OvmFencer.java,com/cloud/ovm/hypervisor/OvmFencer.java,java/com/cloud/ovm/hypervisor/OvmFencer.java,At OvmFencer.java:[line 97],com.cloud.ovm.hypervisor.OvmFencer,97,97,216,216,OvmFencer.java,com/cloud/ovm/hypervisor/OvmFencer.java,java/com/cloud/ovm/hypervisor/OvmFencer.java,Sink method Logger.debug(...),Logger.debug(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,f37089adc33f723f83432eace09146bf,1,3,117,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.debug(...) might be used to include CRLF characters into log messages,In OvmFencer.java,com.cloud.ovm.hypervisor.OvmFencer,OvmFencer.java,com/cloud/ovm/hypervisor/OvmFencer.java,java/com/cloud/ovm/hypervisor/OvmFencer.java,In class com.cloud.ovm.hypervisor.OvmFencer,com.cloud.ovm.hypervisor.OvmFencer,true,com.cloud.ovm.hypervisor.OvmFencer,71,116,0,741,OvmFencer.java,com/cloud/ovm/hypervisor/OvmFencer.java,java/com/cloud/ovm/hypervisor/OvmFencer.java,"In method com.cloud.ovm.hypervisor.OvmFencer.fenceOff(VirtualMachine, Host)",com.cloud.ovm.hypervisor.OvmFencer,fenceOff,(Lcom/cloud/vm/VirtualMachine;Lcom/cloud/host/Host;)Ljava/lang/Boolean;,false,true,At OvmFencer.java:[line 102],com.cloud.ovm.hypervisor.OvmFencer,true,102,102,271,271,OvmFencer.java,com/cloud/ovm/hypervisor/OvmFencer.java,java/com/cloud/ovm/hypervisor/OvmFencer.java,At OvmFencer.java:[line 102],com.cloud.ovm.hypervisor.OvmFencer,102,102,266,266,OvmFencer.java,com/cloud/ovm/hypervisor/OvmFencer.java,java/com/cloud/ovm/hypervisor/OvmFencer.java,Sink method Logger.debug(...),Logger.debug(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,f37089adc33f723f83432eace09146bf,2,3,117,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.debug(...) might be used to include CRLF characters into log messages,In OvmFencer.java,com.cloud.ovm.hypervisor.OvmFencer,OvmFencer.java,com/cloud/ovm/hypervisor/OvmFencer.java,java/com/cloud/ovm/hypervisor/OvmFencer.java,In class com.cloud.ovm.hypervisor.OvmFencer,com.cloud.ovm.hypervisor.OvmFencer,true,com.cloud.ovm.hypervisor.OvmFencer,71,116,0,741,OvmFencer.java,com/cloud/ovm/hypervisor/OvmFencer.java,java/com/cloud/ovm/hypervisor/OvmFencer.java,"In method com.cloud.ovm.hypervisor.OvmFencer.fenceOff(VirtualMachine, Host)",com.cloud.ovm.hypervisor.OvmFencer,fenceOff,(Lcom/cloud/vm/VirtualMachine;Lcom/cloud/host/Host;)Ljava/lang/Boolean;,false,true,At OvmFencer.java:[line 113],com.cloud.ovm.hypervisor.OvmFencer,true,113,113,344,344,OvmFencer.java,com/cloud/ovm/hypervisor/OvmFencer.java,java/com/cloud/ovm/hypervisor/OvmFencer.java,At OvmFencer.java:[line 113],com.cloud.ovm.hypervisor.OvmFencer,113,113,341,341,OvmFencer.java,com/cloud/ovm/hypervisor/OvmFencer.java,java/com/cloud/ovm/hypervisor/OvmFencer.java,Sink method Logger.debug(...),Logger.debug(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,f37089adc33f723f83432eace09146bf,3,3,117,,,,,,,,,,,,,,,,,,
