ShortMessage,LongMessage,Class/SourceLine/0/Message,Class/SourceLine/0/_classname,Class/SourceLine/0/_sourcefile,Class/SourceLine/0/_sourcepath,Class/SourceLine/0/_relSourcepath,Class/Message,Class/_classname,Class/_primary,Method/SourceLine/0/_classname,Method/SourceLine/0/_start,Method/SourceLine/0/_end,Method/SourceLine/0/_startBytecode,Method/SourceLine/0/_endBytecode,Method/SourceLine/0/_sourcefile,Method/SourceLine/0/_sourcepath,Method/SourceLine/0/_relSourcepath,Method/Message,Method/_classname,Method/_name,Method/_signature,Method/_isStatic,Method/_primary,SourceLine/0/Message,SourceLine/0/_classname,SourceLine/0/_primary,SourceLine/0/_start,SourceLine/0/_end,SourceLine/0/_startBytecode,SourceLine/0/_endBytecode,SourceLine/0/_sourcefile,SourceLine/0/_sourcepath,SourceLine/0/_relSourcepath,SourceLine/1/Message,SourceLine/1/_classname,SourceLine/1/_start,SourceLine/1/_end,SourceLine/1/_startBytecode,SourceLine/1/_endBytecode,SourceLine/1/_sourcefile,SourceLine/1/_sourcepath,SourceLine/1/_relSourcepath,String/0/Message,String/0/_value,String/0/_role,_type,_priority,_rank,_abbrev,_category,_instanceHash,_instanceOccurrenceNum,_instanceOccurrenceMax,_cweid,String/1/Message,String/1/_value,String/1/_role,SourceLine/2/Message,SourceLine/2/_classname,SourceLine/2/_start,SourceLine/2/_end,SourceLine/2/_startBytecode,SourceLine/2/_endBytecode,SourceLine/2/_sourcefile,SourceLine/2/_sourcepath,SourceLine/2/_relSourcepath,SourceLine/3/Message,SourceLine/3/_classname,SourceLine/3/_start,SourceLine/3/_end,SourceLine/3/_startBytecode,SourceLine/3/_endBytecode,SourceLine/3/_sourcefile,SourceLine/3/_sourcepath,SourceLine/3/_relSourcepath
Potential CRLF Injection for logs,This use of Logger.debug(...) might be used to include CRLF characters into log messages,In Ovm3Investigator.java,com.cloud.ha.Ovm3Investigator,Ovm3Investigator.java,com/cloud/ha/Ovm3Investigator.java,java/com/cloud/ha/Ovm3Investigator.java,In class com.cloud.ha.Ovm3Investigator,com.cloud.ha.Ovm3Investigator,true,com.cloud.ha.Ovm3Investigator,61,81,0,455,Ovm3Investigator.java,com/cloud/ha/Ovm3Investigator.java,java/com/cloud/ha/Ovm3Investigator.java,In method com.cloud.ha.Ovm3Investigator.isAgentAlive(Host),com.cloud.ha.Ovm3Investigator,isAgentAlive,(Lcom/cloud/host/Host;)Lcom/cloud/host/Status;,false,true,At Ovm3Investigator.java:[line 61],com.cloud.ha.Ovm3Investigator,true,61,61,27,27,Ovm3Investigator.java,com/cloud/ha/Ovm3Investigator.java,java/com/cloud/ha/Ovm3Investigator.java,At Ovm3Investigator.java:[line 61],com.cloud.ha.Ovm3Investigator,61,61,24,24,Ovm3Investigator.java,com/cloud/ha/Ovm3Investigator.java,java/com/cloud/ha/Ovm3Investigator.java,Sink method Logger.debug(...),Logger.debug(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,210599a7a62888a2c60beb49196c9987,0,0,117,,,,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.error(...) might be used to include CRLF characters into log messages,In Ovm3Investigator.java,com.cloud.ha.Ovm3Investigator,Ovm3Investigator.java,com/cloud/ha/Ovm3Investigator.java,java/com/cloud/ha/Ovm3Investigator.java,In class com.cloud.ha.Ovm3Investigator,com.cloud.ha.Ovm3Investigator,true,com.cloud.ha.Ovm3Investigator,61,81,0,455,Ovm3Investigator.java,com/cloud/ha/Ovm3Investigator.java,java/com/cloud/ha/Ovm3Investigator.java,In method com.cloud.ha.Ovm3Investigator.isAgentAlive(Host),com.cloud.ha.Ovm3Investigator,isAgentAlive,(Lcom/cloud/host/Host;)Lcom/cloud/host/Status;,false,true,At Ovm3Investigator.java:[line 77],com.cloud.ha.Ovm3Investigator,true,77,77,210,210,Ovm3Investigator.java,com/cloud/ha/Ovm3Investigator.java,java/com/cloud/ha/Ovm3Investigator.java,At Ovm3Investigator.java:[line 77],com.cloud.ha.Ovm3Investigator,77,77,205,205,Ovm3Investigator.java,com/cloud/ha/Ovm3Investigator.java,java/com/cloud/ha/Ovm3Investigator.java,Sink method Logger.error(...),Logger.error(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,12cd404e736a3e44a813a5f34b1c7d63,0,0,117,,,,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.debug(...) might be used to include CRLF characters into log messages,In Ovm3Investigator.java,com.cloud.ha.Ovm3Investigator,Ovm3Investigator.java,com/cloud/ha/Ovm3Investigator.java,java/com/cloud/ha/Ovm3Investigator.java,In class com.cloud.ha.Ovm3Investigator,com.cloud.ha.Ovm3Investigator,true,com.cloud.ha.Ovm3Investigator,48,56,0,204,Ovm3Investigator.java,com/cloud/ha/Ovm3Investigator.java,java/com/cloud/ha/Ovm3Investigator.java,"In method com.cloud.ha.Ovm3Investigator.isVmAlive(VirtualMachine, Host)",com.cloud.ha.Ovm3Investigator,isVmAlive,(Lcom/cloud/vm/VirtualMachine;Lcom/cloud/host/Host;)Z,false,true,At Ovm3Investigator.java:[line 48],com.cloud.ha.Ovm3Investigator,true,48,48,41,41,Ovm3Investigator.java,com/cloud/ha/Ovm3Investigator.java,java/com/cloud/ha/Ovm3Investigator.java,At Ovm3Investigator.java:[line 48],com.cloud.ha.Ovm3Investigator,48,48,38,38,Ovm3Investigator.java,com/cloud/ha/Ovm3Investigator.java,java/com/cloud/ha/Ovm3Investigator.java,Sink method Logger.debug(...),Logger.debug(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,8931c23741940a3463b87eb593577199,0,0,117,,,,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.error(...) might be used to include CRLF characters into log messages,In CloudstackPlugin.java,com.cloud.hypervisor.ovm3.objects.CloudstackPlugin,CloudstackPlugin.java,com/cloud/hypervisor/ovm3/objects/CloudstackPlugin.java,java/com/cloud/hypervisor/ovm3/objects/CloudstackPlugin.java,In class com.cloud.hypervisor.ovm3.objects.CloudstackPlugin,com.cloud.hypervisor.ovm3.objects.CloudstackPlugin,true,com.cloud.hypervisor.ovm3.objects.CloudstackPlugin,119,131,0,302,CloudstackPlugin.java,com/cloud/hypervisor/ovm3/objects/CloudstackPlugin.java,java/com/cloud/hypervisor/ovm3/objects/CloudstackPlugin.java,"In method com.cloud.hypervisor.ovm3.objects.CloudstackPlugin.dom0CheckPort(String, Integer, Integer, Integer)",com.cloud.hypervisor.ovm3.objects.CloudstackPlugin,dom0CheckPort,(Ljava/lang/String;Ljava/lang/Integer;Ljava/lang/Integer;Ljava/lang/Integer;)Z,false,true,At CloudstackPlugin.java:[line 129],com.cloud.hypervisor.ovm3.objects.CloudstackPlugin,true,129,129,113,113,CloudstackPlugin.java,com/cloud/hypervisor/ovm3/objects/CloudstackPlugin.java,java/com/cloud/hypervisor/ovm3/objects/CloudstackPlugin.java,At CloudstackPlugin.java:[line 129],com.cloud.hypervisor.ovm3.objects.CloudstackPlugin,129,129,110,110,CloudstackPlugin.java,com/cloud/hypervisor/ovm3/objects/CloudstackPlugin.java,java/com/cloud/hypervisor/ovm3/objects/CloudstackPlugin.java,Sink method Logger.error(...),Logger.error(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,2781e7a1ccc55c5af0c64535ffd540b0,0,0,117,,,,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.debug(...) might be used to include CRLF characters into log messages,In CloudstackPlugin.java,com.cloud.hypervisor.ovm3.objects.CloudstackPlugin$ReturnCode,CloudstackPlugin.java,com/cloud/hypervisor/ovm3/objects/CloudstackPlugin.java,java/com/cloud/hypervisor/ovm3/objects/CloudstackPlugin.java,In class com.cloud.hypervisor.ovm3.objects.CloudstackPlugin$ReturnCode,com.cloud.hypervisor.ovm3.objects.CloudstackPlugin$ReturnCode,true,com.cloud.hypervisor.ovm3.objects.CloudstackPlugin$ReturnCode,69,83,0,245,CloudstackPlugin.java,com/cloud/hypervisor/ovm3/objects/CloudstackPlugin.java,java/com/cloud/hypervisor/ovm3/objects/CloudstackPlugin.java,In method com.cloud.hypervisor.ovm3.objects.CloudstackPlugin$ReturnCode.getRc(),com.cloud.hypervisor.ovm3.objects.CloudstackPlugin$ReturnCode,getRc,()Ljava/lang/Boolean;,false,true,At CloudstackPlugin.java:[line 76],com.cloud.hypervisor.ovm3.objects.CloudstackPlugin$ReturnCode,true,76,76,80,80,CloudstackPlugin.java,com/cloud/hypervisor/ovm3/objects/CloudstackPlugin.java,java/com/cloud/hypervisor/ovm3/objects/CloudstackPlugin.java,At CloudstackPlugin.java:[line 76],com.cloud.hypervisor.ovm3.objects.CloudstackPlugin$ReturnCode,76,76,77,77,CloudstackPlugin.java,com/cloud/hypervisor/ovm3/objects/CloudstackPlugin.java,java/com/cloud/hypervisor/ovm3/objects/CloudstackPlugin.java,Sink method Logger.debug(...),Logger.debug(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,5113996e09fff6d1fc9c336efe16ae77,0,0,117,,,,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.debug(...) might be used to include CRLF characters into log messages,In Connection.java,com.cloud.hypervisor.ovm3.objects.Connection,Connection.java,com/cloud/hypervisor/ovm3/objects/Connection.java,java/com/cloud/hypervisor/ovm3/objects/Connection.java,In class com.cloud.hypervisor.ovm3.objects.Connection,com.cloud.hypervisor.ovm3.objects.Connection,true,com.cloud.hypervisor.ovm3.objects.Connection,110,140,0,789,Connection.java,com/cloud/hypervisor/ovm3/objects/Connection.java,java/com/cloud/hypervisor/ovm3/objects/Connection.java,"In method com.cloud.hypervisor.ovm3.objects.Connection.callTimeoutInSec(String, List, int, boolean)",com.cloud.hypervisor.ovm3.objects.Connection,callTimeoutInSec,(Ljava/lang/String;Ljava/util/List;IZ)Ljava/lang/Object;,false,true,At Connection.java:[line 112],com.cloud.hypervisor.ovm3.objects.Connection,true,112,112,75,75,Connection.java,com/cloud/hypervisor/ovm3/objects/Connection.java,java/com/cloud/hypervisor/ovm3/objects/Connection.java,At Connection.java:[line 112],com.cloud.hypervisor.ovm3.objects.Connection,112,112,72,72,Connection.java,com/cloud/hypervisor/ovm3/objects/Connection.java,java/com/cloud/hypervisor/ovm3/objects/Connection.java,Sink method Logger.debug(...),Logger.debug(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,35605f907e6ba52f9d9cb34ebd93422e,0,1,117,,,,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.debug(...) might be used to include CRLF characters into log messages,In Connection.java,com.cloud.hypervisor.ovm3.objects.Connection,Connection.java,com/cloud/hypervisor/ovm3/objects/Connection.java,java/com/cloud/hypervisor/ovm3/objects/Connection.java,In class com.cloud.hypervisor.ovm3.objects.Connection,com.cloud.hypervisor.ovm3.objects.Connection,true,com.cloud.hypervisor.ovm3.objects.Connection,110,140,0,789,Connection.java,com/cloud/hypervisor/ovm3/objects/Connection.java,java/com/cloud/hypervisor/ovm3/objects/Connection.java,"In method com.cloud.hypervisor.ovm3.objects.Connection.callTimeoutInSec(String, List, int, boolean)",com.cloud.hypervisor.ovm3.objects.Connection,callTimeoutInSec,(Ljava/lang/String;Ljava/util/List;IZ)Ljava/lang/Object;,false,true,At Connection.java:[line 138],com.cloud.hypervisor.ovm3.objects.Connection,true,138,138,363,363,Connection.java,com/cloud/hypervisor/ovm3/objects/Connection.java,java/com/cloud/hypervisor/ovm3/objects/Connection.java,At Connection.java:[line 138],com.cloud.hypervisor.ovm3.objects.Connection,138,138,360,360,Connection.java,com/cloud/hypervisor/ovm3/objects/Connection.java,java/com/cloud/hypervisor/ovm3/objects/Connection.java,Sink method Logger.debug(...),Logger.debug(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,35605f907e6ba52f9d9cb34ebd93422e,1,1,117,,,,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.debug(...) might be used to include CRLF characters into log messages,In Connection.java,com.cloud.hypervisor.ovm3.objects.Connection,Connection.java,com/cloud/hypervisor/ovm3/objects/Connection.java,java/com/cloud/hypervisor/ovm3/objects/Connection.java,In class com.cloud.hypervisor.ovm3.objects.Connection,com.cloud.hypervisor.ovm3.objects.Connection,true,com.cloud.hypervisor.ovm3.objects.Connection,67,96,0,449,Connection.java,com/cloud/hypervisor/ovm3/objects/Connection.java,java/com/cloud/hypervisor/ovm3/objects/Connection.java,In method com.cloud.hypervisor.ovm3.objects.Connection.setupXmlClient(),com.cloud.hypervisor.ovm3.objects.Connection,setupXmlClient,()Lorg/apache/xmlrpc/client/XmlRpcClient;,false,true,At Connection.java:[line 86],com.cloud.hypervisor.ovm3.objects.Connection,true,86,86,158,158,Connection.java,com/cloud/hypervisor/ovm3/objects/Connection.java,java/com/cloud/hypervisor/ovm3/objects/Connection.java,At Connection.java:[line 86],com.cloud.hypervisor.ovm3.objects.Connection,86,86,155,155,Connection.java,com/cloud/hypervisor/ovm3/objects/Connection.java,java/com/cloud/hypervisor/ovm3/objects/Connection.java,Sink method Logger.debug(...),Logger.debug(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,35b3449eb6eb5472b7d9f2c7e43e51ca,0,0,117,,,,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.info(...) might be used to include CRLF characters into log messages,In Linux.java,com.cloud.hypervisor.ovm3.objects.Linux,Linux.java,com/cloud/hypervisor/ovm3/objects/Linux.java,java/com/cloud/hypervisor/ovm3/objects/Linux.java,In class com.cloud.hypervisor.ovm3.objects.Linux,com.cloud.hypervisor.ovm3.objects.Linux,true,com.cloud.hypervisor.ovm3.objects.Linux,211,229,0,360,Linux.java,com/cloud/hypervisor/ovm3/objects/Linux.java,java/com/cloud/hypervisor/ovm3/objects/Linux.java,In method com.cloud.hypervisor.ovm3.objects.Linux.get(String),com.cloud.hypervisor.ovm3.objects.Linux,get,(Ljava/lang/String;)Ljava/lang/String;,false,true,At Linux.java:[line 213],com.cloud.hypervisor.ovm3.objects.Linux,true,213,213,34,34,Linux.java,com/cloud/hypervisor/ovm3/objects/Linux.java,java/com/cloud/hypervisor/ovm3/objects/Linux.java,At Linux.java:[line 213],com.cloud.hypervisor.ovm3.objects.Linux,213,213,30,30,Linux.java,com/cloud/hypervisor/ovm3/objects/Linux.java,java/com/cloud/hypervisor/ovm3/objects/Linux.java,Sink method Logger.info(...),Logger.info(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,5a5265e444a444124c8822b23dd3da0a,0,0,117,,,,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.debug(...) might be used to include CRLF characters into log messages,In Network.java,com.cloud.hypervisor.ovm3.objects.Network,Network.java,com/cloud/hypervisor/ovm3/objects/Network.java,java/com/cloud/hypervisor/ovm3/objects/Network.java,In class com.cloud.hypervisor.ovm3.objects.Network,com.cloud.hypervisor.ovm3.objects.Network,true,com.cloud.hypervisor.ovm3.objects.Network,160,166,0,148,Network.java,com/cloud/hypervisor/ovm3/objects/Network.java,java/com/cloud/hypervisor/ovm3/objects/Network.java,In method com.cloud.hypervisor.ovm3.objects.Network.getBridgeByIp(String),com.cloud.hypervisor.ovm3.objects.Network,getBridgeByIp,(Ljava/lang/String;)Lcom/cloud/hypervisor/ovm3/objects/Network$Interface;,false,true,At Network.java:[line 164],com.cloud.hypervisor.ovm3.objects.Network,true,164,164,58,58,Network.java,com/cloud/hypervisor/ovm3/objects/Network.java,java/com/cloud/hypervisor/ovm3/objects/Network.java,At Network.java:[line 164],com.cloud.hypervisor.ovm3.objects.Network,164,164,55,55,Network.java,com/cloud/hypervisor/ovm3/objects/Network.java,java/com/cloud/hypervisor/ovm3/objects/Network.java,Sink method Logger.debug(...),Logger.debug(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,1e6ba4a7e65d5c83dcd9a1e5939bcefa,0,0,117,,,,,,,,,,,,,,,,,,,,,
