ShortMessage,LongMessage,Class/SourceLine/0/Message,Class/SourceLine/0/_classname,Class/SourceLine/0/_sourcefile,Class/SourceLine/0/_sourcepath,Class/SourceLine/0/_relSourcepath,Class/Message,Class/_classname,Class/_primary,Method/SourceLine/0/_classname,Method/SourceLine/0/_start,Method/SourceLine/0/_end,Method/SourceLine/0/_startBytecode,Method/SourceLine/0/_endBytecode,Method/SourceLine/0/_sourcefile,Method/SourceLine/0/_sourcepath,Method/SourceLine/0/_relSourcepath,Method/Message,Method/_classname,Method/_name,Method/_signature,Method/_isStatic,Method/_primary,SourceLine/0/Message,SourceLine/0/_classname,SourceLine/0/_primary,SourceLine/0/_start,SourceLine/0/_end,SourceLine/0/_startBytecode,SourceLine/0/_endBytecode,SourceLine/0/_sourcefile,SourceLine/0/_sourcepath,SourceLine/0/_relSourcepath,SourceLine/1/Message,SourceLine/1/_classname,SourceLine/1/_start,SourceLine/1/_end,SourceLine/1/_startBytecode,SourceLine/1/_endBytecode,SourceLine/1/_sourcefile,SourceLine/1/_sourcepath,SourceLine/1/_relSourcepath,String/Message,String/_value,String/_role,_type,_priority,_rank,_abbrev,_category,_instanceHash,_instanceOccurrenceNum,_instanceOccurrenceMax,_cweid,SourceLine/2/Message,SourceLine/2/_classname,SourceLine/2/_start,SourceLine/2/_end,SourceLine/2/_startBytecode,SourceLine/2/_endBytecode,SourceLine/2/_sourcefile,SourceLine/2/_sourcepath,SourceLine/2/_relSourcepath,SourceLine/3/Message,SourceLine/3/_classname,SourceLine/3/_start,SourceLine/3/_end,SourceLine/3/_startBytecode,SourceLine/3/_endBytecode,SourceLine/3/_sourcefile,SourceLine/3/_sourcepath,SourceLine/3/_relSourcepath,SourceLine/4/Message,SourceLine/4/_classname,SourceLine/4/_start,SourceLine/4/_end,SourceLine/4/_startBytecode,SourceLine/4/_endBytecode,SourceLine/4/_sourcefile,SourceLine/4/_sourcepath,SourceLine/4/_relSourcepath,SourceLine/5/Message,SourceLine/5/_classname,SourceLine/5/_start,SourceLine/5/_end,SourceLine/5/_startBytecode,SourceLine/5/_endBytecode,SourceLine/5/_sourcefile,SourceLine/5/_sourcepath,SourceLine/5/_relSourcepath,SourceLine/6/Message,SourceLine/6/_classname,SourceLine/6/_start,SourceLine/6/_end,SourceLine/6/_startBytecode,SourceLine/6/_endBytecode,SourceLine/6/_sourcefile,SourceLine/6/_sourcepath,SourceLine/6/_relSourcepath,SourceLine/7/Message,SourceLine/7/_classname,SourceLine/7/_start,SourceLine/7/_end,SourceLine/7/_startBytecode,SourceLine/7/_endBytecode,SourceLine/7/_sourcefile,SourceLine/7/_sourcepath,SourceLine/7/_relSourcepath,Method/SourceLine/0/_synthetic,SourceLine/0/_synthetic,SourceLine/8/Message,SourceLine/8/_classname,SourceLine/8/_start,SourceLine/8/_end,SourceLine/8/_startBytecode,SourceLine/8/_endBytecode,SourceLine/8/_sourcefile,SourceLine/8/_sourcepath,SourceLine/8/_relSourcepath
Potential CRLF Injection for logs,This use of Logger.debug(...) might be used to include CRLF characters into log messages,In XenServerFencer.java,com.cloud.ha.XenServerFencer,XenServerFencer.java,com/cloud/ha/XenServerFencer.java,java/com/cloud/ha/XenServerFencer.java,In class com.cloud.ha.XenServerFencer,com.cloud.ha.XenServerFencer,true,com.cloud.ha.XenServerFencer,54,99,0,866,XenServerFencer.java,com/cloud/ha/XenServerFencer.java,java/com/cloud/ha/XenServerFencer.java,"In method com.cloud.ha.XenServerFencer.fenceOff(VirtualMachine, Host)",com.cloud.ha.XenServerFencer,fenceOff,(Lcom/cloud/vm/VirtualMachine;Lcom/cloud/host/Host;)Ljava/lang/Boolean;,false,true,At XenServerFencer.java:[line 55],com.cloud.ha.XenServerFencer,true,55,55,39,39,XenServerFencer.java,com/cloud/ha/XenServerFencer.java,java/com/cloud/ha/XenServerFencer.java,At XenServerFencer.java:[line 55],com.cloud.ha.XenServerFencer,55,55,36,36,XenServerFencer.java,com/cloud/ha/XenServerFencer.java,java/com/cloud/ha/XenServerFencer.java,Sink method Logger.debug(...),Logger.debug(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,c80c2e9eea5d478bb46b5365bb16ef0c,0,4,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.debug(...) might be used to include CRLF characters into log messages,In XenServerFencer.java,com.cloud.ha.XenServerFencer,XenServerFencer.java,com/cloud/ha/XenServerFencer.java,java/com/cloud/ha/XenServerFencer.java,In class com.cloud.ha.XenServerFencer,com.cloud.ha.XenServerFencer,true,com.cloud.ha.XenServerFencer,54,99,0,866,XenServerFencer.java,com/cloud/ha/XenServerFencer.java,java/com/cloud/ha/XenServerFencer.java,"In method com.cloud.ha.XenServerFencer.fenceOff(VirtualMachine, Host)",com.cloud.ha.XenServerFencer,fenceOff,(Lcom/cloud/vm/VirtualMachine;Lcom/cloud/host/Host;)Ljava/lang/Boolean;,false,true,At XenServerFencer.java:[line 74],com.cloud.ha.XenServerFencer,true,74,74,215,215,XenServerFencer.java,com/cloud/ha/XenServerFencer.java,java/com/cloud/ha/XenServerFencer.java,At XenServerFencer.java:[line 74],com.cloud.ha.XenServerFencer,74,74,212,212,XenServerFencer.java,com/cloud/ha/XenServerFencer.java,java/com/cloud/ha/XenServerFencer.java,Sink method Logger.debug(...),Logger.debug(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,c80c2e9eea5d478bb46b5365bb16ef0c,1,4,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.debug(...) might be used to include CRLF characters into log messages,In XenServerFencer.java,com.cloud.ha.XenServerFencer,XenServerFencer.java,com/cloud/ha/XenServerFencer.java,java/com/cloud/ha/XenServerFencer.java,In class com.cloud.ha.XenServerFencer,com.cloud.ha.XenServerFencer,true,com.cloud.ha.XenServerFencer,54,99,0,866,XenServerFencer.java,com/cloud/ha/XenServerFencer.java,java/com/cloud/ha/XenServerFencer.java,"In method com.cloud.ha.XenServerFencer.fenceOff(VirtualMachine, Host)",com.cloud.ha.XenServerFencer,fenceOff,(Lcom/cloud/vm/VirtualMachine;Lcom/cloud/host/Host;)Ljava/lang/Boolean;,false,true,At XenServerFencer.java:[line 80],com.cloud.ha.XenServerFencer,true,80,80,275,275,XenServerFencer.java,com/cloud/ha/XenServerFencer.java,java/com/cloud/ha/XenServerFencer.java,At XenServerFencer.java:[line 80],com.cloud.ha.XenServerFencer,80,80,270,270,XenServerFencer.java,com/cloud/ha/XenServerFencer.java,java/com/cloud/ha/XenServerFencer.java,Sink method Logger.debug(...),Logger.debug(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,c80c2e9eea5d478bb46b5365bb16ef0c,2,4,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.debug(...) might be used to include CRLF characters into log messages,In XenServerFencer.java,com.cloud.ha.XenServerFencer,XenServerFencer.java,com/cloud/ha/XenServerFencer.java,java/com/cloud/ha/XenServerFencer.java,In class com.cloud.ha.XenServerFencer,com.cloud.ha.XenServerFencer,true,com.cloud.ha.XenServerFencer,54,99,0,866,XenServerFencer.java,com/cloud/ha/XenServerFencer.java,java/com/cloud/ha/XenServerFencer.java,"In method com.cloud.ha.XenServerFencer.fenceOff(VirtualMachine, Host)",com.cloud.ha.XenServerFencer,fenceOff,(Lcom/cloud/vm/VirtualMachine;Lcom/cloud/host/Host;)Ljava/lang/Boolean;,false,true,At XenServerFencer.java:[line 85],com.cloud.ha.XenServerFencer,true,85,85,325,325,XenServerFencer.java,com/cloud/ha/XenServerFencer.java,java/com/cloud/ha/XenServerFencer.java,At XenServerFencer.java:[line 85],com.cloud.ha.XenServerFencer,85,85,320,320,XenServerFencer.java,com/cloud/ha/XenServerFencer.java,java/com/cloud/ha/XenServerFencer.java,Sink method Logger.debug(...),Logger.debug(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,c80c2e9eea5d478bb46b5365bb16ef0c,3,4,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.debug(...) might be used to include CRLF characters into log messages,In XenServerFencer.java,com.cloud.ha.XenServerFencer,XenServerFencer.java,com/cloud/ha/XenServerFencer.java,java/com/cloud/ha/XenServerFencer.java,In class com.cloud.ha.XenServerFencer,com.cloud.ha.XenServerFencer,true,com.cloud.ha.XenServerFencer,54,99,0,866,XenServerFencer.java,com/cloud/ha/XenServerFencer.java,java/com/cloud/ha/XenServerFencer.java,"In method com.cloud.ha.XenServerFencer.fenceOff(VirtualMachine, Host)",com.cloud.ha.XenServerFencer,fenceOff,(Lcom/cloud/vm/VirtualMachine;Lcom/cloud/host/Host;)Ljava/lang/Boolean;,false,true,At XenServerFencer.java:[line 96],com.cloud.ha.XenServerFencer,true,96,96,398,398,XenServerFencer.java,com/cloud/ha/XenServerFencer.java,java/com/cloud/ha/XenServerFencer.java,At XenServerFencer.java:[line 96],com.cloud.ha.XenServerFencer,96,96,395,395,XenServerFencer.java,com/cloud/ha/XenServerFencer.java,java/com/cloud/ha/XenServerFencer.java,Sink method Logger.debug(...),Logger.debug(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,c80c2e9eea5d478bb46b5365bb16ef0c,4,4,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.debug(...) might be used to include CRLF characters into log messages,In XenServerGuru.java,com.cloud.hypervisor.XenServerGuru,XenServerGuru.java,com/cloud/hypervisor/XenServerGuru.java,java/com/cloud/hypervisor/XenServerGuru.java,In class com.cloud.hypervisor.XenServerGuru,com.cloud.hypervisor.XenServerGuru,true,com.cloud.hypervisor.XenServerGuru,173,226,0,939,XenServerGuru.java,com/cloud/hypervisor/XenServerGuru.java,java/com/cloud/hypervisor/XenServerGuru.java,"In method com.cloud.hypervisor.XenServerGuru.getCommandHostDelegation(long, Command)",com.cloud.hypervisor.XenServerGuru,getCommandHostDelegation,(JLcom/cloud/agent/api/Command;)Lcom/cloud/utils/Pair;,false,true,At XenServerGuru.java:[line 222],com.cloud.hypervisor.XenServerGuru,true,222,222,376,376,XenServerGuru.java,com/cloud/hypervisor/XenServerGuru.java,java/com/cloud/hypervisor/XenServerGuru.java,At XenServerGuru.java:[line 209],com.cloud.hypervisor.XenServerGuru,209,209,269,269,XenServerGuru.java,com/cloud/hypervisor/XenServerGuru.java,java/com/cloud/hypervisor/XenServerGuru.java,Sink method Logger.debug(...),Logger.debug(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,5292fc3c6d60e5788d7685eda46e7104,0,0,117,At XenServerGuru.java:[line 219],com.cloud.hypervisor.XenServerGuru,219,219,324,324,XenServerGuru.java,com/cloud/hypervisor/XenServerGuru.java,java/com/cloud/hypervisor/XenServerGuru.java,At XenServerGuru.java:[line 222],com.cloud.hypervisor.XenServerGuru,222,222,373,373,XenServerGuru.java,com/cloud/hypervisor/XenServerGuru.java,java/com/cloud/hypervisor/XenServerGuru.java,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.info(...) might be used to include CRLF characters into log messages,In XcpServerDiscoverer.java,com.cloud.hypervisor.xenserver.discoverer.XcpServerDiscoverer,XcpServerDiscoverer.java,com/cloud/hypervisor/xenserver/discoverer/XcpServerDiscoverer.java,java/com/cloud/hypervisor/xenserver/discoverer/XcpServerDiscoverer.java,In class com.cloud.hypervisor.xenserver.discoverer.XcpServerDiscoverer,com.cloud.hypervisor.xenserver.discoverer.XcpServerDiscoverer,true,com.cloud.hypervisor.xenserver.discoverer.XcpServerDiscoverer,655,669,0,383,XcpServerDiscoverer.java,com/cloud/hypervisor/xenserver/discoverer/XcpServerDiscoverer.java,java/com/cloud/hypervisor/xenserver/discoverer/XcpServerDiscoverer.java,"In method com.cloud.hypervisor.xenserver.discoverer.XcpServerDiscoverer.createHostVOForDirectConnectAgent(HostVO, StartupCommand[], ServerResource, Map, List)",com.cloud.hypervisor.xenserver.discoverer.XcpServerDiscoverer,createHostVOForDirectConnectAgent,(Lcom/cloud/host/HostVO;[Lcom/cloud/agent/api/StartupCommand;Lcom/cloud/resource/ServerResource;Ljava/util/Map;Ljava/util/List;)Lcom/cloud/host/HostVO;,false,true,At XcpServerDiscoverer.java:[line 667],com.cloud.hypervisor.xenserver.discoverer.XcpServerDiscoverer,true,667,667,118,118,XcpServerDiscoverer.java,com/cloud/hypervisor/xenserver/discoverer/XcpServerDiscoverer.java,java/com/cloud/hypervisor/xenserver/discoverer/XcpServerDiscoverer.java,At XcpServerDiscoverer.java:[line 667],com.cloud.hypervisor.xenserver.discoverer.XcpServerDiscoverer,667,667,115,115,XcpServerDiscoverer.java,com/cloud/hypervisor/xenserver/discoverer/XcpServerDiscoverer.java,java/com/cloud/hypervisor/xenserver/discoverer/XcpServerDiscoverer.java,Sink method Logger.info(...),Logger.info(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,bbc4fc24efce338f7371d151d644b43d,0,0,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.warn(...) might be used to include CRLF characters into log messages,In XcpServerDiscoverer.java,com.cloud.hypervisor.xenserver.discoverer.XcpServerDiscoverer,XcpServerDiscoverer.java,com/cloud/hypervisor/xenserver/discoverer/XcpServerDiscoverer.java,java/com/cloud/hypervisor/xenserver/discoverer/XcpServerDiscoverer.java,In class com.cloud.hypervisor.xenserver.discoverer.XcpServerDiscoverer,com.cloud.hypervisor.xenserver.discoverer.XcpServerDiscoverer,true,com.cloud.hypervisor.xenserver.discoverer.XcpServerDiscoverer,398,440,0,723,XcpServerDiscoverer.java,com/cloud/hypervisor/xenserver/discoverer/XcpServerDiscoverer.java,java/com/cloud/hypervisor/xenserver/discoverer/XcpServerDiscoverer.java,"In method com.cloud.hypervisor.xenserver.discoverer.XcpServerDiscoverer.createServerResource(String, String, String, String)",com.cloud.hypervisor.xenserver.discoverer.XcpServerDiscoverer,createServerResource,(Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;)Lcom/cloud/hypervisor/xenserver/resource/CitrixResourceBase;,false,true,At XcpServerDiscoverer.java:[line 430],com.cloud.hypervisor.xenserver.discoverer.XcpServerDiscoverer,true,430,430,405,405,XcpServerDiscoverer.java,com/cloud/hypervisor/xenserver/discoverer/XcpServerDiscoverer.java,java/com/cloud/hypervisor/xenserver/discoverer/XcpServerDiscoverer.java,At XcpServerDiscoverer.java:[line 430],com.cloud.hypervisor.xenserver.discoverer.XcpServerDiscoverer,430,430,402,402,XcpServerDiscoverer.java,com/cloud/hypervisor/xenserver/discoverer/XcpServerDiscoverer.java,java/com/cloud/hypervisor/xenserver/discoverer/XcpServerDiscoverer.java,Sink method Logger.warn(...),Logger.warn(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,19a4110afc17e9abadf008b0e30b69dd,0,1,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.warn(...) might be used to include CRLF characters into log messages,In XcpServerDiscoverer.java,com.cloud.hypervisor.xenserver.discoverer.XcpServerDiscoverer,XcpServerDiscoverer.java,com/cloud/hypervisor/xenserver/discoverer/XcpServerDiscoverer.java,java/com/cloud/hypervisor/xenserver/discoverer/XcpServerDiscoverer.java,In class com.cloud.hypervisor.xenserver.discoverer.XcpServerDiscoverer,com.cloud.hypervisor.xenserver.discoverer.XcpServerDiscoverer,true,com.cloud.hypervisor.xenserver.discoverer.XcpServerDiscoverer,398,440,0,723,XcpServerDiscoverer.java,com/cloud/hypervisor/xenserver/discoverer/XcpServerDiscoverer.java,java/com/cloud/hypervisor/xenserver/discoverer/XcpServerDiscoverer.java,"In method com.cloud.hypervisor.xenserver.discoverer.XcpServerDiscoverer.createServerResource(String, String, String, String)",com.cloud.hypervisor.xenserver.discoverer.XcpServerDiscoverer,createServerResource,(Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;)Lcom/cloud/hypervisor/xenserver/resource/CitrixResourceBase;,false,true,At XcpServerDiscoverer.java:[line 439],com.cloud.hypervisor.xenserver.discoverer.XcpServerDiscoverer,true,439,439,451,451,XcpServerDiscoverer.java,com/cloud/hypervisor/xenserver/discoverer/XcpServerDiscoverer.java,java/com/cloud/hypervisor/xenserver/discoverer/XcpServerDiscoverer.java,At XcpServerDiscoverer.java:[line 436],com.cloud.hypervisor.xenserver.discoverer.XcpServerDiscoverer,436,436,441,441,XcpServerDiscoverer.java,com/cloud/hypervisor/xenserver/discoverer/XcpServerDiscoverer.java,java/com/cloud/hypervisor/xenserver/discoverer/XcpServerDiscoverer.java,Sink method Logger.warn(...),Logger.warn(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,19a4110afc17e9abadf008b0e30b69dd,1,1,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.debug(...) might be used to include CRLF characters into log messages,In XcpServerDiscoverer.java,com.cloud.hypervisor.xenserver.discoverer.XcpServerDiscoverer,XcpServerDiscoverer.java,com/cloud/hypervisor/xenserver/discoverer/XcpServerDiscoverer.java,java/com/cloud/hypervisor/xenserver/discoverer/XcpServerDiscoverer.java,In class com.cloud.hypervisor.xenserver.discoverer.XcpServerDiscoverer,com.cloud.hypervisor.xenserver.discoverer.XcpServerDiscoverer,true,com.cloud.hypervisor.xenserver.discoverer.XcpServerDiscoverer,180,375,0,3828,XcpServerDiscoverer.java,com/cloud/hypervisor/xenserver/discoverer/XcpServerDiscoverer.java,java/com/cloud/hypervisor/xenserver/discoverer/XcpServerDiscoverer.java,"In method com.cloud.hypervisor.xenserver.discoverer.XcpServerDiscoverer.find(long, Long, Long, URI, String, String, List)",com.cloud.hypervisor.xenserver.discoverer.XcpServerDiscoverer,find,(JLjava/lang/Long;Ljava/lang/Long;Ljava/net/URI;Ljava/lang/String;Ljava/lang/String;Ljava/util/List;)Ljava/util/Map;,false,true,At XcpServerDiscoverer.java:[line 184],com.cloud.hypervisor.xenserver.discoverer.XcpServerDiscoverer,true,184,184,52,52,XcpServerDiscoverer.java,com/cloud/hypervisor/xenserver/discoverer/XcpServerDiscoverer.java,java/com/cloud/hypervisor/xenserver/discoverer/XcpServerDiscoverer.java,At XcpServerDiscoverer.java:[line 183],com.cloud.hypervisor.xenserver.discoverer.XcpServerDiscoverer,183,183,42,42,XcpServerDiscoverer.java,com/cloud/hypervisor/xenserver/discoverer/XcpServerDiscoverer.java,java/com/cloud/hypervisor/xenserver/discoverer/XcpServerDiscoverer.java,Sink method Logger.debug(...),Logger.debug(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,6ed4f805c3634a057b32fb976c05758e,0,4,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
