ShortMessage,LongMessage,Class/SourceLine/0/Message,Class/SourceLine/0/_classname,Class/SourceLine/0/_sourcefile,Class/SourceLine/0/_sourcepath,Class/SourceLine/0/_relSourcepath,Class/Message,Class/_classname,Class/_primary,Method/SourceLine/0/_classname,Method/SourceLine/0/_start,Method/SourceLine/0/_end,Method/SourceLine/0/_startBytecode,Method/SourceLine/0/_endBytecode,Method/SourceLine/0/_sourcefile,Method/SourceLine/0/_sourcepath,Method/SourceLine/0/_relSourcepath,Method/Message,Method/_classname,Method/_name,Method/_signature,Method/_isStatic,Method/_primary,SourceLine/0/Message,SourceLine/0/_classname,SourceLine/0/_primary,SourceLine/0/_start,SourceLine/0/_end,SourceLine/0/_startBytecode,SourceLine/0/_endBytecode,SourceLine/0/_sourcefile,SourceLine/0/_sourcepath,SourceLine/0/_relSourcepath,SourceLine/1/Message,SourceLine/1/_classname,SourceLine/1/_start,SourceLine/1/_end,SourceLine/1/_startBytecode,SourceLine/1/_endBytecode,SourceLine/1/_sourcefile,SourceLine/1/_sourcepath,SourceLine/1/_relSourcepath,String/Message,String/_value,String/_role,_type,_priority,_rank,_abbrev,_category,_instanceHash,_instanceOccurrenceNum,_instanceOccurrenceMax,_cweid,Method/SourceLine/0/_synthetic,SourceLine/0/_synthetic
Potential CRLF Injection for logs,This use of Logger.error(...) might be used to include CRLF characters into log messages,In BigSwitchBcfApi.java,com.cloud.network.bigswitch.BigSwitchBcfApi,BigSwitchBcfApi.java,com/cloud/network/bigswitch/BigSwitchBcfApi.java,java/com/cloud/network/bigswitch/BigSwitchBcfApi.java,In class com.cloud.network.bigswitch.BigSwitchBcfApi,com.cloud.network.bigswitch.BigSwitchBcfApi,true,com.cloud.network.bigswitch.BigSwitchBcfApi,261,293,0,421,BigSwitchBcfApi.java,com/cloud/network/bigswitch/BigSwitchBcfApi.java,java/com/cloud/network/bigswitch/BigSwitchBcfApi.java,"In method com.cloud.network.bigswitch.BigSwitchBcfApi.checkResponse(HttpMethodBase, String)",com.cloud.network.bigswitch.BigSwitchBcfApi,checkResponse,(Lorg/apache/commons/httpclient/HttpMethodBase;Ljava/lang/String;)Ljava/lang/String;,false,true,At BigSwitchBcfApi.java:[line 292],com.cloud.network.bigswitch.BigSwitchBcfApi,true,292,292,175,175,BigSwitchBcfApi.java,com/cloud/network/bigswitch/BigSwitchBcfApi.java,java/com/cloud/network/bigswitch/BigSwitchBcfApi.java,At BigSwitchBcfApi.java:[line 292],com.cloud.network.bigswitch.BigSwitchBcfApi,292,292,172,172,BigSwitchBcfApi.java,com/cloud/network/bigswitch/BigSwitchBcfApi.java,java/com/cloud/network/bigswitch/BigSwitchBcfApi.java,Sink method Logger.error(...),Logger.error(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,c2237b2e8e215f9a7d6f2ef22d1f0e69,0,0,117,,
TrustManager that accept any certificates,TrustManager that accept any certificates makes communication vulnerable to a MITM attack,In TrustingProtocolSocketFactory.java,com.cloud.network.bigswitch.TrustingProtocolSocketFactory$1,TrustingProtocolSocketFactory.java,com/cloud/network/bigswitch/TrustingProtocolSocketFactory.java,java/com/cloud/network/bigswitch/TrustingProtocolSocketFactory.java,In class com.cloud.network.bigswitch.TrustingProtocolSocketFactory$1,com.cloud.network.bigswitch.TrustingProtocolSocketFactory$1,true,com.cloud.network.bigswitch.TrustingProtocolSocketFactory$1,60,60,0,62,TrustingProtocolSocketFactory.java,com/cloud/network/bigswitch/TrustingProtocolSocketFactory.java,java/com/cloud/network/bigswitch/TrustingProtocolSocketFactory.java,"In method com.cloud.network.bigswitch.TrustingProtocolSocketFactory$1.checkClientTrusted(X509Certificate[], String)",com.cloud.network.bigswitch.TrustingProtocolSocketFactory$1,checkClientTrusted,([Ljava/security/cert/X509Certificate;Ljava/lang/String;)V,false,true,At TrustingProtocolSocketFactory.java:[line 60],com.cloud.network.bigswitch.TrustingProtocolSocketFactory$1,,60,60,0,62,TrustingProtocolSocketFactory.java,com/cloud/network/bigswitch/TrustingProtocolSocketFactory.java,java/com/cloud/network/bigswitch/TrustingProtocolSocketFactory.java,,,,,,,,,,,,,WEAK_TRUST_MANAGER,2,7,SECWTM,SECURITY,5070987e1b54a842acd749b36672003a,0,0,295,true,true
TrustManager that accept any certificates,TrustManager that accept any certificates makes communication vulnerable to a MITM attack,In TrustingProtocolSocketFactory.java,com.cloud.network.bigswitch.TrustingProtocolSocketFactory$1,TrustingProtocolSocketFactory.java,com/cloud/network/bigswitch/TrustingProtocolSocketFactory.java,java/com/cloud/network/bigswitch/TrustingProtocolSocketFactory.java,In class com.cloud.network.bigswitch.TrustingProtocolSocketFactory$1,com.cloud.network.bigswitch.TrustingProtocolSocketFactory$1,true,com.cloud.network.bigswitch.TrustingProtocolSocketFactory$1,65,65,0,62,TrustingProtocolSocketFactory.java,com/cloud/network/bigswitch/TrustingProtocolSocketFactory.java,java/com/cloud/network/bigswitch/TrustingProtocolSocketFactory.java,"In method com.cloud.network.bigswitch.TrustingProtocolSocketFactory$1.checkServerTrusted(X509Certificate[], String)",com.cloud.network.bigswitch.TrustingProtocolSocketFactory$1,checkServerTrusted,([Ljava/security/cert/X509Certificate;Ljava/lang/String;)V,false,true,At TrustingProtocolSocketFactory.java:[line 65],com.cloud.network.bigswitch.TrustingProtocolSocketFactory$1,,65,65,0,62,TrustingProtocolSocketFactory.java,com/cloud/network/bigswitch/TrustingProtocolSocketFactory.java,java/com/cloud/network/bigswitch/TrustingProtocolSocketFactory.java,,,,,,,,,,,,,WEAK_TRUST_MANAGER,2,7,SECWTM,SECURITY,78e9522f9398dfaee9a67a105a58b9a0,0,0,295,true,true
TrustManager that accept any certificates,TrustManager that accept any certificates makes communication vulnerable to a MITM attack,In TrustingProtocolSocketFactory.java,com.cloud.network.bigswitch.TrustingProtocolSocketFactory$1,TrustingProtocolSocketFactory.java,com/cloud/network/bigswitch/TrustingProtocolSocketFactory.java,java/com/cloud/network/bigswitch/TrustingProtocolSocketFactory.java,In class com.cloud.network.bigswitch.TrustingProtocolSocketFactory$1,com.cloud.network.bigswitch.TrustingProtocolSocketFactory$1,true,com.cloud.network.bigswitch.TrustingProtocolSocketFactory$1,54,54,0,43,TrustingProtocolSocketFactory.java,com/cloud/network/bigswitch/TrustingProtocolSocketFactory.java,java/com/cloud/network/bigswitch/TrustingProtocolSocketFactory.java,In method com.cloud.network.bigswitch.TrustingProtocolSocketFactory$1.getAcceptedIssuers(),com.cloud.network.bigswitch.TrustingProtocolSocketFactory$1,getAcceptedIssuers,()[Ljava/security/cert/X509Certificate;,false,true,At TrustingProtocolSocketFactory.java:[line 54],com.cloud.network.bigswitch.TrustingProtocolSocketFactory$1,,54,54,0,43,TrustingProtocolSocketFactory.java,com/cloud/network/bigswitch/TrustingProtocolSocketFactory.java,java/com/cloud/network/bigswitch/TrustingProtocolSocketFactory.java,,,,,,,,,,,,,WEAK_TRUST_MANAGER,2,7,SECWTM,SECURITY,2feac36faee2d56c0c627d17ea0ae327,0,0,295,true,true
Potential CRLF Injection for logs,This use of Logger.debug(...) might be used to include CRLF characters into log messages,In BigSwitchBcfElement.java,com.cloud.network.element.BigSwitchBcfElement,BigSwitchBcfElement.java,com/cloud/network/element/BigSwitchBcfElement.java,java/com/cloud/network/element/BigSwitchBcfElement.java,In class com.cloud.network.element.BigSwitchBcfElement,com.cloud.network.element.BigSwitchBcfElement,true,com.cloud.network.element.BigSwitchBcfElement,621,659,0,684,BigSwitchBcfElement.java,com/cloud/network/element/BigSwitchBcfElement.java,java/com/cloud/network/element/BigSwitchBcfElement.java,"In method com.cloud.network.element.BigSwitchBcfElement.applyStaticNats(Network, List)",com.cloud.network.element.BigSwitchBcfElement,applyStaticNats,(Lcom/cloud/network/Network;Ljava/util/List;)Z,false,true,At BigSwitchBcfElement.java:[line 645],com.cloud.network.element.BigSwitchBcfElement,true,645,645,216,216,BigSwitchBcfElement.java,com/cloud/network/element/BigSwitchBcfElement.java,java/com/cloud/network/element/BigSwitchBcfElement.java,At BigSwitchBcfElement.java:[line 645],com.cloud.network.element.BigSwitchBcfElement,645,645,213,213,BigSwitchBcfElement.java,com/cloud/network/element/BigSwitchBcfElement.java,java/com/cloud/network/element/BigSwitchBcfElement.java,Sink method Logger.debug(...),Logger.debug(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,9461fdc7e8ad95404eb3c8c8f85c1f8c,0,1,117,,
Potential CRLF Injection for logs,This use of Logger.debug(...) might be used to include CRLF characters into log messages,In BigSwitchBcfElement.java,com.cloud.network.element.BigSwitchBcfElement,BigSwitchBcfElement.java,com/cloud/network/element/BigSwitchBcfElement.java,java/com/cloud/network/element/BigSwitchBcfElement.java,In class com.cloud.network.element.BigSwitchBcfElement,com.cloud.network.element.BigSwitchBcfElement,true,com.cloud.network.element.BigSwitchBcfElement,621,659,0,684,BigSwitchBcfElement.java,com/cloud/network/element/BigSwitchBcfElement.java,java/com/cloud/network/element/BigSwitchBcfElement.java,"In method com.cloud.network.element.BigSwitchBcfElement.applyStaticNats(Network, List)",com.cloud.network.element.BigSwitchBcfElement,applyStaticNats,(Lcom/cloud/network/Network;Ljava/util/List;)Z,false,true,At BigSwitchBcfElement.java:[line 652],com.cloud.network.element.BigSwitchBcfElement,true,652,652,299,299,BigSwitchBcfElement.java,com/cloud/network/element/BigSwitchBcfElement.java,java/com/cloud/network/element/BigSwitchBcfElement.java,At BigSwitchBcfElement.java:[line 652],com.cloud.network.element.BigSwitchBcfElement,652,652,296,296,BigSwitchBcfElement.java,com/cloud/network/element/BigSwitchBcfElement.java,java/com/cloud/network/element/BigSwitchBcfElement.java,Sink method Logger.debug(...),Logger.debug(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,9461fdc7e8ad95404eb3c8c8f85c1f8c,1,1,117,,
Potential CRLF Injection for logs,This use of Logger.debug(...) might be used to include CRLF characters into log messages,In BigSwitchBcfElement.java,com.cloud.network.element.BigSwitchBcfElement,BigSwitchBcfElement.java,com/cloud/network/element/BigSwitchBcfElement.java,java/com/cloud/network/element/BigSwitchBcfElement.java,In class com.cloud.network.element.BigSwitchBcfElement,com.cloud.network.element.BigSwitchBcfElement,true,com.cloud.network.element.BigSwitchBcfElement,197,212,0,288,BigSwitchBcfElement.java,com/cloud/network/element/BigSwitchBcfElement.java,java/com/cloud/network/element/BigSwitchBcfElement.java,"In method com.cloud.network.element.BigSwitchBcfElement.canHandle(Network, Network$Service)",com.cloud.network.element.BigSwitchBcfElement,canHandle,(Lcom/cloud/network/Network;Lcom/cloud/network/Network$Service;)Z,false,true,At BigSwitchBcfElement.java:[line 197],com.cloud.network.element.BigSwitchBcfElement,true,197,197,39,39,BigSwitchBcfElement.java,com/cloud/network/element/BigSwitchBcfElement.java,java/com/cloud/network/element/BigSwitchBcfElement.java,At BigSwitchBcfElement.java:[line 197],com.cloud.network.element.BigSwitchBcfElement,197,197,36,36,BigSwitchBcfElement.java,com/cloud/network/element/BigSwitchBcfElement.java,java/com/cloud/network/element/BigSwitchBcfElement.java,Sink method Logger.debug(...),Logger.debug(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,9d0c52b33da503a5ee6966ba7ed85bc9,0,2,117,,
Potential CRLF Injection for logs,This use of Logger.debug(...) might be used to include CRLF characters into log messages,In BigSwitchBcfElement.java,com.cloud.network.element.BigSwitchBcfElement,BigSwitchBcfElement.java,com/cloud/network/element/BigSwitchBcfElement.java,java/com/cloud/network/element/BigSwitchBcfElement.java,In class com.cloud.network.element.BigSwitchBcfElement,com.cloud.network.element.BigSwitchBcfElement,true,com.cloud.network.element.BigSwitchBcfElement,197,212,0,288,BigSwitchBcfElement.java,com/cloud/network/element/BigSwitchBcfElement.java,java/com/cloud/network/element/BigSwitchBcfElement.java,"In method com.cloud.network.element.BigSwitchBcfElement.canHandle(Network, Network$Service)",com.cloud.network.element.BigSwitchBcfElement,canHandle,(Lcom/cloud/network/Network;Lcom/cloud/network/Network$Service;)Z,false,true,At BigSwitchBcfElement.java:[line 203],com.cloud.network.element.BigSwitchBcfElement,true,203,203,105,105,BigSwitchBcfElement.java,com/cloud/network/element/BigSwitchBcfElement.java,java/com/cloud/network/element/BigSwitchBcfElement.java,At BigSwitchBcfElement.java:[line 203],com.cloud.network.element.BigSwitchBcfElement,203,203,102,102,BigSwitchBcfElement.java,com/cloud/network/element/BigSwitchBcfElement.java,java/com/cloud/network/element/BigSwitchBcfElement.java,Sink method Logger.debug(...),Logger.debug(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,9d0c52b33da503a5ee6966ba7ed85bc9,1,2,117,,
Potential CRLF Injection for logs,This use of Logger.debug(...) might be used to include CRLF characters into log messages,In BigSwitchBcfElement.java,com.cloud.network.element.BigSwitchBcfElement,BigSwitchBcfElement.java,com/cloud/network/element/BigSwitchBcfElement.java,java/com/cloud/network/element/BigSwitchBcfElement.java,In class com.cloud.network.element.BigSwitchBcfElement,com.cloud.network.element.BigSwitchBcfElement,true,com.cloud.network.element.BigSwitchBcfElement,197,212,0,288,BigSwitchBcfElement.java,com/cloud/network/element/BigSwitchBcfElement.java,java/com/cloud/network/element/BigSwitchBcfElement.java,"In method com.cloud.network.element.BigSwitchBcfElement.canHandle(Network, Network$Service)",com.cloud.network.element.BigSwitchBcfElement,canHandle,(Lcom/cloud/network/Network;Lcom/cloud/network/Network$Service;)Z,false,true,At BigSwitchBcfElement.java:[line 208],com.cloud.network.element.BigSwitchBcfElement,true,208,208,171,171,BigSwitchBcfElement.java,com/cloud/network/element/BigSwitchBcfElement.java,java/com/cloud/network/element/BigSwitchBcfElement.java,At BigSwitchBcfElement.java:[line 208],com.cloud.network.element.BigSwitchBcfElement,208,208,168,168,BigSwitchBcfElement.java,com/cloud/network/element/BigSwitchBcfElement.java,java/com/cloud/network/element/BigSwitchBcfElement.java,Sink method Logger.debug(...),Logger.debug(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,9d0c52b33da503a5ee6966ba7ed85bc9,2,2,117,,
Potential CRLF Injection for logs,This use of Logger.trace(...) might be used to include CRLF characters into log messages,In BigSwitchBcfGuestNetworkGuru.java,com.cloud.network.guru.BigSwitchBcfGuestNetworkGuru,BigSwitchBcfGuestNetworkGuru.java,com/cloud/network/guru/BigSwitchBcfGuestNetworkGuru.java,java/com/cloud/network/guru/BigSwitchBcfGuestNetworkGuru.java,In class com.cloud.network.guru.BigSwitchBcfGuestNetworkGuru,com.cloud.network.guru.BigSwitchBcfGuestNetworkGuru,true,com.cloud.network.guru.BigSwitchBcfGuestNetworkGuru,137,142,0,178,BigSwitchBcfGuestNetworkGuru.java,com/cloud/network/guru/BigSwitchBcfGuestNetworkGuru.java,java/com/cloud/network/guru/BigSwitchBcfGuestNetworkGuru.java,"In method com.cloud.network.guru.BigSwitchBcfGuestNetworkGuru.canHandle(NetworkOffering, DataCenter$NetworkType, PhysicalNetwork)",com.cloud.network.guru.BigSwitchBcfGuestNetworkGuru,canHandle,(Lcom/cloud/offering/NetworkOffering;Lcom/cloud/dc/DataCenter$NetworkType;Lcom/cloud/network/PhysicalNetwork;)Z,false,true,At BigSwitchBcfGuestNetworkGuru.java:[line 141],com.cloud.network.guru.BigSwitchBcfGuestNetworkGuru,true,141,141,77,77,BigSwitchBcfGuestNetworkGuru.java,com/cloud/network/guru/BigSwitchBcfGuestNetworkGuru.java,java/com/cloud/network/guru/BigSwitchBcfGuestNetworkGuru.java,At BigSwitchBcfGuestNetworkGuru.java:[line 141],com.cloud.network.guru.BigSwitchBcfGuestNetworkGuru,141,141,74,74,BigSwitchBcfGuestNetworkGuru.java,com/cloud/network/guru/BigSwitchBcfGuestNetworkGuru.java,java/com/cloud/network/guru/BigSwitchBcfGuestNetworkGuru.java,Sink method Logger.trace(...),Logger.trace(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,7bc5ca235be054cdcd366d12ada6b747,0,0,117,,
