ShortMessage,LongMessage,Class/SourceLine/0/Message,Class/SourceLine/0/_classname,Class/SourceLine/0/_sourcefile,Class/SourceLine/0/_sourcepath,Class/SourceLine/0/_relSourcepath,Class/Message,Class/_classname,Class/_primary,Method/SourceLine/0/_classname,Method/SourceLine/0/_start,Method/SourceLine/0/_end,Method/SourceLine/0/_startBytecode,Method/SourceLine/0/_endBytecode,Method/SourceLine/0/_sourcefile,Method/SourceLine/0/_sourcepath,Method/SourceLine/0/_relSourcepath,Method/Message,Method/_classname,Method/_name,Method/_signature,Method/_isStatic,Method/_primary,SourceLine/0/Message,SourceLine/0/_classname,SourceLine/0/_primary,SourceLine/0/_start,SourceLine/0/_end,SourceLine/0/_startBytecode,SourceLine/0/_endBytecode,SourceLine/0/_sourcefile,SourceLine/0/_sourcepath,SourceLine/0/_relSourcepath,String/0/Message,String/0/_value,_type,_priority,_rank,_abbrev,_category,_instanceHash,_instanceOccurrenceNum,_instanceOccurrenceMax,_cweid,SourceLine/1/Message,SourceLine/1/_classname,SourceLine/1/_start,SourceLine/1/_end,SourceLine/1/_startBytecode,SourceLine/1/_endBytecode,SourceLine/1/_sourcefile,SourceLine/1/_sourcepath,SourceLine/1/_relSourcepath,String/0/_role,String/1/Message,String/1/_value,String/1/_role,SourceLine/2/Message,SourceLine/2/_classname,SourceLine/2/_start,SourceLine/2/_end,SourceLine/2/_startBytecode,SourceLine/2/_endBytecode,SourceLine/2/_sourcefile,SourceLine/2/_sourcepath,SourceLine/2/_relSourcepath,SourceLine/3/Message,SourceLine/3/_classname,SourceLine/3/_start,SourceLine/3/_end,SourceLine/3/_startBytecode,SourceLine/3/_endBytecode,SourceLine/3/_sourcefile,SourceLine/3/_sourcepath,SourceLine/3/_relSourcepath,SourceLine/4/Message,SourceLine/4/_classname,SourceLine/4/_start,SourceLine/4/_end,SourceLine/4/_startBytecode,SourceLine/4/_endBytecode,SourceLine/4/_sourcefile,SourceLine/4/_sourcepath,SourceLine/4/_relSourcepath
"MD2, MD4 and MD5 are weak hash functions",MD5 is not a recommended cryptographic hash function,In SecurityGroupRulesCmd.java,com.cloud.agent.api.SecurityGroupRulesCmd,SecurityGroupRulesCmd.java,com/cloud/agent/api/SecurityGroupRulesCmd.java,java/com/cloud/agent/api/SecurityGroupRulesCmd.java,In class com.cloud.agent.api.SecurityGroupRulesCmd,com.cloud.agent.api.SecurityGroupRulesCmd,true,com.cloud.agent.api.SecurityGroupRulesCmd,105,121,0,363,SecurityGroupRulesCmd.java,com/cloud/agent/api/SecurityGroupRulesCmd.java,java/com/cloud/agent/api/SecurityGroupRulesCmd.java,"In method new com.cloud.agent.api.SecurityGroupRulesCmd(String, String, String, String, Long, String, Long, SecurityGroupRulesCmd$IpPortAndProto[], SecurityGroupRulesCmd$IpPortAndProto[], List)",com.cloud.agent.api.SecurityGroupRulesCmd,<init>,(Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;Ljava/lang/String;Ljava/lang/Long;Ljava/lang/String;Ljava/lang/Long;[Lcom/cloud/agent/api/SecurityGroupRulesCmd$IpPortAndProto;[Lcom/cloud/agent/api/SecurityGroupRulesCmd$IpPortAndProto;Ljava/util/List;)V,false,true,At SecurityGroupRulesCmd.java:[line 116],com.cloud.agent.api.SecurityGroupRulesCmd,true,116,116,63,63,SecurityGroupRulesCmd.java,com/cloud/agent/api/SecurityGroupRulesCmd.java,java/com/cloud/agent/api/SecurityGroupRulesCmd.java,Value MD5,MD5,WEAK_MESSAGE_DIGEST_MD5,1,5,SECMD5,SECURITY,d4c37a73a2316fed19dee6d90f4601cd,0,0,328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.debug(...) might be used to include CRLF characters into log messages,In VirtualRoutingResource.java,com.cloud.agent.resource.virtualnetwork.VirtualRoutingResource,VirtualRoutingResource.java,com/cloud/agent/resource/virtualnetwork/VirtualRoutingResource.java,java/com/cloud/agent/resource/virtualnetwork/VirtualRoutingResource.java,In class com.cloud.agent.resource.virtualnetwork.VirtualRoutingResource,com.cloud.agent.resource.virtualnetwork.VirtualRoutingResource,true,com.cloud.agent.resource.virtualnetwork.VirtualRoutingResource,225,256,0,794,VirtualRoutingResource.java,com/cloud/agent/resource/virtualnetwork/VirtualRoutingResource.java,java/com/cloud/agent/resource/virtualnetwork/VirtualRoutingResource.java,"In method com.cloud.agent.resource.virtualnetwork.VirtualRoutingResource.applyConfig(NetworkElementCommand, List)",com.cloud.agent.resource.virtualnetwork.VirtualRoutingResource,applyConfig,(Lcom/cloud/agent/api/routing/NetworkElementCommand;Ljava/util/List;)Lcom/cloud/agent/api/Answer;,false,true,At VirtualRoutingResource.java:[line 237],com.cloud.agent.resource.virtualnetwork.VirtualRoutingResource,true,237,237,146,146,VirtualRoutingResource.java,com/cloud/agent/resource/virtualnetwork/VirtualRoutingResource.java,java/com/cloud/agent/resource/virtualnetwork/VirtualRoutingResource.java,Sink method Logger.debug(...),Logger.debug(...),CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,8c6247f244b92fde6178d7d2db2ba002,0,0,117,At VirtualRoutingResource.java:[line 237],com.cloud.agent.resource.virtualnetwork.VirtualRoutingResource,237,237,143,143,VirtualRoutingResource.java,com/cloud/agent/resource/virtualnetwork/VirtualRoutingResource.java,java/com/cloud/agent/resource/virtualnetwork/VirtualRoutingResource.java,Sink method,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.warn(...) might be used to include CRLF characters into log messages,In VirtualRoutingResource.java,com.cloud.agent.resource.virtualnetwork.VirtualRoutingResource,VirtualRoutingResource.java,com/cloud/agent/resource/virtualnetwork/VirtualRoutingResource.java,java/com/cloud/agent/resource/virtualnetwork/VirtualRoutingResource.java,In class com.cloud.agent.resource.virtualnetwork.VirtualRoutingResource,com.cloud.agent.resource.virtualnetwork.VirtualRoutingResource,true,com.cloud.agent.resource.virtualnetwork.VirtualRoutingResource,225,256,0,794,VirtualRoutingResource.java,com/cloud/agent/resource/virtualnetwork/VirtualRoutingResource.java,java/com/cloud/agent/resource/virtualnetwork/VirtualRoutingResource.java,"In method com.cloud.agent.resource.virtualnetwork.VirtualRoutingResource.applyConfig(NetworkElementCommand, List)",com.cloud.agent.resource.virtualnetwork.VirtualRoutingResource,applyConfig,(Lcom/cloud/agent/api/routing/NetworkElementCommand;Ljava/util/List;)Lcom/cloud/agent/api/Answer;,false,true,At VirtualRoutingResource.java:[line 249],com.cloud.agent.resource.virtualnetwork.VirtualRoutingResource,true,249,249,313,313,VirtualRoutingResource.java,com/cloud/agent/resource/virtualnetwork/VirtualRoutingResource.java,java/com/cloud/agent/resource/virtualnetwork/VirtualRoutingResource.java,Sink method Logger.warn(...),Logger.warn(...),CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,9c3dc6d4d3b3fd1c99cadb279ea6eab1,0,0,117,At VirtualRoutingResource.java:[line 249],com.cloud.agent.resource.virtualnetwork.VirtualRoutingResource,249,249,310,310,VirtualRoutingResource.java,com/cloud/agent/resource/virtualnetwork/VirtualRoutingResource.java,java/com/cloud/agent/resource/virtualnetwork/VirtualRoutingResource.java,Sink method,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.debug(...) might be used to include CRLF characters into log messages,In VirtualRoutingResource.java,com.cloud.agent.resource.virtualnetwork.VirtualRoutingResource,VirtualRoutingResource.java,com/cloud/agent/resource/virtualnetwork/VirtualRoutingResource.java,java/com/cloud/agent/resource/virtualnetwork/VirtualRoutingResource.java,In class com.cloud.agent.resource.virtualnetwork.VirtualRoutingResource,com.cloud.agent.resource.virtualnetwork.VirtualRoutingResource,true,com.cloud.agent.resource.virtualnetwork.VirtualRoutingResource,331,354,0,346,VirtualRoutingResource.java,com/cloud/agent/resource/virtualnetwork/VirtualRoutingResource.java,java/com/cloud/agent/resource/virtualnetwork/VirtualRoutingResource.java,"In method com.cloud.agent.resource.virtualnetwork.VirtualRoutingResource.configure(String, Map)",com.cloud.agent.resource.virtualnetwork.VirtualRoutingResource,configure,(Ljava/lang/String;Ljava/util/Map;)Z,false,true,At VirtualRoutingResource.java:[line 346],com.cloud.agent.resource.virtualnetwork.VirtualRoutingResource,true,346,346,149,149,VirtualRoutingResource.java,com/cloud/agent/resource/virtualnetwork/VirtualRoutingResource.java,java/com/cloud/agent/resource/virtualnetwork/VirtualRoutingResource.java,Sink method Logger.debug(...),Logger.debug(...),CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,d9f46a7b23d9a7970cbc2e1d06b0183b,0,0,117,At VirtualRoutingResource.java:[line 346],com.cloud.agent.resource.virtualnetwork.VirtualRoutingResource,346,346,146,146,VirtualRoutingResource.java,com/cloud/agent/resource/virtualnetwork/VirtualRoutingResource.java,java/com/cloud/agent/resource/virtualnetwork/VirtualRoutingResource.java,Sink method,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.debug(...) might be used to include CRLF characters into log messages,In VirtualRoutingResource.java,com.cloud.agent.resource.virtualnetwork.VirtualRoutingResource,VirtualRoutingResource.java,com/cloud/agent/resource/virtualnetwork/VirtualRoutingResource.java,java/com/cloud/agent/resource/virtualnetwork/VirtualRoutingResource.java,In class com.cloud.agent.resource.virtualnetwork.VirtualRoutingResource,com.cloud.agent.resource.virtualnetwork.VirtualRoutingResource,true,com.cloud.agent.resource.virtualnetwork.VirtualRoutingResource,366,398,0,655,VirtualRoutingResource.java,com/cloud/agent/resource/virtualnetwork/VirtualRoutingResource.java,java/com/cloud/agent/resource/virtualnetwork/VirtualRoutingResource.java,"In method com.cloud.agent.resource.virtualnetwork.VirtualRoutingResource.connect(String, int, int)",com.cloud.agent.resource.virtualnetwork.VirtualRoutingResource,connect,(Ljava/lang/String;II)Z,false,true,At VirtualRoutingResource.java:[line 370],com.cloud.agent.resource.virtualnetwork.VirtualRoutingResource,true,370,370,43,43,VirtualRoutingResource.java,com/cloud/agent/resource/virtualnetwork/VirtualRoutingResource.java,java/com/cloud/agent/resource/virtualnetwork/VirtualRoutingResource.java,Sink method Logger.debug(...),Logger.debug(...),CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,61f5a730ca8c8d0d0da138c2ecffadd3,0,2,117,At VirtualRoutingResource.java:[line 370],com.cloud.agent.resource.virtualnetwork.VirtualRoutingResource,370,370,40,40,VirtualRoutingResource.java,com/cloud/agent/resource/virtualnetwork/VirtualRoutingResource.java,java/com/cloud/agent/resource/virtualnetwork/VirtualRoutingResource.java,Sink method,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.debug(...) might be used to include CRLF characters into log messages,In VirtualRoutingResource.java,com.cloud.agent.resource.virtualnetwork.VirtualRoutingResource,VirtualRoutingResource.java,com/cloud/agent/resource/virtualnetwork/VirtualRoutingResource.java,java/com/cloud/agent/resource/virtualnetwork/VirtualRoutingResource.java,In class com.cloud.agent.resource.virtualnetwork.VirtualRoutingResource,com.cloud.agent.resource.virtualnetwork.VirtualRoutingResource,true,com.cloud.agent.resource.virtualnetwork.VirtualRoutingResource,366,398,0,655,VirtualRoutingResource.java,com/cloud/agent/resource/virtualnetwork/VirtualRoutingResource.java,java/com/cloud/agent/resource/virtualnetwork/VirtualRoutingResource.java,"In method com.cloud.agent.resource.virtualnetwork.VirtualRoutingResource.connect(String, int, int)",com.cloud.agent.resource.virtualnetwork.VirtualRoutingResource,connect,(Ljava/lang/String;II)Z,false,true,At VirtualRoutingResource.java:[line 380],com.cloud.agent.resource.virtualnetwork.VirtualRoutingResource,true,380,380,134,134,VirtualRoutingResource.java,com/cloud/agent/resource/virtualnetwork/VirtualRoutingResource.java,java/com/cloud/agent/resource/virtualnetwork/VirtualRoutingResource.java,Sink method Logger.debug(...),Logger.debug(...),CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,61f5a730ca8c8d0d0da138c2ecffadd3,1,2,117,At VirtualRoutingResource.java:[line 380],com.cloud.agent.resource.virtualnetwork.VirtualRoutingResource,380,380,131,131,VirtualRoutingResource.java,com/cloud/agent/resource/virtualnetwork/VirtualRoutingResource.java,java/com/cloud/agent/resource/virtualnetwork/VirtualRoutingResource.java,Sink method,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.debug(...) might be used to include CRLF characters into log messages,In VirtualRoutingResource.java,com.cloud.agent.resource.virtualnetwork.VirtualRoutingResource,VirtualRoutingResource.java,com/cloud/agent/resource/virtualnetwork/VirtualRoutingResource.java,java/com/cloud/agent/resource/virtualnetwork/VirtualRoutingResource.java,In class com.cloud.agent.resource.virtualnetwork.VirtualRoutingResource,com.cloud.agent.resource.virtualnetwork.VirtualRoutingResource,true,com.cloud.agent.resource.virtualnetwork.VirtualRoutingResource,366,398,0,655,VirtualRoutingResource.java,com/cloud/agent/resource/virtualnetwork/VirtualRoutingResource.java,java/com/cloud/agent/resource/virtualnetwork/VirtualRoutingResource.java,"In method com.cloud.agent.resource.virtualnetwork.VirtualRoutingResource.connect(String, int, int)",com.cloud.agent.resource.virtualnetwork.VirtualRoutingResource,connect,(Ljava/lang/String;II)Z,false,true,At VirtualRoutingResource.java:[line 396],com.cloud.agent.resource.virtualnetwork.VirtualRoutingResource,true,396,396,213,213,VirtualRoutingResource.java,com/cloud/agent/resource/virtualnetwork/VirtualRoutingResource.java,java/com/cloud/agent/resource/virtualnetwork/VirtualRoutingResource.java,Sink method Logger.debug(...),Logger.debug(...),CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,61f5a730ca8c8d0d0da138c2ecffadd3,2,2,117,At VirtualRoutingResource.java:[line 396],com.cloud.agent.resource.virtualnetwork.VirtualRoutingResource,396,396,210,210,VirtualRoutingResource.java,com/cloud/agent/resource/virtualnetwork/VirtualRoutingResource.java,java/com/cloud/agent/resource/virtualnetwork/VirtualRoutingResource.java,Sink method,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.warn(...) might be used to include CRLF characters into log messages,In VirtualRoutingResource.java,com.cloud.agent.resource.virtualnetwork.VirtualRoutingResource,VirtualRoutingResource.java,com/cloud/agent/resource/virtualnetwork/VirtualRoutingResource.java,java/com/cloud/agent/resource/virtualnetwork/VirtualRoutingResource.java,In class com.cloud.agent.resource.virtualnetwork.VirtualRoutingResource,com.cloud.agent.resource.virtualnetwork.VirtualRoutingResource,true,com.cloud.agent.resource.virtualnetwork.VirtualRoutingResource,414,471,0,1283,VirtualRoutingResource.java,com/cloud/agent/resource/virtualnetwork/VirtualRoutingResource.java,java/com/cloud/agent/resource/virtualnetwork/VirtualRoutingResource.java,In method com.cloud.agent.resource.virtualnetwork.VirtualRoutingResource.execute(AggregationControlCommand),com.cloud.agent.resource.virtualnetwork.VirtualRoutingResource,execute,(Lcom/cloud/agent/api/routing/AggregationControlCommand;)Lcom/cloud/agent/api/Answer;,false,true,At VirtualRoutingResource.java:[line 436],com.cloud.agent.resource.virtualnetwork.VirtualRoutingResource,true,436,436,273,273,VirtualRoutingResource.java,com/cloud/agent/resource/virtualnetwork/VirtualRoutingResource.java,java/com/cloud/agent/resource/virtualnetwork/VirtualRoutingResource.java,Sink method Logger.warn(...),Logger.warn(...),CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,26f964b2f9ba0e6ccdba1f0c8dfde93d,0,0,117,At VirtualRoutingResource.java:[line 436],com.cloud.agent.resource.virtualnetwork.VirtualRoutingResource,436,436,270,270,VirtualRoutingResource.java,com/cloud/agent/resource/virtualnetwork/VirtualRoutingResource.java,java/com/cloud/agent/resource/virtualnetwork/VirtualRoutingResource.java,Sink method,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.debug(...) might be used to include CRLF characters into log messages,In VirtualRoutingResource.java,com.cloud.agent.resource.virtualnetwork.VirtualRoutingResource,VirtualRoutingResource.java,com/cloud/agent/resource/virtualnetwork/VirtualRoutingResource.java,java/com/cloud/agent/resource/virtualnetwork/VirtualRoutingResource.java,In class com.cloud.agent.resource.virtualnetwork.VirtualRoutingResource,com.cloud.agent.resource.virtualnetwork.VirtualRoutingResource,true,com.cloud.agent.resource.virtualnetwork.VirtualRoutingResource,414,471,0,1283,VirtualRoutingResource.java,com/cloud/agent/resource/virtualnetwork/VirtualRoutingResource.java,java/com/cloud/agent/resource/virtualnetwork/VirtualRoutingResource.java,In method com.cloud.agent.resource.virtualnetwork.VirtualRoutingResource.execute(AggregationControlCommand),com.cloud.agent.resource.virtualnetwork.VirtualRoutingResource,execute,(Lcom/cloud/agent/api/routing/AggregationControlCommand;)Lcom/cloud/agent/api/Answer;,false,true,At VirtualRoutingResource.java:[line 452],com.cloud.agent.resource.virtualnetwork.VirtualRoutingResource,true,452,452,460,460,VirtualRoutingResource.java,com/cloud/agent/resource/virtualnetwork/VirtualRoutingResource.java,java/com/cloud/agent/resource/virtualnetwork/VirtualRoutingResource.java,Sink method Logger.debug(...),Logger.debug(...),CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,10b5d1621d11fb056905322a70c207c7,0,0,117,At VirtualRoutingResource.java:[line 452],com.cloud.agent.resource.virtualnetwork.VirtualRoutingResource,452,452,457,457,VirtualRoutingResource.java,com/cloud/agent/resource/virtualnetwork/VirtualRoutingResource.java,java/com/cloud/agent/resource/virtualnetwork/VirtualRoutingResource.java,Sink method,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.error(...) might be used to include CRLF characters into log messages,In VirtualRoutingResource.java,com.cloud.agent.resource.virtualnetwork.VirtualRoutingResource,VirtualRoutingResource.java,com/cloud/agent/resource/virtualnetwork/VirtualRoutingResource.java,java/com/cloud/agent/resource/virtualnetwork/VirtualRoutingResource.java,In class com.cloud.agent.resource.virtualnetwork.VirtualRoutingResource,com.cloud.agent.resource.virtualnetwork.VirtualRoutingResource,true,com.cloud.agent.resource.virtualnetwork.VirtualRoutingResource,95,155,0,1895,VirtualRoutingResource.java,com/cloud/agent/resource/virtualnetwork/VirtualRoutingResource.java,java/com/cloud/agent/resource/virtualnetwork/VirtualRoutingResource.java,In method com.cloud.agent.resource.virtualnetwork.VirtualRoutingResource.executeRequest(NetworkElementCommand),com.cloud.agent.resource.virtualnetwork.VirtualRoutingResource,executeRequest,(Lcom/cloud/agent/api/routing/NetworkElementCommand;)Lcom/cloud/agent/api/Answer;,false,true,At VirtualRoutingResource.java:[line 109],com.cloud.agent.resource.virtualnetwork.VirtualRoutingResource,true,109,109,118,118,VirtualRoutingResource.java,com/cloud/agent/resource/virtualnetwork/VirtualRoutingResource.java,java/com/cloud/agent/resource/virtualnetwork/VirtualRoutingResource.java,Sink method Logger.error(...),Logger.error(...),CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,789734a44a694f3cc37e03e0110a0120,0,1,117,At VirtualRoutingResource.java:[line 109],com.cloud.agent.resource.virtualnetwork.VirtualRoutingResource,109,109,115,115,VirtualRoutingResource.java,com/cloud/agent/resource/virtualnetwork/VirtualRoutingResource.java,java/com/cloud/agent/resource/virtualnetwork/VirtualRoutingResource.java,Sink method,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
