ShortMessage,LongMessage,Class/SourceLine/Message,Class/SourceLine/_classname,Class/SourceLine/_sourcefile,Class/SourceLine/_sourcepath,Class/SourceLine/_relSourcepath,Class/Message,Class/_classname,Class/_primary,Method/SourceLine/_classname,Method/SourceLine/_sourcefile,Method/SourceLine/_sourcepath,Method/SourceLine/_relSourcepath,Method/SourceLine/_synthetic,Method/Message,Method/_classname,Method/_name,Method/_signature,Method/_isStatic,Method/_primary,SourceLine/Message,SourceLine/_classname,SourceLine/_sourcefile,SourceLine/_sourcepath,SourceLine/_relSourcepath,SourceLine/_synthetic,_type,_priority,_rank,_abbrev,_category,_instanceHash,_instanceOccurrenceNum,_instanceOccurrenceMax,Method/SourceLine/_start,Method/SourceLine/_end,Method/SourceLine/_startBytecode,Method/SourceLine/_endBytecode,SourceLine/_start,SourceLine/_end,SourceLine/_startBytecode,SourceLine/_endBytecode
Found JAX-RS REST endpoint,org.apache.cloudstack.engine.datacenter.entity.api.ZoneEntity.org.apache.cloudstack.engine.datacenter.entity.api.ZoneEntity.listPods() is a REST Web Service endpoint,In ZoneEntity.java,org.apache.cloudstack.engine.datacenter.entity.api.ZoneEntity,ZoneEntity.java,org/apache/cloudstack/engine/datacenter/entity/api/ZoneEntity.java,java/org/apache/cloudstack/engine/datacenter/entity/api/ZoneEntity.java,In class org.apache.cloudstack.engine.datacenter.entity.api.ZoneEntity,org.apache.cloudstack.engine.datacenter.entity.api.ZoneEntity,true,org.apache.cloudstack.engine.datacenter.entity.api.ZoneEntity,ZoneEntity.java,org/apache/cloudstack/engine/datacenter/entity/api/ZoneEntity.java,java/org/apache/cloudstack/engine/datacenter/entity/api/ZoneEntity.java,true,In method org.apache.cloudstack.engine.datacenter.entity.api.ZoneEntity.listPods(),org.apache.cloudstack.engine.datacenter.entity.api.ZoneEntity,listPods,()Ljava/util/List;,false,true,In ZoneEntity.java,org.apache.cloudstack.engine.datacenter.entity.api.ZoneEntity,ZoneEntity.java,org/apache/cloudstack/engine/datacenter/entity/api/ZoneEntity.java,java/org/apache/cloudstack/engine/datacenter/entity/api/ZoneEntity.java,true,JAXRS_ENDPOINT,3,10,SECJRS,SECURITY,3f0dbddf977359fe8e00dac68aceb2b6,0,0,,,,,,,,
Found JAX-RS REST endpoint,"org.apache.cloudstack.engine.rest.service.api.ClusterRestService.org.apache.cloudstack.engine.rest.service.api.ClusterRestService.create(String, String) is a REST Web Service endpoint",In ClusterRestService.java,org.apache.cloudstack.engine.rest.service.api.ClusterRestService,ClusterRestService.java,org/apache/cloudstack/engine/rest/service/api/ClusterRestService.java,java/org/apache/cloudstack/engine/rest/service/api/ClusterRestService.java,In class org.apache.cloudstack.engine.rest.service.api.ClusterRestService,org.apache.cloudstack.engine.rest.service.api.ClusterRestService,true,org.apache.cloudstack.engine.rest.service.api.ClusterRestService,ClusterRestService.java,org/apache/cloudstack/engine/rest/service/api/ClusterRestService.java,java/org/apache/cloudstack/engine/rest/service/api/ClusterRestService.java,true,"In method org.apache.cloudstack.engine.rest.service.api.ClusterRestService.create(String, String)",org.apache.cloudstack.engine.rest.service.api.ClusterRestService,create,(Ljava/lang/String;Ljava/lang/String;)Lorg/apache/cloudstack/engine/datacenter/entity/api/ClusterEntity;,false,true,At ClusterRestService.java:[line 78],org.apache.cloudstack.engine.rest.service.api.ClusterRestService,ClusterRestService.java,org/apache/cloudstack/engine/rest/service/api/ClusterRestService.java,java/org/apache/cloudstack/engine/rest/service/api/ClusterRestService.java,true,JAXRS_ENDPOINT,3,10,SECJRS,SECURITY,9cab23bbb2600043a0e6ca0318938336,0,0,78,78,0,63,78,78,0,63
Found JAX-RS REST endpoint,org.apache.cloudstack.engine.rest.service.api.ClusterRestService.org.apache.cloudstack.engine.rest.service.api.ClusterRestService.deactivate(String) is a REST Web Service endpoint,In ClusterRestService.java,org.apache.cloudstack.engine.rest.service.api.ClusterRestService,ClusterRestService.java,org/apache/cloudstack/engine/rest/service/api/ClusterRestService.java,java/org/apache/cloudstack/engine/rest/service/api/ClusterRestService.java,In class org.apache.cloudstack.engine.rest.service.api.ClusterRestService,org.apache.cloudstack.engine.rest.service.api.ClusterRestService,true,org.apache.cloudstack.engine.rest.service.api.ClusterRestService,ClusterRestService.java,org/apache/cloudstack/engine/rest/service/api/ClusterRestService.java,java/org/apache/cloudstack/engine/rest/service/api/ClusterRestService.java,true,In method org.apache.cloudstack.engine.rest.service.api.ClusterRestService.deactivate(String),org.apache.cloudstack.engine.rest.service.api.ClusterRestService,deactivate,(Ljava/lang/String;)Ljava/lang/String;,false,true,At ClusterRestService.java:[line 66],org.apache.cloudstack.engine.rest.service.api.ClusterRestService,ClusterRestService.java,org/apache/cloudstack/engine/rest/service/api/ClusterRestService.java,java/org/apache/cloudstack/engine/rest/service/api/ClusterRestService.java,true,JAXRS_ENDPOINT,3,10,SECJRS,SECURITY,d3d819ac82d28530d65e562d41f19819,0,0,66,66,0,53,66,66,0,53
Found JAX-RS REST endpoint,org.apache.cloudstack.engine.rest.service.api.ClusterRestService.org.apache.cloudstack.engine.rest.service.api.ClusterRestService.disable(String) is a REST Web Service endpoint,In ClusterRestService.java,org.apache.cloudstack.engine.rest.service.api.ClusterRestService,ClusterRestService.java,org/apache/cloudstack/engine/rest/service/api/ClusterRestService.java,java/org/apache/cloudstack/engine/rest/service/api/ClusterRestService.java,In class org.apache.cloudstack.engine.rest.service.api.ClusterRestService,org.apache.cloudstack.engine.rest.service.api.ClusterRestService,true,org.apache.cloudstack.engine.rest.service.api.ClusterRestService,ClusterRestService.java,org/apache/cloudstack/engine/rest/service/api/ClusterRestService.java,java/org/apache/cloudstack/engine/rest/service/api/ClusterRestService.java,true,In method org.apache.cloudstack.engine.rest.service.api.ClusterRestService.disable(String),org.apache.cloudstack.engine.rest.service.api.ClusterRestService,disable,(Ljava/lang/String;)Ljava/lang/String;,false,true,At ClusterRestService.java:[line 60],org.apache.cloudstack.engine.rest.service.api.ClusterRestService,ClusterRestService.java,org/apache/cloudstack/engine/rest/service/api/ClusterRestService.java,java/org/apache/cloudstack/engine/rest/service/api/ClusterRestService.java,true,JAXRS_ENDPOINT,3,10,SECJRS,SECURITY,c0d697b6e65557d8890b73b4c156c88d,0,0,60,60,0,53,60,60,0,53
Found JAX-RS REST endpoint,org.apache.cloudstack.engine.rest.service.api.ClusterRestService.org.apache.cloudstack.engine.rest.service.api.ClusterRestService.enable(String) is a REST Web Service endpoint,In ClusterRestService.java,org.apache.cloudstack.engine.rest.service.api.ClusterRestService,ClusterRestService.java,org/apache/cloudstack/engine/rest/service/api/ClusterRestService.java,java/org/apache/cloudstack/engine/rest/service/api/ClusterRestService.java,In class org.apache.cloudstack.engine.rest.service.api.ClusterRestService,org.apache.cloudstack.engine.rest.service.api.ClusterRestService,true,org.apache.cloudstack.engine.rest.service.api.ClusterRestService,ClusterRestService.java,org/apache/cloudstack/engine/rest/service/api/ClusterRestService.java,java/org/apache/cloudstack/engine/rest/service/api/ClusterRestService.java,true,In method org.apache.cloudstack.engine.rest.service.api.ClusterRestService.enable(String),org.apache.cloudstack.engine.rest.service.api.ClusterRestService,enable,(Ljava/lang/String;)Ljava/lang/String;,false,true,At ClusterRestService.java:[line 54],org.apache.cloudstack.engine.rest.service.api.ClusterRestService,ClusterRestService.java,org/apache/cloudstack/engine/rest/service/api/ClusterRestService.java,java/org/apache/cloudstack/engine/rest/service/api/ClusterRestService.java,true,JAXRS_ENDPOINT,3,10,SECJRS,SECURITY,71e60cf2878554f5bc2755245622788f,0,0,54,54,0,53,54,54,0,53
Found JAX-RS REST endpoint,org.apache.cloudstack.engine.rest.service.api.ClusterRestService.org.apache.cloudstack.engine.rest.service.api.ClusterRestService.get(String) is a REST Web Service endpoint,In ClusterRestService.java,org.apache.cloudstack.engine.rest.service.api.ClusterRestService,ClusterRestService.java,org/apache/cloudstack/engine/rest/service/api/ClusterRestService.java,java/org/apache/cloudstack/engine/rest/service/api/ClusterRestService.java,In class org.apache.cloudstack.engine.rest.service.api.ClusterRestService,org.apache.cloudstack.engine.rest.service.api.ClusterRestService,true,org.apache.cloudstack.engine.rest.service.api.ClusterRestService,ClusterRestService.java,org/apache/cloudstack/engine/rest/service/api/ClusterRestService.java,java/org/apache/cloudstack/engine/rest/service/api/ClusterRestService.java,true,In method org.apache.cloudstack.engine.rest.service.api.ClusterRestService.get(String),org.apache.cloudstack.engine.rest.service.api.ClusterRestService,get,(Ljava/lang/String;)Lorg/apache/cloudstack/engine/datacenter/entity/api/ClusterEntity;,false,true,At ClusterRestService.java:[line 48],org.apache.cloudstack.engine.rest.service.api.ClusterRestService,ClusterRestService.java,org/apache/cloudstack/engine/rest/service/api/ClusterRestService.java,java/org/apache/cloudstack/engine/rest/service/api/ClusterRestService.java,true,JAXRS_ENDPOINT,3,10,SECJRS,SECURITY,e515f40742ea789b328bad981a4c163d,0,0,48,48,0,53,48,48,0,53
Found JAX-RS REST endpoint,org.apache.cloudstack.engine.rest.service.api.ClusterRestService.org.apache.cloudstack.engine.rest.service.api.ClusterRestService.listAll() is a REST Web Service endpoint,In ClusterRestService.java,org.apache.cloudstack.engine.rest.service.api.ClusterRestService,ClusterRestService.java,org/apache/cloudstack/engine/rest/service/api/ClusterRestService.java,java/org/apache/cloudstack/engine/rest/service/api/ClusterRestService.java,In class org.apache.cloudstack.engine.rest.service.api.ClusterRestService,org.apache.cloudstack.engine.rest.service.api.ClusterRestService,true,org.apache.cloudstack.engine.rest.service.api.ClusterRestService,ClusterRestService.java,org/apache/cloudstack/engine/rest/service/api/ClusterRestService.java,java/org/apache/cloudstack/engine/rest/service/api/ClusterRestService.java,true,In method org.apache.cloudstack.engine.rest.service.api.ClusterRestService.listAll(),org.apache.cloudstack.engine.rest.service.api.ClusterRestService,listAll,()Ljava/util/List;,false,true,At ClusterRestService.java:[line 42],org.apache.cloudstack.engine.rest.service.api.ClusterRestService,ClusterRestService.java,org/apache/cloudstack/engine/rest/service/api/ClusterRestService.java,java/org/apache/cloudstack/engine/rest/service/api/ClusterRestService.java,true,JAXRS_ENDPOINT,3,10,SECJRS,SECURITY,8a021335742f43bf64bc7365f00c00e1,0,0,42,42,0,43,42,42,0,43
Found JAX-RS REST endpoint,org.apache.cloudstack.engine.rest.service.api.ClusterRestService.org.apache.cloudstack.engine.rest.service.api.ClusterRestService.reactivate(String) is a REST Web Service endpoint,In ClusterRestService.java,org.apache.cloudstack.engine.rest.service.api.ClusterRestService,ClusterRestService.java,org/apache/cloudstack/engine/rest/service/api/ClusterRestService.java,java/org/apache/cloudstack/engine/rest/service/api/ClusterRestService.java,In class org.apache.cloudstack.engine.rest.service.api.ClusterRestService,org.apache.cloudstack.engine.rest.service.api.ClusterRestService,true,org.apache.cloudstack.engine.rest.service.api.ClusterRestService,ClusterRestService.java,org/apache/cloudstack/engine/rest/service/api/ClusterRestService.java,java/org/apache/cloudstack/engine/rest/service/api/ClusterRestService.java,true,In method org.apache.cloudstack.engine.rest.service.api.ClusterRestService.reactivate(String),org.apache.cloudstack.engine.rest.service.api.ClusterRestService,reactivate,(Ljava/lang/String;)Ljava/lang/String;,false,true,At ClusterRestService.java:[line 72],org.apache.cloudstack.engine.rest.service.api.ClusterRestService,ClusterRestService.java,org/apache/cloudstack/engine/rest/service/api/ClusterRestService.java,java/org/apache/cloudstack/engine/rest/service/api/ClusterRestService.java,true,JAXRS_ENDPOINT,3,10,SECJRS,SECURITY,c950a0479f3aa73c98266f665d2316d0,0,0,72,72,0,53,72,72,0,53
Found JAX-RS REST endpoint,org.apache.cloudstack.engine.rest.service.api.ClusterRestService.org.apache.cloudstack.engine.rest.service.api.ClusterRestService.update(String) is a REST Web Service endpoint,In ClusterRestService.java,org.apache.cloudstack.engine.rest.service.api.ClusterRestService,ClusterRestService.java,org/apache/cloudstack/engine/rest/service/api/ClusterRestService.java,java/org/apache/cloudstack/engine/rest/service/api/ClusterRestService.java,In class org.apache.cloudstack.engine.rest.service.api.ClusterRestService,org.apache.cloudstack.engine.rest.service.api.ClusterRestService,true,org.apache.cloudstack.engine.rest.service.api.ClusterRestService,ClusterRestService.java,org/apache/cloudstack/engine/rest/service/api/ClusterRestService.java,java/org/apache/cloudstack/engine/rest/service/api/ClusterRestService.java,true,In method org.apache.cloudstack.engine.rest.service.api.ClusterRestService.update(String),org.apache.cloudstack.engine.rest.service.api.ClusterRestService,update,(Ljava/lang/String;)Lorg/apache/cloudstack/engine/datacenter/entity/api/ClusterEntity;,false,true,At ClusterRestService.java:[line 84],org.apache.cloudstack.engine.rest.service.api.ClusterRestService,ClusterRestService.java,org/apache/cloudstack/engine/rest/service/api/ClusterRestService.java,java/org/apache/cloudstack/engine/rest/service/api/ClusterRestService.java,true,JAXRS_ENDPOINT,3,10,SECJRS,SECURITY,17b88895c8dca68f10be76a325537b19,0,0,84,84,0,53,84,84,0,53
Found JAX-RS REST endpoint,"org.apache.cloudstack.engine.rest.service.api.NetworkRestService.org.apache.cloudstack.engine.rest.service.api.NetworkRestService.create(String, String) is a REST Web Service endpoint",In NetworkRestService.java,org.apache.cloudstack.engine.rest.service.api.NetworkRestService,NetworkRestService.java,org/apache/cloudstack/engine/rest/service/api/NetworkRestService.java,java/org/apache/cloudstack/engine/rest/service/api/NetworkRestService.java,In class org.apache.cloudstack.engine.rest.service.api.NetworkRestService,org.apache.cloudstack.engine.rest.service.api.NetworkRestService,true,org.apache.cloudstack.engine.rest.service.api.NetworkRestService,NetworkRestService.java,org/apache/cloudstack/engine/rest/service/api/NetworkRestService.java,java/org/apache/cloudstack/engine/rest/service/api/NetworkRestService.java,true,"In method org.apache.cloudstack.engine.rest.service.api.NetworkRestService.create(String, String)",org.apache.cloudstack.engine.rest.service.api.NetworkRestService,create,(Ljava/lang/String;Ljava/lang/String;)Lorg/apache/cloudstack/engine/cloud/entity/api/NetworkEntity;,false,true,At NetworkRestService.java:[line 38],org.apache.cloudstack.engine.rest.service.api.NetworkRestService,NetworkRestService.java,org/apache/cloudstack/engine/rest/service/api/NetworkRestService.java,java/org/apache/cloudstack/engine/rest/service/api/NetworkRestService.java,true,JAXRS_ENDPOINT,3,10,SECJRS,SECURITY,d421afcfed30714769125ccdbc0fa381,0,0,38,38,0,63,38,38,0,63
Found JAX-RS REST endpoint,org.apache.cloudstack.engine.rest.service.api.NetworkRestService.org.apache.cloudstack.engine.rest.service.api.NetworkRestService.deploy(String) is a REST Web Service endpoint,In NetworkRestService.java,org.apache.cloudstack.engine.rest.service.api.NetworkRestService,NetworkRestService.java,org/apache/cloudstack/engine/rest/service/api/NetworkRestService.java,java/org/apache/cloudstack/engine/rest/service/api/NetworkRestService.java,In class org.apache.cloudstack.engine.rest.service.api.NetworkRestService,org.apache.cloudstack.engine.rest.service.api.NetworkRestService,true,org.apache.cloudstack.engine.rest.service.api.NetworkRestService,NetworkRestService.java,org/apache/cloudstack/engine/rest/service/api/NetworkRestService.java,java/org/apache/cloudstack/engine/rest/service/api/NetworkRestService.java,true,In method org.apache.cloudstack.engine.rest.service.api.NetworkRestService.deploy(String),org.apache.cloudstack.engine.rest.service.api.NetworkRestService,deploy,(Ljava/lang/String;)Ljava/lang/String;,false,true,At NetworkRestService.java:[line 56],org.apache.cloudstack.engine.rest.service.api.NetworkRestService,NetworkRestService.java,org/apache/cloudstack/engine/rest/service/api/NetworkRestService.java,java/org/apache/cloudstack/engine/rest/service/api/NetworkRestService.java,true,JAXRS_ENDPOINT,3,10,SECJRS,SECURITY,c5a84c7529fdaf7bd6fed0642e65f34c,0,0,56,56,0,53,56,56,0,53
Found JAX-RS REST endpoint,org.apache.cloudstack.engine.rest.service.api.NetworkRestService.org.apache.cloudstack.engine.rest.service.api.NetworkRestService.get(String) is a REST Web Service endpoint,In NetworkRestService.java,org.apache.cloudstack.engine.rest.service.api.NetworkRestService,NetworkRestService.java,org/apache/cloudstack/engine/rest/service/api/NetworkRestService.java,java/org/apache/cloudstack/engine/rest/service/api/NetworkRestService.java,In class org.apache.cloudstack.engine.rest.service.api.NetworkRestService,org.apache.cloudstack.engine.rest.service.api.NetworkRestService,true,org.apache.cloudstack.engine.rest.service.api.NetworkRestService,NetworkRestService.java,org/apache/cloudstack/engine/rest/service/api/NetworkRestService.java,java/org/apache/cloudstack/engine/rest/service/api/NetworkRestService.java,true,In method org.apache.cloudstack.engine.rest.service.api.NetworkRestService.get(String),org.apache.cloudstack.engine.rest.service.api.NetworkRestService,get,(Ljava/lang/String;)Lorg/apache/cloudstack/engine/cloud/entity/api/NetworkEntity;,false,true,At NetworkRestService.java:[line 44],org.apache.cloudstack.engine.rest.service.api.NetworkRestService,NetworkRestService.java,org/apache/cloudstack/engine/rest/service/api/NetworkRestService.java,java/org/apache/cloudstack/engine/rest/service/api/NetworkRestService.java,true,JAXRS_ENDPOINT,3,10,SECJRS,SECURITY,36b4bd114e888417863fa9606517b741,0,0,44,44,0,53,44,44,0,53
Found JAX-RS REST endpoint,org.apache.cloudstack.engine.rest.service.api.NetworkRestService.org.apache.cloudstack.engine.rest.service.api.NetworkRestService.listAll() is a REST Web Service endpoint,In NetworkRestService.java,org.apache.cloudstack.engine.rest.service.api.NetworkRestService,NetworkRestService.java,org/apache/cloudstack/engine/rest/service/api/NetworkRestService.java,java/org/apache/cloudstack/engine/rest/service/api/NetworkRestService.java,In class org.apache.cloudstack.engine.rest.service.api.NetworkRestService,org.apache.cloudstack.engine.rest.service.api.NetworkRestService,true,org.apache.cloudstack.engine.rest.service.api.NetworkRestService,NetworkRestService.java,org/apache/cloudstack/engine/rest/service/api/NetworkRestService.java,java/org/apache/cloudstack/engine/rest/service/api/NetworkRestService.java,true,In method org.apache.cloudstack.engine.rest.service.api.NetworkRestService.listAll(),org.apache.cloudstack.engine.rest.service.api.NetworkRestService,listAll,()Ljava/util/List;,false,true,At NetworkRestService.java:[line 50],org.apache.cloudstack.engine.rest.service.api.NetworkRestService,NetworkRestService.java,org/apache/cloudstack/engine/rest/service/api/NetworkRestService.java,java/org/apache/cloudstack/engine/rest/service/api/NetworkRestService.java,true,JAXRS_ENDPOINT,3,10,SECJRS,SECURITY,223920fdd55f5b6584de7857a9ca84fc,0,0,50,50,0,43,50,50,0,43
