ShortMessage,LongMessage,Class/SourceLine/0/Message,Class/SourceLine/0/_classname,Class/SourceLine/0/_sourcefile,Class/SourceLine/0/_sourcepath,Class/SourceLine/0/_relSourcepath,Class/Message,Class/_classname,Class/_primary,Method/SourceLine/0/_classname,Method/SourceLine/0/_start,Method/SourceLine/0/_end,Method/SourceLine/0/_startBytecode,Method/SourceLine/0/_endBytecode,Method/SourceLine/0/_sourcefile,Method/SourceLine/0/_sourcepath,Method/SourceLine/0/_relSourcepath,Method/Message,Method/_classname,Method/_name,Method/_signature,Method/_isStatic,Method/_primary,SourceLine/0/Message,SourceLine/0/_classname,SourceLine/0/_primary,SourceLine/0/_start,SourceLine/0/_end,SourceLine/0/_startBytecode,SourceLine/0/_endBytecode,SourceLine/0/_sourcefile,SourceLine/0/_sourcepath,SourceLine/0/_relSourcepath,SourceLine/1/Message,SourceLine/1/_classname,SourceLine/1/_start,SourceLine/1/_end,SourceLine/1/_startBytecode,SourceLine/1/_endBytecode,SourceLine/1/_sourcefile,SourceLine/1/_sourcepath,SourceLine/1/_relSourcepath,String/0/Message,String/0/_value,String/0/_role,_type,_priority,_rank,_abbrev,_category,_instanceHash,_instanceOccurrenceNum,_instanceOccurrenceMax,_cweid,Method/SourceLine/0/_synthetic,SourceLine/0/_synthetic,SourceLine/2/Message,SourceLine/2/_classname,SourceLine/2/_start,SourceLine/2/_end,SourceLine/2/_startBytecode,SourceLine/2/_endBytecode,SourceLine/2/_sourcefile,SourceLine/2/_sourcepath,SourceLine/2/_relSourcepath,String/1/Message,String/1/_value,String/1/_role
Potential CRLF Injection for logs,This use of Logger.warn(...) might be used to include CRLF characters into log messages,In NexentaPrimaryDataStoreLifeCycle.java,org.apache.cloudstack.storage.datastore.lifecylce.NexentaPrimaryDataStoreLifeCycle,NexentaPrimaryDataStoreLifeCycle.java,org/apache/cloudstack/storage/datastore/lifecylce/NexentaPrimaryDataStoreLifeCycle.java,java/org/apache/cloudstack/storage/datastore/lifecylce/NexentaPrimaryDataStoreLifeCycle.java,In class org.apache.cloudstack.storage.datastore.lifecylce.NexentaPrimaryDataStoreLifeCycle,org.apache.cloudstack.storage.datastore.lifecylce.NexentaPrimaryDataStoreLifeCycle,true,org.apache.cloudstack.storage.datastore.lifecylce.NexentaPrimaryDataStoreLifeCycle,130,149,0,540,NexentaPrimaryDataStoreLifeCycle.java,org/apache/cloudstack/storage/datastore/lifecylce/NexentaPrimaryDataStoreLifeCycle.java,java/org/apache/cloudstack/storage/datastore/lifecylce/NexentaPrimaryDataStoreLifeCycle.java,"In method org.apache.cloudstack.storage.datastore.lifecylce.NexentaPrimaryDataStoreLifeCycle.attachZone(DataStore, ZoneScope, Hypervisor$HypervisorType)",org.apache.cloudstack.storage.datastore.lifecylce.NexentaPrimaryDataStoreLifeCycle,attachZone,(Lorg/apache/cloudstack/engine/subsystem/api/storage/DataStore;Lorg/apache/cloudstack/engine/subsystem/api/storage/ZoneScope;Lcom/cloud/hypervisor/Hypervisor$HypervisorType;)Z,false,true,At NexentaPrimaryDataStoreLifeCycle.java:[line 145],org.apache.cloudstack.storage.datastore.lifecylce.NexentaPrimaryDataStoreLifeCycle,true,145,145,201,201,NexentaPrimaryDataStoreLifeCycle.java,org/apache/cloudstack/storage/datastore/lifecylce/NexentaPrimaryDataStoreLifeCycle.java,java/org/apache/cloudstack/storage/datastore/lifecylce/NexentaPrimaryDataStoreLifeCycle.java,At NexentaPrimaryDataStoreLifeCycle.java:[line 145],org.apache.cloudstack.storage.datastore.lifecylce.NexentaPrimaryDataStoreLifeCycle,145,145,196,196,NexentaPrimaryDataStoreLifeCycle.java,org/apache/cloudstack/storage/datastore/lifecylce/NexentaPrimaryDataStoreLifeCycle.java,java/org/apache/cloudstack/storage/datastore/lifecylce/NexentaPrimaryDataStoreLifeCycle.java,Sink method Logger.warn(...),Logger.warn(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,8d4a12be620acc1c2d540387e451eb11,0,0,117,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.debug(...) might be used to include CRLF characters into log messages,In NexentaNmsClient.java,org.apache.cloudstack.storage.datastore.util.NexentaNmsClient,NexentaNmsClient.java,org/apache/cloudstack/storage/datastore/util/NexentaNmsClient.java,java/org/apache/cloudstack/storage/datastore/util/NexentaNmsClient.java,In class org.apache.cloudstack.storage.datastore.util.NexentaNmsClient,org.apache.cloudstack.storage.datastore.util.NexentaNmsClient,true,org.apache.cloudstack.storage.datastore.util.NexentaNmsClient,184,234,0,1367,NexentaNmsClient.java,org/apache/cloudstack/storage/datastore/util/NexentaNmsClient.java,java/org/apache/cloudstack/storage/datastore/util/NexentaNmsClient.java,"In method org.apache.cloudstack.storage.datastore.util.NexentaNmsClient.execute(Class, String, String, Object[])",org.apache.cloudstack.storage.datastore.util.NexentaNmsClient,execute,(Ljava/lang/Class;Ljava/lang/String;Ljava/lang/String;[Ljava/lang/Object;)Lorg/apache/cloudstack/storage/datastore/util/NexentaNmsClient$NmsResponse;,false,true,At NexentaNmsClient.java:[line 187],org.apache.cloudstack.storage.datastore.util.NexentaNmsClient,true,187,187,36,36,NexentaNmsClient.java,org/apache/cloudstack/storage/datastore/util/NexentaNmsClient.java,java/org/apache/cloudstack/storage/datastore/util/NexentaNmsClient.java,At NexentaNmsClient.java:[line 185],org.apache.cloudstack.storage.datastore.util.NexentaNmsClient,185,185,17,17,NexentaNmsClient.java,org/apache/cloudstack/storage/datastore/util/NexentaNmsClient.java,java/org/apache/cloudstack/storage/datastore/util/NexentaNmsClient.java,Sink method Logger.debug(...),Logger.debug(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,747d30f3d06e7bd521aecd9bac32f380,0,2,117,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.debug(...) might be used to include CRLF characters into log messages,In NexentaNmsClient.java,org.apache.cloudstack.storage.datastore.util.NexentaNmsClient,NexentaNmsClient.java,org/apache/cloudstack/storage/datastore/util/NexentaNmsClient.java,java/org/apache/cloudstack/storage/datastore/util/NexentaNmsClient.java,In class org.apache.cloudstack.storage.datastore.util.NexentaNmsClient,org.apache.cloudstack.storage.datastore.util.NexentaNmsClient,true,org.apache.cloudstack.storage.datastore.util.NexentaNmsClient,184,234,0,1367,NexentaNmsClient.java,org/apache/cloudstack/storage/datastore/util/NexentaNmsClient.java,java/org/apache/cloudstack/storage/datastore/util/NexentaNmsClient.java,"In method org.apache.cloudstack.storage.datastore.util.NexentaNmsClient.execute(Class, String, String, Object[])",org.apache.cloudstack.storage.datastore.util.NexentaNmsClient,execute,(Ljava/lang/Class;Ljava/lang/String;Ljava/lang/String;[Ljava/lang/Object;)Lorg/apache/cloudstack/storage/datastore/util/NexentaNmsClient$NmsResponse;,false,true,At NexentaNmsClient.java:[line 219],org.apache.cloudstack.storage.datastore.util.NexentaNmsClient,true,219,219,411,411,NexentaNmsClient.java,org/apache/cloudstack/storage/datastore/util/NexentaNmsClient.java,java/org/apache/cloudstack/storage/datastore/util/NexentaNmsClient.java,At NexentaNmsClient.java:[line 219],org.apache.cloudstack.storage.datastore.util.NexentaNmsClient,219,219,408,408,NexentaNmsClient.java,org/apache/cloudstack/storage/datastore/util/NexentaNmsClient.java,java/org/apache/cloudstack/storage/datastore/util/NexentaNmsClient.java,Sink method Logger.debug(...),Logger.debug(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,747d30f3d06e7bd521aecd9bac32f380,1,2,117,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.debug(...) might be used to include CRLF characters into log messages,In NexentaNmsClient.java,org.apache.cloudstack.storage.datastore.util.NexentaNmsClient,NexentaNmsClient.java,org/apache/cloudstack/storage/datastore/util/NexentaNmsClient.java,java/org/apache/cloudstack/storage/datastore/util/NexentaNmsClient.java,In class org.apache.cloudstack.storage.datastore.util.NexentaNmsClient,org.apache.cloudstack.storage.datastore.util.NexentaNmsClient,true,org.apache.cloudstack.storage.datastore.util.NexentaNmsClient,184,234,0,1367,NexentaNmsClient.java,org/apache/cloudstack/storage/datastore/util/NexentaNmsClient.java,java/org/apache/cloudstack/storage/datastore/util/NexentaNmsClient.java,"In method org.apache.cloudstack.storage.datastore.util.NexentaNmsClient.execute(Class, String, String, Object[])",org.apache.cloudstack.storage.datastore.util.NexentaNmsClient,execute,(Ljava/lang/Class;Ljava/lang/String;Ljava/lang/String;[Ljava/lang/Object;)Lorg/apache/cloudstack/storage/datastore/util/NexentaNmsClient$NmsResponse;,false,true,At NexentaNmsClient.java:[line 226],org.apache.cloudstack.storage.datastore.util.NexentaNmsClient,true,226,226,456,456,NexentaNmsClient.java,org/apache/cloudstack/storage/datastore/util/NexentaNmsClient.java,java/org/apache/cloudstack/storage/datastore/util/NexentaNmsClient.java,At NexentaNmsClient.java:[line 226],org.apache.cloudstack.storage.datastore.util.NexentaNmsClient,226,226,453,453,NexentaNmsClient.java,org/apache/cloudstack/storage/datastore/util/NexentaNmsClient.java,java/org/apache/cloudstack/storage/datastore/util/NexentaNmsClient.java,Sink method Logger.debug(...),Logger.debug(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,747d30f3d06e7bd521aecd9bac32f380,2,2,117,,,,,,,,,,,,,,
TrustManager that accept any certificates,TrustManager that accept any certificates makes communication vulnerable to a MITM attack,In NexentaNmsClient.java,org.apache.cloudstack.storage.datastore.util.NexentaNmsClient$1,NexentaNmsClient.java,org/apache/cloudstack/storage/datastore/util/NexentaNmsClient.java,java/org/apache/cloudstack/storage/datastore/util/NexentaNmsClient.java,In class org.apache.cloudstack.storage.datastore.util.NexentaNmsClient$1,org.apache.cloudstack.storage.datastore.util.NexentaNmsClient$1,true,org.apache.cloudstack.storage.datastore.util.NexentaNmsClient$1,89,89,0,62,NexentaNmsClient.java,org/apache/cloudstack/storage/datastore/util/NexentaNmsClient.java,java/org/apache/cloudstack/storage/datastore/util/NexentaNmsClient.java,"In method org.apache.cloudstack.storage.datastore.util.NexentaNmsClient$1.checkClientTrusted(X509Certificate[], String)",org.apache.cloudstack.storage.datastore.util.NexentaNmsClient$1,checkClientTrusted,([Ljava/security/cert/X509Certificate;Ljava/lang/String;)V,false,true,At NexentaNmsClient.java:[line 89],org.apache.cloudstack.storage.datastore.util.NexentaNmsClient$1,,89,89,0,62,NexentaNmsClient.java,org/apache/cloudstack/storage/datastore/util/NexentaNmsClient.java,java/org/apache/cloudstack/storage/datastore/util/NexentaNmsClient.java,,,,,,,,,,,,,WEAK_TRUST_MANAGER,2,7,SECWTM,SECURITY,707d3a40f395ec30ce58017edec01b4d,0,0,295,true,true,,,,,,,,,,,,
TrustManager that accept any certificates,TrustManager that accept any certificates makes communication vulnerable to a MITM attack,In NexentaNmsClient.java,org.apache.cloudstack.storage.datastore.util.NexentaNmsClient$1,NexentaNmsClient.java,org/apache/cloudstack/storage/datastore/util/NexentaNmsClient.java,java/org/apache/cloudstack/storage/datastore/util/NexentaNmsClient.java,In class org.apache.cloudstack.storage.datastore.util.NexentaNmsClient$1,org.apache.cloudstack.storage.datastore.util.NexentaNmsClient$1,true,org.apache.cloudstack.storage.datastore.util.NexentaNmsClient$1,93,93,0,62,NexentaNmsClient.java,org/apache/cloudstack/storage/datastore/util/NexentaNmsClient.java,java/org/apache/cloudstack/storage/datastore/util/NexentaNmsClient.java,"In method org.apache.cloudstack.storage.datastore.util.NexentaNmsClient$1.checkServerTrusted(X509Certificate[], String)",org.apache.cloudstack.storage.datastore.util.NexentaNmsClient$1,checkServerTrusted,([Ljava/security/cert/X509Certificate;Ljava/lang/String;)V,false,true,At NexentaNmsClient.java:[line 93],org.apache.cloudstack.storage.datastore.util.NexentaNmsClient$1,,93,93,0,62,NexentaNmsClient.java,org/apache/cloudstack/storage/datastore/util/NexentaNmsClient.java,java/org/apache/cloudstack/storage/datastore/util/NexentaNmsClient.java,,,,,,,,,,,,,WEAK_TRUST_MANAGER,2,7,SECWTM,SECURITY,ed723140227288bd6bdc7ab125e9583a,0,0,295,true,true,,,,,,,,,,,,
TrustManager that accept any certificates,TrustManager that accept any certificates makes communication vulnerable to a MITM attack,In NexentaNmsClient.java,org.apache.cloudstack.storage.datastore.util.NexentaNmsClient$1,NexentaNmsClient.java,org/apache/cloudstack/storage/datastore/util/NexentaNmsClient.java,java/org/apache/cloudstack/storage/datastore/util/NexentaNmsClient.java,In class org.apache.cloudstack.storage.datastore.util.NexentaNmsClient$1,org.apache.cloudstack.storage.datastore.util.NexentaNmsClient$1,true,org.apache.cloudstack.storage.datastore.util.NexentaNmsClient$1,97,97,0,43,NexentaNmsClient.java,org/apache/cloudstack/storage/datastore/util/NexentaNmsClient.java,java/org/apache/cloudstack/storage/datastore/util/NexentaNmsClient.java,In method org.apache.cloudstack.storage.datastore.util.NexentaNmsClient$1.getAcceptedIssuers(),org.apache.cloudstack.storage.datastore.util.NexentaNmsClient$1,getAcceptedIssuers,()[Ljava/security/cert/X509Certificate;,false,true,At NexentaNmsClient.java:[line 97],org.apache.cloudstack.storage.datastore.util.NexentaNmsClient$1,,97,97,0,43,NexentaNmsClient.java,org/apache/cloudstack/storage/datastore/util/NexentaNmsClient.java,java/org/apache/cloudstack/storage/datastore/util/NexentaNmsClient.java,,,,,,,,,,,,,WEAK_TRUST_MANAGER,2,7,SECWTM,SECURITY,e6557fc8d5f578f9d30689a19180dfe7,0,0,295,true,true,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.debug(...) might be used to include CRLF characters into log messages,In NexentaStorAppliance.java,org.apache.cloudstack.storage.datastore.util.NexentaStorAppliance,NexentaStorAppliance.java,org/apache/cloudstack/storage/datastore/util/NexentaStorAppliance.java,java/org/apache/cloudstack/storage/datastore/util/NexentaStorAppliance.java,In class org.apache.cloudstack.storage.datastore.util.NexentaStorAppliance,org.apache.cloudstack.storage.datastore.util.NexentaStorAppliance,true,org.apache.cloudstack.storage.datastore.util.NexentaStorAppliance,325,334,0,241,NexentaStorAppliance.java,org/apache/cloudstack/storage/datastore/util/NexentaStorAppliance.java,java/org/apache/cloudstack/storage/datastore/util/NexentaStorAppliance.java,"In method org.apache.cloudstack.storage.datastore.util.NexentaStorAppliance.addLuMappingEntry(String, String)",org.apache.cloudstack.storage.datastore.util.NexentaStorAppliance,addLuMappingEntry,(Ljava/lang/String;Ljava/lang/String;)V,false,true,At NexentaStorAppliance.java:[line 332],org.apache.cloudstack.storage.datastore.util.NexentaStorAppliance,true,332,332,81,81,NexentaStorAppliance.java,org/apache/cloudstack/storage/datastore/util/NexentaStorAppliance.java,java/org/apache/cloudstack/storage/datastore/util/NexentaStorAppliance.java,At NexentaStorAppliance.java:[line 332],org.apache.cloudstack.storage.datastore.util.NexentaStorAppliance,332,332,78,78,NexentaStorAppliance.java,org/apache/cloudstack/storage/datastore/util/NexentaStorAppliance.java,java/org/apache/cloudstack/storage/datastore/util/NexentaStorAppliance.java,Sink method Logger.debug(...),Logger.debug(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,1ba8e5bd5ad538d15f945202a9f3db3c,0,0,117,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.debug(...) might be used to include CRLF characters into log messages,In NexentaStorAppliance.java,org.apache.cloudstack.storage.datastore.util.NexentaStorAppliance,NexentaStorAppliance.java,org/apache/cloudstack/storage/datastore/util/NexentaStorAppliance.java,java/org/apache/cloudstack/storage/datastore/util/NexentaStorAppliance.java,In class org.apache.cloudstack.storage.datastore.util.NexentaStorAppliance,org.apache.cloudstack.storage.datastore.util.NexentaStorAppliance,true,org.apache.cloudstack.storage.datastore.util.NexentaStorAppliance,218,225,0,206,NexentaStorAppliance.java,org/apache/cloudstack/storage/datastore/util/NexentaStorAppliance.java,java/org/apache/cloudstack/storage/datastore/util/NexentaStorAppliance.java,"In method org.apache.cloudstack.storage.datastore.util.NexentaStorAppliance.addTargetGroupMember(String, String)",org.apache.cloudstack.storage.datastore.util.NexentaStorAppliance,addTargetGroupMember,(Ljava/lang/String;Ljava/lang/String;)V,false,true,At NexentaStorAppliance.java:[line 223],org.apache.cloudstack.storage.datastore.util.NexentaStorAppliance,true,223,223,78,78,NexentaStorAppliance.java,org/apache/cloudstack/storage/datastore/util/NexentaStorAppliance.java,java/org/apache/cloudstack/storage/datastore/util/NexentaStorAppliance.java,At NexentaStorAppliance.java:[line 223],org.apache.cloudstack.storage.datastore.util.NexentaStorAppliance,223,223,75,75,NexentaStorAppliance.java,org/apache/cloudstack/storage/datastore/util/NexentaStorAppliance.java,java/org/apache/cloudstack/storage/datastore/util/NexentaStorAppliance.java,Sink method Logger.debug(...),Logger.debug(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,46d77322ce3f48f49ef83fc75ffc22d3,0,0,117,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.debug(...) might be used to include CRLF characters into log messages,In NexentaStorAppliance.java,org.apache.cloudstack.storage.datastore.util.NexentaStorAppliance,NexentaStorAppliance.java,org/apache/cloudstack/storage/datastore/util/NexentaStorAppliance.java,java/org/apache/cloudstack/storage/datastore/util/NexentaStorAppliance.java,In class org.apache.cloudstack.storage.datastore.util.NexentaStorAppliance,org.apache.cloudstack.storage.datastore.util.NexentaStorAppliance,true,org.apache.cloudstack.storage.datastore.util.NexentaStorAppliance,143,150,0,187,NexentaStorAppliance.java,org/apache/cloudstack/storage/datastore/util/NexentaStorAppliance.java,java/org/apache/cloudstack/storage/datastore/util/NexentaStorAppliance.java,In method org.apache.cloudstack.storage.datastore.util.NexentaStorAppliance.createIscsiTarget(String),org.apache.cloudstack.storage.datastore.util.NexentaStorAppliance,createIscsiTarget,(Ljava/lang/String;)V,false,true,At NexentaStorAppliance.java:[line 148],org.apache.cloudstack.storage.datastore.util.NexentaStorAppliance,true,148,148,69,69,NexentaStorAppliance.java,org/apache/cloudstack/storage/datastore/util/NexentaStorAppliance.java,java/org/apache/cloudstack/storage/datastore/util/NexentaStorAppliance.java,At NexentaStorAppliance.java:[line 148],org.apache.cloudstack.storage.datastore.util.NexentaStorAppliance,148,148,66,66,NexentaStorAppliance.java,org/apache/cloudstack/storage/datastore/util/NexentaStorAppliance.java,java/org/apache/cloudstack/storage/datastore/util/NexentaStorAppliance.java,Sink method Logger.debug(...),Logger.debug(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,7beec935d1cfbd32ef11ba7525cc6aee,0,0,117,,,,,,,,,,,,,,
