ShortMessage,LongMessage,Class/SourceLine/0/Message,Class/SourceLine/0/_classname,Class/SourceLine/0/_sourcefile,Class/SourceLine/0/_sourcepath,Class/SourceLine/0/_relSourcepath,Class/Message,Class/_classname,Class/_primary,Method/SourceLine/0/_classname,Method/SourceLine/0/_start,Method/SourceLine/0/_end,Method/SourceLine/0/_startBytecode,Method/SourceLine/0/_endBytecode,Method/SourceLine/0/_sourcefile,Method/SourceLine/0/_sourcepath,Method/SourceLine/0/_relSourcepath,Method/Message,Method/_classname,Method/_name,Method/_signature,Method/_isStatic,Method/_primary,SourceLine/0/Message,SourceLine/0/_classname,SourceLine/0/_primary,SourceLine/0/_start,SourceLine/0/_end,SourceLine/0/_startBytecode,SourceLine/0/_endBytecode,SourceLine/0/_sourcefile,SourceLine/0/_sourcepath,SourceLine/0/_relSourcepath,SourceLine/1/Message,SourceLine/1/_classname,SourceLine/1/_start,SourceLine/1/_end,SourceLine/1/_startBytecode,SourceLine/1/_endBytecode,SourceLine/1/_sourcefile,SourceLine/1/_sourcepath,SourceLine/1/_relSourcepath,String/0/Message,String/0/_value,String/0/_role,_type,_priority,_rank,_abbrev,_category,_instanceHash,_instanceOccurrenceNum,_instanceOccurrenceMax,_cweid,SourceLine/2/Message,SourceLine/2/_classname,SourceLine/2/_start,SourceLine/2/_end,SourceLine/2/_startBytecode,SourceLine/2/_endBytecode,SourceLine/2/_sourcefile,SourceLine/2/_sourcepath,SourceLine/2/_relSourcepath,SourceLine/3/Message,SourceLine/3/_classname,SourceLine/3/_start,SourceLine/3/_end,SourceLine/3/_startBytecode,SourceLine/3/_endBytecode,SourceLine/3/_sourcefile,SourceLine/3/_sourcepath,SourceLine/3/_relSourcepath,SourceLine/4/Message,SourceLine/4/_classname,SourceLine/4/_start,SourceLine/4/_end,SourceLine/4/_startBytecode,SourceLine/4/_endBytecode,SourceLine/4/_sourcefile,SourceLine/4/_sourcepath,SourceLine/4/_relSourcepath,String/1/Message,String/1/_value,String/1/_role
Potential CRLF Injection for logs,This use of Logger.info(...) might be used to include CRLF characters into log messages,In HttpUploadServerHandler.java,org.apache.cloudstack.storage.resource.HttpUploadServerHandler,HttpUploadServerHandler.java,org/apache/cloudstack/storage/resource/HttpUploadServerHandler.java,java/org/apache/cloudstack/storage/resource/HttpUploadServerHandler.java,In class org.apache.cloudstack.storage.resource.HttpUploadServerHandler,org.apache.cloudstack.storage.resource.HttpUploadServerHandler,true,org.apache.cloudstack.storage.resource.HttpUploadServerHandler,115,221,0,1698,HttpUploadServerHandler.java,org/apache/cloudstack/storage/resource/HttpUploadServerHandler.java,java/org/apache/cloudstack/storage/resource/HttpUploadServerHandler.java,"In method org.apache.cloudstack.storage.resource.HttpUploadServerHandler.channelRead0(ChannelHandlerContext, HttpObject)",org.apache.cloudstack.storage.resource.HttpUploadServerHandler,channelRead0,(Lio/netty/channel/ChannelHandlerContext;Lio/netty/handler/codec/http/HttpObject;)V,false,true,At HttpUploadServerHandler.java:[line 148],org.apache.cloudstack.storage.resource.HttpUploadServerHandler,true,148,148,385,385,HttpUploadServerHandler.java,org/apache/cloudstack/storage/resource/HttpUploadServerHandler.java,java/org/apache/cloudstack/storage/resource/HttpUploadServerHandler.java,At HttpUploadServerHandler.java:[line 148],org.apache.cloudstack.storage.resource.HttpUploadServerHandler,148,148,382,382,HttpUploadServerHandler.java,org/apache/cloudstack/storage/resource/HttpUploadServerHandler.java,java/org/apache/cloudstack/storage/resource/HttpUploadServerHandler.java,Sink method Logger.info(...),Logger.info(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,4c3efa1dfed5a05b275e594a835248ad,0,6,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.info(...) might be used to include CRLF characters into log messages,In HttpUploadServerHandler.java,org.apache.cloudstack.storage.resource.HttpUploadServerHandler,HttpUploadServerHandler.java,org/apache/cloudstack/storage/resource/HttpUploadServerHandler.java,java/org/apache/cloudstack/storage/resource/HttpUploadServerHandler.java,In class org.apache.cloudstack.storage.resource.HttpUploadServerHandler,org.apache.cloudstack.storage.resource.HttpUploadServerHandler,true,org.apache.cloudstack.storage.resource.HttpUploadServerHandler,115,221,0,1698,HttpUploadServerHandler.java,org/apache/cloudstack/storage/resource/HttpUploadServerHandler.java,java/org/apache/cloudstack/storage/resource/HttpUploadServerHandler.java,"In method org.apache.cloudstack.storage.resource.HttpUploadServerHandler.channelRead0(ChannelHandlerContext, HttpObject)",org.apache.cloudstack.storage.resource.HttpUploadServerHandler,channelRead0,(Lio/netty/channel/ChannelHandlerContext;Lio/netty/handler/codec/http/HttpObject;)V,false,true,At HttpUploadServerHandler.java:[line 149],org.apache.cloudstack.storage.resource.HttpUploadServerHandler,true,149,149,411,411,HttpUploadServerHandler.java,org/apache/cloudstack/storage/resource/HttpUploadServerHandler.java,java/org/apache/cloudstack/storage/resource/HttpUploadServerHandler.java,At HttpUploadServerHandler.java:[line 149],org.apache.cloudstack.storage.resource.HttpUploadServerHandler,149,149,408,408,HttpUploadServerHandler.java,org/apache/cloudstack/storage/resource/HttpUploadServerHandler.java,java/org/apache/cloudstack/storage/resource/HttpUploadServerHandler.java,Sink method Logger.info(...),Logger.info(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,4c3efa1dfed5a05b275e594a835248ad,1,6,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.info(...) might be used to include CRLF characters into log messages,In HttpUploadServerHandler.java,org.apache.cloudstack.storage.resource.HttpUploadServerHandler,HttpUploadServerHandler.java,org/apache/cloudstack/storage/resource/HttpUploadServerHandler.java,java/org/apache/cloudstack/storage/resource/HttpUploadServerHandler.java,In class org.apache.cloudstack.storage.resource.HttpUploadServerHandler,org.apache.cloudstack.storage.resource.HttpUploadServerHandler,true,org.apache.cloudstack.storage.resource.HttpUploadServerHandler,115,221,0,1698,HttpUploadServerHandler.java,org/apache/cloudstack/storage/resource/HttpUploadServerHandler.java,java/org/apache/cloudstack/storage/resource/HttpUploadServerHandler.java,"In method org.apache.cloudstack.storage.resource.HttpUploadServerHandler.channelRead0(ChannelHandlerContext, HttpObject)",org.apache.cloudstack.storage.resource.HttpUploadServerHandler,channelRead0,(Lio/netty/channel/ChannelHandlerContext;Lio/netty/handler/codec/http/HttpObject;)V,false,true,At HttpUploadServerHandler.java:[line 150],org.apache.cloudstack.storage.resource.HttpUploadServerHandler,true,150,150,437,437,HttpUploadServerHandler.java,org/apache/cloudstack/storage/resource/HttpUploadServerHandler.java,java/org/apache/cloudstack/storage/resource/HttpUploadServerHandler.java,At HttpUploadServerHandler.java:[line 150],org.apache.cloudstack.storage.resource.HttpUploadServerHandler,150,150,434,434,HttpUploadServerHandler.java,org/apache/cloudstack/storage/resource/HttpUploadServerHandler.java,java/org/apache/cloudstack/storage/resource/HttpUploadServerHandler.java,Sink method Logger.info(...),Logger.info(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,4c3efa1dfed5a05b275e594a835248ad,2,6,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.info(...) might be used to include CRLF characters into log messages,In HttpUploadServerHandler.java,org.apache.cloudstack.storage.resource.HttpUploadServerHandler,HttpUploadServerHandler.java,org/apache/cloudstack/storage/resource/HttpUploadServerHandler.java,java/org/apache/cloudstack/storage/resource/HttpUploadServerHandler.java,In class org.apache.cloudstack.storage.resource.HttpUploadServerHandler,org.apache.cloudstack.storage.resource.HttpUploadServerHandler,true,org.apache.cloudstack.storage.resource.HttpUploadServerHandler,115,221,0,1698,HttpUploadServerHandler.java,org/apache/cloudstack/storage/resource/HttpUploadServerHandler.java,java/org/apache/cloudstack/storage/resource/HttpUploadServerHandler.java,"In method org.apache.cloudstack.storage.resource.HttpUploadServerHandler.channelRead0(ChannelHandlerContext, HttpObject)",org.apache.cloudstack.storage.resource.HttpUploadServerHandler,channelRead0,(Lio/netty/channel/ChannelHandlerContext;Lio/netty/handler/codec/http/HttpObject;)V,false,true,At HttpUploadServerHandler.java:[line 151],org.apache.cloudstack.storage.resource.HttpUploadServerHandler,true,151,151,463,463,HttpUploadServerHandler.java,org/apache/cloudstack/storage/resource/HttpUploadServerHandler.java,java/org/apache/cloudstack/storage/resource/HttpUploadServerHandler.java,At HttpUploadServerHandler.java:[line 151],org.apache.cloudstack.storage.resource.HttpUploadServerHandler,151,151,460,460,HttpUploadServerHandler.java,org/apache/cloudstack/storage/resource/HttpUploadServerHandler.java,java/org/apache/cloudstack/storage/resource/HttpUploadServerHandler.java,Sink method Logger.info(...),Logger.info(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,4c3efa1dfed5a05b275e594a835248ad,3,6,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.info(...) might be used to include CRLF characters into log messages,In HttpUploadServerHandler.java,org.apache.cloudstack.storage.resource.HttpUploadServerHandler,HttpUploadServerHandler.java,org/apache/cloudstack/storage/resource/HttpUploadServerHandler.java,java/org/apache/cloudstack/storage/resource/HttpUploadServerHandler.java,In class org.apache.cloudstack.storage.resource.HttpUploadServerHandler,org.apache.cloudstack.storage.resource.HttpUploadServerHandler,true,org.apache.cloudstack.storage.resource.HttpUploadServerHandler,115,221,0,1698,HttpUploadServerHandler.java,org/apache/cloudstack/storage/resource/HttpUploadServerHandler.java,java/org/apache/cloudstack/storage/resource/HttpUploadServerHandler.java,"In method org.apache.cloudstack.storage.resource.HttpUploadServerHandler.channelRead0(ChannelHandlerContext, HttpObject)",org.apache.cloudstack.storage.resource.HttpUploadServerHandler,channelRead0,(Lio/netty/channel/ChannelHandlerContext;Lio/netty/handler/codec/http/HttpObject;)V,false,true,At HttpUploadServerHandler.java:[line 152],org.apache.cloudstack.storage.resource.HttpUploadServerHandler,true,152,152,489,489,HttpUploadServerHandler.java,org/apache/cloudstack/storage/resource/HttpUploadServerHandler.java,java/org/apache/cloudstack/storage/resource/HttpUploadServerHandler.java,At HttpUploadServerHandler.java:[line 152],org.apache.cloudstack.storage.resource.HttpUploadServerHandler,152,152,486,486,HttpUploadServerHandler.java,org/apache/cloudstack/storage/resource/HttpUploadServerHandler.java,java/org/apache/cloudstack/storage/resource/HttpUploadServerHandler.java,Sink method Logger.info(...),Logger.info(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,4c3efa1dfed5a05b275e594a835248ad,4,6,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.info(...) might be used to include CRLF characters into log messages,In HttpUploadServerHandler.java,org.apache.cloudstack.storage.resource.HttpUploadServerHandler,HttpUploadServerHandler.java,org/apache/cloudstack/storage/resource/HttpUploadServerHandler.java,java/org/apache/cloudstack/storage/resource/HttpUploadServerHandler.java,In class org.apache.cloudstack.storage.resource.HttpUploadServerHandler,org.apache.cloudstack.storage.resource.HttpUploadServerHandler,true,org.apache.cloudstack.storage.resource.HttpUploadServerHandler,115,221,0,1698,HttpUploadServerHandler.java,org/apache/cloudstack/storage/resource/HttpUploadServerHandler.java,java/org/apache/cloudstack/storage/resource/HttpUploadServerHandler.java,"In method org.apache.cloudstack.storage.resource.HttpUploadServerHandler.channelRead0(ChannelHandlerContext, HttpObject)",org.apache.cloudstack.storage.resource.HttpUploadServerHandler,channelRead0,(Lio/netty/channel/ChannelHandlerContext;Lio/netty/handler/codec/http/HttpObject;)V,false,true,At HttpUploadServerHandler.java:[line 156],org.apache.cloudstack.storage.resource.HttpUploadServerHandler,true,156,156,560,560,HttpUploadServerHandler.java,org/apache/cloudstack/storage/resource/HttpUploadServerHandler.java,java/org/apache/cloudstack/storage/resource/HttpUploadServerHandler.java,At HttpUploadServerHandler.java:[line 156],org.apache.cloudstack.storage.resource.HttpUploadServerHandler,156,156,557,557,HttpUploadServerHandler.java,org/apache/cloudstack/storage/resource/HttpUploadServerHandler.java,java/org/apache/cloudstack/storage/resource/HttpUploadServerHandler.java,Sink method Logger.info(...),Logger.info(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,4c3efa1dfed5a05b275e594a835248ad,5,6,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.info(...) might be used to include CRLF characters into log messages,In HttpUploadServerHandler.java,org.apache.cloudstack.storage.resource.HttpUploadServerHandler,HttpUploadServerHandler.java,org/apache/cloudstack/storage/resource/HttpUploadServerHandler.java,java/org/apache/cloudstack/storage/resource/HttpUploadServerHandler.java,In class org.apache.cloudstack.storage.resource.HttpUploadServerHandler,org.apache.cloudstack.storage.resource.HttpUploadServerHandler,true,org.apache.cloudstack.storage.resource.HttpUploadServerHandler,115,221,0,1698,HttpUploadServerHandler.java,org/apache/cloudstack/storage/resource/HttpUploadServerHandler.java,java/org/apache/cloudstack/storage/resource/HttpUploadServerHandler.java,"In method org.apache.cloudstack.storage.resource.HttpUploadServerHandler.channelRead0(ChannelHandlerContext, HttpObject)",org.apache.cloudstack.storage.resource.HttpUploadServerHandler,channelRead0,(Lio/netty/channel/ChannelHandlerContext;Lio/netty/handler/codec/http/HttpObject;)V,false,true,At HttpUploadServerHandler.java:[line 180],org.apache.cloudstack.storage.resource.HttpUploadServerHandler,true,180,180,735,735,HttpUploadServerHandler.java,org/apache/cloudstack/storage/resource/HttpUploadServerHandler.java,java/org/apache/cloudstack/storage/resource/HttpUploadServerHandler.java,At HttpUploadServerHandler.java:[line 180],org.apache.cloudstack.storage.resource.HttpUploadServerHandler,180,180,732,732,HttpUploadServerHandler.java,org/apache/cloudstack/storage/resource/HttpUploadServerHandler.java,java/org/apache/cloudstack/storage/resource/HttpUploadServerHandler.java,Sink method Logger.info(...),Logger.info(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,4c3efa1dfed5a05b275e594a835248ad,6,6,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.warn(...) might be used to include CRLF characters into log messages,In HttpUploadServerHandler.java,org.apache.cloudstack.storage.resource.HttpUploadServerHandler,HttpUploadServerHandler.java,org/apache/cloudstack/storage/resource/HttpUploadServerHandler.java,java/org/apache/cloudstack/storage/resource/HttpUploadServerHandler.java,In class org.apache.cloudstack.storage.resource.HttpUploadServerHandler,org.apache.cloudstack.storage.resource.HttpUploadServerHandler,true,org.apache.cloudstack.storage.resource.HttpUploadServerHandler,292,296,0,134,HttpUploadServerHandler.java,org/apache/cloudstack/storage/resource/HttpUploadServerHandler.java,java/org/apache/cloudstack/storage/resource/HttpUploadServerHandler.java,"In method org.apache.cloudstack.storage.resource.HttpUploadServerHandler.exceptionCaught(ChannelHandlerContext, Throwable)",org.apache.cloudstack.storage.resource.HttpUploadServerHandler,exceptionCaught,(Lio/netty/channel/ChannelHandlerContext;Ljava/lang/Throwable;)V,false,true,At HttpUploadServerHandler.java:[line 292],org.apache.cloudstack.storage.resource.HttpUploadServerHandler,true,292,292,11,11,HttpUploadServerHandler.java,org/apache/cloudstack/storage/resource/HttpUploadServerHandler.java,java/org/apache/cloudstack/storage/resource/HttpUploadServerHandler.java,At HttpUploadServerHandler.java:[line 292],org.apache.cloudstack.storage.resource.HttpUploadServerHandler,292,292,7,7,HttpUploadServerHandler.java,org/apache/cloudstack/storage/resource/HttpUploadServerHandler.java,java/org/apache/cloudstack/storage/resource/HttpUploadServerHandler.java,Sink method Logger.warn(...),Logger.warn(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,43b7adeb17b99412b16ba043f4beb153,0,0,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.info(...) might be used to include CRLF characters into log messages,In HttpUploadServerHandler.java,org.apache.cloudstack.storage.resource.HttpUploadServerHandler,HttpUploadServerHandler.java,org/apache/cloudstack/storage/resource/HttpUploadServerHandler.java,java/org/apache/cloudstack/storage/resource/HttpUploadServerHandler.java,In class org.apache.cloudstack.storage.resource.HttpUploadServerHandler,org.apache.cloudstack.storage.resource.HttpUploadServerHandler,true,org.apache.cloudstack.storage.resource.HttpUploadServerHandler,231,265,0,617,HttpUploadServerHandler.java,org/apache/cloudstack/storage/resource/HttpUploadServerHandler.java,java/org/apache/cloudstack/storage/resource/HttpUploadServerHandler.java,In method org.apache.cloudstack.storage.resource.HttpUploadServerHandler.readFileUploadData(),org.apache.cloudstack.storage.resource.HttpUploadServerHandler,readFileUploadData,()Lio/netty/handler/codec/http/HttpResponseStatus;,false,true,At HttpUploadServerHandler.java:[line 235],org.apache.cloudstack.storage.resource.HttpUploadServerHandler,true,235,235,61,61,HttpUploadServerHandler.java,org/apache/cloudstack/storage/resource/HttpUploadServerHandler.java,java/org/apache/cloudstack/storage/resource/HttpUploadServerHandler.java,At HttpUploadServerHandler.java:[line 235],org.apache.cloudstack.storage.resource.HttpUploadServerHandler,235,235,58,58,HttpUploadServerHandler.java,org/apache/cloudstack/storage/resource/HttpUploadServerHandler.java,java/org/apache/cloudstack/storage/resource/HttpUploadServerHandler.java,Sink method Logger.info(...),Logger.info(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,fed45889c36214d817f9df30e1aeb50f,0,0,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.error(...) might be used to include CRLF characters into log messages,In HttpUploadServerHandler.java,org.apache.cloudstack.storage.resource.HttpUploadServerHandler,HttpUploadServerHandler.java,org/apache/cloudstack/storage/resource/HttpUploadServerHandler.java,java/org/apache/cloudstack/storage/resource/HttpUploadServerHandler.java,In class org.apache.cloudstack.storage.resource.HttpUploadServerHandler,org.apache.cloudstack.storage.resource.HttpUploadServerHandler,true,org.apache.cloudstack.storage.resource.HttpUploadServerHandler,231,265,0,617,HttpUploadServerHandler.java,org/apache/cloudstack/storage/resource/HttpUploadServerHandler.java,java/org/apache/cloudstack/storage/resource/HttpUploadServerHandler.java,In method org.apache.cloudstack.storage.resource.HttpUploadServerHandler.readFileUploadData(),org.apache.cloudstack.storage.resource.HttpUploadServerHandler,readFileUploadData,()Lio/netty/handler/codec/http/HttpResponseStatus;,false,true,At HttpUploadServerHandler.java:[line 243],org.apache.cloudstack.storage.resource.HttpUploadServerHandler,true,243,243,147,147,HttpUploadServerHandler.java,org/apache/cloudstack/storage/resource/HttpUploadServerHandler.java,java/org/apache/cloudstack/storage/resource/HttpUploadServerHandler.java,At HttpUploadServerHandler.java:[line 242],org.apache.cloudstack.storage.resource.HttpUploadServerHandler,242,242,137,137,HttpUploadServerHandler.java,org/apache/cloudstack/storage/resource/HttpUploadServerHandler.java,java/org/apache/cloudstack/storage/resource/HttpUploadServerHandler.java,Sink method Logger.error(...),Logger.error(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,627ba5201d0360a2ed2379bbc1df211,0,0,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
