ShortMessage,LongMessage,Class/SourceLine/0/Message,Class/SourceLine/0/_classname,Class/SourceLine/0/_sourcefile,Class/SourceLine/0/_sourcepath,Class/SourceLine/0/_relSourcepath,Class/Message,Class/_classname,Class/_primary,Method/SourceLine/0/_classname,Method/SourceLine/0/_start,Method/SourceLine/0/_end,Method/SourceLine/0/_startBytecode,Method/SourceLine/0/_endBytecode,Method/SourceLine/0/_sourcefile,Method/SourceLine/0/_sourcepath,Method/SourceLine/0/_relSourcepath,Method/Message,Method/_classname,Method/_name,Method/_signature,Method/_isStatic,Method/_primary,SourceLine/0/Message,SourceLine/0/_classname,SourceLine/0/_primary,SourceLine/0/_start,SourceLine/0/_end,SourceLine/0/_startBytecode,SourceLine/0/_endBytecode,SourceLine/0/_sourcefile,SourceLine/0/_sourcepath,SourceLine/0/_relSourcepath,SourceLine/1/Message,SourceLine/1/_classname,SourceLine/1/_start,SourceLine/1/_end,SourceLine/1/_startBytecode,SourceLine/1/_endBytecode,SourceLine/1/_sourcefile,SourceLine/1/_sourcepath,SourceLine/1/_relSourcepath,String/0/Message,String/0/_value,String/0/_role,_type,_priority,_rank,_abbrev,_category,_instanceHash,_instanceOccurrenceNum,_instanceOccurrenceMax,_cweid,Class/SourceLine/0/_start,Class/SourceLine/0/_end,Class/SourceLine/0/_synthetic,SourceLine/0/_synthetic,String/1/Message,String/1/_value,String/2/Message,String/2/_value,String/3/Message,String/3/_value,String/4/Message,String/4/_value,Method/SourceLine/0/_synthetic
Potential CRLF Injection for logs,This use of Logger.debug(...) might be used to include CRLF characters into log messages,In BufferedImagePixelsAdapter.java,common.BufferedImagePixelsAdapter,BufferedImagePixelsAdapter.java,common/BufferedImagePixelsAdapter.java,java/common/BufferedImagePixelsAdapter.java,In class common.BufferedImagePixelsAdapter,common.BufferedImagePixelsAdapter,true,common.BufferedImagePixelsAdapter,60,121,0,910,BufferedImagePixelsAdapter.java,common/BufferedImagePixelsAdapter.java,java/common/BufferedImagePixelsAdapter.java,"In method common.BufferedImagePixelsAdapter.handleData(ByteBuffer, Link)",common.BufferedImagePixelsAdapter,handleData,(Lstreamer/ByteBuffer;Lstreamer/Link;)V,false,true,At BufferedImagePixelsAdapter.java:[line 61],common.BufferedImagePixelsAdapter,true,61,61,43,43,BufferedImagePixelsAdapter.java,common/BufferedImagePixelsAdapter.java,java/common/BufferedImagePixelsAdapter.java,At BufferedImagePixelsAdapter.java:[line 61],common.BufferedImagePixelsAdapter,61,61,40,40,BufferedImagePixelsAdapter.java,common/BufferedImagePixelsAdapter.java,java/common/BufferedImagePixelsAdapter.java,Sink method Logger.debug(...),Logger.debug(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,aad41bd009a34454b5f565a76d391875,0,0,117,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.error(...) might be used to include CRLF characters into log messages,In BufferedImagePixelsAdapter.java,common.BufferedImagePixelsAdapter,BufferedImagePixelsAdapter.java,common/BufferedImagePixelsAdapter.java,java/common/BufferedImagePixelsAdapter.java,In class common.BufferedImagePixelsAdapter,common.BufferedImagePixelsAdapter,true,common.BufferedImagePixelsAdapter,124,150,0,859,BufferedImagePixelsAdapter.java,common/BufferedImagePixelsAdapter.java,java/common/BufferedImagePixelsAdapter.java,In method common.BufferedImagePixelsAdapter.main(String[]),common.BufferedImagePixelsAdapter,main,([Ljava/lang/String;)V,true,true,At BufferedImagePixelsAdapter.java:[line 148],common.BufferedImagePixelsAdapter,true,148,148,641,641,BufferedImagePixelsAdapter.java,common/BufferedImagePixelsAdapter.java,java/common/BufferedImagePixelsAdapter.java,At BufferedImagePixelsAdapter.java:[line 148],common.BufferedImagePixelsAdapter,148,148,638,638,BufferedImagePixelsAdapter.java,common/BufferedImagePixelsAdapter.java,java/common/BufferedImagePixelsAdapter.java,Sink method Logger.error(...),Logger.error(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,898547ecd9757798e6a3f133059ca2c9,0,0,117,,,,,,,,,,,,,
Hard Coded Key,Hard coded cryptographic key found,At ClientNtlmsspPubKeyAuth.java:[lines 61-681],rdpclient.ntlmssp.ClientNtlmsspPubKeyAuth,ClientNtlmsspPubKeyAuth.java,rdpclient/ntlmssp/ClientNtlmsspPubKeyAuth.java,java/rdpclient/ntlmssp/ClientNtlmsspPubKeyAuth.java,In class rdpclient.ntlmssp.ClientNtlmsspPubKeyAuth,rdpclient.ntlmssp.ClientNtlmsspPubKeyAuth,true,,,,,,,,,,,,,,,At ClientNtlmsspPubKeyAuth.java:[lines 61-681],rdpclient.ntlmssp.ClientNtlmsspPubKeyAuth,,61,681,,,ClientNtlmsspPubKeyAuth.java,rdpclient/ntlmssp/ClientNtlmsspPubKeyAuth.java,java/rdpclient/ntlmssp/ClientNtlmsspPubKeyAuth.java,,,,,,,,,,Value is hard coded in field streamer.ssl.SSLState.serverCertificateSubjectPublicKeyInfo[B with suspicious name,is hard coded in field streamer.ssl.SSLState.serverCertificateSubjectPublicKeyInfo[B with suspicious name,,HARD_CODE_KEY,2,7,SECHCK,SECURITY,4b944d647cbef6cec268ddaa579b077c,0,0,321,61,681,true,true,,,,,,,,,
Cipher with no integrity,The cipher does not provide data integrity,In CryptoAlgos.java,rdpclient.ntlmssp.CryptoAlgos,CryptoAlgos.java,rdpclient/ntlmssp/CryptoAlgos.java,java/rdpclient/ntlmssp/CryptoAlgos.java,In class rdpclient.ntlmssp.CryptoAlgos,rdpclient.ntlmssp.CryptoAlgos,true,rdpclient.ntlmssp.CryptoAlgos,257,262,0,160,CryptoAlgos.java,rdpclient/ntlmssp/CryptoAlgos.java,java/rdpclient/ntlmssp/CryptoAlgos.java,"In method rdpclient.ntlmssp.CryptoAlgos.RC4K(byte[], byte[])",rdpclient.ntlmssp.CryptoAlgos,RC4K,([B[B)[B,true,true,At CryptoAlgos.java:[line 257],rdpclient.ntlmssp.CryptoAlgos,true,257,257,2,2,CryptoAlgos.java,rdpclient/ntlmssp/CryptoAlgos.java,java/rdpclient/ntlmssp/CryptoAlgos.java,,,,,,,,,,,,,CIPHER_INTEGRITY,1,5,CIPINT,SECURITY,bf6def9452b43493f217df4ac76d53af,0,0,353,,,,,,,,,,,,,
Cipher with no integrity,The cipher does not provide data integrity,In CryptoAlgos.java,rdpclient.ntlmssp.CryptoAlgos,CryptoAlgos.java,rdpclient/ntlmssp/CryptoAlgos.java,java/rdpclient/ntlmssp/CryptoAlgos.java,In class rdpclient.ntlmssp.CryptoAlgos,rdpclient.ntlmssp.CryptoAlgos,true,rdpclient.ntlmssp.CryptoAlgos,333,337,0,132,CryptoAlgos.java,rdpclient/ntlmssp/CryptoAlgos.java,java/rdpclient/ntlmssp/CryptoAlgos.java,In method rdpclient.ntlmssp.CryptoAlgos.initRC4(byte[]),rdpclient.ntlmssp.CryptoAlgos,initRC4,([B)Ljavax/crypto/Cipher;,true,true,At CryptoAlgos.java:[line 333],rdpclient.ntlmssp.CryptoAlgos,true,333,333,2,2,CryptoAlgos.java,rdpclient/ntlmssp/CryptoAlgos.java,java/rdpclient/ntlmssp/CryptoAlgos.java,,,,,,,,,,,,,CIPHER_INTEGRITY,1,5,CIPINT,SECURITY,f931aae7f96f26fd8788b6be3041aa82,0,0,353,,,,,,,,,,,,,
"MD2, MD4 and MD5 are weak hash functions",MD5 is not a recommended cryptographic hash function,In CryptoAlgos.java,rdpclient.ntlmssp.CryptoAlgos,CryptoAlgos.java,rdpclient/ntlmssp/CryptoAlgos.java,java/rdpclient/ntlmssp/CryptoAlgos.java,In class rdpclient.ntlmssp.CryptoAlgos,rdpclient.ntlmssp.CryptoAlgos,true,rdpclient.ntlmssp.CryptoAlgos,185,187,0,101,CryptoAlgos.java,rdpclient/ntlmssp/CryptoAlgos.java,java/rdpclient/ntlmssp/CryptoAlgos.java,In method rdpclient.ntlmssp.CryptoAlgos.MD5(byte[]),rdpclient.ntlmssp.CryptoAlgos,MD5,([B)[B,true,true,At CryptoAlgos.java:[line 185],rdpclient.ntlmssp.CryptoAlgos,true,185,185,2,2,CryptoAlgos.java,rdpclient/ntlmssp/CryptoAlgos.java,java/rdpclient/ntlmssp/CryptoAlgos.java,,,,,,,,,,Value MD5,MD5,,WEAK_MESSAGE_DIGEST_MD5,1,5,SECMD5,SECURITY,3b6da50eb74f9814b61775dd6e2a1e1e,0,0,328,,,,,,,,,,,,,
"MD2, MD4 and MD5 are weak hash functions",MD5 is not a recommended cryptographic hash function,In CryptoAlgos.java,rdpclient.ntlmssp.CryptoAlgos,CryptoAlgos.java,rdpclient/ntlmssp/CryptoAlgos.java,java/rdpclient/ntlmssp/CryptoAlgos.java,In class rdpclient.ntlmssp.CryptoAlgos,rdpclient.ntlmssp.CryptoAlgos,true,rdpclient.ntlmssp.CryptoAlgos,197,199,0,101,CryptoAlgos.java,rdpclient/ntlmssp/CryptoAlgos.java,java/rdpclient/ntlmssp/CryptoAlgos.java,In method rdpclient.ntlmssp.CryptoAlgos.MD5_HASH(byte[]),rdpclient.ntlmssp.CryptoAlgos,MD5_HASH,([B)[B,true,true,At CryptoAlgos.java:[line 197],rdpclient.ntlmssp.CryptoAlgos,true,197,197,2,2,CryptoAlgos.java,rdpclient/ntlmssp/CryptoAlgos.java,java/rdpclient/ntlmssp/CryptoAlgos.java,,,,,,,,,,Value MD5,MD5,,WEAK_MESSAGE_DIGEST_MD5,1,5,SECMD5,SECURITY,2c29aa1e68c45ad3d0795218912b4aa1,0,0,328,,,,,,,,,,,,,
Hard Coded Key,Hard coded cryptographic key found,At NtlmState.java:[lines 26-885],rdpclient.ntlmssp.NtlmState,NtlmState.java,rdpclient/ntlmssp/NtlmState.java,java/rdpclient/ntlmssp/NtlmState.java,In class rdpclient.ntlmssp.NtlmState,rdpclient.ntlmssp.NtlmState,true,,,,,,,,,,,,,,,At NtlmState.java:[lines 26-885],rdpclient.ntlmssp.NtlmState,,26,885,,,NtlmState.java,rdpclient/ntlmssp/NtlmState.java,java/rdpclient/ntlmssp/NtlmState.java,,,,,,,,,,Value is hard coded in field rdpclient.ntlmssp.NtlmState.keyExchangeKey[B with suspicious name,is hard coded in field rdpclient.ntlmssp.NtlmState.keyExchangeKey[B with suspicious name,,HARD_CODE_KEY,2,7,SECHCK,SECURITY,114989e84cd14b578c61f6c71f10fc22,0,0,321,26,885,true,true,Value is hard coded in field rdpclient.ntlmssp.NtlmState.randomSessionKey[B with suspicious name,is hard coded in field rdpclient.ntlmssp.NtlmState.randomSessionKey[B with suspicious name,Value is hard coded in field rdpclient.ntlmssp.NtlmState.recvSigningKey[B with suspicious name,is hard coded in field rdpclient.ntlmssp.NtlmState.recvSigningKey[B with suspicious name,Value is hard coded in field rdpclient.ntlmssp.NtlmState.exportedSessionKey[B with suspicious name,is hard coded in field rdpclient.ntlmssp.NtlmState.exportedSessionKey[B with suspicious name,Value is hard coded in field rdpclient.ntlmssp.NtlmState.sendSigningKey[B with suspicious name,is hard coded in field rdpclient.ntlmssp.NtlmState.sendSigningKey[B with suspicious name,
Potential CRLF Injection for logs,This use of Logger.info(...) might be used to include CRLF characters into log messages,In InputStreamSource.java,streamer.InputStreamSource,InputStreamSource.java,streamer/InputStreamSource.java,java/streamer/InputStreamSource.java,In class streamer.InputStreamSource,streamer.InputStreamSource,true,streamer.InputStreamSource,148,163,0,271,InputStreamSource.java,streamer/InputStreamSource.java,java/streamer/InputStreamSource.java,In method streamer.InputStreamSource.closeStream(),streamer.InputStreamSource,closeStream,()V,false,true,At InputStreamSource.java:[line 154],streamer.InputStreamSource,true,154,154,73,73,InputStreamSource.java,streamer/InputStreamSource.java,java/streamer/InputStreamSource.java,At InputStreamSource.java:[line 155],streamer.InputStreamSource,155,155,70,70,InputStreamSource.java,streamer/InputStreamSource.java,java/streamer/InputStreamSource.java,Sink method Logger.info(...),Logger.info(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,3e84d85804bb7a72f612ff2af35fe9b,0,1,117,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.info(...) might be used to include CRLF characters into log messages,In InputStreamSource.java,streamer.InputStreamSource,InputStreamSource.java,streamer/InputStreamSource.java,java/streamer/InputStreamSource.java,In class streamer.InputStreamSource,streamer.InputStreamSource,true,streamer.InputStreamSource,148,163,0,271,InputStreamSource.java,streamer/InputStreamSource.java,java/streamer/InputStreamSource.java,In method streamer.InputStreamSource.closeStream(),streamer.InputStreamSource,closeStream,()V,false,true,At InputStreamSource.java:[line 160],streamer.InputStreamSource,true,160,160,115,115,InputStreamSource.java,streamer/InputStreamSource.java,java/streamer/InputStreamSource.java,At InputStreamSource.java:[line 161],streamer.InputStreamSource,161,161,112,112,InputStreamSource.java,streamer/InputStreamSource.java,java/streamer/InputStreamSource.java,Sink method Logger.info(...),Logger.info(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,3e84d85804bb7a72f612ff2af35fe9b,1,1,117,,,,,,,,,,,,,
