ShortMessage,LongMessage,Class/SourceLine/0/Message,Class/SourceLine/0/_classname,Class/SourceLine/0/_sourcefile,Class/SourceLine/0/_sourcepath,Class/SourceLine/0/_relSourcepath,Class/Message,Class/_classname,Class/_primary,Method/SourceLine/0/_classname,Method/SourceLine/0/_start,Method/SourceLine/0/_end,Method/SourceLine/0/_startBytecode,Method/SourceLine/0/_endBytecode,Method/SourceLine/0/_sourcefile,Method/SourceLine/0/_sourcepath,Method/SourceLine/0/_relSourcepath,Method/Message,Method/_classname,Method/_name,Method/_signature,Method/_isStatic,Method/_primary,SourceLine/0/Message,SourceLine/0/_classname,SourceLine/0/_primary,SourceLine/0/_start,SourceLine/0/_end,SourceLine/0/_startBytecode,SourceLine/0/_endBytecode,SourceLine/0/_sourcefile,SourceLine/0/_sourcepath,SourceLine/0/_relSourcepath,SourceLine/1/Message,SourceLine/1/_classname,SourceLine/1/_start,SourceLine/1/_end,SourceLine/1/_startBytecode,SourceLine/1/_endBytecode,SourceLine/1/_sourcefile,SourceLine/1/_sourcepath,SourceLine/1/_relSourcepath,String/Message,String/_value,String/_role,_type,_priority,_rank,_abbrev,_category,_instanceHash,_instanceOccurrenceNum,_instanceOccurrenceMax,_cweid,SourceLine/1/_primary
Potential CRLF Injection for logs,This use of Logger.warn(...) might be used to include CRLF characters into log messages,In UsageAlertManagerImpl.java,com.cloud.usage.UsageAlertManagerImpl,UsageAlertManagerImpl.java,com/cloud/usage/UsageAlertManagerImpl.java,java/com/cloud/usage/UsageAlertManagerImpl.java,In class com.cloud.usage.UsageAlertManagerImpl,com.cloud.usage.UsageAlertManagerImpl,true,com.cloud.usage.UsageAlertManagerImpl,254,258,0,180,UsageAlertManagerImpl.java,com/cloud/usage/UsageAlertManagerImpl.java,java/com/cloud/usage/UsageAlertManagerImpl.java,"In method com.cloud.usage.UsageAlertManagerImpl.generateAlert(AlertService$AlertType, long, Long, String)",com.cloud.usage.UsageAlertManagerImpl,generateAlert,(Lorg/apache/cloudstack/alert/AlertService$AlertType;JLjava/lang/Long;Ljava/lang/String;)Z,false,true,At UsageAlertManagerImpl.java:[line 257],com.cloud.usage.UsageAlertManagerImpl,true,257,257,48,48,UsageAlertManagerImpl.java,com/cloud/usage/UsageAlertManagerImpl.java,java/com/cloud/usage/UsageAlertManagerImpl.java,At UsageAlertManagerImpl.java:[line 257],com.cloud.usage.UsageAlertManagerImpl,257,257,45,45,UsageAlertManagerImpl.java,com/cloud/usage/UsageAlertManagerImpl.java,java/com/cloud/usage/UsageAlertManagerImpl.java,Sink method Logger.warn(...),Logger.warn(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,4f62c8fc2330b2265252afd738e02f27,0,0,117,
Potential CRLF Injection for logs,This use of Logger.warn(...) might be used to include CRLF characters into log messages,In UsageAlertManagerImpl.java,com.cloud.usage.UsageAlertManagerImpl,UsageAlertManagerImpl.java,com/cloud/usage/UsageAlertManagerImpl.java,java/com/cloud/usage/UsageAlertManagerImpl.java,In class com.cloud.usage.UsageAlertManagerImpl,com.cloud.usage.UsageAlertManagerImpl,true,com.cloud.usage.UsageAlertManagerImpl,102,111,0,264,UsageAlertManagerImpl.java,com/cloud/usage/UsageAlertManagerImpl.java,java/com/cloud/usage/UsageAlertManagerImpl.java,"In method com.cloud.usage.UsageAlertManagerImpl.sendAlert(AlertService$AlertType, long, Long, String, String)",com.cloud.usage.UsageAlertManagerImpl,sendAlert,(Lorg/apache/cloudstack/alert/AlertService$AlertType;JLjava/lang/Long;Ljava/lang/String;Ljava/lang/String;)V,false,true,At UsageAlertManagerImpl.java:[line 105],com.cloud.usage.UsageAlertManagerImpl,true,105,105,95,95,UsageAlertManagerImpl.java,com/cloud/usage/UsageAlertManagerImpl.java,java/com/cloud/usage/UsageAlertManagerImpl.java,At UsageAlertManagerImpl.java:[line 105],com.cloud.usage.UsageAlertManagerImpl,105,105,92,92,UsageAlertManagerImpl.java,com/cloud/usage/UsageAlertManagerImpl.java,java/com/cloud/usage/UsageAlertManagerImpl.java,Sink method Logger.warn(...),Logger.warn(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,9d2f1c78ba420a474340a58d66beeda8,0,0,117,
Potential CRLF Injection for logs,This use of Logger.error(...) might be used to include CRLF characters into log messages,In UsageAlertManagerImpl.java,com.cloud.usage.UsageAlertManagerImpl$EmailAlert,UsageAlertManagerImpl.java,com/cloud/usage/UsageAlertManagerImpl.java,java/com/cloud/usage/UsageAlertManagerImpl.java,In class com.cloud.usage.UsageAlertManagerImpl$EmailAlert,com.cloud.usage.UsageAlertManagerImpl$EmailAlert,true,com.cloud.usage.UsageAlertManagerImpl$EmailAlert,124,173,0,720,UsageAlertManagerImpl.java,com/cloud/usage/UsageAlertManagerImpl.java,java/com/cloud/usage/UsageAlertManagerImpl.java,"In method new com.cloud.usage.UsageAlertManagerImpl$EmailAlert(UsageAlertManagerImpl, String[], String, int, boolean, String, String, String, boolean)",com.cloud.usage.UsageAlertManagerImpl$EmailAlert,<init>,(Lcom/cloud/usage/UsageAlertManagerImpl;[Ljava/lang/String;Ljava/lang/String;IZLjava/lang/String;Ljava/lang/String;Ljava/lang/String;Z)V,false,true,At UsageAlertManagerImpl.java:[line 131],com.cloud.usage.UsageAlertManagerImpl$EmailAlert,true,131,131,96,96,UsageAlertManagerImpl.java,com/cloud/usage/UsageAlertManagerImpl.java,java/com/cloud/usage/UsageAlertManagerImpl.java,At UsageAlertManagerImpl.java:[line 131],com.cloud.usage.UsageAlertManagerImpl$EmailAlert,131,131,91,91,UsageAlertManagerImpl.java,com/cloud/usage/UsageAlertManagerImpl.java,java/com/cloud/usage/UsageAlertManagerImpl.java,Sink method Logger.error(...),Logger.error(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,5cece06755f887b675af090c273ea5f2,0,0,117,
Potential CRLF Injection for logs,This use of Logger.warn(...) might be used to include CRLF characters into log messages,In UsageAlertManagerImpl.java,com.cloud.usage.UsageAlertManagerImpl$EmailAlert,UsageAlertManagerImpl.java,com/cloud/usage/UsageAlertManagerImpl.java,java/com/cloud/usage/UsageAlertManagerImpl.java,In class com.cloud.usage.UsageAlertManagerImpl$EmailAlert,com.cloud.usage.UsageAlertManagerImpl$EmailAlert,true,com.cloud.usage.UsageAlertManagerImpl$EmailAlert,178,231,0,879,UsageAlertManagerImpl.java,com/cloud/usage/UsageAlertManagerImpl.java,java/com/cloud/usage/UsageAlertManagerImpl.java,"In method com.cloud.usage.UsageAlertManagerImpl$EmailAlert.sendAlert(AlertService$AlertType, long, Long, String, String)",com.cloud.usage.UsageAlertManagerImpl$EmailAlert,sendAlert,(Lorg/apache/cloudstack/alert/AlertService$AlertType;JLjava/lang/Long;Ljava/lang/String;Ljava/lang/String;)V,false,true,At UsageAlertManagerImpl.java:[line 178],com.cloud.usage.UsageAlertManagerImpl$EmailAlert,true,178,178,60,60,UsageAlertManagerImpl.java,com/cloud/usage/UsageAlertManagerImpl.java,java/com/cloud/usage/UsageAlertManagerImpl.java,At UsageAlertManagerImpl.java:[line 178],com.cloud.usage.UsageAlertManagerImpl$EmailAlert,178,178,57,57,UsageAlertManagerImpl.java,com/cloud/usage/UsageAlertManagerImpl.java,java/com/cloud/usage/UsageAlertManagerImpl.java,Sink method Logger.warn(...),Logger.warn(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,98804376c0710081edde566c9c847bc2,0,0,117,
Potential CRLF Injection for logs,This use of Logger.debug(...) might be used to include CRLF characters into log messages,In UsageAlertManagerImpl.java,com.cloud.usage.UsageAlertManagerImpl$EmailAlert,UsageAlertManagerImpl.java,com/cloud/usage/UsageAlertManagerImpl.java,java/com/cloud/usage/UsageAlertManagerImpl.java,In class com.cloud.usage.UsageAlertManagerImpl$EmailAlert,com.cloud.usage.UsageAlertManagerImpl$EmailAlert,true,com.cloud.usage.UsageAlertManagerImpl$EmailAlert,178,231,0,879,UsageAlertManagerImpl.java,com/cloud/usage/UsageAlertManagerImpl.java,java/com/cloud/usage/UsageAlertManagerImpl.java,"In method com.cloud.usage.UsageAlertManagerImpl$EmailAlert.sendAlert(AlertService$AlertType, long, Long, String, String)",com.cloud.usage.UsageAlertManagerImpl$EmailAlert,sendAlert,(Lorg/apache/cloudstack/alert/AlertService$AlertType;JLjava/lang/Long;Ljava/lang/String;Ljava/lang/String;)V,false,true,At UsageAlertManagerImpl.java:[line 204],com.cloud.usage.UsageAlertManagerImpl$EmailAlert,true,204,204,273,273,UsageAlertManagerImpl.java,com/cloud/usage/UsageAlertManagerImpl.java,java/com/cloud/usage/UsageAlertManagerImpl.java,At UsageAlertManagerImpl.java:[line 204],com.cloud.usage.UsageAlertManagerImpl$EmailAlert,204,204,270,270,UsageAlertManagerImpl.java,com/cloud/usage/UsageAlertManagerImpl.java,java/com/cloud/usage/UsageAlertManagerImpl.java,Sink method Logger.debug(...),Logger.debug(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,808836dc0191e778f7e1a891b0182362,0,0,117,
Potential CRLF Injection for logs,This use of Logger.info(...) might be used to include CRLF characters into log messages,In UsageManagerImpl.java,com.cloud.usage.UsageManagerImpl,UsageManagerImpl.java,com/cloud/usage/UsageManagerImpl.java,java/com/cloud/usage/UsageManagerImpl.java,In class com.cloud.usage.UsageManagerImpl,com.cloud.usage.UsageManagerImpl,true,com.cloud.usage.UsageManagerImpl,190,275,0,1524,UsageManagerImpl.java,com/cloud/usage/UsageManagerImpl.java,java/com/cloud/usage/UsageManagerImpl.java,"In method com.cloud.usage.UsageManagerImpl.configure(String, Map)",com.cloud.usage.UsageManagerImpl,configure,(Ljava/lang/String;Ljava/util/Map;)Z,false,true,At UsageManagerImpl.java:[line 201],com.cloud.usage.UsageManagerImpl,true,201,201,83,83,UsageManagerImpl.java,com/cloud/usage/UsageManagerImpl.java,java/com/cloud/usage/UsageManagerImpl.java,At UsageManagerImpl.java:[line 201],com.cloud.usage.UsageManagerImpl,201,201,80,80,UsageManagerImpl.java,com/cloud/usage/UsageManagerImpl.java,java/com/cloud/usage/UsageManagerImpl.java,Sink method Logger.info(...),Logger.info(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,1fb9ce51e228ec02a30b216640a692f4,0,0,117,
Potential CRLF Injection for logs,This use of Logger.debug(...) might be used to include CRLF characters into log messages,In UsageManagerImpl.java,com.cloud.usage.UsageManagerImpl,UsageManagerImpl.java,com/cloud/usage/UsageManagerImpl.java,java/com/cloud/usage/UsageManagerImpl.java,In class com.cloud.usage.UsageManagerImpl,com.cloud.usage.UsageManagerImpl,true,com.cloud.usage.UsageManagerImpl,190,275,0,1524,UsageManagerImpl.java,com/cloud/usage/UsageManagerImpl.java,java/com/cloud/usage/UsageManagerImpl.java,"In method com.cloud.usage.UsageManagerImpl.configure(String, Map)",com.cloud.usage.UsageManagerImpl,configure,(Ljava/lang/String;Ljava/util/Map;)Z,false,true,At UsageManagerImpl.java:[line 225],com.cloud.usage.UsageManagerImpl,true,225,225,296,296,UsageManagerImpl.java,com/cloud/usage/UsageManagerImpl.java,java/com/cloud/usage/UsageManagerImpl.java,At UsageManagerImpl.java:[line 225],com.cloud.usage.UsageManagerImpl,225,225,293,293,UsageManagerImpl.java,com/cloud/usage/UsageManagerImpl.java,java/com/cloud/usage/UsageManagerImpl.java,Sink method Logger.debug(...),Logger.debug(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,e803349a84b33d925604c5faf154aaee,0,2,117,
Potential CRLF Injection for logs,This use of Logger.error(...) might be used to include CRLF characters into log messages,In UsageManagerImpl.java,com.cloud.usage.UsageManagerImpl,UsageManagerImpl.java,com/cloud/usage/UsageManagerImpl.java,java/com/cloud/usage/UsageManagerImpl.java,In class com.cloud.usage.UsageManagerImpl,com.cloud.usage.UsageManagerImpl,true,com.cloud.usage.UsageManagerImpl,190,275,0,1524,UsageManagerImpl.java,com/cloud/usage/UsageManagerImpl.java,java/com/cloud/usage/UsageManagerImpl.java,"In method com.cloud.usage.UsageManagerImpl.configure(String, Map)",com.cloud.usage.UsageManagerImpl,configure,(Ljava/lang/String;Ljava/util/Map;)Z,false,true,At UsageManagerImpl.java:[line 229],com.cloud.usage.UsageManagerImpl,true,229,229,342,342,UsageManagerImpl.java,com/cloud/usage/UsageManagerImpl.java,java/com/cloud/usage/UsageManagerImpl.java,At UsageManagerImpl.java:[line 229],com.cloud.usage.UsageManagerImpl,229,229,339,339,UsageManagerImpl.java,com/cloud/usage/UsageManagerImpl.java,java/com/cloud/usage/UsageManagerImpl.java,Sink method Logger.error(...),Logger.error(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,fd78da35b8649f2b36f0eb6a2bd97678,0,0,117,
Potential CRLF Injection for logs,This use of Logger.debug(...) might be used to include CRLF characters into log messages,In UsageManagerImpl.java,com.cloud.usage.UsageManagerImpl,UsageManagerImpl.java,com/cloud/usage/UsageManagerImpl.java,java/com/cloud/usage/UsageManagerImpl.java,In class com.cloud.usage.UsageManagerImpl,com.cloud.usage.UsageManagerImpl,true,com.cloud.usage.UsageManagerImpl,190,275,0,1524,UsageManagerImpl.java,com/cloud/usage/UsageManagerImpl.java,java/com/cloud/usage/UsageManagerImpl.java,"In method com.cloud.usage.UsageManagerImpl.configure(String, Map)",com.cloud.usage.UsageManagerImpl,configure,(Ljava/lang/String;Ljava/util/Map;)Z,false,true,At UsageManagerImpl.java:[line 257],com.cloud.usage.UsageManagerImpl,true,257,257,599,599,UsageManagerImpl.java,com/cloud/usage/UsageManagerImpl.java,java/com/cloud/usage/UsageManagerImpl.java,At UsageManagerImpl.java:[line 257],com.cloud.usage.UsageManagerImpl,257,257,596,596,UsageManagerImpl.java,com/cloud/usage/UsageManagerImpl.java,java/com/cloud/usage/UsageManagerImpl.java,Sink method Logger.debug(...),Logger.debug(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,e803349a84b33d925604c5faf154aaee,1,2,117,
Potential CRLF Injection for logs,This use of Logger.debug(...) might be used to include CRLF characters into log messages,In UsageManagerImpl.java,com.cloud.usage.UsageManagerImpl,UsageManagerImpl.java,com/cloud/usage/UsageManagerImpl.java,java/com/cloud/usage/UsageManagerImpl.java,In class com.cloud.usage.UsageManagerImpl,com.cloud.usage.UsageManagerImpl,true,com.cloud.usage.UsageManagerImpl,190,275,0,1524,UsageManagerImpl.java,com/cloud/usage/UsageManagerImpl.java,java/com/cloud/usage/UsageManagerImpl.java,"In method com.cloud.usage.UsageManagerImpl.configure(String, Map)",com.cloud.usage.UsageManagerImpl,configure,(Ljava/lang/String;Ljava/util/Map;)Z,false,true,At UsageManagerImpl.java:[line 259],com.cloud.usage.UsageManagerImpl,true,259,259,640,640,UsageManagerImpl.java,com/cloud/usage/UsageManagerImpl.java,java/com/cloud/usage/UsageManagerImpl.java,At UsageManagerImpl.java:[line 259],com.cloud.usage.UsageManagerImpl,259,259,637,637,UsageManagerImpl.java,com/cloud/usage/UsageManagerImpl.java,java/com/cloud/usage/UsageManagerImpl.java,Sink method Logger.debug(...),Logger.debug(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,e803349a84b33d925604c5faf154aaee,2,2,117,
