ShortMessage,LongMessage,Class/SourceLine/0/Message,Class/SourceLine/0/_classname,Class/SourceLine/0/_sourcefile,Class/SourceLine/0/_sourcepath,Class/SourceLine/0/_relSourcepath,Class/Message,Class/_classname,Class/_primary,Method/SourceLine/0/_classname,Method/SourceLine/0/_start,Method/SourceLine/0/_end,Method/SourceLine/0/_startBytecode,Method/SourceLine/0/_endBytecode,Method/SourceLine/0/_sourcefile,Method/SourceLine/0/_sourcepath,Method/SourceLine/0/_relSourcepath,Method/Message,Method/_classname,Method/_name,Method/_signature,Method/_isStatic,Method/_primary,SourceLine/0/Message,SourceLine/0/_classname,SourceLine/0/_primary,SourceLine/0/_start,SourceLine/0/_end,SourceLine/0/_startBytecode,SourceLine/0/_endBytecode,SourceLine/0/_sourcefile,SourceLine/0/_sourcepath,SourceLine/0/_relSourcepath,SourceLine/1/Message,SourceLine/1/_classname,SourceLine/1/_start,SourceLine/1/_end,SourceLine/1/_startBytecode,SourceLine/1/_endBytecode,SourceLine/1/_sourcefile,SourceLine/1/_sourcepath,SourceLine/1/_relSourcepath,String/0/Message,String/0/_value,String/0/_role,_type,_priority,_rank,_abbrev,_category,_instanceHash,_instanceOccurrenceNum,_instanceOccurrenceMax,_cweid,String/1/Message,String/1/_value,String/1/_role,SourceLine/2/Message,SourceLine/2/_classname,SourceLine/2/_start,SourceLine/2/_end,SourceLine/2/_startBytecode,SourceLine/2/_endBytecode,SourceLine/2/_sourcefile,SourceLine/2/_sourcepath,SourceLine/2/_relSourcepath,SourceLine/3/Message,SourceLine/3/_classname,SourceLine/3/_start,SourceLine/3/_end,SourceLine/3/_startBytecode,SourceLine/3/_endBytecode,SourceLine/3/_sourcefile,SourceLine/3/_sourcepath,SourceLine/3/_relSourcepath,Method/SourceLine/0/_synthetic,SourceLine/0/_synthetic,Class/SourceLine/0/_start,Class/SourceLine/0/_end,Class/SourceLine/0/_synthetic,SourceLine/4/Message,SourceLine/4/_classname,SourceLine/4/_start,SourceLine/4/_end,SourceLine/4/_startBytecode,SourceLine/4/_endBytecode,SourceLine/4/_sourcefile,SourceLine/4/_sourcepath,SourceLine/4/_relSourcepath,SourceLine/5/Message,SourceLine/5/_classname,SourceLine/5/_start,SourceLine/5/_end,SourceLine/5/_startBytecode,SourceLine/5/_endBytecode,SourceLine/5/_sourcefile,SourceLine/5/_sourcepath,SourceLine/5/_relSourcepath
Potential CRLF Injection for logs,This use of Logger.warn(...) might be used to include CRLF characters into log messages,In AutoCloseableUtil.java,com.cloud.utils.AutoCloseableUtil,AutoCloseableUtil.java,com/cloud/utils/AutoCloseableUtil.java,java/com/cloud/utils/AutoCloseableUtil.java,In class com.cloud.utils.AutoCloseableUtil,com.cloud.utils.AutoCloseableUtil,true,com.cloud.utils.AutoCloseableUtil,27,34,0,144,AutoCloseableUtil.java,com/cloud/utils/AutoCloseableUtil.java,java/com/cloud/utils/AutoCloseableUtil.java,"In method com.cloud.utils.AutoCloseableUtil.closeAutoCloseable(AutoCloseable, String)",com.cloud.utils.AutoCloseableUtil,closeAutoCloseable,(Ljava/lang/AutoCloseable;Ljava/lang/String;)V,true,true,At AutoCloseableUtil.java:[line 32],com.cloud.utils.AutoCloseableUtil,true,32,32,37,37,AutoCloseableUtil.java,com/cloud/utils/AutoCloseableUtil.java,java/com/cloud/utils/AutoCloseableUtil.java,At AutoCloseableUtil.java:[line 32],com.cloud.utils.AutoCloseableUtil,32,32,33,33,AutoCloseableUtil.java,com/cloud/utils/AutoCloseableUtil.java,java/com/cloud/utils/AutoCloseableUtil.java,Sink method Logger.warn(...),Logger.warn(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,f5a8855fa87a018c55c49ac391f0b519,0,0,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.error(...) might be used to include CRLF characters into log messages,In EncryptionUtil.java,com.cloud.utils.EncryptionUtil,EncryptionUtil.java,com/cloud/utils/EncryptionUtil.java,java/com/cloud/utils/EncryptionUtil.java,In class com.cloud.utils.EncryptionUtil,com.cloud.utils.EncryptionUtil,true,com.cloud.utils.EncryptionUtil,62,70,0,248,EncryptionUtil.java,com/cloud/utils/EncryptionUtil.java,java/com/cloud/utils/EncryptionUtil.java,"In method com.cloud.utils.EncryptionUtil.generateSignature(String, String)",com.cloud.utils.EncryptionUtil,generateSignature,(Ljava/lang/String;Ljava/lang/String;)Ljava/lang/String;,true,true,At EncryptionUtil.java:[line 69],com.cloud.utils.EncryptionUtil,true,69,69,75,75,EncryptionUtil.java,com/cloud/utils/EncryptionUtil.java,java/com/cloud/utils/EncryptionUtil.java,At EncryptionUtil.java:[line 69],com.cloud.utils.EncryptionUtil,69,69,72,72,EncryptionUtil.java,com/cloud/utils/EncryptionUtil.java,java/com/cloud/utils/EncryptionUtil.java,Sink method Logger.error(...),Logger.error(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,d15c1745647be64fcc5b0263842a3255,0,0,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potentially sensitive data in a cookie,Sensitive data may be stored by the application in a cookie,In HttpUtils.java,com.cloud.utils.HttpUtils,HttpUtils.java,com/cloud/utils/HttpUtils.java,java/com/cloud/utils/HttpUtils.java,In class com.cloud.utils.HttpUtils,com.cloud.utils.HttpUtils,true,com.cloud.utils.HttpUtils,95,103,0,175,HttpUtils.java,com/cloud/utils/HttpUtils.java,java/com/cloud/utils/HttpUtils.java,"In method com.cloud.utils.HttpUtils.findCookie(Cookie[], String)",com.cloud.utils.HttpUtils,findCookie,([Ljavax/servlet/http/Cookie;Ljava/lang/String;)Ljava/lang/String;,true,true,At HttpUtils.java:[line 99],com.cloud.utils.HttpUtils,true,99,99,44,44,HttpUtils.java,com/cloud/utils/HttpUtils.java,java/com/cloud/utils/HttpUtils.java,,,,,,,,,,,,,COOKIE_USAGE,3,10,SECCU,SECURITY,a0d84464680ba49bd8252b86b3eb8451,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potentially sensitive data in a cookie,Sensitive data may be stored by the application in a cookie,In HttpUtils.java,com.cloud.utils.HttpUtils,HttpUtils.java,com/cloud/utils/HttpUtils.java,java/com/cloud/utils/HttpUtils.java,In class com.cloud.utils.HttpUtils,com.cloud.utils.HttpUtils,true,com.cloud.utils.HttpUtils,95,103,0,175,HttpUtils.java,com/cloud/utils/HttpUtils.java,java/com/cloud/utils/HttpUtils.java,"In method com.cloud.utils.HttpUtils.findCookie(Cookie[], String)",com.cloud.utils.HttpUtils,findCookie,([Ljavax/servlet/http/Cookie;Ljava/lang/String;)Ljava/lang/String;,true,true,At HttpUtils.java:[line 100],com.cloud.utils.HttpUtils,true,100,100,56,56,HttpUtils.java,com/cloud/utils/HttpUtils.java,java/com/cloud/utils/HttpUtils.java,,,,,,,,,,,,,COOKIE_USAGE,3,10,SECCU,SECURITY,a0d84464680ba49bd8252b86b3eb8451,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.trace(...) might be used to include CRLF characters into log messages,In HttpUtils.java,com.cloud.utils.HttpUtils,HttpUtils.java,com/cloud/utils/HttpUtils.java,java/com/cloud/utils/HttpUtils.java,In class com.cloud.utils.HttpUtils,com.cloud.utils.HttpUtils,true,com.cloud.utils.HttpUtils,69,92,0,364,HttpUtils.java,com/cloud/utils/HttpUtils.java,java/com/cloud/utils/HttpUtils.java,"In method com.cloud.utils.HttpUtils.writeHttpResponse(HttpServletResponse, String, Integer, String, String)",com.cloud.utils.HttpUtils,writeHttpResponse,(Ljavax/servlet/http/HttpServletResponse;Ljava/lang/String;Ljava/lang/Integer;Ljava/lang/String;Ljava/lang/String;)V,true,true,At HttpUtils.java:[line 85],com.cloud.utils.HttpUtils,true,85,85,126,126,HttpUtils.java,com/cloud/utils/HttpUtils.java,java/com/cloud/utils/HttpUtils.java,At HttpUtils.java:[line 85],com.cloud.utils.HttpUtils,85,85,123,123,HttpUtils.java,com/cloud/utils/HttpUtils.java,java/com/cloud/utils/HttpUtils.java,Sink method Logger.trace(...),Logger.trace(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,f82a86f93b423195127411222999654f,0,0,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potential XSS in Servlet,This use of PrintWriter.print(...) could be vulnerable to XSS,In HttpUtils.java,com.cloud.utils.HttpUtils,HttpUtils.java,com/cloud/utils/HttpUtils.java,java/com/cloud/utils/HttpUtils.java,In class com.cloud.utils.HttpUtils,com.cloud.utils.HttpUtils,true,com.cloud.utils.HttpUtils,69,92,0,364,HttpUtils.java,com/cloud/utils/HttpUtils.java,java/com/cloud/utils/HttpUtils.java,"In method com.cloud.utils.HttpUtils.writeHttpResponse(HttpServletResponse, String, Integer, String, String)",com.cloud.utils.HttpUtils,writeHttpResponse,(Ljavax/servlet/http/HttpServletResponse;Ljava/lang/String;Ljava/lang/Integer;Ljava/lang/String;Ljava/lang/String;)V,true,true,At HttpUtils.java:[line 82],com.cloud.utils.HttpUtils,true,82,82,86,86,HttpUtils.java,com/cloud/utils/HttpUtils.java,java/com/cloud/utils/HttpUtils.java,,,,,,,,,,Sink method PrintWriter.print(...),PrintWriter.print(...),Sink method,XSS_SERVLET,2,7,SECXSS2,SECURITY,1c14bafa7da287f519235188e8fe2b48,0,0,79,Method usage not detected,not detected,Method usage,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.log(...) might be used to include CRLF characters into log messages,In Journal.java,com.cloud.utils.Journal,Journal.java,com/cloud/utils/Journal.java,java/com/cloud/utils/Journal.java,In class com.cloud.utils.Journal,com.cloud.utils.Journal,true,com.cloud.utils.Journal,52,61,0,204,Journal.java,com/cloud/utils/Journal.java,java/com/cloud/utils/Journal.java,"In method com.cloud.utils.Journal.record(Logger, Level, String, Object[])",com.cloud.utils.Journal,record,(Lorg/apache/log4j/Logger;Lorg/apache/log4j/Level;Ljava/lang/String;[Ljava/lang/Object;)V,false,true,At Journal.java:[line 57],com.cloud.utils.Journal,true,57,57,47,47,Journal.java,com/cloud/utils/Journal.java,java/com/cloud/utils/Journal.java,At Journal.java:[line 55],com.cloud.utils.Journal,55,55,28,28,Journal.java,com/cloud/utils/Journal.java,java/com/cloud/utils/Journal.java,Sink method Logger.log(...),Logger.log(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,5b3ab3e70de36240e9714c29dcf2583b,0,0,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.info(...) might be used to include CRLF characters into log messages,In LogUtils.java,com.cloud.utils.LogUtils,LogUtils.java,com/cloud/utils/LogUtils.java,java/com/cloud/utils/LogUtils.java,In class com.cloud.utils.LogUtils,com.cloud.utils.LogUtils,true,com.cloud.utils.LogUtils,31,44,0,259,LogUtils.java,com/cloud/utils/LogUtils.java,java/com/cloud/utils/LogUtils.java,In method com.cloud.utils.LogUtils.initLog4j(String),com.cloud.utils.LogUtils,initLog4j,(Ljava/lang/String;)V,true,true,At LogUtils.java:[line 34],com.cloud.utils.LogUtils,true,34,34,52,52,LogUtils.java,com/cloud/utils/LogUtils.java,java/com/cloud/utils/LogUtils.java,At LogUtils.java:[line 34],com.cloud.utils.LogUtils,34,34,49,49,LogUtils.java,com/cloud/utils/LogUtils.java,java/com/cloud/utils/LogUtils.java,Sink method Logger.info(...),Logger.info(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,c0a58916cc4f8eef8ace8fd3ca28e4b8,0,1,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.info(...) might be used to include CRLF characters into log messages,In LogUtils.java,com.cloud.utils.LogUtils,LogUtils.java,com/cloud/utils/LogUtils.java,java/com/cloud/utils/LogUtils.java,In class com.cloud.utils.LogUtils,com.cloud.utils.LogUtils,true,com.cloud.utils.LogUtils,31,44,0,259,LogUtils.java,com/cloud/utils/LogUtils.java,java/com/cloud/utils/LogUtils.java,In method com.cloud.utils.LogUtils.initLog4j(String),com.cloud.utils.LogUtils,initLog4j,(Ljava/lang/String;)V,true,true,At LogUtils.java:[line 40],com.cloud.utils.LogUtils,true,40,40,129,129,LogUtils.java,com/cloud/utils/LogUtils.java,java/com/cloud/utils/LogUtils.java,At LogUtils.java:[line 40],com.cloud.utils.LogUtils,40,40,126,126,LogUtils.java,com/cloud/utils/LogUtils.java,java/com/cloud/utils/LogUtils.java,Sink method Logger.info(...),Logger.info(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,c0a58916cc4f8eef8ace8fd3ca28e4b8,1,1,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potential Path Traversal (file read),File(...) reads a file whose location might be specified by user input,In ProcessUtil.java,com.cloud.utils.ProcessUtil,ProcessUtil.java,com/cloud/utils/ProcessUtil.java,java/com/cloud/utils/ProcessUtil.java,In class com.cloud.utils.ProcessUtil,com.cloud.utils.ProcessUtil,true,com.cloud.utils.ProcessUtil,41,100,0,1003,ProcessUtil.java,com/cloud/utils/ProcessUtil.java,java/com/cloud/utils/ProcessUtil.java,"In method com.cloud.utils.ProcessUtil.pidCheck(String, String)",com.cloud.utils.ProcessUtil,pidCheck,(Ljava/lang/String;Ljava/lang/String;)V,true,true,At ProcessUtil.java:[line 58],com.cloud.utils.ProcessUtil,true,58,58,101,101,ProcessUtil.java,com/cloud/utils/ProcessUtil.java,java/com/cloud/utils/ProcessUtil.java,At ProcessUtil.java:[line 58],com.cloud.utils.ProcessUtil,58,58,98,98,ProcessUtil.java,com/cloud/utils/ProcessUtil.java,java/com/cloud/utils/ProcessUtil.java,Sink method File(...),File(...),Sink method,PATH_TRAVERSAL_IN,2,7,SECPTI,SECURITY,aa820068772de087c639ea85452ee616,0,0,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
