ShortMessage,LongMessage,Class/SourceLine/0/Message,Class/SourceLine/0/_classname,Class/SourceLine/0/_sourcefile,Class/SourceLine/0/_sourcepath,Class/SourceLine/0/_relSourcepath,Class/Message,Class/_classname,Class/_primary,Method/SourceLine/0/_classname,Method/SourceLine/0/_start,Method/SourceLine/0/_end,Method/SourceLine/0/_startBytecode,Method/SourceLine/0/_endBytecode,Method/SourceLine/0/_sourcefile,Method/SourceLine/0/_sourcepath,Method/SourceLine/0/_relSourcepath,Method/Message,Method/_classname,Method/_name,Method/_signature,Method/_isStatic,Method/_primary,SourceLine/0/Message,SourceLine/0/_classname,SourceLine/0/_primary,SourceLine/0/_start,SourceLine/0/_end,SourceLine/0/_startBytecode,SourceLine/0/_endBytecode,SourceLine/0/_sourcefile,SourceLine/0/_sourcepath,SourceLine/0/_relSourcepath,SourceLine/1/Message,SourceLine/1/_classname,SourceLine/1/_start,SourceLine/1/_end,SourceLine/1/_startBytecode,SourceLine/1/_endBytecode,SourceLine/1/_sourcefile,SourceLine/1/_sourcepath,SourceLine/1/_relSourcepath,String/Message,String/_value,String/_role,_type,_priority,_rank,_abbrev,_category,_instanceHash,_instanceOccurrenceNum,_instanceOccurrenceMax,_cweid,SourceLine/2/Message,SourceLine/2/_classname,SourceLine/2/_start,SourceLine/2/_end,SourceLine/2/_startBytecode,SourceLine/2/_endBytecode,SourceLine/2/_sourcefile,SourceLine/2/_sourcepath,SourceLine/2/_relSourcepath,SourceLine/3/Message,SourceLine/3/_classname,SourceLine/3/_start,SourceLine/3/_end,SourceLine/3/_startBytecode,SourceLine/3/_endBytecode,SourceLine/3/_sourcefile,SourceLine/3/_sourcepath,SourceLine/3/_relSourcepath,SourceLine/4/Message,SourceLine/4/_classname,SourceLine/4/_start,SourceLine/4/_end,SourceLine/4/_startBytecode,SourceLine/4/_endBytecode,SourceLine/4/_sourcefile,SourceLine/4/_sourcepath,SourceLine/4/_relSourcepath,SourceLine/5/Message,SourceLine/5/_classname,SourceLine/5/_start,SourceLine/5/_end,SourceLine/5/_startBytecode,SourceLine/5/_endBytecode,SourceLine/5/_sourcefile,SourceLine/5/_sourcepath,SourceLine/5/_relSourcepath,SourceLine/6/Message,SourceLine/6/_classname,SourceLine/6/_start,SourceLine/6/_end,SourceLine/6/_startBytecode,SourceLine/6/_endBytecode,SourceLine/6/_sourcefile,SourceLine/6/_sourcepath,SourceLine/6/_relSourcepath,SourceLine/7/Message,SourceLine/7/_classname,SourceLine/7/_start,SourceLine/7/_end,SourceLine/7/_startBytecode,SourceLine/7/_endBytecode,SourceLine/7/_sourcefile,SourceLine/7/_sourcepath,SourceLine/7/_relSourcepath,SourceLine/8/Message,SourceLine/8/_classname,SourceLine/8/_start,SourceLine/8/_end,SourceLine/8/_startBytecode,SourceLine/8/_endBytecode,SourceLine/8/_sourcefile,SourceLine/8/_sourcepath,SourceLine/8/_relSourcepath,SourceLine/9/Message,SourceLine/9/_classname,SourceLine/9/_start,SourceLine/9/_end,SourceLine/9/_startBytecode,SourceLine/9/_endBytecode,SourceLine/9/_sourcefile,SourceLine/9/_sourcepath,SourceLine/9/_relSourcepath,SourceLine/10/Message,SourceLine/10/_classname,SourceLine/10/_start,SourceLine/10/_end,SourceLine/10/_startBytecode,SourceLine/10/_endBytecode,SourceLine/10/_sourcefile,SourceLine/10/_sourcepath,SourceLine/10/_relSourcepath,SourceLine/11/Message,SourceLine/11/_classname,SourceLine/11/_start,SourceLine/11/_end,SourceLine/11/_startBytecode,SourceLine/11/_endBytecode,SourceLine/11/_sourcefile,SourceLine/11/_sourcepath,SourceLine/11/_relSourcepath,SourceLine/12/Message,SourceLine/12/_classname,SourceLine/12/_start,SourceLine/12/_end,SourceLine/12/_startBytecode,SourceLine/12/_endBytecode,SourceLine/12/_sourcefile,SourceLine/12/_sourcepath,SourceLine/12/_relSourcepath,SourceLine/13/Message,SourceLine/13/_classname,SourceLine/13/_start,SourceLine/13/_end,SourceLine/13/_startBytecode,SourceLine/13/_endBytecode,SourceLine/13/_sourcefile,SourceLine/13/_sourcepath,SourceLine/13/_relSourcepath,SourceLine/1/_primary
Potential CRLF Injection for logs,This use of Logger.debug(...) might be used to include CRLF characters into log messages,In AgentAttache.java,com.cloud.agent.manager.AgentAttache,AgentAttache.java,com/cloud/agent/manager/AgentAttache.java,java/com/cloud/agent/manager/AgentAttache.java,In class com.cloud.agent.manager.AgentAttache,com.cloud.agent.manager.AgentAttache,true,com.cloud.agent.manager.AgentAttache,195,206,0,200,AgentAttache.java,com/cloud/agent/manager/AgentAttache.java,java/com/cloud/agent/manager/AgentAttache.java,In method com.cloud.agent.manager.AgentAttache.cancel(long),com.cloud.agent.manager.AgentAttache,cancel,(J)V,false,true,At AgentAttache.java:[line 196],com.cloud.agent.manager.AgentAttache,true,196,196,19,19,AgentAttache.java,com/cloud/agent/manager/AgentAttache.java,java/com/cloud/agent/manager/AgentAttache.java,At AgentAttache.java:[line 196],com.cloud.agent.manager.AgentAttache,196,196,16,16,AgentAttache.java,com/cloud/agent/manager/AgentAttache.java,java/com/cloud/agent/manager/AgentAttache.java,Sink method Logger.debug(...),Logger.debug(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,e450ce88816cdef41d75bfa70649590a,0,0,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.debug(...) might be used to include CRLF characters into log messages,In AgentAttache.java,com.cloud.agent.manager.AgentAttache,AgentAttache.java,com/cloud/agent/manager/AgentAttache.java,java/com/cloud/agent/manager/AgentAttache.java,In class com.cloud.agent.manager.AgentAttache,com.cloud.agent.manager.AgentAttache,true,com.cloud.agent.manager.AgentAttache,315,328,0,356,AgentAttache.java,com/cloud/agent/manager/AgentAttache.java,java/com/cloud/agent/manager/AgentAttache.java,"In method com.cloud.agent.manager.AgentAttache.cancelAllCommands(Status, boolean)",com.cloud.agent.manager.AgentAttache,cancelAllCommands,(Lcom/cloud/host/Status;Z)V,false,true,At AgentAttache.java:[line 323],com.cloud.agent.manager.AgentAttache,true,323,323,113,113,AgentAttache.java,com/cloud/agent/manager/AgentAttache.java,java/com/cloud/agent/manager/AgentAttache.java,At AgentAttache.java:[line 323],com.cloud.agent.manager.AgentAttache,323,323,110,110,AgentAttache.java,com/cloud/agent/manager/AgentAttache.java,java/com/cloud/agent/manager/AgentAttache.java,Sink method Logger.debug(...),Logger.debug(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,efe3979da0277af6599b992fc40f74cc,0,0,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.debug(...) might be used to include CRLF characters into log messages,In AgentAttache.java,com.cloud.agent.manager.AgentAttache,AgentAttache.java,com/cloud/agent/manager/AgentAttache.java,java/com/cloud/agent/manager/AgentAttache.java,In class com.cloud.agent.manager.AgentAttache,com.cloud.agent.manager.AgentAttache,true,com.cloud.agent.manager.AgentAttache,254,271,0,358,AgentAttache.java,com/cloud/agent/manager/AgentAttache.java,java/com/cloud/agent/manager/AgentAttache.java,In method com.cloud.agent.manager.AgentAttache.getNonRecurringListenersSize(),com.cloud.agent.manager.AgentAttache,getNonRecurringListenersSize,()I,false,true,At AgentAttache.java:[line 265],com.cloud.agent.manager.AgentAttache,true,265,265,120,120,AgentAttache.java,com/cloud/agent/manager/AgentAttache.java,java/com/cloud/agent/manager/AgentAttache.java,At AgentAttache.java:[line 265],com.cloud.agent.manager.AgentAttache,265,265,117,117,AgentAttache.java,com/cloud/agent/manager/AgentAttache.java,java/com/cloud/agent/manager/AgentAttache.java,Sink method Logger.debug(...),Logger.debug(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,f9159df5c06d28474cae233ee2782fec,0,0,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.debug(...) might be used to include CRLF characters into log messages,In AgentAttache.java,com.cloud.agent.manager.AgentAttache,AgentAttache.java,com/cloud/agent/manager/AgentAttache.java,java/com/cloud/agent/manager/AgentAttache.java,In class com.cloud.agent.manager.AgentAttache,com.cloud.agent.manager.AgentAttache,true,com.cloud.agent.manager.AgentAttache,275,311,0,508,AgentAttache.java,com/cloud/agent/manager/AgentAttache.java,java/com/cloud/agent/manager/AgentAttache.java,"In method com.cloud.agent.manager.AgentAttache.processAnswers(long, Response)",com.cloud.agent.manager.AgentAttache,processAnswers,(JLcom/cloud/agent/transport/Response;)Z,false,true,At AgentAttache.java:[line 289],com.cloud.agent.manager.AgentAttache,true,289,289,67,67,AgentAttache.java,com/cloud/agent/manager/AgentAttache.java,java/com/cloud/agent/manager/AgentAttache.java,At AgentAttache.java:[line 289],com.cloud.agent.manager.AgentAttache,289,289,64,64,AgentAttache.java,com/cloud/agent/manager/AgentAttache.java,java/com/cloud/agent/manager/AgentAttache.java,Sink method Logger.debug(...),Logger.debug(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,da7904e5c6b55cbb73e11fc2fdb57ff2,0,0,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.trace(...) might be used to include CRLF characters into log messages,In AgentAttache.java,com.cloud.agent.manager.AgentAttache,AgentAttache.java,com/cloud/agent/manager/AgentAttache.java,java/com/cloud/agent/manager/AgentAttache.java,In class com.cloud.agent.manager.AgentAttache,com.cloud.agent.manager.AgentAttache,true,com.cloud.agent.manager.AgentAttache,275,311,0,508,AgentAttache.java,com/cloud/agent/manager/AgentAttache.java,java/com/cloud/agent/manager/AgentAttache.java,"In method com.cloud.agent.manager.AgentAttache.processAnswers(long, Response)",com.cloud.agent.manager.AgentAttache,processAnswers,(JLcom/cloud/agent/transport/Response;)Z,false,true,At AgentAttache.java:[line 294],com.cloud.agent.manager.AgentAttache,true,294,294,136,136,AgentAttache.java,com/cloud/agent/manager/AgentAttache.java,java/com/cloud/agent/manager/AgentAttache.java,At AgentAttache.java:[line 294],com.cloud.agent.manager.AgentAttache,294,294,133,133,AgentAttache.java,com/cloud/agent/manager/AgentAttache.java,java/com/cloud/agent/manager/AgentAttache.java,Sink method Logger.trace(...),Logger.trace(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,fe98e3494393c8fa7a6484657bdf0db7,0,0,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.trace(...) might be used to include CRLF characters into log messages,In AgentAttache.java,com.cloud.agent.manager.AgentAttache,AgentAttache.java,com/cloud/agent/manager/AgentAttache.java,java/com/cloud/agent/manager/AgentAttache.java,In class com.cloud.agent.manager.AgentAttache,com.cloud.agent.manager.AgentAttache,true,com.cloud.agent.manager.AgentAttache,221,228,0,165,AgentAttache.java,com/cloud/agent/manager/AgentAttache.java,java/com/cloud/agent/manager/AgentAttache.java,"In method com.cloud.agent.manager.AgentAttache.registerListener(long, Listener)",com.cloud.agent.manager.AgentAttache,registerListener,(JLcom/cloud/agent/Listener;)V,false,true,At AgentAttache.java:[line 222],com.cloud.agent.manager.AgentAttache,true,222,222,19,19,AgentAttache.java,com/cloud/agent/manager/AgentAttache.java,java/com/cloud/agent/manager/AgentAttache.java,At AgentAttache.java:[line 222],com.cloud.agent.manager.AgentAttache,222,222,16,16,AgentAttache.java,com/cloud/agent/manager/AgentAttache.java,java/com/cloud/agent/manager/AgentAttache.java,Sink method Logger.trace(...),Logger.trace(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,f1f58582485dc62cea0ba917b4e927c2,0,0,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.debug(...) might be used to include CRLF characters into log messages,In AgentAttache.java,com.cloud.agent.manager.AgentAttache,AgentAttache.java,com/cloud/agent/manager/AgentAttache.java,java/com/cloud/agent/manager/AgentAttache.java,In class com.cloud.agent.manager.AgentAttache,com.cloud.agent.manager.AgentAttache,true,com.cloud.agent.manager.AgentAttache,396,459,0,1007,AgentAttache.java,com/cloud/agent/manager/AgentAttache.java,java/com/cloud/agent/manager/AgentAttache.java,"In method com.cloud.agent.manager.AgentAttache.send(Request, int)",com.cloud.agent.manager.AgentAttache,send,(Lcom/cloud/agent/transport/Request;I)[Lcom/cloud/agent/api/Answer;,false,true,At AgentAttache.java:[line 407],com.cloud.agent.manager.AgentAttache,true,407,407,56,56,AgentAttache.java,com/cloud/agent/manager/AgentAttache.java,java/com/cloud/agent/manager/AgentAttache.java,At AgentAttache.java:[line 407],com.cloud.agent.manager.AgentAttache,407,407,53,53,AgentAttache.java,com/cloud/agent/manager/AgentAttache.java,java/com/cloud/agent/manager/AgentAttache.java,Sink method Logger.debug(...),Logger.debug(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,15395e944e1d709885a457485b8d276e,0,2,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.debug(...) might be used to include CRLF characters into log messages,In AgentAttache.java,com.cloud.agent.manager.AgentAttache,AgentAttache.java,com/cloud/agent/manager/AgentAttache.java,java/com/cloud/agent/manager/AgentAttache.java,In class com.cloud.agent.manager.AgentAttache,com.cloud.agent.manager.AgentAttache,true,com.cloud.agent.manager.AgentAttache,396,459,0,1007,AgentAttache.java,com/cloud/agent/manager/AgentAttache.java,java/com/cloud/agent/manager/AgentAttache.java,"In method com.cloud.agent.manager.AgentAttache.send(Request, int)",com.cloud.agent.manager.AgentAttache,send,(Lcom/cloud/agent/transport/Request;I)[Lcom/cloud/agent/api/Answer;,false,true,At AgentAttache.java:[line 429],com.cloud.agent.manager.AgentAttache,true,429,429,210,210,AgentAttache.java,com/cloud/agent/manager/AgentAttache.java,java/com/cloud/agent/manager/AgentAttache.java,At AgentAttache.java:[line 429],com.cloud.agent.manager.AgentAttache,429,429,207,207,AgentAttache.java,com/cloud/agent/manager/AgentAttache.java,java/com/cloud/agent/manager/AgentAttache.java,Sink method Logger.debug(...),Logger.debug(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,15395e944e1d709885a457485b8d276e,1,2,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.debug(...) might be used to include CRLF characters into log messages,In AgentAttache.java,com.cloud.agent.manager.AgentAttache,AgentAttache.java,com/cloud/agent/manager/AgentAttache.java,java/com/cloud/agent/manager/AgentAttache.java,In class com.cloud.agent.manager.AgentAttache,com.cloud.agent.manager.AgentAttache,true,com.cloud.agent.manager.AgentAttache,396,459,0,1007,AgentAttache.java,com/cloud/agent/manager/AgentAttache.java,java/com/cloud/agent/manager/AgentAttache.java,"In method com.cloud.agent.manager.AgentAttache.send(Request, int)",com.cloud.agent.manager.AgentAttache,send,(Lcom/cloud/agent/transport/Request;I)[Lcom/cloud/agent/api/Answer;,false,true,At AgentAttache.java:[line 436],com.cloud.agent.manager.AgentAttache,true,436,436,253,253,AgentAttache.java,com/cloud/agent/manager/AgentAttache.java,java/com/cloud/agent/manager/AgentAttache.java,At AgentAttache.java:[line 436],com.cloud.agent.manager.AgentAttache,436,436,250,250,AgentAttache.java,com/cloud/agent/manager/AgentAttache.java,java/com/cloud/agent/manager/AgentAttache.java,Sink method Logger.debug(...),Logger.debug(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,15395e944e1d709885a457485b8d276e,2,2,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Potential CRLF Injection for logs,This use of Logger.warn(...) might be used to include CRLF characters into log messages,In AgentAttache.java,com.cloud.agent.manager.AgentAttache,AgentAttache.java,com/cloud/agent/manager/AgentAttache.java,java/com/cloud/agent/manager/AgentAttache.java,In class com.cloud.agent.manager.AgentAttache,com.cloud.agent.manager.AgentAttache,true,com.cloud.agent.manager.AgentAttache,396,459,0,1007,AgentAttache.java,com/cloud/agent/manager/AgentAttache.java,java/com/cloud/agent/manager/AgentAttache.java,"In method com.cloud.agent.manager.AgentAttache.send(Request, int)",com.cloud.agent.manager.AgentAttache,send,(Lcom/cloud/agent/transport/Request;I)[Lcom/cloud/agent/api/Answer;,false,true,At AgentAttache.java:[line 442],com.cloud.agent.manager.AgentAttache,true,442,442,317,317,AgentAttache.java,com/cloud/agent/manager/AgentAttache.java,java/com/cloud/agent/manager/AgentAttache.java,At AgentAttache.java:[line 442],com.cloud.agent.manager.AgentAttache,442,442,314,314,AgentAttache.java,com/cloud/agent/manager/AgentAttache.java,java/com/cloud/agent/manager/AgentAttache.java,Sink method Logger.warn(...),Logger.warn(...),Sink method,CRLF_INJECTION_LOGS,3,10,SECCRLFLOG,SECURITY,197fa034509e55a80b4787661b44b5a7,0,1,117,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
