"name-pr","version","name","loc","wmc","dit","cbo","rfc","lcom","bug","fields","Methods","NOSI","Returns","Loops","ComparisonsQty","TryCatchQty","ParenthExpsQty","StrLitQty","NumQty","MathOperQty","VarQty","MaxNesting","Lambdas","WordsQty","Modifiers","Assignments","SubClassQty","AnonymousClassQty","FinalFields","DefaultFields","PrivateFields","ProtectedFields","PublicFields","StaticFields","SyncFields","AbstractMethods","DefaultMethods","FinalMethods","SyncMethods","PrivateMethods","ProtectedMethods","PublicMethods"
"spring-cloud-dataflow","v2.3.0.M1","org.springframework.cloud.dataflow.server.controller.JobExecutionControllerTests","95","22","1","25","37","0","no","6","22","4","0","0","0","0","0","64","16","4","10","0","0","96","1","5","0","0","0","0","6","0","0","0","0","0","0","0","0","3","0","19"
"spring-cloud-dataflow","v2.3.0.M1","org.springframework.cloud.dataflow.server.service.impl.DefaultTaskExecutionServiceTests","579","5","4","31","21","2","yes","22","5","4","1","0","0","0","0","17","0","1","23","0","0","257","1025","5","3","0","2","18","2","0","2","2","0","0","0","0","0","5","0","0"
"spring-cloud-dataflow","v2.3.0.M1","org.springframework.cloud.dataflow.shell.command.TaskCommands","200","29","1","18","52","115","yes","20","19","9","20","1","2","0","0","145","0","2","47","2","0","175","1","52","0","0","18","0","19","1","0","18","0","0","0","0","0","1","0","18"
"spring-cloud-dataflow","v2.3.0.M1","org.springframework.cloud.dataflow.shell.command.TaskCommandTests","253","30","2","12","52","159","no","11","26","9","1","1","0","2","0","132","134","9","52","2","0","178","1","56","0","0","10","0","11","0","0","11","0","0","0","0","0","3","0","23"
"spring-cloud-dataflow","v2.3.0.M1","org.springframework.cloud.dataflow.server.service.impl.DefaultTaskExecutionServiceTransactionTests","93","3","1","33","16","0","no","16","3","2","0","0","0","0","0","9","1","1","16","0","0","124","1","4","2","0","2","12","3","0","1","2","0","0","0","0","0","1","0","2"
"spring-cloud-dataflow","v2.3.0.M1","org.springframework.cloud.dataflow.server.single.LocalDataflowResource","130","16","2","18","31","30","no","11","13","5","4","0","1","0","0","23","0","4","15","2","0","78","1","32","1","0","3","3","8","0","0","0","0","0","0","0","0","1","2","10"
"spring-cloud-dataflow","v2.3.0.M1","org.springframework.cloud.dataflow.shell.command.ConfigCommands","218","53","1","45","95","46","yes","17","13","9","5","2","8","1","2","92","4","15","49","3","6","214","1","35","0","0","2","0","16","0","1","1","0","0","0","0","0","1","0","12"
"spring-cloud-dataflow","v2.3.0.M1","org.springframework.cloud.dataflow.rest.client.RuntimeTemplate","30","3","1","7","6","0","yes","3","3","0","2","0","0","0","0","3","0","1","4","0","0","29","1","5","0","0","3","0","3","0","0","0","0","0","1","0","0","0","0","2"
"spring-cloud-dataflow","v2.3.0.M1","org.springframework.cloud.dataflow.server.repository.TaskDefinitionRepository","15","2","1","6","0","1","yes","0","2","0","0","0","0","0","0","0","0","0","0","-1","0","34","1","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0"
"spring-cloud-dataflow","v2.3.0.M1","org.springframework.cloud.dataflow.server.service.impl.DefaultTaskDeleteService","200","30","1","24","65","0","yes","9","10","1","1","4","9","0","0","44","3","8","44","3","3","129","1","45","0","0","9","0","6","3","0","1","0","0","0","0","0","4","0","6"
"spring-cloud-dataflow","v2.3.0.M1","org.springframework.cloud.dataflow.core.dsl.TaskParserTests","1241","138","2","25","101","4329","no","2","114","0","6","9","4","8","39","725","273","35","156","3","0","355","1","294","1","0","0","0","2","0","0","0","0","0","0","0","0","15","0","99"
"spring-cloud-dataflow","v2.3.0.M1","org.springframework.cloud.dataflow.server.controller.TaskExecutionControllerTests","148","24","1","37","52","0","no","21","22","3","1","1","0","0","0","105","37","7","28","1","0","142","1","16","0","0","4","0","21","0","0","6","0","0","0","0","0","1","0","21"
"spring-cloud-dataflow","v2.3.0.M1","org.springframework.cloud.dataflow.server.controller.AppRegistryControllerTests","217","34","1","28","62","0","yes","7","33","1","0","1","0","0","0","325","57","8","16","1","0","129","1","11","0","0","0","0","7","0","0","0","0","0","0","0","0","1","0","32"
"spring-cloud-dataflow","v2.3.0.M1","org.springframework.cloud.dataflow.registry.support.AppResourceCommonTests","126","19","1","9","21","0","no","2","15","0","0","0","0","4","0","47","0","1","24","1","0","102","1","36","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","15"
"spring-cloud-dataflow","v2.3.0.M1","org.springframework.cloud.dataflow.server.controller.TaskControllerTests","196","22","1","28","63","0","no","12","22","2","0","0","0","0","0","220","28","1","30","0","0","131","1","19","0","0","0","1","11","0","0","0","0","0","0","0","0","0","0","22"
