"name-pr","version","name","loc","wmc","dit","cbo","rfc","lcom","bug","fields","Methods","NOSI","Returns","Loops","ComparisonsQty","TryCatchQty","ParenthExpsQty","StrLitQty","NumQty","MathOperQty","VarQty","MaxNesting","Lambdas","WordsQty","Modifiers","Assignments","SubClassQty","AnonymousClassQty","FinalFields","DefaultFields","PrivateFields","ProtectedFields","PublicFields","StaticFields","SyncFields","AbstractMethods","DefaultMethods","FinalMethods","SyncMethods","PrivateMethods","ProtectedMethods","PublicMethods"
"che","6.16.0","org.eclipse.che.api.workspace.activity.WorkspaceActivityServiceTest","64","8","1","22","33","0","yes","9","8","5","2","0","0","0","0","19","16","4","18","0","0","96","1","16","1","0","6","0","9","0","0","5","0","0","0","0","0","1","0","7"
"che","6.16.0","org.eclipse.che.api.workspace.server.hc.probe.HttpProbe","62","8","2","2","10","2","no","6","4","0","4","0","2","2","0","2","2","0","9","2","1","56","1","9","0","0","5","0","6","0","0","2","0","0","0","0","0","1","0","3"
"che","6.16.0","org.eclipse.che.api.workspace.server.hc.probe.ProbeScheduler","190","13","2","15","29","0","no","4","6","1","2","0","3","1","0","8","4","0","18","4","4","160","1","13","3","0","4","0","4","0","0","1","0","0","0","0","0","1","0","5"
"che","6.16.0","org.eclipse.che.selenium.plainjava.ConfigureSomeSourceFoldersTest","68","4","1","14","35","2","no","12","4","1","0","0","0","0","0","19","4","10","14","0","0","87","1","4","0","0","1","0","12","0","0","1","0","0","0","0","0","2","0","2"
"che","6.16.0","org.eclipse.che.selenium.refactor.parameters.RenameParametersTest","213","17","1","14","35","0","no","14","15","1","0","0","0","0","0","59","30","16","17","1","0","90","1","8","0","0","2","0","14","0","0","2","0","0","0","0","0","1","0","14"
"che","6.16.0","org.eclipse.che.workspace.infrastructure.openshift.OpenShiftInfraModule","88","1","2","62","16","0","no","0","1","0","0","0","0","0","0","1","0","0","7","1","2","51","1","5","0","12","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"che","6.16.0","org.eclipse.che.workspace.infrastructure.openshift.OpenShiftEnvironmentProvisionerTest","52","2","1","26","5","0","no","21","2","0","0","0","0","0","0","0","0","0","21","0","0","81","1","2","0","0","0","0","21","0","0","0","0","0","0","0","0","0","0","2"
"che","6.16.0","org.eclipse.che.ide.processes.OpenInTerminalAction","31","4","2","12","18","1","yes","2","3","1","0","0","0","0","0","0","0","0","7","1","0","69","1","8","1","0","1","0","2","0","0","0","0","0","0","0","0","0","0","3"
"che","6.16.0","org.eclipse.che.selenium.stack.CreateWorkspaceFromNodeStackTest","58","6","1","14","18","1","yes","14","6","0","0","0","0","0","0","12","4","0","17","0","0","84","1","8","0","0","4","0","14","0","0","4","0","0","0","0","0","0","0","6"
"che","6.16.0","org.eclipse.che.workspace.infrastructure.openshift.environment.OpenShiftEnvironmentFactoryTest","194","21","1","40","71","0","no","12","19","50","2","0","2","0","0","60","17","6","65","1","1","187","1","57","0","0","3","0","12","0","0","3","0","0","0","0","0","2","0","17"
"che","6.16.0","org.eclipse.che.workspace.infrastructure.kubernetes.KubernetesClientFactory","123","18","2","17","33","31","no","2","10","0","11","0","4","0","0","9","0","1","16","2","1","140","1","16","1","0","0","0","2","0","0","0","0","0","0","0","0","1","5","4"
"che","6.16.0","org.eclipse.che.api.workspace.server.hc.ServersCheckerTest","93","9","1","12","37","0","no","16","7","0","0","0","0","2","0","28","9","0","22","1","1","99","1","17","0","0","10","0","16","0","0","10","0","0","0","0","0","0","0","7"
"che","6.16.0","org.eclipse.che.commons.lang.concurrent.CopyThreadLocalRunnable","33","5","1","1","8","0","no","3","4","0","2","0","1","1","0","2","0","1","3","2","0","16","0","3","0","0","2","0","3","0","0","0","0","0","1","0","0","0","0","3"
"che","6.16.0","org.eclipse.che.api.user.server.ProfileServiceTest","79","10","1","25","35","0","yes","8","10","3","1","0","0","0","0","49","9","8","25","0","1","84","1","19","1","0","3","0","8","0","0","3","0","0","0","0","0","1","0","9"
"che","6.16.0","org.eclipse.che.workspace.infrastructure.kubernetes.namespace.pvc.UniqueWorkspacePVCStrategyTest","122","11","1","26","56","0","no","15","11","11","2","0","0","0","0","19","6","2","34","0","0","132","1","27","0","0","4","0","15","0","0","4","0","0","2","0","0","0","0","9"
"che","6.16.0","org.eclipse.che.commons.logback.EnvironmentVariablesLogLevelPropagator","57","16","2","8","13","30","no","2","9","2","4","0","2","0","0","5","4","0","9","2","0","68","1","12","0","0","1","0","2","0","0","1","0","0","0","0","0","1","0","8"
