"name-pr","version","name","loc","wmc","dit","cbo","rfc","lcom","bug","fields","Methods","NOSI","Returns","Loops","ComparisonsQty","TryCatchQty","ParenthExpsQty","StrLitQty","NumQty","MathOperQty","VarQty","MaxNesting","Lambdas","WordsQty","Modifiers","Assignments","SubClassQty","AnonymousClassQty","FinalFields","DefaultFields","PrivateFields","ProtectedFields","PublicFields","StaticFields","SyncFields","AbstractMethods","DefaultMethods","FinalMethods","SyncMethods","PrivateMethods","ProtectedMethods","PublicMethods"
"che","7.0.0-rc-4.0","org.eclipse.che.workspace.infrastructure.openshift.environment.OpenShiftEnvironmentFactoryTest","194","21","1","40","71","0","no","12","19","50","2","0","2","0","0","60","17","6","65","1","1","187","1","57","0","0","3","0","12","0","0","3","0","0","0","0","0","2","0","17"
"che","7.0.0-rc-4.0","org.eclipse.che.workspace.infrastructure.openshift.OpenShiftEnvironmentProvisionerTest","52","2","1","26","5","0","no","21","2","0","0","0","0","0","0","0","0","0","21","0","0","81","1","2","0","0","0","0","21","0","0","0","0","0","0","0","0","0","0","2"
"che","7.0.0-rc-4.0","org.eclipse.che.api.user.shared.dto.UserDto","27","18","1","5","0","153","yes","0","18","0","0","0","0","0","0","5","0","0","0","-1","0","31","1","0","0","0","0","0","0","0","0","0","0","0","18","0","0","0","0","0"
"che","7.0.0-rc-4.0","org.eclipse.che.workspace.infrastructure.kubernetes.namespace.pvc.UniqueWorkspacePVCStrategyTest","122","11","1","26","56","0","no","15","11","11","2","0","0","0","0","19","6","2","34","0","0","132","1","27","0","0","4","0","15","0","0","4","0","0","2","0","0","0","0","9"
"che","7.0.0-rc-4.0","org.eclipse.che.multiuser.machine.authentication.server.MachineAuthModule","20","1","2","11","9","0","no","0","1","0","0","0","0","0","0","3","1","0","1","0","0","16","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"che","7.0.0-rc-4.0","org.eclipse.che.workspace.infrastructure.kubernetes.KubernetesInternalRuntime","569","81","2","61","160","228","no","21","33","16","24","11","10","12","1","32","1","2","91","3","12","384","1","80","2","0","21","0","20","1","0","1","0","0","4","0","0","10","10","9"
"che","7.0.0-rc-4.0","org.eclipse.che.api.local.filters.EnvironmentInitializationFilter","39","5","1","16","8","6","no","1","4","0","1","0","1","1","0","3","0","0","5","2","0","41","1","4","0","1","0","1","0","0","0","0","0","0","0","1","0","1","0","3"
"che","7.0.0-rc-4.0","org.eclipse.che.selenium.core.client.keycloak.TestKeycloakSettingsServiceClient","22","3","1","5","7","0","no","3","2","1","1","0","0","1","0","2","0","0","3","1","0","32","1","3","0","0","3","0","3","0","0","0","0","0","0","0","0","0","0","2"
"che","7.0.0-rc-4.0","org.eclipse.che.api.core.rest.CoreRestModule","15","1","2","8","6","0","no","0","1","0","0","0","0","0","0","1","0","0","0","0","0","8","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0"
"che","7.0.0-rc-4.0","org.eclipse.che.multiuser.resource.spi.tck.FreeResourcesLimitDaoTest","68","12","1","14","20","0","yes","8","11","5","0","1","0","0","0","8","14","2","15","1","0","77","1","14","0","0","3","0","7","0","1","3","0","0","0","0","0","2","0","9"
"che","7.0.0-rc-4.0","org.eclipse.che.inject.CheBootstrap","291","9","11","25","33","6","no","8","4","5","3","1","2","1","0","8","0","0","20","2","0","288","1","20","8","0","8","0","6","0","2","7","0","0","0","0","0","1","2","1"
"che","7.0.0-rc-4.0","org.eclipse.che.api.workspace.server.spi.environment.InternalEnvironmentFactoryTest","107","9","2","22","30","0","yes","4","9","5","1","0","0","0","0","38","1","0","39","1","1","109","1","35","1","0","0","0","4","0","0","0","0","0","0","0","0","0","0","9"
"che","7.0.0-rc-4.0","org.eclipse.che.workspace.infrastructure.kubernetes.environment.KubernetesEnvironmentValidatorTest","14","1","1","8","1","0","no","3","1","0","0","0","0","0","0","0","0","0","3","0","0","17","1","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","1"
"che","7.0.0-rc-4.0","org.eclipse.che.api.workspace.server.spi.environment.MachineConfigsValidatorTest","90","21","1","11","19","61","no","3","19","30","10","0","2","0","0","75","18","6","11","1","1","87","1","10","0","0","1","0","3","0","0","1","0","0","0","0","0","3","0","16"
"che","7.0.0-rc-4.0","org.eclipse.che.workspace.infrastructure.kubernetes.KubernetesClientFactory","123","18","2","17","33","31","no","2","10","0","11","0","4","0","0","9","0","1","16","2","1","140","1","16","1","0","0","0","2","0","0","0","0","0","0","0","0","1","5","4"
"che","7.0.0-rc-4.0","org.eclipse.che.api.workspace.server.hc.ServersCheckerTest","93","9","1","12","37","0","no","16","7","0","0","0","0","2","0","28","9","0","22","1","1","99","1","17","0","0","10","0","16","0","0","10","0","0","0","0","0","0","0","7"
"che","7.0.0-rc-4.0","org.eclipse.che.commons.lang.concurrent.CopyThreadLocalRunnable","33","5","1","1","8","0","no","3","4","0","2","0","1","1","0","2","0","1","3","2","0","16","0","3","0","0","2","0","3","0","0","0","0","0","1","0","0","0","0","3"
"che","7.0.0-rc-4.0","org.eclipse.che.api.user.server.ProfileServiceTest","79","10","1","25","35","0","yes","8","10","3","1","0","0","0","0","49","9","8","25","0","1","84","1","19","1","0","3","0","8","0","0","3","0","0","0","0","0","1","0","9"
"che","7.0.0-rc-4.0","org.eclipse.che.commons.logback.EnvironmentVariablesLogLevelPropagator","57","16","2","8","13","30","no","2","9","2","4","0","2","0","0","5","4","0","9","2","0","68","1","12","0","0","1","0","2","0","0","1","0","0","0","0","0","1","0","8"
"che","7.0.0-rc-4.0","org.eclipse.che.api.user.server.UserServiceTest","183","24","1","30","53","84","no","10","24","26","3","0","0","0","0","81","20","21","52","0","1","120","1","46","1","1","3","0","10","0","0","3","0","0","0","0","0","3","0","21"
"che","7.0.0-rc-4.0","org.eclipse.che.workspace.infrastructure.kubernetes.namespace.pvc.WorkspacePVCCleanerTest","38","5","1","11","15","0","yes","5","5","0","0","0","0","0","0","1","0","0","5","0","0","42","1","3","0","0","0","1","4","0","0","0","0","0","0","0","0","0","0","5"
"che","7.0.0-rc-4.0","org.eclipse.che.workspace.infrastructure.kubernetes.StartSynchronizerTest","130","22","1","13","26","0","no","3","21","2","0","0","0","1","0","9","6","0","19","1","0","84","1","18","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","21"
"che","7.0.0-rc-4.0","org.eclipse.che.multiuser.permission.factory.FactoryPermissionsFilterTest","77","9","1","20","35","4","no","5","9","0","1","0","0","0","0","34","12","6","17","0","0","100","1","13","1","0","1","0","5","0","0","2","0","0","0","0","0","0","0","9"
"che","7.0.0-rc-4.0","org.eclipse.che.api.core.jsonrpc.commons.RequestHandlerManager","355","49","1","36","60","64","no","16","24","0","5","2","1","0","0","6","0","2","29","1","2","126","1","27","10","0","16","0","16","0","0","1","0","0","0","0","12","8","0","16"
"che","7.0.0-rc-4.0","org.eclipse.che.api.core.websocket.impl.GuiceInjectorEndpointConfigurator","20","4","2","8","5","1","yes","1","2","0","1","0","2","0","0","2","0","0","3","2","0","37","1","2","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","2"
"che","7.0.0-rc-4.0","org.eclipse.che.workspace.infrastructure.kubernetes.Annotations","97","3","1","5","4","3","yes","9","3","1","2","0","0","0","0","7","0","5","9","0","0","74","1","9","2","1","9","0","3","0","6","9","0","0","0","0","0","1","0","2"
