"name-pr","version","name","loc","wmc","dit","cbo","rfc","lcom","bug","fields","Methods","NOSI","Returns","Loops","ComparisonsQty","TryCatchQty","ParenthExpsQty","StrLitQty","NumQty","MathOperQty","VarQty","MaxNesting","Lambdas","WordsQty","Modifiers","Assignments","SubClassQty","AnonymousClassQty","FinalFields","DefaultFields","PrivateFields","ProtectedFields","PublicFields","StaticFields","SyncFields","AbstractMethods","DefaultMethods","FinalMethods","SyncMethods","PrivateMethods","ProtectedMethods","PublicMethods"
"cloudstack","4.11.3.0","com.cloud.upgrade.DatabaseUpgradeChecker","253","29","1","70","50","0","yes","4","6","1","6","5","6","7","0","94","14","9","24","4","0","206","1","27","1","0","2","1","2","1","0","1","0","0","1","0","0","1","2","2"
"cloudstack","4.11.3.0","com.cloud.configuration.ConfigurationManagerImpl","4221","1210","2","177","481","3641","no","72","98","31","139","56","561","25","28","797","185","279","708","6","0","874","1","895","0","16","6","59","8","2","3","6","0","0","4","0","0","26","7","61"
"cloudstack","4.11.3.0","com.cloud.configuration.dao.ResourceCountDaoImpl","186","42","2","20","43","135","yes","6","19","3","24","2","15","1","0","32","6","7","32","2","0","129","1","32","0","0","3","0","4","2","0","0","0","0","0","0","0","3","1","15"
"cloudstack","4.11.3.0","com.cloud.api.query.dao.UserVmJoinDaoImpl","361","82","2","31","209","9","no","8","6","3","5","8","36","0","2","16","15","5","59","4","2","128","1","59","0","0","3","0","6","0","2","1","0","0","0","0","0","0","1","5"
"cloudstack","4.11.3.0","com.cloud.template.TemplateManagerImpl","1489","366","2","139","287","532","yes","43","52","9","73","15","197","9","25","251","14","85","331","6","0","507","1","343","0","3","1","3","40","0","0","1","0","0","1","0","0","7","1","43"
"cloudstack","4.11.3.0","org.apache.cloudstack.ServerDaemon","181","27","1","22","79","131","no","23","19","8","6","0","3","1","0","40","13","3","41","2","0","143","1","48","0","0","12","0","23","0","0","12","0","0","0","0","0","4","0","15"
"cloudstack","4.11.3.0","org.apache.cloudstack.utils.security.DigestHelperTest","86","19","1","4","9","69","no","14","19","0","0","0","0","0","0","16","0","3","24","0","0","66","1","25","0","0","12","0","14","0","0","13","0","0","0","0","0","0","0","19"
"cloudstack","4.11.3.0","com.cloud.utils.net.NetUtilsTest","464","72","1","5","80","2080","yes","1","65","17","0","6","4","0","4","353","104","28","81","1","0","221","1","88","0","0","1","0","1","0","0","1","0","0","0","0","0","0","0","65"
"cloudstack","4.11.3.0","org.apache.cloudstack.utils.security.CertUtils","128","24","1","25","43","66","no","1","12","9","13","3","5","4","0","13","5","1","32","3","0","106","1","34","0","0","1","0","1","0","0","1","0","0","0","0","0","0","0","12"
"cloudstack","4.11.3.0","com.cloud.vm.UserVmCloneSettingVO","24","6","1","6","0","5","yes","3","6","0","3","0","0","0","0","4","0","0","3","0","0","18","1","3","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","6"
"cloudstack","4.11.3.0","com.cloud.network.element.ConfigDriveNetworkElement","328","102","2","51","98","576","no","17","36","3","42","3","19","3","4","18","6","4","57","4","0","207","1","54","0","0","3","14","3","0","0","3","0","0","0","0","0","15","0","21"
"cloudstack","4.11.3.0","com.cloud.user.AccountManagerImpl","2013","518","3","127","254","1772","no","60","89","17","120","39","221","20","44","421","32","156","273","8","0","576","1","292","1","8","2","11","44","3","2","1","0","0","0","0","0","11","3","75"
"cloudstack","4.11.3.0","com.cloud.hypervisor.kvm.storage.LibvirtStorageAdaptor","1048","195","1","33","148","340","no","7","37","4","50","4","69","41","9","293","37","129","152","6","0","324","1","208","0","0","1","0","7","0","0","1","0","0","0","0","0","10","0","27"
"cloudstack","4.11.3.0","com.cloud.hypervisor.vmware.mo.HostMO","807","248","2","58","181","2578","yes","2","76","8","94","29","71","3","19","189","12","40","148","5","0","317","1","163","0","0","1","1","1","0","0","1","0","0","0","0","1","3","0","73"
"cloudstack","4.11.3.0","com.cloud.network.IpAddressManagerImpl","1544","248","2","117","180","420","yes","62","44","4","68","11","104","18","15","187","17","71","206","5","0","494","1","202","0","12","3","57","3","2","0","4","0","0","2","0","0","2","5","35"
"cloudstack","4.11.3.0","com.cloud.capacity.CapacityManagerImpl","790","165","2","65","102","591","yes","22","38","20","36","4","70","4","36","176","34","99","150","4","0","328","1","165","0","4","2","16","3","3","0","2","0","0","0","0","0","1","0","37"
"cloudstack","4.11.3.0","com.cloud.api.query.QueryManagerImpl","2599","562","2","227","319","1549","no","52","67","11","90","42","353","2","28","707","48","102","729","5","0","413","1","761","0","0","2","9","42","0","1","2","0","0","0","0","0","32","1","34"
"cloudstack","4.11.3.0","com.cloud.vm.UserVmManagerImplTest","137","29","1","23","45","146","yes","9","25","0","0","0","0","0","0","19","22","0","13","1","0","91","1","6","0","0","0","0","9","0","0","0","0","0","0","0","0","5","0","20"
"cloudstack","4.11.3.0","com.cloud.hypervisor.kvm.resource.wrapper.LibvirtMigrateCommandWrapper","292","71","2","27","92","21","yes","4","7","7","11","9","21","5","0","60","20","22","67","7","0","201","17","94","0","0","4","0","4","0","0","4","0","0","1","0","0","4","1","1"
"cloudstack","4.11.3.0","com.cloud.template.TemplateAdapterBase","280","94","2","44","98","38","yes","20","13","1","11","4","48","1","13","43","6","15","71","5","0","172","1025","68","0","0","1","3","2","15","0","1","0","2","0","0","0","1","1","11"
"cloudstack","4.11.3.0","com.cloud.storage.VolumeApiServiceImplTest","536","54","1","55","95","0","yes","32","51","1","1","0","1","3","1","67","190","1","74","1","0","238","1","50","0","0","0","2","29","0","1","0","0","0","0","0","0","2","0","49"
"cloudstack","4.11.3.0","com.cloud.hypervisor.vmware.mo.HypervisorHostHelper","1590","406","1","85","318","545","yes","6","42","73","67","26","184","26","27","273","89","113","301","9","0","513","1","425","0","1","6","0","6","0","0","6","0","0","0","0","0","5","0","37"
"cloudstack","4.11.3.0","com.cloud.utils.DateUtilTest","67","9","1","1","19","28","yes","0","8","26","0","0","1","0","0","13","3","4","35","1","0","36","1","35","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8"
"cloudstack","4.11.3.0","org.apache.cloudstack.storage.datastore.provider.SolidFireHostListener","157","40","1","27","44","22","yes","12","12","1","8","4","16","0","1","16","1","7","45","5","0","108","1","35","0","0","1","0","12","0","0","1","0","0","0","0","0","7","0","5"
"cloudstack","4.11.3.0","com.cloud.network.router.VirtualNetworkApplianceManagerImplTest","88","4","1","54","29","3","no","46","3","0","0","1","0","0","0","29","27","0","54","1","0","136","1","9","0","0","0","0","46","0","0","0","0","0","0","0","0","0","0","3"
"cloudstack","4.11.3.0","com.cloud.utils.ssh.SshHelperTest","71","18","1","8","20","153","no","0","18","0","0","0","0","0","0","2","5","0","3","0","0","39","1","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","18"
"cloudstack","4.11.3.0","com.cloud.user.AccountManagetImplTestBase","96","11","1","62","20","6","no","56","4","3","2","5","3","0","0","1","0","0","62","3","0","124","1","10","0","0","0","54","0","2","0","0","0","0","0","0","0","0","0","4"
"cloudstack","4.11.3.0","com.cloud.hypervisor.vmware.util.VmwareContextPoolTest","70","8","1","9","20","0","no","6","6","2","1","2","0","0","0","6","7","1","14","1","0","51","1","16","1","0","0","0","6","0","0","0","0","0","0","0","0","0","0","6"
"cloudstack","4.11.3.0","org.apache.cloudstack.api.command.admin.vpc.CreateVPCOfferingCmdTest","27","3","1","2","12","3","no","0","3","0","0","0","0","0","0","8","1","0","6","0","0","23","1","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3"
"cloudstack","4.11.3.0","org.apache.cloudstack.api.command.admin.vpc.CreateVPCOfferingCmd","86","19","2","9","31","66","yes","8","12","0","10","1","3","0","0","18","0","4","19","3","0","77","1","16","0","0","2","0","7","0","1","2","0","0","0","0","0","0","0","12"
"cloudstack","4.11.3.0","org.apache.cloudstack.api.response.LBHealthCheckPolicyResponse","50","11","2","5","12","20","no","9","9","0","3","0","1","0","0","20","0","0","9","1","0","54","1","12","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","9"
"cloudstack","4.11.3.0","org.apache.cloudstack.api.command.admin.zone.ListZonesCmdByAdmin","3","0","2","3","0","0","no","0","0","0","0","0","0","0","0","2","0","0","0","-1","0","7","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"cloudstack","4.11.3.0","org.apache.cloudstack.syslog.AlertsSyslogAppenderTest","41","7","1","4","10","0","yes","1","7","0","0","0","0","0","0","29","2","6","7","0","0","41","1","7","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","7"
"cloudstack","4.11.3.0","com.cloud.utils.db.TransactionContextInterceptor","14","2","1","3","5","1","no","0","2","0","1","0","0","1","0","0","0","0","1","1","0","11","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2"
"cloudstack","4.11.3.0","org.apache.cloudstack.framework.jobs.AsyncJobExecutionContext","137","39","1","14","32","0","no","5","24","5","10","0","20","0","10","15","1","7","11","4","0","88","1","15","0","0","1","0","5","0","0","4","0","0","0","0","0","0","0","24"
"cloudstack","4.11.3.0","org.apache.cloudstack.api.command.admin.storage.ListStorageTagsCmd","16","3","2","7","6","3","no","2","3","0","2","0","0","0","0","3","0","0","3","0","0","23","1","3","0","0","2","0","1","0","1","2","0","0","0","0","0","0","0","3"
"cloudstack","4.11.3.0","com.cloud.upgrade.dao.DatabaseAccessObjectTest","285","26","1","7","26","0","yes","4","26","0","0","0","0","0","0","61","83","0","92","0","0","79","1","89","0","0","1","0","4","0","0","0","0","0","0","0","0","0","0","26"
"cloudstack","4.11.3.0","org.apache.cloudstack.framework.security.keys.KeysManagerImpl","59","11","1","12","21","9","no","3","7","4","7","0","3","1","0","6","4","1","10","1","0","96","1","8","0","0","1","2","1","0","0","1","0","0","0","0","0","1","0","6"
